CTM00000001	Command Terminal
CTM00000045	To keep this bunker for yourself, you need to have upgraded the Securitron Army and activated the Securitron army located under the Fort.
CTM00000046	the Brotherhood of Steel
CTM00000047	You cannot claim this Bunker until you are [%]Liked[%] by the Brotherhood and they have also come out of hiding.
CTM00000048	You cannot claim this Bunker until you are [%]Liked[%] by the Followers.
CTM00000049	You cannot claim this Bunker until you are [%]Liked[%] by the Great Khans.
CTM00000050	You cannot claim this Bunker until you are [%]Liked[%] by Freeside.
CTM00000051	You cannot claim this Bunker until you are [%]Liked[%] by the Boomers.
CTM00000052	You cannot claim this Bunker until you are [%]Liked[%] by the Powder Gangers.
CTM00000053	Enclave[CRLF](West Coast)
CTM00000054	Enclave[CRLF](East Coast)
CTM00000055	Big MT Experiments
CTM00000056	Intelligent Deathclaws
CTM00000057	Robot Army
CTM00000058	a Robot Army
CTM00000059	the Big MT
CTM00000060	the Sierra Madre Casino
CTM00000061	the Followers of the Apocalypse
CTM00000062	the Great Khans
CTM00000063	the Kings
CTM00000064	the Boomers
CTM00000065	the Powder Gangers
CTM00000066	the Enclave
CTM00000067	the Desert Rangers
CTM00000068	Hyperintelligent Mole Rats
CTM00000069	East Coast Brotherhood[CRLF](Rebuild the Capital)
CTM00000070	the East Coast Brotherhood
CTM00000071	You must complete the quest [%]Field Marshall's Manual[%] before you can claim the bunker.
CTM00000072	The Brotherhood Outcast
CTM00000073	the Brotherhood Outcast
CTM00000074	You are not friends with the Outcast.
CTM00000075	The East Coast Brotherhood
CTM00000076	the East Coast Brotherhood
CTM00000077	The Brotherhood are too busing fighting the Enclave to send an expedition to the Mojave.
CTM00000078	Rivet City can send an expedition to the Mojave once Project Purity is operational.
CTM00000079	Lawbringer
CTM00000080	You are not a member of the Regulators.
CTM00000081	Reilly's Regulators are not in a position to claim this vault.
CTM00000082	People's Republic of America
CTM00000083	the People's Republic of America
CTM00000084	Zetans
CTM00000085	the Zetans
CTM00000086	Terran Starship Command
CTM00000087	the Terran Starship Command
CTM00000088	The Crusaders[CRLF](The Frontier)
CTM00000089	Vegas Citizen
CTM00000090	Name your Independent Vegas:
CTM00000091	Name the Bunker
CTM00000092	[%] has returned to 
CTM00000093	Cannot call in [%] here.
CTM00000094	[%] is currently refueling!
CTM00000095	[%] is already deployed!
CTM00000096	[%] is on the way!
CTM00000097	Vertibird Radio
CTM00000098	Would you like to call in [%]?
CTM00000099	There is no need for the Boomers to rain artillery fire down any everyone who wanders to close to Nellis. If we establish an outpost in the old shack, we can at least warn people first. If they still insist on wandering into our line of fire, then it is on them.
CTM00000100	Although isolationist, the Boomers are an incredibly dangerous faction with tremendous fire power. It would in the best interests of [%] to keep a close eye on them.[CRLF][CRLF]A couple of scouts can be sent to hold the abandoned shack located on the road to Nellis where they can keep a watchful eye on the Boomers.
CTM00000101	This door is sealed shut.
CTM00000102	Bunker Door Unlocked!
CTM00000103	Pumps activated
CTM00000104	Quartermaster
CTM00000105	Purchase Equipment
CTM00000106	Repair Equipment
CTM00000107	Armory Unlocked!
CTM00000108	Not Enough Caps!
CTM00000109	Armory
CTM00000110	Would you like to pay [%] caps to unlock the armory?
CTM00000111	Medical Services
CTM00000112	Armory Services
CTM00000113	Kitchen Services
CTM00000114	Reconnaissance Map
CTM00000115	Vertibird Storage
CTM00000116	Dismiss Vertibird
CTM00000117	[%] is returning to 
CTM00000118	Although the recovery effort and the training of pilots will be costly, [%] can put the repaired vertibird to great use in support of operations in the Mojave.
CTM00000119	Rename the Vertibird
CTM00000120	The repaired vertibird has been christined [%].[CRLF][CRLF]A vertibird radio has been added to your inventory which you can use to call the vertibird when in the Mojave for extraction back to [%].
CTM00000121	The New Vegas Steel Mill remains in surprisingly good condition. Although deep in Fiend territory, it should be secured for the [%] as the steel would prove invaluable.
CTM00000122	Rename the Mill
CTM00000123	Now that the unusual situation at the REPCONN Test Site has come to an end, the facility should be occupied by [%] for security and research purposes.
CTM00000124	Rename the Facility
CTM00000125	Would you like to pay [%] caps to unlock the kitchen?
CTM00000126	Kitchen Unlocked!
CTM00000127	Would you like to pay [%] caps to unlock the clinic?
CTM00000128	Clinic Unlocked!
CTM00000129	= Vitals =
CTM00000130	
CTM00000131	
CTM00000132	
CTM00000133	
CTM00000134	
CTM00000135	
CTM00000136	
CTM00000137	
CTM00000138	
CTM00000139	
