CTM00000001	$1的控制者是$2
CTM00000237	[CRLF][CRLF]加利福尼亚的士兵们用他们的纸币在维加斯赌博，而军团则把他们的金币和银币投过科罗拉多河。在这场货币战争中被夹在中间的是不起眼的瓶盖，它是废土经济的中流砥柱。
CTM00000238	[CRLF][CRLF]为了资助我们的投资，你可以为指挥官的办公室购买一个收银机，用于兑换货币。
CTM00000239	一个收银机已被添加到你书桌旁的书架上。你可以用它兑换货币。
CTM00000240	=将[%]移交给沙漠游骑兵=
CTM00000241	[CRLF][CRLF]沙漠游骑兵一直在寻找一个地点，以在莫哈维建立他们的新总部，并请求使用旧的探照灯机场。他们对于总部与凯撒军团的前线如此接近没有任何顾虑，正合其意。
CTM00000242	移交机场
CTM00000243	[%]正在沙漠游骑兵的控制下。
CTM00000244	保留机场
CTM00000245	[CRLF][CRLF]随着反抗NCR的起义成功，[%]可以把前游骑兵驻站移交给沙漠游骑兵，以巩固对军团的前线。
CTM00000246	=派沙漠游骑兵到
CTM00000247	[CRLF][CRLF]沙漠游骑兵们提出要派驻考威尔湾以防御附近的军团劫掠队。[CRLF][CRLF]我们可以让沙漠游骑兵巩固湾区，或者把整个哨站移交给他们。
CTM00000248	移交湾区
CTM00000249	沙漠游骑兵已抵达[%]。
CTM00000250	保留湾区
CTM00000251	[CRLF][CRLF]我们可以派沙漠游骑兵到棉白杨湾来防御军团的反攻。如果你愿意，我们也可以把整个基地都移交给沙漠游骑兵。 
CTM00000252	移交基地
CTM00000253	巩固基地
CTM00000254	保留基地
CTM00000255	=沙漠游骑兵起义=
CTM00000256	[CRLF][CRLF]     沙漠游骑兵已经回来解放莫哈维，但我们许多同志仍在为NCR而战。然而，关于军士长汉隆背叛游骑兵统一条约并试图将莫哈维放弃给军团奴隶主的谣言激怒了许多游骑兵。
CTM00000257	[CRLF][CRLF]     如果有足够的瓶盖，[%]可以暗中资助一场起义，利用这种不安定局势，招募沙漠游骑兵为自由的莫哈维而战。游骑兵驻站阿尔法、布拉沃、德尔塔、艾柯和狐步舞将由忠于我们事业的游骑兵占领，前提是你尚未控制这些前哨站。
CTM00000258	[CRLF][CRLF]     游骑兵统一条约已有十年历史，沙漠游骑兵对加利福尼亚梦的幻灭感很深。沙荫镇承诺保护莫哈维并击退军团，但却将税收挥霍在赌场区，而凯撒的军队却在不受控制地壮大。
CTM00000259	[CRLF][CRLF]     军士长汉隆曾是游骑兵智慧和力量的象征，现在却对莫哈维的困境漠不关心。最坏的情况，如果最近的谣言可信，他正在积极背叛游骑兵统一条约的承诺。
CTM00000260	[CRLF][CRLF]     军士长汉隆曾是游骑兵智慧和力量的象征，现在被视为一个耻辱的叛徒。如果他在死前受到的指控属实，那么他确实在积极背叛游骑兵统一条约的承诺。
CTM00000261	[CRLF][CRLF]     如果有足够的瓶盖，[%]可以暗中资助一场起义，利用这种不安定局势，招募沙漠游骑兵为自由的莫哈维而战。游骑兵驻站阿尔法、布拉沃、德尔塔、艾柯和狐步舞将由忠于我们事业的游骑兵占领，前提是你尚未控制这些前哨站。如果你已经控制了这些前哨站，你可以选择将它们移交给沙漠游骑兵。
CTM00000262	 显然，资助起义将损害你和NCR的关系。
CTM00000263	资助起义
CTM00000264	沙漠游骑兵和许多莫哈维出身的士兵已经掀起了对抗NCR的起义，并投靠[%]。
CTM00000265	下列游骑兵驻站正在沙漠游骑兵的控制下：
CTM00000266	[%]     - 阿尔法
CTM00000267	[%]     - 布拉沃
CTM00000268	[%]     - 德尔塔
CTM00000269	[%]     - 艾柯
CTM00000270	[%]     - 狐步舞
CTM00000271	[CRLF][CRLF]你目前的瓶盖不够资助起义。
CTM00000272	不资助起义
CTM00000273	沙漠游骑兵尽管不满，但仍终于沙荫镇。
CTM00000274	[CRLF][CRLF]军团奴隶主们时常越过米德湖劫掠东莫哈维的各社区。把沙漠游骑兵派驻到老拾荒者平台可以确保水域的安全。
CTM00000275	=允许天启追随者进入[%]=
CTM00000276	天启追随者要求获准进入[%]来照看囚犯。[CRLF][CRLF]虽然他们的医疗服务会有帮助，但最好还是让这些心慈手软的安那其主义者远离监狱。
CTM00000277	批准天启追随者
CTM00000278	天启追随者的医生已抵达[%]。
CTM00000279	拒绝天启追随者
CTM00000280	天启追随者没有获准进入[%]。
CTM00000281	=派天启追随者到疯人院=
CTM00000282	[CRLF][CRLF]自你到达大山脉许多所谓的[%]无脑人[%]被杀掉，亦或是[%]从痛苦解脱。[%]不过，天启追随者可以被派到[%]疯人院[%]，帮助那里的无脑人。[CRLF][CRLF]这些悲伤而疯狂的灵魂值得拯救吗？
CTM00000283	派遣
CTM00000284	天启追随者将前往疯人院，尝试拯救无脑人。
CTM00000285	不派遣
CTM00000286	天启追随者不会前往疯人院。
CTM00000287	=将[%]移交给天启追随者=
CTM00000288	天启追随者的农业知识可以和其医疗技能相媲美。我们应该考虑把部分农场移交给天启追随者和当地农夫。
CTM00000289	[CRLF][CRLF]即便你移交农场，你仍然可以使用那里的补给箱。
CTM00000290	移交农场
CTM00000291	[%]正在天启追随者的照看下。
CTM00000292	保留农场
CTM00000293	=邀请天启追随者到[%]=
CTM00000294	[CRLF][CRLF]天启追随者也许会对Y-17医学设施中的医疗技术感兴趣。我们该邀请一些他们的医生到设施吗？他们的专业技能无疑将让我们受益。
CTM00000295	邀请
CTM00000296	天启追随者们已抵达[%]。
CTM00000297	不邀请
CTM00000298	天启追随者没被邀请协助研究。
CTM00000299	=派天启追随者到雅各布斯镇协助夜行族研究=
CTM00000300	[CRLF][CRLF]亨利医生在寻找夜行族精神分裂症的治疗方法方面取得了巨大进展。天启追随者可以帮助进一步推进他的研究。
CTM00000301	天启追随者的医生已抵达雅各布斯镇协助夜行族研究。
CTM00000302	天启追随者不会协助寻找疗法。
CTM00000303	=和天启追随者签订条约=
CTM00000304	[CRLF][CRLF]NCR和天启追随者的关系在过去几年里也许有所恶化，但凯撒军团的威胁时刻提醒两者他们拥有共同的价值观。[CRLF][CRLF]是时候签订条约巩固共和主义者和安那其主义者们的联盟了么？
CTM00000305	[CRLF][CRLF]天启追随者支持一个既不向加州、也不向亚利桑那跪拜的事业。[CRLF][CRLF]这一支持会铺平和[%]签订条约的道路吗？
CTM00000306	天启追随者和[%]签订了友好条约。两者的未来合作已成为可能。
CTM00000307	天启追随者和[%]之间将不会有正式条约。
CTM00000308	=邀请天启追随者到大山脉=
CTM00000309	[CRLF][CRLF]多数人都会认为大山脉的实验体们早已没救了。他们的思维和人性已经被疯狂而难以想象的科学实验扭曲、抹除。然而天启追随者仍视他们可能被救赎。
CTM00000310	[CRLF][CRLF][%]应该允许天启追随者在扬子集中营扎营吗？
CTM00000311	重命名集中营
CTM00000312	天启追随者不被允许进入大山脉。
CTM00000313	=15号公路巡逻=
CTM00000314	[CRLF][CRLF]15号公路的大部分已在[%]的控制下。我们应该派遣一支小队填补哨站之间的空缺。
CTM00000315	[CRLF][CRLF]巡逻将从[%]出发直到维加斯废墟。
CTM00000316	建立巡逻
CTM00000317	巡逻路线已建立。
CTM00000318	=95号公路巡逻=
CTM00000319	[CRLF][CRLF]95号公路是一条宝贵的贸易路线，其与NCR和军团目前的前线平行延伸。[CRLF][CRLF]我们将建立一个从探照灯营地外围出发，直到188贸易站和巨石城的十字路口的巡逻。
CTM00000320	=摧毁雅各布斯镇=
CTM00000321	[CRLF][CRLF]雅各布斯镇的领袖马可世已经死了，但仍有超级变种人残留。比起冒着变种人下山的风险，[%]应该对滑雪别墅发起突袭，消灭其中居民。
CTM00000322	突袭
CTM00000323	雅各布斯镇驻军
CTM00000324	残存的超级变种人已被[%]铲除。
CTM00000325	不管雅各布斯镇
CTM00000326	等待雅各布斯镇逐渐自行消亡。
CTM00000327	=北莫哈维定居点=
CTM00000328	[CRLF][CRLF]维加斯的北部坐落着一排排因掠夺者肆虐而废弃的农场和房屋。如今恶魔帮已被清除，这一地区的大部分已在[%]的旗帜下，没有理由再放着这些田地不管。我们应该鼓励人们前往定居工作。
CTM00000329	定居者们已经入住了北莫哈维的飞起农场。
CTM00000330	==和NCR签订条约=
CTM00000331	[CRLF][CRLF]NCR被逼出了莫哈维，伟大的维加斯城掌握在[%]的手中。然而，和加州的贸易与健康关系将使维加斯受益匪浅。[CRLF][CRLF]是时候和沙荫镇弥合关系了吗？
CTM00000332	签订
CTM00000333	与NCR达成了一项脆弱的停火。
CTM00000334	没有与NCR达成和平。
CTM00000335	=豪斯先生的重建计划=
CTM00000336	[CRLF][CRLF]豪斯先生留下了在第二次胡佛水坝之战后重建维加斯的详尽计划。尽管豪斯先生可能已不在，没有理由不采用他的重建计划。[CRLF][CRLF]当然，如果预算的瓶盖足够的话。
CTM00000337	实施
CTM00000338	重建已开始。
CTM00000339	否决计划
CTM00000340	无论好坏，新维加斯保持现状。
CTM00000341	=英克雷残存者=
CTM00000342	[CRLF][CRLF]英克雷残存者们计划在胡佛水坝作战。他们先进的武器和动力甲将是胜利天平上的一块大筹码。
CTM00000343	[CRLF][CRLF]但是，残存者们应得这样一场荣耀的战斗吗？还是说这些战争罪犯应该由加州法庭审判？也许应该趁着他们齐聚将其立刻逮捕。
CTM00000344	[CRLF][CRLF]但是，值得为这些尽管年迈但全副武装的战争罪犯冒险吗？也许应该趁着他们齐聚将其立刻逮捕。
CTM00000345	逮捕英克雷残存者
CTM00000346	一些成员在对其地堡的突袭中死了，但多数所谓的[%]英克雷残存者[%]已成为阶下囚。
CTM00000347	不管他们
CTM00000348	残存者们将按计划在大坝作战。
CTM00000349	== 莫哈维投资 ==
CTM00000350	[CRLF]莫哈维投资：[%]
CTM00000351	长街
CTM00000352	应急火车站
CTM00000353	[CRLF][CRLF]目前没有可用的投资。
CTM00000354	=探照灯机场=
CTM00000355	[CRLF][CRLF]探照灯镇也许已是个辐射鬼城，但附近的机场仍状态不错。确保这一地点将增强[%]在科罗拉多河沿岸的力量。
CTM00000356	重命名机场
CTM00000357	=游骑兵驻站阿尔法=
CTM00000358	[CRLF][CRLF]我们可以派额外的游骑兵到驻站，巩固对军团的防御。
CTM00000359	[CRLF][CRLF]派遣一支部队可以巩固游骑兵驻站，腾出游骑兵来执行更多的侦查任务。
CTM00000360	[CRLF][CRLF]游骑兵驻站阿尔法对米德湖一览无余。应该为[%]今后的行动巩固驻站。
CTM00000361	游骑兵驻站阿尔法已被巩固。
CTM00000362	重命名驻站
CTM00000363	=考威尔湾=
CTM00000364	[CRLF][CRLF]既然大毒蜂巢已被摧毁，考威尔湾将成为[%]在米德湖的宝贵港口。
CTM00000365	重命名湾区
CTM00000366	=美泉镇=
CTM00000367	[CRLF][CRLF]一度宁静的美泉镇如今只是一片废墟，但[%]可以着手重建定居点。
CTM00000368	重命名美泉镇
CTM00000369	=布拉德利的棚屋=
CTM00000370	[CRLF][CRLF]既然豺狼帮已经被清除，[%]可以派遣一些[%]
CTM00000371	游骑兵
CTM00000372	斥候
CTM00000373	[%]来建立哨站，监视[%]地区。
CTM00000374	重命名棚屋
CTM00000375	=游骑兵驻站布拉沃=
CTM00000376	游骑兵驻站布拉沃坐落于米德湖北部的山丘中。为了[%]今后的行动，我们应该确保并要塞化该驻站。
CTM00000377	游骑兵驻站布拉沃已被巩固。
CTM00000378	=NCR惩戒所=
CTM00000379	惩戒所终于回到了NCR手中。是时候清扫炸药帮留下的烂摊子，重启监狱并加强防范了。
CTM00000380	惩戒所简直一团糟。如果炸药帮想在莫哈维长久发展，我们就不能容忍自己的基地看着像个废墟。
CTM00000381	堕落者们没能看住NCRCF的囚犯们，只能由军团来收拾熊的烂摊子。设施重建后将成为一个很好的奴隶围栏。
CTM00000382	炸药帮已被排除，NCR惩戒所是我们的了。我们得抢在NCR之前进驻并确保监狱。
CTM00000383	军团奴隶
CTM00000384	重命名设施
CTM00000385	=游骑兵驻站查理=
CTM00000386	[CRLF][CRLF]NCR任由游骑兵驻站查理沦为废墟。共和国必须在军团的野蛮面前坚定不移，并重建该驻站。
CTM00000387	[CRLF][CRLF]根据征服的权利，这个游骑兵驻站属于凯撒！我们将派遣一支军团士兵小队来确保其安全。
CTM00000388	[CRLF][CRLF]在被军团士兵夷为平地后，该游骑兵驻站已大门敞开。其战略位置不应被浪费。
CTM00000389	=棉白杨湾=
CTM00000390	是时候强化棉白杨湾的防御，将其打造成凯撒的强大堡垒了。也是时候给营地赋予一个军团的名字了。
CTM00000391	军团已被赶出棉白杨湾。在被军团找到破绽之前，[%]必须确保营地已准备好应对任何可能的军团反攻。
CTM00000392	=游骑兵驻站德尔塔=
CTM00000393	游骑兵驻站德尔塔俯瞰胡佛水坝。为了[%]未来的行动，最好确保并巩固该驻站。
CTM00000394	游骑兵驻站德尔塔已被巩固。
CTM00000395	‘=废弃的钢铁兄弟会地堡=
CTM00000396	[CRLF][CRLF]无论马德雷山埋藏着哪些秘密，它们必须完全由[%]掌控。尽管前往马德雷山的全面探险可能暂不可行，我们应该先确保以利亚的旧地堡来搞清楚他的研究。
CTM00000397	OSI科学家
CTM00000398	奴隶科学家
CTM00000399	天启追随者科学家
CTM00000400	=游骑兵驻站艾柯=
CTM00000401	[CRLF][CRLF]游骑兵驻站艾柯是科罗拉多河莫哈维边界上的数个游骑兵驻站之一。为了[%]未来的行动，我们应该确保并巩固该驻站。
CTM00000402	游骑兵驻站艾柯已被巩固。
CTM00000403	=埃尔·多拉多服务加油站=
CTM00000404	[CRLF][CRLF]这个老加油站可以作为[%]沿95号高速公路的一个战略检查点。
CTM00000405	重命名检查点
CTM00000406	=田间小屋=
CTM00000407	[CRLF][CRLF]不能放任大炮族对任何靠近的人倾泻火力。我们应该在这个小屋建立哨站，警告路人——不听劝就是自找的了。
CTM00000408	[CRLF][CRLF]作为一个坐拥庞大火力的派系，大炮族即便保持孤立也很危险。[%]最好紧密关注其动向。[CRLF][CRLF]一批斥候已被派往内利斯附近路边废弃棚屋，近距离观察。
CTM00000409	=3号避难所=
CTM00000410	[CRLF][CRLF]没有领头人的恶魔帮一片混乱，毫无抵抗[%]之力。把他们从维加斯南部扫除后，[%]就可以修复废墟，重建避难所，吸引废土客定居。
CTM00000411	维加斯南部
CTM00000412	重命名3号避难所
CTM00000413	=游骑兵驻站狐步舞=
CTM00000414	[CRLF][CRLF]游骑兵驻站狐步舞藏在查尔斯顿山的森林中，用于监视红岩峡谷的大汗帮。为了[%]未来的行动，最好确保并巩固该驻站。
CTM00000415	游骑兵驻站狐步舞已被巩固。
CTM00000416	=探照灯营地北部金矿=
CTM00000417	[CRLF][CRLF]军团袭击探照灯营地后，此地已成为狂尸鬼的巢穴。但我们可以轻易清除尸鬼，重启金矿。[CRLF][CRLF]尽管不清楚矿里还能榨出多少价值，但看看又不亏。
CTM00000418	重命名矿洞
CTM00000419	改为盟友
CTM00000420	改为中立
