WIL00000001	Willow
WIL00000216	I can't believe you stuck one of us in that freezer.  That was heartless.  I hope I don't have to worry about what you'll do to me.
WIL00000217	I wonder what happened here. They must have set up all these traps for a reason.
WIL00000218	Robots, traps...I wonder what else we'll find in here?  Ooh! Maybe we'll find a safe filled with some really great loot!
WIL00000219	This is quite a show, isn't it?
WIL00000220	Ever heard of toilet wine?  Inmates make it.  I wonder if anyone makes it here?
WIL00000221	I hope you think it's okay to scavenge for stuff in a prison.  Don't give me away if I grab something, okay?
WIL00000222	I can't wait to see what we'll find. Do you think it's the treasure?
WIL00000223	I wonder what it will be?  Something really exciting I'm sure.  Why else would it have been hidden for so long?
WIL00000224	You know what this place needs?  More Sunset Sarsaparilla lamps.
WIL00000225	The robot, game thing?  He gives me the creeps.
WIL00000226	They were thorough.  It sure  looks like everyone's been wiped out.
WIL00000227	Should we be searching for survivors?  Maybe somebody managed to hide somewhere.
WIL00000228	We haven't seen any kids. Do you think they took them?
WIL00000229	You know, I don't think I'll ever forget this place.
WIL00000230	Eh, poor guy.
WIL00000231	Did you see the car over there on display?  It's on display because it has bullet holes in it.  My hat has bullet holes in it.
WIL00000232	I'm in love with that cowboy robot.
WIL00000233	Oof.  It's cold in here.
WIL00000234	Oof.  It's cold in here.
WIL00000235	I'll take a cave over a vault any day.  Caves usually have critters, which are not creepy.  Vaults...creepy.
WIL00000236	I'll take a cave over a vault any day.  Caves usually have critters, which are not creepy.  Vaults...creepy.
WIL00000237	Lakelurks!  That sound they make is incredible.  Does it vibrate through your whole head, too?
WIL00000238	Attack
WIL00000239	Holy Shit!
WIL00000240	Holy Shit!
WIL00000241	Damn it!
WIL00000242	Stop shooting at me, damn it!
WIL00000243	Ah!  You guys are making me so mad!
WIL00000244	Like a fella once said, ain't that a kick in the head.  Ha! Eat that!
WIL00000245	Like a fella once said, ain't that a kick in the head.  Ha! Eat that!
WIL00000246	Ants!
WIL00000247	Shit!  Do you need a hand over there?
WIL00000248	Deathclaws!
WIL00000249	Raul, we're up!
WIL00000250	Hey, Boone!  I bet I can take out more of these guys than you can!
WIL00000251	Sunny, it's geckos!
WIL00000252	I see red!
WIL00000253	Uniforms! You don't see that everyday!
WIL00000254	Ugh! Die already!
WIL00000255	Damn it! Ferals!
WIL00000256	Looks like we're having gecko for dinner tonight!
WIL00000257	I've got you now!  You're not getting away from me!
WIL00000258	Ya, take this you bitch!
WIL00000259	Bring it!
WIL00000260	Damn it!
WIL00000261	I've got your back!
WIL00000262	Damn it!
WIL00000263	Yeah, yeah, come on!
WIL00000264	.
WIL00000265	.
WIL00000266	Oh!
WIL00000267	Ow!
WIL00000268	Flee
WIL00000269	No, no, no, no, no. I..I'm out of here!
WIL00000270	No, I...I don't want to die, I don't want to die!
WIL00000271	Fine. Don't do it again.
WIL00000272	Hey, take it easy.
WIL00000273	Assault
WIL00000274	What the fuck?
WIL00000275	Hey! What is wrong with you?
WIL00000276	Watch it!
WIL00000277	Nice.
WIL00000278	Holy shit!
WIL00000279	Get down!
WIL00000280	Watch it!
WIL00000281	Glad that's over.
WIL00000282	Did you see that?
WIL00000283	Whoa! That was a workout, wasn't it?
WIL00000284	I hate it when you get beat up like that during a fight.
WIL00000285	I thought for sure one of us was gonna die back there.
WIL00000286	Damn legion!
WIL00000287	Wait here.
WIL00000288	Okay.  I'll see you later.
WIL00000289	Okay!  I'll keep myself busy while you're gone.
WIL00000290	Okay! I love you. See you soon.
WIL00000291	Okay. I'll be right here. Waiting. For you.
WIL00000292	<sigh> Why do I have to miss all the fun.
WIL00000293	You're leaving me here alone? I'm sure there's something we can do together.
WIL00000294	Bark!
WIL00000295	Let's trade equipment.
WIL00000296	Thank you!
WIL00000297	Yeah, of course.
WIL00000298	Okay, sure.
WIL00000299	Trade? Ha! You wanna give me something heavy to carry, don't ya?
WIL00000300	No, I won't trade with you. <laughs> Gotcha.
WIL00000301	Pant, pant.
WIL00000302	Enough about tactics.
WIL00000303	Great.
WIL00000304	Bark, bark!
WIL00000305	Keep your distance. Try to flank them.
WIL00000306	Oh, flank, flank, flank.  I hate it back there. You're just so far away.
WIL00000307	Alright, if that's what you want.
WIL00000308	Okay.
WIL00000309	Bark, bark!
WIL00000310	All right, you're good. Let's get out of here.
WIL00000311	I'm ready.
WIL00000312	Pant, pant
WIL00000313	Your distance is good. Let's talk about something else.
WIL00000314	Sure, what do you want to talk about?
WIL00000315	Pant, pant.
WIL00000316	Stay close to me.
WIL00000317	Great.  I like the company.
WIL00000318	Okay.
WIL00000319	Bark!
WIL00000320	Let's talk about how close you're following me.
WIL00000321	Sure.  Do you want me to get really, really close?
WIL00000322	Sure.
WIL00000323	Bark!
WIL00000324	I want you to use ranged weapons.
WIL00000325	Great. I love, love my gun.
WIL00000326	Great idea.  I love it.
WIL00000327	Switch to a melee weapon.
WIL00000328	Okay, sure.
WIL00000329	Sorry,  I'm not gonna do it. Remember? We talked about it?
WIL00000330	Bark, bark!
WIL00000331	Let's talk about something else.
WIL00000332	Whatever you say.
WIL00000333	Pant, pant.
WIL00000334	That's all. Let's get going.
WIL00000335	Let's get outta here.
WIL00000336	Pant, pant
WIL00000337	I want you to change your combat style.
WIL00000338	I'm all ears.  What's the plan.
WIL00000339	Bark, bark!
WIL00000340	Let's talk about your tactics.
WIL00000341	Okay.
WIL00000342	Bark, bark!
WIL00000343	Let's get going.
WIL00000344	Yeah, let's go.
WIL00000345	Hey, I'm glad you're back.
WIL00000346	Boy am I glad to see you. I have been so bored.
WIL00000347	I hope you had some fun while you were gone.
WIL00000348	Hey, I'm glad you're back.
WIL00000349	I missed you.
WIL00000350	Bark!
WIL00000351	I want you not to attack enemies unless I've already engaged them.
WIL00000352	Great!  I'll just sit back and take it easy.
WIL00000353	<Whine>
WIL00000354	I want you to attack enemies the moment you see them.
WIL00000355	Okay, but I do not like being Deathclaw bait.
WIL00000356	Bark!
WIL00000357	Hey, I could use a hand over here!
WIL00000358	Wake
WIL00000359	Damn Deathclaws!
WIL00000360	Uh, dammit.
WIL00000361	Uh.  My head.
WIL00000362	Well, that was a nice nap.  Now what?
WIL00000363	Groan.
WIL00000364	Uh!
WIL00000365	Ugh!  Dammit!  That...really....hurts!
WIL00000366	What are you doing out here all by yourself?
WIL00000367	I have my reasons. I'm not thrilled about being alone, but I wasn't going to sit around in the Mojave Outpost because of it.
WIL00000368	I'd like you to carry this for me. Please don't use it.
WIL00000369	Fine.  I won't touch it. I promise.
WIL00000370	Why don't you relax here for awhile.  I'll be back for you later.
WIL00000371	Alright, I'll just wander around here and find something to do.
WIL00000372	I'd like you to consider this your home and a place to stay here in the Mojave.
WIL00000373	No one has ever offered me a home before. Thank you.
WIL00000374	Would you mind going back to the house?  I'll catch up with you later.
WIL00000375	Alright.  I'll see you there later.
WIL00000376	Sure I can't talk you into coming with me? It's going to be really lonely without you.
WIL00000377	Please come with me? I think we can think of something to do while we're there.
WIL00000378	No offense, but you don't seem injured and you still have your gear. Is this some kind of scam?
WIL00000379	I used all my medical supplies on my leg.  That's why I'm moving around so well, but it's still sore.
WIL00000380	And it's impossible for me to prove I've been robbed. You'll just have to believe me.  I am telling the truth.
WIL00000381	Oh, wait.  I found this.  They dropped it.  The thieves dropped it.
WIL00000382	Maybe you should have stayed put. Sounds like things didn't work out like you planned.
WIL00000383	No. I didn't plan to lose my favorite rifle, run out of ammo and get injured.   I have never been this unlucky on the road before.
WIL00000384	I suppose you'd like me to help you fix your problem?  Give you a weapon and ammo or caps maybe?
WIL00000385	No, I don't need caps, but my pistol is currently useless to me. So, I do need ammo or a different weapon to go after them.
WIL00000386	Don't look at me. I have my own problems to handle. It was nice meeting you, but I'm leaving now.
WIL00000387	Wait!  I have a pistol, but no ammo and I'm still injured.
WIL00000388	Is there something I can do to help you out of this situation?
WIL00000389	Yes! Look at this. One of them dropped it. I think they'll be going to one of these places.  I want to start looking for them at the closest one.
WIL00000390	However, I have a problem.  I have a pistol, but no ammo.  That's gone too.
WIL00000391	Are you thinking of chasing these guys down alone?
WIL00000392	I'd rather not do it alone, but I will.  I want my stuff back.
WIL00000393	I'm not going to GIVE you anything.  But maybe we could work out a deal if you want my help.
WIL00000394	I have no caps to pay you, so how about this? After we get my stuff back I'll travel with you for awhile.
WIL00000395	I'm a great shot. I started hunting with my Dad was I was a little kid. Plus, I'm a lot of fun to have around.
WIL00000396	Sorry.  I'm out of here.
WIL00000397	Please. I need to go after my stuff.  Maybe I could trade you something for your help.
WIL00000398	Have you been traveling for a long time?
WIL00000399	Nearly two years. Usually I talk my way out of any problems, but these guys jumped me from behind. I didn't get the chance.
WIL00000400	Maybe I can help you get your rifle back...for a price.
WIL00000401	I have no caps to pay you, so how about this? After we get my stuff back I travel with you for a while.
WIL00000402	You're in a really tough spot. What can I do to help you out of this?
WIL00000403	I want to go after the guys who took my stuff. They dropped this. Will you come with me?  Maybe give me some ammo or a different weapon?
WIL00000404	So you want me to supply you for this little adventure and come with you?
WIL00000405	I'd love it if you came with. As for ammo I'll say this: I'm crap with a knife and I'm only a little better with my fists. So, it's up to you.
WIL00000406	But I'm willing to earn what you give me.  I'll travel with you for awhile if you like.  I'm a great shot and I'm great company.  What do you say?
WIL00000407	No, I didn't see anyone.  Are you alright?
WIL00000408	No, I'm not alright. They took my favorite rifle and some other stuff. I do have a pistol with me, but I've got no ammo for it and my leg is hurt.
WIL00000409	Hey, did you see a couple of guys on the road just now?  They robbed me!  Bastards.
WIL00000410	Alright.  That sounds good.  Let's get the equipment all sorted out and then we can leave.
WIL00000411	Okay, and thank you so much. My name's Willow, by the way.  It's nice to meet you. But, please do hurry.  I'm anxious to get going.
WIL00000412	How about this?  You sleep with me and then I'll do whatever you need to get your stuff back?
WIL00000413	How about this?  No and goodbye.
WIL00000414	Okay.  Sleep with me and I'll help you.
WIL00000415	No. I'll go back to the Mojave Outpost and find someone there.  I wanted to do this right now and not waste all that time.  But, no and goodbye.
WIL00000416	If you agree to travel with me for awhile I'll help you out. I could use the company on the road.
WIL00000417	Travel with you?  Okay, after we get my rifle back, I agree to travel with you for awhile.
WIL00000418	You're telling me the truth aren't you? Okay, I'll help you. But I want something in return.
WIL00000419	I have no caps to pay you. So how about this?  After we get my stuff back I'll travel with you for awhile.
WIL00000420	I'm a great shot. I started hunting with my Dad was I was a little kid. Plus, I'm a lot of fun to have around.
WIL00000421	You sound awfully confident.  What if we don't find your stuff?  How will you repay me?
WIL00000422	What if I agree to travel with you for awhile whether we find my rifle or not. I'm a great shot and I'm a lot of fun to have around.
WIL00000423	You need me to supply you in order to follow these guys?  Do you also want me to come with you?
WIL00000424	Yes!  I would be so grateful.  Maybe I could repay you some way.  I don't have caps, but would you be interested in some company on the road?
WIL00000425	I'd be willing to travel with you for awhile, take night watch, kill critters, stuff like that.  I'm fun to have around. What do you say?
WIL00000426	Okay, I'll do it. Let's get ready to go.
WIL00000427	I'm Willow, by the way.  It's nice to meet you.  And thank you so much.  This means the world to me.
WIL00000428	I'll agree to that.  But what if we don't find your stuff? Then what?
WIL00000429	I don't want to consider that possibility. But I'll travel with you for awhile whether we find my stuff or not.  That seems fair.
WIL00000430	Okay, I'll agree to that.  Let's get organized and then we'll get going.
WIL00000431	Thank you so much.  My name's Willow, by the way.  It's nice to meet you.  And, can we hurry?  I'm anxious to get going.
WIL00000432	And here. You should see this. They dropped it. I'm guessing it's where they're headed. I want to start looking at the closest location.
WIL00000433	What if we don't find your stuff?  I want your word that you will travel with me either way.
WIL00000434	I don't want to think about that possiblity.  But, alright, yes, you have my word.  I'll travel with you either way.
WIL00000435	I want your word that you will travel with me whether we find your rifle or not.
WIL00000436	I don't even want to think about that possibility, but, yes, I agree to travel with you whether we find my rifle or not.
WIL00000437	Let's get going.
WIL00000438	Great!  Listen! I want to tell you exactly what I lost so you'll know what to look for, okay?
WIL00000439	You know about my rifle, Beauty.  That's what I call her. And there are two other things. Chester, a teddy bear I've had forever, and Moira, a doll.
WIL00000440	I hope we find the toys. I'm embarrassed to admit this and know it sounds stupid, but I do love them.
WIL00000441	I need to see that pistol of yours. I don't know if I have ammo for it or not.
WIL00000442	Oh, sure, of course.
WIL00000443	You're angry.  I'm sorry.  Can we start over?
WIL00000444	Yeah, I am angry. You were an ass.  But since you've apologized and you seem sincere enough, sure we can start over.
WIL00000445	So, here's the deal.  I found this.  I've lost a bunch of stuff, including my favorite rifle and I want to chase down these guys and get it back.
WIL00000446	I need ammo, if you have it, for the pistol I'm carrying and backup if you're interested. So, what do you say? Oh, and my name's Willow, by the way.
WIL00000447	I'll do it...if you sleep with me. <huge laugh> I'm just kidding. Let's go get your stuff back.
WIL00000448	Seriously?  And you don't want anything in return from me?
WIL00000449	No, I don't want anything from you. I feel really bad about what I said to you.
WIL00000450	Thank you.  That's very sweet of you. I appreciate it very much.  I'd love to leave as soon as possible.
WIL00000451	I won't lie.  I think you're very attractive.  But I don't want anything from you for this.
WIL00000452	Oh, thank you. Your not so bad yourself. Do you think we could leave as soon as possible?
WIL00000453	I do want something from you.  But not as payment.  Let's just see how things go.
WIL00000454	Oh, well, uh, alright.  We'll just see how things go, then. Can we leave as soon as possible?  I'm anxious to get my stuff.
WIL00000455	Okay.  I'll help you.  Let's go get your stuff.  And don't worry about paying me back.
WIL00000456	Why are you being so generous?  This is a lot to do for someone you don't know for nothing in return. Not that I'm not grateful.
WIL00000457	I acted like an ass earlier.  I'd like to make that up to you.
WIL00000458	Thank you.  I appreciate that very much.  Can we leave soon?  I'm anxious to get going.
WIL00000459	I like you and I'd like to spend more time with you.  Even if it does involve chasing criminals.
WIL00000460	Well, thank you, you're not so bad yourself.  Can we start chasing those criminals soon?  I'd really like to get outta here.
WIL00000461	I do want something from you, but not as payment for anything. We'll just have to see how things go.
WIL00000462	Thanks for helping me, but, yeah, we'll just have to see what happens. And do you think we could leave soon?  I'm anxious to get out of here.
WIL00000463	Would you stay here and wait for me?  I'll be back for you later.
WIL00000464	Alright, if that's what you want. But don't leave me here long, okay?
WIL00000465	Can I look at what you're carrying right now?
WIL00000466	Um, sure.
WIL00000467	Would you wait here for me? I'll be back for you soon.
WIL00000468	I will, but please hurry.
WIL00000469	Let's go.
WIL00000470	Yeah, let's go.
WIL00000471	I had fun with you and Red Lucy, but I still don't want you to pay too much attention to her, okay?
WIL00000472	Wow, Sarah is bad at sex!  She's as bad at sex as she is with giftshops.
WIL00000473	I'm sure Caesar is going to be very proud of you for killing Kimball.  I hope he rewards you well.  Better than when you saved his life.
WIL00000474	I will be so happy when we're done running these errands for Lucy.
WIL00000475	Deathclaw eggs!  She doesn't want much, does she?
WIL00000476	Exploding ants aren't as much fun as I thought they'd be.
WIL00000477	So, you're passing bad Intel to the NCR from the legion? Hmpf.
WIL00000478	Poor Kimball.  It's too bad the solution had to be so final.
WIL00000479	Lucy's hair is a funny color. It doesn't look real to me. I wonder if she puts color on it somehow. I bet she has gray hair because she's so old.
WIL00000480	How old do you think Lucy is?  Doesn't she seem old to you?  She seems old to me.
WIL00000481	Have you noticed Lucy's voice?  It's so deep. I wonder if maybe she's really a boy dressed as a girl? That'd be a big surprise for someone, huh?
WIL00000482	The Nightkin are amazing when they sneak, aren't they?
WIL00000483	You know, sometimes I really miss Boone.
WIL00000484	Ears for the guy at Camp Forlorn Hope. Heads for the guy at McCarran.  The NCR is more bloodthirsty that I thought!
WIL00000485	I can't believe we're getting ears for that guy at Camp Forlorn Hope. It's disgusting.  I don't want to carry 'em, you know.
WIL00000486	It's so cool up here. It's a nice break from the heat.
WIL00000487	Maybe after I've seen the Mojave I'll go back to Novac to live. Wouldn't it be fun to stay in one of those little bungalows at the motel?
WIL00000488	A guy at the Mojave Outpost told me there's some horrible nest of Deathclaws near a place called Sloan.  We're not going there are we?
WIL00000489	I wonder if those ants at Boomtown really explode.  If it's true, that'd be worth seeing, don't you think?
WIL00000490	Raising that plane off the bottom of the lake was one of the neatest things I've ever seen.  Whoosh!
WIL00000491	It's too bad the Fiends are such assholes.  I like those scary helmets they wear.  I'd love to wear one.
WIL00000492	Why don't you do right, like some other men do. Get out of here, give me some money too.
WIL00000493	*sings with no words*
WIL00000494	Like a fella once said, ain't that a kick in the head.
WIL00000495	How lucky can one girl be?  I kissed him and he kissed me.
WIL00000496	How lucky can one girl be?  I kissed her and she kissed me.
WIL00000497	*sings with no words*
WIL00000498	I'm so blue without you, thought our love was true, then you found someone new.
WIL00000499	Waiting, watching the stars above. Hoping that I could win back your love.
WIL00000500	You loved me so, but let me go. Now I'll never know how our love will grow.
WIL00000501	Blue moon you saw me standing alone, without a dream in my heart, without a love of my own.
WIL00000502	*sings with no words*
WIL00000503	*sings with no words*
WIL00000504	Why don't you do right, like some other men do.  Get out of here, give me some money too.
WIL00000505	*hums*
WIL00000506	*hums*
WIL00000507	*yawns*
WIL00000508	I'm starving.
