DLC20000001	GREETING
DLC20000034	Are you here to jaw at me a while longer, or are we ready to get this show on the road?
DLC20000035	We smash White Legs now, yes?
DLC20000036	Well, here we part ways. I'm needed back at the Dead Horses camp - maybe I'll see you there sometime.
DLC20000037	This is taking too long. We can't let Salt-Upon-Wounds escape. I'm going to find a way around. God willing, we will finish this together.
DLC20000038	The time for talk has passed. The Lord's work must be done.
DLC20000039	Daniel must have made it to the tunnel by now, but there are Sorrows all over the valley! We have to help them and get Daniel out of here!
DLC20000040	We should have given you a better welcome on your first visit to Zion, but from what I hear, the White Legs beat us to it.
DLC20000041	White Legs seem to be the only visitors we have these days, and I wouldn't have expected anyone from the Mojave to come looking for us.
DLC20000042	And you're a courier, no less. Not the one I was expecting, but I suppose he wouldn't have come with a caravan.
DLC20000043	I don't know if you were close to the other members of your group, but you have my sympathy.
DLC20000044	I pray for the safety of all good people who come to Zion, even Gentiles, but we can't expect God to do all the work.
DLC20000045	Welcome back. What can I do for you?
DLC20000046	You looking for trouble, bud? I got plenty to spare, so watch your ass around me.
DLC20000047	You looking to join this here caravan? Look a little wet behind the ears, you ask me.
DLC20000048	Hey, little lady. Don't be scared to join this caravan! I'll keep a close eye on you - real close. Promises.
DLC20000049	Yeah? What's it this time?
DLC20000050	Fuck off, okay? I hate you!
DLC20000051	I may have been exaggerating a little. Truth is, I got this suit and the Pit-Boy off a dead prospector who came out from Zion.
DLC20000052	Guy was dead when I found him, okay? Had a ton of shit on him. That's how I know there's good loot in Zion, see?
DLC20000053	Fuck off, I'm busy!
DLC20000054	Looking to join this caravan, huh? Look to me like you can handle yourself.
DLC20000055	Something on your mind?
DLC20000056	Leave me be. Busy.
DLC20000057	Welcome back. What can I do for you?
DLC20000058	I do wish you'd come and met with me at the Lucky 38 when you first arrived on the Strip. Or after Benny fled, even.
DLC20000059	Goot.
DLC20000060	Yah ah tahg.
DLC20000061	Hoi!
DLC20000062	Please, is it time? Is everyone safe? We have to go!
DLC20000063	Uh... I apologize if this comes across as a less-than-cordial welcome, but how did you get in here? You from the Mojave?
DLC20000064	Do me a favor and go to talk to Joshua, all right?
DLC20000065	The Dead Horses told me details about the attack on your caravan. A stranger's sympathy might not count for much, but for what it's worth, I'm sorry.
DLC20000066	The Sorrows will mourn your friends, too. They mourn everyone, even the White Legs. They have sensitive souls. Innocent, if there is such a thing.
DLC20000067	In spite of what's happened, I hope that Joshua and I can help you out of here. But to be frank, we need your help, too.
DLC20000068	I'm glad to see you're still with us. How can I help you?
DLC20000069	Holadu, Tsagasee.
DLC20000070	Holadu, Na'ne.
DLC20000071	Katu Veo. Nayoo?
DLC20000072	Wise man knows when to shut mouth. You maybe wise. Or maybe not.
DLC20000073	Such a small thing, isn't it? And yet so... capacious. So very dear.
DLC20000074	Decades of hiring salvagers out west to search for this little relic in the ruins of a place called Sunnyvale. Back then, anyway.
DLC20000075	That's where the Chip was printed, on October 22, 2077. It was to have been hand-delivered to me here, at the Lucky 38, the next day.
DLC20000076	But the bombs fell first. Suffice it to say, the delivery was never made.
DLC20000077	PLAYER THROW GRENADE
DLC20000078	Frag out!
DLC20000079	Fire in the hole!
DLC20000080	Grenah!
DLC20000081	Boomb!
DLC20000082	Nih mah sih!
DLC20000083	Bahm buh!
DLC20000084	Coriendoo!
DLC20000085	Grenahoo!
DLC20000086	Deha ruido!
DLC20000087	No discarge armoos!
DLC20000088	Be careful. Tribals don't always recognize those for what they are.
DLC20000089	Watch it. You can't just go tossing those all over Zion.
DLC20000090	Ah del tahi, bahm buh, ya?
DLC20000091	A bil he neh fuhr jahd thli gai! Heh he!
DLC20000092	Ke cosa estee-na?
DLC20000093	Por ke katu pongwa estee?
DLC20000094	You're not the first to have tried.
DLC20000095	Make the first shot count. You won't get a second.
DLC20000096	Do'an poin aiti ay me!
DLC20000097	Subai thah, tsahh.
DLC20000098	No tsaig tuh beh dah a hih jih gahni a meer.
DLC20000099	Stahp dahs pleez.
DLC20000100	Me no heranu a katu.
DLC20000101	Baje ka armoo.
DLC20000102	Attack
DLC20000103	Had enough?
DLC20000104	Come on!
DLC20000105	You like that?
DLC20000106	Take it!
DLC20000107	Die where you stand!
DLC20000108	Prepare to meet your maker.
DLC20000109	Ahm naaiyawi wichoo!
DLC20000110	Deyai-yoo!
DLC20000111	Yoocan no nikumpa me!
DLC20000112	Nah ash ne wit deer!
DLC20000113	Shtairb!
DLC20000114	Glahb ni kahn meer dah ah?!
DLC20000115	Akee!
DLC20000116	Tunnoo estee!
DLC20000117	Uweka muerna!
DLC20000118	This one is mine!
DLC20000119	Yield!
DLC20000120	I have this under control!
DLC20000121	Gotcha!
DLC20000122	Hah!
DLC20000123	Hit
DLC20000124	Hmph!
DLC20000125	Ugh!
DLC20000126	Oof!
DLC20000127	Ahh!
DLC20000128	Argh!
DLC20000129	Damn!
DLC20000130	I'm hit!
DLC20000131	<Grunt.>
DLC20000132	<Grunt.>
DLC20000133	<Grunt.>
DLC20000134	<Grunt.>
DLC20000135	<Grunt.>
DLC20000136	<Grunt.>
DLC20000137	Eh!
DLC20000138	Eh!
DLC20000139	Eh!
DLC20000140	Eh!
DLC20000141	Eh!
DLC20000142	Eh!
DLC20000143	Flee
DLC20000144	I'm out of here!
DLC20000145	This is hopeless!
DLC20000146	Help!
DLC20000147	No matanna me!
DLC20000148	Me no kaade muerna!
DLC20000149	Me no kaade akee!
DLC20000150	This is too intense!
DLC20000151	We are outmatched!
DLC20000152	They're too strong for us!
DLC20000153	Time to get lost!
DLC20000154	This is a battle we cannot win!
DLC20000155	Steal
DLC20000156	That doesn't belong to you!
DLC20000157	You can't just take that!
DLC20000158	Thief!
DLC20000159	We're a tolerant community, but don't overstep the limits of our generosity.
DLC20000160	This isn't a New Vegas back alley. Watch what you grab.
DLC20000161	No! Shtay len tahbah mah ee.
DLC20000162	Bey haz oh neekt!
DLC20000163	Ponedo lawatba!
DLC20000164	Katu! Pongwa de nuevu!
DLC20000165	Wa desafortuba yegwi a lawatba.
DLC20000166	Um... you know I'll share if you ask, right?
DLC20000167	Is... is this some kind of civilized ritual I just don't get?
DLC20000168	Is thievery not considered wrong where you come from?
DLC20000169	Is your need for possessions truly so great?
DLC20000170	Better not try that again.
DLC20000171	That sort of thing might be seen as a dumb prank in the Mojave, but it will get you killed out here.
DLC20000172	Maiku.
DLC20000173	Lah.
DLC20000174	Paz patasooba.
DLC20000175	Assault
DLC20000176	What the hell?!
DLC20000177	What was that for?
DLC20000178	You dirty coward!
DLC20000179	<Low growl>
DLC20000180	Ye have sown death and so shall ye reap it!
DLC20000181	Varoom? Stahp!
DLC20000182	Ah!
DLC20000183	Ayud me!
DLC20000184	Wa golpe me!
DLC20000185	Wa ataco me!
DLC20000186	Murder
DLC20000187	No!
DLC20000188	Murderer!
DLC20000189	What have you done?
DLC20000190	That's enough!
DLC20000191	<Roar of anger.>
DLC20000192	Devil!
DLC20000193	Geh bits ah!
DLC20000194	Chin dee!
DLC20000195	Katu matanna ud!
DLC20000196	Asekene!
DLC20000197	Nona! Asekenoo-na!
DLC20000198	Whoa! Was that necessary?
DLC20000199	Are you sick in the head or something?
DLC20000200	What demon would possess you to do such a thing?
DLC20000201	Are you suffering a brain fever? I have herbs that can curb such... violent tendencies.
DLC20000202	
DLC20000203	
DLC20000204	
DLC20000205	
DLC20000206	Grrrraah!
DLC20000207	Yaargh!
DLC20000208	Rrrraaahhh!
DLC20000209	Huurrraghh!
DLC20000210	
DLC20000211	
DLC20000212	
DLC20000213	
DLC20000214	<Strenuous grunt.>
DLC20000215	<Strenuous grunt.>
DLC20000216	<Strenuous grunt.>
DLC20000217	<Strenuous grunt.>
DLC20000218	Ehrr!
DLC20000219	Ehrr!
DLC20000220	Ehrr!
DLC20000221	A pointless death.
DLC20000222	That should have been avoided.
DLC20000223	Dahs wur bahd.
DLC20000224	Ow wah!
DLC20000225	Powee desafortuba...
DLC20000226	Wa no beunu por katus.
DLC20000227	Wa muerna yegwi cuado wa kaade.
DLC20000228	Remind me not to get you mad at me.
DLC20000229	Guess that was just bound to happen, huh?
DLC20000230	I don't much like your way of solving problems.
DLC20000231	I regret that necessity.
DLC20000232	Get down!
DLC20000233	Incoming!
DLC20000234	Get down!
DLC20000235	Duck!
DLC20000236	Tek thees!
DLC20000237	Kuna-boomb!
DLC20000238	Naymst dees!
DLC20000239	Koh bahm buh!
DLC20000240	Infiernoo akee!
DLC20000241	Tunno granahoo!
DLC20000242	Bombs away!
DLC20000243	Boom coming!
DLC20000244	Grenade!
DLC20000245	Watch out!
DLC20000246	Holy shit!
DLC20000247	Look out!
DLC20000248	Taking cover!
DLC20000249	Watch out!
DLC20000250	Bai-thah!
DLC20000251	Shits!
DLC20000252	Shaiss!
DLC20000253	Eh hahj!
DLC20000254	Cuidaloo!
DLC20000255	Katu mirana!
DLC20000256	Eyes!
DLC20000257	Heads up!
DLC20000258	Beware!
DLC20000259	Danger!
DLC20000260	Look sharp!
DLC20000261	StartCombat
DLC20000262	Over here!
DLC20000263	That's it!
DLC20000264	Enough!
DLC20000265	Forward!
DLC20000266	Your deyaipe!
DLC20000267	Baika-dems!
DLC20000268	Nikkumpa!
DLC20000269	Ni ar toht!
DLC20000270	Jahd thli gai!
DLC20000271	Ahl tah jeh jey!
DLC20000272	Uweka duerme!
DLC20000273	Whoa! Here we go!
DLC20000274	Fighting time!
DLC20000275	You leave me no choice!
DLC20000276	I'll fight you if I must!
DLC20000277	Death
DLC20000278	Aaaah!
DLC20000279	Urgh!
DLC20000280	Gaaah!
DLC20000281	Ahhgh!
DLC20000282	Ahhgh!
DLC20000283	Ahhgh!
DLC20000284	You'd better get out of here if you know what's good for you.
DLC20000285	Keep moving.
DLC20000286	You'd better get out of here.
DLC20000287	Katu no kaade akee.
DLC20000288	Mueba, Tsagasee.
DLC20000289	I've got you now.
DLC20000290	Got 'em!
DLC20000291	Found them!
DLC20000292	Here they are!
DLC20000293	There they are!
DLC20000294	Now you've done it.
DLC20000295	You've called down the wrath.
DLC20000296	This is where the road ends.
DLC20000297	Shoah!
DLC20000298	Shih finn deh deer!
DLC20000299	{"Come here!")Hah go!
DLC20000300	Shoah!
DLC20000301	Shih finn deh deer!
DLC20000302	{"Come here!")Hah go!
DLC20000303	Ayee katu!
DLC20000304	Me sabaloo estee!
DLC20000305	Holadu!
DLC20000306	What was that?
DLC20000307	Ahm mane look.
DLC20000308	Ah heer sumning.
DLC20000309	Hagai?
DLC20000310	Shh! Did you hear something?
DLC20000311	I think I saw something....
DLC20000312	Eyes wide.
DLC20000313	Ears open.
DLC20000314	Huh?
DLC20000315	What?
DLC20000316	Hmm.
DLC20000317	Yideets oh etvass.
DLC20000318	Vass?
DLC20000319	Nish eh.
DLC20000320	Hmm?
DLC20000321	Wa algues ayee?
DLC20000322	Ke estee-na?
DLC20000323	Guess it was nothing.
DLC20000324	Guess I'm just jumpy.
DLC20000325	Nothing after all.
DLC20000326	We seem to be safe for the moment.
DLC20000327	Never mind. I was wrong.
DLC20000328	Must have left.
DLC20000329	Hmm. Nothing.
DLC20000330	Huh. Maybe I need some sleep.
DLC20000331	Huh. Ne gaihinnim.
DLC20000332	Gaihaiwai.
DLC20000333	Hmm.
DLC20000334	Huh. Neekts.
DLC20000335	Gey gonen.
DLC20000336	Hmm.
DLC20000337	Me suenoo-na?
DLC20000338	Wa nana, me supongoo.
DLC20000339	Escuchu nana, me supongoo.
DLC20000340	Phew. I'm glad that's over.
DLC20000341	Work well done.
DLC20000342	All in a day's labor serving the good Lord.
DLC20000343	Finished.
DLC20000344	Baika-good, fren!
DLC20000345	Ahm sunhai tihda!
DLC20000346	Tsaande-job!
DLC20000347	Goot keel, ahk iss.
DLC20000348	Shih zhah neh hoyta!
DLC20000349	Goot nah nish.
DLC20000350	Si, coriendoo!
DLC20000351	Cobar'e. Wa fortuba me no matanna katu.
DLC20000352	Si, me meja ke katu.
DLC20000353	Well, that's that then.
DLC20000354	Never stood a chance, did they?
DLC20000355	Messy business - I am glad it's over.
DLC20000356	Let's move on - I don't like to linger in this place.
DLC20000357	Where'd you go?
DLC20000358	Yes, hide. Run and hide in fear.
DLC20000359	Slink away. Squeeze between the rocks if you can.
DLC20000360	Hiding, are you? Well, I'm coming to find you.
DLC20000361	Whar d'yoo go?
DLC20000362	Gaihaiwai!
DLC20000363	Ah doan'se hem!
DLC20000364	Yee nad loo shee!
DLC20000365	Guhst fair schvoond!
DLC20000366	Fair flick!
DLC20000367	Adone patasooba?
DLC20000368	Katu veo e luchoo!
DLC20000369	Cobar'e! Deha coriendoo!
DLC20000370	Hey! Where'd they go?
DLC20000371	Lost 'em!
DLC20000372	I cannot find them!
DLC20000373	Where are they?
DLC20000374	Guess she's gone.
DLC20000375	Guess he's gone.
DLC20000376	Huh. Looks like they left.
DLC20000377	Only a matter of time.
DLC20000378	Time will run out on you yet.
DLC20000379	Hide while you can.
DLC20000380	Eno.
DLC20000381	Ah no see gaihinnim.
DLC20000382	Ahm matenka look.
DLC20000383	Yo eechay.
DLC20000384	Sha shin neekt.
DLC20000385	Shih ahm fair tig es zookuh.
DLC20000386	Baste veoo. Uds pasane.
DLC20000387	Me perdilo a uds.
DLC20000388	Wa atendu? Uds pasane.
DLC20000389	They must've run off. Scared of us, huh?
DLC20000390	I don't think they're coming back.
DLC20000391	They're gone. Perhaps that means we don't have to kill them.
DLC20000392	I think our enemy has fled.
DLC20000393	There you are!
DLC20000394	Let's end this.
DLC20000395	Judgment's coming.
DLC20000396	Time's up.
DLC20000397	Nokihn run, yoo!
DLC20000398	Thah no!
DLC20000399	Deyai-yoo, maikku!
DLC20000400	No, ni kahn neekt ruhn!
DLC20000401	Dahs eet!
DLC20000402	Ni ar toht!
DLC20000403	Discube katu!
DLC20000404	Akee yegwi!
DLC20000405	Estee val a duela a katu!
DLC20000406	Gotcha!
DLC20000407	Thought you could get away from Follows-Chalk?
DLC20000408	There you are!
DLC20000409	I found them!
DLC20000410	Who's there?
DLC20000411	Hmm....
DLC20000412	I am not giving up the search yet.
DLC20000413	Stay cautious.
DLC20000414	I'm still looking, don't worry.
DLC20000415	Someone there?
DLC20000416	Don't try to hide from me.
DLC20000417	You can't stay hidden forever.
DLC20000418	Ahm stih bui-neeking.
DLC20000419	Haganai yoo?
DLC20000420	Ahn yoo here stih?
DLC20000421	Shih zookuh ta tee...
DLC20000422	Voh ni ar?
DLC20000423	Ni ar heer?
DLC20000424	Ke estee-na?
DLC20000425	Me escuchu algue-na?
DLC20000426	Ke ruido estee-na?
DLC20000427	I'll find you.
DLC20000428	You'll be back. I can still smell you.
DLC20000429	Gave up? Wise choice.
DLC20000430	Gone. No matter. I'll find you.
DLC20000431	Ahm nananga yoo.
DLC20000432	Mabe yoo gaihaiwa?
DLC20000433	Haganai yoo?
DLC20000434	Ee sists ah.
DLC20000435	Dah tse ni ar gey gonen.
DLC20000436	Voh ni ar?
DLC20000437	Katu no n'veo de me!
DLC20000438	Me olfale katu!
DLC20000439	Me val a discube katu.
DLC20000440	Still looking, but I got nothing.
DLC20000441	Still nothing here.
DLC20000442	Do you see them?
DLC20000443	Where are they?
DLC20000444	Estee no luchoo mela!
DLC20000445	Me no kaade partu estee.
DLC20000446	Howdy. My name is Jed Masterson, and I'm a caravan boss for the Happy Trails Caravan Company.
DLC20000447	If you're hearing this, I have a job offer for you. Happy Trails is organizing an expedition north into Utah, off the Long 15, and we need people.
DLC20000448	We're looking for caravan guards, prospectors, couriers - if you're used to humping it across the Wastes straight toward trouble, we want you.
DLC20000449	If you've got a Pip-Boy, we definitely want you.
DLC20000450	On the other hand, if you're a greenhorn or a city-slicker spinning tales about your skills, you can kindly go hang.
DLC20000451	If we like your gumption, we'll pay you square and treat you fair. Find me, Jed Masterson, at the Northern Passage if you're interested. Luck to you.
DLC20000452	They killed him!
DLC20000453	They killed her!
DLC20000454	Look out!
DLC20000455	We'll get 'em.
DLC20000456	Flank 'em!
DLC20000457	There will be time to grieve later.
DLC20000458	Let this death mean something.
DLC20000459	Yoo murdah my hainji!
DLC20000460	No! Net yoo!
DLC20000461	Roo too nait, ahk iss.
DLC20000462	No! Neekt ni!
DLC20000463	Nona! Ud muerna!
DLC20000464	Ud matanna mes!
DLC20000465	Joshua isn't going to like this....
DLC20000466	Hey! Don't die on me now!
DLC20000467	This is how violence always ends....
DLC20000468	I wish I could have saved you.
DLC20000469	Wait here.
DLC20000470	Sure, okay. I'll wait behind. Not like I'm not used to that.
DLC20000471	As you wish. I will wait, but please do not be gone long.
DLC20000472	Sorry. That's not going to happen.
DLC20000473	Let's trade equipment.
DLC20000474	Well then, let's get to trading.
DLC20000475	If something of mine will help you, take it. I hope you would do the same for me.
DLC20000476	No thanks.
DLC20000477	Enough about tactics.
DLC20000478	What can I do?
DLC20000479	I will do my best to follow your requests.
DLC20000480	Anything else?
DLC20000481	Keep your distance. Try to flank them.
DLC20000482	Sure... you are going to leave me some chalk marks to follow though, right?
DLC20000483	I'll give you room to work, then.
DLC20000484	As you like.
DLC20000485	All right, you're good. Let's get out of here.
DLC20000486	Lead on, I'll follow.
DLC20000487	Off we go, then.
DLC20000488	After you.
DLC20000489	Your distance is good. Let's talk about something else.
DLC20000490	What can I do?
DLC20000491	What else is there to talk about?
DLC20000492	Anything else?
DLC20000493	Stay close to me.
DLC20000494	Fine by me - get too far back and it's easy to lose your partner in this maze.
DLC20000495	I will do my best to stay close.
DLC20000496	I'm at your side.
DLC20000497	Stick close to me.
DLC20000498	Let's talk about how close you're following me.
DLC20000499	Just tell me where to be, and I'll be there.
DLC20000500	How close do you prefer me to follow?
DLC20000501	Whatever you'd like. It makes no difference to me.
DLC20000502	I want you to use ranged weapons.
DLC20000503	Keeping my distance sounds more my speed anyways.
DLC20000504	My skills lie elsewhere, but I will do as you bid.
DLC20000505	Naturally.
DLC20000506	Switch to a melee weapon.
DLC20000507	Up close and personal? Well, as long as they don't have guns.
DLC20000508	I will fight with my fists as best I can.
DLC20000509	Fine. If that's your style, I can adapt.
DLC20000510	Let's talk about something else.
DLC20000511	What can I do?
DLC20000512	That's it for your tactics. Let's talk about something else.
DLC20000513	What did you have in mind?
DLC20000514	That's it for your tactics. Let's talk about something else.
DLC20000515	Anything else?
DLC20000516	That's it for your tactics. Let's talk about something else.
DLC20000517	That's all. Let's get going.
DLC20000518	Lead on, I'll follow.
DLC20000519	I will try to follow your example.
DLC20000520	All right.
DLC20000521	I want you to change your combat style.
DLC20000522	Change it to...?
DLC20000523	How shall I fight?
DLC20000524	Oh?
DLC20000525	Let's talk about your tactics.
DLC20000526	Tactics? You know I'm not much of a fighter, right?
DLC20000527	Battle is not my strongest skill, but I am eager to learn from you.
DLC20000528	What have you to teach me of tactics?
DLC20000529	Let's get going.
DLC20000530	Right behind you.
DLC20000531	I walk in your footsteps.
DLC20000532	It's time for us to part ways.
DLC20000533	You sure? It's easy to get lost out here without a guide.
DLC20000534	Go back to your people's camp.
DLC20000535	Daniel was firm about my staying with you. Are you certain?
DLC20000536	Go back to your people's camp.
DLC20000537	Ha ha ha. I don't think so.
DLC20000538	I think we should travel together.
DLC20000539	Joshua said I might be going with you. Let's go then!
DLC20000540	I want you to travel with me.
DLC20000541	I am happy to offer you what guidance I can. Let's go.
DLC20000542	I want you to travel with me.
DLC20000543	The path lies before us. Let's not waste any time.
DLC20000544	God protect me!
DLC20000545	Lord, make me thy instrument!
DLC20000546	God and liberty!
DLC20000547	Deyai-yoo, devil!
DLC20000548	Wes run!
DLC20000549	Nikumpa me!
DLC20000550	Momewi de luchoo!
DLC20000551	Mes luchoo ahorla!
DLC20000552	Me derote katu!
DLC20000553	Shtairb, chin dee!
DLC20000554	Sohl tyeh!
DLC20000555	Dah ah hi meer!
DLC20000556	Let's take them!
DLC20000557	This one's mine!
DLC20000558	I'm with you.
DLC20000559	Let's go!
DLC20000560	For the Sorrows!
DLC20000561	Hyah!
DLC20000562	On second thought, stick with me for a little longer.
DLC20000563	Glad to hear it. I wouldn't want to go back to Joshua alone.
DLC20000564	Good. Daniel's decisions are wise. You are wise for respecting them.
DLC20000565	Good, because I wasn't going to leave.
DLC20000566	Yes, I'm sure.
DLC20000567	All right. Joshua won't be too happy, but all right.
DLC20000568	If that is your wish, I cannot change your mind. I will wait for you at the Sorrows' camp until you return.
DLC20000569	I'm not going anywhere. Get the idea out of your head and get moving.
DLC20000570	Got it.
DLC20000571	As you say.
DLC20000572	Yes, of course.
DLC20000573	I want you not to attack enemies unless I've already engaged them.
DLC20000574	Now you're thinking like a hunter! I like this plan.
DLC20000575	That seems sensible. I'd prefer to let you choose the targets.
DLC20000576	What's the point?
DLC20000577	I want you to attack enemies the moment you see them.
DLC20000578	You're starting to sound like the old Joshua. Okay, got it.
DLC20000579	Isn't a more diplomatic approach preferable? Very well, but I'm not comfortable with this.
DLC20000580	It's the only way I know.
DLC20000581	By the rivers of Babylon, there we sat down, yea, we wept, when we remembered Zion.
DLC20000582	Remember, O Lord, the children of Edom in the day of Jerusalem who said, "Raze it, raze it, even to the foundation."
DLC20000583	O daughter of Babylon, who art to be destroyed. Happy shall he be, that rewardeth thee as thou hast served us.
DLC20000584	Happy shall he be, that taketh and dasheth thy little ones against the stones.
DLC20000585	Do you know what it means?
DLC20000586	If I don't make it... tell Joshua... I tried.
DLC20000587	Looks like I'm headed for the big dark....
DLC20000588	Sorry... I let you down....
DLC20000589	Even my best herbs won't work if I'm dead... I need help!
DLC20000590	I will not leave my children orphans!
DLC20000591	If I fall... save the Sorrows... please.
DLC20000592	I could use some help here!
DLC20000593	I won't last long at this rate!
DLC20000594	Can I get some backup? Healing? Something?
DLC20000595	My wounds are getting worse!
DLC20000596	I can't keep up this pace much longer!
DLC20000597	I need healing powder!
DLC20000598	Wake
DLC20000599	This is not the most pleasant place I've woken up.
DLC20000600	My head feels about to burst. At least that means I'm still alive.
DLC20000601	Is it normal to hurt all over after a battle?
DLC20000602	Oh, look, I'm not dead.
DLC20000603	Okay, okay, I'm up. What's next?
DLC20000604	They're cutting through me like paper!
DLC20000605	This armor is useless!
DLC20000606	I cannot defend myself against this!
DLC20000607	I need better armor!
DLC20000608	I don't think I'm hurting them at all!
DLC20000609	Are you sure this weapon actually works?
DLC20000610	My attacks are doing nothing!
DLC20000611	Might as well tickle them with a feather!
DLC20000612	Got anything bigger I can fight with?
DLC20000613	No more bullets!
DLC20000614	I'm shooting dry here!
DLC20000615	I have no more bullets!
DLC20000616	I need a reload!
DLC20000617	My guns are empty!
DLC20000618	There... hopefully it won't fall off now.
DLC20000619	Now that's good medicine!
DLC20000620	This is much more effective than I expected!
DLC20000621	If only I had more of this medicine to share with the tribe.
DLC20000622	Crippled
DLC20000623	Ahh! I'm going to need a healer!
DLC20000624	Hope you've got medicine better than some sticky herbs!
DLC20000625	I fear I will need more than my herbs to fix this....
DLC20000626	This wound is grievous! I need help!
DLC20000627	Regenerating
DLC20000628	Good as new!
DLC20000629	Just what the medicine man ordered!
DLC20000630	That should keep me going a while longer.
DLC20000631	Much improved.
DLC20000632	I feel better already.
DLC20000633	Poison
DLC20000634	Feeling the poison here!
DLC20000635	I'm not feeling so good....
DLC20000636	I've been poisoned!
DLC20000637	This wound needs to be sucked out, quickly!
DLC20000638	I need some Radscorpion glands and Nightstalker blood to treat this poison.
DLC20000639	I look like a pack Brahmin to you? Come on, we travel light!
DLC20000640	I will be more useful to you traveling light.
DLC20000641	Like the shadow of a ghost.
DLC20000642	We pass like moonlight on still water.
DLC20000643	Yes.
DLC20000644	I need to think about this.
DLC20000645	Even our Lord had doubts. Think it over, but listen to your heart. And do it quickly. We don't have much time.
DLC20000646	Don't worry. I think leaving Zion is for the best.
DLC20000647	It may be. I hope it is. To tell the truth, if something goes wrong, more Sorrows could die in the escape than in Joshua's proposed attack.
DLC20000648	Even knowing that, it's a risk I have to take. With your help, and Joshua's, even if we're attacked, we can defend the Sorrows and escape.
DLC20000649	We'll be traveling at night, in small groups, across the valley. With luck, the White Legs won't know what's happened until the next morning.
DLC20000650	But if the White Legs realize what's happening... Joshua and I will need you to help us escape. Don't hold back. I promise you, the White Legs won't.
DLC20000651	Once our path is clear, I'll give you everything you need to get back to the Mojave, but the Pine Creek tunnel must be collapsed behind us.
DLC20000652	It's the only way to delay the White Legs' pursuit long enough for us to get a head start. Good luck, and may God be with us.
DLC20000653	I think Joshua's right. We should fight the White Legs.
DLC20000654	No. Why? Why? Haven't you seen enough of what's going on here to see that the Sorrows don't need to butcher the White Legs for a piece of land?
DLC20000655	What Joshua wants is more than an attack. He wants a slaughter. And he needs more than you and the Dead Horses to do it.
DLC20000656	The Sorrows can't be pushed into this. You and Joshua don't have the right to force them into it. Please, consider what I'm saying.
DLC20000657	I checked on everything in the valley and got you the map of Grand Staircase.
DLC20000658	I appreciate it. Well, that's it. This is all we need. Now all that's left is to quietly pack up and try to get out of here without being noticed.
DLC20000659	That's assuming that Joshua won't try to stop me. And that he hasn't talked you into fighting the White Legs despite what I've said.
DLC20000660	Don't worry. I don't hold it against you. You're a -  an outsider. Fighting seems like the practical solution. But there's more than that at stake.
DLC20000661	Joshua told me you needed a few things. I think this is everything.
DLC20000662	Well I'll be. I was starting to lose hope we'd be able to get any of this, much less all of it. Tribals are smart but... well, they're ignorant.
DLC20000663	Letting go of a taboo is difficult for them, so I knew it would have to be one of us. Turns out all it took was a Gentile. Or, uh... no offense.
DLC20000664	These supplies are a godsend, but if we're going to evacuate Zion without drawing more White Leg attention, I need you to go back into the valley.
DLC20000665	Specifically, I need you to scout out some locations for White Legs and try to recover a map of Grand Staircase, a wilderness area to the east.
