GID00086201	RobcOS v.85
GID00086260	V616 Security Log Entry 05
GID00086261	Now I’m the new security chief we can get this vault in order. I never liked the Captain and all his military bullshit, this is a VaultTec facility and should be ran as such.
GID00086262	What’s more Dr Nice has been making some real advances in his research. I’ve been with him a long time and potentially we could be around for a lot longer. Not sure about the overseer though, I don’t think he understands the bigger picture of what Dr Nice is trying to achieve.
GID00086263	V616 Security Log Entry 06
GID00086264	We have shut up the Overseers office as instructed by Dr Nice. 
GID00086265	When he saw what was inside he found it funny, it was the first time I’ve seen him laugh. I thought he might want to use it, but he wasn’t interested so it’s just been sealed. It’s too near the atrium anyway, I hate those lights used to keep the trees alive.
GID00086266	I always thought the Overseers office had a secret exit anyway? I'm sure I've seen something about one. I would look but if he never used it then I guess I must be mistaken.
GID00086267	V616 Security Log Entry 07
GID00086268	We have just found this kid in the sewer, screaming for help. How the hell did he get there? Claims he found some sort of service tunnel and fell down a shaft. Must be talking about one of the water intake shafts, I didn’t think it was possible to get in that way. More importantly he has been singing like a canary and says he wasn't alone, so I've stepped up the security patrols. I'm sure this young fellow will prove to be useful as well.
GID00086269	V616 Security Log Entry 08
GID00086270	This latest group of scavengers are much more organised than any we have encountered before. Some of them appear to be wearing a uniform of some description, these must be the ‘New California Republic’ creatures we have heard about.
GID00086271	With this increased threat I’ve ordered a lock down. Elevators to be disabled and corridors to be locked when not required. We will see how they get on with the external defences before we take direct action.
GID00086272	I tried to consult with Dr Nice but he hasn’t been himself recently.
GID00086273	V616 Security Log Entry 01
GID00086274	2086
GID00086275	The first excursion outside the vault has been authorised. The mission is to check the local area only, basically the train yard.
GID00086276	The overseer was surprised by this, evidently exploratory reconnaissance from the vault were not in VaultTecs operating procedures. They are in military ones though and that’s what I'm going by. 
GID00086277	It seems the local area wasn't badly affected by the war, which is odd. I was expecting a nuclear wasteland, but instead we found the area simply derelict through lack of maintenance. There is evidence of some low level looting, which indicates a human presence still and we did find some strange fauna and flora around. I wonder what condition Vegas is in?
GID00086278	We didn’t detect any coherent radio transmissions, but we are not in a particularly good area in these mountains.
GID00086279	We secured the train yard, checked the defence systems, which were all in good order and withdrew as per orders. Personally I think we should have gone further, but I think the overseer is understandably worried about contamination. This disease that has appeared isn’t going away.
GID00086280	V616 Security Log Entry 02
GID00086281	2091
GID00086282	It’s time for another recon outside the vault. We are authorised to explore a little further this time and check the valley entrances.
GID00086283	The west route has been blocked by landslides, but the east is clear. I would use the rail road though and avoid the car tunnel. There is a lot of water coming through the tunnel lining and it has started to erode it, especially around the east end. I’m guessing the war must have brought about some pretty harsh weather conditions.
GID00086284	That disease has taken hold now. Strangely, although I’m not an expert, we can detect no trace of it out here, but I guess the doc knows what he is doing. Strict decontamination procedures are being kept.
GID00086285	V616 Security Log Entry 03
GID00086286	2096
GID00086287	Time for another recon. The Overseer is really against these excursions and the Doc seems reticent about them. Must be down to this disease which keeps re-occurring, but I insisted. We can’t stay in this vault forever can we? By my calculations we are due to exit in about 20 years.
GID00086288	We went out as far as Sawmill Junction. Importantly we found traces of a large group that had passed through this area recently and judging by what we found they were probably from a vault but we couldn’t determine which one. It appears they were heading north, not sure if they were heading towards something or away from something. Again some more of this mutated wildlife, even a plant that spits some sort of venom.
GID00086289	Supplemental
GID00086290	Further reconnaissance have now been banned on orders from the overseer and Dr Nice.
GID00086291	The pair of them have put their foot down. I can fight vault bullshit with military bullshit but not medical bullshit as well.
GID00086292	V616 Overseer Log Entry 01
GID00086293	2081
GID00086294	We have been sealed in for a while now and its all pretty calm. We have heard nothing from the outside at all, not even any explosions. I guess the vault was built well. No communications at all though.
GID00086295	The experiments have been delayed, still some more background research to be done evidently. Dr Nice, our resident chief scientist, is organising the details. He keeps to himself, a very driven man. A geneticist and one of the team involved in finding a cure for the new plague I understand. Specialising in something called the Pan-Immunity Virion, whatever that is.
GID00086296	V616 Overseer Log Entry 02
GID00086297	2084
GID00086298	The first test batch has begun on members of the subject group. I was a bit taken aback when I first heard about these vault experiments but once it sank in I was quite exited. This is cutting edge stuff.
GID00086299	I was a little disappointed when I found out what my vault was to do. Physiological studies. Longevity, increasing endurance, that kind of stuff. I had managed to sneak a peak at some other projects, experiments in psychology, sound, I thought I saw something about puppets somewhere, but I must have misread that. Ours seemed a bit tame by comparison, but at least I'm part of it, or supervising anyway. I not sure I would want to be one of those poor fools actually involved in it. Not until it’s all proven safe anyway.
GID00086300	V616 Overseer Log Entry 03
GID00086301	2088
GID00086302	The experiments have been going well, we have had some extremely good results but also some rather disturbing side effects. Skin problems, sensitivity to light and more. Some of the subjects are also demonstrating some strange behavioral patterns as well. Some quite disturbing, we have had to restrain one.
GID00086303	Dr Nice seems to have it covered though, he has been treating them with some sort of blood product. Animal blood doesn't do it, has to be human but then isn't that what the control group is for? We just give them the biological warfare and faulty filters story to keep them on side.
GID00086304	V616 Overseer Log Entry 04
GID00086305	2091
GID00086306	The security chief keeps insisting on recons outside the vault. It’s not in the vaults operating instructions but there are conflicting orders from military directives. I want to stop this as it could endanger the experiment and I was hoping for some backing from Dr Nice but I think he is letting his curiosity get the better of him.
GID00086307	I’ll work on the pair of them, but I need to be careful with the chief as he is not actually fully informed to our primary directives. Army man, not VaultTec, he was a poor choice for the job.
GID00086308	V616 Overseer Log Entry 05
GID00086309	2102
GID00086310	I don't believe it! A whole group of people have fled the vault!
GID00086311	I knew something was going on but I didn't realise that there was that many involved. The White family, the Lewis's, the Dunn's, Susan Hicks, David Burgess, Michael Dolan, mostly the control group but not all. The Trapps went as well, although they were only just started on the 'treatment'.
GID00086312	They didn’t have any problems breaching security as the chief, Andrew Poke, was one of them! No wonder I was in the dark about it, fucking traitor. I thought he was acting strange.
GID00086313	They won’t last long outside though. There has been some petty pilfering from the stores but nothing to sustain them for long. 
GID00086314	This has really jeopardised the experiment and is causing all sorts of problems, we needed their blood. If we catch any of them I'm going to drain them personally.
GID00086315	V616 Overseer Log Entry 06
GID00086316	2102
GID00086317	I authorised a patrol to go outside and check for the missing members, but not to go too far. They didn't find them, not that I was really expecting them to.
GID00086318	On the plus side they did pull in a couple of other locals. Sorry looking pair, didn't get much useful information out of them but plenty of blood. That will help.
GID00086319	V616 Overseer Log Entry 07
GID00086320	2104
GID00086321	Things have been getting pretty bad around here. Some of the local 'livestock' we have been pulling in are keen drug users and this is causing Dr Nice all sorts of problems. We have started to keep them in pens to 'dry' out but this takes time and not all survive.
GID00086322	What's more I have found out that some personnel have been actually eating them as well. What the hell is going on? There is no food shortage. Dr Nice, surprisingly, wasn't at all shocked by this, just rambled on about side effects and hormones, but I know I didn't damn well authorise it. And what did he mean about 'known' side effects?
GID00086323	I'll talk to the new chief of security, for what it's worth. I found out a while ago that he was brought here by the Doctor and in all likelihood is his man. What a mess, I really need to sort these people out and re-assert my authority. This current state of affairs will not do.
GID00086324	V616 Overseer Log Entry 08
GID00086325	2106
GID00086326	It’s all fallen apart, there has been a mutiny.
GID00086327	I confronted Dr Nice today. Part way through the conversation I realised he had been taking his own treatment, I could see it on him. They have kept it so dark in here because of the other patients I hadn’t noticed but when I got up close...my god, even the security personnel are using. Nice said it was the only way forward if we are to survive and had me scheduled to start soon! 
GID00086328	No way. I’m not taking that shit, it’s not even been proven to work. I know of other places outside the vault I might be able shelter in. The details were stored in the train yard office but should have been deleted and moved to the vault mainframe, I have the access code for the file in my safe.
GID00086329	As for getting out of here, there is an emergency evacuation store and exit I can access from this office, I just never expected to have to use it. 
GID00086330	How did it come to this?
GID00086331	V616 Overseer Log Entry 09
GID00086332	2106
GID00086333	I’ve been utterly betrayed. When I checked the emergency store I realised how Poke and his traitors planned to escape and survive. They had taken everything. Looted the entire stock. How did they know about it? Why did I never check it?
GID00086334	I can’t even get out, they have locked the emergency exit from the outside, the bastards. I've tried to find a way through the lock but I can't. They have killed me. 
GID00086335	It won’t take Nice and his cronies long to get in here, they have already shut off all the main system functions in this office from the mainframe. I’m not going to be turned into one of them. And they are not going to use me like those others they drag in. I’m going to take every drug I’ve got, then finish it.
GID00086336	I would tell them all to go to hell, but we are already here.
GID00086337	V616 Mainframe Archive Entry 45187
GID00086338	Classified Secret - Government Eyes only
GID00086339	Subject: Stone Case
GID00086340	Function: Secure Storage of Local Government Resources in eventuality of Nuclear War.
GID00086341	Realisation: Small storage bunker & bank vault with provision for 4 man security team. Projected life span 10 years once sealed.
GID00086342	Supplementary note:
GID00086343	Project Stone Case amendment. Reference mail Davies/Barker
GID00086344	Martin, 
GID00086345	1. We have halted further construction work on Stone case, cutbacks, what can I say? Remaining funds are to be used making what we have useable.
GID00086346	2. You can abandoned further stocking as only limited stores are to be transferred to this location. They want to spread everything out a bit as a precaution, but we will use the Bank Vault as that is fully functional.
GID00086347	3. Security is now to be automated only as according the psychologist report there is a 72% chance of the security team killing each other after 1 year inside and a 93% chance they will just steal everything. You just can’t get the staff these days.
GID00086348	4. Further to the above, make sure there is a password on the robot systems terminal. As it is, if someone got into the basement level they could probably switch them all off  
GID00086349	End
GID00086350	Inform0tion:
GID00086351	S&curity C$de: GY76-K632-00DA-DE73
GID00086352	Acc0ss c!de: D$65-%10.10s
GID00086353	Loc$3tion: 11403000"Deta %-8.0s
GID00086354	$311402000"Zip C%-10.0s:  E=%#-10.3f  N=%#-10.3f  L=%#-
GID00086355	- File Corruption detected: Contact Administrator -
GID00086356	Mainframe file access code
GID00086357	DH65-Q239Y
GID00086358	V616 Security Chief personal Log 01
GID00086359	2096
GID00086360	I need to be careful what I write on the security office terminal, I know the Overseer can access it if he really wants too as well as personal terminals.
GID00086361	No body comes up to this level much any more and as security its my job to check this area. I can work here.
GID00086362	V616 Security Log Entry 04
GID00086363	2096 Security Log Supplemental
GID00086364	I looked around the church, which was in a pretty bad way, and recovered some scraps of paper and anything that could give an idea to what is going on outside of the vault. I was breaking the rules, but I did it anyway, I had already sent the others back to the vault.
GID00086365	From what I could gather society has pretty much fallen apart, which isn’t surprising, but I could find no reference to any sort of plague or disease.
GID00086366	On route back to the vault I came across a ‘survivor’ who was living in a cave above the old car tunnel. He froze when he saw me, I guess the whole spacesuit look freaked him out. I managed to calm him down a bit and get some information from him before he ran off.
GID00086367	He confirmed that the other group was also from a vault and its people from vaults he is scared of, said we were all diseased or crazy but the symptoms of these other vault occupants bore no relation to ours. What’s more he stated that no such infections occurred in any of those people he knew. Could this be purely a vault problem? And if so how did it occur?
GID00086368	This leads to some very awkward questions.
GID00086369	V616 Security Chief Personal Log Entry 02
GID00086370	2097
GID00086371	I’ve been talking with one of our chief engineers, Charlie Dunn. Clever guy, but a bit of a militant and as security chief we are normally at odds with each other. But I need his help so it was time to put aside our differences and Charlie loved the irony of me rebelling.
GID00086372	I need to find out what is going on and Charlie, with my help, is the man who can get into the vault systems to find out. Turns out he already knows about a few things he shouldn’t, including some things I didn’t know.
GID00086373	It’s time to answer those awkward questions.
GID00086374	V616 Security Chief Personal Log Entry 03
GID00086375	2098
GID00086376	Well, I wanted to find out what was going on and I have. What do they say? Be careful what you wish for.
GID00086377	I finally got to the Overseer's terminal and I read it over and over but still couldn't believe it. We are nothing more than fucking lab rats. How the hell did they ever think they could get away with it? But then they have haven't they?
GID00086378	I need to concentrate on what do next, what I can do something about, not what I should do, which is to kill these VaultTec drones. I have to focus.
GID00086379	I can't trust most of my security team as they are all VaultTec. I'm the odd one, last minute replacement drafted in from the Army. Need to work out who I can trust then get us out of here. Need to get people to trust me, Jesus, I was part of this.
GID00086380	This will not look good on the resume.
GID00086381	Ris Note
GID00086382	We are running a bit short on ammo again so I'll have to send someone over to fucking Blu Ray to trade for some more. I would love to take that bastard down but he's the only place we can get ammo from. Even Angel gets most of her stock there. Anyway, that house is a fucking bunker.
GID00086383	Maybe we should wait for Angel anyway, she'll put a mark up on stuff, but every time I send one of these Muppets over there, they go sniffing around and end up getting killed.
GID00086384	Talking of Angel, I wonder where she gets her pies from? Sure taste good.
GID00086385	Research project Vera 1
GID00086386	My first real attempt at recreating Vera.
GID00086387	By chance I noted that one of the raider characters at the bridge bore a significant resemblance. It was at this point I first considered the possibility of bringing Vera back to life, in a manner of speaking, so I attempted to isolate the individual in question and recover her back to my lab for further tests. 
GID00086388	The initial phase was successful with the application of the correct medication, which she was surprisingly happy to self administer. However once the medication started to wear off the subject became quite uncooperative and aggressive and I was forced to kill her, which is something of a setback. Never the less, I kept her in stasis in hope of still taking the project forward.
GID00086389	Supplemental Note:
GID00086390	It seems my stasis pod is not functioning at optimum efficiency and this oversight has probably put paid to this project phase. Undaunted I shall move forward with phase 2 and a new approach.
GID00086391	Research project Vera 2
GID00086392	I have managed to obtain some research material and hardware from the actual Sierra Madre thanks to my source in Hayford, although the price has been considerable. This may actually realise a recreation of Vera in holographic format which should be far easier to manage in terms that I will not have to shoot her to ensure her cooperation.
GID00086393	I have made good progress but there are still the following serious problems to be overcome.
GID00086394	Issue 1: The obtained, but non-functional holographic projector is the size of a small cooking pot whereas my device would not fit in a kitchen. I need to source smaller components.
GID00086395	Issue 2: The obtained holographic projector allowed the holograms to move around and, to a degree, interact with their surroundings. My hologram just stands there saying and doing very little and is restricted within the projector. And to be honest she is a bit blotchy as well. This is dreadfully disappointing.
GID00086396	Research project Vera 3
GID00086397	A chance encounter in Hayford gave rise to an unplanned resurrection of the Vera 1 project. 
GID00086398	Again this project has proven to be problematic as the subject is once more uncooperative, despite an initial assessment that promised otherwise.
GID00086399	This time however I shall be more patient and move things forward at a slower pace. To be more organised I have separated difficulties in a separate entries.
GID00086400	Research project Vera 3a
GID00086401	Issue 1: She doesn't behave like Vera
GID00086402	Subject behavioural analysis has revealed very few Vera like attributes overall. I have attributed this down to lack of cooperation but have made some progress In the area from the subject by administering the following items:
GID00086403	A. Chems. This generally works quite well although the subject generally starts behaving much the same as subject 2 and in effect ceases to function.
GID00086404	B. Alcohol. Can sometimes have the desired effect but can be unpredictable.
GID00086405	C. Caps. This by far produces the best results but after the acquisition of the products from the Sierra Madre I have very little left.
GID00086406	Research project Vera 3b
GID00086407	Issue 2: She doesn't look like Vera
GID00086408	Solution: dress & wig. Cannot be considered a permanent solution although it seems to work reasonably well as long as I keep at least 30m away from her.
GID00086409	Research project Vera 3c
GID00086410	Issue 3: She doesn't talk like Vera
GID00086411	She does not have the same voice as Vera and since becoming sober has expressed a number of opinions on myself and my research. I am sure that Vera Keyes would not have made the declaration that I 'blow goats'. However, I do have to admit, I don't understand what this statement actually means, although it does not sound positive. A temporary solutions is the same as issue 2 except to increase the distance to 50m as she can shout quite loudly.
GID00086412	Research project Vera 3d
GID00086413	Issue 4: She doesn't smell like Vera
GID00086414	I'm sure the original Vera did not smell like a Brahmin although I cannot confirm this as I can find no information on Vera Keyes's aroma, data on this specific area is frustratingly limited.
GID00086415	The subject herself suggested a solution in the form of a bath but I am loathed to take advice from someone without a scientific background. A temporary solution is the same as issue 2. 
GID00086416	Research project Vera 3e
GID00086417	Issue 5: Her name isn't Vera
GID00086418	I should have paid more attention when she approached me in Hayford. She was already under the influence of alcohol and when I asked her name she stated that she was whoever I wanted her to be. When she then gave her name as Vera I should have recognised that this information was of dubious authenticity.
GID00086419	Personel
GID00086420	dkjfhsdlv(*$~@:hbs ls877863  4^^%HJBV
GID00086421	Normal.dotHG%Ј*@:>>NCV{ 
GID00086422	GHTT5hcbf73 45957fbnvc chy799476 Vkkkkkkkkhd 
GID00086423	+Document% SummaryInformation(v ifdg09555500
GID00086424	kldfhdf }{_:&^$"ЈCVhjdfb GR74 Ecky Ecky +++ufh
GID00086425	==_+CompObo yyyyyyy ObjectPool>>/'@@@@@
GID00086426	/'''[]'{{{753fhndsh dskjdh¬¬¬!324b yip >>>'@++
GID00086427	djhfg56778 ^&*(&&&4$$ ЈЈЈЈ<<<<kjyhtC
GID00086428	Security
GID00086429	========================
GID00086430	| User Log:
GID00086431	| >> Administrator (RobcoID 2621-K)  
GID00086432	========================
GID00086433	> All Systems Operational
GID00086434	> Access Lockdown in Force
GID00086435	> Turret Systems Activated
GID00086436	> Robot Defence Units Activated
GID00086437	> Lethal Force Authorised
GID00086438	> Have a Nice Day :)
GID00086439	>/
GID00086440	Stores
GID00086441	Storage Database is now offline.
GID00086442	=- Stores are now closed to all personnel
GID00086443	=- Existing Stock to be catalogued and back loaded
GID00086444	=- all Items now required are to be requested via external sources
GID00086445	=- all requests are to be authorised by senior management
GID00086446	=- management are not to authorise any request without approval
GID00086447	=- Approvals are to endorsed prior to request
GID00086448	Supplemental Note:
GID00086449	>>
GID00086450	>> Hey, you tight fisted asshole! I see its business as usual then..
GID00086451	>>
GID00086452	Lillypad Field
GID00086453	The place is called Lillypad field. You reach it via a cave that goes up behind the waterfall, the entrance is behind Greta's bus, it's marked on your gadget and I've given you the key.
GID00086454	I reckon 20 raiders/walking plants or whatever you want to call them and 10 of those spitting plants. They may be awkward to find, but they shouldn't have any problems finding you. If you get stuck just run around, you'll see them. Kill them all then come and see me.
GID00086455	There is a old hunting shack down the south end of the field. The key is in a pot by one of the doors. As a gesture of good faith you can use it and help yourself to whatever is in there.
GID00086456	Blinder
GID00086457	Note
GID00086458	Happy birthday me! 176 today! Mom and Dad would be proud.
GID00086459	Obscure Password
GID00086460	28-94-CDX-UI-09
GID00086461	Damned if I can work out what this is the code to. Belonged to Grandpa who didn't know what it was for either.
GID00086462	But he did say he got it from his Grandpa and for some reason it seemed to amuse him. Old boy was probably senile, I should throw it away.
GID00086463	Orders
GID00086464	57465890 Capt Kelly.M
GID00086465	Kelly, I want to make clear to you the priorities of this mission.
GID00086466	I've stuck my neck out for this, getting resources without getting noticed is a pain in the ass so make the most of it. Buy what and who you have to, but remember the coffers are not bottomless and keep as low profile as you can. As far as command is concerned this is just another recon mission and they don't need to know any different. And keep away from any Rangers, those boys have no business sense.
GID00086467	1. Confirm if this VaultTec vault information is true, I don't want to waste time chasing another goddamn tall story.
GID00086468	2. If you find it and its already been burned and looted, check it out but do not waste any more time on it than you have to. If we can cover our expenses that will do.
GID00086469	3. If its still sealed, find a way in and establish if there is anyone inside. I know that might not be easy, but you have shown aptitude in the past and I'm sure you won't let me down.
GID00086470	4. If its empty, catalogue the state of the facility and what is worth selling and keeping. If the place is serviceable, it may be worth selling to whoever offers the most, I've a contact that can deal with the details.
GID00086471	5. If its occupied then send in whatever scum you have hired to clear the place out. I don't want to be troubled be any vault dwellers looking for handouts. Once done revert to the above instruction.
GID00086472	6. Once the situation is finalised get rid of any of the hired crap that is left and pay off those troops that were in on the mission. I'll sort out the discharge papers for them. Make sure they know to keep their mouths shut.
GID00086473	We get this right and with a bit of luck we won't need our pathetic little NCR pensions. Don't get it wrong, our backer does not like fuck ups. It looks bad to voters. 
GID00086474	Col F
GID00086475	Capt Kelly - Log Entry 01
GID00086476	I was concerned when our initial recon party, or what was left of it, returned and reported another group in the area. It would appear they were also looking for the vault and quite organised. I thought this vault was meant to be undisclosed? 
GID00086477	The survivor confirmed the Train Yards existence but that's it. Sometimes I feel I'm wasting my time with these idiots. Fortunately our other source is more reliable.
GID00086478	Capt Kelly - Log Entry 02
GID00086479	So far progress has been good. It’s never easy dealing with hired mercenaries, particularly this Viper scum, but for this kind of mission it is necessary. They are generally easy to dispose of as well once their purpose has been served.
GID00086480	We have reached a settlement of sorts called Hayford. Not much here except for our contact who exchanged the last of his information for payment. I was curious to how he got it but he was keeping his mouth shut. That's one of the reasons we pay him ironically. Can't stand Ghouls anyway.
GID00086481	Up ahead the road is blocked by raiders. They are well positioned but we have the resources to deal with them and it will make for a good shake down and see if we can drill this rag tag outfit into shape.
GID00086482	Capt Kelly - Log Entry 03
GID00086483	We have located the Train Yard and sent in another recon. We have lost  more personnel than I anticipated on route to raiders, random snipers, etc. The last one was particularly nasty but now we can get on with the business in hand.
GID00086484	Capt Kelly - Log Entry 04
GID00086485	I've made this cave complex our HQ for the meantime as it suits our purpose quite well and we are not the first to use it, there was quite a lot of materials already here we could salvage.
GID00086486	I've held off moving into the train yard as our reconnaissance showed there were quite a few service tunnels around plus defences, robotic it would appear. Any way I don't want any damn robot popping out of the wall when I'm trying to manage this operation.
GID00086487	Capt Kelly - Log Entry 05
GID00086488	We have found no trace of the other group our recon clashed with, other than some trash dumped in this cave as it would appear they also used it. There was some sort of diary entry as well but it didn't tell me anything I didn't already know. Pity.
GID00086489	On the plus side we have lost a few Vipers to the vault defences so the prognosis is good as it would indicate the vault is still intact. 
GID00086490	Capt Kelly - Log Entry 06
GID00086491	It appears our sniper at the church has returned. He caused us some casualties on our way in and gave us the slip when we cleared the area, but now it seems he is back, the tenacious bastard.
GID00086492	I've held off killing him as we don't have the resources right now, I want to concentrate on locating the vault and time is pressing. Besides, with all the casualties we have taken on the way here, it might be worth trying to recruit him. I could use a man like that.
GID00086493	Capt Kelly - Log Entry 07
GID00086494	Curiously we have had a couple of people disappear. They have most likely become victim of some defence system but we can't locate the bodies. Granted they were only Vipers, so its not a major issue, but we do only have a limited supply of them.
GID00086495	Trail Log 1 of 43: Jack - Day0
GID00086496	It’s called Zion man. 
GID00086497	Some pre-war national park, whatever that was, full of fresh water, all the food you can eat and only some dumb ass tribal's living there. And they will probably think we are gods when we turn up with energy weapons. All ours for the taking.
GID00086498	It's like this; the place is known about but only by some caravans and they kept the route pretty much to themselves. Thing is it goes over the mountains, which is a pretty rough track and it takes them fucking years to get there. But there is another way. We got ourselves a pre-war map that shows the road. 
GID00086499	Of course there is a down side. The road snakes off through a load of canyons and is prime bush-whacking territory, not to mention landslides, poisonous bugs and all the rest of that stuff but there is enough of us now to make this work, especially now we have the firepower after our last score.
GID00086500	And here is the cleaver bit. Once we clear the road in, we then invite every other schmuck from Vegas, but we set up a toll just before they get in there. They have to pay! And we just live off the land and watch the caps role in! We can't lose.
GID00086501	We are all meeting in that old Route 95 Gas Stop, north of here. Here's the location and the key.
GID00086502	Trail Log 2 of 43: Daniel - Day1
GID00086503	I'm sitting this one out. There are too many unknowns and lets face it, our crew isn't exactly a squad of Rangers. JD runs a tight ship and can be ruthless, but I'm not sure even he can pull this off.
GID00086504	I mean, what's he got? Sure, Pinky's on board, but he isn't getting any younger and I suppose Spencer has been around a bit and is OK.
GID00086505	Linda is a decent medic, if you can keep her out of her own drugs long enough and then you got Finger and Suzy, a couple of wide eyed ex-raiders, also too fond of their chem's.
GID00086506	Max who isn't too bright, but he's bright enough to let JD do the thinking and big enough so people leave him alone and Spider can be useful as well. He can talk his way into anything, although that brings its own problems as it tends to be other men's women.
GID00086507	Bernie and Jack are good in a fight, but you should never confuse anger with courage and I wouldn't trust 'em as far as could comfortably spit them.
GID00086508	Bethany's clever, good with tech but she has issues, that girl seems to hate everyone. Then at the other end of the scale there is Jason who is as thick as molerat shit and a bit casual with other peoples property.
GID00086509	Finally you got the Cope brothers who are pretty solid I guess, just a bit intense. And of course Wellington, our pack Brahmin, probably the most reliable of the lot.
GID00086510	The skills are there, the problem is getting them to pull in the same direction and I doubt even a hard ass like JD can get that to work on a long expedition.
GID00086511	Trail Log 3 of 43: Joseph - Day1
GID00086512	I detest it when people say we can't loose, its tempting fate.
GID00086513	The map seems genuine enough. Spider got it from a hobo in Westside for a bottle of rot gut, or so he says. This character said he knows the route well and even marked it for fellow hobo's somehow.
GID00086514	Normally I would just laugh, every wastelander has a treasure map but Pinky says he knows him. Said his name was Ezra, in his day a prospector and a good one too. Evidently he had some really big scores but then got a taste for Vegas and hence his new career path as a bum.
