DOD00000001	你好吗，今天天气很好。
DOD00000036	你需要什么？
DOD00000037	还活着，我明白。这总是有希望的。
DOD00000038	是的？
DOD00000039	什么？
DOD00000040	你需要什么吗？
DOD00000041	我现在有一些额外的治疗针，来，拿一个。我不想你死。
DOD00000042	等一下，我以前没见过你。你不是道尔顿的人吧？
DOD00000043	嘿，你回来了。 你...你知道吗？
DOD00000044	我有个主意。我不想再担心掠夺者了，所以你应该在这待上一整天。
DOD00000045	所以，你应该娶我的姐姐...想想看，你可以住在这里，有吃的，有房子...你要做的就是让我们永远活着！
DOD00000046	嘿！你！
DOD00000047	你应该去找我姐姐谈谈。当你提到奥尼尔的时候，注意她是不是会露出亲吻的表情。
DOD00000048	你想要什么？
DOD00000049	你来我们这儿最好有个好理由，陌生人。玛吉为什么让你进来？
DOD00000050	还在附近，我明白了。
DOD00000051	好吧，你是谁，你想要什么？
DOD00000052	哈，这他妈的是什么？
DOD00000053	你是来找莫哈韦沙漠最大的家伙的吗，亲爱的？你很幸运。来坐在道尔顿的腿上，让他告诉你一切。
DOD00000054	又是你？你他妈的现在想要什么？
DOD00000055	不要突然行动，朋友。保持冷静。
DOD00000056	你他妈想和我一起？
DOD00000057	是啊...是啊？ 什么？
DOD00000058	怎么了？
DOD00000059	等等，等等，等等。我知道你有话要说，但你得听我说，我爱死它了。
DOD00000060	还记得亚当·伯克吗，那个被你抓捕的的儿童强奸犯？哈利路亚，他是一具该死的尸体了！
DOD00000061	艾迪的朋友？是的，我想你一定是。
DOD00000062	他去见一个叫布莱克的人了。他想让我告诉你会面地点在REPCONN总部附近的旧火车站。
DOD00000063	艾迪的朋友？等等，我认出你来了...
DOD00000064	是啊，你就是里瓦斯找来的那个人，对吧？我很高兴艾迪没有把这一切托付给某个外人。
DOD00000065	他去见一个叫布莱克的人了。他想让我告诉你会面地点在REPCONN总部附近的旧火车站。
DOD00000066	哟。
DOD00000067	我听说你在找我。
DOD00000068	我还听说...我被抓了又抓，还被恶意审问，因为我可能隐瞒了什么秘密情报。
DOD00000069	这是个好故事，他们抓了一个和我同名的人，这是真的。
DOD00000070	我不是要求你做什么，看...在赫斯特被别人杀死之前处理他...
DOD00000071	他在我的一个情报传递点存了点钱。
DOD00000072	我知道你们俩在调查什么，我猜你发现了一些有趣的东西。
DOD00000073	我不想要你的任何东西，我也不会给你任何东西。我只是想让你知道，我知道一些事情，但我还在外面。
DOD00000074	我会和你保持联系，我可以向你保证。
DOD00000075	你他妈的想要什么？我可以...我可以揍你一顿。只是，不是现在...我要先小便。
DOD00000076	嘿，甜心，在寻找爱吗？我有次上了个妓女，然后昏过去，尿了裤子。坐在我腿上，我来告诉你。
DOD00000077	什么？
DOD00000078	别打扰我，我只想永远睡下去。
DOD00000079	递送。
DOD00000080	嘿，如果你听到这句话，就意味着我被窃听了。重复一次，因为我是个有问题的女人，我他妈的拒绝工作。请杀了我！
DOD00000081	什么？
DOD00000082	谢天谢地你来了！我还担心你们没收到我的留言呢！
DOD00000083	我不知道还能怎么说，所以我就直说了。不久前，一个该死的杀人犯来到了我家的农场。
DOD00000084	那是一场大屠杀。我的亲人，他们试图保卫自己的土地，但他们接二连三的被杀死了，没有任何我可以理解的理由。
DOD00000085	但现在你来了，我们终于有机会对这一罪行做出回应了。我会为我的家人报仇的，我将看到正义得到伸张！
DOD00000086	哦，该死，我忘了介绍我自己了。很抱歉。
DOD00000087	我叫斯库特·博代安，这是给我爸爸的。出来吧，孩子们！
DOD00000088	你好朋友！我有一封信给你！
DOD00000089	是的，什么？无意冒犯，但我真的很忙。
DOD00000090	是的。
DOD00000091	你回来了。
DOD00000092	怎么了？
DOD00000093	你回来了，路易莎在哪儿？
DOD00000094	噢，很好。又一个陌生人闯进我家，不请自来，也不打招呼。
DOD00000095	你想要什么？如果你说"复仇"，我就会在后面挖开那条沟，用前一百个白痴的尸骨来回答你。
DOD00000096	你回来了，不知怎么的，自从我们上次谈话后我还没死过。
DOD00000097	你费了好大劲才进来，所以，你是执着的拾荒者，还是来找我的？
DOD00000098	...
DOD00000099	你好，欢迎来到光之路事工，我是莫妮卡，今天有什么可以为你效劳的吗？
DOD00000100	你好，欢迎回来。我能帮你什么忙吗？
DOD00000101	什么？
DOD00000102	我得承认，我没想到还能再见到你。你穿过了我的整个安全团队，包括卡特。
DOD00000103	我承认，这的确令人印象深刻。但是，你所做的就是把我惹毛了。你知道我对上一个惹我生气的人做了什么吗？
DOD00000104	我把他和他的伙伴，扔进了一个金属运输箱里，在沙漠中央。
DOD00000105	我把它封得严严实实，只有一点空间让空气渗入。很快会窒息？不，我让他们在那里面活活饿死。
DOD00000106	你能想象吗？日复一日，被锁在一个狭小、黑暗、闷热的空间里...多么痛苦的死亡。这就是为什么我喜欢它。
DOD00000107	这就是那些考验我决心的人的命运。你不妨一枪崩了自己，因为我给你准备的计划要糟糕得多。
DOD00000108	...
DOD00000109	我在销毁证据！如果你一定要杀了我，至少要把这个房间彻底打扫干净！
DOD00000110	等会儿...你不是布瑞克的人...你是那个邮差！
DOD00000111	他们都想让你死。我是附带的，你是首要目标，他们不会杀那个砍倒你的人！
DOD00000112	你要赞美他，你的死必救赎我，你的血必洁净我。和我一起死吧，小飞蛾。
DOD00000113	该死的液压门。我一直跟别人说，把这些东西拆了，换成普通的门。这个月已经是第三次了...
DOD00000114	是的，我能帮你什么忙吗？
DOD00000115	你好，你好！我是奥斯汀·伯克牧师，很高兴见到你。请坐。
DOD00000116	久仰大名，听说莫哈维沙漠很多人都欠你人情。那么，今天我能为您做些什么呢？
DOD00000117	很高兴再次见到你，我能为你做些什么？
DOD00000118	我觉得你不该在这里。如果你可以自己出去的话，请...？
DOD00000119	所以，你就是那个可恶的邮差，对吧？ 你真的把我们的行动都搞砸了，谢谢你，朋友。
DOD00000120	你在这儿！
DOD00000121	在炸药帮的地盘上跑来跑去，胆子够大的啊？我不确定这样做是否明智。
DOD00000122	提醒你，这不是威胁。我只是说，有些人有点精神失常。把枪上膛，好吗？
DOD00000123	所以你到底需要什么？
DOD00000124	无意冒犯，但炸药帮的地盘可不是让女人无忧无虑到处乱跑的地方。
DOD00000125	很多人自从第一次被关起来就没有碰过女人。 注意不是我，我很迷人的。
DOD00000126	我想说的是，他们中的一些人可能会把你看作是一种引诱。
DOD00000127	嗯？
DOD00000128	我在去自由城的路上，应该能够活着去到那里。
DOD00000129	很高兴再次见到你。
DOD00000130	啊，又是你。准备好把你的一小叠现金交给我，以保证将来能得到一座更大的山吗？
DOD00000131	价格是一万瓶盖，但投资回报是惊人的大，令人印象深刻，这一点与我的约翰逊有共同之处。
DOD00000132	哦，嘿，伙计，这儿。 是的，就你，在这儿。
DOD00000133	是的，太好了。赌场好玩吗？也许你赢了大钱，对吧？来这里休息一下，把赢来的钱花在吃喝上，好吗？
DOD00000134	此时此刻，赌场里有一个人，我想他们一定喜欢赚钱吧？好吧，也许他们不是蛾摩拉那群裸男裸女。
DOD00000135	总之，我的出发点是：钱。碰巧我能让你我发财，对吧？合作伙伴的关系，听起来怎么样？
DOD00000136	谨慎行事。
DOD00000137	我自己从来没用过地雷。
DOD00000138	我会记住的。
DOD00000139	...这有什么意义吗，还是说...？
DOD00000140	你他妈在干什么？
DOD00000141	好吧，去扣动扳机吧，如果这样能让你感觉好些的话。不管你如何，我都不在乎。
DOD00000142	我不在乎。
DOD00000143	是的，总是有更多的工作要做。
DOD00000144	是的。
DOD00000145	嗯哼。
DOD00000146	这他妈有那么好吗？
DOD00000147	再见。
DOD00000148	当然，再见。
DOD00000149	照顾好自己，兄弟。
DOD00000150	照顾好自己，姐妹。
DOD00000151	是的，是的，下次吧，当然。
DOD00000152	毫无疑问，我们以后再谈。
DOD00000153	我该走了。
DOD00000154	随便。
DOD00000155	是的，再见。
DOD00000156	对，对，去死吧。
DOD00000157	再见！
DOD00000158	好的，再见。
DOD00000159	再见朋友。
DOD00000160	再会。
DOD00000161	祝你今天愉快。
DOD00000162	我猜你也不会为了帮我省麻烦而把自己开膛破肚，是不是？我们还是用老办法解决吧。
DOD00000163	我想我无法说服你看清真相？
DOD00000164	反正我还有更重要的事要做。
DOD00000165	祝你旅途好运，我会记住你的。
DOD00000166	祝你今天愉快。
DOD00000167	再见，注意提防恶魔帮，他们潜伏在这一带。
DOD00000168	我可以让它快速而无痛地...但我不会。
DOD00000169	(令人毛骨悚然的笑)
DOD00000170	你要挣扎吗？很好。
DOD00000171	你最终会成为我下一个手下亡魂。
DOD00000172	我第一眼看到你的时候你就死了。
DOD00000173	我活到现在多亏了杀人，你有什么机会赢我?
DOD00000174	杀光他们。
DOD00000175	你该断气了。
DOD00000176	死吧！
DOD00000177	漂亮的击杀。
DOD00000178	(令人毛骨悚然的笑)
DOD00000179	做得很好。
DOD00000180	哼。
DOD00000181	投掷手雷。
DOD00000182	小心。
DOD00000183	当心点。
DOD00000184	他们一定是走投无路了...
DOD00000185	我要把你们都杀了。
DOD00000186	(令人毛骨悚然的笑)
DOD00000187	不可饶恕。
DOD00000188	你已经死了。
DOD00000189	你还在挣扎吗？没用的。
DOD00000190	我是靠这个吃饭的，你懂的。
DOD00000191	如果你愿意的话可以尖叫，不过这不会有什么区别的。
DOD00000192	杀光他们。
DOD00000193	这会很血腥的，哈。
DOD00000194	发现目标。
DOD00000195	...
DOD00000196	发现目标。
DOD00000197	在我的视线里。
DOD00000198	行尸走肉。
DOD00000199	目光犀利。
DOD00000200	有人想偷偷接近我们，啐。
DOD00000201	武器准备好了。
DOD00000202	险象环生。
DOD00000203	嗯。
DOD00000204	放松...暂时。
DOD00000205	吓跑他们，所以我更喜欢在暗处攻击。
DOD00000206	目标压制。
DOD00000207	目标压制。
DOD00000208	我觉得内心温暖而舒适。
DOD00000209	嗯，你不会被记住的。
DOD00000210	如果我每杀一个人就刻一个凹槽，那我可怜的剑就什么都不剩了。
DOD00000211	你罪有应得。
DOD00000212	真叫人扫兴。
DOD00000213	结束了吗？
DOD00000214	目标消灭。
DOD00000215	你以为逃跑就有救？呵呵。
DOD00000216	操你妈的懦夫。
DOD00000217	跑吧，躲吧，求我吧...什么也救不了你。
DOD00000218	我能闻到你的恐惧...
DOD00000219	你永远逃不出我的手掌心。
DOD00000220	我的脸将是你最后见到的东西。
DOD00000221	...
DOD00000222	...可悲。
DOD00000223	没有人能躲得过我。
DOD00000224	这可能比你想象的要痛苦，这就是浪费我时间的代价。
DOD00000225	(不祥的笑)
DOD00000226	谁也无法逃出我的手掌心。
DOD00000227	好，我们继续。
DOD00000228	不要分心。
DOD00000229	给我出来
DOD00000230	这儿有别人。
DOD00000231	他们认为自己可以躲避死亡，真可爱。
DOD00000232	啊，胆小鬼。
DOD00000233	我可以让你死得痛快点。如果要我去找你...我不会的。
DOD00000234	我不会留下幸存者，还是别浪费时间了。
DOD00000235	从在乎到憎恨的东西并不多...但懦夫就是其中之一。
DOD00000236	让我再找一段时间，找不到你我就去拜访你的家人，不收你钱
DOD00000237	呵。
DOD00000238	不管你要去哪里，我保证你不会想要有人作伴。
DOD00000239	有一次，我在一个房间里面等我的目标从窗外经过，等了3天。
DOD00000240	明白。
DOD00000241	既然你这么说。
DOD00000242	好的。
DOD00000243	如果你愿意。
DOD00000244	我想我已经有我想知道的了，不过...就这样吧。
DOD00000245	明白。
DOD00000246	反正我大部分的杀戮都是远距离进行的。
DOD00000247	很简单。
DOD00000248	当然。
DOD00000249	我都没意识到自己是个如此引人入胜的健谈者。
DOD00000250	反正我也不太喜欢闲逛。
DOD00000251	我会靠近你的。
DOD00000252	悉听尊便。
DOD00000253	这也是我的拿手好戏。
DOD00000254	比起刀光剑影，我还是喜欢一发入魂。
DOD00000255	收到。
DOD00000256	...我...已经用枪了，谢谢。
DOD00000257	很简单，我很会用刀。
DOD00000258	如果你喜欢的话，我尽量适应。
DOD00000259	如果我只会用枪的话，那我就是个只会搞偷袭的鸡贼。
DOD00000260	我...已经在用了。
DOD00000261	你想聊多久我们就聊多久，不过我不知道你为什么想和我聊这么久。
DOD00000262	明白。
DOD00000263	那办得到。
DOD00000264	你会发现我的适应能力很强，你想谈点什么?
DOD00000265	你先请。
DOD00000266	收到。
DOD00000267	你确定吗？
DOD00000268	我听你的指挥。
DOD00000269	如你所说。
DOD00000270	很好，只要我在你身旁，你就能活得更久。
DOD00000271	别那样玩弄我的感情。
DOD00000272	很好。如果你还需要我帮忙，我可能会在我的自由城安全屋。
DOD00000273	嗯，那样的话，我会在我自由城的安全屋等你。希望你不会让我等太久。
DOD00000274	只有我才懂得独狼的好处。我会待在自由城的安全屋。
DOD00000275	那好吧。
DOD00000276	明白。
DOD00000277	作为一名杀手需要耐心，等多久我都可以。
DOD00000278	很简单，无论如何他们都会死的。
DOD00000279	这可是我的拿手好戏。
DOD00000280	他们不知道自己怎么死的，就是我的交易筹码。
DOD00000281	有趣...很好，我会去的。
DOD00000282	好吧，至少找到你不会太难，我会等的。
DOD00000283	等待有点无聊，但我知道有时候等待是必须的。我可以等。
DOD00000284	嗯，看来这个能打。
DOD00000285	（平静的呼吸）
DOD00000286	嗯,出血严重，但很快会风水轮流转。
DOD00000287	看来我真的花了很多时间陪你。
DOD00000288	我没有印象。
DOD00000289	来点兴奋剂，不胜感激。
DOD00000290	这就是为什么我更喜欢秘密杀人。
DOD00000291	看来我犯了个错误。
DOD00000292	太粗心了。
DOD00000293	我是怎么了？
DOD00000294	你完成任务了吗？
DOD00000295	所以你还多了几点血， 但不足为奇。
DOD00000296	我不欠你一个痛快。
DOD00000297	如果我真的认为你是个威胁，你早就死了。
DOD00000298	所以，你会死得很痛苦。
DOD00000299	你只是在延长自己的痛苦。
DOD00000300	我的武器坏了，这就是悲伤的感觉吗?
DOD00000301	劣质装备，别说不知道为什么我很烦...
DOD00000302	还好我有备用的，准确来说有好几个。
DOD00000303	这是最后一次。
DOD00000304	好像这是我唯一的杀人方法，哈。
DOD00000305	切换武器。
DOD00000306	我知道如何肢解尸体，似乎我也知道怎么把我的骨头归位。
DOD00000307	有人比我更需要这个...
DOD00000308	医疗包，我真正想要的。
DOD00000309	拖住我的步伐，只会让你死得更痛苦。
DOD00000310	可能又有新的伤疤了，我真幸运。
DOD00000311	我以前也被打断过手脚，但我还活着...你会相反。
DOD00000312	好一点了。
DOD00000313	谢谢。
DOD00000314	啊，治疗针，我的老朋友。
DOD00000315	你知道我是个杀手，不是群居动物，对吧?
DOD00000316	别扯了。
DOD00000317	澄清一下，我是来杀你的敌人的，不是来帮你运垃圾的。
DOD00000318	嗯。
DOD00000319	我在行。
DOD00000320	呵。
DOD00000321	不是问题，那么我能为您做点什么？
DOD00000322	谢谢你的提醒。
DOD00000323	我非常确信。尽管如此，还是要在趁没遇到危险的时候说一些能一起规避危险的话。
DOD00000324	这是你的私事，真的，仅此而已。无论如何，你需要什么吗?
DOD00000325	我能控制自己。
DOD00000326	你知道吗?我觉得没有我的警告你也没啥事，我还觉得我应该对任何妨碍你的人表示同情。
DOD00000327	现在你知道我激怒你是无意的了，你还有什么需要知道的吗?
DOD00000328	他们可以试试，但如果他们这么做，我也可以把他们的头挂在长矛上。
DOD00000329	因为我可不是单细胞生物，不像艾迪和他的手下。
DOD00000330	也因为NCR还没把那地方收回，但那不代表以后也不会。
DOD00000331	倘若这种情况发生，我可不想卷入交火中，你懂吗？
DOD00000332	你为什么待在这里，而不是回惩戒所？
DOD00000333	你认真的吗？暴乱一结束，我就把那个地方当作危险的地方。我告诉过他们，趁现在还能出去，赶紧走。
DOD00000334	现在证明我是对的了，你觉得我应该回到那里去吗?我不想，谢谢。
DOD00000335	你为什么待在这里，而不是回惩戒所？
DOD00000336	然而，我是炸药帮吗？当然是，我是个逃犯，穿着漂亮的囚衣，口袋里塞着炸药，但是...
DOD00000337	问题是，我对打劫，炸人，或其他的事不感兴趣。所以，我不是炸药帮。
DOD00000338	作为一个炸药帮，你看起来很独树一帜啊。
DOD00000339	客观地说，人口过正剩是暴乱的原因之一，而第一大原因是我们有炸药。
DOD00000340	但是，对，你没有错。问题是，外界的废土恶棍正在涌入并加入我们，尽管他们从来没有这么热情过。
DOD00000341	他们认为这和其他帮派没什么区别，也没有完全错。
DOD00000342	就像大汗帮曾经是一群愤怒的避难所居民，但随着时间的推移，新的血液加入，创始成员死亡，现在有了新的样子。
DOD00000343	只要有足够的时间，炸药帮就不会再是逃犯了，它会变成一个喜欢炸弹和蓝色衣服的大帮派。
DOD00000344	但他们坚持不了那么久。他们装备简陋，四面被敌人包围，内部从来没有真正的联合过，好吧，他们会遭受重创的。
DOD00000345	NCR惩戒并没有那么大，但似乎炸药帮又很多。这是怎么回事？
DOD00000346	这个故事对我的风评不太好，你明白吗？
DOD00000347	但我不是说我是个疯子，但是...好吧，这件事很愚蠢。
DOD00000348	我在和一个女孩约会，，她...嗯，怎么委婉地说..."已经习惯了一定程度的富裕生活"？
DOD00000349	我想让她留在我身边，所以为了资助她喜欢的生活方式，我可能会，你懂的，卖掉一些我无权处理的东西，对吧？
DOD00000350	当有人注意到他们失去了尘世的财产时，他们指出:“嘿，梅西这个土农民突然有了一大笔钱。”
DOD00000351	跟你说了，这很蠢，让我很难堪。不过，我宁愿看起来像个白痴也不愿像我的狱友达比那样像个神经病。
DOD00000352	所以，你为什么进惩戒所？
DOD00000353	他根本就不该进监狱，在我看来，让他死十次都少。
DOD00000354	他因谋杀自己的家人而被关了起来，我知道的一清二楚，因为他还因此沾沾自喜。
DOD00000355	他说他是如何用一根管子把他儿子打死的，语气就像普通人谈论日常天气一样。
DOD00000356	一天晚上，没有任何理由，他盯着我看，说:“想知道有趣的事吗？我知道抓到我的那个警长住在哪儿。”
DOD00000357	我不太喜欢他还活着的说法，但我想他肯定还活着，和一群人一起往西走了。
DOD00000358	跟我说说你的狱友。
DOD00000359	我是这里的安全主管，总得有人阻止掠夺者进入这里，那个人就是我。
DOD00000360	你可能会以为牧师依靠上帝的保护，相反，他恳求我。你该知道的都知道了。
DOD00000361	你在这儿是做什么的？
DOD00000362	我很乐意回答所有我能回答的问题。
DOD00000363	我有些问题要问。
DOD00000364	你现在看到的只是我们组织在新维加斯的分部。它78年才成立。
DOD00000365	我们的组织成立是为了帮助无家可归的孤儿和难民，在身体和精神上帮助和增强社会的力量。
DOD00000366	我们向贫困地区提供了很多服务，那里的人们可能无法享受到沙荫镇的所有便利设施。
DOD00000367	虽然我们和“天启追随者”一起举办一些慈善活动，但我们也在努力走自己的路。
DOD00000368	天气追随者做了很好的工作，但他们倾向于关注科学和医学。我们认为，在可能的情况下，向废土提供福音式的帮助是最主要的。
DOD00000369	跟我说说光之路吧。
DOD00000370	这个组织是由奥斯汀·伯克牧师于2250年在加州建立的。
DOD00000371	伯克家族在西部一直是一个富裕而有影响力的家族。牧师选择用他的资源来帮助他的社区。
DOD00000372	尽管我们试图把政治留给政客们，但他的表弟是参议院的一员，没法彻底分割。
DOD00000373	在听说了莫哈维沙漠的穷人所面临的困境后，伯克牧师立即建立了这个分部。
DOD00000374	他明确表示，他将继续担任这一地区的管理员，直到该地区完全纳入国家重建计划。
DOD00000375	这个组织是怎么产生的？
DOD00000376	我是莫妮卡·纳尔逊，我大半辈子都献给了这个项目。
DOD00000377	这个事工把收容孤儿，比如我，作为优先事项，并提供食物、安全和教育。
DOD00000378	我本可以在毕业后离开，但我觉得欠他们一份情，所以我留下来了。
DOD00000379	鉴于莫哈韦沙漠现在的状况，它需要我们的全力帮助，我很自豪能成为其中的一员。
DOD00000380	而你到底是谁？
DOD00000381	对不起，恐怕他现在很忙。如果你想稍后再来，他可能有空也可能没空。
DOD00000382	我要和伯克牧师谈谈，这很重要。
DOD00000383	等一下，我看看他在不在。
DOD00000384	...
DOD00000385	可以，他现在有时间，我来给你开门。你可以在他的办公室里找到他，就在我左边的房间里。
DOD00000386	我要和伯克牧师谈谈，这很重要。
DOD00000387	啊，你指的是参议员儿子的事，对吧？
DOD00000388	这件事非常...严重。
DOD00000389	然而，这件事和我们的教会没有关系，也和伯克家族除亚当外的成员没有关系。
DOD00000390	你也不应该猜忌牧师与此事有关，他的慈善历史应该是不言而喻的。还有别的事吗？
DOD00000391	伯克一家最近上了新闻，我猜牧师不会有什么了解吧？
DOD00000392	我名字叫瑞恩·奥尼尔，我是西区民兵，如果你还不懂的话，简而言之，我守卫西区防线。
DOD00000393	你是谁？
DOD00000394	我吗？我是西区最有趣的人。每个人看着我，就好像看到一个好笑的笑话，就他妈的笑个不停。
DOD00000395	妈的，问问我老婆，她嫁给我就是为了搞笑，她吮我的大鸡巴就是为了几个瓶盖。真他妈的令我舒心。
DOD00000396	我还会变魔术。给我酒，我马上就能让那玩意消失，混蛋。
DOD00000397	你是谁？
DOD00000398	我当然不介意你问。让我回忆那可怕的过去，顺便让你们这群可怜的娘们乐一乐。
DOD00000399	我跟他说过一千遍了，没人陪伴他就不要单独出城，但他一有机会怎么做？他妈的当然出去就死啦。
DOD00000400	他又不是第一个被恶魔帮开枪打死的孩子，紧着着就是他那该死的婊子妈妈...
DOD00000401	她他妈的怪我，说这都是我的错，说这就是离开我的理由：她只是想找个借口罢了。
DOD00000402	她把自己骨瘦如柴的屁股卖给任何一个有两个瓶盖的人。当然，发生的事怪我，至少我人当时还在那。
DOD00000403	我们的第一个孩子被杀的时候她在哪里？吮鸡巴赚钱，但只有我一个人有错，对吧？
DOD00000404	很好，操她妈的，操她妈的客户，操她妈的贫民窟小镇，操她妈的恶魔帮，操她妈的受害者，还有你。
DOD00000405	现在给我滚远点，也别他妈再问我这事了。
DOD00000406	如果你不介意我问的话，你儿子怎么了？
DOD00000407	怎么，你是想让我再回心转意吗？好像我一直都很迷茫很困惑？
DOD00000408	我知道我是什么，操你妈的。我他妈完全清醒，看，我他妈是个堕落的酒鬼，我是个糟糕的父亲和丈夫。
DOD00000409	杰西的哥哥死了，她母亲是个婊子，她的家乡是个阴沟，里面都是瘾君子，荡妇，奴隶贩子和疯子。
DOD00000410	这个世界就是这么丑陋和残酷。每天醒来，我都会向上帝祈祷这将是最后一次。
DOD00000411	你和瑞恩，还有你们这类人...你们站在悬崖边上，看着生活中最糟糕的事，然后告诉自己"没那么糟"。
DOD00000412	所以别他妈问我有什么问题，操你妈的你在自欺欺人。
DOD00000413	你有什么问题？我们说的可是你女儿，而你根本不在乎她。
DOD00000414	我要在这里喝得酩酊大醉，跟人打架，有时还去找个便宜的妓女。
DOD00000415	就是这样，也许你们都很特别，都拥有生命中值得注意的东西，但我，我他妈的。
DOD00000416	那么，你在这做什么？
DOD00000417	我他妈的一辈子都没有考虑过。
DOD00000418	我他妈的为什么要自告奋勇去保护这些忘恩负义的混蛋？
DOD00000419	你可能没注意到，我恨死这地方了，恨死这些人了，操他们所有人。
DOD00000420	你考虑过加入民兵吗？
DOD00000421	好说，我这辈子杀过很多人渣，所以当你渣到别人给你安称号时，你估计就难逃一死。
DOD00000422	这是40年前的事了。我接了一个叫沃伦的混蛋的赏金，一个逃犯头目，典型的卑鄙小人。
DOD00000423	寻找他们的好地方一般是他们的家，所以我去他家，找到了他的妻子。但她不想开门让我进去。
DOD00000424	OK，我觉得很正常，她肯定在掩护他，所以我一踹门，那婊子的脚就被撞瘸了，管他呢。
DOD00000425	那栋房子...那里全是笼子和牢房。原来沃伦在逃亡期间切断了他妻子的经济来源，没有钱，没有任何支援。
DOD00000426	所以，她想出了成为一个真正的人道主义者的好主意。开始为难民、孤儿、瘾君子和弱者提供食宿。
DOD00000427	这个邪恶的女人在她的男人停止资助她的时候就开始圈养奴隶，她为此感到骄傲，因为这样显得她思维敏捷。
DOD00000428	我当场就把那个婊子的内脏掏了出来，然后坐在沙发上看着她流血而死。
DOD00000429	所以这就是我遇到过的最坏的人，她本来连我的目标都不是。
DOD00000430	你见过的最坏的人是谁？
DOD00000431	哦，对，最后他蜷缩在梅斯基特山附近，我们在墨西哥僵持了很长时间，直到我告诉他他那婊子老婆干了什么。
DOD00000432	他很震惊，我估计他还有一点人性，所以这个消息几乎让他的精神崩溃了。
DOD00000433	他放下了枪，我履行了我的合同(杀人的委婉说法)，事情就这样结束了。
DOD00000434	你追上沃伦了吗？
DOD00000435	OK，说吧。
DOD00000436	我有些其他的疑问。
DOD00000437	你是问男性，还是男女？不管怎样都是个很大的数字。
DOD00000438	男人肯定比女人多，但或许这两个数字之间的差距比你想象的要小。
DOD00000439	很多犯罪分子是强奸犯，但似乎大多数不法团伙在招募人员上并没有什么男女歧视。这很奇怪,但是无所谓了。
DOD00000440	关于你最初的问题...我才不知道呢。数字太大了，我根本记不住，而且那是在我这老骨头开始衰老之前的事了。
DOD00000441	你杀了多少人？
DOD00000442	该死，是我把他带进这行的，是我教他怎么干活。我当时正处于巅峰，而他刚刚起步，所以他需要建议。
DOD00000443	他有点傲慢，总是傻笑，好像他知道什么我们不知道的事。不过他是个天生的枪手，刀法也很好。
DOD00000444	我记得他有点冷血，有的人会想方设法让自己的目标活着回来，但凯莱布只会试一次。
DOD00000445	但发生了那件事之后，他的反应并不奇怪。每个人都有崩溃的时候，而且他也不是那种会自杀的人。
DOD00000446	关于阿尔奎斯特，你知道些什么？
DOD00000447	他妻子叫珍妮，很漂亮的女孩，有一双棕色的大眼睛，她的头脑也很敏锐。
DOD00000448	没过多久，他们有了一个女儿。问题是,嗯...我说过，他很傲慢，他喜欢炫耀珍妮，炫耀自己过得有多好。
