SEV00000001	Poncho
SEV00000103	Loading...
SEV00000104	Insulted!
SEV00000105	Loading...
SEV00000106	Slander!
SEV00000107	Loading...
SEV00000108	Bodeen's Terminal
SEV00000109	Recruiting Run
SEV00000110	Loading...
SEV00000111	Scouting Report: Moapa
SEV00000112	Loading...
SEV00000113	Scouting Report: Alamo and Others
SEV00000114	Loading...
SEV00000115	Scouting Report: Conclusion
SEV00000116	Loading...
SEV00000117	Update
SEV00000118	Loading...
SEV00000119	McCall's Duster
SEV00000120	Lee's Outfit
SEV00000121	Lee's Poncho
SEV00000122	Fancy Suit
SEV00000123	Walker's Hat
SEV00000124	Walker's Outfit
SEV00000125	Jed's Jumpsuit
SEV00000126	Jed's Jumpsuit
SEV00000127	Fowler's Safe
SEV00000128	Desk
SEV00000129	Medical Cabinet
SEV00000130	Refrigerator
SEV00000131	Refrigerator
SEV00000132	Bodeen's Safe
SEV00000133	Wall Safe
SEV00000134	Gate
SEV00000135	Gate
SEV00000136	Hidden Door
SEV00000137	Door
SEV00000138	Gate
SEV00000139	Case of Caps
SEV00000140	Note
SEV00000141	Hygeia
SEV00000142	Map
SEV00000143	Stradivarius
SEV00000144	Roy's Jet Inhaler
SEV00000145	Trail Carbine
SEV00000146	Straight Razor
SEV00000147	.44 Magnum Revolver
SEV00000148	Police Baton
SEV00000149	Bugslayer
SEV00000150	Knife
SEV00000151	Uncaring Consequences
SEV00000152	.357 Magnum Revolver
SEV00000153	Bumper Sword
SEV00000154	Anti-Materiel Rifle
SEV00000155	Uncaring Consequences
SEV00000156	Walker
SEV00000157	Lee
SEV00000158	Larch
SEV00000159	Terry Clinton
SEV00000160	Peter Clinton
SEV00000161	Caravaneer
SEV00000162	Jed Phillips
SEV00000163	Bethany Phillips
SEV00000164	Mason
SEV00000165	Ronaldo
SEV00000166	Jimmy Dillinger
SEV00000167	Felicity Cockburn
SEV00000168	Marvin
SEV00000169	Child
SEV00000170	Guard
SEV00000171	Fowler
SEV00000172	Gustavo
SEV00000173	Slave
SEV00000174	Anne
SEV00000175	Nurse Wilkes
SEV00000176	Patient
SEV00000177	Raider Captain
SEV00000178	Bodeen
SEV00000179	Steve
SEV00000180	Miss Kitty
SEV00000181	Armfield
SEV00000182	Secretary
SEV00000183	Cram
SEV00000184	Todd
SEV00000185	Ramsay
SEV00000186	Pietro
SEV00000187	Sly Oliver
SEV00000188	Slave
SEV00000189	Rinn
SEV00000190	Juan
SEV00000191	Ramon
SEV00000192	Cynthia
SEV00000193	Jackal Gang Member
SEV00000194	Joey from Finance
SEV00000195	Courier
SEV00000196	Adam Vega
SEV00000197	Hired Gun
SEV00000198	Doctor Tyler
SEV00000199	Followers Guard
SEV00000200	Patient
SEV00000201	Sam
SEV00000202	Deathclaw Alpha
SEV00000203	Dog
SEV00000204	Peter
SEV00000205	Cram
SEV00000206	Dog
SEV00000207	Cram
SEV00000208	Cram
SEV00000209	Guard Dog
SEV00000210	Dog
SEV00000211	Junior
SEV00000212	Mole Rat
SEV00000213	Cram
SEV00000214	Dog Pecker Fly
SEV00000215	Dog Pen Key
SEV00000216	Fowler's Key
SEV00000217	Sam's Key
SEV00000218	Bodeen's Key
SEV00000219	Armfield's Slave Pen Key
SEV00000220	Blackened Radroach
SEV00000253	Yes?
SEV00000254	Welcome to the new clinic! It's a little rough around the edges, but we're already making a big difference here in Westside.
SEV00000255	I just can't thank you enough. Bless you... and bless Sam. He wasn't perfect, but he's left a wonderful legacy here.
SEV00000256	If I can ever help you in any way, please let me know.
SEV00000257	Yes?
SEV00000258	...
SEV00000259	What's your kink, baby? Threesomes? Butt stuff? You like a tongue in your ass? I'm down for anything if you got the caps, sugar.
SEV00000260	I'll be here if you change your mind.
SEV00000261	They sent you, didn't they? Came swooping in from the sky, stealing brahmin! I've seen them! Sweet Jesus on a unicorn, I seen them!
SEV00000262	Huh?
SEV00000263	<Singing>
SEV00000264	Can't get it out of my head!
SEV00000265	They're watching!
SEV00000266	[The child is sharpening his knife to a fine edge. He takes the time to finish before looking up at you.]
SEV00000267	The fuck do you want?
SEV00000268	What?
SEV00000269	Hey there, friends. You here to help with the food handouts? Some of these little tykes are real hungry... just desperate to get a single morsel.
SEV00000270	Can I help you?
SEV00000271	Didn't expect to see you fuckers again. Wait... did you do it? Is Marvin... you know? [He makes a slashing motion across his throat].
SEV00000272	Oh, I can see it in your eyes. He's deader than my stepdad. Burn in hell, Marvin. So, what can I do for you? Chems? Smokes? Knives?
SEV00000273	Yeah?
SEV00000274	Thank you for saving those kids.
SEV00000275	Please keep Patrick safe for me.
SEV00000276	You're just another lying ol' dirty birdy.
SEV00000277	...
SEV00000278	Yes?
SEV00000279	What is it?
SEV00000280	It's over. Not sure how I feel about all this. Been a while since I had a surge of adrenaline like that... not since I was serving.
SEV00000281	Maybe... maybe Jessica will rest a little easier. If her spirit is around, I suspect she's still cussing Bodeen's corpse. What a woman.
SEV00000282	I just... I know he had it coming... but now that it's done... was it right? Was it worth it?
SEV00000283	I'd rather not linger here. Grab the stash and we'll divvy it up, then we can go our separate ways.
SEV00000284	You better talk some sense into Lee or he's going to get himself killed.
SEV00000285	It's finished. I know Lee and I had our differences, but I never meant for him to go out like that. He died standing up.
SEV00000286	Not too sure what to make of this, though. Strange feeling. I wouldn't call it peace. No. Just... release. Like I can finally rest.
SEV00000287	Couldn't have done this without you. Wasn't sure what to think of you back at the outpost, but you sure as hell came through for me.
SEV00000288	Ain't one for speeches, so I'll end with thank you. Time to get those caps back to Silver Springs. Minus your share, of course.
SEV00000289	Goddamn it, Lee. Didn't leave us with any choice. Even with everything that happened... I didn't wish him dead. Damn shame.
SEV00000290	Thank you for backing me up. You could've gone with Lee just as easily. He was never big on sharing, though. Wise choice on your part.
SEV00000291	Couldn't have done this without you. Wasn't sure what to think of you back at the outpost, but you sure as hell came through for me.
SEV00000292	Ain't one for speeches, so I'll end with thank you. Time to get those caps back to Silver Springs. Minus your share, of course.
SEV00000293	Won't lie, I was betting that I'd have to throw down with him over the caps. Talking was never my strong suit. Glad you were here.
SEV00000294	Maybe Lee can find some peace out there. Same for you. If you do want to settle down, I'd stay away from Silver Springs. Maybe Goliad.
SEV00000295	My grandma always liked to quote the bible. She told me, "But let justice roll on like a river, righteousness like a never-failing stream."
SEV00000296	Wherever you go... whatever you do... be the river that bears justice. Lift up the oppressed... and drown their oppressors.
SEV00000297	Yeah?
SEV00000298	Not a good time.
SEV00000299	I must say that this has all gone swimmingly. It has all the makings of a tremendous country song.
SEV00000300	But first there are the pecuniary details. I know we discussed splitting the caps. That was... a prevarication on my part.
SEV00000301	I'm not a half-measure sort of guy. Nor do I like compromises. It's all or nothing. That's what I learned when my skin melted off.
SEV00000302	Rest in peace, Walker. Strange how these things happen. Gunfights, that is. Dime novels and newspapers make them out to be some elaborate dance.
SEV00000303	The Greeks put it well: "Quick decisions are not safe decisions." This is what Walker wanted, really. Gunsmoke, dust and a lot of dead bad guys.
SEV00000304	Me? I want to enjoy my retirement. On that note, it's time to divvy out the caps and go our separate ways. Fifty-fifty?
SEV00000305	Please, you can't let him do this.
SEV00000306	Keep the fuck back! You hear me? Stay away!
SEV00000307	Yeah?
SEV00000308	Never mind. I'll be going.
SEV00000309	Take care.
SEV00000310	Bye.
SEV00000311	Go! Run while you can! They're coming for us all!
SEV00000312	If you see Al... run away as fast as you can!
SEV00000313	Glasses! Get those glasses!
SEV00000314	Whatever you do, don't go to the lake!
SEV00000315	See you in Arizona, Al!
SEV00000316	Whatever.
SEV00000317	See you later.
SEV00000318	Very well.
SEV00000319	Take care.
SEV00000320	Stay out of my way when this starts.
SEV00000321	Whatever.
SEV00000322	So you are. Got a Pip-Boy, so you can navigate.
SEV00000323	[He looks you over with a skeptical expression across his face.]
SEV00000324	Have you killed?
SEV00000325	I'm here about the job.
SEV00000326	Reconsidered?
SEV00000327	I'd like to discuss the job again.
SEV00000328	Allow me to introduce myself. Patrick Lee - reformed robber, murderer, womanizer and all-around scoundrel, at your service!
SEV00000329	I'm a semi-willing participant in this bloody endeavor. It's a matter of reckoning for both of us, I suppose. Money for me, blood for Walker.
SEV00000330	To be clear... if you'd told me a few weeks ago I'd be working alongside Walker... I would've judged you insane. Life is strange.
SEV00000331	Who are you?
SEV00000332	Walker offered me a choice - throw in with him for monetary gain... or catch a bullet. I prefer caps over lead poisoning.
SEV00000333	Semi-willing participant?
SEV00000334	I'm ashamed to admit that I wasn't always a taxpaying citizen on the straight and narrow. Yes, I succumbed to temptation and vice.
SEV00000335	It was the folly of youth... well, ghoul youth. I threw in with Bodeen's pack of miscreants for the hope of short-term gain and worldly delights.
SEV00000336	Oh, and there were delights. Violent delights with violents ends, and I loved... er, I mean... I'm ashamed to admit it.
SEV00000337	All was well until I announced my intention to... retire. The lowly varmints beat me near to death and confiscated my share.
SEV00000338	So... after some time I set out to find these men and recover my wages. Walker found me first, so here we are. An enduring partnership.
SEV00000339	Why you?
SEV00000340	Again, youthful follies... I was... incarcerated in the Silver Springs jail for a time. Forcefully incarcerated. Very forcefully.
SEV00000341	Stubborn bastard tracked me all the way to Valley Wells. That's why we came in from the southwest. He's a determined man, I'll give him that.
SEV00000342	How did Walker know you?
SEV00000343	He is not my friend. He's... a business partner. A very temporary business partner.
SEV00000344	Who's your friend?
SEV00000345	The prevailing rumor is that Bodeen came from the east, ran with some real bad hombres in the Great Basin.
SEV00000346	You want details, talk to Lee. He ran with them for a little while.
SEV00000347	What can you tell me about this gang we're after?
SEV00000348	Grew up in Truckee, way up in the mountains west of Reno. Cold. Lots of snow. Beautiful, but unforgiving.
SEV00000349	Joined up young to get away, did a few years as a grunt, a few more with the rangers. Met a girl in Silver Springs and decided to settle down.
SEV00000350	Worked up there for a while. Pretty good life in hindsight, but all that's gone now. No point dwelling on it.
SEV00000351	Where are you from, originally?
SEV00000352	I failed. That's what happened.
SEV00000353	We've been working together for a bit. I'd like to know what happened in Silver Springs.
SEV00000354	One daughter who hates my guts... Hanna. I got Jessica pregnant when we were kids, and that was all she wrote. Spent the next few years deployed.
SEV00000355	I was a shit father from the start. Missed her childhood in the service, then mostly worked nights once I was sworn in as sheriff.
SEV00000356	Hannah was a strong-willed girl, definitely didn't mince words in our many arguments. She ran off with a dumb farm boy when they were sixteen.
SEV00000357	Jessica kept in touch with her. Last I heard she had one boy and another on the way. They live near Goliad, doing real well.
SEV00000358	Do you have any other family?
SEV00000359	I was a family man, believe it or not. Lived a quiet, tranquil life while I studied with the Followers. This was prior to my epidermal misfortunes.
SEV00000360	History was my passion, along with all manner of letters. My wife was a fellow academic... a great intellect. We were utterly devoted to each other.
SEV00000361	The Followers dispatched me to an archeological dig. I was accidently exposed to a lethal dose... what should have been a lethal dose of radiation.
SEV00000362	I returned to my loving spouse in this condition. She promptly divorced me and remarried a colleague. Later, I pushed them both down a well.
SEV00000363	What did you do before your time as an outlaw?
SEV00000364	The world over... well, the world west of the Rio Grande. I'd love nothing more than to see the plains. Legion is a stickler for rules, though.
SEV00000365	Most of my travels and travails have been confined to the Great Basin. It's a wild place, littered with strange towns and petty kingdoms.
SEV00000366	Much is made of the 80s. They're certainly dangerous to hapless damsels and witless caravaneers. I am neither. This is also why I stayed in gangs.
SEV00000367	Yes, they're often uneducated brutes, but there is... correction, there was mutual respect in the most Neolithic sense.
SEV00000368	I'm afraid things took a treacherous turn for the Bodeen Gang, hence my pursuit. Yes, there will be a reckoning.
SEV00000369	Where have you travelled?
SEV00000370	Interesting as in... homicidal? If so, then yes in the utmost. Conversation with killers is always more engaging, I've found.
SEV00000371	Mutual respect. Colorful anecdotes. The underlying threat of violence. Oh, it's titillating.
SEV00000372	There was El Reloj. Smooth... cold... like a reptile, but clearly haunted by something. Commanded great respect. Excellent Spanish, rare up there.
SEV00000373	Oh, I did meet the mutant Ares while I journeyed in Old Mexico. Utterly charismatic. Good command of mythology, obviously.
SEV00000374	It's not always pleasant. Take Requin. Saw him cut out a living captive's heart and eat it in front of his men. Laughed the whole time. A demon.
SEV00000375	Oh, there were others. Many others. There was one, though... well... a subject for another day, perhaps.
SEV00000376	Met any interesting people in your travels?
SEV00000377	Ah, yes. Bodeen the brute. Bodeen the snake. A cold-blooded, fork-tongued beast if there ever was one. No higher intellect, just low cunning.
SEV00000378	Adept with the gun, make no mistake. A pistolero on par with Walker and the other storied trigger-pullers of the wastes.
SEV00000379	But in the end... just a thug. A backwards step in evolution, made flesh. Homo Retro, if you will.
SEV00000380	Oh, and he's good with knives, blunt items, all the implements of the cave-dweller. He beat animals. He beat people. He even beat rocks.
SEV00000381	He was married to some tribal for a bit. Savage cunny, no doubt. Got a few kids out of her before she went to the great sweat lodge in the sky.
SEV00000382	What can you tell me about Bodeen?
SEV00000383	More? Certainly. He's a hideous specimen, sports a mammal on his face that doubles as a moustache. It's utterly repulsive.
SEV00000384	Always wears a unique duster, supposedly collected it from a Desert Ranger some time in the past. Many rumors about how that transpired.
SEV00000385	Story goes that prior to the Unification Treaty, one of the oldest hands in the rangers went after Bodeen. Name of... McCall, that's it.
SEV00000386	McCall tracked him deep into 80s territory. Too deep. Got bushwhacked by Bodeen and a band of 80s. Put up a hell of a fight, though.
SEV00000387	Bodeen has a funny gait when he shambles around, caveman that he is. Rumor is that he's carrying one of McCall's slugs in his thigh.
SEV00000388	Anything else you can tell me about Bodeen?
SEV00000389	A trifling pittance. No, that won't do. Rest assured I'm not going through all this for five percent. For that matter, neither should you.
SEV00000390	Walker mentioned you'd be getting a share of the recovered assets. Mind if I ask how much?
SEV00000391	Ah, Larch. Lord of the trash cans and rats, that one. Smelly beast who came up with that illustrious band of outlaws, the Jackals.
SEV00000392	He refused to conduct even the most basic hygiene... utterly intolerable. Even in the bush, where we all stunk... his stench shone through.
SEV00000393	You get me near some Jackals... and I reckon I can track his smell. Yes, I'm sure of it. Lead on, brave hero! We follow in your wake.
SEV00000394	What can you tell me about the first target?
SEV00000395	Terry Clinton, the gun nut. An arms dealer and smuggler. Supposedly even armed some of the 80s up north. Had a keen mind for business.
SEV00000396	He also had a keen nose for chems. A shame, really. Could've done something productive in the private sector. Well, so could I. But that's boring.
SEV00000397	Clinton had a deviant brother in the prison out here. Talked about meeting up with him, ripping off caravans once we finished the bank job.
SEV00000398	I imagine if we traced the caravan routes we could get a lead on them... or they could be waiting to ambush us. The Fates can be cruel.
SEV00000399	Walker said we're after someone named Clinton.
SEV00000400	The sharpshooter extraordinaire! A veritable Mozart with the rifle, minus the scatological fixation. Oh, that's relevant for you, Walker.
SEV00000401	"Lick me in the ass!" Relax, I was just quoting Mozart! I digress. Oh, Phillips. Yeah, he's got a singular obsession that exceeds all others.
SEV00000402	Deathclaws. Hunting them and collecting trophies. Man lives for it, year-round. So... know any places teeming with the beasts?
SEV00000403	What can you tell me about Jed Phillips?
SEV00000404	Ah, yes. The great hero of the NCR military! The undisputed master of stolen valor. He's Alexander reborn... well, according to him.
SEV00000405	Mason's purported exploits include single-handedly disemboweling an entire force of Legion scouts... with a spear in his thigh!
SEV00000406	As it happens... I managed to dig into his actual records thanks to a liaison with an admin clerk in Reno. His service record is... undistinguished.
SEV00000407	He received an administrative discharge shortly after arriving at his unit. Multiple instances of non-judicial punishment for malingering.
SEV00000408	According to one statement... he ate cigarettes and gargled his own urine to fake illness. He also developed an appetite for Psycho.
SEV00000409	He often moonlights as a guard for Crimson Caravan. All we need to do is draw him out off the compound. I'm sure you'll think of something.
SEV00000410	Walker said we're after a guy named Mason.
SEV00000411	Oh, this will be good. King of the perverts! Easy to find. Anywhere there's a great mass of diddlers, fiddlers and other deviants. He'll be there.
SEV00000412	Or more accurately, we should look for his minion, Marvin. That really rolls of the tongue. Minion Marvin. Anyway, he's the key.
SEV00000413	While I'm not suggesting you indulge in such indiscretions, I'm sure you know where such vermin congregate. Lead on!
SEV00000414	Fowler?
SEV00000415	"Guy" in the loosest sense of the word... a mutant. Not just a mutant, but a Nightkin, so the most... extra sort of mutant.
SEV00000416	A little conflicted about this one. We had something of a friendship, being the only freaks in the bunch.
SEV00000417	Not to mention he's surpisingly well-read on art history. Utterly obsessed with Rubens. Must like 'em thick. No judgment here.
SEV00000418	He's only mildly paranoid, which makes him a social butterfly by Nightkin standards. I'd wager he's up in that mountain town.
SEV00000419	The trick will be enticing him outside. My suggestion? Pose as an art dealer. Convince him that you have a Rubens. Say... Two Satyrs.
SEV00000420	Walker mentioned a guy named Sam.
SEV00000421	Yeah... about him. Some distance from here. Won't be alone. Has a passel of gunmen, raiders and other refuse at his shanty town.
SEV00000422	These rural, inbred types always seem to congregate in the worst mountain hovels. I suspect his clan is no different.
SEV00000423	Arrow Canyon, that's the place. He intends to set himself up as another petty warlord between here and Coyote Springs. Means to raid the 93, I wager.
SEV00000424	I know, uh... the general area. I reckon we can find it without a hitch. Meet us up at the Northern Passage and we'll begin our grand expedition.
SEV00000425	We're finally down to Bodeen.
SEV00000426	Clinton, the smuggler. Lee can fill you in.
SEV00000427	Who's next?
SEV00000428	Could be them. Seems like the convicts have a monopoly on bushwhacking here, so... good chance.
SEV00000429	I say we set up in cover a ways back, see if we can't wait them out. These groups tend to hit the same spots as long as they can get away with it.
SEV00000430	If we wait patiently, we should get the drop on them. Better than the alternative.
SEV00000431	What do you make of this?
SEV00000432	Now we hurry up and wait.
SEV00000433	<Wait for ambush> This seems like a good spot.
SEV00000434	Jed Phillips, the marksman. Lee knows him well.
SEV00000435	Who's next?
SEV00000436	Mason, the mercenary. Not a good friend of Lee's, if I recall.
SEV00000437	Who's next?
SEV00000438	Fowler, slimiest of the bunch by far. Looking forward to this one.
SEV00000439	Who's next?
SEV00000440	Our sure-fire ticket through the gate is dead now. Gonna need a kid to convincingly play the captive... not as easy as... wait a minute.
SEV00000441	I bet that Ronaldo kid could do it. He'll probably charge us an arm and a leg, but he's got moxy. Worth a shot.
SEV00000442	We know where Fowler is. The trick will be getting through the entrance.
SEV00000443	Sam, the safecracker. Before you talk to Lee, be sure to send Ronaldo home. Bad enough we got him mixed up in all this. And... thank you.
SEV00000444	Only two left. Who's next?
SEV00000445	He's a thief and a murderer. He'll keep stealing and killing until someone puts him down. He'll never change, no matter how he spins it.
SEV00000446	We've managed on our own so far. I'll give him a quick death, and that's being generous.
SEV00000447	He surrendered. Why don't we give him a chance to redeem himself?
SEV00000448	Yeah. Gonna have to work for it, though. Long trip, probably a real fight at the end. Lee can fill you in on the details.
SEV00000449	This is it, then. The last man.
SEV00000450	A little walking never hurt anyone. Let's get moving.
SEV00000451	Ready to travel?
SEV00000452	You'll do. I'm here to hunt down the men who robbed the bank in Silver Springs. I need a guide who knows the area.
SEV00000453	Pay is five percent of the recovered bank assets. Any other... forfeited assets along the way are yours, too.
SEV00000454	I've killed everything that walks or crawls at one time or another.
SEV00000455	Have you killed men? Specifically, men who are trying to kill you at the same time.
SEV00000456	So I ask again - have you killed?
SEV00000457	What do you mean?
SEV00000458	You'll do. I'm here to hunt down the men who robbed the bank in Silver Springs. I need a guide who knows the area.
SEV00000459	Pay is five percent of the recovered bank assets. Any other... forfeited assets along the way are yours, too.
SEV00000460	Yes.
SEV00000461	This might not be for you. If it's any assurance, all the men I'm after have it coming. But... if you got qualms... a nagging conscience... then no.
SEV00000462	So let me pose the question again - have you killed?
SEV00000463	I try to avoid killing.
SEV00000464	I'm going to hunt down and kill the men who robbed the bank in Silver Springs. You don't have to join in. Just need a steady guide.
SEV00000465	That said... we could be in some tight spots, and you'd be forced to defend yourself. Also don't want someone who's going to preach at me.
SEV00000466	Pay is five percent of the recovered bank assets. Any other... forfeited assets along the way are yours, too.
SEV00000467	What type of killing are you talking about?
SEV00000468	I was. Not anymore.
SEV00000469	You some kind of law?
SEV00000470	I'm not talking about this with you. Leave it alone.
SEV00000471	What, were you some kind of sheriff?
SEV00000472	Yes... and I'm not going to talk about it.
SEV00000473	This seems personal.
SEV00000474	You and Lee will get a share for labor provided... then I'll take the remainder back to the bank. Then... then it's over.
SEV00000475	What are you going to do with the recovered assets?
SEV00000476	Strictly speaking, no. We're not agents of the court or sworn officers. Part of your job is to lure our targets away from watchful eyes.
SEV00000477	All these men are outlaws. All of them are murderers. If you're going to fret over the legality of this, you should bow out.
SEV00000478	Is this legal?
SEV00000479	Silver Springs is just outside NCR. No official bounties with the agencies. Eventually... yes. Ain't gonna wait for competition, though.
SEV00000480	Can I collect bounties on these men?
SEV00000481	No.
SEV00000482	Aren't you a little worried about the legal consequences?
SEV00000483	First man is Larch. Scum came up with the Jackals out here. Talk to Lee for details. I'm behind you.
SEV00000484	I'm in. Let's get started.
SEV00000485	Don't take too long. I'll hire someone else if they're competent.
SEV00000486	I need some time to think about it.
SEV00000487	Fat chance of that happening. You seen the bumpkins passing through this shithole? Lucky if they can walk in a straight line without tripping.
SEV00000488	Hallelujah and hail Mary, let the righteous slaughter begin! I for one am excited to be leaving this dusty sphincter. Lead on, sheriff!
SEV00000489	All right, let's see what we're working with.
SEV00000490	<Sniffing>
SEV00000491	I... yeah, I got something. Terminal swamp ass... and shit-covered leather. Yeah, that's him!
SEV00000492	<Sniffing>
SEV00000493	Ugh, a hint of halitosis mingled with rotten meat... and it's not me. Getting closer.
SEV00000494	<Sniffing>
SEV00000495	Oh, he's... well, I'll just go fuck myself.
SEV00000496	Seems a little harsh. Could've just made him take a bath.
SEV00000497	"Call no man happy till he is dead." That's what the Greeks said. Well, this guy is positively jubilant.
SEV00000498	We're just gonna bushwhack 'em? Not gonna tell him something cold-blooded first? That's what revenge is all about!
SEV00000499	Look, he can count.
SEV00000500	Now what is a perfectly good mole rat doing... oh, fuck.
SEV00000501	I'm sure Bodeen will say the same thing about Silver Springs. Look on the bright side - you got two for the price of one!
SEV00000502	"O Rose, thou art sick."
SEV00000503	Whatever I am... whatever I've done... I don't hurt kids.
SEV00000504	Walker, he has a point. I sort of know the way to Arrow Canyon. I don't know-know it. Could be useful to keep Sam along.
SEV00000505	Damn hobos and their sob stories. Whole yarn was a farce, most likely. Sky wagons? A mass murderer named Al? Wasteland myth.
SEV00000506	Maybe he went for a walk. I find a walks to be deeply invigorating, provided they're not with you, Walker.
SEV00000507	That worked out nicely. Get Bodeen's key and grab the loot. I'll be right here.
SEV00000508	"Manners maketh man." This is a pleasant surprise. Here I was expecting another illiterate beast... and you've gone and impressed me.
SEV00000509	<Shake his hand> I'm &PCName;. Nice to meet you.
SEV00000510	Likewise. I hope our partnership is profitable for all.
SEV00000511	Good to meet you.
SEV00000512	Oh, so that's your part in this. I recall the Bard: "Our very eyes... are sometimes like our judgments, blind."
SEV00000513	You play your games and I'll play mine. Maybe we'll both come out of this alive and a little richer.
SEV00000514	Don't get chummy with me, bub. I can see through your bullshit.
SEV00000515	Stand and deliver! It's your caps or your lives, trespassers!
SEV00000516	Hello, Larch.
SEV00000517	Walker? Lee? What... what are you doing here?
SEV00000518	You know why we're here, young man. Make your peace and get ready.
SEV00000519	Whoa, whoa, whoa! I was just the lookout, see? I had debts, just needed a little to get back on my feet! It was Bodeen, all Bodeen!
SEV00000520	Please, they wouldn't even let me do jobs with them! Ask Lee, he'll tell you! I was just a lookout, never hurt anybody!
SEV00000521	He ain't lying, Walker. Besides... he's pretty pathetic. How about we just take his caps, sanitize them, and then get on to the real outlaws?
SEV00000522	No. For Jessica.
SEV00000523	That's one.
SEV00000524	Here they come. Wait until they're all in our line of sight, then open up with whatever will cause the most casualties.
SEV00000525	I'll say it to him in hell. Now shut up.
SEV00000526	Two.
SEV00000527	Damn, that is not what I wanted. Didn't give me a choice.
SEV00000528	We'll be outside the compound. Try not to cause a scene in there... unless he starts it.
SEV00000529	I wanted to question him first. See if you can find something useful on him.
SEV00000530	Five. Burn in hell, scum.
SEV00000531	Same deal, we'll be waiting outside town. Don't cause any trouble in there.
SEV00000532	Something's off. We just cleaned out the canyon, he still hasn't shown. Check out the admin building, see if he slipped out.
SEV00000533	Just take a quick look inside, see if he left any notes. We'll be watching the street.
SEV00000534	It's done. Grab the key and get the cash from the safe. I'll be out here... something I have to do.
SEV00000535	This is going to be tedious. Waiting around so we can ambush the ambushers. Wish I'd brought a book. For Whom the Bell Tolls would be fitting.
SEV00000536	Walker... can I call you my little rabbit?
SEV00000537	You call me that and I'll shoot your kneecaps off.
SEV00000538	Un dia pronto... te matare. Estupido paleto.
SEV00000539	What was that?
SEV00000540	I was just complimenting your stunning intellect, Walker. You're a marvel to behold. So happy to be here with you.
SEV00000541	Hey, at least he doesn't like collecting Cazador venom. That's the secret of my optimism - remember it can always be so much worse.
SEV00000542	You've got to be fucking kidding me.
SEV00000543	Then lead on to the great hunting grounds. I'll be... well behind you and Wild Bill the Second while you tilt at Deathclaw-shaped windmills.
SEV00000544	He'll probably be at Sloan.
SEV00000545	Then lead on to the great hunting grounds. I'll be... well behind you and Wild Bill the Second while you tilt at Deathclaw-shaped windmills.
SEV00000546	I might know a place.
SEV00000547	I haven't the need nor the urge to hide it. She was a rancid, shallow cow, and it warmed my soul to see her thrash like a goldfish.
SEV00000548	I do regret killing Bill, though. Amazing linguist, loved his work on language isolates. I think he screeched in Basque and Ainu while drowning.
SEV00000549	I won't pontificate about some grand, internal transformation. It was just an epiphany, nothing more. I live freely now, and I don't look back.
SEV00000550	You're very open about killing your former spouse.
SEV00000551	Oh, don't be. In hindsight, she was a domineering she-beast... closer to Shelob in temperament, apt to suck the joy out of me... but never my seed.
