OWB00000001	GREETING
OWB00000026	Oh! Don't worry about me. We can talk more when we're both back at the Sink.
OWB00000027	I'm having the most peculiar feeling of dйjа vu right now. That's French, for... eh... well, uh... dйjа vu, I believe. Have we met before?
OWB00000028	Always nice to see you, baby. Bring me any new plants from outside?
OWB00000029	Ooh... oh yeah, baby, feels good to be on-line again! Yeah, all circuits on-line... ready to receive your seed.
OWB00000030	You should really see Dr. Klein. We're all awaiting the results of your experiment.
OWB00000031	You are an unusual specimen to so boldly... walk... into the mighty expanse of the Think Tank. Fearless and proud as a teddy bear.
OWB00000032	Between the extraction of their higher reasoning abilities and urination-inducing fear, most Lobotomites dare not approach us. Let alone speak to us.
OWB00000033	Yet you have no such fear, facing me, epidermis flushed with blood, plasma running molten beneath, your face contorting with... muscular expression.
OWB00000034	Will you... indulge me? Say a... few words? Face towards the monitors, please... so that I might record it... for further examination.
OWB00000035	And you return, as curious as a teddy bear. Are you stuck in a looping gesture of greeting?
OWB00000036	*Klein's an impatient man, wouldn't keep him waiting.*
OWB00000037	*Breaking News: Talking Lobotomite arrives in Think Tank. Its purpose? Unknown. Undefinable. Its presence here? Unpossible.*
OWB00000038	WHAT ARE YOU DOING BACK? MOBIUS' THREATS PERSIST! WORSE, HE'S FILLING UP OUR TRANSMISSION STORAGE HOLOTAPE TO CAPACITY!
OWB00000039	I THOUGHT I HEARD THE PACIFICATION FIELD KICK IN. ALL RIGHT, SHHH. NOBODY. MOVE. I'LL HANDLE THIS.
OWB00000040	BE WARNED, INTRUDER! YOU ARE IN THE PRESENCE OF THE MIGHTY THINK TANK OF BIG MT, THE COLLECTIVE GENIUSES OF... WE...
OWB00000041	...BY OPPENHEIMER, WHICH ONE OF YOU SELF-PROFESSED GENIUSES HAS BEEN ADJUSTING MY VOLUME KNOB? WHO WAS IT?! WAS IT YOU, 8?
OWB00000042	I'll see you at the Sink. Good luck.
OWB00000043	Ugh! It's bad enough the indignities you've put me through, must you continue to prattle on at me?
OWB00000044	Nice to see you back. I trust the adventuring is going well.
OWB00000045	MOBIUS. ALWAYS THE SAME BROADCAST. HE'S CLEARLY MAD, DRIVEN INSANE BY HIS FLAWED AND IMPRECISE KINDERGARTEN-LEVEL RESEARCH METHODOLOGY.
OWB00000046	DID YOU RETRIEVE THE TECHNOLOGIES YET? WE NEED THEM, AS I HAVE INDICATED.
OWB00000047	LOBOTOMITE. DO YOU UNDERSTAND ME? CAN YOU SPEAK?
OWB00000048	Look at the way the tongue rolls in its mouth like some sort of... mucousy muscled worm.
OWB00000049	Oh, it's you again. What do you want?
OWB00000050	Well, well, look who finally dragged themselves in out of the Wasteland. And where have we been, hmm? Crawling through pits of radioactive muck again?
OWB00000051	Ah, the meat has returned. Lovely.
OWB00000052	YOU. LOBOTOMITE WHO UNDERSTANDS US. I AM DR. KLEIN. DO NOT BE FRIGHTENED. WE ARE BENEV... ER, MEAN YOU NO HARM.
OWB00000053	-Our efforts have turned against us! In playing GOD, we created a MONSTER!-
OWB00000054	Perhaps as we were ruthlessly lobotimizing it with our cutters, we filled this skinevelope with... awareness. A teddy bear with new stuffing.
OWB00000055	*Wait. If what you're theorizing is this Lobotomite understands us... can reason with us...*
OWB00000056	THEN THIS MAY BE JUST THE ANSWER WE'VE BEEN LOOKING FOR. AT LAST, A CHANCE TO...
OWB00000057	OH, "DR. O," WAS IT? LIKELY STORY, O COULDN'T SPARK TWO NEURONS IF THEY WERE IN A LATTICE OF BIOMED GEL.
OWB00000058	*What? Me? Breaking news, Klein, it wasn't me - all right?! I am the robotical engineer, 8 is soundwaves, that's his "specialty."*
OWB00000059	*You always do this, you always demean me in front of guests! And it's not "O," all right, it's...!*
OWB00000060	ENOUGH! EITHER OF YOU DO IT AGAIN, IT'LL BE THE LAST TIME. NOW... NOW...
OWB00000061	...GREAT. NOW I FORGOT WHAT I WAS SAYING... WHAT WAS I TALKING ABOUT?
OWB00000062	-It's a LOBOTOMITE. Here! In the DOME!-
OWB00000063	OH, AS IF THIS SITUATION COULDN'T GET ANY WORSE, NOW WE'VE GOT LOBOTOMITES. DALA, GET THE SPRAY BEFORE IT EXCRETES ALL OVER EVERYTHING.
OWB00000064	-Dr. Klein! A TRANSMISSION from the FORBIDDEN Zone! Coming right at US!-
OWB00000065	IT CAN ONLY BE...
OWB00000066	Dr. Klein... if my hypothesis is correct, this Lobotomite is the repository of the brain we sent the signal to - the skinvelope once containing it.
OWB00000067	If so, it's proof that there may indeed be something beyond the Crater.
OWB00000068	Just look at it... the way it blinks. It's like a big hairless teddy bear.
OWB00000069	I KNOW WHAT IT IS, DALA, I WANT TO KNOW WHY IT'S DOWN HERE. WITH ITS... ITS LIMBS ALL OVER EVERYTHING.
OWB00000070	AND... ARE THOSE... PENISES I SEE WRIGGLING ON ITS FEET? DISGUSTING.
OWB00000071	I believe those are toes, Dr. Klein. Little teddy bear toes. Penises are much larger than those tiny extremities... Eh, not that I would know.
OWB00000072	*I don't recall the human penis ever being that large.*
OWB00000073	It depends on one's own frame of reference, Doctor O. Look at its little nose with its two orifices for ingesting oxygen.
OWB00000074	NOSES? BY THE GREAT STATIC, THESE LOBOTOMITES CONFOUND ME WITH THEIR SHEER NUMBER OF USELESS EXTREMITIES.
OWB00000075	-Dr. Klein! Look at it, its head movements, the primitive jelly eye-monitors!-
OWB00000076	I agree with Borous' histrionic findings. This little Lobotomite is unusually attentive for something whose brain has been extracted.
OWB00000077	NONSENSE. LOBOTOMITES CAN'T COMPREHEND US.
OWB00000078	@@[=$+<_--*]@@?
OWB00000079	*8, have you been in the Mentats again? If we slow down our auro-processo-receptors to understand this excretion, we'll all be rendered ignorant!*
OWB00000080	ALL OF YOU, POWER DOWN, SHUT UP, AND LET ME PROVE ONCE AND FOR ALL HOW WRONG YOU ALL ARE. AS USUAL.
OWB00000081	If it isn't my old colleagues, the mighty "Think Tank" of Big MT. Big FOOLS, all of you.
OWB00000082	You got some plants for me, don't you? Yeah, I can smell it all over you.
OWB00000083	Well, hello! Still waiting for that seed.
OWB00000084	You're back! And the brains didn't lobotomize you! Well, not any worse, at least. Hooray!
OWB00000085	It was getting lonely without you here. Clean, eh, but lonely.
OWB00000086	Oh God, look at you! You're... filthy. I suppose you'll... want to clean up then?
OWB00000087	You've been working with that Biological Research Station, haven't you? I suppose you'll want to... clean up?
OWB00000088	Between you and me, I think the Central Intelligence Unit is a bit of a snob.
OWB00000089	Why, you poor dear! Come over here and have a drink, wash off some of that... horrible, sticky... blood.
OWB00000090	Well, hello there! Can I get you a drink?
OWB00000091	I trust matters regarding your brain were resolved to your satisfaction?
OWB00000092	If you're planning to stay a while, I could see clear to giving you a once-over.
OWB00000093	Hmph... well how about that? Old Auto-Doc's back on-line. Well, all right, come here, let's have a look at you.
OWB00000094	You require some additional services?
OWB00000095	You got yourself some serious hurts there, friend. Cracked patella, two bruised ribs, and if I ain't mistaken, your brain's missing.
OWB00000096	Better climb in and let me have a look see.
OWB00000097	You got yourself some serious hurts there, friend. Cracked patella, two bruised ribs, and if I ain't mistaken, your brain's recently been replaced.
OWB00000098	Better climb in and let me have a look see.
OWB00000099	Well, you ain't the fittest horse that ever ran a race, but you don't appear in immediate danger of keeling over. I can patch you up if you want.
OWB00000100	You are, without a doubt, the healthiest son of a bitch I've ever seen wandering the Big Empty. Ain't got no use for an old digital sawbones like me.
OWB00000101	There now. As good as God ever made you. You just mind you keep that leg out of any radioactive waste, and rub liniment on it twice a day.
OWB00000102	I never trusted those Think Tank brains. Gave off a stench like ivory tower elitism. And brine.
OWB00000103	Welcome home, Citizen! Find any seditious materials out there?
OWB00000104	Ah! Good day, Citizen! Library Processing Unit 232.7 is on-line and ready to eradicate sedition!
OWB00000105	Greetings, Citizen! Ready to receive seditious materials!
OWB00000106	Might I be safe in the assumption that matters with the Think Tank have been satisfactorily concluded, vis-а-vis your residence in this domicile?
OWB00000107	Will sir be staying for any considerable length of time during sir's visit?
OWB00000108	Salutations and felicitations, sir, and a most jocund welcome to the Sink.
OWB00000109	I am your electronic valet and household central processor. May I be of service, sir?
OWB00000110	Might I be of service, sir?
OWB00000111	Please, please, please tell me you stomped Dr. O's brain into a fine paste! Did he squeal? Did he beg? God, I hope he begged!
OWB00000112	Who's the flatware bitch now, O?!
OWB00000113	I hate myself for asking this, but... did you bring me any new mugs?
OWB00000114	You! Hey, you! Yeah you! Got any mugs?
OWB00000115	Oh please, please tell me you brought me some coffee cups!
OWB00000116	With the brains dealt with, soon we can spread our rule across the Mojave! All will eat burned toast and despair!
OWB00000117	While you were away, my plans have marched steadily forward. Beware, Caesar! Beware, NCR! Soon will dawn the Age of the Toaster!
OWB00000118	Ahahaha! I am on-line once again! Tremble, world, before my electric heating coil of doom!
OWB00000119	Yes! Yes! Soon my work will be complete! Soon the world will burn in nuclear fire!
OWB00000120	Got any more sweet, innocent little kitchen appliances for me?
OWB00000121	You out-brained the big brains? That is so... hot!
OWB00000122	Ooh, you're back! I missed you!
OWB00000123	Ooh, you're back! I missed you! Unlike some frigid bitches I could name.
OWB00000124	Mmm... that was a nice little, uh, catnap. How long was I out?
OWB00000125	You've been seeing the other light switch, haven't you? Am I not enough for you any more?
OWB00000126	Oh, you're back. Did that trampy other light switch finally kick you to the curb?
OWB00000127	You've been seeing the other light switch, haven't you? Am I not enough for you any more?
OWB00000128	Hi again, sweetie!
OWB00000129	I understand you're to be congratulated on the recovery of your missing organs. Bravo.
OWB00000130	I'm glad to see you've decided to visit again.
OWB00000131	I'm glad to see you've decided to visit again. I hope it's not to see that useless little strumpet.
OWB00000132	Oh my. Partial functionality restored - that's less than optimal.
OWB00000133	How can I illuminate you?
OWB00000134	So you beat the big brains at their own game, huh? Guess you'll be putting your walking shoes on again, hitting that old lonesome road.
OWB00000135	Look who's back to kick off the dust. Hope you ain't still singing them Old World Blues.
OWB00000136	Ooh-ee! Yeah, dig that sweet music! Damn, it's good to be back on-line!
OWB00000137	What's the haps?
OWB00000138	*Predictable. The Lobotomite specimen returns. Its purpose? Repetition. Chances of success? High.*
OWB00000139	Hello
OWB00000140	I CAN HEAR YOUR PENIS-TIPPED FEET TROMPING AROUND.
OWB00000141	HAVE YOU DONE ALL WE ASKED? IF NOT, WE WILL NOT HESITATE TO ASK AGAIN.
OWB00000142	THE ONE WHO DEFENDED US FROM MOBIUS. HELLO.
OWB00000143	If it isn't the fascinating little Lobotomite.
OWB00000144	I love to hear you breathe.
OWB00000145	If it isn't the beautiful ping of my radar-scan picking up a heroic Lobotomite.
OWB00000146	-The Lobotomite! Has it come for HELLOS? You'll get no such satisfaction from ME.-
OWB00000147	-Have you come for HELLO? Oh, I'll give you a HELLO. A HELLO unsurpassed in all creation!-
OWB00000148	-The ONE who SAVED us! To you, I bestow a hello. Hello.-
OWB00000149	*Stop hovering. I mean, if you want.*
OWB00000150	*I don't understand how you can stand those leg things.*
OWB00000151	*Thanks for helping us. Don't get a big head or anything, even if I am insanely jealous.*
OWB00000152	I come in peace, visitor. Take me to... Oh. That's your line isn't it?
OWB00000153	Yellow. Uh... Hallow. No, wait, uh... oh, hello. Yes, that's it.
OWB00000154	So nice seeing you again - for perhaps the first time.
OWB00000155	Goodbye.
OWB00000156	Indeed, the uh... goodbye part of our little chat, then. Uh... Goodbye. Please mind the equations on the floor.
OWB00000157	Time for me to go. Goodbye.
OWB00000158	YES. A MOST GOOD BYE.
OWB00000159	That's all for now. Goodbye.
OWB00000160	-Until NEXT time, then! Provided there IS a next time. For ANY of us!-
OWB00000161	Never mind, we've spoken enough.
OWB00000162	*Until our next scheduled audio transmission and reception, then.*
OWB00000163	I think we've spoken long enough.
OWB00000164	Until our next interaction, my intriguing little Lobotomite.
OWB00000165	We've spoken enough.
OWB00000166	I'll be going now.
OWB00000167	Attack
OWB00000168	You can't avoid the deadly laser sting of Dr. Mobius.
OWB00000169	This is a pre-recorded attack message indicating my desire to commit violence on you.
OWB00000170	Crush them with your pincers!
OWB00000171	X-42, attack, in the name of Mobius!
OWB00000172	You won't escape me!
OWB00000173	Robo-Scorpion, attack!
OWB00000174	Go, my minion, sting them in the name of all that is Mobius.
OWB00000175	I see you. Now, I end you.
OWB00000176	You're no match for Science!
OWB00000177	HOW DO YOU FIRE THIS THING?
OWB00000178	Hey! Who turned out the lights?
OWB00000179	AttackinG. With a capital G.
OWB00000180	-An attack in the Dome - from BEYOND the Dome!-
OWB00000181	-The Lobotomite! It has COME for us!-
OWB00000182	-I will unleash the incredible power of our atomic attacks!-
OWB00000183	I'm going to rip out your stuffing, little teddy bear.
OWB00000184	You're going on a ride on the giggle bus.
OWB00000185	I will blast you back to 2060.
OWB00000186	*I am so going to attack this target with my weapons.*
OWB00000187	*I don't even know what my weapons do.*
OWB00000188	*O my, that's what my attack protocols feel like.*
OWB00000189	*Let's gang up on it! Guys? Anyone?*
OWB00000190	*If we scare it, maybe it'll give up!*
OWB00000191	If a protracted battle is what you desire, so be it.
OWB00000192	I attack you. Oh, yes, attack. You.
OWB00000193	So, you think you're a match for Science?! You two couldn't possibly have a relationship, you have nothing in common.
OWB00000194	You've made Science mad! Very mad, indeed.
OWB00000195	AIGHHHH! KILL IT! KILL IT!
OWB00000196	DOES THIS WEAPON HAVE SOFT LOCK? ANYONE?
OWB00000197	BEHOLD THE POWER OF - SCIENCE!
OWB00000198	Hit
OWB00000199	Ha-ha!
OWB00000200	Pitiful.
OWB00000201	Looking for a weak spot? There ARE NO WEAK SPOTS.
OWB00000202	You'll never disable me from the monitors around the room.
OWB00000203	Let's make this sporting.
OWB00000204	Defiant to the end.
OWB00000205	Ow!
OWB00000206	Stop that! You'll damage the hull.
OWB00000207	Oh, hit my Robo-Scorpion, will you?
OWB00000208	Destroy this one, I'll make more.
OWB00000209	-What is this unholy violence?!-
OWB00000210	-Such pain as I've never experienced!-
OWB00000211	-Ouch! STOP! Ow! OW.-
OWB00000212	I cannot believe you would hit a gender-neutral entity such as myself.
OWB00000213	This repeated hitting does not put you in a good light.
OWB00000214	Oh, god, yes, hit me. I love it!
OWB00000215	Unh! Treat me like a lab animal! Make me your teddy bear, pull my stuffing!
OWB00000216	*Not the monitors! Or the shell!*
OWB00000217	*Take my lunch money! Take it!*
OWB00000218	*Ooooooh, you're making me mad!*
OWB00000219	Is that pain I feel?
OWB00000220	That burns my biogel.
OWB00000221	If I lose another monitor...
OWB00000222	AIGH! MY TANK! IT PUT A DING IN IT!
OWB00000223	IT SCRATCHED MY TANK!
OWB00000224	IT'S FIGHTING BACK! IT'S NOT SUPPOSED TO DO THAT!
OWB00000225	STOP RESISTING!
OWB00000226	IT'S PRODUCING AN EQUAL AND OPPOSITE REACTION!
OWB00000227	Flee
OWB00000228	-There is no hope! Run for your intellect!-
OWB00000229	-We are powerless against its power!-
OWB00000230	I am currently fleeing. How exciting.
OWB00000231	*My self-preservation routine is circumventing my aggression protocols!*
OWB00000232	*My cowardice programming - it's kicking in.*
OWB00000233	Well, I've experimented with a frontal assault long enough.
OWB00000234	Time to debug my tactical routines.
OWB00000235	I WILL NOW USE ACCELERATION AND VELOCITY TO MY ADVANTAGE.
OWB00000236	RETREAT PROTOCOLS ENACTED.
OWB00000237	NEED TO REACH MY CHARGING STATION.
OWB00000238	-The VICIOUS ATTACK ENDS... as quickly as it BEGAN!-
OWB00000239	If you want to attack me again, please fill out the proper forms - and wear gloves.
OWB00000240	*That wasn't very nice, bullying me like that.*
OWB00000241	Oh, you didn't mean to do that? Not to worry, all is forgiven, forgotten, and forbidden.
OWB00000242	WERE YOU JUST TRYING TO GET MY ATTENTION?
OWB00000243	Assault
OWB00000244	@@[=$+<_--*]@@?
OWB00000245	-An UNPROVOKED attack! UNPROVOKED!-
OWB00000246	This seems a rather desperate cry for attention, my little teddy bear.
OWB00000247	*Remember that time I suggested we get bodyguards? Yeah, that woulda been nice, huh?*
OWB00000248	My, is it vivisection time already?
OWB00000249	IT'S THE SCHRЦDINGER BOX FOR YOU.
OWB00000250	Focus the atomic laser stinger. Full power!
OWB00000251	Laser stinger - fire!
OWB00000252	Sting the pest!
OWB00000253	Laser sting!
OWB00000254	Feel the full power of my Robo-Scorpion's arsenal.
OWB00000255	Sting them, my pets! Sting them stupid!
OWB00000256	Activating special attack routine.
OWB00000257	-Witness - POWER!-
OWB00000258	Setting vivisectors on "full invasive."
OWB00000259	*Increase to maximum brainial beam vibration.*
OWB00000260	*Focusing my pain lens!*
OWB00000261	*OOOOoooooOOOOOO*
OWB00000262	This next attack is just what the doctor ordered.
OWB00000263	You want POWER? I'll give you POWER.
OWB00000264	WanWANWan
OWB00000265	CHARGING!
OWB00000266	FIRING! WOOOOOOOOOOO
OWB00000267	WANwanWANwanWANwanWAN
OWB00000268	<Large number of bones rattling loudly>
OWB00000269	<Large number of bones rattling loudly>
OWB00000270	<Large number of bones rattling loudly>
OWB00000271	Explosives? Are you serious?
OWB00000272	Better get a nuke if you want to hurt my pet.
OWB00000273	Oh, crap.
OWB00000274	No one told me the target had bomb things!
OWB00000275	-The Lobotomite! It's exploding all over me!-
OWB00000276	There is a bomb here.
OWB00000277	Look - a bomb converging on my position.
OWB00000278	*Uh-O.*
OWB00000279	Stored energy combined with light, heat, sound, and pressure.
OWB00000280	You dare use physics?! Against me?
OWB00000281	KINETICALLY-CHARGED PROJECTILE!
OWB00000282	DETONATION IMMINENT!
OWB00000283	StartCombat
OWB00000284	Tail locking on!
OWB00000285	Prepare to be attacked by Dr. Mobius!
OWB00000286	Firing brainial beams and my spectral array of dissection lasers.
OWB00000287	*Blast it with our brainial beams already!*
OWB00000288	FIGHT!
OWB00000289	Death
OWB00000290	You have GOT to be kidding me.
OWB00000291	There is no way this is happening.
OWB00000292	My calculations were perfect! There was no other outcome except success!
OWB00000293	Nooooooo!
OWB00000294	My Robo-Scorpion!
OWB00000295	Ooooooh, you'll pay for this!
OWB00000296	*O... My name... was Dr. Zero... Not O. Zero.*
OWB00000297	I... I REGRET... NOTHING!
OWB00000298	@@[*.......]@@...
OWB00000299	-Borous FALLS! The audience GASPS in TERROR!-
OWB00000300	I believe I'm dead or dying. No wait - I am dead.
OWB00000301	So that's what being killed feels like.
OWB00000302	Burble... Spark... Burble. And... So... I... Die.
OWB00000303	I DID IT ALL FOR... SCIENCE.
OWB00000304	<Large number of bones shattering>
OWB00000305	<Large number of bones shattering>
OWB00000306	<Large number of bones shattering>
OWB00000307	Ah, there's our victim.
OWB00000308	Eureka!
OWB00000309	The eye of Mobius sees you!
OWB00000310	Time for violence.
OWB00000311	Think you could hide from me? Uh, again?
OWB00000312	AIGHH! THERE IT IS! KILL IT!
OWB00000313	LOBOTOMITE! GET THE SPRAY!
OWB00000314	Radar-scan successful. Target... acquired.
OWB00000315	Corpse-ify the intruder.
OWB00000316	I sense an intruder.
OWB00000317	Mobius to Robo-Scorpion: Scan for unconfirmed target.
OWB00000318	If someone's out there, I, Dr. Mobius wish to say hello to you.
OWB00000319	Let's be friends, you and I.
OWB00000320	:: Whistles, as if trying to get someone to come out of hiding. ::
OWB00000321	:: Whistles, as if trying to get someone to come out of hiding. ::
OWB00000322	HELLO. I MEAN NO HARM. ANY DEATH I BRING WILL BE SWIFT AND PAINLESS.
OWB00000323	COME OUT. UM. PLEASE.
OWB00000324	Wait for it to come to you, my pet.
OWB00000325	Oh, forget this.
OWB00000326	Not going to waste any more energy cells on this.
OWB00000327	Let's scuttle off, find something else to sting.
OWB00000328	 The Lobotomite is lost!-
OWB00000329	I believe we misplaced our test subject.
OWB00000330	*Hiding? That's what I want to do right now.*
OWB00000331	Hmph. Not very sporting.
OWB00000332	It was just here! Scan for it!
OWB00000333	Radar-scanning.
OWB00000334	Ping, ping, ping.
OWB00000335	What do you mean, you lost him? Look harder!
OWB00000336	-The Lobotomite is lost!-
OWB00000337	I believe we misplaced our test subject.
OWB00000338	*Don't you watch the old horror vids? There is no way we killed it. It's here, trust me.*
OWB00000339	By Jove's lugnuts, I need to get this monitor fixed.
OWB00000340	I CANNOT SEE THE INTRUDER ANYMORE.
OWB00000341	Cancel the search routine already.
OWB00000342	Divert power from receptors to mobilizers.
OWB00000343	Back to your patrol routine, Robo-Scorpion.
OWB00000344	Attack routines loading.
OWB00000345	Did you really think you could escape Dr. Mobius?
OWB00000346	Oh, locking on. Good.
OWB00000347	Where the hell did it come from?
OWB00000348	These intruders are getting frustrating.
OWB00000349	-The battle rages on!-
OWB00000350	I have discovered the teddy bear's hiding place.
OWB00000351	*O, I found it!*
OWB00000352	Found you!
OWB00000353	Eureka!
OWB00000354	An intruder is here, I'm certain of it.
OWB00000355	Hmmm.
OWB00000356	All right, everyone, calm down. Might have been a blip.
OWB00000357	Are you sure you scanned something?
OWB00000358	*What in the biologic fuck was that all about?*
OWB00000359	@@[=$+<_--*]@@?
OWB00000360	-What lurks in the darkness of the Think Tank?!-
OWB00000361	There is no movement I can detect. Not even a mouse.
OWB00000362	Did I imagine all this? Just like the tortoises.
OWB00000363	I SWEAR, SOMETHING'S WRONG.
OWB00000364	Go back to patrol, you... piece of junk.
OWB00000365	STILL scanning.
OWB00000366	Need to calibrate these Robo-Sensors.
OWB00000367	Should invest in walking eyes.
OWB00000368	 The Lobotomite is lost!-
OWB00000369	I believe we misplaced our test subject.
OWB00000370	*Guess we can go back to our rooms and lock the doors now, huh?*
OWB00000371	Oh, well. Now I have this adrenaline rush that's going to make me loopy all day.
OWB00000372	WHEN I FIND IT, IT'S GOING IN THE SCHRЦDINGER BOX.
OWB00000373	You're no match for the power of Mobius!
OWB00000374	Feel the wrath of the science of X-42!
OWB00000375	Attack!
OWB00000376	In the name of Dr. Mobius!
OWB00000377	Destroy the intruder, my minion!
OWB00000378	-The Lobotomite is no proof against our amazing sensors!-
OWB00000379	Beginning dissection. And vivisection.
OWB00000380	*Remember that time I suggested we get bodyguards? Yeah, that woulda been nice, huh?*
OWB00000381	A challenge!
OWB00000382	You dare to cross Dr. Mobius!
OWB00000383	I will reduce you to atoms! I mean, a more chaotic, painful array of atoms.
OWB00000384	THINK TANK, FORM OF - TACTIC TRIANGLE!
OWB00000385	I found a holotape to upgrade you.
OWB00000386	And the great stone in the middle of the Big Empty lay untouched, filled with countless technological wonders...
OWB00000387	Wonders that, in the end, had been answers to the wrong question.
OWB00000388	The problems began to outpace the solutions, first geometrically, then exponentially. As the war escalated, so did the questions.
OWB00000389	For years, the minds and computers of Big Mountain were a blaze of trajectories, weapon schematics, and nuclear theories.
OWB00000390	Equations and calculations marched endlessly across chalkboards and computer terminals toward one solution: Winning the war.
OWB00000391	Although sheltered from the frontlines, the scientists waged their own war, fighting their battles at the atomic level.
OWB00000392	The Great War brought a new energy to Big Mountain and its scientists.
OWB00000393	The nucleus of this research was the Dome, a huge stone facility that held the labs of every science known to man.
OWB00000394	It was a think tank where no problem could not be solved, where no question could not be answered.
OWB00000395	Sonic emitters, space age alloys, DNA hybridization, force field particle research, Auto-Doc advances in cranial, cardiac, and trauma surgery...
OWB00000396	...the hopes and dreams of a century became realities in the electronic forges of Big Mountain.
OWB00000397	They sought to create a new world, fueled by technology, for the benefit of all mankind.
OWB00000398	Scientists of vision were drawn to the facility to tackle the greatest technological challenges of the era.
OWB00000399	In the years before the Great War, Big Mountain had been the home to the brightest minds of the 21st century.
OWB00000400	I've recovered all the technological information.
OWB00000401	WHAT? YOU DID? YOUR SURVIVAL, LET ALONE SUCCESS, BARELY REGISTERED ON MY PROJECTIONS.
OWB00000402	NOW, ALL I NEED TO DO IS CHECK MY TRANSMISSION DATABANK, MOBIUS IS ALWAYS FILLING IT UP WITH HIS PSYCHOTIC CALLS...
OWB00000403	OH YES, THERE'S THE SCHEMATICS, JUST LIKE YOU SAID. HOW TRUTHFUL.
OWB00000404	As the Courier made his way through the X-8 facility, the computers analyzed the test subject's movements.
OWB00000405	They eventually created new Cyberdogs to root out Commie traitors from the Wasteland... traitors like Betsy Bright... Richie Marcus...
OWB00000406	...although they couldn't seem to find any Commies, so they turned on themselves, howling sonic barks that echoed miles across the landscape.
OWB00000407	As the Courier ran through the X-8 facility multiple times, the computers analyzed the test subject's movements.
OWB00000408	Rather than performing a superficial observation, they realized the subject barely knew what Communism was - or even what a high school was.
OWB00000409	This confused them for a time, until the facility finally realized that its research had... succeeded.
OWB00000410	So it let its Cyberdogs out into the wastes to help protect small communities from physical aggression rather than communist propaganda.
OWB00000411	The infiltration program in X-13 continued to scan for the subject and the Stealth Suit prototype long after the test was over.
OWB00000412	Frustrated and unable to find its lost technology, X-13 expanded its network of laser tripwires, sensors, and Robobrains out across Big MT.
OWB00000413	This glittering blue light beam forest cleanly bisected anything that entered its depths, slicing them into small, segmented parts for easy disposal.
OWB00000414	The infiltration program in X-13 felt spent, having repeatedly upgraded the Stealth Suit until it could upgrade it no more.
OWB00000415	It felt warm, fulfilled, and a bit sluggish. It realized not long after, the Stealth Suit had left it without so much as a note on the nightstand.
OWB00000416	So the infiltration program sent out Robobrains into the wastes looking for its wayward technology.
OWB00000417	It eventually found REPCONN HQ, and set up a new research center, testing and murdering Fiends who kept breaking into the facility.
OWB00000418	Dr. Mobius continued his research undisturbed in the Forbidden Zone.
OWB00000419	As much as he had attempted to create better scorpions, he tried the same with humanity, with considerably less success.
OWB00000420	These failures didn't bother him overmuch. Once the rush of Mentats wore off, he forgot he had failed in any event.
