AAD00100001	问好
AAD00100107	有东西在这里。
AAD00100108	检查是否有动静。
AAD00100109	
AAD00100110	<搜寻的哔哔声>
AAD00100111	什么都没看到。
AAD00100112	不会太远。
AAD00100113	
AAD00100114	在这等着。
AAD00100115	<确定的哔哔声> 
AAD00100116	<跟随指令：：等待>
AAD00100117	我们交易装备吧。
AAD00100118	<确定的哔哔声> 
AAD00100119	<物品栏：：开启>
AAD00100120	不说战术了。
AAD00100121	<确定的哔哔声> 
AAD00100122	<战术界面：：关闭>
AAD00100123	和他们保持距离。不妨从侧面攻击他们。
AAD00100124	<确定的哔哔声> 
AAD00100125	<跟随距离：：远>
AAD00100126	好的，就这样。我们走吧。
AAD00100127	<确定的哔哔声> 
AAD00100128	<控制面板：：关闭>
AAD00100129	你的距离不错。让我们谈谈其他事。
AAD00100130	<确定的哔哔声> 
AAD00100131	<跟随距离面板：：关闭>
AAD00100132	紧跟着我。
AAD00100133	<确定的哔哔声> 
AAD00100134	<跟随距离：：关闭>
AAD00100135	紧跟着我。
AAD00100136	我们来讨论下你我之间的距离。
AAD00100137	<确定的哔哔声> 
AAD00100138	<跟随距离面板：：开启>
AAD00100139	我希望你使用远距攻击武器。
AAD00100140	<确定的哔哔声> 
AAD00100141	<武器类型：：远程武器>
AAD00100142	切换到近战武器。
AAD00100143	<否定的哔哔声> 
AAD00100144	<武器类型：：近身攻击>
AAD00100145	让我们谈点别的。
AAD00100146	<确定的哔哔声> 
AAD00100147	<战术面板：：关闭>
AAD00100148	就这样。我们走吧。
AAD00100149	<确定的哔哔声> 
AAD00100150	<控制面板：：关闭>
AAD00100151	我希望你改变你的战斗风格。
AAD00100152	<确定的哔哔声> 
AAD00100153	<战斗面板：：开启>
AAD00100154	我们谈谈你的战术吧。
AAD00100155	<确定的哔哔声> 
AAD00100156	<战术面板：：开启>
AAD00100157	我们走。
AAD00100158	<开心的哔哔声> 
AAD00100159	<跟随指令：：预设>
AAD00100160	我们该分道扬镳了。
AAD00100161	我觉得我们应该同行。
AAD00100162	<开心的哔哔声> 
AAD00100163	
AAD00100164	
AAD00100165	<战斗的哔哔声>
AAD00100166	抓住你了。
AAD00100167	让我们结束这一切。
AAD00100168	穷途末路。
AAD00100169	让我们看看你为谁而战。
AAD00100170	
AAD00100171	我想了一下，还是留在我身边吧。
AAD00100172	是的，我确定。
AAD00100173	
AAD00100174	<确定的哔哔声> 
AAD00100175	如果我没有动手，你也不要擅自攻击敌人。
AAD00100176	<确定的哔哔声> 
AAD00100177	<侵略性等级：：被动>
AAD00100178	我要你看到敌人就马上攻击他们。
AAD00100179	<确定的哔哔声> 
AAD00100180	<侵略性等级：：好斗>
AAD00100181	
AAD00100182	<紧张的哔哔声> 
AAD00100183	
AAD00100184	<潜行的哔哔声> 
AAD00100185	<潜行面板：：开始>
AAD00100186	大裂谷阻止不了我，莫哈韦也无法杀死我...你没有多少机会的。
AAD00100187	我会完成历史的工作。如果大裂谷不能杀死你...也许这些旧世界的长矛可以。
AAD00100188	让我们结束这一切吧，邮差，你和我，在这里，以旧大陆的旗帜作见证。
AAD00100189	
AAD00100190	即使在这个地方，NCR的阴影依然笼罩着。或者只是你，邮差，没有熊的尸体来拖累你。
AAD00100191	所以你来了，军团特务，或者该叫你邮差 - 不管你现在是什么。来执行凯撒的法律？他的声音在这里可没有什么分量。
AAD00100192	你的城市，维加斯，在另一个方向...和其他奴隶一起。或者仅仅只有你，邮差，没有灯光和鬼魂。
AAD00100193	所以你来了，邮差，为了什么 - 亲眼目睹你的家园最后一次燃烧？亦或，杀了我？
AAD00100194	从你的影子来看...也许你放不下你的机器。不过现在都不重要了。
AAD00100195	无论如何，大裂谷的巨人正在苏醒。导弹在回家的路上，没有任何办法阻止。
AAD00100196	你来得太晚了。大裂谷正在苏醒 - 包裹和里面的信息，已经回到了原点。
AAD00100197	和以前一样，这个过程已经开始了。只不过这一次，导弹将触及天空，而不是被锁在地下。
AAD00100198	
AAD00100199	我还以为那爆炸，那座被深深埋在大裂谷里的大楼可能是你的杰作...不会杀死你，也接近了。
AAD00100200	我知道你会活下来的...但不需要再往前走了。你给我带来了我需要的东西，那台封存在黎明镇发射井里的机器。
AAD00100201	需要有人来解锁 - 把它带回家。现在既然信号已经足够强了，就不需要你再带着它了，我会把你的机器召唤回来。
AAD00100202	
AAD00100203	黎明镇、正路、阿什顿...还是那龟裂的大地，这一切都无法和你面前的这条路相比。
AAD00100204	你面前的...是这大裂谷的边缘之地。前方是你的杰作，你在这片大地上燃烧的历史。你给这里的人们带来的。
AAD00100205	
AAD00100206	你来了，你沉默了一段时间...我知道杀死熊并不容易...你和你的机器，都活下来了。
AAD00100207	这里有一个教训，在大裂谷里。旧世界关于铺路和意图的历史可以教给共和国一两件事 - 如果他们认真听的话。
AAD00100208	他们总想做正确的事，但从来没能做到。也许你见过 - 尼普顿，别的地方。
AAD00100209	从你的机器上接受信号...曾沉寂了一段时间，我还以为这条路又夺走了一个军团。
AAD00100210	这里已经倒下了太多的公牛...辐射、火...还有在下面挖洞的东西。
AAD00100211	你来了，你沉默了一段时间...我还以为你已经回到拉斯维加斯了，那里很舒适。或许你还把那台机器带走了。
AAD00100212	这里有一个教训，在大裂谷里。 旧世界的历史是关于紧紧抓住某样东西，使其断裂...或崩溃。
AAD00100213	也许你已经看到维加斯墙上的裂缝了。如果是这样，无论你怎么多支持豪斯，它都会慢慢变大。
AAD00100214	你来了，你沉寂了一段时间。然后你的机器发出了强烈的信号，就像心跳一样。
AAD00100215	穿过旧世界的城镇，连接它们的隧道...现在是正路。
AAD00100216	你这一生即使已经见识过许多东西 - 但这条路更糟糕。比如说死亡爪 - 它们不仅会猎杀那些烙印者，他们也猎杀下面洞里的那些家伙。
AAD00100217	
AAD00100218	
AAD00100219	这是你的信号...微弱，但还在。就像NCR一样 - 声音没有激情，没有力量，病态。
AAD00100220	听说过你在莫哈韦沙漠漫步的故事。赋予双头熊力量，给金博尔，克罗克这样徒具人形的人，还有汉隆一半的生命。
AAD00100221	现在...让我们来测试一下这种力量，这种“信念”。邮差。
AAD00100222	这是你的信号...微弱，但还在。一个服侍凯撒的女人，看来最终还是熊取得了胜利。
AAD00100223	这是你的信号...微弱，但还在。勇往直前，就像我们其他的兄弟一样，眼中充满鲜血。
AAD00100224	冒着风险来这里。就像向维加斯之王进贡，向旧世界的鬼魂屈膝一样。
AAD00100225	你和那块芯片，彼此配得上。如果历史是真的，那比其他叛徒少了二十九枚硬币。
AAD00100226	现在看看旧世界铺就的道路...还有新维加斯的光芒所预示的，如果它们还没有蒙蔽你双眼的话。
AAD00100227	}这是你的信号...微弱，但还在。你来了，很好。好奇，也许吧。
AAD00100228	你在莫哈维行走并没有背负一面旗帜，不过这样的日子也快到头了，你走不了漫长的15号公路，一个国家的阴影笼罩在你身上。
AAD00100229	也许你只是需要接受考验，或者你什么都不相信。我们拭目以待。
AAD00100230	
AAD00100231	
AAD00100232	
AAD00100233	实验日志369248/A - 眼球机器人硬脊膜框架通用界面超驰系统。现在主持会议的是惠特利博士。
AAD00100234	超驰系统的初步测试很有希望。针对未加密或轻度加密的目标，眼球机器人的成功率为98%。
AAD00100235	受保护程度较高的系统仍有问题。 军事级别的加密提出了一个非常现实的可能性，即关键系统的严重过载。
AAD00100236	在机器人被摧毁之前我们已经停止了测试，但如果我们不解决这个问题，我们的眼球机器人就会在入侵军事网络时自己焚毁。
AAD00100237	
AAD00100238	下周，《机器人拉尔菲的不可思议大冒险》！
AAD00100239	请在下周六收看激动人心的结局！避难所科技九号频道独家播出！
AAD00100240	
AAD00100241	爸爸！嘿，爸爸！看看我找到的这个机器人！
AAD00100242	他并不危险！看，他受伤了！我们能带他回家吗，爸爸？也许妈妈能修好他！
AAD00100243	好不好嘛？他看起来很孤独！也许妈妈修好他，他就能帮妈妈打理车库了？
AAD00100244	耶！他就像拉尔菲一样，只不过他不是玩具！
AAD00100245	
AAD00100246	<音乐，接着是枪声。>
AAD00100247	
AAD00100248	很好，你又上线了。听我说，ED-E，如果你留在这里，他们会把你拆成碎片的。你现在得走了。
AAD00100249	我已经把我们在纳瓦罗前哨的目的地坐标上传到你的系统里了。我要你去找那边的英克雷，明白吗？
AAD00100250	你明白我的意思吗？这将是一次长途旅行，我的小朋友。你要飞很远，飞得很快，你能做到吗？
AAD00100251	<悲伤的哔哔声>
AAD00100252	我知道你可以的。小心点，ED-E，也许有一天我会再见到你。
AAD00100253	
AAD00100254	恕我直言，长官，我认为你犯了个错误。我们即将在硬脊膜框架眼球机器人上取得突破，我能感觉到！遵命，长官。
AAD00100255	是的，长官，我明白我们需要硬脊膜框架的资产来制造地狱火装甲，但是 -不，长官。遵命，长官。我明白了，长官。
AAD00100256	我会让团队马上开始拆解ED系列的原型机。
AAD00100257	ED-E，你这个小淘气，你又在偷听了？我觉得你看的那些视频对你有不好的影响。你听到了多少？
AAD00100258	<悲伤的哔哔声>
AAD00100259	嗯...格兰特博士不是说她升级了你的导航系统吗？我想我有个主意...你想不想跟拉尔菲一样？
AAD00100260	
AAD00100261	我真不敢相信！格兰特真的去找了奥特姆上校，她那该死的“效率准则”获得了批准！
AAD00100262	"将在测试对象完全激活的情况下实施所有实验，以减少迭代时间。" 太野蛮了！
AAD00100263	我已经向上校解释过了 - 眼球机器人没有真正的人工智能并不意味着它们只是机器。
AAD00100264	我想在这里结果才是最重要的。忘记“伦理程序”或“人道待遇”之类的东西吧。
AAD00100265	我开始严重怀疑这里的领导能力了。至少我有你说说话，是吧，ED-E？
AAD00100266	
AAD00100267	啊，惠特利，你来了。奥特姆上校的命令 - 他觉得眼球机器人硬脊膜框架项目进展不够快。我 -
AAD00100268	别傻了，这只是台机器。看这里，我已经把导航系统的效率提高了65%。
AAD00100269	好吧，惠特利，这是你的实验室。至少在我把这事告诉上校之前。
AAD00100270	
AAD00100271	<痛苦的哔哔声>
AAD00100272	格兰特博士？你他妈以为你在干什么？
AAD00100273	你甚至都没解除他的伤害规避协议！你在伤害他！
AAD00100274	给我滚出去！No sound file}
AAD00100275	
AAD00100276	实验日志369248/B - 眼球机器人硬脊膜框架通用界面超驰系统。现在主持会议的是惠特利博士。
AAD00100277	我们提高了信号增益，扩大了溢流缓冲系统。这应该可以确保100%的连接和控制。ED-E，准备好了就开始。
AAD00100278	<电子声音>
AAD00100279	太棒了！成功了！嗯，369248/B宣告全面成功。ED-E能够在三秒内连接并超驰测试面板。
AAD00100280	干得好，伙计们。现在，让我们开始讨论全面推出的提案。
AAD00100281	
AAD00100282	<害怕的哔哔声>
AAD00100283	<害怕的哔哔声>
AAD00100284	<害怕的哔哔声>
AAD00100285	
AAD00100286	<兴奋的哔哔声>
AAD00100287	<兴奋的哔哔声>
AAD00100288	<兴奋的哔哔声>
AAD00100289	
AAD00100290	<悲伤的哔哔声>
AAD00100291	<悲伤的哔哔声>
AAD00100292	<悲伤的哔哔声>
AAD00100293	
AAD00100294	<开心的哔哔声>
AAD00100295	<开心的哔哔声>
AAD00100296	<开心的哔哔声>
AAD00100297	
AAD00100298	
AAD00100299	好吧，如果你不想告诉我，直说就好。
AAD00100300	<道歉的哔哔声>
AAD00100301	是的，我确定我听到了。有什么东西把你的内存模块弄松了吗？
AAD00100302	不，那不是你的开机序列，那是一段录音。关于一个叫"拉尔菲"的人。
AAD00100303	<回避的哔哔声>
AAD00100304	你刚才放的是什么声音？某种内存故障？
AAD00100305	<困惑的哔哔声>
AAD00100306	
AAD00100307	小心点，汤米...我从没见过这样的机器人。它可能很危险。
AAD00100308	我不知道，儿子...如果有人来找它怎么办？
AAD00100309	好吧，孩子。但如果它弄坏了什么东西，那就从你的零用钱里扣！
AAD00100310	是啊，ED-E，我肯定你不是一次就走完全程的。这仍然令人印象深刻。
AAD00100311	<得意的哔哔声>
AAD00100312	不，ED-E，我才不想听你的 "人类叫床声" 录音，太不堪入耳了。
AAD00100313	<害羞的哔哔声>
AAD00100314	真的？ 好吧，我最好小心我跟你说的话，嗯？
AAD00100315	<安慰的哔哔声>
AAD00100316	我们该走了，
AAD00100317	我想我会喜欢他的。
AAD00100318	<开心的哔哔声>
AAD00100319	他应该服从命令。如果没有对指挥系统的尊重，整个部队就会分崩离析。
AAD00100320	<悲伤的哔哔声>
AAD00100321	是啊，我开始明白你是从哪学来的了。
AAD00100322	<得意的哔哔声>
AAD00100323	你来肯定比我强，咱们开始吧。
AAD00100324	不，ED-E，我不会让你这样牺牲自己。一定还有别的办法！
AAD00100325	<悲伤的哔哔声>
AAD00100326	你是...你是说你能阻止这枚导弹？
AAD00100327	<确定的哔哔声>
AAD00100328	来吧，ED-E，我们走。
AAD00100329	<开心的哔哔声>
AAD00100330	听起来这孩子挺喜欢你的，你为什么要离开？
AAD00100331	<留恋的哔哔声>
AAD00100332	这是在哪里发生的？
AAD00100333	<开心的哔哔声>
AAD00100334	没时间聊天了...我可不喜欢这地方，我们应该继续前进。
AAD00100335	<害怕的哔哔声>
AAD00100336	<开心的哔哔声>
AAD00100337	谢谢，ED-E。我们继续。
AAD00100338	听起来很糟糕。
AAD00100339	<害怕的哔哔声>
AAD00100340	那是什么？
AAD00100341	<悲痛的哔哔声>
AAD00100342	来吧，我们要继续前进。
AAD00100343	<开心的哔哔声>
AAD00100344	惠特利把你一个人放出来？那一定很吓人。
AAD00100345	<悲伤的哔哔声>
AAD00100346	
AAD00100347	[成功] <害怕的哔哔声>
AAD00100348	所以你想一路去找纳瓦罗？那不是在NCR的领土吗？
AAD00100349	[失败] <解释的哔哔声>
AAD00100350	噢...对，纳瓦罗。那...真的很远？你从哪里开始的？
AAD00100351	看来惠特利找到了让你免于报废的办法。我们继续。
AAD00100352	<开心的哔哔声>
AAD00100353	你会把周围的人说的话都录下来吗？
AAD00100354	<淘气的哔哔声>
AAD00100355	听起来惠特利博士是个不守规矩的人。
AAD00100356	<开心的哔哔声>
AAD00100357	哇哦，你是用这张嘴亲你妈妈的吗？
AAD00100358	<尴尬的哔哔声>
AAD00100359	你不用告诉我，我会揍的她屁股尿流的。
AAD00100360	<满意的哔哔声>
AAD00100361	"拉尔菲"是谁？你还是没讲明白，ED-E。
AAD00100362	<>
AAD00100363	录音里提到了一个秋天(Autumn)上校，那么 "冬(winters)将军" 又他妈的是哪位？
AAD00100364	<孤独的哔哔声>
AAD00100365	这故事太糟糕了，ED-E，但我们该走了。
AAD00100366	<悲伤的哔哔声>
AAD00100367	格兰特博士听起来像是战争罪犯。
AAD00100368	<生气的哔哔声>
AAD00100369	听起来惠特利博士真的很在乎你。
AAD00100370	<悲伤的哔哔声>
AAD00100371	好吧，我们继续前进。
AAD00100372	也许有一天你会再见到他。
AAD00100373	<开心的哔哔声>
AAD00100374	好吧，我相信他很好。无论他在哪。
AAD00100375	<开心的哔哔声>
AAD00100376	嗯，也许足够让我们穿过这个发射井了。
AAD00100377	<开心的哔哔声>
AAD00100378	只要带碟形接收器的面板？我想主房间的控制台上就有一个。
AAD00100379	<开心的哔哔声>
AAD00100380	这太神奇了。我们继续。
AAD00100381	<开心的哔哔声>
AAD00100382	那是你的创造者的声音吗？他发生了什么事？
AAD00100383	<解释的哔哔声>
AAD00100384	这是你的一段开发录音 - 你是说你可以绕过电子安全系统吗？
AAD00100385	<解释的哔哔声>
AAD00100386	我想我需要你帮我离开这里，你能跟我来吗？
AAD00100387	ED-E？你在这里做什么？
AAD00100388	<解释的哔哔声>
AAD00100389	<解释的哔哔声>
AAD00100390	这个眼球机器人在这里做什么？
AAD00100391	
AAD00100392	[失败] <担心的哔哔声>
AAD00100393	可能是某种机器人病毒。你可能会被传染 - 远离其他电脑。
AAD00100394	[成功] <开心的哔哔声>
AAD00100395	可能只是一些旧数据在你的内存中浮动。没什么好担心的。
AAD00100396	我希望那些杂种得到应有的惩罚。
AAD00100397	<悲伤的哔哔声>
AAD00100398	那我知道你为什么要离开那里了。
AAD00100399	<留恋的哔哔声>
AAD00100400	他一定是想改变些什么，他不像是那种会听之任之的人。
AAD00100401	<留恋的哔哔声>
AAD00100402	在这些日志里，他听起来更像个父亲，而不是发明家。
AAD00100403	<开心的哔哔声>
AAD00100404	咱们继续吧，还要走很长的路呢。
AAD00100405	<开心的哔哔声>
AAD00100406	我不敢相信他们会同意。我见过很多机器人，我知道它们不仅仅是机器。
AAD00100407	<悲痛的哔哔声>
AAD00100408	惠特利真的很保护她的眼球机器，对吧？
AAD00100409	<开心的哔哔声>
AAD00100410	没关系。
AAD00100411	<开心的哔哔声>
AAD00100412	像你这样的机器人还有很多吗？拥有同样的记忆和一切？有趣...
AAD00100413	这个发射井肯定有一些非常先进的工程设备可以远程扫描你并制作副本。
AAD00100414	[成功] <确定的哔哔声>
AAD00100415	[失败] <否定的哔哔声>
AAD00100416	所以你是某种...克隆机器人？
AAD00100417	你是个复制品？是大裂谷的军事基地制造的吗？真奇怪。
AAD00100418	<陈述的哔哔声>
AAD00100419	慢点，慢点 - 你说你不是我认识的那个ED-E是什么意思？
AAD00100420	<解释的哔哔声>
AAD00100421	
AAD00100422	ED-E？你一个人在这里干什么？是谁放的这些旧录像？来吧，我带你去充电舱。
AAD00100423	明天是个重要的日子。
AAD00100424	
AAD00100425	<戏剧音乐>
AAD00100426	别在意，我们给军团来一发吧。
AAD00100427	我不在乎！我自己去改变导弹的目标。反正我也不喜欢NCR。
AAD00100428	<顺从的哔哔声>
AAD00100429	如果...如果你真的想这样，好吧，去阻止导弹吧。还有...再见。
AAD00100430	<坚决的哔哔声>
AAD00100431	你确定这是阻止导弹发射的唯一办法吗？
AAD00100432	<确定的哔哔声>
AAD00100433	看起来我还是可以选择导弹的实际攻击目标的，也许我们能搞定它。
AAD00100434	<否定的哔哔声>
AAD00100435	但是日志上说这种加密方式会害死你！
AAD00100436	<悲伤的哔哔声>
AAD00100437	芝加哥是什么？
AAD00100438	<解释的哔哔声>
AAD00100439	伊利诺伊州？就是你拿到那个模板的地方？我意思是，另一个你。
AAD00100440	<开心的哔哔声>
AAD00100441	<开心的哔哔声>
AAD00100442	伊利...什么？得了吧，这名字是你瞎编的。
AAD00100443	这值得吗？你还没到纳瓦罗呢。
AAD00100444	<坚决的哔哔声>
AAD00100445	你放弃了这些来继续惠特利的任务？
AAD00100446	<得意的哔哔声>
AAD00100447	
AAD00100448	[成功] <开心的哔哔声>
AAD00100449	听起来他们炸掉了你的主稳定喷射流。我不相信你在那之后还能继续前进。
AAD00100450	[失败] <悲伤的哔哔声>
AAD00100451	那颗子弹可能做了些坏事。
AAD00100452	难怪你没能一路走到纳瓦罗。
AAD00100453	<悲伤的哔哔声>
AAD00100454	你能摆脱他们已经很幸运了。他们会立刻把你当废品卖了。
AAD00100455	<开心的哔哔声>
AAD00100456	掠夺者，嗯？外行，如果是我就会找到你，把你当废品回收了。
AAD00100457	<害怕的哔哔声>
AAD00100458	我打赌惠特利一定会为你走到这一步而感到骄傲。
AAD00100459	<开心的哔哔声>
AAD00100460	听起来这对他来说也不容易。
AAD00100461	<悲伤的哔哔声>
AAD00100462	我很惊讶你没有在路上的某个地方报废。
AAD00100463	<悲伤的哔哔声>
AAD00100464	
AAD00100465	而这条路 - 已经走到了尽头。
AAD00100466	
AAD00100467	邮差们最终，真的做到了。他们炸掉了莫哈维西部以及东部的土地...把他们全部送进了地狱。
AAD00100468	200年后，当其他邮差探索莫哈韦废土时，这种行为才被发现。
AAD00100469	在那里，他们看到了NCR的遗迹，提醒他们曾经骄傲的历史。
AAD00100470	随着两名邮差的最后一条信息射向天空，大裂谷爆发出猛烈的红色火焰...
AAD00100471	导弹像长矛一样倾泻在土地上，烧毁了旗帜和社区...摧毁了它们所击中的一切。
AAD00100472	西方世界的历史再次被彻底抹去...而美国也再次沉睡。
AAD00100473	当两名邮差最后一条信息的火焰尾迹直冲云霄时，大裂谷燃起了火焰...
AAD00100474	我的小型能量电池快用完了，你能帮我再做一些吗？
AAD00100475	<开心的哔哔声>
AAD00100476	我需要一些核融合电池. 可以制造一点吗？
AAD00100477	<开心的哔哔声>
AAD00100478	帮我修一下武器吧？
AAD00100479	<开心的哔哔声>
AAD00100480	让我用用你的工具组，我想造点东西。
AAD00100481	<确定的哔哔声>
AAD00100482	我想要制造点弹药，能帮帮我吗？
AAD00100483	<确定的哔哔声>
AAD00100484	有时我也有同样的感觉，你觉得我为什么会成为一名邮差？
AAD00100485	<忧郁的哔哔声>
AAD00100486	别担心，我不会让任何卑鄙的老将军抓到你的。
AAD00100487	<开心的哔哔声>
AAD00100488	我一定会竭尽所能帮你回去，不过当然是我们搞定这里的事情之后。
AAD00100489	<乐观的哔哔声>
AAD00100490	当然，ED-E，我肯定那个机器人"拉尔菲"会为你感到自豪的。
AAD00100491	<狂喜的哔哔声>
AAD00100492	拜托，ED-E。如果想要走到大裂谷的尽头，我们就就得飞得更快更远。
AAD00100493	<坚决的哔哔声>
AAD00100494	<开心的哔哔声>
AAD00100495	快点，ED-E。该继续前进了。
AAD00100496	这就是你在做的吗？想找到回家的路？
AAD00100497	<留恋的哔哔声>
AAD00100498	突然间，许多事情变得更有意义了。
AAD00100499	<开心的哔哔声>
AAD00100500	
AAD00100501	<受惊的哔哔声>
AAD00100502	
AAD00100503	拉尔菲，快点！如果卑鄙的老温特斯将军抓住了你，你就回不了家了！
AAD00100504	不！拉尔菲，飞远点！飞快点！
AAD00100505	但他为什么要这么做？这不是为了引诱我，尤利西斯已经知道我要来了。
AAD00100506	<担心的哔哔声>
AAD00100507	一个覆盖频率？所以，尤利西斯只是...叫你来这儿？
AAD00100508	<困惑的哔哔声>
AAD00100509	我当然来找你了，我不会丢下你不管的。
AAD00100510	<开心的哔哔声>
AAD00100511	发生了什么事？ 你就这样走了，还以为你终于找到家了。
AAD00100512	<悲伤的哔哔声>
AAD00100513	不管他在计划什么，尤利西斯显然希望你在那里。来吧，我可不想让他失望。
AAD00100514	你被你的程序所支配，我明白，这不是你的错。现在，你准备好出发了吗？
AAD00100515	好吧，别再这样了。来吧，我们走。
AAD00100516	来吧。我们要结束这一切，就现在。
AAD00100517	<坚决的哔哔声>
AAD00100518	
AAD00100519	[成功] <悲伤的哔哔声>
AAD00100520	肯定是那个广播里附带了一个重载函数，所以你才来这里。
AAD00100521	[失败] <担心的哔哔声>
AAD00100522	你听到那个信号就飞走了，你是在抓那些疯狂的机器人还是怎么？
AAD00100523	你还好吗？
AAD00100524	<确定的哔哔声>
AAD00100525	到底发生了什么？你就这么丢下我跑了。
AAD00100526	<道歉的哔哔声>
AAD00100527	给我播放《机器人拉尔菲的神奇大冒险》的预告片。
AAD00100528	我喜欢那个小孩子找到你的那段。
AAD00100529	我们来听听你被掠夺者袭击的故事。
AAD00100530	我想听听惠特利送你上路的录音。
AAD00100531	给我放一下惠特利和奥特姆上校的通话。
AAD00100532	我们来听听惠特利谈论奥特姆上校计划的日志。
AAD00100533	惠特利博士对格兰特博士大吼大叫的那个怎么样？
AAD00100534	播放关于你破解加密系统的能力的日志。
AAD00100535	我想让你重放一段音频日志。
AAD00100536	<好奇的哔哔声>
AAD00100537	
AAD00100538	求救，求救，求救！NCR士兵格利森呼叫正在收听这个频道的人。
AAD00100539	我的排已经全军覆没，我被一只该死的巨型死亡爪困在一个叫大裂谷的地方！
AAD00100540	目前我还能用照明弹吓走它，但是却没有足够的炸药解决这鬼东西！请求支援！重复！请求支援！
AAD00100541	求救，求救，求救！NCR士兵格利森呼叫正在收听这个频道的人。
AAD00100542	
AAD00100543	不再有公牛和熊的回声，其余的人也将面临同样的命运。
AAD00100544	
AAD00100545	没想到你能比那些机器活得久。很好。
AAD00100546	
AAD00100547	新世界的死人...他们来找你了。
AAD00100548	
AAD00100549	控制了我的机器？唔，低估你了。
AAD00100550	
AAD00100551	那么，就你和我了。一直都是。
AAD00100552	
AAD00100553	机器也许能让你活下来，但救不了你。
AAD00100554	
AAD00100555	无法阻止旧世界的回归，邮差。
AAD00100556	
AAD00100557	我们已经向他们展示了恐惧，但还不够，还会有更多。
AAD00100558	
AAD00100559	小心那些阴影 - 那些野兽用旧世界的科技把自己隐匿起来了。
AAD00100560	
AAD00100561	我们已经摧毁他们了，熊和牛不会有更多的影子投射到我们身上了。
AAD00100562	
AAD00100563	旧世界的机器快用完了。
AAD00100564	
AAD00100565	又一个旧世界的士兵倒下了。
AAD00100566	
AAD00100567	你已经忘记了自己的一切，用荣耀换取了野蛮。很合适。
AAD00100568	
AAD00100569	仁慈的杀戮 - 让他们安息吧。
AAD00100570	
