WIL00000001	维儿
WIL00000051	蓝皮人能隐身！这样潜行能带来多大的优势，真令人震惊！
WIL00000052	这个地方有点古怪。
WIL00000053	于是，我们再次回了到这里。
WIL00000054	那么，露西今天怎么样？
WIL00000055	嘿。
WIL00000056	嘿，我们赶上了格子西装先生！这回能好好休息一下了,对吧？
WIL00000057	漂亮，干掉这些摧毁尼普顿的军团败类。我决定你应该拿上他那个狗头帽子
WIL00000058	嗨！我可以为你做点什么...嗯？
WIL00000059	我的弟弟,查克,想为NCR战斗。
WIL00000060	我觉得我们就像是在一个铁罐头里绕来绕去。
WIL00000061	你穿的这件衣服...唔，那家伙一定是挂了？棒极了。他死有余辜...
WIL00000062	班尼挂了。唔，棒极了。这真是活该！
WIL00000063	你做到了！你干掉了凯撒！
WIL00000064	不管在苦泉你和布恩做了什么，都是对的。他看起来似乎好多了。
WIL00000065	我不知道布恩在苦泉发生了什么，但他看起来比之前更糟。我们是不是该帮帮他？
WIL00000066	想要什么？
WIL00000067	嘿，想我了吗？
WIL00000068	你可不怎么流露感情啊，话说你喜欢我给你的礼物吗？
WIL00000069	嘿，怎么了？
WIL00000070	<打哈欠>
WIL00000071	我好饿啊!!!，不如找个地方做点吃的？
WIL00000072	希望你不要介意我回赠你一个香吻。
WIL00000073	哇，好极了。你真是厉害，我希望我们能多弄点这个。
WIL00000074	有时间吗？有件事我想和你谈谈。
WIL00000075	嗨！我可以为你做什么...嗯？
WIL00000076	你好
WIL00000077	怎么了？
WIL00000078	怎么了
WIL00000079	很抱歉。
WIL00000080	怎么了？
WIL00000081	怎么了？
WIL00000082	准备好了没？
WIL00000083	嘿。
WIL00000084	嘿，你有计划了吧？对吧？
WIL00000085	告诉我你想要什么，我看看能做点什么。
WIL00000086	接下来呢?去赌一把?去喝一杯?
WIL00000087	接下来呢?去赌一把?去喝一杯?
WIL00000088	这地方静得吓人，我不介意咱们掉头离开。
WIL00000089	绝妙的表演，你觉得呢？
WIL00000090	唔！好热！
WIL00000091	怎么了?
WIL00000092	需要点什么？
WIL00000093	嘿，亲爱的。
WIL00000094	你看起来精神十足。
WIL00000095	嘿，这是怎么了？
WIL00000096	嘿，这是怎么了？
WIL00000097	你看到没？
WIL00000098	嘿，亲爱的。需要点什么？
WIL00000099	嘿!我能为你干点什么?或者是....你要"干"嘛?
WIL00000100	你这混蛋！
WIL00000101	我不知道你听说了没，珍妮梅死了。所以我一直在照顾她的生意。
WIL00000102	汪汪汪！
WIL00000103	嗨，莎拉，我把派对搞砸了。呃，但我们会玩得很开心。
WIL00000104	维罗尼卡，我们应该帮你弄件像样的衣服。你看起来像一个长了脸的土豆，这真是糟透了。
WIL00000105	我不怎么擅长格斗，不过挺有意思。当然不如你做的好，但是我喜欢。
WIL00000106	维罗妮卡，我听说你们兄弟会的人可以从眼里射出激光，是这样吗？
WIL00000107	你还没有回答我关于眼部激光的事。你也可以吗？你可以用眼睛射击？
WIL00000108	维罗尼卡，眼部激光。来吧，求告诉我吧？
WIL00000109	维罗妮卡！我知道了！眼部激光是你随身携带或佩戴头盔一样的武器！他们不在你的眼睛里，我刚刚太傻了。
WIL00000110	嗨，我叫维儿。你在这附近闲逛吗？
WIL00000111	你好,我叫维儿.看起来我们要一起呆一阵子了,希望能成为朋友。
WIL00000112	我对你妻子的事感到难过,布恩。如果你想找个人倾诉,或者需要任何帮助我都非常乐意。
WIL00000113	布恩,我的家乡在NCR下辖的克拉马斯。我猜你还是会保持沉默然后一句话都不说,对吗?
WIL00000114	我现在知道你为何能进入第一侦查营了，布恩你真有一手。有机会的话也许你能教我些瞄准的技巧。
WIL00000115	好吧,布恩你只是有点太沉默了。如果我和你一样讨厌凯撒和他的那些军团你愿意和我聊聊么，因为我真的非常讨厌他们。
WIL00000116	布恩，你是在哪里与卡拉相识的？
WIL00000117	嘿。
WIL00000118	你还好吗？
WIL00000119	嗯，布恩。我觉得，生活总会变好的。我们可以更了解对方，你怎么说？
WIL00000120	不管在苦泉发生了什么不管你做了什么。你只是一个平常人，而且你是个好人。
WIL00000121	布恩，你想通了？
WIL00000122	布恩，你很勇敢。我能理解你为卡拉所做的一切，不是每个人都能含泪扣下扳机。你是个真正的英雄。
WIL00000123	嘿。
WIL00000124	嗨。
WIL00000125	怎么了？
WIL00000126	小心！到处都是他们的间谍！
WIL00000127	嗨。
WIL00000128	嗨。
WIL00000129	嗨。
WIL00000130	嗨。
WIL00000131	嗨。
WIL00000132	怎么了？
WIL00000133	怎么了？
WIL00000134	怎么了？
WIL00000135	怎么了？
WIL00000136	你好女士。
WIL00000137	怎么了？
WIL00000138	怎么了？
WIL00000139	嘿。
WIL00000140	新来的女奴隶可真漂亮。
WIL00000141	你们这些堕落者就应该被绑在十字架上。
WIL00000142	你是不是打算在这里挥霍。
WIL00000143	你再叫唤我就把你喂狗。
WIL00000144	怎么了？
WIL00000145	哦？有什么小道消息？
WIL00000146	我是不是打得太多了？我有点被头昏脑涨。
WIL00000147	我想要...一条裙子。
WIL00000148	你来自哪儿？
WIL00000149	掠夺者会把从那些傻瓜那里抢走的东西卖到东加利福尼亚。
WIL00000150	嘿。
WIL00000151	嘿。
WIL00000152	嘿。
WIL00000153	嘿。
WIL00000154	嘿。
WIL00000155	怎么了？
WIL00000156	再见。
WIL00000157	待会见。
WIL00000158	那些狂暴僵尸可真够厉害!
WIL00000159	辐射!完美。
WIL00000160	你还好吗?有辐射!真是完美。
WIL00000161	好吧,我感觉不太好,我身上是不是开始有点辐射荧光了?
WIL00000162	我一直都在想变成僵尸是什么感觉...我觉得我们很快就能知道了。
WIL00000163	我恨死亡爪.我都快尿裤子了!
WIL00000164	卧槽...死亡爪.
WIL00000165	没问题,你肯定能做到.
WIL00000166	*紧张的呼吸声*
WIL00000167	这里有点压抑。
WIL00000168	你觉的那个机器人可以帮我烹饪吗?
WIL00000169	在这里我们应该准备好应对一切有可能发生的事,你觉得呢?
WIL00000170	*紧张的呼吸声*
WIL00000171	你现在肯定觉得是个胆小鬼。说实话我快吓尿了，这地方**太吓人了。
WIL00000172	*尖叫*卧槽,那是什么?你听到没?不好意思我有点神经质了。该死的破地方。
WIL00000173	我很庆幸咱们能待在一起.我可不想一个人在这儿。
WIL00000174	我很庆幸咱们能待在一起.我可不想一个人在这儿。
WIL00000175	不喜欢避难所.每个都太阴森。
WIL00000176	比起之前咱们去的地方。这儿，不太和我口味.
WIL00000177	如果你问我的话，这地方看起来十分残忍啊。你看除了蜥蜴还有死亡爪。
WIL00000178	怎么会有女人会跑到这个地方来?这儿太野蛮了.
WIL00000179	你有留意到红露西的声音么?听起来相当沉闷,我在想她是不是一个男扮女装的男人呢?这对某些人来说可算是个大惊喜.
WIL00000180	你觉得红露西年龄有多大呢?她看起来比你要老不少?不管怎样她定比我老很多.
WIL00000181	红露西的头发颜色可真好玩.我觉得这不是她的自然发色.我想她是不是去染过发了.鉴于她的年龄来看，或者干脆直接是一顶假发。
WIL00000182	给露西跑完腿,理清一些咱们的关系我会相当高兴。
WIL00000183	死亡爪蛋！真是狮子大开口，对吗？
WIL00000184	我以前很不喜欢狂暴僵尸直到一天我看到一只抱着泰迪熊的僵尸,现在我对他们感到同情了.不过我还是依然要爆他们头.
WIL00000185	这有不少尸体.你觉得是这些狂暴僵尸杀了他们么?
WIL00000186	这地方还没有完全被收拾干净,还剩下一些好东西我们可以拿去用。
WIL00000187	我希望我们的"神秘人"能够对得起我们做的这些事.
WIL00000188	*紧张的呼吸声*
WIL00000189	这家伙绝对疯了.谁会愿意变成一个僵尸啊?
WIL00000190	这家伙绝对疯了,谁会愿意变成一个僵尸啊？啊，劳尔,我很抱歉。
WIL00000191	这个布莱特也绝对疯了，就像我我们走进了一个疯人院而他恰巧是院长。
WIL00000192	记得那些抢走我东西的家伙么?这地方就是斯坦笔记上提到的地方.
WIL00000193	有可能只是我想这么做,难道你就不想走到蓝皮人的面前,然后盯着他们瞧瞧,看看会发生什么?
WIL00000194	我希望亨利博士能修复雷克斯。
WIL00000195	亨利博士是个有趣的人,不是吗?
WIL00000196	你有没有想过,在核战之前来到这么一个地方是什么感觉?
WIL00000197	一个隐身的蓝皮人，我在想这种情况能不能在人类身上发生。
WIL00000198	我对这些女孩没什么意见。但是我在想,如果他们自己也有女儿的话,她们也并不想自己的孩子变成这样。
WIL00000199	我喜欢这些家伙。
WIL00000200	这可不是个礼物店。
WIL00000201	真是我见过的最糟的礼物店。
WIL00000202	哼,谁觉得她会对她的这个烂地方印象深刻?我可是一不.你也这么想,对吧?
WIL00000203	哼。
WIL00000204	我一直认为避难所是一个相当可怕的地方，你知道的那些废弃的避难所看起来相当阴森。
WIL00000205	其实这里还算不错，至少比我想象的好多了.
WIL00000206	这地方可真大.
WIL00000207	我不禁想收拾收拾，看起来真是糟糕透顶。要是我看到啥好东西我就偷偷的把它顺出来。
WIL00000208	和NCR的老百姓们在一起感觉真好，感觉就像在家一样.
WIL00000209	这家伙有点神经质啊，我不怎么信任他。
WIL00000210	看起来这里的每一个家伙都嗑足了药.看看他们的眼睛,真是一团糟.
WIL00000211	恶魔帮,真恶心.我还以为他们只是身上臭呢.
WIL00000212	就算再热闹，我也一样不喜欢避难所。
WIL00000213	我对这些女孩没什么意见。但是我在想,如果他们自己也有女儿的话,她们也并不想自己的孩子变成这样。
WIL00000214	我对这些女孩没什么意见。但是我在想,如果他们自己也有女儿的话,她们也并不想自己的孩子变成这样。
WIL00000215	所以这就是我们的家?哦，我大概知道你为什么喜欢这儿了.
WIL00000216	我简直不敢相信,你居然决定待在自由之城这个烂地方.真是让我伤心，我希望我不担心你会对我做什么不好的事。
WIL00000217	我不知道这里发生了什么.但是这些陷阱肯定不是无缘无故设下的.
WIL00000218	机器人,陷阱...我在想我们还会在这鬼地方碰到什么?哦!也许一个装满好东西的保险箱!
WIL00000219	这可值得一看啊,不是么?
WIL00000220	听到过厕所酒这个说法吗?囚犯们发明的.我在想谁会把这事弄到这儿来.
WIL00000221	我希望你对于在监狱里捡东西没什么意见.如果我捡到什么奇怪的东(fei)西(zao)别把我丢在这儿就跑了么,好吗?
WIL00000222	我等不及想看看我们能拿到什么了.你认为会是传说中的宝藏么?
WIL00000223	我不知道会是什么?但是我至少很让人激动啊.是什么能藏了这么长的时间.
WIL00000224	你知道这地方缺什么吗?更多的夕阳沙士台灯.
WIL00000225	这个机器人能玩游戏?这玩意让我毛骨悚然啊.
WIL00000226	他们非常周密啊.看起来所有人都已经被干掉了.
WIL00000227	我们应该找找生还者么?也许有人躲在某些地方.
WIL00000228	我们也没看见任何孩子.他们把孩子也抓走了么?
WIL00000229	你知道的，我觉得我不会忘了这个地方。
WIL00000230	哦,可怜的家伙.
WIL00000231	你看家那辆在展示架上的汽车了么?这玩意身上被射满了子弹孔.我的帽子上也有一个子弹孔.
WIL00000232	我突然爱上这个牛仔机器人了.
WIL00000233	哦,这儿可真冷.
WIL00000234	哦,这儿可真冷.
WIL00000235	比起避难所我更能接受洞穴.洞穴里面一般都会有些有趣的小生物,所以他不怎么让人害怕.避难所....太吓人了.
WIL00000236	比起避难所我更能接受洞穴.洞穴里面一般都会有些有趣的小生物,所以他不怎么让人害怕.避难所....太吓人了.
WIL00000237	湖沼蟹!他们能发出的声波实在让人难以置信.它是不是也震的你头昏脑涨?
WIL00000238	攻击
WIL00000239	卧槽！
WIL00000240	卧槽！
WIL00000241	该死的！
WIL00000242	往哪儿打的你这家伙！
WIL00000243	啊！你的兄弟们让我很生气！
WIL00000244	像一个家伙说的，这简单的不就是在踢球么。哈哈，吃子弹吧。
WIL00000245	像一个家伙说的，这简单的不就是在踢球么。哈哈，吃子弹吧。
WIL00000246	蚂蚁！
WIL00000247	妈的！你这个残废！
WIL00000248	死亡爪！
WIL00000249	劳尔，我们上吧！
WIL00000250	嘿，布恩！我敢打赌，我可以打死更多强盗！我要打十个！
WIL00000251	珊妮，卧槽蜥蜴！
WIL00000252	我告诉你我灰常生气！
WIL00000253	以后再也不用担心见到这些家伙了。
WIL00000254	啊哈！死了！
WIL00000255	该死的僵尸
WIL00000256	看样子今晚我们能吃蜥蜴大餐了！
WIL00000257	我逮到你了，你跑不了的！
WIL00000258	去死吧贱人！
WIL00000259	去死~
WIL00000260	卧槽!
WIL00000261	我掩护你！
WIL00000262	卧槽！
WIL00000263	就这样，来吧~
WIL00000264	.
WIL00000265	.
WIL00000266	哦
WIL00000267	嗷
WIL00000268	逃跑
WIL00000269	不，不，不，不，不。我要离开这里！
WIL00000270	不，我......我不想死，我还没吃午饭哪！
WIL00000271	好吧，下不为例。
WIL00000272	嘿，别上心。
WIL00000273	突击
WIL00000274	这是神马鸟东西
WIL00000275	嘿！你傻了吧 - -
WIL00000276	当心！
WIL00000277	漂亮
WIL00000278	他喵的~
WIL00000279	卧倒！
WIL00000280	当心！
WIL00000281	真高兴终于结束了。
WIL00000282	你看到了吗？
WIL00000283	哇哦，这就是个练习对吧？
WIL00000284	我不希望你在战斗中被打成筛子。
WIL00000285	还以为我们中的一个铁定要在这儿死翘翘了..
WIL00000286	该死的军团逗比！
WIL00000287	在这等。
WIL00000288	好的，一会见。
WIL00000289	好的，你离开的时候我会找点事情做。
WIL00000290	好的！我爱你，一会见。
WIL00000291	好吧...我就在这里呆着..等你..
WIL00000292	<叹气>为什么好玩的都错过了啊...
WIL00000293	你要把我一个人扔在这里吗..我打赌有很多麻烦需要咱们一起才能解决的...
WIL00000294	汪汪
WIL00000295	我们交换一下装备吧。
WIL00000296	谢谢
WIL00000297	嗯哼，当然了。
WIL00000298	好吧
WIL00000299	交易？哈！你想把没用的玩意都扔我这对吧？
WIL00000300	不,我才不跟你交换呢.. <坏笑>骗你的啦
WIL00000301	呼呼~
WIL00000302	战术讨论得已经足够了。
WIL00000303	太好了。
WIL00000304	汪，汪
WIL00000305	保持距离。从侧面攻其不备。
WIL00000306	哦又是侧翼,侧翼侧翼侧翼翼翼...我就恨这个.离你太远了!
WIL00000307	好吧，如果这就是你想要的。
WIL00000308	好吧
WIL00000309	汪，汪
WIL00000310	很好，让我们离开这儿吧。
WIL00000311	我准备好了。
WIL00000312	呼呼~
WIL00000313	你的距离适中。说点其他的吧。
WIL00000314	当然，你想谈谈吗？
WIL00000315	呼呼~
WIL00000316	离我近一点。
WIL00000317	好极了，我就喜欢这个
WIL00000318	好吧
WIL00000319	汪汪
WIL00000320	让我们来谈谈你干嘛跟我跟得这么紧。
WIL00000321	肯定。你想我真的，真的很靠近？
WIL00000322	行吧
WIL00000323	汪汪
WIL00000324	我希望你用远程攻击武器。
WIL00000325	太棒了,我爱打枪~
WIL00000326	好主意，我就喜欢这个
WIL00000327	改用近身武器。
WIL00000328	好吧，行
WIL00000329	不行，偶肉搏无力，我不是跟你说过了嘛 - -
WIL00000330	汪，汪
WIL00000331	让我们谈点别的。
WIL00000332	说什么都行
WIL00000333	呼呼
WIL00000334	行，我们走吧。
WIL00000335	我们出发。
WIL00000336	呼呼
WIL00000337	我想让你改变战斗方式。
WIL00000338	我听着呢，快说
WIL00000339	汪，汪
WIL00000340	让我们来讨论一下你的战术。
WIL00000341	好吧
WIL00000342	汪，汪
WIL00000343	我们走吧。
WIL00000344	耶，走吧
WIL00000345	嘿，我很高兴你回来了
WIL00000346	很高兴你回来啦，我都闷死了
WIL00000347	最好咱能去个好玩的地方
WIL00000348	嘿，我很高兴你能活着回来。
WIL00000349	我很想念你。
WIL00000350	汪汪
WIL00000351	除非我已经和敌人交火，否则不要发动攻击。
WIL00000352	行！我就跟在后边酱油
WIL00000353	<神马嘛 -。->
WIL00000354	我要你在看到敌人那一刻就攻击他们。
WIL00000355	好吧，但是你别想用我当诱饵。
WIL00000356	汪~
WIL00000357	嘿,我的手抬不起来啦
WIL00000358	唤醒
WIL00000359	该死的死亡爪！
WIL00000360	哦，该死的。
WIL00000361	我擦,我的头。
WIL00000362	嗯，这一觉睡得很舒服。现在该干啥？
WIL00000363	哇哦
WIL00000364	哦~
WIL00000365	嗷！卧槽！真心很疼啊啊！
WIL00000366	你一个女孩子在这荒地里做什么?
WIL00000367	我有我的理由..虽然我不喜欢自己一个人呆着,但这不会是我跑去莫哈维前哨站的原因
WIL00000368	我想让你帮我拿着这个,但别用它好吗?
WIL00000369	好的,我保证不会碰它的
WIL00000370	你干嘛不在这儿休息一会?我晚点会回来找你的
WIL00000371	好吧,我会在这周围转转找点乐子.
WIL00000372	我想让你把这里当作你在莫哈维的家.
WIL00000373	从来没人能给我一个家...谢谢你
WIL00000374	你介意先回家去么?我晚点会赶上你的
WIL00000375	好吧,咱们晚点见
WIL00000376	我就不能说服你一起去吗?没有你的话会好孤独..
WIL00000377	可以跟我一起走吗?我想在那儿咱们能想出些事一起做..
WIL00000378	无意冒犯，但是你看起来没受伤而且你的家当也都在那里。这是某种骗局么？
WIL00000379	我用光了所有的药来治腿。所以我现在可以到处乱跑，但是很疼你懂不懂。
WIL00000380	这没法证明我让人抢了。请你相信我，我说的是实话。
WIL00000381	哎哎哎，等一下。我找到这个。那些逗比们把它扔了。
WIL00000382	也许你应该留下来，听起来事情没按照你的计划进行。
WIL00000383	不，我不能抛弃我的枪，没有弹药而且受了点伤。我从来没这倒霉过。
WIL00000384	你能帮我解决问题吗？给你武器？护甲？或者一些瓶盖？
WIL00000385	不，我不需要瓶盖，但我的手枪快被我打烂了。所以我需要护甲或者一些不同的武器去抓住他们。
WIL00000386	别这样看着我，我有我自己的麻烦要解决。很高兴见到你，拜拜啦。
WIL00000387	等一下！我有一把手枪，但是没有护甲而且我受伤了。
WIL00000388	需要我做点什么才能帮你摆脱这种局面。
WIL00000389	是的！看看这个。他们其中一个丢下了它。我觉得他们会去那个地方，所以我想在那附近开始寻找。
WIL00000390	不过，我有一个问题。我有一把手枪，但是没有子弹。都让我用光了。
WIL00000391	你是打算自己一个人去单挑那些人吗...?
WIL00000392	我一点都都不想去，但我必须去。我得把我的东西拿回来。
WIL00000393	我什么都不会给你的,但是如果你真的想要我帮忙的话..也许我们可以定一个条件
WIL00000394	我没有盖子，所以这样如何？夺回我的东西，我跟你一段时间。
WIL00000395	我没有瓶盖可以付给你,所以不如这样吧?等把东西夺回来我就跟你一起旅行一阵子
WIL00000396	抱歉,没门
WIL00000397	拜托了.我必须得把他们拿回来.也许我可以用一些东西交换你的帮助?
WIL00000398	你出门在外很长时间了么?
WIL00000399	差不多两年.通常我会躲着麻烦走,但这些家伙凭空就出现了,我根本没有机会...
WIL00000400	也许我可以把你的步枪弄回来...只要你付的起..
WIL00000401	我没有瓶盖可以付给你,所以这样如何?等把东西夺回来我就跟你一起旅行一阵子?
WIL00000402	你现在真是糟透了,我能帮你些什么呢?
WIL00000403	我要去追那些坏蛋,他们把这个丢下了.你会跟我一起来么?也许可以给我一些子弹或者武器....?
WIL00000404	所以你想让我为你这次小小的冒险买单,而且还得拿命陪着?
WIL00000405	我希望你来。至于弹药，我有一把刀，但是用拳头更好一点。因此由你决定。
WIL00000406	我真的希望你能来.至于弹药的问题,这么说吧:用刀的话多半我会切到自己,至于拳头就不好说会打到谁了...所以,你决定吧..
WIL00000407	不,谁都没看到.你还好么?
WIL00000408	我一点都不好.他们把我最喜欢的枪和别的很多东西都抢走了.现在只有一把没子弹的手枪和一条瘸瘸的腿跟着我了..
WIL00000409	嘿,你最近有看到一伙人走过这条路么?他们把我打劫了!一帮贱人!
WIL00000410	好了,这听上去不错.带上所有需要的东西,然后咱们就可以出发了.
WIL00000411	好的,太谢谢你了.另外就叫我维儿吧.很高兴认识你.但,咱们快点出发吧.我真的等不及了.
WIL00000412	不如这样,陪我睡一觉,然后我就乖乖的去把你的东西弄回来?
WIL00000413	你怎么酱紫？不,咱们还是白白吧。
WIL00000414	好吧,陪我睡一觉我就帮你.
WIL00000415	不,我会回莫哈维前哨站找帮手的.我一分钟也不会耽搁了.不,再见吧
WIL00000416	如果你答应和我一起旅行的话我会帮助你.伙伴总是很有用的
WIL00000417	跟你旅行?好吧,等把我的枪夺回来之后.我答应和你旅行一阵子
WIL00000418	你说的是真的,对吧?好吧,我会帮你的,但我想要一些东西作为回报.
WIL00000419	我没有瓶盖子可以付给你,所以不如这样吧?等把东西夺回来我就跟你一起旅行一阵子?
WIL00000420	我是个很好的枪手,而且从小就跟爸爸一起打猎了.另外,我还是个很有趣的人...
WIL00000421	你听上去蛮有自信的.那如果找不到你的东西..你怎么回报我?
WIL00000422	那么不管找到与否我都答应和你一起旅行一阵子怎么样?我是个很棒的枪手而且还很有趣..
WIL00000423	你想让我给你东西然后好去追他们?你也想让我跟着一起去吗?
WIL00000424	是的!那样最好了.我也许能用别的方法支付你,我没有瓶盖子,但也许你有兴趣找个搭档一起上路?
WIL00000425	我愿意和你一起旅行一阵子,晚上站岗,白天杀人之类的..我可会找乐子啦,你说呢?
WIL00000426	好吧好吧...你赢了.咱赶紧出发...
WIL00000427	你可以叫我维儿.很高兴认识你,而且...谢谢你.你拯救了我的一切.
WIL00000428	我答应帮你...但假如我们没能找到你的东西呢?怎么办?
WIL00000429	我真的不想考虑那种情况.但无论如何我都答应陪你一起旅行一阵子.这样就公平了
WIL00000430	说定了.咱们收拾一下然后上路吧
WIL00000431	好的,太谢谢你了.另外我的名字是维洛,就叫我维儿吧.很高兴认识你.但,咱们能赶紧出发吗?我真的等不及了.
WIL00000432	这里,你看看.他们把这个丢下了.我猜这里就是他们碰头的地点.我想从最近的这个开始找起.
WIL00000433	如果找不到你的东西怎么办?我要你发誓无论如何都会随我一同旅行.
WIL00000434	我真不想考虑那种情况.但是..好吧,我向你发誓.无论如何我都会和你一起旅行的.
WIL00000435	我要你保证无论能不能找到你的枪都会跟我一起旅行
WIL00000436	我根本都不想考虑那种情况....但..是的,无论怎样我都会和你一起旅行的
WIL00000437	好了,咱们出发吧
WIL00000438	太棒了!听着,我要具体的描述一下被抢走的东西,这样你才知道我们找的是什么,好吗?
WIL00000439	我的步枪,红颜,我是这么叫她的(原名Beauty,取红颜杀手的意思.译注)..还有另外两件东西,切斯特,我最爱的泰迪熊玩偶.和莫伊拉,一个娃娃
WIL00000440	希望我们能找到她们,虽然我得说这真有些丢人..而且蛮傻的...但我真的很爱她们!再次谢谢你能帮我..
WIL00000441	让我看看你的手枪,我不知道有没有适合他用的子弹
WIL00000442	哦，当然，当然。
WIL00000443	抱歉..你生气了..我们能忘了之前的事儿吗?
WIL00000444	是的,我生气了.你是个不折不扣的混球.不过既然你道歉了,而且看起来的确很后悔...我再给你一次机会..
WIL00000445	恩,那么就这样说定了.我找到了这个东西,另外我丢了一大堆的东西,包括最喜欢的步枪.希望能追上这些家伙并把她夺回来.
WIL00000446	我的手枪需要子弹,如果你有多余的并且愿意的话.你说呢?哦,另外你可以叫我维儿.
WIL00000447	我答应你...如果你跟我睡一觉的话.. <大笑>我在开玩笑.出发吧 .
WIL00000448	你当真?你不要任何回报?
WIL00000449	是的,我什么都不要.我对向你说过的话感到很抱歉.
WIL00000450	谢谢你.你真是太贴心了.太谢谢你了.现在我想尽快离开这里
WIL00000451	我不想说谎,你真的美极了.不过我不会因为帮这个忙而向你索要任何东西
WIL00000452	哦,谢谢你.你总算还不是那么糟.不过咱们尽快离开这儿好吗?
WIL00000453	我的确想要一些回报,但不是钱...咱们就看看会发生些什么吧
WIL00000454	哦,那个,呃,好吧...我们就看看...唔..我们能先离开这里吗?我等不及要把东西夺回来
WIL00000455	好的,我会帮你的.咱们去把东西夺回来,先别担心回报我的事儿
WIL00000456	你怎么突然又这么大方了?为一个是谁都不知道也无法报答你的人做一大堆事?怎么都觉得有猫腻呢...
WIL00000457	我刚才有点精虫上脑,简直像个混蛋..所以想补偿你...
WIL00000458	谢谢你..我们能赶快出发么?我等不及了
WIL00000459	我喜欢你,而且我想多花一些时间陪着你.即使得去舍命追土匪..
WIL00000460	好吧,,你还不是那么坏.我们现在能去追土匪了吗?我真的想赶紧离开这里了
WIL00000461	我的确想从你那里得到些东西,不过不是钱,我们等着瞧瞧看会怎么样...
WIL00000462	谢谢帮助我,但是,恩,好吧我们就看看会怎么样.那个我们能赶快出发了吗?我等不及要离开这里了
WIL00000463	呆在这里别动,我晚点会回来找你
WIL00000464	好吧，如果这就是你想要的。但是不要离开我，在这里长，好吗？
WIL00000465	我能看看你身上现在都带着些什么吗?
WIL00000466	嗯，当然。
WIL00000467	不,现在不行.呆在这里多等一会
WIL00000468	好吧，但请你快点。
WIL00000469	走吧
WIL00000470	耶,出发
WIL00000471	和你还有露西一起很欢乐，但是你这家伙别把注意力都集中在她身上，不然要你好看，懂吗？
WIL00000472	哇哦，沙拉真是个坏姑娘！居然看得上你这种小白脸,就跟她店里的品味一样差
WIL00000473	我敢肯定，凯撒一定非常骄傲你杀了金博尔。我希望他能够赏赐你。当然你如果救了他更好一些。
WIL00000474	给露西跑完腿,我希望咱俩能理清一下关系。
WIL00000475	死亡爪蛋！真是狮子大开口，对吗？
WIL00000476	会爆炸的蚂蚁一点都不好玩。
WIL00000477	所以你把打算帮军团把这个坏消息传达给NCR?
WIL00000478	可怜的金博尔,这个结果对他来说太糟糕了.
WIL00000479	红露西的头发颜色可真好玩.我觉得这不是她的自然发色.我想她是不是去染过发了.鉴于她的年龄来看，或者干脆直接是一顶假发。
WIL00000480	你觉得红露西年龄有多大呢?她看起来比你要老不少?不管怎样她定比我老很多.
WIL00000481	你有留意到瑞德露西的声音么?听起来相当沉闷,我在想她是不是一个男扮女装的男人呢?这对某些人来说可算是个大惊喜.
WIL00000482	蓝皮人真的非常擅长潜行,不是么?
WIL00000483	你知道,有时候我真的很想念布恩.
