FO300000001	.32手枪
FO300000090	碰那东西，我们会有麻烦。
FO300000091	我希望你不是打算破门而入。
FO300000092	它被锁是有原因的。别打什么主意。
FO300000093	别想破门而入。
FO300000094	它被保护起来是有原因的。
FO300000095	把手放下。
FO300000096	别碰那东西。
FO300000097	那不是你的。
FO300000098	我想那不属于你。
FO300000099	那是你的？
FO300000100	我想你不该去碰那东西。
FO300000101	玩家偷窃
FO300000102	管好你那双臭手！
FO300000103	这不是个好主意。
FO300000104	你认为你在做什么？
FO300000105	你知道，我能看见你在干嘛。
FO300000106	我想我没有你要的东西。
FO300000107	别碰我。
FO300000108	想都别想。
FO300000109	你认为你在做什么？
FO300000110	我盯着你呢。
FO300000111	管好你那双臭手！
FO300000112	你逃不掉的。
FO300000113	这不是个好主意。
FO300000114	玩家站在家具上
FO300000115	问好
FO300000116	站住。见鬼，你是谁？
FO300000117	噢，好友！什么事？
FO300000118	你不停地打扰我真是很勇敢。或者说愚蠢。
FO300000119	我希望你知道你在干嘛。你在未被邀请的情况下来到这，会给你带来麻烦。
FO300000120	你在这干嘛？这对你这种人来说不安全。
FO300000121	你好。什么事？
FO300000122	见鬼，你要什么？
FO300000123	见到你很高兴。我是迪伦骑士。如果你在这需要什么东西，我会尽量帮你的。
FO300000124	你好，又见面了。
FO300000125	芬利骑士为你服务。有什么可以吩咐的？
FO300000126	你需要什么？
FO300000127	欢迎来到银河新闻电台前哨站。我是威尔克斯骑士长，负责这地方。什么风把你吹到特区的？
FO300000128	还有什么需要帮忙的？
FO300000129	对不起，我在守卫。不想这被超级变种人毁掉。
FO300000130	莎拉·里昂斯负责管理这。如果你需要什么的话，她可能帮到你。
FO300000131	再多来点超级变种人！我和他们还没完呢！
FO300000132	照看这地方可不是出门野餐啊。
FO300000133	谢谢你的帮助。我们会尽量多拿些。
FO300000134	如果你需要什么，去和个骑士说。他们可以帮助你。
FO300000135	怎么了？
FO300000136	嗨，好啊！废土英雄回来了！
FO300000137	你太棒了！我就知道这场圣战能指望你。
FO300000138	现在，赶快把玩意带到华盛顿纪念碑，然后我会为你唱赞歌的！
FO300000139	在电台附近游荡没用。尽快把天线带到华盛顿纪念碑顶上。
FO300000140	你好像有无穷的问题啊。尽管问吧。
FO300000141	三狗还能为你做些什么？
FO300000142	我已经说过规则了，你要做的就是去进行游戏。干不干？
FO300000143	你准备好交易了吗？还是你只想看看我这张帅得掉渣的脸？
FO300000144	你的表情已经告诉了我一切。你想知道这家伙到底是谁，有什么大不了的。那就准备好洗耳恭听吧。
FO300000145	所以你回来了，很好。要打圣战总是需要多点士兵。
FO300000146	你是新来的。而且你很高大不像是本地人。你是谁？
FO300000147	你是谁？在这干嘛？
FO300000148	出什么错了？
FO300000149	这次你又伤到哪里了？
FO300000150	又把自己划伤啦？
FO300000151	是的？
FO300000152	这有些东西不常见到。小灯镇的新面孔！
FO300000153	对我们孩子来说有点偏大，但你看起来没问题。你怎么来的？
FO300000154	啊，来了个新的。像你这样的大人在小灯镇干嘛？
FO300000155	别和我说麦迪发了善心！
FO300000156	有什么你想学的吗？
FO300000157	发生什么事了？
FO300000158	很好，镇长放进来一台切碎机，好吃光我们的食物。
FO300000159	好吧，只要你不对我怎么准备食物指手画脚的，我看就没问题。
FO300000160	告诉我：你觉得用水蘑菇酱料泡洞穴蘑菇怎么样？
FO300000161	可以，镇长最好真有原因让你进来。
FO300000162	因为现在我只看到有个毛人在这风卷残云，还要耍我们。
FO300000163	来吧，拿上你的食物！
FO300000164	准备好享用奶油生姜汁烹制的美味烤肉了吗？
FO300000165	嗯，我赌你是！可惜啊，大家还都是这菌块！
FO300000166	嘿，怎么了？
FO300000167	泥好，我是比瓦利。欢迎光宁下灯庄！
FO300000168	嗨，你堪起乃金需要装备。我被拾荒队除名了，所以我想我也不摘需要自己那件了。
FO300000169	要买我的金光布枪吗？五百果瓶盖，它就系泥的了！
FO300000170	泥好，相生。
FO300000171	泥好，小姐。
FO300000172	我就要去冒险了。
FO300000173	哇。大个子。你一定是这最壮的孩子！
FO300000174	我是最小的孩子。我真名叫贝蒂。不过人们大多叫我小咕嘟。
FO300000175	你叫什么？大孩子？
FO300000176	哇。我从没这么近看过一个毛人。
FO300000177	你是歹徒？奴隶贩子？还是变种人？
FO300000178	因为如果你是，我应该去藏起来，因为我太小还不能用枪。
FO300000179	呃，哦，现在又想怎么样？
FO300000180	你想和我说话？
FO300000181	不要管我，好吗？
FO300000182	我恨你！滚开！
FO300000183	不想和你说话！
FO300000184	你好，新来的小孩。我不知道有没人告诉过你，但是让我再仔细说清楚。
FO300000185	我是公主。当你在我身边，要听我的。你保持沉默只管做我交代的事，因为我才是这的老大。清楚吗？
FO300000186	你是谁？
FO300000187	镇长到底在想什么，竟然该死的让你这种毛人进来？
FO300000188	你为谁工作？歹徒？奴隶贩子？变种人？
FO300000189	回答，毛人！
FO300000190	好了，看看这是谁。怎么了，毛人？
FO300000191	哦，那不是高尚的毛人吗。现在怎么了？
FO300000192	刚来镇里，呃？如果麦迪让你进来的，我就没问题。
FO300000193	好了，礼貌到此为止：你是谁，麦迪怎么让你进来这的？
FO300000194	哇，我们现在开始让毛人进来了？没听到什么枪声，我想你不是来这打劫我们的吧？
FO300000195	如果你不是来打劫我们的，你可能是带给我们一些好东西，对吧？那么你是谁？你怎么被放进来的？
FO300000196	嗨，有没从那带什么东西来？
FO300000197	你有什么要出售的吗？
FO300000198	有什么要说的吗？
FO300000199	刚来镇里，呃？如果麦迪让你进来的，事情就好说。
FO300000200	我是诺克敲门，我负责这块的治安。或者，至少是士气方面。
FO300000201	你是谁？你想找麻烦，对吧？
FO300000202	嗨，我们现在开始让毛人进来了？没有听到混战的声音，所以我想你是某位客人？
FO300000203	你有什么好东西，娘娘腔？肯定有个让你进来的好理由，对吧？
FO300000204	等等。嗯。别介意。
FO300000205	你怎么样？
FO300000206	有听到什么好消息？
FO300000207	哇，你块头很大。我指，比我们这大部分人都要大。我指，比我们不会因为在这而被我们射杀的大多数人都大。
FO300000208	你怎么来到这而没被射击？我该不该对你开枪？因为，你知道，我不想，但是如果我应该开枪，那也行。
FO300000209	镇长说你可以待在这，是吗？因为毛人们是不允许进来的，除非镇长同意。那么你是不是经过批准的毛人？
FO300000210	因为如果你不是经过批准的毛人，那我们就要阻止你，那意味着我必须把枪保险打开，所以你在这等着，好吧？
FO300000211	嗨。你有核子可乐吗？一点也好。我能来一些吗？我最好的朋友。真诚的。完全的。绝不是开玩笑！
FO300000212	哦，嗨，你好，又是你，呃？我还想可能现在你已经被炸死、被射杀或其它什么，不过好像还没。现在还没。
FO300000213	嗨，你好！嘿，女士。嗨。怎么了？有什么消息？你有什么好故事？核子可乐，你有吗？呃，呃？
FO300000214	嗨，你好！嘿，先生。嗨。怎么了？有什么消息？你有什么好故事？核子可乐，你有吗？呃，呃？
FO300000215	再次感谢你救了我。你是最棒的！
FO300000216	好了，你和我兄弟并列最棒的，至少。但是那还是真的很棒！
FO300000217	谢谢救了我。我非常想念我兄弟。
FO300000218	大家都叫你毛人，不过我想你是个不错的毛人。
FO300000219	是的？
FO300000220	发生了什么事？
FO300000221	什么？
FO300000222	谢谢救我们回来这。我们不久自己也会离开，不过你真的帮了我们忙。
FO300000223	呃，谢谢。
FO300000224	我们逃出那里不需要毛人帮，你懂吗？
FO300000225	但是你帮了我们，所以，呃，谢谢。
FO300000226	不过这是指我要去后面和“公主”一起守后门。呃。
FO300000227	什么事，先生？
FO300000228	什么事，女士？
FO300000229	什么事，毛人？
FO300000230	嗯？
FO300000231	哇，很高兴回来。多亏你，不然我们已经死在那了！
FO300000232	所以，谢谢你帮忙！如果有人问起我，你是个正式的小孩！
FO300000233	哇，感谢那时你帮忙。多亏你，不然我肯定已经挂了！
FO300000234	在我看来，随时欢迎你来这！当然，这事由不得我。
FO300000235	你需要什么？
FO300000236	哦，嗨！
FO300000237	一切都好吧？
FO300000238	有什么问题吗？
FO300000239	听着，我不会随便让什么混蛋进我的镇子。我是冒险给你个例外的。
FO300000240	我的镇子欢迎你，但是你不要捣乱。只要你捣乱，你就会被赶出去！
FO300000241	听着，我不会随便让什么婊子进我的镇子。我是冒险给你个例外的。
FO300000242	我的镇子欢迎你，但是你不要捣乱。只要你捣乱，你就会被赶出去！
FO300000243	好了，你进来吧，不过我会盯你。
FO300000244	不准在这撒野，明白？我不准你在这乱拉屎。
FO300000245	嗯？你有什么要说的吗？
FO300000246	今天我该怎么去解决你的狗屁问题？
FO300000247	你现在惹上什么麻烦了？
FO300000248	你要什么，毛人？
FO300000249	现在又怎么样，毛人？
FO300000250	为什么你还要烦着我，你这笨蛋？
FO300000251	好，你到底怎么回事，毛人？这最好是重要事！
FO300000252	你脑子被驴踢了吗？每次有点屁事你都来烦我，你的脑壳子是空心柠檬吗？
FO300000253	现在又怎么了？你来找我，就是想说我该死的洞穴有多么多么好？或者聊聊当地的土壤侵蚀之类的屁事？
FO300000254	不，你知道吗？你可以出去远足了，你这疯狂的变种人养的。滚出我的镇子！
FO300000255	哇，这有个毛人，正在到处游荡。
FO300000256	嗨，新来的！来抓我啊！
FO300000257	抓人游戏，来啊！
FO300000258	啊，哥们！我在这！
FO300000259	不行，那不算！
FO300000260	走开点，毛人。我不想碰到你变老！
FO300000261	谢谢你救回佩尼和“松鼠”，还有萨米，对吧？
FO300000262	毛人，毛人，闻着像屎！
FO300000263	天，你很大啊。
FO300000264	外面天气不错，你给我带个孩子过来吧？这样我就可以回到堕落天堂了。
FO300000265	就等你给我带个新朋友过来。
FO300000266	嗨！有什么好东西带给我吗？
FO300000267	我现在真的不想说话。请离开。
FO300000268	我就知道我们会再次见到你。
FO300000269	回来啦，你想要点什么？
FO300000270	太好了！你回来了！
FO300000271	好啦，一切如常。
FO300000272	你做到了！好极了！需要些修补吗？
FO300000273	看来你再次把我从火坑中拉了出来。谢谢。
FO300000274	该死，我真该找你帮我对付那些丑八怪。
FO300000275	抱歉，我得回营地了。如果你想卸载掉一些数据的话，就过来找我们。
FO300000276	呃，哦，你回来了。有东西要修理？
FO300000277	我们做到了！你做到了！你帮助我们打败了变种人！我们现在都觉得更安全了！太谢谢你了！
FO300000278	好极了！耶！我们给了那些变种人点颜色，对吧！
FO300000279	不，我在和谁开玩笑？外面还有各种各样的东西想要杀了我们。
FO300000280	至少我今天还没死。我该谢谢你。所以，谢谢！
FO300000281	我想我得给你建个小神龛。我只需要一些高香和蜡烛。
FO300000282	我们好好教训了那些变种人，对吧？！
FO300000283	长久以来这是我第一次开始觉得安全。谢谢你！
FO300000284	哦，嗨！现在有点忙，不过我想还能聊会，什么事？
FO300000285	呃。你知道人类即使没了脾胃照样能生存吗？哦，什么事？
FO300000286	嗨，别在意这烟。这气体很安全。真的！
FO300000287	怎么了？在废土荒野有什么有趣的事吗？
FO300000288	哦，嗨，什么事？
FO300000289	嗨，没人要我去修车，也没人叫我去给双头牛搓澡。真是个可喜的变化。
FO300000290	希望你不介意双头牛的粪便味。每间隔几天就有。
FO300000291	嗨。外面的废土荒野怎么样？
FO300000292	好久不见。
FO300000293	回断桥镇了，呃？很高兴再次见到你。
FO300000294	你好吗？
FO300000295	嘿你好！
FO300000296	我很高兴看错了你。欢迎回来。
FO300000297	我听说了你在断桥镇的小屠杀狂欢。见鬼，离我远点。
FO300000298	见鬼，离我远点。我永远不会再和你说话。
FO300000299	你好，很高兴见到你。
FO300000300	家族只为需求而杀生。而你在断桥镇的屠杀只是为了好玩！
FO300000301	你是埃万·金的杀手，呃？我看你很一般嘛。
FO300000302	谢谢你对我坦白所有事。
FO300000303	总是很高兴你来到米尔斯蒂。今天是什么风把你吹到这的？
FO300000304	嘿你好！
FO300000305	你需要什么？
FO300000306	你需要什么？
FO300000307	你好，孩子！
FO300000308	嗨，欢迎回来。
FO300000309	发生了什么事？
FO300000310	请别伤害我。
FO300000311	你是那喜欢伤害别人的坏男人，是吗？
FO300000312	你是那喜欢伤害别人的坏女人，是吗？
FO300000313	我记得你。你太卑鄙了。
FO300000314	你要什么，坏蛋？
FO300000315	你不该拿走不属于你的东西。
FO300000316	你是坏蛋。我不想和你说话。
FO300000317	你想当个坏蛋？还是你身不由己？
FO300000318	我打赌你这么坏，是因为你妈妈不爱你。
FO300000319	我听说过你。你是个好人！
FO300000320	你在这让我觉得更安全了。
FO300000321	你是我的英雄，先生。我希望长大后像你一样。
FO300000322	你是我的英雌，女士。我希望长大后像你一样。
FO300000323	哦，宝贝！让我给你些什么特别的吧。杜克夫式的惊喜怎么样？哈哈！
FO300000324	没关系。你需要喝一杯。 雪莉！这边来些酒！
FO300000325	你好，小甜心！老杜克夫能为你做点什么？
FO300000326	没关系。你需要来杯喝的，雪莉！我渴死了！
FO300000327	你看到雪莉了吗？我想这婊子在和我耍花样。
FO300000328	你到底是谁？
FO300000329	没关系。你需要来杯喝的，雪莉！我渴死了！
FO300000330	你到底是谁？
FO300000331	没关系。你需要来杯喝的，凡塔纱！我渴死了！
FO300000332	你到底是谁？
FO300000333	没关系。你需要来杯喝的。我的女人走了，你自己动手吧。
FO300000334	你要什么？来一杯？不？那你自己看着办。
FO300000335	嗯，嗯，你是我的英雄。不过不要自大。不过说真的，谢谢你帮我离开杜克夫。
FO300000336	这么说那讨厌的杜克夫死了。不能说我会想念他。
FO300000337	不过，我需要有人来保护我。一个女孩在废土是不能独自生存下去的。
FO300000338	嗨，帅哥。我是雪莉。有任何事可以帮你的吗？
FO300000339	嗯？
FO300000340	嘿，甜心。我是雪莉。我能为你做些什么吗？
FO300000341	嘿，甜心。我是雪莉。你自己动手做吧。小心杜克夫。他什么都做得出来。
FO300000342	他死了！我会想念这色鬼的。有几次我们真的很尽兴。
FO300000343	现在谁来照顾我？
FO300000344	哦，天啊！你真健壮。我是凡塔纱。如果你需要什么，就告诉我。
FO300000345	你好，伙计。我是凡塔纱。我能帮你做点什么吗？
FO300000346	你好，甜心。我是凡塔纱。你不会久留的，对吧？
FO300000347	让他闭嘴！拜托，让他的嘴闭上！！
FO300000348	站住！这区域归钢铁兄弟会管辖。立刻离开。
FO300000349	我说得不够清楚？立刻离开。
FO300000350	我没时间和你废话，游民，滚。
FO300000351	欢迎回来。你寻找书籍的任务成功了吗？
FO300000352	你回来了。你给我带回些什么书？
FO300000353	你救了我的命。我欠你的。
FO300000354	我永远欠你。谢谢。
FO300000355	我们快到门口了，别停下！
FO300000356	继续前进，我们就快出去了！
FO300000357	感谢上帝，有人来了！你得帮帮我！求求你！
FO300000358	站那别动。我们会增援你。这是我们所能给你的帮助。
FO300000359	带路。我们会保证你从通道到瀑布教堂的安全。
FO300000360	请接受我们的谢意，陌生人。没有你的帮助，我们不可能恢复我们的防卫。
FO300000361	好极了，他安全了。兄弟会是守信用的，这是你的酬劳。好好拿去花吧。
FO300000362	回见，佣兵。在你的旅途中找到你的荣誉吧。
FO300000363	太棒了。新兵安全地回到了我们这。请接受兄弟会的感谢，我的朋友。
FO300000364	我们没办法给你什么作为回报，但是我们可以保护你通过瀑布教堂。
FO300000365	你说他死了是什么意思？怎么有你这么无能的佣兵啊？
FO300000366	该死的无能佣兵！一个简单的营救任务你都不能完成？
FO300000367	我们没来得及救他。该死。
FO300000368	别那么焦躁，佣兵。找到我们的人，你会拿到你的报酬。
FO300000369	他就在那，在那建筑物里！别停下！
FO300000370	冲！冲！冲！
FO300000371	开始行动！
FO300000372	去其它地方发财吧，佣兵。我们自己会照料这的。
FO300000373	如果你不准备帮忙的话，就待一边去。
FO300000374	陌生人，感谢你的支援。我们必须奋力向前，如果你愿意支援我们，很欢迎你加入我们。
FO300000375	和圣骑士霍斯谈谈。
FO300000376	好好听着！我们去威廉的码头的路上一直有个流浪者跟着！你在这游荡一定有重要的事吧。
FO300000377	但是，你想干嘛我不关心。如果你有兴趣交易的话，或许我们可以互相帮助。
FO300000378	又是你！这次你有兴趣交易了？
FO300000379	你还没走运啊，我发现了。你想要交易？
FO300000380	小心，北边有个妖怪洞。如果我是你的话就会避开它。
FO300000381	要非常非常安静。他们能在一英里以外听到你的声音。
FO300000382	你得有两下子才可以自己一个人通过这。
FO300000383	嘘！你会吓跑那些妖怪的。
FO300000384	你出现的时机很糟，陌生人。这里就要守不住了。
FO300000385	我建议你趁变种人正盯着我们赶快离开。
FO300000386	你还在这干嘛？我叫你走！
FO300000387	天啊，不知道他们从哪冒出来的。
FO300000388	我曾以为自己要上阵亡名单了，但我们活了下来，明天继续战斗。
FO300000389	这点不容置疑：兄弟会的力量庇佑一切。
FO300000390	只要我的兄弟在我身边，就没有人能打败我们。
FO300000391	你想要什么？你没看到我在忙吗？
FO300000392	什么？
FO300000393	只是误撞到镇子的？你确实挑了个好日子，和外边的疯子一起。拿去，这有免费酒水。欢迎来到坎特伯雷。
FO300000394	我是乔·波特。我要确保这的人们饿的时候能有东西吃。
FO300000395	怎么了？
FO300000396	刚来镇子，呃？我是多米尼克·德奥萨多，欢迎来到坎特伯雷社区。别理那些穿着戏服的白痴。
FO300000397	镇子里主要的活动是交易，听罗伊废话，还有挖无名墓穴埋葬盗贼。
FO300000398	当然，我们很久没埋过盗贼了。我都是亲自动手的。要见到那种死亡的艺术，除非你想偷些什么。
FO300000399	没惹上麻烦？很好，很好。
FO300000400	啊，新来的？欢迎来到坎特伯雷社区，商队之家，旅者之家，最重要的是，超级廉价品之家！
FO300000401	我是欧内斯特·罗伊，不过你可以把我想成是你慈祥的老罗伊大叔。是什么风把你们吹到我这可爱的小镇？来做生意，还是找乐子？
FO300000402	由于那些打斗，我还没正式欢迎过你，对吧？
FO300000403	欢迎来到坎特伯雷社区，商队之家，旅者之家，最重要的是，超级廉价品之家！来做生意，还是找乐子？
FO300000404	今天罗伊大叔能为你做些什么？
FO300000405	滚！我恨你！
FO300000406	哦，嗨。你新来的吧？我是德里克，在镇上做些无关紧要的零碎杂活。
FO300000407	你可能更想和我叔叔欧内斯特·罗伊谈吧。他可以给你正式的欢迎，还有其它所有东西。
FO300000408	嗯，什么？
FO300000409	啊，废土路上的这位同学，欢迎光临我的商队。请休息下，因为我们这很安全！
FO300000410	那种只能用大量的武器来保障的安全，好的也有坏的也有。所有这些都可以卖给你，价格也很公道！
FO300000411	听说你就是我那神秘的投资人！多亏你帮忙，我为自己收集了一些很好的小玩意。但是如果不拿出来玩玩，这些玩意又有什么价值？
FO300000412	太谢谢你了，这么多，我都快玩不过来了。所以。这微型核弹就作为你帮我收集这些东西的报酬。在确定安全的情况下尽情享用吧！
FO300000413	来采购？那就进来看！
FO300000414	不论先生还是女士，欢迎来到疯子沃尔夫冈的旅行旧货铺！这是残渣的储所、污秽的卖场、垃圾的商队！
FO300000415	作为所有幸存着的沃尔夫冈家族中最疯狂的人，有什么零星琐事我能为你效劳？
FO300000416	我听说了，你就是那在我这杂货铺投资最多的人。当然，我还是最多的，舍我其谁呢，对吧？
FO300000417	前些天我偶然结识了几个隐身小子，他们好像要对你的投资表示感谢。令人称赞！
FO300000418	俗话说得好：“皮夹鼓鼓的朋友才是真正的朋友”！欢迎光临我的小店！
FO300000419	嗨，嗨！想买点什么？
FO300000420	啊，欢迎你，这位疲倦的旅人！你看上去真的是该好好休息一下了，再来点上好的化学辅助品帮助你消减疲劳。
FO300000421	我的朋友，不要再流浪了。我，霍夫医生，拥有最上乘的医疗用品和化学辅助品。你要来点什么？
FO300000422	我的投资商终于出现了。干我们这行的不能感情用事，但对于你的帮助又怎能没有实质性的回报呢？
FO300000423	想修东西？那你就找对人了。
FO300000424	想找个好医生？太棒了。
FO300000425	欢迎，欢迎！我叫乌鸦，在这片土地上四处游走，专卖服装和护具。被我及时碰见真是你的大幸。
FO300000426	你那脸色就像见了鬼一样，别怕，我可以自豪地说，我的装备能够给你最周全的保护，就连死神的爪子也别想伤害你。快来看看。
FO300000427	给你！神灵已经赐予了我诸多礼物，但是你给我带来的礼物更有市场价值的金融投资。
FO300000428	想要在这片废土中寻找一个朋友？一块冰冷、坚硬的钢铁皮肤比任何人都可靠。
FO300000429	要不要来件崭新的金属或者网状的披风？一手交钱，一手交货。
FO300000430	我来此就是为了保护货物。
FO300000431	坚持住，一切都会好的。
FO300000432	想做生意不？
FO300000433	想找些特殊的小东西吗？
FO300000434	嗯，你好。我想你是为了我们提供的合同而来。
FO300000435	我们总是很高兴见到新的伙伴加入。欢迎。衷心欢迎加入我们的事业。
FO300000436	只要带来我要的东西，欢迎你随时踏入我们的门槛。
FO300000437	欢迎！欢迎回来！今天给我们带来了什么？
FO300000438	看是谁！我最爱的伙计！你带来我要的东西了吗？
FO300000439	是你！我们总是有时间来接待我们最喜欢的职员。
FO300000440	去和里特宏先生谈谈。
FO300000441	我们帮不了你。只有里特宏先生能帮到你。
FO300000442	很抱歉，我没时间和你说话。
FO300000443	忙，好忙，忙碌的小蜜蜂。
FO300000444	是痛苦蚁后！你是最棒的家伙，最棒的！能给我签个名吗？
FO300000445	是机械侠！你是最棒的家伙，最棒的！能给我签个名吗？
FO300000446	再见，痛苦蚁后！我现在该回家了！
FO300000447	再见，机械侠！我现在该回家了！
FO300000448	我正准备回铆钉城搞更多的补给拿到大镇卖。他们买走了我全部的库存！
FO300000449	我正准备去大镇。那很好赚钱。他们订了成吨的补给，既然那安全了，我立刻就去！
FO300000450	我正准备去大镇。那很好赚钱。他们订了好多高爆炸弹！
FO300000451	我正准备去大镇。那很好赚钱。他们订了好多机器人零件！
FO300000452	我正准备去大镇。那很好赚钱。他们订了一些隐身小子。
FO300000453	我正准备去大镇。那很好赚钱。他们订了好多军火。
FO300000454	我正准备去大镇，看看还有什么剩余东西可以拿。我听说那的人不是被杀就是被超级变种人拖走了。
FO300000455	走开。我已经受够了你的“帮助”。
FO300000456	嗨，那机器人怎么样了？
FO300000457	哦，嗨。你需要什么东西？
FO300000458	谢谢你的帮助，朋友。我不知道没有你我能不能完成。
FO300000459	你好。那机器人怎么样，呃？
FO300000460	我还不能旅行，但我正在康复中。谢谢你。我从来没想到在废土上会有陌生人帮助我。
FO300000461	很高兴再次见到你，朋友！
FO300000462	我们需要些帮助！不知它会从哪冒出来！
FO300000463	如果没有你的帮助，那东西会把我们都杀了的。谢谢。
FO300000464	听着，你最好也拿着这地图。那是我们要去的地方，但是死亡爪打消了我们去废土冒险的念头。
FO300000465	如果你知道什么对你有好处的话，你就站开。是我们找到的水，我们不会给其他人的。
FO300000466	我希望你不是为了水来的。因为我们要带着水走，我妈妈从来没教我怎么分享。
FO300000467	谢谢帮助。交易就是交易。这是你的水。
FO300000468	你得到了你要找的。为什么不继续前进？现在我可不想找什么新朋友。
FO300000469	小心！那蝎子不会让我们靠近水！
FO300000470	那东西不会让我们靠近水！
FO300000471	拿着这水。这是你赚的。
FO300000472	呃，啊，站住，伙计。把你的东西统统交出来，对，立刻。
FO300000473	呃，啊。站住，小姐。把你的东西统统交出来，对，立刻。
FO300000474	我把你从圆形大厅救出来，而你拿走瓶盖和荣誉，呃？
FO300000475	我可不打算让你到处吹嘘，是你拿回了《独立宣言》，而把我丢在尘埃里。
FO300000476	它活了！废土重生了！
FO300000477	请允许我先介绍一下自己。我是戈弗雷，你的私人机器人管家。
FO300000478	我负责照顾你，逗你开心，供你娱乐。
FO300000479	我能为你做什么？
FO300000480	请允许我做个自我介绍。我是沃兹沃斯，你的私人机器人管家。
FO300000481	我负责照顾你，逗你开心，供你娱乐。
FO300000482	我能为你做什么？
FO300000483	不要干扰安保行动。
FO300000484	很抱歉，我现在不方便聊天。
FO300000485	保护与服务。
FO300000486	有什么事吗，先生？
FO300000487	有什么事吗，女士？
FO300000488	我看上去像是有空和你闲聊的样子吗？
FO300000489	啊！正是如此。特佩尼允诺给我安全和保护。那该死而无能的古斯塔沃让小偷们凶暴地横冲直撞。让人忍无可忍。我要走了。
FO300000490	噢！我不敢相信。古斯塔沃的手下到处巡查，小偷还是到我的店里拿东西！
FO300000491	我本以为我在这很安全。我走了。我会到其他地方试试我的运气。
FO300000492	一定还有其他安全的地方。
FO300000493	我该去哪？
FO300000494	今天什么风把你吹到铆钉城的？
FO300000495	见鬼，离我远点。
FO300000496	我没兴趣和你说话。
FO300000497	我说过我们会再碰头。什么风把你吹到僵尸城的？
FO300000498	我能帮你什么？
FO300000499	怎么了？
FO300000500	祝你好运，一路顺风。
FO300000501	圣人复活了！你做到了！
FO300000502	快，给我墨水，我来做一张《独立宣言》的复制品。
FO300000503	国会的下个命令是什么？
FO300000504	你决定了吗？愿不愿意帮我伪造一份《独立宣言》的复制品？
FO300000505	有话快说，没话快滚。
FO300000506	你突破了我们的防御，躲过了我们最好的士兵，然后闯进我的房子。
FO300000507	但是我还没开始战斗！我不能让你窃取我们的自由！
FO300000508	《独立宣言》一定还在这！它是我们希望的象征，大声疾呼“我们是自由国家”的象征！
FO300000509	去你的！如果你认为能靠自己拿到《独立宣言》，那就去吧。
FO300000510	我一定会去你的坟上献花的，如果他们能找到你尸体的残骸的话。
FO300000511	怎么了？
