AID00098043	玩家上锁的物品
AID00098114	能尝到这里的佳肴，真是死了都不亏。菲利普做的双头牛肉无与伦比。
AID00098115	NCR军方通报说长街的机器人升级了。要是能有第一手情报就好了……
AID00098116	豪斯先生不在了。大概是被他自己的机器人给弄死了吧。
AID00098117	听说你一个人就干掉了凯撒。这说明军团不过是一群未开化的蛮子，和我们想的一样。
AID00098118	既然他们的领袖死了，军团很可能会四分五裂。大多数依靠暴力组织起的部落社会，最后都是这个结果。
AID00098119	NCR军方广播一直在说豪斯先生同意加入NCR。他怎么改主意了？
AID00098120	有人把NCR用于往返长街的单轨铁路炸了。我们应该抓住这个时机进攻！
AID00098121	看来炸毁铁路也没有打乱NCR的部署。他们到底有多少兵力啊？
AID00098122	有传言说就是你救了NCR总统的狗命。我真好奇你怎么还有胆子到这里来。
AID00098123	最近有一起针对NCR总统的刺杀行动。可惜没有成功。
AID00098124	你就是宰了NCR总统的那个人？我想和你握握手！
AID00098125	你听说了么？真的有人成功刺杀了NCR总统！可我们却还坐在这儿！
AID00098126	前几天我听说NCR军方的某个大人物死了。希望这能打乱他们的指挥系统。
AID00098127	你听说过NCR那个死了的高层吗？他居然一直在暗中搞破坏？希望这么干的不止他一个。
AID00098128	看来NCR正在结交朋友。我们得到报告说他们正在主动联系自由城的一些帮派。
AID00098129	我们刚刚才听说普瑞姆现在已经归顺NCR了。这样下去，他们很快就会控制这一整片地区。
AID00098130	我听说有一支特种游骑兵小队正在赶往维加斯地区。看来NCR终于要认真对待和军团的战斗了。
AID00098131	有报告说NCR正向该区域增派大量兵力。
AID00098132	这只是暴风雨前的宁静。我第一次觉得我们待在这下面真好。
AID00098133	多留心维罗妮卡。她可不是省油的灯。
AID00098134	别让维罗妮卡受委屈，好吗？
AID00098135	要是你准备带上维罗妮卡同行，那你一定要准备一副好耳塞。我开玩笑的，维罗妮卡！把动力拳套放下！
AID00098136	多奇妙的动物啊。我肯定学士们会想研究一下他的。
AID00098137	你听说在附近乱跑的那群老疯婆子没？据说她们抢劫的时候凶残得很。
AID00098138	如果幸运38就可以给我们提供源源不断的能源，那我们还在意胡佛水坝干什么？
AID00098139	幸运38的灯全在你头上亮着，你去睡个觉给我看看。你去啊。
AID00098140	我听说那个女人可以用眼神杀人！离我远点！
AID00098141	你那个女性朋友应该阳光一点。
AID00098142	你最好小心点，我听说雷克斯喜欢吃他的主人。要不猫王干嘛那么急着把它送人？
AID00098143	见到雷克斯还这么鲜活的真好。
AID00098144	跟着你的尸鬼还真是破衣烂衫的。不过看起来是个好人。
AID00098145	跟你一起的那个尸鬼看起来像是战前出生的！他肯定见识过许多事。
AID00098146	哦，不，我听说那些玩意会吃人！退后，怪物！
AID00098147	你那跟班真奇怪。我还以为所有的超级变种人都是丧心病狂的食人族呢。
AID00098148	奇怪的机器人，我好像从没见过这型号的。
AID00098149	据说豪斯会在晚上偷偷放些监视机器人出来，这个机器人好像就是其中之一。
AID00098150	在莫哈维可不能光靠运气。你最好多加小心。
AID00098151	她如果想要烈酒，就去原子牛仔看看。
AID00098152	你把枪收好，就不会有麻烦。
AID00098153	你让他跟着你可不是什么好事。NCR在这里不受欢迎。
AID00098154	我听说那家伙杀了几百人，其中不少是无辜的平民。
AID00098155	我一直都认为阿卡德没有发挥出他真正的实力。要不是天启追随者扯后腿，我打赌他能成大事。
AID00098156	看到阿卡德走出旧摩门教要塞，我很吃惊，我还以为这种科学人才都足不出户呢。
AID00098157	你好。
AID00098158	嘿。
AID00098159	你总有一天会遭报应的。
AID00098160	吃了屎就去死吧。说得够明白了吧？
AID00098161	这里不欢迎你这样的人。
AID00098162	巫师！巫师！应该把你烧死，为那些被你变成蜥蜴的人报仇！
AID00098163	你连婴儿都杀！别想抵赖！他们都跟我说了，有次就因为一句话，你就屠杀了整所孤儿院！
AID00098164	你这食尸鬼！我都听说了，你把死人的尸体挖出来吃！离我爷爷奶奶远点，他妈的！
AID00098165	人们传说你在午夜的时候会修炼妖术，在月光下裸身起舞，口念咒语。你脑袋是不是被门板夹了？
AID00098166	我听说你欺负小孩，嗯？什么样的人才会靠殴打小孩来挣饭钱？
AID00098167	传说你衣服下面裹着你从对手身上剥下来的皮。这是真的吗？
AID00098168	人渣，离我远点。
AID00098169	你还真是个奇葩。
AID00098170	好极了，又是你？
AID00098171	你知道吗？你就是个疯杂种。
AID00098172	我不知道是该和你打招呼，还是该逃命。
AID00098173	好人？坏人？对你来说都差不多，是吗？
AID00098174	传言说你其实是一个假人，操纵你的是那些大赌场。如果是真的，控制你的水晶在哪？
AID00098175	今天是准备残害哪条小狗，还是救几个暴徒？
AID00098176	关于你的传言太多了，我都不知道该信哪个。你肯定是疯了。
AID00098177	这儿的人们都觉得你难以捉摸。
AID00098178	有人说你喜欢把过街的老太太放倒。其他人则说你经常收拾暴徒。
AID00098179	大家都不知道你到底在想什么。
AID00098180	做人有时候就是左右两难，是吧？
AID00098181	我们都希望你尽快决定到底站哪边。
AID00098182	好人？坏人？选择权在你手上。
AID00098183	谢谢你所做的一切，真是帮了大忙了。
AID00098184	我希望这里的那些恶棍也能跟你一样浪子回头。
AID00098185	你真是自由城的守护神。
AID00098186	听说你甚至帮助本地的老鼠过街。
AID00098187	大家都说你有超能力，要不怎么能在自由城干出这么多大事呢？
AID00098188	我的朋友一提到你便敬仰万分。能见到你本人真是太好了。
AID00098189	你在这儿做的好事就像野火一样传遍四方。请继续努力。
AID00098190	嘿，你就是大家口中乐于助人的那个人。好样的。
AID00098191	我和朋友们说你是这里的道德楷模，不过他们的反应不怎么积极。
AID00098192	多谢你的帮助。
AID00098193	你还在，太好了。
AID00098194	嘿，见到你很高兴。
AID00098195	嗯？
AID00098196	嗯？
AID00098197	怎么了？
AID00098198	真希望我能亲眼看着你干掉本尼。
AID00098199	大家说你孤身一人杀进水坝，还干掉了所有人！那场面肯定相当火爆！
AID00098200	好吧，现在NCR和军团都不会来打扰我们了，但愿这些电子保安能一直维持和平。
AID00098201	他们说你带领电子保安大军横扫了水坝，那场面一定非常壮观！
AID00098202	我可不太喜欢这些铁皮罐子，但是这支新的电子保安大军确实能够维护和平。
AID00098203	你怎么不亲自给我们戴上奴隶项圈，混球。军团占领了大坝，用不了多久我们所有人都会变成奴隶。
AID00098204	我听说军团带了很多超级变种狗一起进攻大坝，但愿NCR的突击小队有足够多的排骨来分散它们的注意力。
AID00098205	别傻了。只要军团和NCR一开战，那些机器人会立刻攻过来，把我们全杀死。
AID00098206	我希望军团被消灭掉。要是他们占领了水坝，我们全都会变成奴隶。
AID00098207	大家都说NCR派出了他们的超级士兵敢死队在水坝防御军团的进攻！这场战斗越来越疯狂了！
AID00098208	通常我都是说干他妈的NCR，不过要是真让军团拿下了水坝，我们所有人的妈妈都要被干了。
AID00098209	有些朋友说军团在河对岸举行了一场大型的烧烤野餐会。你看那边冒出来的烟，我信了！
AID00098210	看起来军团又打算对水坝发动一次进攻。这可不妙。
AID00098211	哎呀，你挺厉害的啊？大家都喜欢新人，至于我？我算个屁。
AID00098212	我听说你在长街扬名立万，发达了可别忘了小兄弟们哦。
AID00098213	清泉镇又送了些新鲜的吃食过来。
AID00098214	乔·科布的手下都死在清泉镇了。
AID00098215	埃迪死了，以后谁说了算？
AID00098216	有时子没见着正经的商队路过了。
AID00098217	你觉得普瑞姆的过山车还能用吗？
AID00098218	要不是库克，我们还不知道在什么地方给NCR服劳役呢。
AID00098219	NCR的人怎么还不来。
AID00098220	我们给那些NCR的杂种好好上了一课。
AID00098221	最近都没见迈尔斯，他是逃了还是怎么的？
AID00098222	爬行者比平时更疯狂了。你自己小心。
AID00098223	听说过这地方以北的死亡爪吗？
AID00098224	我敢发誓，前几天真的看见了大汗帮的人。
AID00098225	躲着点莫哈维哨站。那里到处都是NCR部队。
AID00098226	老兄，爬行者死了我是真高兴。
AID00098227	不敢相信凯撒居然死了。我们现在怎么办？
AID00098228	有人看到凯撒徒步检阅部队了。这是个好兆头。
AID00098229	我们的特工成功暗杀了NCR的总统。
AID00098230	你听说了吗？豪斯和NCR签了协议。该死的叛徒。
AID00098231	如果豪斯死了，那他的地方为什么还亮着灯，嗯？
AID00098232	豪斯死了，不知道轰鸣恶煞现在会不会让我们杀进长街。
AID00098233	为啥长街那座塔现在能那么亮，嗯？我不喜欢这样。
AID00098234	你这宠物尸鬼闻起来跟屎一样。
AID00098235	那是无耻杂种吗？我看他们都长一个样。
AID00098236	会飞的机器人？伙计，我一定是疯了。
AID00098237	你听说这个邮差在长街干的狗屁事了么？像是什么，送信之类的？
AID00098238	我不介意和她干一炮，她能撩吗？
AID00098239	如果你看到一个黑甲游骑兵，赶紧跑。他能从半里之外干掉你。
AID00098240	新警长上任后，普瑞姆就不像从前那么好欺负了。
AID00098241	有人想干我们。等我揪出那个狗日的，一定要宰了他。
AID00098242	大汗帮的人都跑了，不知道那些用来做药的东西他们留下来没有。
AID00098243	豪斯就像电灯一样被人拉了线。不知道他死以前蹬腿没有。
AID00098244	操，大汗帮都和NCR称兄道弟了，我们以后从哪儿搞药啊。
AID00098245	只要大汗帮还继续做药，我就能继续嗨翻天。
AID00098246	有人想干我们。等我揪出那个狗日的，一定要宰了他。
AID00098247	轰鸣恶煞死了？那现在他妈的是谁说了算？
AID00098248	金博尔死了，或许NCR以后能学会少管点闲事了。
AID00098249	NCR总统躲过了军团的刺杀？真没想到。
AID00098250	没了小火车，NCR会跟丢了魂一样。
AID00098251	豪斯都死了，我们应该去攻击长街。干死他们。
AID00098252	豪斯死了，谁先出手谁就能占住长街。恶魔帮要崛起了。
AID00098253	自从长街那些机器人变了之后，人们就很怕它们。谁他妈稀罕长街啊？
AID00098254	你有没有想过成为一名游骑兵呢？
AID00098255	我很高兴和你并肩作战。
AID00098256	你赢得了我的尊重。
AID00098257	你别把我也卷进去！
AID00098258	欢迎光临卡萨·马德里。如果你想解解闷，那你算是来对地方了。不过对这儿的商品，可要记得轻拿轻放。
AID00098259	欢迎光临卡萨——只要你不是来卖你那个瘪屁股的。
AID00098260	我不打算雇新的姑娘——没有空位了——而且我和马可达成的协议是专属的。
AID00098261	我不知道你和安德森之间发生过什么，但是别把我扯进去。
AID00098262	就算不和你聊天，这工作也是无聊透顶。去见亚历山大吧。
AID00098263	亚历山大付钱给我，不是让我聊天的。
AID00098264	我们只是马仔，亚历山大才是管事儿的。
AID00098265	旅行者，不要再往前走了。你不会想在这里久待的，整个镇子的辐射高得都和地狱一样。
AID00098266	狗牌收集得怎么样了？
AID00098267	你回来了？我能为你做些什么？
AID00098268	你有零钱吗，老兄？我有五个孩子要养活。
AID00098269	你是个疯杂种，疯杂种！九重天！？哈！彻底疯了。
AID00098270	你有零钱吗，老兄？我有五个孩子要养活。
AID00098271	没错，我看见本尼跑过去了！像是被鬼追一样！
AID00098272	你杀了老干酪！？他们说他是神！哈，谁听说过干酪之神？
AID00098273	老干酪死了！？他们说他是神！哈，谁听说过干酪之神？
AID00098274	生命中美好的事很多，撒尿绝对是其中最美好的。
AID00098275	嘿！别戳我！
AID00098276	哎呦！干嘛老戳我！
AID00098277	管好你的那些婊子！
AID00098278	管好你的那些婊子！
AID00098279	去烦别人去。
AID00098280	只要没人扶还能在地板上躺稳，就不算醉。
AID00098281	呜——！
AID00098282	猫王帮去哪了？
AID00098283	嘿，医生！你那儿还有瘾头解吗？我想到了一个整蛊流浪汉的好方法。
AID00098284	我觉得你朋友想要吃我！求你管好他！
AID00098285	有比丰满的双头牛骑着商队成员消失在落日里更美的景象吗……等等，好像哪有点不对。
AID00098286	我愿意出5个瓶盖买那个机器人！
AID00098287	你的尸鬼朋友看起来鬼鬼祟祟的。看好你的口袋，伙计！
AID00098288	他们就算限水也没有关系。我们可以从别的地方获取水源。
AID00098289	听说有一些本地人受到了攻击。真是活该！
AID00098290	我有朋友在夜间遇到袭击。该有人站出来维护秩序了。
AID00098291	总有一天等我攒够了钱，就要离开这里。总有一天……
AID00098292	我认识的一个人说有一支食人者部队在东边出现。
AID00098293	进赌场的时候可千万要长点心眼，不然你很快也会像我们一样被困在这个鬼地方。
AID00098294	NCR真该直接占领这片地区。他们的部队足够大了。
AID00098295	猫王帮说他们会维护和平，但是这里一直暴力不断。
AID00098296	你昨晚去火车站了吗？老天保佑那些人。
AID00098297	差不多该是时候去火车站了。我可就指着这个活了。
AID00098298	嗨，陌生人，如果你饿了，这附近有个人可以告诉你从哪里有免费的食物和水。
AID00098299	你今晚也要去火车站吗？
AID00098300	小心恶魔帮。
AID00098301	我们不需要NCR。
AID00098302	嘿，麻烦你走开好吗？我要让自己醉倒在地上不省人事。滚开。
AID00098303	嘿，滚远点。有事等吃饭的时候再来找我……如果你真嫌皮痒痒的话。
AID00098304	快逃啊！野兽跑出来了！
AID00098305	死亡爪都出来了！快离开这里！
AID00098306	不可能！这到底……
AID00098307	妈的！快逃命啊！
AID00098308	多么精彩的战斗！
AID00098309	直接杀进一个满是全副武装的恶徒的赌场，这主意可真妙，老大。咱们肯定能全身而退的，对吧。
AID00098310	不用担心，老大。要我说，就算你把哪个家族的大佬干掉，也绝不会招致对你亲近的人和你本人的疯狂报复。
AID00098311	如果我们跑起来的话还是能追上本尼的！我看好你，我会在后面为你加油打气的。
AID00098312	你倒挺喜欢把我拽进枪林弹雨里的嘛，老大？
AID00098313	啊哈，一群乌合之众煞费苦心地想要占领维加斯。让我想起了战前的日子。
AID00098314	真不敢相信我们能获准进入幸运38。那地方在伟大战争以前就已经是个传奇了……
AID00098315	手持火箭、怒气冲天的机器人士兵。我敢肯定他们都是尽忠职守的好警察。
AID00098316	也许是我老不中用了吧，不过被关在一个凉爽昏暗的舱室里睡上几个世纪，听起来也不坏嘛。
AID00098317	噫，老大。那也太……噫！
AID00098318	老大，别担心，我敢肯定凯撒只是想请你去喝杯咖啡之类的。仅此而已。
AID00098319	嘿，老大，那场手术突然让我想起了点事情：我这儿长了个滑稽的肿块……你能不能帮我看一下？
AID00098320	我很高兴你决定把莫哈维沙漠中最有权势的人之一置于死地。反正生活也很乏味。真的。
AID00098321	对，凯撒，我们来你的营帐里给你做脑科手术吧。不会出问题的。
AID00098322	凯撒的死让我想起了一句老话。我记不太清楚了，好像是"sic semper tyrannosaurus。（这就是暴君的下场。）"
AID00098323	噢，太好了。现在冒出来了一整支机器人大军。你不会半途而废的，对吧，老大？
AID00098324	把那个避难所炸飞有什么意义吗，还是你只是单纯地喜欢看爆炸？
AID00098325	那些可怜的NCR士兵啊……现在他们去哪玩女人和钱呢？
AID00098326	说真的，你是想搞庆祝大游行吗，老大？
AID00098327	放心，老大。我在你的传记里肯定会写，在刺杀总统这件事上，你是"英雄般地临阵倒戈"，而非"迫于万般无奈。"
AID00098328	就是确认一下，咱们并没有打算访问NCR的任何设施，对吧，老大？永远不会有？
AID00098329	好了，总统已经死了，不过别担心。历史已经一再证明，这种事情从来就不会导致大规模动乱或者世界大战。
AID00098330	我从来就不喜欢恶魔帮那样的帮派，老大。很高兴他们完蛋了。
AID00098331	我觉得大汗帮也没那么坏，不过也轮不到我说话，毕竟我都被一个夜行族疯子关在囚室里那么多年了。
AID00098332	你很喜欢和穿得像个铁桶似的家伙贴身肉搏吗，老大？那倒是个折寿的好办法。
AID00098333	我相信，和一个统领着数百名狂热士兵的军阀结下梁子绝对是一着妙棋。怎么会不好呢？那可是您想出的妙计啊。
AID00098334	我相信，和一个手握军权的强力政府结下梁子绝对是一着妙棋。怎么会不好呢？那可是您想出的妙计啊。
AID00098335	我相信，同时和莫哈维最强大的两大势力结下梁子，绝对是一着好棋。怎么会不好呢？那可是您想出的妙计啊。
AID00098336	别担心，老大。我敢肯定这突然间的风云骤起，也只不过是……一场雷暴雨？
AID00098337	好吧，我承认，可能并不是什么雷暴雨。
AID00098338	看起来是要大干一场了，老大。如果你准备好了，咱们就一起上。
AID00098339	你要我怎么做，老大？
AID00098340	你来得可真慢啊。那么，我现在可以走了吗？
AID00098341	电台里的各类新鲜玩意我都快听腻了。我是不是可以走了？
AID00098342	又来了？这次我终于能走了吧？还是你又有别的打算？
AID00098343	噢，是你呀。你是有东西要修，还是有其他事？
AID00098344	能在这里遇见你真是太巧了，朋友。
AID00098345	嗨，朋友。
AID00098346	哎呀，真是太阳打西边出来了！这不是我那来自清泉镇的老朋友嘛！
AID00098347	哎呀…真是稀奇啊——这不是我来自清泉镇的老朋友嘛！
AID00098348	你好啊，搭档！看来你是毫发无损地离开了清泉镇啊。真是太好了。
AID00098349	我想你是在追杀那个恶棍吧。居然敢活埋你，要我说这人一定是活腻了。
AID00098350	见鬼，小子，你看上去就像刚从地底下钻出来似的。
AID00098351	个人建议：在疯嘴旁边的时候悠着点…我觉得他这人好像故意把自己整成一个弱智。
AID00098352	噢……你好。我是米开·朗琪罗。请问您——
AID00098353	呃……等一下。你是来订购灯箱牌的吗？别告诉我你是替豪斯先生给我传话的。
AID00098354	看来我们的双头牛圈里又来新客人啦。没多少人会专程来这里，大多只是从这儿路过。
AID00098355	如果你也是路过的，那可太不巧。北边的道路现在太乱，即便我放商队过去，他们也走不了多远。
AID00098356	死吧，NCR渣滓！
AID00098357	谢谢你的建议。你让我看得更清楚了。
AID00098358	神之枷锁！
AID00098359	你是谁？你怎么找到这里的？
AID00098360	你回来了。找到办法帮助我们了吗？
AID00098361	你已经成了大英雄了，对吗？我听说你救了总统的命。真是难以置信。
AID00098362	你听说金博尔总统的事了吗？感谢上帝他活了下来，希望游骑兵能抓到那个企图刺杀他的混蛋叛徒。
AID00098363	我没法相信……总统死了。我真的无法相信。
AID00098364	斯万克跟我说了本尼的事。事闹大了，宝贝，事情真的闹大了。
AID00098365	哦，拜托，宝贝。我们才刚把你上次留下来的烂摊子收拾干净！
AID00098366	嘿嘿！欢迎，欢迎，欢迎前来体验新维加斯最棒的娱乐场所！我是汤米·托里尼，不知我该如何帮您度过一个难忘的夜晚？
AID00098367	嘿嘿！欢迎，欢迎，欢迎前来体验新维加斯最棒的娱乐场所！我是汤米·托里尼，不知我该如何帮您度过一个难忘的夜晚？
AID00098368	哎呀，哎呀，瞧瞧又有贵客上门了，这不是长街上最受人喜爱的小猫咪么！不知汤米能为你做些什么呀，宝贝？
AID00098369	听我说，宝贝，虽然王牌剧场来者不拒，但我真的得麻烦您，别在我们这儿惹事，明白吗？
AID00098370	新场子简直爆满啊，宝贝！我们这儿的瓶盖多得都快成核子可乐装瓶厂了！
AID00098371	你对汤米太好了，宝贝。两名新演员？这儿的房梁都快被挤塌了！
AID00098372	该死，宝贝，你介绍来的新演员也忒多了，核子欢乐汇现在每天都经营到半夜！我已经在认真考虑要不要取消免费酒水了。
AID00098373	我得跟你说实话，宝贝，你干得太漂亮了，简直和18克拉钻石一样。现在我的节目表满当当的，新场子都安排不过来了！
AID00098374	欢迎回来！又来享受顶级的娱乐服务了？
AID00098375	你好啊，搭档。
AID00098376	呃啊……求你……救救我。
AID00098377	谢谢你把我从十字架上放下来。我欠你一条命。
AID00098378	多谢你救了我的小命。
AID00098379	离我远点，你这疯子！
AID00098380	安德斯把事情都告诉我们了。我们欠你个人情。这么着吧，我可以给你些瓶盖当报酬，或者，我也可以送你一份杰克的独门配方。
AID00098381	找到安德斯了么？
AID00098382	你好像不是我的老主顾呀。你想要什么？
AID00098383	最近常常听见有人说你的好话。有什么事吗？
AID00098384	嘿！看来你在这儿交了不少朋友嘛。
AID00098385	哦，啊，嘿——杰克也许会给你打折的，你别发火了。
AID00098386	听着，你要什么药，我们都乐意卖给你，但你别乱来，好吗？
AID00098387	想说什么就快说——否则就快走。
AID00098388	快点——我可不想被人看到和你在一块。
AID00098389	该死，有人把轰鸣恶煞做了！那家伙可是我们的大客户。
AID00098390	有人正在逐步剿灭新维加斯外围的恶魔帮首领。这是要断了我们的财路啊。
AID00098391	你的货送到了吗？
AID00098392	嘿，怎么了？
AID00098393	哇哦。新来的小伙。
AID00098394	哇哦。新来的小妞。
AID00098395	嘿，瞧瞧咱们大汗帮的老朋友回来了！
AID00098396	老朋友，最近怎么样啊？
AID00098397	我觉得你应该放松一下，来点镇静剂吧。你想要的话，我可以卖给你几支。
AID00098398	你看起来有点……压抑。你知道吗，刚好我做的药里含有一些镇静剂的成分……
AID00098399	我觉得人各有各的活法，应该相互尊重，但这里的很多人却……嗯……不这样想。
AID00098400	你干吗非要来扫我的兴呢？冷静点，好吗？
AID00098401	嘿，怎么了？
AID00098402	你就是最近在部队里声名鹊起的那个家伙是吧？你有什么事？
AID00098403	啊，那位号称军团英雄的人来了。你有什么事？
AID00098404	你的思想太难以捉摸了，朋友。我希望你能和军团保持一条心。
AID00098405	凯撒不喜欢像你这样我行我素的人。我真心希望你能改变作风，免得吃苦头。
AID00098406	我听说过你的名字。你离凯撒的敌人只有一步之遥，这是非常不明智的。
AID00098407	我知道你已受邀觐见凯撒。你应该清楚自己获得了怎样的荣耀。
AID00098408	要不是我们现在正在大汗帮的地盘上，我一定会立马杀了你。有人会为凯撒复仇的！
AID00098409	凯撒的死是个悲剧，但别以为这会破坏军团的团结。
AID00098410	凯撒的老兵很快就会从亚利桑那赶到，到时我们将势不可挡。
AID00098411	以以凯撒之名，向您致意。
AID00098412	我知道你正设法劝说大汗帮与伟大的凯撒解除盟约。我只能说……这很不明智。
AID00098413	我现在高兴多了。再次感谢你。
AID00098414	你想干什么？
AID00098415	哦，看哪，这不就是那个应声虫嘛。
AID00098416	你到底是做了什么不得了的事，会让父汗这么喜欢你？
AID00098417	哦，嘿。怎么了？
AID00098418	你居然在和我说话，这太酷了！我是说，呃……伙计，有什么事？
AID00098419	你也是来取笑我的吗？
AID00098420	我现在真的不想和你说话。
AID00098421	什么？
AID00098422	你就是那个处处和我的军团作对的邮差，居然还有胆子出现在我面前。
AID00098423	我听说你还在四处闲逛。你怎么还没被抓起来？
AID00098424	真是棒极了——本尼跑路，我留下来收拾烂摊子。你有啥事吗，小子？
AID00098425	嘿，宝贝，见到你很高兴。有您这样的名人光临，小店真是倍感荣幸。
AID00098426	必须承认，宝贝，看见你在这儿出没，实在教我吃惊。毕竟你在这里不是什么受欢迎的人物。
AID00098427	小子，你居然还敢回来，最好给我们个理由，否则赏你一梭子。快说。
AID00098428	天啊。本尼死了，我得收拾残局了。真是一个时代的落幕啊。
AID00098429	你好,宝贝！欢迎光临九重天！需要我为您做什么？
AID00098430	嘿，哥们！欢迎光临九重天，今天想来点什么？
AID00098431	你成功让那些黑手党叛徒伏法了，干得漂亮。我从来就没相信过他们。
AID00098432	我突然听说，豪斯先生已经不是维加斯的老大了？宝贝，这可不妙啊。
AID00098433	我的小小鸟儿们说，你去了幸运38——那地方可没有几个人去过。
AID00098434	嘿，我心爱的小美女，最近过得还好吗？愿意赏我一个吻吗？
AID00098435	舍不得走是吗，宝贝？我就知道。需要我做点什么？
AID00098436	你还需要什么？
AID00098437	你为一切划上了圆满的句号，真是太精彩了！我是打心眼里这么认为的！
AID00098438	有件事，我本是打算等咱们胜利以后才告诉你的，不过，呃……
AID00098439	我在豪斯先生的数据库里找到了一节代码片段，它们可以，呃，重塑我的人格！简单来说就是，让我变得更加自信！
AID00098440	我决定部署这段代码，这要花上一段时间，期间我会一直处于离线状态。不过别担心，一切都会没事的！
AID00098441	我已经升级了电子保安的目标参数，它们知道该做什么！维加斯会得到保护的！
AID00098442	那么，先失陪了，我要去离线升级了，祝……祝我们后会有期！
