DOD00000001	Howdy-do. Nice weather today.
DOD00000053	You come looking for the biggest dick in the Mojave, sweetheart? Well you're in luck. Come sit on Dalton's lap and let him tell you all about it.
DOD00000054	You again? The fuck you want now?
DOD00000055	No sudden movements, friend. Keep it calm.
DOD00000056	The fuck you want with me?
DOD00000057	Yeah, yeah? What?
DOD00000058	What's up?
DOD00000059	Hold up hold up hold up. I can see you got something to say, but you have gotta get a load of this. I fucking love it.
DOD00000060	Remember Adam Burke, the child-raper that you got arrested? Hallelujah, he's a fucking corpse!
DOD00000061	You Eddie's friend? Yeah, I guess you must be.
DOD00000062	He left to meet with someone named Blake. He wanted me to let you know that the sit-down would be in that old train station near the REPCONN HQ.
DOD00000063	You Eddie's friend? Wait, hold on, I recognize you...
DOD00000064	Yeah, you're the one that Rivas patched in, aren't you? Well, I'm glad Eddie isn't trusting all this with some random outsider.
DOD00000065	He left to meet with someone named Blake. He wanted me to let you know that the sit-down would be in that old train station near the REPCONN HQ.
DOD00000066	Yo.
DOD00000067	So, I heard you were looking for me.
DOD00000068	I also heard that... I got caught and arrested, and I'm being interrogated viciously, for any kind of covert intelligence I might be sitting on.
DOD00000069	It's a good story. They got somebody with my name, that's true.
DOD00000070	I'm not asking you for anything. See, before whoever done Hurst in... Dealt with him...
DOD00000071	He managed to make a little deposit in one of my dead drops.
DOD00000072	I know what you two were investigating. I think you were onto something interesting, oh yeah.
DOD00000073	I don't want anything from you, and I'm not offering you anything. I just thought I'd let you know. I'm aware of things, and I'm still out there.
DOD00000074	I'll be in touch. I can promise you that.
DOD00000075	The fuck you want? I could... I could kick your ass, man. Just, not right now... Gotta piss first.
DOD00000076	Hey sweetheart, looking for love? I was banging a hooker once, then I blacked out and pissed myself. Sit on my lap and I'll tell you about it.
DOD00000077	What?
DOD00000078	Leave me alone. I just wanna sleep forever.
DOD00000079	Delivery.
DOD00000080	Hey, if you're hearing this line, it means I bugged out. Again. Because I'm a glitchy cunt and I refuse to just fucking function. Please kill me!
DOD00000081	What?
DOD00000082	Oh, thank god you came! I was worried y'all might not have got my message!
DOD00000083	I don't know how else to say this, so I'll just be blunt. A little back, some piece-of-shit murderer came to my family's ranch.
DOD00000084	It was a massacre. My kin, they tried to defend their land, but one by one, they died. Murdered, for no reason I can figure.
DOD00000085	But now you're here, we finally have a chance to respond to this crime. My family will be avenged, and I'll see justice done!
DOD00000086	Oh, shit, I done forgot to introduce myself. Sorry about that.
DOD00000087	My name is Scooter Bodean, and this here is for my pappy. Come on out, boys!
DOD00000088	Howdy pardner! I got a letter for you!
DOD00000089	Yeah, what? Not meaning to be rude, but I'm pretty busy here.
DOD00000090	Yep.
DOD00000091	And you're back.
DOD00000092	What's up?
DOD00000093	You're back. Where's Luisa?
DOD00000094	Oh, good. Another stranger's come barging into my home, uninvited and unannounced.
DOD00000095	What do you want? And if you say "revenge", I got a ditch out back full of the bones of the last hundred idiots to gimme that answer.
DOD00000096	You're back, and somehow I haven't dropped dead since last time we spoke.
DOD00000097	You went through a lot of trouble to get in here. So, persistent scavenger, or are you here for me?
DOD00000098	...
DOD00000099	Hello and welcome to Path of Light Ministries, my name is Monica, what can I do for you today?
DOD00000100	Hello, welcome back. How can I help you?
DOD00000101	What?
DOD00000102	I have to admit, I didn't think I'd be seeing you again. You cut through my entire security team, Carter included.
DOD00000103	It's impressive, I'll grant you. But, all you've managed to do is piss me off. Do you know what I did to the last man to piss me off?
DOD00000104	I threw him, and his buddy, into a metal shipping crate, out in the middle of the desert.
DOD00000105	I sealed it up tight, with just a little space for air to seep in. Suffocation was too quick. No, I let them cook and starve in that thing.
DOD00000106	Can you imagine? Day after day, locked in a tiny, dark, sweltering little space... It's an agonizing death. That's why I enjoy it.
DOD00000107	That is the fate of those who test my resolve. You may as well shoot yourself, because what I have planned for you is far worse.
DOD00000108	...
DOD00000109	I'm destroying evidence! If you must kill me, at least make sure this room is completely purged!
DOD00000110	Wait a moment... You're not one of Brecker's... You're that courier!
DOD00000111	They all want you dead. I am collateral, you're the primary target. They'd never kill the man who cut you down!
DOD00000112	Praise him, your death shall redeem me, your blood shall purify me. Die with me down here, little moth.
DOD00000113	Goddamn hydraulic doors. I keep telling people, just tear these things out, replace 'em with normal doors. Gotta be the third time this month...
DOD00000114	Yes, can I help you with something?
DOD00000115	Hello, hello! I'm Reverend Austin Burke, it's a pleasure to meet you. Please, have a seat.
DOD00000116	I've heard a great deal about you. Seems a great many people in the Mojave owe you a debt. Now, what is it I can do for you today?
DOD00000117	Good to see you again. What can I do for you?
DOD00000118	I don't think you're supposed to be here. If you could see yourself out, please...?
DOD00000119	So, you're the oh-so-badass courier, huh? You've really screwed up this operation for us. Thanks for that, friend.
DOD00000120	There you are!
DOD00000121	Running around Powder Gang territory, bold as you please? Not entirely sure that's wise.
DOD00000122	That isn't a threat, mind you. I'm just saying, some of these guys are a touch unhinged. Keep your gun loaded, right?
DOD00000123	So, you need something, or what?
DOD00000124	Uh, no offense intended, but Powder Gang territory isn't a great place for a woman to be running around, all carefree and such.
DOD00000125	Lot of these guys haven't touched a woman since they first got locked up. Not me, mind you, but I'm charming.
DOD00000126	Some of 'em might see you as an invitation, alls I'm saying.
DOD00000127	Yeah?
DOD00000128	I'm on my way towards Freeside. If I can make it there without getting killed, I think I can do alright for myself.
DOD00000129	Pleasure to see you again.
DOD00000130	Ah, you again. Ready to surrender a small mountain of your cash over to me, in the promise of getting an even larger mountain back in the future?
DOD00000131	Price is ten grand. Return investment is gargantuan and impressive, an aspect it has in common with my johnson.
DOD00000132	Oh, hey, buddy, over here. Yeah, you. Right here.
DOD00000133	Yeah, great. Enjoying the casino? Maybe winning big, huh? Come in here for a break, spend some of your winnings on food and drink, yeah?
DOD00000134	Now, I see a person in a casino, I figure they must like making money, huh? Well, maybe not Gomorrah, in which case probably just like naked folks.
DOD00000135	Anyway, my original point: Money. Happens that I can make you and me rich, right? Partners style. How's that sound?
DOD00000136	Tread carefully.
DOD00000137	Never had much use for mines, myself.
DOD00000138	I'll remember that's there.
DOD00000139	...Is there a point to this, or...?
DOD00000140	What the fuck are you doing?
DOD00000141	Well, go ahead and pull the trigger if it'll make you feel better. I don't care, either way.
DOD00000142	I really don't care.
DOD00000143	Yep, always more work to do.
DOD00000144	Yep.
DOD00000145	Uh-huh.
DOD00000146	The fuck is so good about it?
DOD00000147	Goodbye.
DOD00000148	Sure, later.
DOD00000149	Take care of yourself, brother.
DOD00000150	Take care of yourself, sister.
DOD00000151	Yeah, yeah. Another time, sure.
DOD00000152	No doubt we'll speak later.
DOD00000153	I should go.
DOD00000154	Whatever.
DOD00000155	Yep. See you when I see you.
DOD00000156	Yeah yeah, get fucked.
DOD00000157	See ya!
DOD00000158	Alright, bye.
DOD00000159	Adios amigo.
DOD00000160	Adios.
DOD00000161	Have a nice day.
DOD00000162	And I don't suppose you would be willing to disembowel yourself, and save me the trouble. No? Guess we'll settle it the old fashioned way.
DOD00000163	I don't suppose I could convince you to see reason?
DOD00000164	I have better things to do, anyway.
DOD00000165	Good luck on your adventures. You'll be in my thoughts.
DOD00000166	Have a nice day.
DOD00000167	Adios. Keep an eye out for fiends. They're lurking around this area.
DOD00000168	I could make this quick and painless... But I won't.
DOD00000169	(Creepy chuckle)
DOD00000170	You're going to struggle? Fine.
DOD00000171	You're just another number to me.
DOD00000172	You died the moment I laid eyes on you.
DOD00000173	I do this for a living. What chance do you have?
DOD00000174	Kill them all.
DOD00000175	You've breathed your last.
DOD00000176	Die.
DOD00000177	Good kill.
DOD00000178	(creepy chuckle)
DOD00000179	Well done.
DOD00000180	Hmph.
DOD00000181	Frag out.
DOD00000182	Careful.
DOD00000183	Heads up.
DOD00000184	They must be getting desperate...
DOD00000185	I'll kill you all.
DOD00000186	(Creepy chuckle)
DOD00000187	No mercy.
DOD00000188	You're already dead.
DOD00000189	Are you going to struggle? It won't help.
DOD00000190	I do this for a living, you know.
DOD00000191	You can scream if you like. It won't make any difference.
DOD00000192	Kill them all.
DOD00000193	This will get bloody. Heh.
DOD00000194	Target spotted.
DOD00000195	...
DOD00000196	Target spotted.
DOD00000197	In my sights.
DOD00000198	Dead man walking.
DOD00000199	Eyes sharp.
DOD00000200	Someone is trying to sneak up on us. Pfft.
DOD00000201	Weapons ready.
DOD00000202	Safeties off.
DOD00000203	Hmm.
DOD00000204	Relax... For the moment.
DOD00000205	Scared them off. That's why I prefer attacking from shadows.
DOD00000206	Targets silenced.
DOD00000207	Targets silenced.
DOD00000208	I feel all warm and fuzzy inside.
DOD00000209	Hm. You won't be remembered.
DOD00000210	If I carved a notch for each kill, there would be nothing left of my poor blade.
DOD00000211	You deserved worse.
DOD00000212	How disappointing.
DOD00000213	Was that all?
DOD00000214	Targets eliminated.
DOD00000215	You think running will save you? Heh.
DOD00000216	You fucking coward.
DOD00000217	Run, hide, beg... Nothing will save you.
DOD00000218	I can smell your fear...
DOD00000219	You'll never escape me.
DOD00000220	My face will be the last thing you ever see.
DOD00000221	...
DOD00000222	...Pathetic.
DOD00000223	Nobody can hide from me.
DOD00000224	This may hurt more than you expected. Price of wasting my time.
DOD00000225	(Ominous chuckle)
DOD00000226	I always kill my targets.
DOD00000227	Good, let's continue.
DOD00000228	Don't get distracted.
DOD00000229	Show yourself.
DOD00000230	We're not alone.
DOD00000231	They think they can hide from death. Cute.
DOD00000232	Ugh. Craven.
DOD00000233	I can make your end quick and painless. If I have to search for you... I won't.
DOD00000234	I don't leave survivors. May as well stop wasting time.
DOD00000235	There aren't many things I care enough to hate... But cowards are one of them.
DOD00000236	Make me search much longer, and I'll pay your family a visit. Free of charge.
DOD00000237	Heh.
DOD00000238	Wherever you're going, I've ensured you won't want for company.
DOD00000239	I had to wait three days for a target to walk by his window, once.
DOD00000240	Understood.
DOD00000241	If you say so.
DOD00000242	Alright.
DOD00000243	If you'd like.
DOD00000244	I think I have everything I need, but, very well.
DOD00000245	Understood.
DOD00000246	I make most of my kills at a distance anyway.
DOD00000247	Simple enough.
DOD00000248	Of course.
DOD00000249	I wasn't aware I was such a riveting conversationalist.
DOD00000250	I'm not much for wandering anyway.
DOD00000251	I'll keep close.
DOD00000252	At your discretion.
DOD00000253	That would be my preference, as well.
DOD00000254	Blades are well and good, but I prefer to kill efficiently, all the same.
DOD00000255	Roger that.
DOD00000256	...I'm... Already using a gun, thank you.
DOD00000257	Simple enough. I'm quite handy with a blade.
DOD00000258	If that's your preference, I can adapt.
DOD00000259	I'd be a poor assassin if I could only use a gun.
DOD00000260	I'm... already using one.
DOD00000261	We can speak for as long as you'd like, though I'm not sure why you would want to speak with me for so long.
DOD00000262	Understood.
DOD00000263	That can be done.
DOD00000264	You'll find I'm quite adaptable. What would you like to discuss?
DOD00000265	After you.
DOD00000266	Roger that.
DOD00000267	Are you certain?
DOD00000268	I'm at your command.
DOD00000269	As you say.
DOD00000270	Good, it's easier to keep you alive if I'm nearby.
DOD00000271	Don't play with my emotions like that.
DOD00000272	Very well. I'll likely be at my Freeside safehouse, if you require my services again.
DOD00000273	Hmm. I'll be waiting at my Freeside safehouse, in that case. You won't have me waiting for too long, I hope.
DOD00000274	If anyone recognizes the utility of solo ops, it's me. I'll be at my safehouse in Freeside, then.
DOD00000275	Very well.
DOD00000276	Understood.
DOD00000277	I'm not an impatient killer. I can wait as long as is necessary.
DOD00000278	Simple enough. They'll all die, one way or another.
DOD00000279	That's what I do best.
DOD00000280	Killing them before they even know I'm there is my stock and trade.
DOD00000281	Interesting... Very well, I'll be there.
DOD00000282	Well, it won't be overly difficult to find my way there, at least. I'll be waiting.
DOD00000283	It lacks subtlety, but I'll concede that it's very defensible. I'll be waiting.
DOD00000284	Hmm, seems this one can fight.
DOD00000285	(Calm breath)
DOD00000286	Hmm, bleeding badly. Usually the other way around.
DOD00000287	Seems I'm really taking my time with you.
DOD00000288	I'm not impressed.
DOD00000289	Some stims would be appreciated.
DOD00000290	This is why I prefer stealth killing.
DOD00000291	Seems I made a mistake.
DOD00000292	That was careless.
DOD00000293	What's wrong with me?
DOD00000294	Did you complete the mission?
DOD00000295	So you drew some blood. You're hardly the first.
DOD00000296	I don't owe you a quick death.
DOD00000297	If I actually considered you a threat, you'd already be dead.
DOD00000298	So, you'll suffer before you die.
DOD00000299	You're just prolonging your own suffering.
DOD00000300	My weapon broke. Is this what grief feels like?
DOD00000301	Shoddy equipment. Don't know why I bother...
DOD00000302	Good thing I have a spare. Several, in fact.
DOD00000303	That was the last.
DOD00000304	As if that's my only method of killing. Heh.
DOD00000305	Switching weapons.
DOD00000306	I know how to take a body apart, seems I can put it back together, too.
DOD00000307	I know someone who's going to need this more than me...
DOD00000308	First aid, my true calling.
DOD00000309	Slowing me down will only make your death more agonizing.
DOD00000310	May have a new scar. Lucky me.
DOD00000311	That's been broken before. I lived... You won't.
DOD00000312	That's a bit better.
DOD00000313	Thanks.
DOD00000314	Ah, syringes, my old friend.
DOD00000315	You realize I'm an assassin, not a pack animal, yes?
DOD00000316	Don't be ridiculous.
DOD00000317	To be clear, I'm here to kill your enemies, not cart your junk collection around.
DOD00000318	Hmm.
DOD00000319	In my element.
DOD00000320	Heh.
DOD00000321	Not a problem. So, what can I do for you?
DOD00000322	Thanks for the warning.
DOD00000323	I don't doubt it. All the same, there's something to be said for avoiding danger all together, when it can be helped.
DOD00000324	It's your ass, literally, that's all. Anyway, you need something?
DOD00000325	I can handle myself.
DOD00000326	You know what? I think you're fine without my warnings. I'll reserve my pity for anyone that gets in your way, I think.
DOD00000327	Now, with the understanding that I have no intentions of provoking you, uh, is there anything you need?
DOD00000328	They're free to try, and I'm free to mount their head on a pike if they do.
DOD00000329	'Cause I've got more than two brain cells to rub together, unlike Eddie and his boys.
DOD00000330	Just because the NCR hasn't wiped that place off the map yet doesn't mean they won't later.
DOD00000331	When that happens, I don't intend to get my ass caught in the crossfire, you know?
DOD00000332	Why are you hanging out here, instead of back at the prison?
DOD00000333	You serious? I had that place pegged as a deathtrap as soon as the riot was over. I told 'em, y'know, get out while you still can.
DOD00000334	Now I've been proven right, and you think I should waltz back on over there? I'd rather not, thanks.
DOD00000335	Why are you hanging out here, instead of back at the prison?
DOD00000336	Am I a Powder Ganger, though? Sure, I'm an escaped con, I got this nifty prison shirt on, and some dynamite in my pocket, but...
DOD00000337	Thing is, I'm not interested in robbing people, or blowing people up, or any of that other shit. So, I'm not sure I am a Powder Ganger, not really.
DOD00000338	You seem pretty relaxed, for a Powder Ganger.
DOD00000339	Well, to be fair, overpopulation was the second biggest cause of the riot in the first place. The biggest was that we had dynamite.
DOD00000340	But, yeah, you're not wrong. Thing is, random wasteland toughs are drifting in and joining up, even though they haven't done any time.
DOD00000341	They see it as indistinguishable from any other gang, and they're not exactly wrong.
DOD00000342	It's like how the Khans used to be a contingent of angry vaulters, but over time, new blood joined, founding members died, now it's something new.
DOD00000343	Give it enough time, Powder Gang will stop being escaped cons, and it'll turn into a big gang that likes bombs and the color blue.
DOD00000344	Not that they'll last that long. They're poorly armed, surrounded by enemies on all sides, and no real unification. Oh well, they won't be missed.
DOD00000345	NCRCF wasn't that big, but it seems like there's no shortage of Powder Gangers. What's up with that?
DOD00000346	Ah, well, that's not a story that reflects especially well on me, you understand?
DOD00000347	Not in the sense that I'm some kinda dangerous lunatic, but, well, it's stupid.
DOD00000348	So, I was seeing this girl, right? And she was... Hmm, how to put this delicately...? "Accustomed to a certain level of affluence in her life."
DOD00000349	I wanted to keep her around, so to finance her preferred lifestyle, I may have, you know, sold things that I had no right to, yes?
DOD00000350	And when someone noticed they were bereft of their earthly possessions, they pointed out "Hey, Massey suddenly has a lot of cash for a dirt farmer".
DOD00000351	Told you, it was stupid and makes me look bad. Still, I'd rather look like an idiot than a psychopath like my cellmate, Darby.
DOD00000352	So, what were you in jail for?
DOD00000353	He shouldn't have even been in prison. Seems to me that the noose was invented for men like him.
DOD00000354	He was locked up for murdering his family. I know this, because he liked to brag about it.
DOD00000355	He talked about how he beat his son to death with a length of pipe, same way normal people would talk about the goddamn weather.
DOD00000356	One night, no reason at all, he just stares me down. Says: "Want to know something funny? I know where he lives, the sheriff that caught me."
DOD00000357	I don't much like the notion that he's alive out there, but I figure he must be. Took off with a little gang and headed west.
DOD00000358	Tell me about this cellmate of yours.
DOD00000359	I'm chief of security around here. Someone has to keep raiders out of here, and that's me.
DOD00000360	You'd think the reverend would rely on God for protection. Instead, he asked me. That should tell you all you need to know.
DOD00000361	What do you do here?
DOD00000362	I would be happy to answer however I can.
DOD00000363	I have some questions.
DOD00000364	Well, what you're looking at right now is only the New Vegas branch of our organization. It was only established in '78, you see.
DOD00000365	Our organization was founded to assist orphans and refugees with nowhere else to go, to assist and empower communities in both body and spirit.
DOD00000366	We do a lot of outreach to poorer areas, where people may not have access to all the amenities of Shady Sands.
DOD00000367	While we do coordinate some charitable efforts alongside the Followers of the Apocalypse, we make an effort to go on our own path.
DOD00000368	The Followers do good work, but they tend to focus on science and medicine. We think it is vital to provide evangelical alternatives, when possible.
DOD00000369	Tell me about Path of Light.
DOD00000370	The organization was founded by the Reverend Austin Burke, back in California in 2250.
DOD00000371	The Burkes have always been a very wealthy and influential family, back West. The Reverend chose to put his resources forward to help his community.
DOD00000372	His cousin is actually a member of the Senate, though we try to leave politics to the politicians.
DOD00000373	After hearing about the plight facing the poor people of the Mojave, Reverend Burke wasted no time in establishing this branch.
DOD00000374	He has made it very clear that he will stay on as the administrator for this region, until it is fully integrated into the NCR.
DOD00000375	How did the ministry come about?
DOD00000376	I'm Monica Nelson. I've been with the program for most of my life.
DOD00000377	The ministries make it a priority to take in orphans, like myself, and provide food, safety, and education.
DOD00000378	I could have left after I graduated, but I felt I owed them a debt, so I stayed on.
DOD00000379	With the Mojave in the state that it is, it needs all the help we can give. I'm very proud to be a part of that.
DOD00000380	And who, exactly, are you?
DOD00000381	I'm sorry, I'm afraid he's quite busy at the moment. If you'd like to try again later, he may or may not be available.
DOD00000382	I need to speak with Reverend Burke. It's important.
DOD00000383	One moment, let me see if he's available.
DOD00000384	...
DOD00000385	Yes, he's available at the moment. I'll unlock the door for you. You can find him in his office, in the door to my left.
DOD00000386	I need to speak with Reverend Burke. It's important.
DOD00000387	Ahh, you're referring to that business with the senator's son, yes?
DOD00000388	That was very... unfortunate.
DOD00000389	However, that had nothing to do with our ministries, or really any part of the Burke family, beyond Adam himself.
DOD00000390	It's not really fair to the Reverend, and his history of philanthropy should speak for itself. Was there anything else?
DOD00000391	The Burke family has been in the news lately. Don't suppose the Reverend has any insight?
DOD00000392	Name's Ryan. O'Neill. I'm with the Westside militia, if the fact that I'm defending their perimeter wasn't clear enough about that.
DOD00000393	Who are you?
DOD00000394	Me? Why, I'm the funniest man in Westside. Everyone looks at me, they see a funny joke and they just laugh and fucking laugh.
DOD00000395	Shit, ask my wife. She married me for a laugh, and she sucks fat cocks for a handful of caps. What a fucking inspiration.
DOD00000396	I can do magic, too. Gimme booze and I'll make that shit disappear in an instant, motherfucker.
DOD00000397	Who are you?
DOD00000398	Of course I don't mind you asking. Why, I'm only here to relive my horrible past for the amusement of you wretched cunts.
DOD00000399	I told him a thousand times, don't go past the goddamn wall without supervision. So what does he do as soon as he gets the chance? Of fucking course.
DOD00000400	Not like he was the first kid to get shot to shit by Fiends. And his fucking bitch of a mother...
DOD00000401	She fucking blamed me, said it was all my fucking fault and that was reason enough to leave me. She was just looking for an excuse.
DOD00000402	She was selling her bony ass to anyone with two caps to scrape together. Sure, blame me for what happened. At least I was fucking there.
DOD00000403	Where was she when our firstborn was getting murdered, huh? Sucking cock for cash. But I'm the only one at fault, huh?
DOD00000404	Well, fuck her, fuck her fucking clients, fuck this goddamn shithole slum of a fucking town, fuck the Fiends, fuck their victims, and fuck you too.
DOD00000405	Now get the fuck out of my face, and don't ever fucking ask me about this shit again.
DOD00000406	What happened to your son, if you don't mind my asking?
DOD00000407	What, is that supposed to slap me back into giving a fuck? Like I've been dazed and confused this whole time?
DOD00000408	I know what I am, motherfucker. I'm wide fucking awake. See, I'm a drunken fucking degenerate. I was a shit dad and a shit husband.
DOD00000409	Jessie's brother is dead, her mother is a fucking whore, her hometown is a gutter where all the junkies, sluts, slavers, and psychos accumulate.
DOD00000410	The world is ugly and cruel. Every day, I wake up and pray to god that this one will be the last.
DOD00000411	You and Ryan and your type... You stand there on the edge, staring at the worst shit that life has to offer, and you tell yourself "it's not so bad."
DOD00000412	So don't fucking ask me what my problem is, when you're the motherfucker deluding yourself about how things are.
DOD00000413	What's your problem? This is your daughter we're talking about, and you don't give a shit about her.
DOD00000414	I drink as much as I can, I get in fights, sometimes I manage to scrounge up enough to get a cheap hooker.
DOD00000415	That's it. Maybe you're all special enough to have things worth noting in your life, but me, I got fuckall.
DOD00000416	So, what do you do around here?
DOD00000417	Not once in my entire fucking life.
DOD00000418	Why the fuck would I ever volunteer to help defend these fucking ungrateful rat-bastards?
DOD00000419	In case you haven't noticed, I fucking hate this place, and I fucking hate these people. Fuck 'em all.
DOD00000420	Have you ever considered joining the militia?
DOD00000421	Easy. I've killed a lot of human garbage in my day, so when you get one name that stands out above all the rest, it'll stick with you.
DOD00000422	This was about 40 years back. Got a contract on some asshole named Warren. Outlaw ringleader, the usual type of scumbag.
DOD00000423	Good place to start looking is home, so I head to his place, find his wife. But she don't wanna open the door and let me in.
DOD00000424	Okay, easy enough, I figure. She's sheltering his ass. So, I kick in the door, bitch gets thrown off her feet, whatever.
DOD00000425	That house... It was all cages and cells. Turns out Warren's stint as a fugitive involved cutting his wife off. No more cash, no more support.
DOD00000426	So, she gets the brilliant idea to turn into a real humanitarian. Started offering room and board to refugees, orphans, addicts... Anyone weak.
DOD00000427	This evil cunt started a slaving ring the second her man stopped funding her ass. And she seemed... proud. Like it was real quick thinking.
DOD00000428	I disemboweled that evil bitch right then and there, then I sat on the couch and watched her bleed out, just to be sure.
DOD00000429	So, there you go. Worst person I ever dealt with, and she weren't even my target.
DOD00000430	Who's the worst person you ever took on?
DOD00000431	Oh, yeah, eventually. He was cowering up near Mesquite. Had us a nice little Mexican standoff, 'til I told him what his bitch wife did.
DOD00000432	He was stunned, guess he still had an ounce of humanity, so that news pretty much broke his spirit right there.
DOD00000433	He put his gun down, and I (euphemism for killing) fulfilled my contract, and that was the end of that.
DOD00000434	Did you ever catch up to Warren?
DOD00000435	Okay, shoot.
DOD00000436	I had other questions.
DOD00000437	Men specific, or are you generalizing? Either way, it's a damn high number.
DOD00000438	More men than women, for sure. Although, the gap between those two numbers is narrower than you might expect.
DOD00000439	Despite how many of 'em are rapers, seems like most outlaw bands aren't too discriminatory with their hiring policies. Weird, but whatever.
DOD00000440	As to your original question... Fuck if I know. Number's too high to keep track of, and that was before my decrepit ass started going senile.
DOD00000441	How many men have you killed?
DOD00000442	Shit, I got him into this business. Taught him how to operate, didn't I? I was in my prime and he was just getting started, so he wanted advice.
DOD00000443	He was a bit arrogant. Always smirking, like he knew something we didn't. Still, boy was a natural shootist, and pretty good with a blade.
DOD00000444	He always had a bit of ice in his blood, I recall. Some folks would go out of their way to bring their targets alive. Caleb would only ask once.
DOD00000445	Wasn't too surprised with the direction he went, after what happened to him. Everyone has a breaking point, and he wasn't the suicidal type.
DOD00000446	What can you tell me about Alquist?
DOD00000447	He had a wife; Jenny. Real pretty girl, big brown eyes. Quick, too. She was about as sharp as they come, was easy to see.
DOD00000448	Before too long, they had a daughter, too. Problem was, well... Like I said, he was arrogant. He liked to show Jenny off, flaunt how good he had it.
DOD00000449	You get yourself into the murder-for-hire trade, eventually someone will come looking for payback, as Caleb learned to his sorrow.
DOD00000450	A couple slavers he made destitute came calling. Shot up his home. He didn't get hit, but Jenny died in his arms.
DOD00000451	He buried her, then he buried the slavers. Then he said he was in no position to raise a kid, gave his girl to his brother, after I refused.
DOD00000452	After that, I stopped seeing him around much. Got himself a reputation for taking high-risk jobs with ruthless efficiency.
DOD00000453	I know that shit that went down in Brighton shocked quite a few people, but I saw the writing on the wall pretty much as soon as Jenny died.
DOD00000454	What do you mean? What happened to Alquist?
DOD00000455	Eh, he said he didn't want her to be hurt by his work, like her ma was. Said he was nothing more than a killer, weren't fit to raise that girl.
DOD00000456	I'm sure he'd still say so if you asked him, but I think keeping her around hurt him too much. She was a constant reminder of his loss, you know?
DOD00000457	See, that poor girl was the spitting image of her mother.
DOD00000458	Why did Alquist abandon his daughter like that?
DOD00000459	Joe? He was an odd one, I'll say that much. Too mercurial to be a professional, and too good at his job to be anything else.
DOD00000460	Man sure was angry, that's for sure. He could break the bank at every casino on the Strip, and still find something to be irritable about.
