GID00086809	Trail Log 9 of 43: Spider - Day 3
GID00086824	As for the rest fuck 'em all. JD comes across all mean and nasty but I could take him down if I wanted, he don't frighten me. As for that smart ass Pinky he makes me want to puke. Thinks he knows everything, well, you didn't know about this route, did you asshole?
GID00086825	Trail Log 13 of 43: Max - Day 5
GID00086826	I'm surprised we got past those raiders without a shot fired. It was a stroke of luck that Finger and Suzy knew one of them and organized passage and smart of JD to go through at dawn rather than the arranged time. By the time those doped up idiots had got themselves together we were already marching through and the look on that bitch in charge when JD thanked her for letting us through was priceless. There was fuck all she could do about us and she knew it, especially as JD was cradling 'Diplomacy' at the time. He dropped her some caps anyway. To oil the wheels and help her save face, in case we come back this way, he said.
GID00086827	I'm not saying they would have bushwhacked us as we went through but judging by all the crap lying around we wouldn't have been the first. Not sure if Finger or Suzy was in on it or not, JD sure kept them close.
GID00086828	Trail Log 14 of 43: Pinky - Day 5
GID00086829	I thought Ezra had lost it when I saw him in Westside. But he managed to sell us a skanky old map, Spider a Vault and Jason a treasure stash. You have to credit the old bastard, he's still got the touch when he's sober.
GID00086830	I wonder which of these are actually the real thing? I grilled him on it, as I did him some favors in the past.
GID00086831	I'll buy into the map, but he said to forget the vault. Why sell it to Spider and then tell me that? The best lies always have a veneer of truth but he seemed strangely reluctant to go into details.
GID00086832	I seriously doubt we are the first he has sold this to as well.
GID00086833	Trail Log 15 of 43: Spider - Day 5
GID00086834	What a night that was. I got up on the bridge and headed east. I ended up at some weird industrial place that was full of Super Mutants! If I hadn't salvaged those stealth boys I would have been fucked. I didn't stop, I kept on through the night as I need to catch up with the rest, but Jesus, what a journey. 
GID00086835	I managed to get out in the morning and not a moment too soon. I heard screaming coming back from the quarry, sounds like they have caught someone. I wasn't going to hang around so I pushed on through the next tunnel and ended up staring at a fucking Robot on the other side. Just as well I still had my copy of the map, it had the override code written on it. Boy, did I need that one.
GID00086836	I had a quick look at the road and it's blocked, so I guess it's another tunnel but I'm too strung out to carry on. I found this camp and crashed, my new robot friend can stand sentry for me.
GID00086837	Trail Log 16 of 43: Jack - Day 6
GID00086838	I gotta get out of here. Leave Bernie, he's fucked.
GID00086839	One of those green freaks told him to shut up so he gave it the finger and shouted 'eat me'. That's a really stupid thing to say to a super mutant. He was lucky that thing wasn't hungry and only took his arm for a snack.
GID00086840	I wish he would shut the fuck up and stop whining, he's got another one. Don't think he is going last much longer anyway, the mutant used a chainsaw and it made a hell of a mess. Don't think it was very sharp.
GID00086841	I need to get myself out and he would only slow me down. It was his fault we are in this mess anyway, he's the one who whacked Spider and through him off a cliff.
GID00086842	Need to get back to the others, tell them about Bernie, they will let me back. If I can just get out of here, I can work out where they are. Wait, that's an idea, maybe I can trade them in, tell the mutants where they are in exchange for them letting me go. That's a plan.
GID00086843	I think one is coming back, OK, let's put this plan to work.
GID00086844	Trail Log 17 of 43: Dr. Fent's Work Notes
GID00086845	One of the prisoners has offered some of his friends as part of a deal. I thought this was very good, so as I seem to keep losing things, I have decided to keep him in a box in case he comes up with another good deal.
GID00086846	As a gesture of goodwill I will also give his friend his arm back. Well, another arm as I eaten the first one. Fortunately I have plenty of spare parts.
GID00086847	Attaching an arm requires delicate micro surgery so I used my best blow torch, although the patient seemed to object. On considering his objections I agreed that we should go for the full upgrade complete with an extra arm and power steering and I also have a spare combustion engine. I think he agreed judging by the look on his face when I showed it to him. He simply asked where I was going to put it, so I told him.
GID00086848	The procedure did not start well as I couldn't find his gear box, despite having a good rummage around. After this I decided to give the patient a local anaesthetic. I knew that battery acid would come in useful.
GID00086849	I wonder if I can find any white wall tires? That would really cheer him up.
GID00086850	Trail Log 18 of 43: Linda - Day 6
GID00086851	I think I'm really losing it, I've used my last Jet, and I have to get another fix. 
GID00086852	I pulled sentry last night and I always hate that. Left me sat on a bar stool looking back the way we came, with one of the Copes, Joseph I think, guarding the other way. Those two worry me. I'm no shrink, but they are far too tightly wrapped. 
GID00086853	It was the early hours and I was singing to myself to keep awake. Fall asleep on sentry and JD would freak and he has a real nasty side to him. I always hear things in the dark anyway, but I swear I heard Spider calling to me. I'm not sure if I was asleep and dreaming or it was the drugs, or lack off, but I just ran back to the diner and kept watch from there. 
GID00086854	Only Beth saw me. She gave me a nasty look but she won't mention it. She understands, she knows what I'm going through.
GID00086855	I shouldn't have come, I should have stayed with Daniel, I really feel strung out. I'll have a word with JD, we have stuff that will put me just right.
GID00086856	Trail Log 19 of 43: Spider - Day 6
GID00086857	I'm finished.
GID00086858	Didn't know this place was full of ghouls until it was too late. Tried to sneak through but my last stealth boy gave up on me just when I needed it. I managed to escape them up here, but they can sense I'm still around, I can hear them looking.
GID00086859	I've tried to reach that grill to get out, but I just can't. There is something on it and I can't move it and I'm screwed. Ironic, I've screwed so many I guess it's my turn! Shit, shit, shit.
GID00086860	Are they in the corridor below?
GID00086861	I took a hit from one of them, a dose of radiation as well and I have no chem's so I'm starting to fade fast. My mind is starting to wander, I actually thought I heard Linda singing a moment ago. I even called out. The only thing that attracted was the ghouls.
GID00086862	I can hear them below. Fuck. I've got 5 rounds left. That's four of them I can take with me. Fuck.
GID00086863	Never could get near Bethany. What was her problem?
GID00086864	I think they are on the stairs.
GID00086865	How the fuck did I end up here? It's not fair, I never meant to hurt people, I was just having fun. Wasn't my fault that hooker believed me when I said I would get her out, I just didn't have the money to pay her. Not my fault they caught her with her bags packed...
GID00086866	They are at the top. I can see one.
GID00086867	Trail Log 20 of 43: JD - Day 7
GID00086868	Lost Suzy today. Sniper got her. No one saw it coming and she certainly didn't. She was probably stoned again, wandering off down the road like that. 
GID00086869	Joseph took down the Sniper as it didn't take him long to work out where he was, Joe's good like that. Not sure how the fucker got up there, Spencer wanted to go a loot the body but I told him to leave it, I don't want to waste time wandering around the mountains as there may be more of them and this is their turf.
GID00086870	It finished Finger, Suzy was the only real reason he was here. He just turned around and headed back, probably to those raiders at the bridge. I think he was still stewing about that incident, the fact I kept him in the dark about the move.
GID00086871	I let him go, I've had enough of junkies today. Linda's becoming a problem again, although I'll stick with her because she's useful. Finger would become a liability.
GID00086872	Trail Log 21 of 43: Jason - Day 7
GID00086873	Bastards, they think it's so funny. 10 caps, some moldy food and a single energy cell. I'm going to kill that fucking hobo.
GID00086874	Trail Log 22 of 43: Linda - Day 7
GID00086875	We have lost another. Nathan was killed when we clashed with some Viper gang as we were looking for the Vault, the two groups practically walked into each other.
GID00086876	It was pretty bloody and one sided as I think only one of them escaped but Nathan just got unlucky, it was just a single stray round. No one is even sure who fired it.
GID00086877	Oh shit, I think it was me. It was all so chaotic and quick and I have this really horrible feeling it could have come from me accidentally. I don't know, nothing's been said but there was nothing I could do for him, it was instant. The wound looks like a 10mm, that's what I carry.
GID00086878	Joseph took his body back to the church, says he needs to take care of him. Something about consecrated ground, a religious thing I think. No one tried to stop him. 
GID00086879	I really need another fix.
GID00086880	Trail Log 23 of 43: Joseph - Day 8
GID00086881	It's just you and me now, Nathan. The others have left and it doesn't surprise me. They don't understand. I told mother I would look after you and that's what I'm going to do. We are going to be fine, I'm not going to let anyone come near us, we are going to be OK.
GID00086882	Trail Log 24 of 43: Max - Day 8
GID00086883	We have had a quick scout around, there is a lot here still locked up. Was going to try and get in but JD said to hold off. Not sure why, but you don't argue with JD.
GID00086884	Beth managed to hack into the only working terminal. Couldn't get much out of it but it seems the security systems are still online and there is an awful lot of it just for a fucking train yard. Guess JD was right. 
GID00086885	I think the plan is to find a master terminal or a power source or something so we can shut the whole thing down.
GID00086886	Trail Log 25 of 43: JD - Day 9
GID00086887	Damn Pinky, he really pisses me off sometimes.
GID00086888	We found the Vault entrance! Vault 66. Still locked up tight. Result, now we just have to work out a way in. Yes that will be a tough one, a really tough one but the rewards could be huge. Then Pinky sticks his oar in.
GID00086889	He says leave it. Nothing good ever happened in a vault. Bad karma, conspiracy theory shit. Didn't give any specifics, rumors, stuff he has heard, fucking etc, etc...  And what did he mean about writing on the wall?
GID00086890	He's done this before.
GID00086891	And what sticks in my craw, what really fucking gets to me.... is that the old bastard is always right.
GID00086892	Trail Log 26 of 43: Beth - Day 9
GID00086893	Well that's really screwed it all up. JD decided to pull the plug and leave the Vault and go for Zion. Says the risks are too great.
GID00086894	Spencer lost it. Says he is crazy, it's the opportunity of a lifetime. And more importantly he is not giving up, he is staying with the vault and doesn't care what everyone else does.
GID00086895	All of us except Jason sided with JD, we have come this far and he has never let us down but even I am questioning this one. True, the security systems are still up and running and I haven't been able to get into them. But I'm sure some of the access gates can be opened, I just need to locate the electrical trip reset.
GID00086896	From what I've seen the Vault is still probably functional and might even be occupied. Could we not even try? JD says no, we are moving out. I'm taking some of the computer files with me anyway, maybe I can make sense of them later.
GID00086897	That's another two down, less than half of us left, the crew is breaking up.
GID00086898	Trail Log 27 of 43: Finger - Day 10
GID00086899	I'm back where I belong.
GID00086900	I was surprised to see Ris in this shit hole though, last time I saw her was in Vault 3. Maybe she pissed off Motor-Runner once too often. Anyway, she says I'm cool so the others have accepted me as they don't fuck with Ris.
GID00086901	I had enough of those other assholes anyway and JD never trusted me. Screw 'em.
GID00086902	Trail Log 28 of 43: Linda - Day 10
GID00086903	We talked to Joseph on the way out and he is staying is staying at the church. Those two were always strange but losing Nathan has pushed Joe over the edge, he has really lost it. He was quite aggressive with us.
GID00086904	Then again, maybe he knows.
GID00086905	Trail Log 29 of 43: Jason - Day 10
GID00086906	It seems we have been wandering around these tunnels for ages. We found this derelict service place and are camping here. We are not the first, someone has been here before us, nice of them to leave us this stuff. Talking of which, I sold my rebreather in Vegas and need another, I'll borrow Spencer's. He is out trying to find a way through these tunnels at the moment. He has a stealth boy as well, I'll borrow that too, I'm sure he won't mind.
GID00086907	Trail Log 30 of 43: Spencer - Day 11
GID00086908	I think Jason must be dead. On the way in through those damn tunnels one of the grills gave way and down he went. I managed to hang on to one of the pipes but Jason disappeared. I shouted down but could hear nothing.
GID00086909	I thought we were screwed when I came across that first service shaft, we were just lucky whoever was here before us left us a ladder which I managed to bridge the gap with. Jason asked what happened to him so I told him he had probably given up, which he seemed happy with. I really envied Jason sometimes, ignorance can be such a happy place. I reckon whoever it was is actually at the bottom of that shaft and now Jason is at the bottom of another. It's true what they say. Gravity really does suck.
GID00086910	I'll rest a while, then move on. And where the fuck is my rebreather? I might need that.
GID00086911	Trail Log 31 of 43: Spencer - Day 12
GID00086912	I exited out of some service hatch and into the Vault and it was all there and functioning! I told them! A fully functioning Vault! I checked the first rooms I came to, one was locked and the other, well, I can only assume raiders got here first. Fuck. It actually looked all a bit clinical for raiders but what other sick fuck would do this?
GID00086913	I managed to find my way up to this storage area, which wasn't easy as I must have lost my spare stealth boy down that shaft but then I came across those damn robots. I wasn't expecting them as I didn't think raiders used them but they got me. I managed to escape but I haven't got long, it doesn't hurt but I'm going cold. I guess JD was right about this place, but it must have been worth a shot. 
GID00086914	It's a fully functioning Vault and I got inside, yeah, that's me, the Vault expert. Guys, you should have trusted me. Together this would have worked.
GID00086915	Trail Log 32 of 43: Jason Corpse Note
GID00086916	You idiot Alan, I told you not to take too much. I liked that kid, he was one of my favorite blood groups and we could have strung him out for ages.
GID00086917	Anyway, see if you can find the kid's name, it was Jason I think, you know the Chef likes to give his dishes a name but tell him no curry this time. I want to be able to taste this one 'cause 'Melvin Madras' burnt my ass off. And see if there is any Chianti left.
GID00086918	Trail Log 33 of 43: Linda - Day 13
GID00086919	I'm still feeling rough, I've had a word with that trader to get me some stuff. He was a bit reluctant at first but I hit him with a load of medical jargon and won him around.
GID00086920	He was probably wondering why I didn't go to the Followers doctor, but Louise would probably recognize me and I couldn't deal with that. 
GID00086921	The others seem happy enough but I'm sure they are talking about me and the shooting back at the train yard. Deciding what to do.
GID00086922	Trail Log 34 of 43: Beth - Day 14
GID00086923	We walked into 'Rita's Cafe' 2 days ago and it's been a welcome break. A chance to rest, trade and re-supply.
GID00086924	From talking to the locals we are not that far off from Zion Park now, although it doesn't promise to be an easy journey. We have all talked about it and have decided to carry on, even though this 'unknown' road has turned out to be anything but. Everyone was in favor apart from Linda who doesn't seem to care one way or the other. She has been very quiet just recently.
GID00086925	We also asked about the Vault but nobody seems to know anything. JD reckons they are lying and actually know a whole lot about it, but for some reason don't want admit it. I wonder how Spencer and Jason are doing?
GID00086926	Talking of which, I've finally made some head way with one of those deleted computer files I dug out at the train yard. Its taken me a while because I assumed they were Vault related, but they were not. So what is Stone Case?  
GID00086927	We were planning to set out this morning, but we are running late so I'm not sure how far we will get today.
GID00086928	Trail Log 35 of 43: Pinky - Day 15
GID00086929	Linda died today. She had disappeared during the night and we found her this morning.
GID00086930	There were no wounds but she was lying face down in a pool of her own puke, surrounded by empty jet inhalers so it's a fair bet it was chem related.
GID00086931	Either an overdose or a bad chem batch, I'm not sure which. She must have got them from Rita's Cafe as JD has been keeping the heavy duty stuff himself.
GID00086932	This has hit us hard. Linda was popular when she was clean and a good medic, I guess she just had too many demons, but I really never thought she was this far gone. We should never have brought her.
GID00086933	And then there were four.
GID00086934	Trail Log 36 of 43: Max - Day 15
GID00086935	So this is Zion? Made good time today despite some Cazadores. We decide to camp at this old 'ranger' station. Never heard of a park ranger before, I wonder if they were as mean as NCR Rangers? We are going to head east down into the valley tomorrow.
GID00086936	Trail Log 37 of 43: Beth - Day 15
GID00086937	Cracked it! Stone Case, Access code: DH65-HJ2976. Almost there with the security code.
GID00086938	I think its a pre-War facility of sorts, but there's only a place name which I don't recognize. There's no coordinate data.
GID00086939	Trail Log 38 of 43: Max - Day 16
GID00086940	When we got down by the lake we realized there was some sort of tribal group there. I haven't seen anything like them before and they look pretty primitive.
GID00086941	JD's trying to talk to them, Seems they are going to lets us through.
GID00086942	Trail Log 39 of 43: Pinky - Day 16
GID00086943	It all went to hell when we went to pass those tribals, they tried to take us. It wasn't a total surprise, we were not that stupid, but they were everywhere. I reckon they must have been on to us before we camped yesterday.
GID00086944	One of them got lucky with a grenade, which went off amongst us, wounding all but me. JD then told me to get the others out while he held the fuckers off. You know, for all the years I've known John I never had him down as the hero type. 
GID00086945	I dragged them away until I realized we were in a dead end, so I left them there and went back, I should have stayed with John. I was too late to help him but he had gone down hard and I managed to finish off the rest. I might be an old bastard but I'm a mean old bastard. 
GID00086946	When I returned to the others Max was already dead and Beth was practically unconscious, concussion I think. I've buried John and Max, we need to rest, give Beth a chance to recover and let the meds kick in.
GID00086947	- Fuck, there are more of them appearing, we need to move, quick. It's still dark, maybe we can slip past, get back to Rita's Cafe
GID00086948	Trail Log 40 of 43: Pinky - Day 17
GID00086949	They got behind us and blocked off our way back to Rita's Cafe, Beth said to go this way but I'm not sure so I should have listened, I don't think she is really with it.
GID00086950	Now we are just running anywhere and we can't shake them off as we are hemmed in this bloody canyon. Almost out of ammo as well, so there is not much chance we can fight our way out of this. We just have to keep going.
GID00086951	Trail Log 41 of 43: Pinky - Day 18
GID00086952	I'm exhausted and so is the ammo. Guess this is the end, we gave it a good shot. I think Beth is hallucinating, she keeps saying we made it, poor kid.
GID00086953	Trail Log 42 of 43: Beth - Day 20
GID00086954	Pinky is still sleeping. The poor old bastard was all in, probably from dragging my sorry ass around.
GID00086955	My head is pounding and ears are still ringing a bit but we are safe now. Those tribals following us tried to get in as well but its not a mistake they will make again. I hope those robots are programmed to clear up the mess. 
GID00086956	When I saw it, it was almost too much to hope for but there it was. We found Stone Case. My habit of collecting old computer files and passwords has often paid dividends but never before on this scale. This time it really was a life saver and we have literally struck gold to boot. 
GID00086957	It is a pity we cannot share it with JD and Max, and Linda but if they were still alive we would probably would never have ended up here in the first place. I wonder what happened to the others?
GID00086958	Fate has been whimsical this journey.
GID00086959	Trail Log 43 of 43: Note
GID00086960	To whom it may concern:
GID00086961	Sorry, we beat you to it. We have already taken most of what was in here and we have left this one gold bar as we couldn't carry any more. We considered coming back for it so we reset the security systems as you will have noticed.
GID00086962	But, if you have made it this far you probably deserve this and we won't hold it against you for taking whatever's left.
GID00086963	Enjoy - Beth & Pinky
GID00086964	Note
GID00086965	Business seems to be picking up. I used to just get a few raiders and the odd prospector, but recently I've had some NCR, quite a few Vipers and it looks like there is another group up at the diner.
GID00086966	I'll pick out a tasty looking one, I'm going to start to put on weight if I'm not careful!
GID00086967	I'll go at dawn to wait for this lot, I couldn't make them all out last night and I need to check they are not with Angel, but I did see a man and a women shooting up and they look like Raiders to me. Should be easy. I'll leave the oven on.
GID00086968	Note
GID00086969	Happy birthday to me! 176 today! Mom and Dad would be proud.
GID00086970	Research Project: Vera-1
GID00086971	Frankly, this has been a disappointing start to my efforts to bring Vera Keyes to life once more, but the journey of a thousand miles begins with a single step, as they say.
GID00086972	By chance, I noted that one of the raider females at the bridge bore a surprising resemblance. It was at this point I first considered the possibility of bringing Vera back to life, in a manner of speaking, so I attempted to isolate the female in question and return it to my lab for further tests. 
GID00086973	The initial phase was successful with the application of the correct medication, which the subject was surprisingly happy to self-administer. However, once the medication started to wear off the subject became quite uncooperative and aggressive. I was forced to terminate the subject, which is something of a setback. Nevertheless, I have kept the subject's body in stasis in hope of still taking the project forward.
GID00086974	ADDENDUM:
GID00086975	I had noticed quite a foul odor emanating from my stasis pod, and upon further inspection it appears the female's body has begun to decompose. In truth, I am beginning to wonder if this device was, in fact, a "stasis pod" at all. I shall have to confront the individual I purchased it from and demand a refund. 
GID00086976	This further setback has probably put paid to Phase Vera-1. Undaunted, I shall move forward with Phase Vera-2 and a new approach.
GID00086977	Research Project: Vera-2
GID00086978	I have managed to obtain some research material and hardware alleged to be from the actual Sierra Madre thanks to my source in Hayford, although the price has been considerable. This may actually realize a recreation of Vera in holographic format, which should be far easier to manage as I will not have to resort to such barbarities as threats of violence to obtain her cooperation.
GID00086979	I have made good progress, but there are still an unfortunate number of difficulties which will need to be overcome.
GID00086980	First, the non-functional holographic projector allegedly from the Madre is the size of a small cooking pot, whereas my device would not fit in a kitchen. I need to source smaller components.
GID00086981	Second, the Madre's holoprojectors, from what information I have been able to glean, allowed the holograms emitted by them to freely move about an area the size of a large room, and even interact (!!!) with people and their surroundings. The hologram emitted by my jury-rigged version cannot move from within the actual confines of the projector aperture, and does not possess any kind of programming allowing it to interact with anyone or anything. And to be honest, she is a bit blotchy as well. This is dreadfully disappointing.
GID00086982	Research Project: Vera-3
GID00086983	A chance encounter in Hayford gave rise to an unplanned resurrection of the Vera-1 project. 
GID00086984	Again, this project has proven to be problematic as the subject is once more uncooperative, despite an initial assessment that promised otherwise.
GID00086985	This time however I shall be more patient and move things forward at a slower pace. To be more organized I have separated difficulties in a separate entries.
GID00086986	Research Project: Vera-3A
GID00086987	Issue 1: Subject does not behave like Vera.
GID00086988	Behavioral analysis of the female has revealed very few Vera-like attributes overall. I have attributed this down to lack of cooperation but have made some progress In the area from the subject by administering the following items:
GID00086989	Chems. This generally works quite well although the subject generally starts behaving much the same as the initial female and in effect, ceases to function. Irritating.
GID00086990	Alcohol. Can sometimes have the desired effect but can be unpredictable. Will not attempt again.
GID00086991	Caps. This by far produces the best results, but after the acquisition of the products from the Sierra Madre I have very little left. Again, irritating.
GID00086992	Research Project: Vera-3B
GID00086993	Second issue: Subject does not look like Vera.
GID00086994	Solution: A dress and wig have a surprisingly profound effect. Cannot be considered a permanent solution, although it seems to work reasonably well as long as I keep at least thirty yards away from the subject. Obviously, however, this defeats the entire purpose of the project.
GID00086995	Research Project: Vera-3C
GID00086996	Third issue: Subject does not sound like Vera.
GID00086997	The female does not have the same voice as Vera, and since becoming sober has expressed a number of colorful opinions about myself and my research. I am sure that Vera Keyes would not have made explicit comparisons between myself and the genitalia of a molerat, amongst a number of other statements whose meanings I am not aquianted with - though I am certain they are not flattering. 
GID00086998	A temporary solution is the same as the previous issue, except to increase the distance to fifty yards, as she can shout quite loudly. Again, defeating the project's entire purpose. I may have to get creative.
GID00086999	Vault 66 Overseer Log Entry 02
GID00087000	2084
GID00087001	The first test batch has begun on members of the subject group. I was a bit taken aback when I first heard about these vault experiments but once it sank in I was quite exited. This is cutting edge stuff.
GID00087002	I was a little disappointed when I found out what my vault was to do. Physiological studies. Longevity, increasing endurance, that kind of stuff. I had managed to sneak a peak at some other projects, experiments in psychology, sound, I thought I saw something about puppets somewhere, but I must have misread that. Ours seemed a bit tame by comparison, but at least I'm part of it, or supervising anyway. I not sure I would want to be one of those poor fools actually involved in it. Not until it's all proven safe anyway.
GID00087003	Vault 66 Overseer Log Entry 01
GID00087004	2081
GID00087005	We have been sealed in for a while now and its all pretty calm. We have heard nothing from the outside at all, not even any explosions. I guess the vault was built well. No communications at all though.
GID00087006	The experiments have been delayed, still some more background research to be done evidently. Dr. Nice, our resident chief scientist, is organising the details. He keeps to himself, a very driven man. A geneticist and one of the team involved in finding a cure for the New Plague I understand. Specializing in something called the Pan-Immunity Virion, whatever that is.
GID00087007	Vault 66 Overseer Log Entry 03
GID00087008	2088
GID00087009	The experiments have been going well, we have had some extremely good results but also some rather disturbing side effects. Skin problems, sensitivity to light and more. Some of the subjects are also demonstrating some strange behavioral patterns as well. Some quite disturbing, we have had to restrain one.
GID00087010	Dr. Nice seems to have it covered though, he has been treating them with some sort of blood product. Animal blood doesn't do it, has to be human but then isn't that what the control group is for? We just give them the biological warfare and faulty filters story to keep them on side.
GID00087011	Vault 66 Overseer Log Entry 04
GID00087012	2091
GID00087013	The security chief keeps insisting on recons outside the Vault. It's not in the Vault's operating instructions but there are conflicting orders from military directives. I want to stop this as it could endanger the experiment and I was hoping for some backing from Dr. Nice, but I think he is letting his curiosity get the better of him.
GID00087014	I'll work on the two of them, but I need to be careful with the chief as he is not actually fully informed to our primary directives. Army man, not Vault-Tec, he was a poor choice for the job.
GID00087015	Vault 66 Overseer Log Entry 05
GID00087016	2102
GID00087017	I don't believe it! A whole group of people have fled the Vault!
GID00087018	I knew something was going on but I didn't realise that there was that many involved. The White family, the Lewised, the Dunns, Susan Hicks, David Burgess, Michael Dolan, mostly the control group but not all. The Trapps went as well, although they were only just started on the 'treatment'.
GID00087019	They didn't have any problems breaching security as the chief, Andrew Poke, was one of them! No wonder I was in the dark about it, fucking traitor. I thought he was acting strange.
GID00087020	They won't last long outside though. There has been some petty pilfering from the stores but nothing to sustain them for long. 
GID00087021	This has really jeopardized the experiment and is causing all sorts of problems, we needed their blood. If we catch any of them I'm going to drain them personally.
GID00087022	Vault 66 Overseer Log Entry 06
GID00087023	2102
GID00087024	I authorized a patrol to go outside and check for the missing members, but not to go too far. They didn't find them, not that I was really expecting them to.
GID00087025	On the plus side they did pull in a couple of other locals. Sorry looking pair, didn't get much useful information out of them but plenty of blood. That will help.
GID00087026	Vault 66 Overseer Log Entry 07
GID00087027	2104
GID00087028	Things have been getting pretty bad around here. Some of the local 'livestock' we have been pulling in are keen drug users and this is causing Dr. Nice all sorts of problems. We have started to keep them in pens to 'dry' out but this takes time and not all survive.
GID00087029	What's more I have found out that some personnel have been actually eating them as well. What the hell is going on? There is no food shortage. Dr. Nice, surprisingly, wasn't at all shocked by this, just rambled on about side effects and hormones, but I know I didn't damn well authorize it. And what did he mean about 'known' side effects?
GID00087030	I'll talk to the new chief of security, for what it's worth. I found out a while ago that he was brought here by the Doctor and in all likelihood is his man. What a mess, I really need to sort these people out and re-assert my authority. This current state of affairs will not do.
GID00087031	Note from Ris
GID00087032	We are running a bit short on ammo again, so I'll have to send someone over to fucking Blue Ray to trade for some more. I would love to take that bastard down but he's the only place we can get ammo. Even Angel gets most of her stock there. Anyway, that house is a fucking bunker.
GID00087033	Maybe we should wait for Angel anyway, she'll put a markup on stuff, but every time I send one of these asshats over there, they go sniffing around and end up getting killed.
GID00087034	I wonder where Angel gets her pies from? Sure taste good.
GID00087035	Research project Vera-3D
GID00087036	Fourth issue: She does not smell like Vera.
GID00087037	I'm sure the original Vera did not smell like a Brahmin, although I cannot confirm this as I can find no information on Vera Keyes' aroma. This is surprising, as there is no end to the other sorts of esoteric information I have located about about her that was, evidently, collected by her male fans for perverse reasons.
GID00087038	The subject actually suggested a solution in the form of a bath, but I am loathe to take advice from a female, much less one without a scientific background. A temporary solution is the same as the previous issues - and yes, once again, defeating the entire purpose. To say I am frustrated would be an understatement. 
GID00087039	Research project Vera-3E
GID00087040	Fifth issue: Subject's name is not Vera.
GID00087041	I should have paid more attention when the subject initially approached me in Hayford. In retrospect, the subject's initial declaration that, quote: "My name's whatever you want it to be, honey" was an attempt to convince me to pay for sexual services and not an actual indication that the subject's name was, in fact, "Vera Keyes", as this would certainly have been quite an amazing bit of serendipity.
GID00087042	Considering, however, that the entire reason I selected this female as my next test subject was for that alone, I may need to reconsider this entire phase of the project. 
GID00087043	Demoralizing, but I shall proceed apace regardless.
GID00087044	Supplies
GID00087045	Need to cook up some more of my special meat pies. Angel should be coming past before long and I need to trade for some ammo. Evidently there is a raider crowd down the road who are quite partial to my cooking. Just as well, some more ingredients have turned up.
GID00087046	Andrew Poke's Diary - 2114
GID00087047	My wife has been nagging me to stay out of that tunnel again. I think everyone has forgotten why we originally came here but I've never lost my curiosity about that storage vault, what was it called? Ground House?
GID00087048	I managed to pull out some wiring at that security door and have been trying to hook up a computer to it. There is still some sort of network there I think, but I'll be damned if I can hack into it. I'm sure we brought the access code with us, was it David that had it? He never came back from Vegas.
GID00087049	My son sits and watches me, maybe he will have better luck some day. Truth be known we still don't know if there is anything behind that door. Maybe my wife is right, I should give it up, I'm too old for this now.
GID00087050	Andrew Poke's Diary - 2104 
GID00087051	Some people have headed south while the rest of us are still hanging on here, it's not been easy but we are surviving. We have had help from some outsiders joining us, the stories they have been sharing do not paint a nice picture of the world.
