FO300000001	.32 Pistol
FO300000180	You want to talk to me?
FO300000181	Just leave me alone, okay?
FO300000182	I hate you! Go away!
FO300000183	I don't want to talk with you!
FO300000184	Hey, new kid. I don't know if anyone told you yet, but let me set the record straight.
FO300000185	I'm Princess. When you're around me, I'm in charge. You shut up and do what I say, because I'm boss around here. That clear?
FO300000186	Now, who're you?
FO300000187	What the hell is RJ thinking, letting a damned mungo like you in here?
FO300000188	So, who're you working with? Raiders? Slavers? Mutants?
FO300000189	Answer up, mungo!
FO300000190	Well, look who's here. What's up, mungo?
FO300000191	Well, if it isn't the magnificent mungo. What now?
FO300000192	New in town, huh? If MacCready let you in, that's good enough for me.
FO300000193	Well, enough with formalities: who are you, and how'd you get MacCready to let you in here?
FO300000194	Whoa, are we letting mungos in, now? Didn't hear any shots, so I'm guessing you're not here to raid us.
FO300000195	And if you're not here to raid us, you might just have brought something cool for us, see? So who are you, and how'd you get let in?
FO300000196	Hey, picked up anything out there?
FO300000197	Anything you'd like to get off your hands?
FO300000198	Got something to say?
FO300000199	New in town, huh? Well, if MacCready let you in, that's a good sign.
FO300000200	I'm Knock Knock, and I take care of 'keeping the peace' down here. Or, at least the morale.
FO300000201	So, who're you? You going to cause any trouble?
FO300000202	Hey, are we letting mungos in, now? Didn't hear a scuffle, so I'm guessing you're some sort of guest?
FO300000203	So, what's so cool about you, fancypants? Must be a pretty good reason for you to get let in, see?
FO300000204	Oh wait. Um. Never mind.
FO300000205	How're things treating you?
FO300000206	Heard anything good?
FO300000207	Wow, you're big. I mean, bigger than most people down here. I mean, bigger than most people down here that we don't shoot for being down here.
FO300000208	So, how'd you get down here without getting shot? Am I supposed to shoot you? Because, you know, I'd rather not, but if I'm supposed to, then okay.
FO300000209	The mayor said it's okay for you to be in here, right? Because mungos aren't allowed in here unless the mayor says so. So are you an okay mungo?
FO300000210	Because if you aren't an okay mungo, that means we should stop you, and that means I have to get my gun from lockdown so stay here okay?
FO300000211	Hey there. You have any Nuka-Cola? Even just a bit? Can I have some? Be your best friend. Honest. Totally. Not even kidding!
FO300000212	Oh hey, hi. You again, huh? I thought maybe you'd be blown up or shot or something by now, but I guess not. Not yet, anyway.
FO300000213	Hey, hi! Hi, lady. Hey there. What's going on? Anything new? You have any good stories? What about Nuka-Cola, you have any of that? Huh, huh?
FO300000214	Hey, hi! Hi, mister. Hey there. What's going on? Anything new? You have any good stories? What about Nuka-Cola, you have any of that? Huh, huh?
FO300000215	Thanks again for saving me. You're the best!
FO300000216	Well, you and my brother are tied for the best, at least. But that's still really good!
FO300000217	Thanks for getting me back. I really missed my brother.
FO300000218	Everyone calls you a mungo, but I think you're an okay mungo.
FO300000219	Yes?
FO300000220	Something happening?
FO300000221	What?
FO300000222	Thanks for getting us back here. We woulda got out before long, but you did really help.
FO300000223	So, uh, thanks.
FO300000224	We didn't need any mungo's help getting outta there, you know?
FO300000225	But you did it, so, uh, thanks.
FO300000226	But that means I gotta go back to guarding the back gate with Princess. Ugh.
FO300000227	Yeah, mister?
FO300000228	Yeah, miss?
FO300000229	Yeah, mungo?
FO300000230	Yeah?
FO300000231	Wow, am I glad to be back. If it weren't for you, I think we'd have died back there!
FO300000232	So, thanks for the help! If anyone asks me, you're an official kid!
FO300000233	Wow, thanks for the help out there. If it weren't for you, I'd be a goner, for sure!
FO300000234	Far as I'm concerned, you're welcome in here anytime! Of course, it isn't really up to me.
FO300000235	So, what do you need?
FO300000236	Oh, hey!
FO300000237	Is everything okay?
FO300000238	Is something wrong?
FO300000239	Look, I don't let just any son of a bitch into my town. I'm taking a risk making an exception for you.
FO300000240	So you're welcome in my town, at least until you start screwing up. Once that bullshit starts, you're out on your own again!
FO300000241	Look, I don't let just any bitch into my town, and I'm taking a risk making an exception for you.
FO300000242	So you're welcome in my town, at least until you start screwing up. Once that bullshit starts, you're out on your own again!
FO300000243	Okay, so you get in, but I got my eye on you.
FO300000244	You don't make trouble in here, got it? I ain't having no shit-butts making trouble.
FO300000245	Yeah? You got something to say?
FO300000246	How do I have to solve your bullshit problem, today?
FO300000247	So, what sort of trouble are you getting yourself into, now?
FO300000248	What do you want, mungo?
FO300000249	What now, mungo?
FO300000250	Why are you still pestering me, you moron?
FO300000251	Okay, what the hell is wrong with you, mungo? This had better be important!
FO300000252	Did you get hit in the head? You have to pester me every time a stray thought happens to wander into that hollowed out melon you call a skull?
FO300000253	Oh, what now? You come to me to talk about how nice my damned cave is? Maybe a little small talk about local soil erosion or some bullshit?
FO300000254	No, you know what? You can go take a hike, you insane mutant-fucker. Get out of my town!
FO300000255	Whoa, a mungo down here, just walking around!
FO300000256	Hey, new kid! Try and catch me!
FO300000257	Tag, you're it!
FO300000258	Aw, man! I'm it!
FO300000259	No way, that didn't count!
FO300000260	Stay away, mungo, I don't wanna catch old from you!
FO300000261	Thanks for getting Penny and Squirrel back. And Sammy too, I guess.
FO300000262	Mungo, mungo, smells like dung-o!
FO300000263	Gosh, you're big.
FO300000264	Nice as the weather is out here, how about you bring me a kid, so I can get back to Paradise Falls?
FO300000265	Just waiting for you to bring me a new friend.
FO300000266	Hey there! Got anything good for me?
FO300000267	I really don't feel like talking right now. Please leave.
FO300000268	I thought we might see you again.
FO300000269	So, you're back. What did you want?
FO300000270	Well all right! You're back!
FO300000271	There you go, good as new.
FO300000272	You made it! Great! Need patching up?
FO300000273	Looks like you pulled my fat out of the fire again. Thanks.
FO300000274	Damn, I could have used your help with those uglies.
FO300000275	Sorry, gotta get back to the Compound. Come by and visit us when you want to offload some of that data.
FO300000276	Uh oh, you're back. Something need fixing?
FO300000277	We did it! You did it! You helped us defeat the Mutants! We'll all feel safer now! Thank you so much!
FO300000278	Alright! Yeah! We sure showed those Mutants didn't we!
FO300000279	Nah, who am I kidding? There's still plenty of things out there that want to kill us.
FO300000280	At least I didn't die today. I got you to thank for that. So, thanks!
FO300000281	I think I'm going to build a little shrine to you. All I need is some incense sticks and candles.
FO300000282	We got those Mutants good, didn't we?!
FO300000283	I'm starting to feel safe for the first time in a long time. Thanks to you!
FO300000284	Oh, hey! Kinda busy here, but I guess I can talk for a bit. What's up?
FO300000285	Huh. Did you know the human body can survive without the stomach or spleen? Oh, what's up?
FO300000286	Hey, don't mind the smoke. It's perfectly safe to breathe. Really!
FO300000287	What's up? Anything interesting out there in the wild Wasteland?
FO300000288	Oh, hey. What's up?
FO300000289	Hey, someone who doesn't have a cart for me to fix or a brahmin to wash up. That's a nice change.
FO300000290	Hope you don't mind the smell of brahmin dung. It's been one of those days.
FO300000291	Hey. How's the wide, wild Wasteland out there?
FO300000292	Long time, no see.
FO300000293	Back in Arefu, eh? Good to see you again.
FO300000294	How the heck are ya'?
FO300000295	Hey there!
FO300000296	I'm glad I was wrong about you. Welcome back.
FO300000297	I heard about your little killing spree in Arefu. Get the hell away from me.
FO300000298	Get the fucking hell out of my sight. I never want to speak to you ever again.
FO300000299	Hello there, nice to see you.
FO300000300	The Family only kills what it consumes. Your murders in Arefu were for sport!
FO300000301	So you're Evan King's killer, eh? You don't look so tough to me.
FO300000302	Thanks for setting me straight on everything.
FO300000303	Always a pleasure to receive you in Meresti. What brings you down here today?
FO300000304	Hey there!
FO300000305	So, what do you need?
FO300000306	So, what do you need?
FO300000307	Hiya kid!
FO300000308	Hey, welcome back.
FO300000309	What's going on?
FO300000310	Please don't hurt me.
FO300000311	You're the bad man that hurts people, aren't you?
FO300000312	You're the bad lady that hurts people, aren't you?
FO300000313	I remember you. You're mean.
FO300000314	What do you want, meanie?
FO300000315	You shouldn't take things that don't belong to you.
FO300000316	You're bad. I don't think I should talk to you.
FO300000317	Do you like being bad? Or is it just you can't help it?
FO300000318	I bet you're so bad because your mom didn't love you.
FO300000319	I've heard of you. You're one of the good guys!
FO300000320	It makes me feel safer knowing you're around.
FO300000321	You're my hero, mister. I want to be just like you when I grow up.
FO300000322	You're my hero, ma'am. I want to be just like you when I grow up.
FO300000323	Oh, baby! Let me get you something special. How about a Dukov surprise? Hah ha!
FO300000324	Nevermind. You need a drink. Cherry! Need some fucking booze over here!
FO300000325	Hello sweet cheeks! What can old Dukov do for you?
FO300000326	Nevermind. You need a drink. Cherry! I'm thirsty over here!
FO300000327	Have you seen Cherry? I think the bitch ran out on me.
FO300000328	Who the hell are you?
FO300000329	Nevermind. You need a drink. Cherry! I'm thirsty over here!
FO300000330	Who the hell are you?
FO300000331	Nevermind. You need a drink. Fantasia! I'm thirsty over here!
FO300000332	Who the hell are you?
FO300000333	Nevermind. You need a drink. My women are gone, so help yourself.
FO300000334	Whatcha need? How about a drink? No? Suit yourself.
FO300000335	Yeah, yeah, you're my hero. Don't let it go to your head. Seriously though, thank you for getting me away from Dukov.
FO300000336	So that prick Dukov is dead. Can't say I'll miss him.
FO300000337	Even so, I'm going to need someone to protect me. A girl can't survive by herself in the Wasteland.
FO300000338	Hey, good looking. I'm Cherry. Can I do anything for you?
FO300000339	Yeah?
FO300000340	Hi, sweetie. I'm Cherry. What can I do for you?
FO300000341	Hi, sugar. I'm Cherry. Do yourself a favor. Watch yourself with Dukov. He's all hands.
FO300000342	He's dead! I'm going to miss the old lecher. We had some real fun times.
FO300000343	Who's going to look after me now?
FO300000344	Oh, my! Aren't you a stud. I'm Fantasia. If you need something, just let me know.
FO300000345	Hi there, fella. I'm Fantasia. Can I help you?
FO300000346	Hello, honey. I'm Fantasia. You're not going to be staying long, are you?
FO300000347	Make him shut up! Please, just make him shut up!
FO300000348	Hold it! This area is under the authority of the Brotherhood of Steel. Leave immediately.
FO300000349	Was I not clear enough? Leave. Now.
FO300000350	I have no time for you, Wastelander. Go.
FO300000351	Welcome back. Have you been successful in your search for books?
FO300000352	You've returned. Have you brought me any books?
FO300000353	You've saved my life. I am in your debt.
FO300000354	I am forever in your debt. Thank you.
FO300000355	We're almost to the door, don't stop now!
FO300000356	Keep going, we're almost outside!
FO300000357	Thank God someone's come! You have to help me! Please!
FO300000358	Stay on point. We will back you up. It's the least we can offer you.
FO300000359	Lead on. We will ensure your safe passage through Falls Church.
FO300000360	You have our thanks, stranger. We could not have recovered our ward without your aid.
FO300000361	Good. He is safe. The Brotherhood are men of their word and so, here is your payment. Spend it well.
FO300000362	Farewell, mercenary. May you find honor in your travels.
FO300000363	Excellent. The Initiate is safely returned to us. You have the thanks of the Brotherhood, my friend.
FO300000364	We cannot offer you much in return, but know that you may travel through Falls Church under our protection.
FO300000365	What do you mean he's dead? What kind of a lousy merc are you?
FO300000366	Damned worthless merc! You can't even pull off a simple rescue op?
FO300000367	We just weren't fast enough to save him. Damn.
FO300000368	Don't be so anxious, merc. Get our man, then you'll get your payday.
FO300000369	He's up ahead, in that building! Don't stop!
FO300000370	Go! Go! Go!
FO300000371	Move out!
FO300000372	Go find your fortune somewhere else, merc. We'll take care of this ourselves.
FO300000373	If you're not going to help, just stay out of the way.
FO300000374	Stranger, I thank you for your aid. We must press forward, if you are willing to aid us, you are welcome to join us.
FO300000375	Speak with Paladin Hoss.
FO300000376	Well lookit this! We got us a wanderer all the way out here in Will'im's Wharf! You mus' got some import'int bus'ness out here to be wandrin' around.
FO300000377	But, 'taint none of my beeswax what yer doin'. But if yer interested in tradin', maybe we can help each other.
FO300000378	You again! Y'all interested in tradin' this time?
FO300000379	'Lurks ain't got ya yet, I see. You need some tradin'?
FO300000380	Watch out, there's a 'Guai den to the north. I'd steer clear of it if I were you.
FO300000381	Be very very quiet. They can hear you coming a mile away.
FO300000382	You've got some serious stones walking through here by yourself.
FO300000383	Shh! You're gonna scare away the 'Guai.
FO300000384	You showed up at a bad time, stranger. This position is being overrun.
FO300000385	I suggest that you head out of here while the Muties are focused on us.
FO300000386	Why are you still here? I said go!
FO300000387	Jesus, they just came out of nowhere...
FO300000388	I thought I was about to be written into the scrolls, but we live to fight another day.
FO300000389	Let there be no doubt: the might of the Brotherhood prevails.
FO300000390	So long as my brothers stand by my side, there can be no defeat.
FO300000391	What do you want? Can't you see I'm busy?
FO300000392	What?
FO300000393	Just stumbled into town? You sure picked a fine day for it, with the crazies out there. Here, have a drink on the house. Welcome to Canterbury.
FO300000394	I'm Joe Porter. I make sure folks around here can get a meal when they need it.
FO300000395	What's up?
FO300000396	Newcomer to town, huh? Well, I'm Dominic D'Ellsadro, and welcome to Canterbury Commons. Try to ignore the idiots in the costumes.
FO300000397	Popular activities around town are trading, listening to Roe yap, and burying thieves in unmarked graves.
FO300000398	Course, we ran out of thieves to bury long ago. Saw to it myself. Might be a dead art, unless you're planning on stealing anything.
FO300000399	Staying out of trouble? Good, good.
FO300000400	Ah, new in town? Welcome to Canterbury Commons, home of traders, home of caravaners, and most of all, home of excellent bargains!
FO300000401	I'm Ernest Roe, but feel free to think of me as your jolly old Uncle Roe. What brings you to my fine, little town? Here for business, or pleasure?
FO300000402	With all of that fighting, I never got to give you the official welcome to the town, did I?
FO300000403	Welcome to Canterbury Commons, home of traders, caravaners, and most of all, of excellent bargains! Here for business or pleasure?
FO300000404	What can old Uncle Roe do for you, today?
FO300000405	Go away! I hate you!
FO300000406	Oh, um, hey. You're new here, right? I'm Derek. I do odd jobs around town, nothing important.
FO300000407	You'd probably rather talk to my uncle, Ernest Roe. He can give you the official welcome and everything.
FO300000408	Umm, yes?
FO300000409	Ah, a fellow student on the path of the Wasteland! Welcome to my humble caravan. Please relax, for we are in a place of safety!
FO300000410	The type of safety that can only be ensured by an abundance of weaponry, both wicked and awesome. All of which, can be yours, for the right price!
FO300000411	I hear you're my mysterious investor! With your help, I've collected quite a few toys for myself. But what good are toys if they aren't played with?
FO300000412	Thanks to you I have so many, I could hardly play with them all. So, I present to you a prize of the collection, a micro-nuke. Enjoy it in safety!
FO300000413	Here to shop? Have a look!
FO300000414	Welcome, sir or madam, to Crazy Wolfgang's Traveling Junk Store! The Depot of Detritus, the Shop of Slop, and the Caravan of Crap!
FO300000415	Now, what odds and ends can I, the Craziest of all possible Wolfgangs offer to you?
FO300000416	I hear you're the one who's so deeply invested in my junk. Not as deeply as me, of course, but who is, really?
FO300000417	I picked up some Stealth Boys the other day, and they seemed like just the way to thank you for your investment. Kudos!
FO300000418	A friend with deep pockets is a friend indeed! Welcome to my shop!
FO300000419	Hey, hey! Looking to buy?
FO300000420	Ah, welcome weary traveler! You look like a traveler in need of relaxation and the finest of chemical assistance.
FO300000421	Well, wander no more, my good friend, for I am Doc Hoff, procurer of the finest of medical goods and chemical assistance. Now, how may I help you?
FO300000422	My investor arrives at last. This line of work doesn't allow for much sentiment, but how could I not offer you some material token of my thanks?
FO300000423	Looking for your fix? You came to the right man.
FO300000424	Here to see the good doctor? Excellent.
FO300000425	Welcome, welcome! My name is Crow, and I travel the land, offering vestments of protection. And you are fortunate I found you in time!
FO300000426	You bear the look of one who is haunted, but I am proud to say that my wares can protect you from even the cruel claws of death itself. Have a look.
FO300000427	And here you are! The spirits have blessed me with many gifts, but you have given the more marketable gift of monetary investment.
FO300000428	Searching for a friend out in the Wastes? No one is more reliable than a cold, hard skin of steel.
FO300000429	Here to acquire a new mantle of metal or mesh? If you have the caps, I have the merchandise.
FO300000430	I'm just here to protect the merchandise.
FO300000431	Keep it on the level, and everything'll be fine.
FO300000432	Looking to trade?
FO300000433	Looking for that special something?
FO300000434	Well, hello there. I assume that you've come about the contract that we're offering.
FO300000435	We're always pleased to see a new associate. Welcome. A most hearty welcome to our little business.
FO300000436	You may darken our doorstep at any time, so long as you bring me what I ask for.
FO300000437	Welcome! Welcome back! What do you have for us today?
FO300000438	Why look who it is! My favorite associate! Have you brought me what I need?
FO300000439	It's you! We always have time for our favorite employee!
FO300000440	Speak to Mr. Littlehorn.
FO300000441	We can't help you. Only Mr. Littlehorn can help you.
FO300000442	I'm sorry, I don't have time to talk to you.
FO300000443	Busy. So busy. Busy busy bee.
FO300000444	The AntAgonizer! You're the awesomest person ever, ever! Can I have your autograph?
FO300000445	The Mechanist! You're the awesomest person ever, ever! Can I have your autograph?
FO300000446	Goodbye, AntAgonizer! I have to go home now!
FO300000447	Goodbye, Mechanist! I have to go home now!
FO300000448	I'm heading back to Rivet City to get more supplies to sell to Big Town. They bought out my entire stock!
FO300000449	I’m headed to Big Town. There’s good money to be made there. They ordered a ton of supplies, and now that it’s safe, I’m heading up there!
FO300000450	I’m headed to Big Town. There’s good money to be made there. They ordered a bunch of high power explosives!
FO300000451	I’m headed to Big Town. There’s good money to be made there. They ordered a bunch of robot parts!
FO300000452	I’m headed to Big Town. There’s good money to be made there. They ordered a few Stealth Boys.
FO300000453	I’m headed to Big Town. There’s good money to be made there. They ordered a bunch of firepower.
FO300000454	I'm heading up to Big Town to see what's left for the taking. I heard everyone up there was either killed or dragged off by Super Mutants.
FO300000455	Go away. I've had enough of your "help" already.
FO300000456	Hey, what happened with the robot?
FO300000457	Oh, hey there. Do you need something?
FO300000458	Thanks for your help, friend. I don't know what I would have done if you hadn't come along.
FO300000459	Hello, again. How about that robot, huh?
FO300000460	I can't travel yet, but I'll be back on my feet soon, thanks to you. I never expected help from a stranger in the Wasteland.
FO300000461	Good to see you again, friend!
FO300000462	We could use some help here! It came out of nowhere!
FO300000463	That thing would have killed us all without your help. Thanks.
FO300000464	Listen, you may as well take this map. That's where we were headed, but that Deathclaw cured me of my itch for Wasteland adventure.
FO300000465	You'll stay out of this if you know what's good for you. We found that water and we're keeping it.
FO300000466	I hope you're not here for that water. Because we're leaving with it, and my mama never taught me to share.
FO300000467	Thanks for the help. A deal's a deal. Here's your water.
FO300000468	You've got what you came for. Why don't you move on? I'm not looking for any new friends at the moment.
FO300000469	Watch out! That scorpion won't let us near the water!
FO300000470	That thing won't let us near the water!
FO300000471	Help yourself to the water. You earned it.
FO300000472	Er, uh, hold it right there, pal. You're giving me everything you own. Um, now.
FO300000473	Er, uh, hold it right there, sister. You're giving me everything you own. Um, now.
FO300000474	I save your ass in the rotunda and you take the caps and glory, huh?
FO300000475	I'm not about to let you go bragging to anyone about retrieving the Declaration and leaving me in the dust.
FO300000476	It's alive! The Wasteland is reborn!
FO300000477	Allow me to introduce myself. I am Godfrey, your personal robotic butler.
FO300000478	I am here to look after your needs and to keep you happy and entertained.
FO300000479	What can I do for you?
FO300000480	Allow me to introduce myself. I am Wadsworth, your personal robotic butler.
FO300000481	I am here to look after your needs and to keep you happy and entertained.
FO300000482	What can I do for you?
FO300000483	Do not interfere with security operations.
FO300000484	I'm sorry, but I am not at liberty to chat right now.
FO300000485	Protect and serve.
FO300000486	What is it now? Sir.
FO300000487	What is it now? Ma'am.
FO300000488	Do I look like I have time for idle chitchat?
FO300000489	Ah! That's it. Tenpenny promised me safety and security. And that damn useless Gustavo lets thieves run amok. This is the last straw. I'm leaving.
FO300000490	Oooh! I can't believe it. With all of Gustavo's goons running around, they still let thieves come into my store and take things!
FO300000491	I thought I was safe here. That's it, I'm leaving. I'll try my luck elsewhere.
FO300000492	There must be somewhere safe out there.
FO300000493	Where will I go?
FO300000494	What brings you by Rivet City today?
FO300000495	Get the hell out of my face.
FO300000496	I have no interest in talking to you.
FO300000497	I figured we'd bump into each other again. What brings you all the way out to Ghoulsville?
FO300000498	So, what can I help with?
FO300000499	What's up?
FO300000500	Good luck to you, and Godspeed.
FO300000501	Saints alive! You've done it!
FO300000502	Quickly, let me have the ink and I will produce the copy of the Declaration of Independence!
FO300000503	What are the next orders from the Congress?
FO300000504	Have you reached a decision? Will you assist me in forging a copy of the Declaration?
FO300000505	If you have something to say, be quick about it or begone.
FO300000506	You've breached our defenses, evaded our best soldiers and you've raided my home.
FO300000507	But I have not yet begun to fight! I cannot allow you to steal our freedom!
FO300000508	The Declaration must remain here! It is our symbol of hope, the one thing that cries out "We are a free nation"!
FO300000509	Screw you! If you think you can get the Declaration by yourself, then have at it.
FO300000510	I'll be sure and leave flowers on your grave. If they find what's left of your corpse.
FO300000511	What's up?
FO300000512	Whew. Say, you're pretty decent in a firefight.
FO300000513	Well, come to a decision?
FO300000514	You made enough noise coming in here to wake the dead, for God's sakes!
FO300000515	Just be ready, the Muties are coming!
FO300000516	I can't wait to add the Declaration to the Society's collection.
FO300000517	I'm expecting great things from you!
FO300000518	What wonderful artifacts have you brought me?
FO300000519	So, have you decided to become a part of history and triumphantly return with the Declaration of Independence in hand?
FO300000520	Pleased to meet you. Abraham Washington's the name. I am curator of the Capital Preservation Society.
FO300000521	If you have time, come take a look at our exhibits.
FO300000522	Sorry, very busy right now. Come see me at the museum.
FO300000523	Quite an impressive collection, isn't it? Well don't be shy, have a look around.
FO300000524	What can I help you with?
FO300000525	No students in Hall without Pass.  Visitors must sign in at Administration.
FO300000526	Finally! Free!
FO300000527	I have to get out of here!
FO300000528	Please! Help us!
FO300000529	Why bother?
