OWB00000001	问好
OWB00000087	你在生物研究站呆过，是吗？我想你是要……清洗一下？
OWB00000088	私底下跟你说哦，中央智能单元就是势利小人。
OWB00000089	为什么，你这可怜的熊！过来喝口水，冲掉那些……可怕，粘稠的血浆。
OWB00000090	哦，你好！要不要来杯喝的？
OWB00000091	相信关于你大脑的问题已经圆满解决了？
OWB00000092	如果你计划在这呆一会，我可以帮你粗略的检查一下。
OWB00000093	嗯啊……这样如何？老自动医生已经开始工作了。很好，对，过来，让我看看你的情况。
OWB00000094	你需要额外的服务吗？
OWB00000095	你身上有些地方重伤了，我的朋友。破损的头盖骨和两条损坏的肋骨，如果我没看错的的话，你的大脑没了。
OWB00000096	你最好爬进来让我看看。
OWB00000097	你身上有些地方重伤了，我的朋友。破损的头盖骨和两条损坏的肋骨，如果我没看错的的话，你的大脑最近被人换掉了。
OWB00000098	你最好爬进来让我看看。
OWB00000099	嗯，看着遍体鳞伤的，但离人散架还远着呢. 这我随时都能搞妥.
OWB00000100	在大坑洞游荡的人中，你毫无疑问是我见过的最健康的家伙。不像我这一把老骨头一样没用。
OWB00000101	好了。就如新生一样健康。你只要注意保持你的腿远离那些有辐射的垃圾，并每天揉两次。
OWB00000102	我从来就不相信智库那些脑子。他们臭的就像象牙塔里的精英，还有浓盐水
OWB00000103	欢迎回家，公民！你可以在那儿找些煽动材料？
OWB00000104	啊！日安，公民们！图书馆处理单位 232.7 启动并准备消除煽动！
OWB00000105	向你致敬，公民！时刻准备着抵御煽动材料！
OWB00000106	请恕我失礼，既然已圆满处理了与思想体的纠纷，您是否有意在此定居呢？
OWB00000107	老爷此次大驾光临，不知是否有意小住呢？
OWB00000108	问候和祝贺你，老爷，对你大驾汇聚节点致以最诚挚的欢迎。
OWB00000109	我是你的电子  仆人和中央智能单元  。我可以为您服务吗，老爷?
OWB00000110	我可以为您服务吗，老爷?
OWB00000111	拜托，拜托，拜托告诉我你把O博士的大脑踩成浆糊！他嚎叫了么？他求饶了么？哦上帝，我希望他求饶过！
OWB00000112	现在谁是个荡妇了，啊，O？！
OWB00000113	我恨我自己会问这个，但是……你给我带来任何杯具了么
OWB00000114	你！嘿，就是你！没错就是你！弄到杯具了么？
OWB00000115	哦求你了，告诉我你给我带来了咖啡杯！
OWB00000116	处理过那些大脑之后，不久我们就可以在整个莫哈维传播我们的规则了！所有人都要吃面包并感到绝望！
OWB00000117	你不在时，我的计划安排已取得长足发展. 当心点，凯撒！当心点，NCR！我烤面包机的时代即将到来
OWB00000118	啊哈哈哈！我被再次启动了！世界，将在我的末日般的电子加热线圈前颤抖！
OWB00000119	是！是！不久我的作品就要完成了！不久世界就将在核能的火焰中燃烧！
OWB00000120	有没有甜蜜而无辜的厨房小工具给我？
OWB00000121	你打爆了大脑袋们的脑浆！？ 你真是...帅呆了！
OWB00000122	哦，你回来了！我想你！
OWB00000123	哦，你回来了！我想你！不像我能指名道姓出来的某些冷酷的贱人一样。
OWB00000124	嗯……我打了个不错的……呃……瞌睡。我睡了多久？
OWB00000125	你和另一个开关幽会去了是不是？ 你有我还不够吗？
OWB00000126	噢，回来了. 我就说那个贱开关最后会把你踢了.
OWB00000127	你和另一个开关幽会去了是不是？ 你有我还不够吗？
OWB00000128	嗨!又见到你了哦，甜心!
OWB00000129	我知道，你能够找回你丢失的器官非常值得庆贺，真好。
OWB00000130	我很高兴你能来.
OWB00000131	你能来真好. 我不喜欢你去找那个没用的小荡妇.
OWB00000132	哦我的.部分功能恢复了 - 比最理想的情况要差点。
OWB00000133	我该怎么向你阐明呢？
OWB00000134	这么说你在脑子们的游戏中击败了他们, 嗯？ 我猜你接下来又要继续旅行，踏上那条古老的孤独之路.
OWB00000135	看看谁风尘仆仆地回来了。希望你不是还在唱旧世蓝调。
OWB00000136	哦耶，那音乐太赞了！该死的，被重新启动真好！
OWB00000137	什么事？
OWB00000138	*不难推测. 无脑人试验体回来了. 其目的? 自身的强迫症. 我推测的正确率? 很高.*
OWB00000139	你好。
OWB00000140	我能听见你像生殖器尖端一样的脚指头来回踏地发出的声音.
OWB00000141	我们要求你做的你都完成了么？如果没有，我们会毫不犹豫的再次要求你。
OWB00000142	保护我们远离莫比乌斯的人。你好。
OWB00000143	这不是那个迷人的小无脑人嘛。
OWB00000144	我非常愿意听到你的呼吸。
OWB00000145	雷达扫描装置的回显信息里的不是我勇敢的小无脑人么.
OWB00000146	-那只无脑人！他是为了一句问候？ 你不会在我这里得逞的。-
OWB00000147	-你来这为了打招呼？哦，我会给你一句问候。全宇宙都无可比拟的问候。-
OWB00000148	-救了我们的那个人！给你问候。 你好。-
OWB00000149	*别转了。我是说，不介意的话。*
OWB00000150	*我不明白你怎么靠那样的脚架站起来的*
OWB00000151	*感谢帮助我们。尽管我发疯一样嫉妒，也请不要介意*
OWB00000152	我不是来吵架的,来访者.请容许我...哦.这应该是你的台词?
OWB00000153	Yellow。呃……Hallow。不，等等，呃……Hello。对，对，就是这样。
OWB00000154	非常高兴再次见到你 - 也许是第一次见到。
OWB00000155	再见。
OWB00000156	的确，那个……我们的谈话要暂时结束了。呃……再见。请注意地上的方程式。
OWB00000157	我到了该离开的时间了。再见。
OWB00000158	好吧。给你最好的再见。
OWB00000159	现在就这么多。再见。
OWB00000160	-那么,下次见!假如还有'下次'的话.咱们俩都是!-
OWB00000161	不要介意，我们已经说得够多了。
OWB00000162	*嗯，那就顺延至和你的下次音频交互.*
OWB00000163	想我们已经说了足够久了。
OWB00000164	下次我们再联系，我奇妙的小无脑人。
OWB00000165	我们谈的足够多了。
OWB00000166	我现在就去.
OWB00000167	攻击
OWB00000168	你避免不了莫比乌斯的致命全息之刺。
OWB00000169	这是个事先录好的攻击信息，表明我对你实施暴力的这种欲望。
OWB00000170	用你的钳子粉碎他们！
OWB00000171	X-42,攻击，以莫比乌斯的名义！
OWB00000172	你无法躲开我的！
OWB00000173	机械巨蝎，攻击！
OWB00000174	去吧，我的宠物，以莫比乌斯的名义刺穿他们。
OWB00000175	我看到你了。现在，我会终结你。
OWB00000176	你不配谈科学！
OWB00000177	你怎么将这玩意点燃。
OWB00000178	嘿！谁把灯关掉了？
OWB00000179	攻击！用大写字母G！！
OWB00000180	-圆顶里的攻击-从圆顶之上来的！-
OWB00000181	- 无脑人！它来找我们了！-
OWB00000182	-我将会解开我们不可思议的原子力量的束缚！-
OWB00000183	我会将你身体里的填充物全部掏出来的，小泰迪熊。
OWB00000184	你会在咯咯作响的巴士上踏上旅途。
OWB00000185	我会把你炸回2060年。
OWB00000186	*我将会用我的武器攻击这个目标。*
OWB00000187	*我甚至不知道我的武器是干什么的。*
OWB00000188	*哦,我的攻击协议就是那样的。*
OWB00000189	*我们应该联手！伙计们？有人来么？*
OWB00000190	*如果我们吓唬吓唬它，也许它就放弃了！*
OWB00000191	如果你所希望的是拖延战斗，那么现在就是战斗的时候。
OWB00000192	我攻击你。哦，是的，攻击。你。
OWB00000193	那么，你觉得你能够配得上科学？！你们两个不可能产生关系，你们两没有什么共同话题的。
OWB00000194	你已经将科学弄得如此疯狂了！，确实，很疯狂。
OWB00000195	啊……！杀了它！杀了它！
OWB00000196	这武器有保险么?谁来说说?
OWB00000197	见证科学的力量吧！
OWB00000198	点击
OWB00000199	哈哈！
OWB00000200	真可怜。
OWB00000201	寻找弱点？毫无弱点可寻。
OWB00000202	你永远都不能通过屋子周围的监视器把我黑掉。
OWB00000203	让我们把这当做运动吧。
OWB00000204	反抗吧，直到你的终结。
OWB00000205	哦！
OWB00000206	快停下！你会毁了外壳的。
OWB00000207	哦，击中我的机械巨蝎，你能么？
OWB00000208	摧毁这个吧，我会弄更多的。
OWB00000209	-这不光彩的暴力是什么？！-
OWB00000210	-我从没经历过的痛苦！-
OWB00000211	-好疼！停！噢！噢。-
OWB00000212	我简直不敢相信你会攻击我这样一个中立的存在。
OWB00000213	这样的重复性打击对你不会有好处。
OWB00000214	哦，上帝，非常好，继续打我。我喜欢这样！
OWB00000215	啊！像实验动物一样对待我！把我当做你的泰迪熊，把我里边的东西都扯出来！
OWB00000216	*不是监视器！也不是外壳！*
OWB00000217	*拿走我的午餐费！拿去吧！*
OWB00000218	*哦——你快把我逼疯了！*
OWB00000219	这就是痛吗？
OWB00000220	那点燃了我的生物胶。
OWB00000221	如果我失去了另外一个摄像头……
OWB00000222	啊！我的库！它里面被放了一个滴答滴答的钟！
OWB00000223	它刮伤了我的库！
OWB00000224	它在反击！它不应该这样！
OWB00000225	放弃抵抗！
OWB00000226	它做了一个等量回馈！
OWB00000227	逃跑
OWB00000228	-没有希望了！为了你的才智逃跑吧！-
OWB00000229	-我们对它的力量无能为力！-
OWB00000230	我正在逃跑。多刺激。
OWB00000231	*我的自我保护程式干扰了我的侵略协议！*
OWB00000232	*我的懦弱程序—它在入侵。*
OWB00000233	好吧，我已经试验对抗正面袭击足够久了。
OWB00000234	是时候调整我的战术程式了。
OWB00000235	我去提升下我的速度和功率.
OWB00000236	撤退协议生效。
OWB00000237	需要去我的充电站了。
OWB00000238	-邪恶的攻击结束了……和它的发生一样迅速！-
OWB00000239	如果你还想攻击我，请填充正确的表格-还要带上手套。
OWB00000240	*那样欺负我很不好*
OWB00000241	哦，你并不想那么做？别担心。一切都被原谅了、遗忘了、禁止了。
OWB00000242	你只是想引起我的注意?
OWB00000243	突击
OWB00000244	＠＠[=$+<_--*]?
OWB00000245	-一个无缘无故的攻击！无缘无故！-
OWB00000246	这看上去像是一个十分绝望的引起注意的吼叫，我的小泰迪熊。
OWB00000247	*记得那次我说我们需要保镖么？对，那应该很不错，嗯哼？*
OWB00000248	我的......活体解剖时间到了么？
OWB00000249	IT'S THE SCHR諨INGER BOX FOR YOU.
OWB00000250	自动激刺枪瞄准。最大功率！
OWB00000251	激光刺- 开火！
OWB00000252	刺死那害虫！
OWB00000253	激光刺！
OWB00000254	尝尝我机器蝎军团的全力进攻吧！
OWB00000255	刺死他们,我的宠物！刺死那些傻瓜！
OWB00000256	激活特殊攻击程式。
OWB00000257	-发现-能量！-
OWB00000258	设置活体解剖者们为“最大侵略性。”
OWB00000259	*提升至最大脑波共震度*
OWB00000260	*瞄准我痛的镜头！*
OWB00000261	*哦————*
OWB00000262	下一波攻击是博士命令的。
OWB00000263	你想要能量？我会给你能量。
OWB00000264	哇————
OWB00000265	充能！
OWB00000266	开火！喔——
OWB00000267	哇哇哇哇哇哇哇
OWB00000268	<大量的骨骼咔咔作响>
OWB00000269	<大量的骨骼咔咔作响>
OWB00000270	<大量的骨骼咔咔作响>
OWB00000271	爆炸物？你没开玩笑吧？
OWB00000272	想伤到我的宠物，最好拿核弹来。
OWB00000273	哦，可恶。
OWB00000274	没人告诉我目标有炸弹一类的东西！
OWB00000275	无脑人！它在朝我扔炸弹！
OWB00000276	这就有个炸弹。
OWB00000277	看-一个炸弹朝我飞来。
OWB00000278	*唔-噢*
OWB00000279	伴随着光、热、声和压力的储能。
OWB00000280	你竟敢用物理？！来反抗我？
OWB00000281	填充式动力抢!
OWB00000282	爆炸物接近！
OWB00000283	战斗开始
OWB00000284	尾部锁定！
OWB00000285	准备承受莫比乌斯博士的攻击吧！
OWB00000286	发射脑波以及我的光谱列阵切割激光！
OWB00000287	*用我们的脑波轰爆它！*
OWB00000288	战斗！
OWB00000289	死亡
OWB00000290	你一定是在耍我。
OWB00000291	这没可能发生。
OWB00000292	我的计算是完美的！除了成功没有任何其他结果！
OWB00000293	不——！
OWB00000294	我的机械巨蝎！
OWB00000295	哦哦哦哦，你会为此付出代价的！
OWB00000296	*O……我的名字……是零博士……不是O。是零。*
OWB00000297	我……我一点也……不后悔！
OWB00000298	＠＠[*．．．．．．．］...
OWB00000299	-包若斯倒下了！听众在恐惧中喘息-
OWB00000300	我相信我已经死了或快了。不，等等-确实我死了。
OWB00000301	这就是桃源么。
OWB00000302	咯咯……火花……咯咯……那么……我……死了。
OWB00000303	我为了科学……献身。
OWB00000304	<嘎嘣脆>
OWB00000305	<大量的骨骼碎裂>
OWB00000306	<大量的骨骼碎裂>
OWB00000307	啊，我们的受害者来了。
OWB00000308	找到你了！
OWB00000309	莫比乌斯的眼睛在看着你！
OWB00000310	暴力时间。
OWB00000311	你以为可以在我眼皮子低下藏匿？唔，再来一次试试？
OWB00000312	啊！在这！杀死他！
OWB00000313	无脑人！尝尝这个喷雾！
OWB00000314	雷达扫描成功。目标……锁定。
OWB00000315	让入侵者领便当吧。
OWB00000316	我察觉到了一个入侵者。
OWB00000317	莫比乌斯命令机器蝎：扫描未知目标。
OWB00000318	如果那里有什么人的话。我，莫比乌斯，希望向你问好。
OWB00000319	我们做基佬吧，你和我。
OWB00000320	:: 口哨，似乎想要让什么人不要再藏匿了::
OWB00000321	:: 口哨，似乎想要让什么人不要再藏匿了::
OWB00000322	你好。我不会弄疼你的，我带来的死亡都是迅速而无痛的。
OWB00000323	出来吧。嗯。求你了。
OWB00000324	等着他们会找到你的，我的宠物。
OWB00000325	噢，忘了它吧。
OWB00000326	没必要为这浪费更多的能量电池。
OWB00000327	让我们先撤吧，再找一些东西来扎。
OWB00000328	 无脑人不见了。-
OWB00000329	 我相信，我们弄错了实验体。
OWB00000330	*躲起来？这就是我现在我想做的。*
OWB00000331	哼，没多大事。
OWB00000332	它刚刚还在这里的！把它扫描出来！
OWB00000333	雷达扫描中。
OWB00000334	呯呯呯
OWB00000335	你说什么？你把他弄丢了？赶快找！马上！
OWB00000336	-无脑人不见了！-
OWB00000337	我相信，我们弄错了实验体。
OWB00000338	*难道你没看过老恐怖电影吗？我们没有办法杀掉它，它就在这里，相信我。*
OWB00000339	看在朱庇特的份上，我需要修好这个监视器。
OWB00000340	入侵者呢！！我看不到他了！！！
OWB00000341	已经取消搜索程序。
OWB00000342	将能量从受体向传动器输送。
OWB00000343	返回到你的巡逻程序，机械巨蝎。
OWB00000344	正在载入攻击程序。
OWB00000345	你真的认为你可以从莫比乌斯博士手上逃走吗？
OWB00000346	噢！锁定！好的！
OWB00000347	他妈的它是从哪里来的？
OWB00000348	这些入侵者开始沮丧了。
OWB00000349	-战争爆发了！-
OWB00000350	我已经找到了泰迪熊躲藏的地方。
OWB00000351	*哦，我找到了！*
OWB00000352	找到你了！
OWB00000353	找到你了！
OWB00000354	这里有一个入侵者，我非常肯定。
OWB00000355	嗯
OWB00000356	好吧，所有人冷静下来。雷达上好像显示了什么。
OWB00000357	你确定你的雷达扫描到什么吗？
OWB00000358	*生物学意义上的“交流”到底是什么意思？*
OWB00000359	＠＠[=$+<_--*]?
OWB00000360	-智库大厅的暗处隐藏了什么？！-
OWB00000361	我侦测过了,这里没有动静，连只老鼠都没有。
OWB00000362	这一切我能想象吗？就像一只迟钝乌龟。
OWB00000363	我发誓，肯定有地方错了.
OWB00000364	滚回去巡逻！你这个垃圾。
OWB00000365	继续扫描中
OWB00000366	这些机械传感器需要再次调整。
OWB00000367	这些步行眼需要投入资金吗？
OWB00000368	无脑人不见了!-
OWB00000369	我相信，我们弄错了实验体。
OWB00000370	*我猜，我们现在需要回到我们的房间然后把门给反锁，是吗？*
OWB00000371	嗯，很好，这种肾上腺素的冲击将让我糊涂一整天。
OWB00000372	让我找到它，我将把它放在薛定谔盒子里。
OWB00000373	你无法抗衡莫比乌斯的力量！
OWB00000374	感受X-42科学的愤怒吧！
OWB00000375	攻击！
OWB00000376	以莫比乌斯博士的名义！
OWB00000377	消灭侵略者，我的仆人！
OWB00000378	-在我们惊人的感知下，无脑人无所遁形。-
OWB00000379	活体解剖开始。
OWB00000380	*记得吗，那时候我建议我们应将雇佣一些保镖的，嗯，那肯定很棒，不是吗？*
OWB00000381	一个挑战！
OWB00000382	你竟敢挑战莫比乌斯博士！
OWB00000383	我要把你粉碎成原子！一堆混乱，痛苦的原子！
OWB00000384	思想体 - 战术演练模式开启！
OWB00000385	我找到了一个升级你的全息磁带。
OWB00000386	在大坑洞的中央树立着一个不能被触碰的巨石，上面记录着无数的科技....
OWB00000387	也许，在最后，这个错误的问题将会有一个答案
OWB00000388	问题出现的速度已经超过了解决方法，随着战争的升级，它以几何形式增长，之后是指数形式。
OWB00000389	多年来，大山脉的电脑和头脑们诞生了一道道闪耀的轨迹，一张张武器图谱，一条条核理论公式，震撼人心。
OWB00000390	黑板和电脑终端上，无数的方程和计算被演绎着，一切只为了一个目的：赢得这场战争。
OWB00000391	尽管远离战场前线，科学家们却展开了一场他们自己的战争，原子级的战争。
OWB00000392	大战为大山脉和它的科学家们带来了一种新的能源。
OWB00000393	当原子核的研究完成，巨石圆顶的科学将会被众人所知。
OWB00000394	在思想体那里，没有解决不了的麻烦，没有回答不了的问题。
OWB00000395	音波发射器、宇宙时代合金，DNA重组，力场粒子研究，当然还有自动医生的进步：颅骨，心脏和超驰手术......
OWB00000396	...一个世纪以来的梦想与希望在大山脉的电子熔炉中被锻造成沉甸甸的现实。
OWB00000397	为了服务于全人类，他们开始在科学的支持下寻找创造一个新世界的方法。
OWB00000398	充满想象力的科学家们被这些设备吸引了，它们将是赢得这场世纪科技大挑战的关键。
OWB00000399	在大战爆发的前些年，大山脉聚集了21世纪拥有最聪明大脑的人们。
OWB00000400	我恢复了所有的技术信息。
OWB00000401	什么？你做到了？你竟然还活着，这是我没有几乎没有预料到的。
OWB00000402	现在，我只需要检查一下我的数据传输库，莫比乌斯一直用他的精神传输填充着自己。
OWB00000403	是的，这个图，就像你说的那样，多真实。
OWB00000404	当邮差成功的穿过了X-8设施，电脑已经分析了实验体的行为。
OWB00000405	他们最终创造出新的生化狗，它们可以嗅出那些潜伏在废土上共党叛徒的气味...就像贝琪和里奇那样的叛徒......
OWB00000406	但是它们好像没有找到任何共党。所以它们暴走了，它们那蕴含高能音波的犬吠在大地上回荡着。
OWB00000407	当邮差成功的穿过了X-8设施，电脑已经分析了实验体的行为。
OWB00000408	就算进行了外部的观测，但是他们发现对共产主义的了解是如此的贫瘠。-或者甚至对中学的概念也是这样。
OWB00000409	在一段时间里他们将彼此混淆了，直到设施最后意识到研究已经……成功了。
OWB00000410	所以让这些生化狗进入废土，去保护那些小型的聚集地免受实际的袭击，而不再是共党的宣传攻势。
OWB00000411	测试结束很久之后对X13的渗透计划仍在持续.
OWB00000412	尽管一面为丢失过去的科技而失意，同时X-13也扩展了激光绊网，传感器，脑控科技的网络到整个大山脉。
OWB00000413	这一束束状如幽深树林般的密集的蓝色光束将所有进入其领域的东西分割成为细小的碎片，这是为了便于处理它们。
OWB00000414	 X-13渗透计划的研究资金因一直不断地在对隐形衣进行极限式的升级而显得有些捉襟见肘。
OWB00000415	它感到温暖、满足，和一点小小的疲惫  之后不久，他发觉那套潜行服已经离开他了，甚至没有留下任何类似床头柜上的留言的东西。
OWB00000416	所以，渗透程序向废土派出了机械脑去寻找它顽皮的科学产品。
OWB00000417	它最终找到了太平洋引擎公司总部，然后设立了一个新的研究中心，试验和谋杀那些不断进入研究中心的恶魔帮们。
OWB00000418	 莫比乌斯博士在禁区心无旁骛地继续着他的研究。
OWB00000419	像他试图制造更强的机器蝎那样，他也同样在人类学上努力，虽然取得的成果要少很多。
OWB00000420	这些失败并没有使他气馁。只要曼他特带来的的快感消失，他就会忘记他曾有的任何失败。
OWB00000421	 毕竟，那个曾经到禁区拜访他的聪明的年轻人已经超出了他的预期。
OWB00000422	 禁区又一次变得名副其实,它的峡谷中再也没有出现过机械巨蝎。
OWB00000423	大山脉变得更空荡了，已经全无莫比乌斯博士的预言式公告,任何胆敢掌握完全感知能力的事物都会被毁灭.
OWB00000424	但是人们依旧流传着这样一个说法：他就住在禁区的圆顶，地板和墙上则有方程式刻于其上。
OWB00000425	我想，因为你的脑残手术，你将会成为历史，克莱因博士。
OWB00000426	一场战争？我...我从来都没经历过战争呐！ 我..我我到底...
OWB00000427	啊啊啊啊啊啊！同事们！思想体！警报！警报！我们正在遭受攻击！
OWB00000428	我暂时不会交出我的大脑的……有些事情我们需要谈谈。
