AAD00100001	GREETING
AAD00100123	Keep your distance. Try to flank them.
AAD00100124	<Confirmatory beeping> 
AAD00100125	<Follow Distance::Far>
AAD00100126	All right, you're good. Let's get out of here.
AAD00100127	<Confirmatory beeping> 
AAD00100128	<Control Interface::Close>
AAD00100129	Your distance is good. Let's talk about something else.
AAD00100130	<Confirmatory beeping> 
AAD00100131	<Follow Distance Protocol::Close>
AAD00100132	Stay close to me.
AAD00100133	<Confirmatory beeping> 
AAD00100134	<Follow Distance::Close>
AAD00100135	Stick close to me.
AAD00100136	Let's talk about how close you're following me.
AAD00100137	<Confirmatory beeping> 
AAD00100138	<Follow Distance Protocol::Open>
AAD00100139	I want you to use ranged weapons.
AAD00100140	<Confirmatory beeping> 
AAD00100141	<Weapon Type::Ranged>
AAD00100142	Switch to a melee weapon.
AAD00100143	<Negatory beeping> 
AAD00100144	<Weapon Type::Melee>
AAD00100145	Let's talk about something else.
AAD00100146	<Confirmatory beeping> 
AAD00100147	<Tactics Interface::Close>
AAD00100148	That's all. Let's get going.
AAD00100149	<Confirmatory beeping> 
AAD00100150	<Control Interface::Close>
AAD00100151	I want you to change your combat style.
AAD00100152	<Confirmatory beeping> 
AAD00100153	<Combat Interface::Open>
AAD00100154	Let's talk about your tactics.
AAD00100155	<Confirmatory beeping> 
AAD00100156	<Tactics Interface::Open>
AAD00100157	Let's get going.
AAD00100158	<Happy beeping> 
AAD00100159	<Follow Protocol::Reinitiate>
AAD00100160	It's time for us to part ways.
AAD00100161	I think we should travel together.
AAD00100162	<Happy beeping> 
AAD00100163	FollowersHiredNo
AAD00100164	StartCombatResponse
AAD00100165	<Combat beeping>
AAD00100166	Got you.
AAD00100167	Let's end this.
AAD00100168	End of the road.
AAD00100169	We'll see what you stand for.
AAD00100170	NormalToAlertResponse
AAD00100171	On second thought, stick with me for a little longer.
AAD00100172	Yes, I'm sure.
AAD00100173	FollowersAcknowledgeMyOrder
AAD00100174	<Confirmatory beeping> 
AAD00100175	I want you not to attack enemies unless I've already engaged them.
AAD00100176	<Confirmatory beeping> 
AAD00100177	<Aggression Level::Passive>
AAD00100178	I want you to attack enemies the moment you see them.
AAD00100179	<Confirmatory beeping> 
AAD00100180	<Aggression Level::Aggressive>
AAD00100181	FollowersOverburdened
AAD00100182	<Strained beeping> 
AAD00100183	FollowersStealthing
AAD00100184	<Sneaky beeping> 
AAD00100185	<Stealth Protocol::Initiate>
AAD00100186	The Divide couldn't stop me, the Mojave couldn't kill me - you don't have much chance.
AAD00100187	I'll finish history's work. If the Divide couldn't kill you... perhaps these spears of the Old World can.
AAD00100188	Let's end this, Courier, you and I. Here, with the Old World flag as witness.
AAD00100189	NVDLC04UlyssesForceGreet
AAD00100190	Even in this place, NCR's shadow falls. Or is it just, you, Courier, without the Bear's corpse to weigh you down.
AAD00100191	So you came, Frumentarii, Courier - whatever you are now. Come to carry out Caesar's law? His voice carries no weight here.
AAD00100192	Your city, Vegas, lies in the other direction... with the rest of its slaves. Or is it just, you, Courier, without the lights and ghosts.
AAD00100193	So you came, Courier, to what - watch your homeland burn one last time. Kill me, perhaps.
AAD00100194	Judging by your shadow... maybe you can't let your machine go. Doesn't matter now.
AAD00100195	Either way, the Divide giants are awakening. The missiles here, on their way home. There is no way to stop them.
AAD00100196	You are too late. The Divide is awakening - the package, and the message within, have come full circle.
AAD00100197	The sequence has begun, just as before. Except this time, the missiles will touch the sky instead of being locked beneath the ground.
AAD00100198	
AAD00100199	Thought that explosion, that building falling deep in the Divide might have been your work... wouldn't kill you, maybe close.
AAD00100200	Knew you'd survive... but no need to go any farther. You've brought me what I need - that machine with you, sealed in the Hopeville silo.
AAD00100201	Needed someone to unlock it - bring it home. Now the signal's strong enough, no need for you to carry it anymore. I can call your machine to me.
AAD00100202	
AAD00100203	Hopeville, High Road, Ashton... tiny cracks in the Earth, nothing compared to the road carved ahead.
AAD00100204	Before you... this is the edge of the Divide. Ahead lies your work, the history you burned in the earth. What you brought to the people here.
AAD00100205	
AAD00100206	There you are, you went quiet for a time... knew killing the Bear wouldn't prove easy... you and your machine, you survived.
AAD00100207	There's a lesson here, in the Divide. Old World history about paving and intentions could teach the Republic a thing or two - if they listened.
AAD00100208	They have an idea of trying to do what's right, never quite getting there. Maybe you've seen it - Nipton, elsewhere.
AAD00100209	Picking up the signal from your machine... was quiet for a time, thought the Road had claimed another of the Legion.
AAD00100210	Too many of the Bull have already fallen here... to radiation, fire... and what burrows below.
AAD00100211	There you are, you went quiet for a time... thought you might have returned to Vegas, its comforts. Maybe you took that machine with you.
AAD00100212	There's a lesson here, in the Divide. Old World history about holding on to something so tightly it breaks... or falls apart.
AAD00100213	May have seen the cracks in Vegas's walls already. If so, they'll grow, in time, no matter how much you back House.
AAD00100214	There you are, you went quiet for a time. Then that signal came in strong from your machine, like a heartbeat.
AAD00100215	Made your way through Old World towns, the tunnels that join them... now, the High Road.
AAD00100216	For all you've seen behind you - there's worse along this stretch. Deathclaws - hunt the Marked Men, and they also hunt what burrows below.
AAD00100217	< Storage Node for Skill Checks. Do not Translate. > 
AAD00100218	
AAD00100219	There's your signal... faint, but there. Just like NCR - voice without fire, without strength, sick.
AAD00100220	Heard tales of you walking the Mojave. Giving the two-headed bear strength. Giving hollow men like Kimball, like Crocker, half the life Hanlon had.
AAD00100221	Now... let's test that strength. That... "conviction." Courier.
AAD00100222	There's your signal... faint, but there. A woman in Caesar's service. Looks like the Bear has had its victory, after all.
AAD00100223	There's your signal... faint, but there. Charging ahead, like the rest of our brothers, blood in your eyes.
AAD00100224	Taking your chances, coming here. Just like bringing the lord of Vegas his tribute, bending your knee to Old World ghosts.
AAD00100225	You and that Chip - deserve each other, twenty-nine less coins than other traitors have carried, if history's true.
AAD00100226	Now see the road the Old World paves... and what the lights of New Vegas promise, if they haven't blinded your eyes.
AAD00100227	There's your signal. Faint, but there. You came, good. Curious, maybe.
AAD00100228	You walked the Mojave without a flag on your back. That'll end soon, can't walk the Long 15 and not have a nation's shadow fall on you.
AAD00100229	Maybe you just need to be tested. Or you believe in nothing. We'll see.
AAD00100230	< Storage Node. Do not translate. >
AAD00100231	< Storage Node. Do not translate. >
AAD00100232	
AAD00100233	Experiment log 369248/A - Eyebot Duraframe universal interface override system. This is Dr. Whitley presiding.
AAD00100234	Initial tests of the override system are promising. Against unsecured or lightly-encrypted targets, the Eyebots have a 98% success rate.
AAD00100235	More heavily protected systems are still problematic. Military-grade encryption presents a very real possibility of critical overload of key systems.
AAD00100236	We've stopped tests before any robots were destroyed, but if we don't address the problem our Eyebots will fry themselves hacking military networks.
AAD00100237	
AAD00100238	Next week on RALPHIE the Robot's Incredible Odyssey!
AAD00100239	Tune in next Saturday for the exciting conclusion! Only on Vault-Tec Channel 9!
AAD00100240	
AAD00100241	Dad! Hey Dad! Check out this robot I found!
AAD00100242	He's not dangerous! Look, he's hurt! Can we take him home, Dad? Maybe Mom can fix him!
AAD00100243	Please? He looks so lonely! Maybe if Mom fixes him, he can help her out around the garage?
AAD00100244	Yay! He'll be just like RALPHIE, only this one's not a toy!
AAD00100245	
AAD00100246	<Music, followed by gunshots.>
AAD00100247	
AAD00100248	Good, you're back on-line. Listen to me, ED-E - if you stay here, they'll dismantle you for parts. You have to go now.
AAD00100249	I've uploaded destination coordinates for our outpost in Navarro into your system. I want you to go to the Enclave there, okay?
AAD00100250	Do you understand me? It's going to be a long journey, my little friend. You'll have to fly very far, and fly very fast. Can you do that?
AAD00100251	<Sad beeping>
AAD00100252	I know you can. Be careful out there, ED-E. Maybe I'll see you again some day.
AAD00100253	
AAD00100254	All due respect sir, I think you're making a mistake. We're close to a breakthrough with the Duraframe Eyebots, I can feel it! Yes, sir.
AAD00100255	Yes sir, I understand that we need the Duraframe assets for Hellfire armor, but-No, sir. Yes, sir. I understand, sir.
AAD00100256	I'll tell the team to start disassembling the ED series prototypes right away.
AAD00100257	ED-E, you little rascal. Were you eavesdropping again? I think those videos you watch are a bad influence on you. How much of that did you hear?
AAD00100258	<Sad beeping>
AAD00100259	Hmm... didn't Dr. Grant say she'd upgraded your navigational systems? I think I have an idea.... How'd you like to be just like RALPHIE?
AAD00100260	
AAD00100261	I don't believe it! Grant actually went to Colonel Autumn and got approval for her damned "efficiency guidelines!"
AAD00100262	"All experiments will be carried out with the test subject fully active, to reduce iteration time." It's barbaric!
AAD00100263	I've explained this to the Colonel - just because the Eyebots don't have true AI doesn't mean they're just machines.
AAD00100264	I guess results are all that matter around here. Forget things like "ethical procedures" or "humane treatment."
AAD00100265	I'm starting to have serious misgivings about leadership around here. At least I've got you to talk to, huh ED-E?
AAD00100266	
AAD00100267	Ah, Whitley, there you are. Orders from Colonel Autumn - he feels the Eyebot Duraframe project isn't advancing quickly enough. I'm to-
AAD00100268	Don't be ridiculous, it's just a machine. See here, I've already increased the navigation system's efficiency by 65%.
AAD00100269	Fine, Whitley, it's your lab. At least until I tell the Colonel about this.
AAD00100270	
AAD00100271	<Distressed beeping>
AAD00100272	Dr. Grant? What the hell do you think you're doing?
AAD00100273	You didn't even disengage his damage-avoidance protocols! You're hurting him!
AAD00100274	Get the hell out of here!
AAD00100275	
AAD00100276	Experiment log 369248/B - Eyebot Duraframe universal interface override system. This is Dr. Whitley presiding.
AAD00100277	We've boosted signal gain and enlarged the overflow buffer system. That should ensure 100% connectivity and control. ED-E, whenever you're ready.
AAD00100278	<Electronic sounds>
AAD00100279	Yes! Success! Um, reporting full success on 369248/B. ED-E was able to interface with and override the test panel in under three seconds.
AAD00100280	Great job, team. Now, let's start on the proposal for the full rollout.
AAD00100281	
AAD00100282	<Scared beeping>
AAD00100283	<Scared beeping>
AAD00100284	<Scared beeping>
AAD00100285	
AAD00100286	<Excited beeping>
AAD00100287	<Excited beeping>
AAD00100288	<Excited beeping>
AAD00100289	
AAD00100290	<Sad beeping>
AAD00100291	<Sad beeping>
AAD00100292	<Sad beeping>
AAD00100293	
AAD00100294	<Happy beeping>
AAD00100295	<Happy beeping>
AAD00100296	<Happy beeping>
AAD00100297	
AAD00100298	 
AAD00100299	Okay, if you don't want to tell me, just say so.
AAD00100300	<Apologetic beeping>
AAD00100301	Yes, I'm sure I heard it. Did something knock your memory modules loose?
AAD00100302	No, it wasn't your boot-up sequence, it was a recording. Something about someone called RALPHIE.
AAD00100303	<Evasive beeping>
AAD00100304	What was that sound you played? Some kind of memory glitch?
AAD00100305	<Confused beeping>
AAD00100306	
AAD00100307	Careful, Tommy - I've never seen a robot like that before. It might be dangerous. 
AAD00100308	I don't know, son... what if someone comes looking for it? 
AAD00100309	All right, boy. But if he breaks anything, it's coming out of your allowance! 
AAD00100310	Yes, ED-E, I'm sure you didn't make the entire trip in one go. It's still impressive.
AAD00100311	<Proud beeping>
AAD00100312	No, ED-E, I don't want to hear your recordings of "human mating calls." That's just... wrong.
AAD00100313	<Coy beeping>
AAD00100314	Really? Well, I'd better be careful what I say to you, huh?
AAD00100315	<Reassuring beeping>
AAD00100316	Let's get going.
AAD00100317	I think I would have liked him.
AAD00100318	<Happy beeping>
AAD00100319	He should have obeyed orders. Without respect for the chain of command, the whole unit falls apart.
AAD00100320	<Sad beeping>
AAD00100321	Yeah, I'm beginning to see where you get it from.
AAD00100322	<Proud beeping>
AAD00100323	Better you than me. Let's do this.
AAD00100324	No, ED-E, I won't let you sacrifice yourself like this. There has to be another way!
AAD00100325	<Sad beeping>
AAD00100326	Are you... are you saying you can stop this missile?
AAD00100327	<Confirmatory beeping>
AAD00100328	Come on, ED-E, let's go.
AAD00100329	<Happy beeping>
AAD00100330	Sounds like that kid was pretty fond of you. Why did you leave?
AAD00100331	<Wistful beeping>
AAD00100332	Where did this happen?
AAD00100333	<Happy beeping>
AAD00100334	No time to talk - I don't like the look of this place, we should keep moving.
AAD00100335	<Scared beeping>
AAD00100336	<Happy beeping>
AAD00100337	Thanks, ED-E. Let's keep going.
AAD00100338	That sounded bad.
AAD00100339	<Scared beeping>
AAD00100340	What was that?
AAD00100341	<Pained beeping>
AAD00100342	Come on, we need to keep going.
AAD00100343	<Happy beeping>
AAD00100344	Whitley turned you loose all on your own? That must have been scary.
AAD00100345	<Sad beeping>
AAD00100346	
AAD00100347	[SUCCEEDED] <Scared beeping>
AAD00100348	So you're trying to get all the way to Navarro? Isn't that in NCR territory?
AAD00100349	[FAILED] <Expository beeping>
AAD00100350	Oh... right. Navarro. That... sure is far? From where you started?
AAD00100351	I guess Whitley found a way to keep you from being scrapped. Let's keep going.
AAD00100352	<Happy beeping>
AAD00100353	Do you record everything that's said around you?
AAD00100354	<Sly beeping>
AAD00100355	Sounds like Dr. Whitley was a bit of a rogue element.
AAD00100356	<Happy beeping>
AAD00100357	Wow, do you kiss your mother with that mouth?
AAD00100358	<Embarassed beeping>
AAD00100359	You don't have to tell me. I would have beat the crap out of her.
AAD00100360	<Satisfied beeping>
AAD00100361	RALPHIE who? You're still not making sense, ED-E.
AAD00100362	<Evasive beeping>
AAD00100363	Who the hell is "General Winters?" The recording mentioned a Colonel Autumn.
AAD00100364	<Lonely beeping>
AAD00100365	That's a terrible story, ED-E, but we should get moving.
AAD00100366	<Sad beeping>
AAD00100367	Dr. Grant sounds like a war crime waiting to happen.
AAD00100368	<Angry beeping>
AAD00100369	It sounds like Dr. Whitley really cared about you.
AAD00100370	<Sad beeping>
AAD00100371	All right, let's keep moving.
AAD00100372	Maybe you'll see him again someday.
AAD00100373	<Happy beeping>
AAD00100374	Well, I'm sure he's fine. Wherever he is.
AAD00100375	<Happy beeping>
AAD00100376	Well, it might be enough to get us through this silo.
AAD00100377	<Happy beeping>
AAD00100378	Only panels with a dish-shaped receiver? The console in the main room had one of those, I think.
AAD00100379	<Happy beeping>
AAD00100380	That's fascinating. Let's keep going.
AAD00100381	<Happy beeping>
AAD00100382	Was that the voice of your creator? What happened to him?
AAD00100383	<Expository beeping>
AAD00100384	That's a recording from your development - are you saying you can override electronic security?
AAD00100385	<Expository beeping>
AAD00100386	I think I could use your help getting out of here. Can you come with me?
AAD00100387	ED-E? What are you doing here?
AAD00100388	<Expository beeping>
AAD00100389	<Expository beeping>
AAD00100390	What's an Eyebot doing here?
AAD00100391	
AAD00100392	[FAILED] <Worried beeping>
AAD00100393	It could be one of those robo-viruses. You might be contagious - stay away from other computers.
AAD00100394	[SUCCEEDED] <Happy beeping>
AAD00100395	Probably just some old data floating around in your memory. Nothing to worry about.
AAD00100396	I hope those bastards got what was coming to them.
AAD00100397	<Sad beeping>
AAD00100398	I can see why you left that place, then.
AAD00100399	<Wistful beeping>
AAD00100400	He must have tried to change things. He doesn't seem like the type to let that slide.
AAD00100401	<Wistful beeping>
AAD00100402	He sounds more like a father than an inventor in these logs.
AAD00100403	<Happy beeping>
AAD00100404	Let's press on. We've got a lot of ground to cover.
AAD00100405	<Happy beeping>
AAD00100406	I can't believe they'd approve that. I've met enough robots to know they're more than just machines.
AAD00100407	<Pained beeping>
AAD00100408	Whitley was really protective of his Eyebots, huh?
AAD00100409	<Happy beeping>
AAD00100410	Never mind.
AAD00100411	<Happy beeping>
AAD00100412	There are more robots like you? With the same memory and everything? Interesting....
AAD00100413	This silo must have some pretty advanced engineering facilities to remote-scan you and build copies.
AAD00100414	[SUCCEEDED] <Confirmatory beeping>
AAD00100415	[FAILED] <Negatory beeping>
AAD00100416	So you're some kind of... robot clone?
AAD00100417	You're a copy? Made by the military bases in the Divide? Weird.
AAD00100418	<Declarative beeping>
AAD00100419	Slow down, slow down - what do you mean you're not the ED-E I know?
AAD00100420	<Explanatory beeping>
AAD00100421	
AAD00100422	ED-E? What are you doing in here all alone? And who left these old videos playing? Come on, let's get you into your recharge bay.
AAD00100423	We've got a big day tomorrow.
AAD00100424	
AAD00100425	<Dramatic music>
AAD00100426	Forget it. The Legion has this coming.
AAD00100427	I don't care! I'll just change the missile's target myself. I never liked the NCR anyways.
AAD00100428	<Resigned beeping>
AAD00100429	If... if you're really sure you want this, okay. Go ahead and stop the missile. And... goodbye.
AAD00100430	<Determined beeping>
AAD00100431	Are you sure this is the only way to stop the missile from launching?
AAD00100432	<Confirmatory beeping>
AAD00100433	It looks like I can still choose the missile's actual target. Maybe we can work with that.
AAD00100434	<Negatory beeping>
AAD00100435	But the log said that this kind of encryption would kill you!
AAD00100436	<Sad beeping>
AAD00100437	What's a Chicago?
AAD00100438	<Expository beeping>
AAD00100439	Illinois? So that's where you got that plate. The other you, I mean.
AAD00100440	<Happy beeping>
AAD00100441	<Happy beeping>
AAD00100442	Illin-what? Come on, you're making that name up.
AAD00100443	Was it worth it? You still haven't made it to Navarro yet.
AAD00100444	<Determined beeping>
AAD00100445	You gave that up to continue Whitley's mission?
AAD00100446	<Proud beeping>
AAD00100447	
AAD00100448	[SUCCEEDED] <Happy beeping>
AAD00100449	Sounds like they blew out your primary stabilizing jets. I can't believe you kept going after that.
AAD00100450	[FAILED] <Sad beeping>
AAD00100451	That bullet probably did something bad.
AAD00100452	No wonder you didn't make it all the way to Navarro.
AAD00100453	<Sad beeping>
AAD00100454	You're lucky you got away from them. They would have sold you for scrap in a heartbeat.
AAD00100455	<Happy beeping>
AAD00100456	Raiders, huh? Amateurs. I'd have tracked you down and salvaged you for scrap.
AAD00100457	<Scared beeping>
AAD00100458	I bet Whitley would be proud of you for making it this far.
AAD00100459	<Happy beeping>
AAD00100460	It sounds like it wasn't easy for him, either.
AAD00100461	<Sad beeping>
AAD00100462	I'm amazed you didn't break down somewhere along the way.
AAD00100463	<Sad beeping>
AAD00100464	NVDLC04EndingSlideFinale
AAD00100465	And this road - has reached its end.
AAD00100466	NVDLC04EndingSlideStart
AAD00100467	The Couriers finally, really did it. They blew up the lands West and East of the Mojave... damning them all to hell.
AAD00100468	The act was discovered 200 years later, as other Couriers explored the Mojave wastes.
AAD00100469	There, they saw NCR relics, reminders of their once proud history.
AAD00100470	The Divide erupted in fire, violent, red, as the last message of the two Couriers arced into the sky...
AAD00100471	The missiles rained like spears down on the land, burning flags and communities alike... destroying all they struck.
AAD00100472	The history of the West was erased for the second time, thorough and complete... and America slept once more.
AAD00100473	The Divide erupted in fire as the flame trail of the two Couriers' last message arced into the sky...
AAD00100474	I'm running low on Small Energy Cells. Can you make me more?
AAD00100475	<Happy beeping>
AAD00100476	I need some Microfusion Cells. Can you make some?
AAD00100477	<Happy beeping>
AAD00100478	Can you repair my weapon?
AAD00100479	<Happy beeping>
AAD00100480	Let me access your multitools. I want to make something.
AAD00100481	<Confirmatory beeping>
AAD00100482	I'd like to make some ammo. Can you help me?
AAD00100483	<Confirmatory beeping>
AAD00100484	Sometimes I feel the same way. Why do you think I became a courier?
AAD00100485	<Melancholy beeping>
AAD00100486	Don't worry, I won't let any mean old generals get you.
AAD00100487	<Happy beeping>
AAD00100488	I'll do whatever I can to help you get home - after we deal with things here.
AAD00100489	<Hopeful beeping>
AAD00100490	Yes, ED-E, I'm sure RALPHIE the Robot would be very proud of you.
AAD00100491	<Ecstatic beeping>
AAD00100492	Come on, ED-E. We've got to fly far and fly fast if we want to get to the end of the Divide.
AAD00100493	<Determined beeping>
AAD00100494	<Happy beeping>
AAD00100495	Come on, ED-E. Time to move on.
AAD00100496	Is that what you're doing? Trying to find your way home?
AAD00100497	<Wistful beeping>
AAD00100498	Suddenly a lot of things make more sense.
AAD00100499	<Happy beeping>
AAD00100500	
AAD00100501	<Frightened beeping>
AAD00100502	
AAD00100503	RALPHIE, hurry! If mean old General Winters catches you, you'll never make it home! 
AAD00100504	No! RALPHIE, fly far! Fly fast! 
AAD00100505	But why would he do that? It wasn't to lure me here, Ulysses already knew I was coming.
AAD00100506	<Worried beeping>
AAD00100507	An override frequency? So, what, Ulysses just... called you here?
AAD00100508	<Confused beeping>
AAD00100509	Of course I came after you. I wasn't going to leave you behind.
AAD00100510	<Happy beeping>
AAD00100511	What happened? You just took off like you finally found home.
AAD00100512	<Sad beeping>
AAD00100513	Whatever he's planning, Ulysses obviously wants you there. Come on - I'd hate to disappoint him.
AAD00100514	You're at the mercy of your programming, I get it. It's not your fault. Now, are you ready to go?
AAD00100515	Okay, well, don't do it again. Come on, let's go.
AAD00100516	Come on. We're ending this. Right now.
AAD00100517	<Determined beeping>
AAD00100518	
AAD00100519	[SUCCEEDED] <Sad beeping>
AAD00100520	Must have been an override function piggybacked on that broadcast. That's what pulled you here.
AAD00100521	[FAILED] <Worried beeping>
AAD00100522	You just heard that signal and flew off. Are you catching the robot crazies or something?
AAD00100523	Are you okay?
AAD00100524	<Confirmatory beeping>
AAD00100525	What the hell happened? You just ran off on me.
AAD00100526	<Apologetic beeping>
AAD00100527	Play me the trailer for RALPHIE the Robot's Incredible Odyssey.
AAD00100528	I liked the one where the little kid found you.
AAD00100529	Let's hear the one where you were attacked by raiders.
AAD00100530	I want to hear the recording of when Whitley sent you on your journey.
AAD00100531	Play me Whitley's phone call with Colonel Autumn.
AAD00100532	Let's hear the log where Whitley talks about Colonel Autumn's plans.
AAD00100533	How about the one where Dr. Whitley yelled at Dr. Grant?
AAD00100534	Play the log about your ability to crack encrypted systems.
AAD00100535	I'd like you to replay one of those audio logs.
AAD00100536	<Inquisitive beeping>
AAD00100537	NVDLC04NCRHolotape03
AAD00100538	Mayday, mayday, mayday! This is NCR Trooper Gleeson calling anyone listening on this channel.
AAD00100539	My platoon has been wiped out, and I am pinned down by a goddamn huge Deathclaw in a place called the Divide!
AAD00100540	So far I've been able to scare it away with flares, but I lack any explosives to kill the damn thing! Please assist! I say again, please assist!
AAD00100541	Mayday, mayday, mayday! This is NCR Trooper Gleeson calling anyone listening on this channel.
AAD00100542	NVDLC04UlyssesCombatMarkedMenAllDead
AAD00100543	No more echoes of the Bull and the Bear. The rest will share their fate.
AAD00100544	NVDLC04UlyssesCombatEyebotsAllDestroyed
AAD00100545	Didn't think you'd outlast the machines. Good.
AAD00100546	NVDLC04UlyssesCombatMarkedMenEnter
AAD00100547	The dead men of the New World... they've come for you.
AAD00100548	NVDLC04UlyssesCombatEyebotsHostile01
AAD00100549	Took my machines? Hnh. Underestimated you.
AAD00100550	NVDLC04UlyssesCombatEyebotsDisabled01
AAD00100551	Just you and me, then. Always was.
AAD00100552	NVDLC04UlyssesCombatEyebotsHostile02
AAD00100553	Machines might keep you alive, but they won't save you.
AAD00100554	NVDLC04UlyssesCombatEyebotsDisabled02
AAD00100555	Can't stop the Old World's return, Courier.
AAD00100556	NVDLC04UlyssesFriendMarkedMenHalfDead
AAD00100557	We've shown them fear, but not enough. More will come.
AAD00100558	NVDLC04UlyssesFriendMMUsesStealthboy
AAD00100559	Watch the shadows - the beasts cloak themselves in Old World tech.
AAD00100560	NVDLC04UlyssesFriendMarkedMenAllDead
AAD00100561	We've broken them. The Bear and the Bull have no more shadows to throw at us.
AAD00100562	NVDLC04UlyssesFriendSentryDies02
AAD00100563	Old World's running out of machines.
AAD00100564	NVDLC04UlyssesFriendSentryDies01
AAD00100565	Another Old World soldier falls.
AAD00100566	NVDLC04UlyssesFriendTaunt03
AAD00100567	You have forgotten all you were, traded glory for savagery. Fitting.
AAD00100568	NVDLC04UlyssesFriendTaunt02
AAD00100569	Mercy killings - let them rest.
AAD00100570	NVDLC04UlyssesFriendTaunt01
AAD00100571	Beasts from the Divide. To the Divide, they return.
AAD00100572	NVDLC04UlyssesFriendMMWithSatchelCharge
AAD00100573	Watch the floor. Mines. Tactics of the Bear.
AAD00100574	NVDLC04UlyssesFriendMarkedMenEnter
AAD00100575	They come for us,  East and West alike.
AAD00100576	NVDLC04UlyssesCombatTaunt03
AAD00100577	Running out of time, Courier.
AAD00100578	NVDLC04UlyssesCombatTaunt02
AAD00100579	Come all this way - to die alone.
AAD00100580	NVDLC04UlyssesCombatTaunt01
AAD00100581	I'll end you - and your history.
AAD00100582	NVDLC04UlyssesCombatMarkedMenKilled02
AAD00100583	Killing them is mercy.
