ALT00000001	Choose This Background
ALT00000086	Alternate Start requires NVSE version 6.3.0 or greater. Make sure you update it or this mod will not work.
ALT00000087	Alternate Start requires JIP LN NVSE. Make sure you have it installed or this mod will not work.
ALT00000088	Alternate Start requires JohnnyGuitarNVSE. Make sure you have it installed or this mod will not work.
ALT00000089	Alternate Start requires ShowOffNVSE. Make sure you have it installed or this mod will not work.
ALT00000090	Incompatible Mod Detected: Better Character Creation[CRLF][CRLF] Better Character Creation is not compatible with Alternate Start. If you proceed, you will experience issues.
ALT00000091	The starting quest [%]VCG00[%] which Alternate Start needs to function is being overwritten by [%]. Resolve this conflict or the mod will not work properly.
ALT00000092	The starting quest [%]VCG01[%] which Alternate Start needs to function is being overwritten by [%]. Resolve this conflict or the mod will not work properly.
ALT00000093	WARNING: YUP - Base Game + All DLC.esm is loaded below AltStart.esm.[CRLF][CRLF]Make sure YUP is loaded above AltStart.esm in your load order or you will experience issues.
ALT00000094	You don't have any ears to turn in.
ALT00000095	Your karma is too high to turn in ears.
ALT00000096	You went fishing too recently. Come back later when the fish are biting.
ALT00000097	Fishing
ALT00000098	Would you like to fish off your dock?
ALT00000099	Turn In Human Meat
ALT00000100	The Mojave Express
ALT00000101	The Mojave Express is hiring!
ALT00000102	Interested in a fulfilling career that offers good pay and a chance to experience the great outdoors? Why not become a courier with the Mojave Express!
ALT00000103	The Mojave Express is looking for hardworking individuals who are familiar with the Vegas area. If interested in the job, please visit our main office in the Hub.
ALT00000104	Become a courier.
ALT00000105	Nightstalker Items
