SI000001	DEFAULT
SI000040	"scn sssSCPTBaseGamePerksStartup

int iActionStarRanks
int iTargetIsNPC
int iNPCIsFemale
ref rCrosshairTarget

int bTargetIsChild

array_var aPlayerPerksOld
array_var aPlayerPerksNew

int iStockedPerk
int iSitting

int iHeartlessReduction

int iTraitCheckUDFRunning
int bNewBloodLoaded

ref rPerkForm
ref rPerkFormBase
ref rPerkFormToCheck
int bEKStage
int iPerkCountOld
int iPerkCountNew

int iEducatedLevels

string_var sNameStringEK
string_var sNameStringPerkToCheck

int bGoShowPerkItems

ref rPerkListToShow

string_var sNoteString
string_var sNoteNameToAdd
ref rRef

int iFLSTPrint2StepCurrentPhase

int bPromptUDF

int bDoItAgain

int bLoopStarted
float fMenuGrabLock
int bLockGrab

int bHematophageVersion
int bTomahawkHeaveHo
string_var sMeltdownDescrip

int bMilsurpBigGuns 
int bMilsurpBigGunsConsumable 
int bMilsurpBigGunsConfirmed

int iSkilledPenalty
int iTalentedCutoff

int iCurrentLevel
int iLevDif
int iTick

array_var aHomies

int bWeaponHandlingDouble

ref rRef
array_var aEntry

begin gamemode
	if GetGameRestarted
		if ismodloaded ""JustAssortedMods.esp"" == 1 || isModLoaded ""JustBulletTime.esp"" == 1
			ref rJBTEffect = EditorIDToFormID ""JBTEffect""
			if isformvalid rJBTEffect 
				ListAddForm FLSTJBTEffect rJBTEffect 
			endif
		endif
		if ismodloaded ""JBTImproved.esp"" == 1 && isModLoaded ""JustAssortedMods.esp"" == 1
			bJBTImprovedLoaded = 1
			;ref rFLSTJBTDamageModifierScripts = EditorIDToFormID ""FLSTJBTDamageModifierScripts""
			;if isformvalid rFLSTJBTDamageModifierScripts 
			;	ListAddForm rFLSTJBTDamageModifierScripts SCPTSweetPerkOverhaulJBTDamage 
			;endif

			ref rFLSTJBTAPModifierScripts = EditorIDToFormID ""FLSTJBTAPModifierScripts""
			ref rJBTStandardMathWrathAPValues = EditorIDToFormID ""JBTStandardMathWrathAPValues""
			if isformvalid rFLSTJBTAPModifierScripts
				ListAddForm rFLSTJBTAPModifierScripts SCPTSweetPerkOverhaulMathWrathAPPerkValues
				ListAddForm rFLSTJBTAPModifierScripts SCPTSweetPerkOverhaulActionStarAPValues
				if isformvalid rJBTStandardMathWrathAPValues
					ListRemoveForm rFLSTJBTAPModifierScripts rJBTStandardMathWrathAPValues
				endif 
			endif

			ref rFLSTJBTVatsHelperModifierScripts = EditorIDToFormID ""FLSTJBTVatsHelperModifierScripts""
			ref rJBTStandardVATSHelperPerkValues = EditorIDToFormID ""JBTStandardVATSHelperPerkValues""
			if isformvalid rFLSTJBTVatsHelperModifierScripts
				ListAddForm rFLSTJBTVatsHelperModifierScripts SCPTSweetPerkOverhaulVATSHelperValues
				if isformvalid rJBTStandardVATSHelperPerkValues
					ListRemoveForm rFLSTJBTVatsHelperModifierScripts rJBTStandardVATSHelperPerkValues
				endif 
			endif

			;ref rFLSTJBTSpreadModifierScripts = EditorIDToFormID ""FLSTJBTSpreadModifierScripts""
			;if isformvalid rFLSTJBTSpreadModifierScripts 
			;	ListAddForm rFLSTJBTSpreadModifierScripts SCPTSweetPerkOverhaulJBTSpread 
			;	ListAddForm rFLSTJBTSpreadModifierScripts SCPTSweetPerkOverhaulJBTRefTracker
			;endif
		endif 

		if isModLoaded ""New Blood.esp"" == 1
			bNewBloodLoaded = 1
		else
			bNewBloodLoaded = 0
		endif
		iSkilledPenalty = GetINIFltOrCreateC ""Base Game Perk Redux Settings:iTalentedSkillReductionPerLevel"" ""Perk Redux Config.ini""
		iSkilledPenalty = clamp (iSkilledPenalty) 1 3
		iSkilledPenalty = floor iSkilledPenalty
		SetFormDescription NVDLC03TraitSkilled ""You're talented, but a slow learner. You gain +5 points to every skill, but your gained skill points are reduced by -%.0F."" iSkilledPenalty

		iEducatedLevels = GetINIFltOrCreateC ""Base Game Perk Redux Settings:iEducatedLevelRate"" ""Perk Redux Config.ini""
		iEducatedLevels = clamp (iEducatedLevels) 1 5
		iEducatedLevels = floor iEducatedLevels 
		if iEducatedLevels < 2
			SetFormDescription Educated ""With the Educated trait, your book-smarts grant you a random free skill point every level, but your Survival skill is reduced by 30, since you're not street-smart."" iEducatedLevels 
		else
			SetFormDescription Educated ""With the Educated trait, your book-smarts grant you a random free skill point every %.0f levels, but your Survival skill is reduced by 30, since you're not street-smart."" iEducatedLevels 
		endif

		SetEventHandler ""OnCrosshairOn"" SCPTOnCrosshairOnBasePerks
		SetEventHandler ""OnCrosshairOff"" SCPTOnCrosshairOffBasePerks
		SetEventHandler ""OnHit"" SCPTOnHitTrackerBasePerks
		SetEventHandler ""OnUnequip"" SCPTOnUnEquipBasePerks
		SetEventHandler ""OnEquip"" SCPTOnUnEquipBasePerks
		SetOnAddPerkEventHandler 1 SCPTBasePerksOnAddPerk 0 LifeGiver
		SetOnAddPerkEventHandler 1 SCPTBasePerksOnAddPerk 0 CarefulHandling
		SetOnAddPerkEventHandler 1 SCPTBasePerksOnAddPerk 0 GoodNatured

		;SetOnUseAidItemEventHandler SCPTOnUseMagazineBasePerks 1 FLSTMagazines
		;bMilsurpBigGunsConsumable = GetINIFltOrCreateC ""Consumable Settings:bMilsurpBigGuns"" ""Sweet Consumables Config.ini""
		;bMilsurpBigGunsConsumable = clamp (bMilsurpBigGunsConsumable) 0 1
		;bMilsurpBigGuns = GetINIFltOrCreateC ""Base Game Perk Redux Settings:bMilsurpBigGuns"" ""Perk Redux Config.ini""
		;bMilsurpBigGuns = clamp (bMilsurpBigGuns) 0 1

		if eval FileExists ""NVSE\user_defined_functions\Weapon Jamming Tweaks.txt"" == 1
			SetFormDescription CarefulHandling ""Your weapons deserve respect, and you know it. Your weapon AP cost, equip, reload, and attack speed are penalized by 5%%, but your spread and crit. chance are improved by 5%%, and your weapon condition decays 15%% slower, and your weapons are 20%% less likely to jam.""
		endif

		SetOnActorValueChangeEventHandler 1 SCPTOnAVChangeBasePerks 0
	endif

	if getgameloaded
		if player.hasperk blackwidow
			player.removeperk blackwidow
			player.addperk blackwidow
		endif
		if player.hasperk cherchezlafemme
			player.removeperk cherchezlafemme
			player.addperk cherchezlafemme
		endif
		if player.hasperk ladykiller
			player.removeperk ladykiller
			player.addperk ladykiller
		endif
		if player.hasperk confirmedbachelor
			player.removeperk confirmedbachelor
			player.addperk confirmedbachelor
		endif

		if player.hasperk LifeGiver
			aHomies = player.getteammates
			if aHomies
				foreach aEntry <- aHomies
					let rRef := *aEntry
					if rRef.isSpellTargetAlt AbilityLifeGiverCompanion == 0
						rRef.addSpellNS AbilityLifeGiverCompanion 
					endif
				loop
			endif
		endif

		;if bMilsurpBigGunsConsumable == 1 || bMilsurpBigGuns == 1
		;	if bMilsurpBigGunsConfirmed != 1
		;		bMilsurpBigGunsConfirmed = 1
		;	endif
		;else
		;	if bMilsurpBigGunsConfirmed != 0
		;		bMilsurpBigGunsConfirmed = 0
		;	endif
		;endif

		if player.hasperk CarefulHandling
			if player.auxvargetflt ""_ActorJamMult"" != 0.8
				player.auxvarsetflt ""_ActorJamMult"" 0.8
			endif
		endif

		bTomahawkHeaveHo = GetINIFltOrCreateC ""Base Game Perk Redux Settings:bTomahawkHeaveHo"" ""Perk Redux Config.ini""
		if bTomahawkHeaveHo  == 1
			ListAddForm PerkSuperSlamThrownWeapons NVDLC02WeapTomahawk
		endif
		bOriginalMeltdown = GetINIFltOrCreateC ""Base Game Perk Redux Settings:bMeltdownOriginalEffect"" ""Perk Redux Config.ini""
		bOriginalMeltdown = clamp bOriginalMeltdown 0 1 
		if bOriginalMeltdown == 1
			sMeltdownDescrip = GetFormDescription Meltdown
			SetFormDescription Meltdown $(sMeltdownDescrip + "" Your foes killed by your plasma weapons will also give off a corona of harmful energy."")
		endif
	endif

	if iCurrentLevel != player.getlevel
		iLevDif = player.getlevel - iCurrentLevel
		iCurrentLevel += iLevDif
		if player.hasperk Educated
			iTick = 0
			while iTick < iLevDif
				call SCPTEducatedRandomPoint
				iTick += 1
			loop
			iTick = 0
		endif
		iLevDif = 0
	endif


	if player.hasperk NVDLC03TraitSkilled == 0 && player.getlevel > 1 && (getperkflag NVDLC03TraitSkilled 1 == 1 || getperkflag NVDLC03TraitSkilled 2 == 0)
		Setperkflag NVDLC03TraitSkilled 1 0
		Setperkflag NVDLC03TraitSkilled 2 1
	elseif player.hasperk NVDLC03TraitSkilled == 1 && (getperkflag NVDLC03TraitSkilled 1 == 0 || getperkflag NVDLC03TraitSkilled 2 == 1)
		Setperkflag NVDLC03TraitSkilled 1 1
		Setperkflag NVDLC03TraitSkilled 2 0
	endif

	if player.hasperk actionstar == 1 && QSTActionStar.iChoseTotal == 1 && player.isspelltargetalt ActionStarAPTotal == 0
		player.addspellns ActionStarAPTotal
	endif

	if player.hasperk NVDLC03HeartlessPerk == 1
		if iHeartlessReduction == 0
			iHeartlessReduction = 1
			player.modav health -50
		endif
	else
		if iHeartlessReduction == 1
			iHeartlessReduction = 0
			player.modav health 50
		endif
	endif

	if bEKStage == 2
		aPlayerPerksNew = getplayerperks
		iPerkCountNew = (ar_size aPlayerPerksNew)
		if iPerkCountNew == iPerkCountOld
			bEKStage = 0
			MessageBoxEx ""You must select a trait.""
		else
			bEKStage = 0
			iStockedPerk = iStockedPerk += 1
			if iStockedPerk > 1
				sNameStringEK = $(""Extracurricular Knowledge x"" + $iStockedPerk)
				LNSetName $sNameStringEK HereandNowDummy
			else
				LNSetName ""Extracurricular Knowledge"" HereandNowDummy
			endif
			player.removeperk HereAndNow
			if player.hasperk HereandNowDummy == 0
				player.addperk HereandNowDummy
			endif
		endif
	endif

	if player.hasperk HereAndNow && bEKStage == 0
		bEKStage = 1
		aPlayerPerksOld = getplayerperks
		iPerkCountOld = (ar_size aPlayerPerksOld)
		print ""old perk count is "" + $iPerkCountOld
		ShowTraitMenu
	endif

	if GLOCurrentSurvival != player.getav survival
		GLOCurrentSurvival = player.getav survival
	endif

	if (GetPCMiscStat ""Quests Completed"" > GetChallengeProgress NVChallengeQuestin2) && (GetChallengeCompleted NVChallengeQuestin2 == 0)
		incrementscriptedchallenge NVChallengeQuestin2
	endif
end

begin menumode 1084
	if bEKStage == 1
		bEKStage = 2
	endif
end

begin menumode 1003
	if GetActiveMenuMode != 1001
		if bLockGrab == 1
			fMenuGrabLock += GetSecondsPassed
			if fMenuGrabLock > 0.75
				bLockGrab = 0
			endif
		endif

		if GetSelectedItemRef != rPerkForm
			rPerkForm = GetSelectedItemRef
			rPerkFormToCheck = rPerkForm
		endif
		if IsReference rPerkForm
			rPerkFormBase = (rPerkForm.GBO)
			rPerkFormToCheck = rPerkFormBase
			;print ""changed from ref to base form""
		endif
		if isFormValid rPerkFormToCheck == 1
			if (isControlPressed 4 || isControlPressed 6 || IsControlPressed 27) && bPromptUDF == 0 && bLockGrab == 0 && bLoopStarted == 0 && bGoShowPerkItems == 0
				bLockGrab = 1
				if rPerkFormToCheck == HereAndNowDummy
					showperkmenu
					iStockedPerk = iStockedPerk -= 1
					if iStockedPerk > 1
						sNameStringEK = $(""Extracurricular Knowledge x"" + $iStockedPerk)
						LNSetName $sNameStringEK HereandNowDummy
					elseif iStockedPerk == 1
						LNSetName ""Extracurricular Knowledge"" HereandNowDummy
					else
						player.removeperk HereAndNowDummy
					endif
					iStockedPerk = 0
					printvar iStockedPerk
				elseif rPerkFormToCheck == NVDLC02Grunt
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = NVDLC02PerkGruntWeapons
					bPromptUDF = 1
				elseif rPerkFormToCheck == Cowboy
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PerkCowboyWeapons
					bPromptUDF = 1
				elseif rPerkFormToCheck == ConcentratedFire
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = WeaponMachinegunLIST
					bPromptUDF = 1
				elseif rPerkFormToCheck == DemolitionExpert
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PerkDemolitionExpertWeapons
					bPromptUDF = 1
				elseif rPerkFormToCheck == LaserCommander
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = LaserCommanderWeaponsList
					bPromptUDF = 1
				elseif rPerkFormToCheck == PlasmaSpaz
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PlasmaSpazWeaponList
					bPromptUDF = 1
				elseif rPerkFormToCheck == NVDLC01AndStayBack
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = ShotgunSurgeonWeaponsList
					bPromptUDF = 1
				elseif rPerkFormToCheck == ShotgunSurgeon
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = ShotgunSurgeonWeaponsList
					bPromptUDF = 1
				elseif rPerkFormToCheck == TheProfessional
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = TheProfessionalWeaponsList
					bPromptUDF = 1
				elseif rPerkFormToCheck == NVDLC01InShiningArmor
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = NVDLC01ArmorVsBeamTorso
					bPromptUDF = 1
				elseif rPerkFormToCheck == NVDLC02TribalWisdom
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PerkTribalArmor
					bPromptUDF = 1
				endif
				if bPromptUDF == 1
					bPromptUDF = 0
					MessageBoxExAlt SCPTPromptForPerkListGeneric ""Check qualifying %z items?|Yes|No"" sNameStringPerkToCheck
				endif
			endif
		endif
	endif

	if bGoShowPerkItems != 0 && bLoopStarted == 0 && rPerkListToShow != 0
		bLoopStarted = 1
		foreach rRef <- rPerkListToShow 
			;print ""starting loop""
			if Sv_Length sNoteString < 300
				;1023+ character messages crash the game, so we give it a big buffer
				;900 characters was too long for the screen, so I cut it a lot more
				sNoteString = sNoteString + $(GetName rRef) + ""%r""
				;take the note string as it is and add the name of the new item. we add the line break after each one, so that the first one doesn't start with a line break
			else
				sNoteString = sNoteString + $(GetName rRef) + ""%r""
				MessageBoxEx $sNoteString
				;show the message now, before it overflows. we do this in this else because routing to the messagebox command below will finish the loop, and the formlist might not have been iterated all the way through yet
				sv_erase sNoteString
				;clear the string, so that we start fresh on the next formlist entry
			endif
		loop
		if Sv_Length sNoteString > 0
			;print ""backup msgbox1""
			MessageBoxEx $sNoteString
			sv_erase sNoteString
		endif
		if rPerkFormToCheck == NVDLC01InShiningArmor && rPerkListToShow == NVDLC01ArmorVsBeamTorso
			rPerkListToShow = NVDLC01ArmorVsBeamEyewear
			bDoItAgain = 1
		elseif rPerkFormToCheck == NVDLC02TribalWisdom && rPerkListToShow == PerkTribalArmor
			rPerkListToShow = PerkTribalWeapons
			bDoItAgain = 1
		endif
		if bDoItAgain == 1
			bDoItAgain = 0
			foreach rRef <- rPerkListToShow 
				if Sv_Length sNoteString < 300
					sNoteString = sNoteString + $(GetName rRef) + ""%r""
				else
					sNoteString = sNoteString + $(GetName rRef) + ""%r""
					MessageBoxEx $sNoteString
					sv_erase sNoteString
				endif
			loop
		endif
		;print ""loop done""
		if Sv_Length sNoteString > 0
			;print ""backup msgbox1""
			MessageBoxEx $sNoteString
			sv_erase sNoteString
		endif
		rPerkListToShow = 0
		bGoShowPerkItems = 0
		bLoopStarted = 0
	endif

end

begin menumode 1027
	;print ""menumode "" + $(GetActiveMenuMode)
	if GetActiveMenuMode != 1001
		if bLockGrab == 1 && IsControlPressed 6 == 0 && isControlPressed 27 == 0
			fMenuGrabLock += GetSecondsPassed
			if fMenuGrabLock > 0.75
				bLockGrab = 0
			endif
		endif

		if rPerkForm != GetMenuTargetRef 1027
			rPerkForm = GetMenuTargetRef 1027
			rPerkFormToCheck = rPerkForm
		endif
		if isFormValid rPerkFormToCheck
			if (isControlPressed 6 || IsControlPressed 27) && bPromptUDF == 0 && bLockGrab == 0 && bLoopStarted == 0 && bGoShowPerkItems == 0
				bLockGrab = 1
				;print ""grab locked""
				if rPerkFormToCheck == HereAndNowDummy
					showperkmenu
					iStockedPerk = iStockedPerk -= 1
					if iStockedPerk > 1
						sNameStringEK = $(""Extracurricular Knowledge x"" + $iStockedPerk)
						LNSetName $sNameStringEK HereandNowDummy
					elseif iStockedPerk == 1
						LNSetName ""Extracurricular Knowledge"" HereandNowDummy
					else
						player.removeperk HereAndNowDummy
					endif
					iStockedPerk = 0
					;printvar iStockedPerk
				elseif rPerkFormToCheck == NVDLC02Grunt
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = NVDLC02PerkGruntWeapons
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == Cowboy
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PerkCowboyWeapons
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == ConcentratedFire
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = WeaponMachinegunLIST
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == DemolitionExpert
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PerkDemolitionExpertWeapons
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == LaserCommander
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = LaserCommanderWeaponsList
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == PlasmaSpaz
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PlasmaSpazWeaponList
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == NVDLC01AndStayBack
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = ShotgunSurgeonWeaponsList
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == ShotgunSurgeon
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = ShotgunSurgeonWeaponsList
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == TheProfessional
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = TheProfessionalWeaponsList
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == NVDLC01InShiningArmor
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = NVDLC01ArmorVsBeamTorso
					bGoShowPerkItems = 1
				elseif rPerkFormToCheck == NVDLC02TribalWisdom
					sNameStringPerkToCheck = LNGetName rPerkFormToCheck
					rPerkListToShow = PerkTribalArmor
					bGoShowPerkItems = 1
				endif
			;printvar rPerkListToShow 
			;printvar bGoShowPerkItems 
			endif
		endif
	endif

	if bGoShowPerkItems != 0 && bLoopStarted == 0 && rPerkListToShow != 0
		;print ""run 1""
		foreach rRef <- rPerkListToShow 
		bLoopStarted = 1
			if Sv_Length sNoteString < 300
				;1023+ character messages crash the game, so we give it a big buffer
				;900 characters was too long for the screen, so I cut it a lot more
				sNoteString = sNoteString + $(GetName rRef) + ""%r""
				;take the note string as it is and add the name of the new item. we add the line break after each one, so that the first one doesn't start with a line break
			else
				sNoteString = sNoteString + $(GetName rRef) + ""%r""
				MessageBoxEx $sNoteString
				;show the message now, before it overflows. we do this in this else because routing to the messagebox command below will finish the loop, and the formlist might not have been iterated all the way through yet
				sv_erase sNoteString
				;clear the string, so that we start fresh on the next formlist entry
			endif
		loop
		if Sv_Length sNoteString > 0
			;print ""backup msgbox1""
			MessageBoxEx $sNoteString
			sv_erase sNoteString
		endif
		if rPerkFormToCheck == NVDLC01InShiningArmor && rPerkListToShow == NVDLC01ArmorVsBeamTorso
			rPerkListToShow = NVDLC01ArmorVsBeamEyewear
			bDoItAgain = 1
		elseif rPerkFormToCheck == NVDLC02TribalWisdom && rPerkListToShow == PerkTribalArmor
			rPerkListToShow = PerkTribalWeapons
			bDoItAgain = 1
		endif
		if bDoItAgain == 1
		;print ""do it again""
			bDoItAgain = 0
			foreach rRef <- rPerkListToShow 
				if Sv_Length sNoteString < 300
					sNoteString = sNoteString + $(GetName rRef) + ""%r""
				else
					sNoteString = sNoteString + $(GetName rRef) + ""%r""
					MessageBoxEx $sNoteString
					sv_erase sNoteString
				endif
			loop
		endif
		;print ""loop done""
		if Sv_Length sNoteString > 0
			;print ""backup msgbox2""
			MessageBoxEx $sNoteString
			sv_erase sNoteString
		endif
		rPerkListToShow = 0
		bGoShowPerkItems = 0
		bLoopStarted = 0
	endif
end"
SI000041	"scn SCPTActionStarQuest

int iChoseTotal
int iChoseRegen
int iChoseWeapon

int iB
int iActive

begin gamemode
	if iActive == 0
		ShowMessage MSGActionStarPrompt
		iActive = 1
		;printvar iActive
	elseif iActive == 1
		iB = GetButtonPressed
		if iB == 0
			iChoseTotal = 1
			iActive = -1
		elseif iB == 1
			iChoseWeapon = 1
			iActive = -1
		elseif iB == 2
			iChoseRegen = 1
			iActive = -1
		endif
	elseif iActive == -1
		;printvar iActive, iB
		;printvar iChoseRegen, iChoseTotal, iChoseWeapon 
		iActive = 0
		iB = -1
		stopquest QSTActionStar
	endif
end"
SI000042	chosen an Action Star option that you've already selected. Please select a different one.|Increase AP total by 30|Reduce weapon AP cost by 20 %%|Increase AP regen by 20%%
SI000043	chosen an Action Star option that you've already selected. Please select a different one.|Increase AP total by 30|Reduce weapon AP cost by 20 %%|Increase AP regen by 20%%
SI000044	chosen an Action Star option that you've already selected. Please select a different one.|Increase AP total by 30|Reduce weapon AP cost by 20 %%|Increase AP regen by 20%%
SI000045	"scn SCPTActionStarPrompt

int iButton

begin function {iButton}
	if iButton == 0
		if QSTActionStar.iChoseTotal == 0
			QSTActionStar.iChoseTotal = 1
			if player.isspelltargetalt ActionStarAPTotal == 0
				player.addspellns ActionStarAPTotal
			endif
		else
			MessageBoxExAlt SCPTActionStarPrompt ""You've chosen an Action Star option that you've already selected. Please select a different one.|Increase AP total by 30|Reduce weapon AP cost by 20 %%|Increase AP regen by 20%%""
		endif
	elseif iButton == 1
		if QSTActionStar.iChoseWeapon == 0
			QSTActionStar.iChoseWeapon = 1
		else
			MessageBoxExAlt SCPTActionStarPrompt ""You've chosen an Action Star option that you've already selected. Please select a different one.|Increase AP total by 30|Reduce weapon AP cost by 20 %%|Increase AP regen by 20%%""
		endif
	elseif iButton == 2
		if QSTActionStar.iChoseRegen == 0
			QSTActionStar.iChoseRegen = 1
		else
			MessageBoxExAlt SCPTActionStarPrompt ""You've chosen an Action Star option that you've already selected. Please select a different one.|Increase AP total by 30|Reduce weapon AP cost by 20 %%|Increase AP regen by 20%%""
		endif
	endif
end"
SI000046	You've gained the Avid Learner perk.
SI000047	"scn SCPTChallengeGrantAvidLearner

begin scripteffectstart
	player.rewardxp 50
	player.addperk nvdlc04lessonslearnedperk
	MessageBoxEx ""You've gained the Avid Learner perk.""
end"
SI000048	You've gained the Unstoppable Force perk!
SI000049	"scn SCPTChallengeGrantUnstoppableForce

begin ScriptEffectStart
	player.RewardXP 50
	if player.hasperk UnstoppableForce == 0
		player.addperk unstoppableforce
		MessageBoxEx ""You've gained the Unstoppable Force perk!""
	endif
end"
SI000050	"scn SCPTPromptSavedPerk

int iButton

begin function {iButton}
	if iButton == 0
		showperkmenu
		sssQSTBaseGamePerksStartup.iStockedPerk = 0
	elseif iButton == 1
		return
	endif
end"
SI000051	You must select a trait.
SI000052	"scn SCPTCheckBackForNewTraitUDF

array_var aPlayerPerksNew

begin function {}
	aPlayerPerksNew = getplayerperks
	print ""new perk count is "" + $(ar_size aPlayerPerksNew)
	print ""old perk count is "" + $(ar_size sssQSTBaseGamePerksStartup.aPlayerPerksOld)
	if eval (ar_size sssQSTBaseGamePerksStartup.aPlayerPerksOld) == (ar_size aPlayerPerksNew)
		MessageBoxEx ""You must select a trait.""
	else
		player.removeperk HereAndNow
		sssQSTBaseGamePerksStartup.iStockedPerk = 1
	endif
	sssQSTBaseGamePerksStartup.iTraitCheckUDFRunning = 0
end"
