STE00000001	Inline Vanilla Functions 
STE00000128	Remove encumbrance message
STE00000129	Removes the "You are over-encumbered and cannot run!" message.
STE00000130	Allow running without enough AP
STE00000131	Allows running while over-encumbered with 0 AP.
STE00000132	Weight based AP drain
STE00000133	Scale the AP drain by how overencumbered you are, i.e. iAPDrainCost * CurrentWeight/MaxWeight, so carrying 2x your max weight would double the AP drain.
STE00000134	Overencumbered run speed multiplier
STE00000135	Speed multiplier applied while running overencumbered.
STE00000136	Entering VATS Costs AP
STE00000137	Adds an AP penalty for entering VATS.
STE00000138	Enter VATS AP cost
STE00000139	Amount of action points used to enter VATS.
STE00000140	No VATS without enough AP
STE00000141	Stops VATS entering if there is not enough AP to fire the current weapon.
STE00000142	Fail only
STE00000143	Only charge AP if there were no targets found.
STE00000144	No targets only
STE00000145	Instead of charging AP when entering VATS, charge it if you exit VATS without selecting a target.
STE00000146	Save Manager
STE00000147	Use incremental save slots for autosave, optionally fullsaving every rotation.
STE00000148	hotkey
STE00000149	Reload Current Save key
STE00000150	Hotkey to reload the current loaded save (as if the player died).
STE00000151	Create Save key
STE00000152	Hotkey to create a named save.
STE00000153	Incremental Save key
STE00000154	Hotkey to create a slot save. e.g. Courier - Save 1, Courier - Save 2...
STE00000155	Maximum incremental saves
STE00000156	Number of incremental save slots, when the max slot is reached it will begin overwriting from slot 0.
STE00000157	Autosave timer
STE00000158	Delay between timed autosaves in seconds.
STE00000159	Maximum autosaves
STE00000160	Number of autosave slots, when the max slot is reached it will begin overwriting from slot 0.
STE00000161	Periodic fullsave
STE00000162	Create a named save every time the max slot is reached.
STE00000163	No autosave message
STE00000164	Hide the mod and vanilla autosave messages.
STE00000165	Save on "Location discovered"
STE00000166	Autosave when a location is discovered.
STE00000167	Save on "Quest completed"
STE00000168	Autosave when a quest is completed.
STE00000169	Save on game exit
STE00000170	Autosave when exiting the game.
STE00000171	Save on successful pickpocket exit
STE00000172	Autosave when closing the container menu after pickpocketing without getting caught.
STE00000173	Save on craft item
STE00000174	Autosave when closing the recipe menu after crafting an item.
STE00000175	Save before level up
STE00000176	Autosave before the Level Up Menu is shown.
STE00000177	Minimum autosave interval
STE00000178	Prevent autosaves within this time of each other (in seconds) - affects both vanilla and timed autosaves.
STE00000179	Incremental Save slot change interval
STE00000180	Only increase the incremental save slot if it's been this long since last slot change (in seconds); e.g. when set to 60 seconds, any saves made within 0-60s of the first save in a slot will all overwrite each other - after that a new slot is used.
STE00000181	No autosaves in combat
STE00000182	Prevent timed autosaves in combat ([Danger]), saves occur between 0-8 seconds after combat ends.
STE00000183	No autosaves in godmode
STE00000184	Prevent timed autosaves if godmode is enabled.
STE00000185	No scripted saves
STE00000186	Prevent scripts saving the game (via SaveGame, ForceSave, AutoSave and SystemSave commands) - does not prevent vanilla autosaves e.g. saving on cell enter, use the settings menu for those.
STE00000187	Add pause menu Quicksave button
STE00000188	Replace the pause menu's 'Continue' button with a button to create an incremental save.
STE00000189	No Alt-TAB Pause
STE00000190	Stops the game showing the pause menu on alt-tab, recommend pairing with OneTweak's 'Active in Background' option to keep the game running when alt-tabbed.
STE00000191	Jump While Aiming
STE00000192	Allows jumping while aiming or blocking.
STE00000193	Midair Fast-Travel
STE00000194	Allows fast-travel in midair.
STE00000195	No XP Popups
STE00000196	Stops the XP pop-up and associated sound.
STE00000197	Kills
STE00000198	Disable XP Messages
STE00000199	Disable XP pop-ups for kills.
STE00000200	Discovering locations
STE00000201	Disable XP pop-ups for discovering locations.
STE00000202	RewardXP command
STE00000203	Disable XP pop-ups from use of the RewardXP command.
STE00000204	Speech challenges
STE00000205	Disable XP pop-ups for successful speech checks.
STE00000206	Hacking
STE00000207	Disable XP pop-ups for hacking a terminal.
STE00000208	Lockpick
STE00000209	Disable XP pop-ups for successfully picking a lock.
STE00000210	Disarming mines
STE00000211	Disable XP pop-ups for disarming mines.
STE00000212	Better Auto-walk
STE00000213	Moving left or right does not cancel auto-walk (Q key).
STE00000214	Allow backwards auto-walk
STE00000215	Better Autowalk
STE00000216	Allows backwards autowalking by starting the autowalk while moving backwards.
STE00000217	Cheat Lockpick Menu
STE00000218	Shows the debug lock-pick menu on all lock-pick menus (cheat).
STE00000219	Cheat
STE00000220	No Pip-Boy on Alt-TAB
STE00000221	Stops the PipBoy showing if tab is pressed while alt is held.
STE00000222	No Unconsious Message
STE00000223	Stops the 'Actor is now unconscious' message.
STE00000224	Manual Reload
STE00000225	Stops the player automatically reloading when the clip is emptied.
STE00000226	Auto-reload clip size threshold
STE00000227	If the weapon's clip size is less than this automatically reload when reaching 0 ammo.
STE00000228	No reload on ammo pick up
STE00000229	Prevents the automatic reload when ammo is picked up and your weapon is empty.
STE00000230	No firing animation with empty clip
STE00000231	Prevents the firing animation if the clip is empty.
STE00000232	Automatic weapons play empty clip sound
STE00000233	Play the empty clip sound when the clip is emptied for automatic weapons.
STE00000234	Automatic weapons only
STE00000235	Manually reload automatic weapons only. Semi-auto weapons will keep automatically reloading.
STE00000236	Firing While Empty Reloads
STE00000237	Reload when trying to fire with an empty clip.
STE00000238	NPCs Pause Between Dialogue Lines
STE00000239	Require clicking to change to the next line in dialogue, giving time to read what was said.
STE00000240	WASD Menu Controls
STE00000241	Allows use of WASD keys in menus, and space to accept - will not function if the keys conflict with menu key-binds. Recommend pairing with VUI+ and the 'WASD Compatible' option.
STE00000242	Menus
STE00000243	Old Menu WASD
STE00000244	Menu WASD
STE00000245	Makes WASD buttons always act as arrow keys even if they would conflict with vanilla key-bindings.
STE00000246	Always allow WASD
STE00000247	Always allow WASD movement keys by ignoring WASD+E XML menu hotkeys.
STE00000248	Repeat WASD keys
STE00000249	Holding a WASD key repeats the action, as with arrow keys.
STE00000250	Space does not close containers
STE00000251	Stops the space key closing containers.
STE00000252	Inventory selection always visible
STE00000253	Stops the inventory selection disappearing when activating an item with keyboard input.
STE00000254	Containers default to right side
STE00000255	Makes the selection default to the right hand side when opening a container menu.
STE00000256	Shift scales map zoom speed
STE00000257	Holding shift scales the zoom speed.
STE00000258	Shift scales container arrow keys
STE00000259	Holding shift scales the arrow key scroll speed in containers.
STE00000260	Shift scales mousewheel
STE00000261	Holding shift scales the mouse-wheel scroll by 4 for all menus.
STE00000262	Map menu WASD
STE00000263	Holding alt allows WASD to move the map menu, up/down zooms.
STE00000264	Map menu WASD centers reticle
STE00000265	Using map menu WASD resets the selection reticle to the center of the screen.
STE00000266	Select with "E" key
STE00000267	Make the 'E' key behave like spacebar in menus.
STE00000268	Tab returns to inventory
STE00000269	Make Tab return to the Inventory rather than closing the PipBoy for the Weapon Mod and Repair menus.
STE00000270	List scroll wraparound
STE00000271	Make pressing up/down while at the top/bottom of a container jump to the bottom/top.
STE00000272	Auto highlight main menu continue button
STE00000273	Automatically highlight the 'Continue' option at the main menu.
STE00000274	Hide Enemies On Compass
STE00000275	Hides the enemy markers from the compass.
STE00000276	Show firing enemies
STE00000277	Compass
STE00000278	Show enemies who are currently firing their weapon on compass (enemies performing an attack animation).
STE00000279	Equip Broken Items
STE00000280	Allows equipping of broken items (to allow repair with weapon repair kits or skill bonus from apparel).
STE00000281	VATS Ignores Companions
STE00000282	Stops VATS targeting companions.
STE00000283	Combat only
STE00000284	Ignore Companions in VATS
STE00000285	Allow targeting companions in VATS if outside combat.
STE00000286	Don't Show Container After Lockpick
STE00000287	Stops the container menu showing automatically when opening with lock-pick or a key.
STE00000288	Keep Pipboy Light On When Changing Cells
STE00000289	Stops the PipBoy light turning off when entering an exterior cell.
STE00000290	Turn light off if it's daytime
STE00000291	Pipboy Light Cell Change
STE00000292	Only turn the pipboy light off when entering an exterior between sunrise and sunset.
STE00000293	Use Mouse In Lockpick
STE00000294	Allows the use of left clicking to rotate during lock-pick (in addition to the default WASD).
STE00000295	No Hacking Retry Delay
STE00000296	Removes the delay between hacking attempts (same as changing the game-setting iHackingRetryMilliseconds to 0).
STE00000297	Jump While Overencumbered
STE00000298	Allow jumping while over-encumbered.
STE00000299	No Casino Max Bet
STE00000300	Removes the max bet in casinos and makes increments above 1500 increase by 500 (from 100 default).
STE00000301	Faster Save Menu Close
STE00000302	Removes a hard-coded 3 second delay before menu closing when saving using the pause menu.
STE00000303	No Quest Failed Popup
STE00000304	Stops the QUEST FAILED showing upon failing a quest.
STE00000305	Show only if started
STE00000306	No Quest Failed
STE00000307	Show the QUEST FAILED but only if the quest was started.
STE00000308	No Location Discovered Popup
STE00000309	Stops the Location Discovered showing.
STE00000310	No Ammo Casings
STE00000311	Stops shooting earning the player ammo casings.
STE00000312	Faster Hacking Transition
STE00000313	Decreases the delay after a successful hack by 2.5 seconds.
STE00000314	Keep Roulette Bet Amount
STE00000315	Don't reset the bet amount to 1 after playing roulette.
STE00000316	Console Numpad Support
STE00000317	Adds support for the numpad buttons /*-+., enter and 0-9 to be used in console.
STE00000318	Allow Activate While Anims Play
STE00000319	Allows activating while firing, reloading, jumping, landing etc. - This means you can start reloading, open a door and finish reloading on the other side.
STE00000320	Unvisited Interior Indicator
STE00000321	Appends a * to the activation prompt of doors leading to interior cells that have not been visited e.g. 'Door to Saloon * '.
STE00000322	Unname unvisited cells
STE00000323	Unvisited Cell Indicator
STE00000324	Obscure the cell name to unvisited cells, e.g. Door to...
STE00000325	Indicate respawned cells
STE00000326	Append a + to the activation prompt of doors leading to cells that have respawned.
STE00000327	Show visited cells instead
STE00000328	Show a * on Visited cells instead of unvisited.
STE00000329	Skip Player Deathcam Hotkey
STE00000330	Adds a hot-key 'Left-Alt' or Back on controller to instantly end the player death-cam.
STE00000331	Descriptive Marker Added Message
STE00000332	Adds the marker location name to the 'Marker added.' pop-up.
STE00000333	VATS Ignores Invisible Targets
STE00000334	Disallow targeting invisible enemies in VATS.
STE00000335	Remove Downloads Button
STE00000336	Removes the useless downloads button from the main menu.
STE00000337	Hide Unmarked Map Locations
STE00000338	Only show unvisited locations on the compass if they are marked on the map.
STE00000339	Compass NPC Height Indicator
STE00000340	 Data/Textures/Interface/HUD/glow_hud_tick_mark_above.dds and '/glow_hud_tick_mark_below.dds').
STE00000341	Height threshold
STE00000342	Compass Height Indicator
STE00000343	Distance above/below the player before the custom icons are used.
STE00000344	Compass Quest Height Indicator
STE00000345	Use custom icons to show whether a quest marker is above or below the player.
STE00000346	Compass NPC Distance Based Alpha
STE00000347	Fade the compass NPC pips based on distance to the player, uses game-settings fSneakMaxDistance and fSneakExteriorDistanceMult.
STE00000348	Compass Location Distance Based Alpha
STE00000349	Fade the compass location markers based on distance to the player.
STE00000350	Compass Disable Edge Fade
STE00000351	Disable the alpha effect given to icons on the right edge of compass.
STE00000352	No Skill Books If Skill Maxed
STE00000353	Prevents consumption of books if skill level is already at 100.
STE00000354	No Min Companion Map Distance
STE00000355	Removes minimum distance companions are shown on the world map.
STE00000356	Map Show Unconscious Companions
STE00000357	Show unconscious companions on the map, in red.
STE00000358	Compass Custom Companion Color
STE00000359	Customize the color of companions on the compass.
STE00000360	RGB color
STE00000361	uRGB
STE00000362	Companion HUD Color
STE00000363	The red/green/blue value of the color in hexadecimal.
STE00000364	Disable Show Quest Location
STE00000365	Disables the functionality of the 'Show Location' button on the quest menu.
STE00000366	Prevent Fast Travel
STE00000367	Disables fast travel.
STE00000368	Remember Bobby Pin Health
STE00000369	Remembers the bobby pin health between locks (works through saves).
STE00000370	No Equipped Weapon Movement Penalty
STE00000371	Removes the movement penalty when holding a weapon.
STE00000372	Remove Weapon Damage Buffer
STE00000373	Removes the damage buffer provided for weapons above 75% condition.
STE00000374	Keep Crosshair When Aiming
STE00000375	Keep the cross-hair on the screen when aiming with non-scoped weapons.
STE00000376	Repeat Jumping
STE00000377	Holding the jump button repeatedly jumps.
STE00000378	Remove Sneak Label
STE00000379	Removes the [HIDDEN] etc. label from the HUD.
STE00000380	Tab Closes Terminals
STE00000381	Adds a hotkey Tab to close terminals.
STE00000382	Tab Back In Start Menu
STE00000383	Adds a hotkey Tab to go back in the start/pause menu.
STE00000384	Continue Game Hotkey
STE00000385	Adds a debug hotkey to continue the game from the loading/start menu for mod development ONLY (since if you press the hotkey too early, mods that utilize JIP's MenuMode 4 will not get a chance to run).
STE00000386	-1000,
STE00000387	Level Up Scroll Wheel Support
STE00000388	Adds scroll-wheel support for the -+ skills in the level up menu.
STE00000389	No LTRT On Pipboy
STE00000390	Use the PipBoy texture without LT and RT painted on when a controller is connected.
STE00000391	No Red Crosshair On Enemies
STE00000392	Stops the cross-hair turning red on enemies.
STE00000393	Allow Open Pipboy During Camera Shake
STE00000394	Allows opening of the PipBoy when the screen is shaking (will reset the screen shake).
STE00000395	Left/Right Movement Cancel Out
STE00000396	Makes holding left and right movement keys not move the player (vanilla would move the player left).
STE00000397	Fix Enhanced Camera Ground Sink Bug
STE00000398	Provides a workaround for a bug in the Enhanced Camera mod where the player would sink into the ground when changing from first to third person.
STE00000399	Talk While Sneaking If Shift Is Held
STE00000400	While sneaking, holding shift will talk to an NPC instead of pickpocketing them.
STE00000401	Power Attacks Cost AP
STE00000402	Adds an Action Points penalty for performing charged unarmed attacks.
STE00000403	Base AP cost
STE00000404	Charged Attacks
STE00000405	Base number of action points used.
STE00000406	Weapon weight AP mult
STE00000407	Extra action points per point of weight for the current weapon.
STE00000408	50
STE00000409	Max AP cost
STE00000410	Max AP cost for a charged attack.
STE00000411	400
STE00000412	Inventory Drop Item Hotkey
STE00000413	Adds a hot-key 'Q' to drop the currently selected item from the PipBoy menu.
STE00000414	Instant Continue Button
STE00000415	Skip the 'Continue from your last saved game?' prompt when clicking continue game in the main menu.
STE00000416	Custom Sniper Zoom Rate
STE00000417	Set how quickly scoped weapons zoom.
STE00000418	FOV change rate
STE00000419	Scope Zoom
STE00000420	Rate at which scoped weapons will zoom in, vanilla is 0.25, setting to 0 zooms instantly.
STE00000421	5
STE00000422	Same rate to zoom out
STE00000423	Make the setting also affect zooming out.
STE00000424	Distance Based Quest Marker Visibilty
STE00000425	Hide quest markers beyond a set distance.
STE00000426	Maximum exterior distance
STE00000427	Quest Marker
STE00000428	Maximum exterior distance from which to show quest markers.
STE00000429	Maximum interior distance
STE00000430	Maximum interior distance from which to show quest markers.
STE00000431	Quick Use
STE00000432	Holding shift will equip/use the cross-hair item. Right clicking on a non-armor item will equip it. Useful for eating/drinking/consuming items without opening the PipBoy.
STE00000433	Realtime quick use
STE00000434	Holding shift will equip/use the cross-hair item during gameplay.
STE00000435	Right click to equip in containers
STE00000436	Right clicking an inventory item while in a container will equip the item (excludes armor).
STE00000437	F to use in containers
STE00000438	Adds a hotkey 'F' to use the selected item in a container (excludes armor).
STE00000439	Work on books
STE00000440	Allows quick use on books.
STE00000441	Work on notes
STE00000442	Show the Book Menu when quick-using notes (requires textures and XML from Book Menu Restored).
STE00000443	Show item stats
STE00000444	Show item stats e.g. DPS, DAM, DT and DR while shift is held.
STE00000445	Show "Re-read" for read notes
STE00000446	Show 'Re-read' on the prompt for notes that have already been read.
STE00000447	Decreased Dialogue/Start Click Delay
STE00000448	Halves the delay before you can click on a dialogue option when having a conversation (500ms->250ms).
STE00000449	Hide Unknown NPC Names
STE00000450	Hide NPC names on the prompt if they haven't spoken to the player.
STE00000451	Show names on dead NPCs
STE00000452	NPC Names
STE00000453	Show the name if the NPC is dead.
STE00000454	Scale All XP
STE00000455	Scale all earned XP.
STE00000456	XP multiplier
STE00000457	Reduced XP
STE00000458	Multiplier applied to earned XP, the result is rounded up.
STE00000459	Prevent Rounding
STE00000460	Don't ceil earned XP, store the fractional component in the cosave and add it whenever XP is earned.
STE00000461	Vats Exit Key
STE00000462	Adds hotkeys Tab and Right Click to end the VATS killcam.
STE00000463	Instant end
STE00000464	VATS Exit Key
STE00000465	Instantly end VATS playback rather than waiting for the current action to end.
STE00000466	Don't Set Quest When Completing Objectives
STE00000467	Don't set the current quest when completing objectives without having a quest active.
STE00000468	No Exit Hacking
STE00000469	Don't allow exiting the hacking menu if an attempt has been made.
STE00000470	Fail on early exit
STE00000471	Terminal Exit
STE00000472	Lock out of the terminal if exiting after making an attempt.
STE00000473	Slots Auto Spin Hotkey
STE00000474	Holding W will continually spin the slot machine.
STE00000475	UK Keyboard Layout
STE00000476	Use the UK Keyboard layout for console and other menus.
STE00000477	Remove Quest Objective Added Text
STE00000478	Hides the text for added objectives from the main HUD.
STE00000479	Hide completed objectives
STE00000480	Quest Added
STE00000481	Hides the quest completed objective text.
STE00000482	Pick Locks Even With Key
STE00000483	Holding shift allows picking a lock/terminal even if you have the key/password.
STE00000484	Hold shift to use key
STE00000485	Pick Locks With Key
STE00000486	Make holding shift allow using the key to the lock/terminal.
STE00000487	Remember Console History
STE00000488	Stores/restores console history from ConsoleHistory.txt.
STE00000489	Maximum size
STE00000490	Console
STE00000491	Max number of commands to store (default is 200).
STE00000492	Console History Ignores Duplicates
STE00000493	Prevents consecutive duplicate commands being added to the console's input history list.
STE00000494	No Quest Sound In Killcams
STE00000495	Stops the 'Quest Added' sound playing whenever a cinematic killcam is shown.
STE00000496	No Grab Owned Items
STE00000497	Disallows grabbing (Z key) of owned items.
STE00000498	Auto-Skip Main Menu Intro Slides
STE00000499	Automatically skips the main menu video once loading is finished.
STE00000500	First Person VATS
STE00000501	Forces VATS firing camera to play in first person.
STE00000502	Allow Unsafe Fast Travel
STE00000503	Allows fast-traveling from indoors (you must be careful not to travel out of scripted areas).
STE00000504	Show restricted area warning
STE00000505	Unsafe Fast Travel
STE00000506	Show a warning when travelling from restricted areas.
STE00000507	Remove Landing Anim
STE00000508	Stops the landing animation playing.
STE00000509	Hold Crouch To Sneak
STE00000510	Makes sneaking holdable rather than toggle-able.
STE00000511	Fast Travel Costs Special Nuka Bottles
STE00000512	Makes fast travel cost 1 Nuka-Cola Quantum, Quartz or Victory.
STE00000513	Item Required Message
STE00000514	Fast Travel Costs Items
STE00000515	Message shown when trying to fast travel without the required items.
STE00000516	Item Removed Message
STE00000517	Message shown when an item is removed upon fast travel.
STE00000518	Item Editor ID
STE00000519	Editor ID of the item or formlist (requires JohnnyGuitar NVSE) to remove an item from instead of nuka cola.
STE00000520	Disable Selling Items
STE00000521	Removes the ability to sell items in the barter menu.
STE00000522	Use Custom Barter Price Multipliers
STE00000523	Set custom buy/sell multipliers for each item type (applied before perk modifiers).
STE00000524	Constant purified water price
STE00000525	Barter Prices
STE00000526	Do not scale price of purified water.
STE00000527	Armor sell mult
STE00000528	Weapon sell mult
STE00000529	Aid sell mult
STE00000530	Ammo sell mult
STE00000531	Misc sell mult
STE00000532	Weapon Mod sell mult
STE00000533	Armor buy mult
STE00000534	Weapon buy mult
STE00000535	Aid buy mult
STE00000536	Ammo buy mult
STE00000537	Misc buy mult
STE00000538	Weapon Mod buy mult
STE00000539	Dialogue Number Hotkeys
STE00000540	Adds hot-keys 0-9 to select dialogue options (recommended use with VUI+).
STE00000541	Display in dialogue topic
STE00000542	Dialog Hotkeys
STE00000543	Display list numbers for topics in dialogue.
STE00000544	Tab chooses last option
STE00000545	Add hotkey 'Tab' to choose the last option.
STE00000546	Disable Hit Shader
STE00000547	Disables the radial blur when damaged (optionally only when in god-mode).
STE00000548	Only disable in god mode
STE00000549	Hit Shader
STE00000550	Terminal Instant Display Hotkey
STE00000551	Adds hot-keys shift and right mouse button to instantly display the current terminal text, and left mouse to speed up display of submenus.
STE00000552	Keyboard Swap Y/Z Keys
STE00000553	Swap the Y and Z keys.
STE00000554	Reloading With Full Clip Switches Ammo Type
STE00000555	Reloading with a full clip switches ammo type.
STE00000556	Better Flycam
STE00000557	Adds AutoMove, flying up and down using Jump and Crouch, rotating pressing Z and C, and scrolling changes flight speed.
STE00000558	Aim speed multiplier
STE00000559	Flycam
STE00000560	Speed multiplier while Aim is pressed.
STE00000561	Run speed multiplier
STE00000562	Speed multiplier while run is pressed.
STE00000563	Scroll speed multiplier
STE00000564	Multiplier for how much the mouse scroll-wheel influences fly speed.
STE00000565	Rotation speed multiplier
STE00000566	Multiplier for rotation speed.
STE00000567	Smooth camera hotkey
STE00000568	Adds a hotkey 'Reload' to enable a smooth/cinematic camera.
STE00000569	NPCs Drop Holstered Weapons
STE00000570	Allow enemies to drop weapons on death even if they are not out.
STE00000571	Prevent Reloading With Non-Empty Clip
STE00000572	Prevents reloading if the weapon's clip is not empty.
STE00000573	Energy Weapons Only
STE00000574	Disable Reloading Non-Empty Clip
STE00000575	Only prevent reloading for energy weapons.
STE00000576	Exclude Looping Reload Weapons
STE00000577	Allow reloading weapons if they use a looping (bullet at a time) reload.
STE00000578	Hide Grenade Indicator
STE00000579	Removes the grenade indicator from the HUD.
STE00000580	Weightless Worn Power Armor
STE00000581	Scale the weight of equipped power armor.
STE00000582	Require torso armor for weightless helmet
STE00000583	Make power armor helmets only weightless if torso power armor is also equipped.
STE00000584	Require Power Armor Training
STE00000585	Only make power armor weightless for the player/teammates if they have the Power Armor Training perk.
STE00000586	Weight Mult
STE00000587	Multiplier applied to worn armor weight.
STE00000588	Shift Screenshot Hides Menus
STE00000589	Holding shift when taking a screen-shot hides the menus.
STE00000590	Fast Travel With Enemies Nearby
STE00000591	Allows fast travel while enemies are nearby.
STE00000592	Fast Travel While Overencumbered
STE00000593	Allow fast travel when over-encumbered, as the Long Haul perk does.
STE00000594	No Knockdown In Godmode
STE00000595	Disables the player being knocked down when in god-mode, may break scripted sequences.
STE00000596	Double Tap Reload To Change Ammo Type
STE00000597	Double tapping the reload key will change ammo types.
STE00000598	Allow multiple quick changes
STE00000599	Double Reload Swaps Ammo Type
STE00000600	Pressing Reload additional times will keep swapping the ammo type.
STE00000601	Ammo swap time
STE00000602	Time in milliseconds that the Reload key must be pressed within to swap ammo types.
STE00000603	Force Lockpick No Break Lock
STE00000604	Failing a lock-pick force attempt breaks a bobby pin instead of the lock.
STE00000605	Force fail resets pin health
STE00000606	Reset the current bobby pin health when failing to force a lock.
STE00000607	No lockpicking without bobby pins
STE00000608	Prevents the LockPick Menu opening when the player has no bobby pins.
STE00000609	Bobby Pin Break Message
STE00000610	Corner message shown when the bobby pin breaks.
STE00000611	Custom Controller Deadzones
STE00000612	Set a custom dead-zones for controller thumb-sticks, allowing finer movement and aiming. Default value 0 removes the deadzone entirely. Recommend pairing with bMoreResponsiveControllerAiming.
STE00000613	Deadzone
STE00000614	Controller Deadzone
STE00000615	Deadzone value (between 0 and 32767).
STE00000616	32767
STE00000617	Faster Controller POV Rotate
STE00000618	Increases the controller rotation speed when POV is held to half of sensitivity.
STE00000619	Hide Cursor In Dialogue
STE00000620	Hide cursor while in Dialogue menus.
STE00000621	Only when NPC speaks
STE00000622	Dialog Hide Mouse
