ZIO00000001	Pinhole
ZIO00000086	Crucifix
ZIO00000087	Trail Boss Outfit
ZIO00000088	Trail Field Hand Outfit
ZIO00000089	Trail Settler Outfit
ZIO00000090	Rebreather
ZIO00000091	Web Belt
ZIO00000092	Blood Stained Clothing
ZIO00000093	Vault 616 Utility Jumpsuit
ZIO00000094	Camo Peaked Cap
ZIO00000095	Trail Camo Oufit
ZIO00000096	Vault 616 Jumpsuit
ZIO00000097	Trail Duster Outfit
ZIO00000098	Carry Sack - Large
ZIO00000099	Modified VaultTec Helmet
ZIO00000100	Carry Sack - Small
ZIO00000101	Vault 616 Security Armor
ZIO00000102	Huntsman's Guide: How to strangle a Grizzly Bear
ZIO00000103	Huntsman's Guide: How to strangle a Grizzly Bear
ZIO00000104	Huntsman's Guide: How to electrocute deer
ZIO00000105	Huntsman's Guide: How to electrocute deer
ZIO00000106	Huntsman's Guide: Fishing with dynamite
ZIO00000107	Huntsman's Guide: Fishing with dynamite
ZIO00000108	Huntsman's Guide: Hunting sparrows with a machine gun
ZIO00000109	Huntsman's Guide: Hunting sparrows with a machine gun
ZIO00000110	Hairdressers Review: Bobby Pin Special
ZIO00000111	Hairdressers Review: Bobby Pin Special
ZIO00000112	The Idiots Guide to Surgery
ZIO00000113	The Idiots Guide to Surgery
ZIO00000114	Puppetry for the Insane
ZIO00000115	Puppetry for the Insane
ZIO00000116	Blue Peter Annual: 101 uses for sticky backed plastic
ZIO00000117	Blue Peter Annual: 101 uses for sticky backed plastic
ZIO00000118	Holographic Sex - How to Love Light
ZIO00000119	Holographic Sex - How to Love Light
ZIO00000120	Huntsman's Guide: Getting up close for the poor marksman
ZIO00000121	Huntsman's Guide: Getting up close for the poor marksman
ZIO00000122	Psychologist Periodical: How to smell bullshit
ZIO00000123	Psychologist Periodical: How to smell bullshit
ZIO00000124	Vault Dwellers Survival Guide
ZIO00000125	Vault Dwellers Survival Guide
ZIO00000126	Computer trader: How to offload your crap online
ZIO00000127	Computer trader: How to offload your crap online
ZIO00000128	Nathans Grave
ZIO00000129	Ash Pile
ZIO00000130	Locker
ZIO00000131	Metal Box
ZIO00000132	Refrigerator
ZIO00000133	Suzy's Grave
ZIO00000134	Duffle Bag
ZIO00000135	Duffle Bag
ZIO00000136	Wall Safe
ZIO00000137	Bishop Inventory
ZIO00000138	Filing Cabinet
ZIO00000139	Duffle Bag
ZIO00000140	Cabinet
ZIO00000141	Bishop Inventory
ZIO00000142	Pancake's Trunk
ZIO00000143	Safe
ZIO00000144	Ammunition Box
ZIO00000145	Suitcase
ZIO00000146	Refrigerator
ZIO00000147	Refrigerator
ZIO00000148	Fava Bean Sack
ZIO00000149	Wooden Crate
ZIO00000150	Safe
ZIO00000151	Linda's Grave
ZIO00000152	Test Duffle Bag
ZIO00000153	Dr Fent's Stash Box
ZIO00000154	Ammunition Box
ZIO00000155	Angels Inventory
ZIO00000156	Max's Grave
ZIO00000157	JD's Grave
ZIO00000158	Blu Ray's Supplies
ZIO00000159	Dr Ince's Inventory
ZIO00000160	John Howies Inventory
ZIO00000161	Test Trunk
ZIO00000162	Duffle Bag
ZIO00000163	Metal Box
ZIO00000164	Duffle Bag
ZIO00000165	Ammunition Box
ZIO00000166	Duffle Bag
ZIO00000167	Metal Box
ZIO00000168	Ammunition Box
ZIO00000169	Hayford Bar Inventory
ZIO00000170	Trunk
ZIO00000171	Locker
ZIO00000172	Cabinet
ZIO00000173	Wall Safe
ZIO00000174	Locker
ZIO00000175	Trunk
ZIO00000176	Cabinet
ZIO00000177	Medical Cabinet
ZIO00000178	Medical Cabinet
ZIO00000179	Metal Box
ZIO00000180	Reloading Cabinet
ZIO00000181	Cabinet
ZIO00000182	Locker
ZIO00000183	Clay Pot
ZIO00000184	Ash Pile
ZIO00000185	Metal Box
ZIO00000186	Duffle Bag
ZIO00000187	Door
ZIO00000188	Gate
ZIO00000189	Door
ZIO00000190	Door
ZIO00000191	Door
ZIO00000192	Door
ZIO00000193	Door
ZIO00000194	Ladder
ZIO00000195	Ladder
ZIO00000196	Door
ZIO00000197	Door
ZIO00000198	Sluice Gate
ZIO00000199	Elevator
ZIO00000200	Ladder
ZIO00000201	Door
ZIO00000202	Count Abraham Jefferson III
ZIO00000203	Violin
ZIO00000204	Railway Work Pack
ZIO00000205	Old Document
ZIO00000206	Puppetry for the Insane
ZIO00000207	Prismatic Compass
ZIO00000208	Computer trader: How to offload your crap online
ZIO00000209	Huntsman's Guide: How to electrocute deer
ZIO00000210	Huntsman's Guide: Fishing with dynamite
ZIO00000211	Huntsman's Guide: Hunting sparrows with a machine gun
ZIO00000212	Hairdressers Review: Bobby Pin Special
ZIO00000213	The Idiots Guide to Surgery
ZIO00000214	Blue Peter Annual: 100 uses for sticky backed plastic
ZIO00000215	Holographic Sex - How to Love Light
ZIO00000216	Huntsman's Guide: Getting up close for the poor marksman
ZIO00000217	Psychologist Periodical: How to smell bullshit
ZIO00000218	Vault Dwellers Survival Guide
ZIO00000219	Huntsman's Guide: How to strangle a Grizzly Bear
ZIO00000220	Zion Trail Map
ZIO00000221	Bed
ZIO00000222	Diplomacy
ZIO00000223	Neville's Slashy Thing
ZIO00000224	Nice Slice
ZIO00000225	Survival Knife
ZIO00000226	The Diplomat
ZIO00000227	Beat Box
ZIO00000228	12.7mm SMG Special
ZIO00000229	Angel Dust
ZIO00000230	Ris
ZIO00000231	Private Dodds
ZIO00000232	Vault 616 Security
ZIO00000233	Finger
ZIO00000234	Doctor Louise Ince
ZIO00000235	Jack O'Donnell
ZIO00000236	Vault 616 Resident
ZIO00000237	Vault 616 Resident
ZIO00000238	Fly Trap
ZIO00000239	Billy Two Shoes
ZIO00000240	Judith Dolan
ZIO00000241	Mary Dolan
ZIO00000242	Sarah Dolan
ZIO00000243	Naomi Dolan
ZIO00000244	Rebecca Dolan
ZIO00000245	Isaac Dolan
ZIO00000246	Abner Dolan
ZIO00000247	Jacob Dolan
ZIO00000248	Noah Dolan
ZIO00000249	Viper Gunslinger
ZIO00000250	Viper Gunslinger
ZIO00000251	Viper Gunslinger
ZIO00000252	Viper Gunslinger
ZIO00000253	Viper Gunslinger
ZIO00000254	Viper Gunslinger
ZIO00000255	NCR Privateer
ZIO00000256	NCR Privateer
ZIO00000257	Capt Kelly
ZIO00000258	NCR Privateer
ZIO00000259	Sheriff Pearson Bent
ZIO00000260	Jason McKie
ZIO00000261	John Howie
ZIO00000262	NCR Privateer
ZIO00000263	NCR Privateer
ZIO00000264	Robert Myers
ZIO00000265	Angel Lewis
ZIO00000266	Emma Dunn
ZIO00000267	Chloe Myers
ZIO00000268	Joshua Dolan
ZIO00000269	Easter Simms
ZIO00000270	Dylan Simms
ZIO00000271	Viper Gunslinger
ZIO00000272	Viper Gunslinger
ZIO00000273	NCR Privateer
ZIO00000274	Viper Gunslinger
ZIO00000275	Viper Gunslinger
ZIO00000276	Viper Gunslinger
ZIO00000277	Viper Gunslinger
ZIO00000278	Viper Gunslinger
ZIO00000279	Molly Bishop
ZIO00000280	Rose Bishop
ZIO00000281	Daisy Bishop
ZIO00000282	Bill Pancake
ZIO00000283	Giles Sherwood
ZIO00000284	Greta Carr
ZIO00000285	Spider
ZIO00000286	Vault 616 Resident
ZIO00000287	Vault 616 Resident
ZIO00000288	Vault 616 Resident
ZIO00000289	Vault 616 Resident
ZIO00000290	Blu Ray
ZIO00000291	Karen Myers
ZIO00000292	Viper Gunslinger
ZIO00000293	Viper Gunslinger
ZIO00000294	Viper Gunslinger
ZIO00000295	Vault 616 Resident
ZIO00000296	Vault 616 Resident
ZIO00000297	Vault 616 Resident
ZIO00000298	Vault 616 Resident
ZIO00000299	Vault 616 Security
ZIO00000300	Vault 616 Resident
ZIO00000301	Vault 616 Security
ZIO00000302	Vault 616 Security
ZIO00000303	Vault 616 Security
ZIO00000304	Vault 616 Resident
ZIO00000305	Vault 616 Security
ZIO00000306	Vault 616 Security
ZIO00000307	Vault 616 Security
ZIO00000308	Vault 616 Security
ZIO00000309	Vault 616 Resident
ZIO00000310	Vault 616 Security
ZIO00000311	Vault 616 Resident
ZIO00000312	Vault 616 Resident
ZIO00000313	Vault 616 Security
ZIO00000314	Vault 616 Scientist
ZIO00000315	Vault 616 Scientist
ZIO00000316	White Legs Storm-Drummer
ZIO00000317	White Legs Pain-Maker
ZIO00000318	White Legs Light-Bringer
ZIO00000319	White Legs Bone-Breaker
ZIO00000320	Vault 616 Security
ZIO00000321	Vault 616 Security
ZIO00000322	Vault 616 Resident
ZIO00000323	Vault 616 Resident
ZIO00000324	Vault 616 Resident
ZIO00000325	Vault 616 Security
ZIO00000326	Prospector
ZIO00000327	Viper Gunslinger
ZIO00000328	Spencer Black
ZIO00000329	Kept On Walking
ZIO00000330	Vincent Frobisher
ZIO00000331	Wastelander
ZIO00000332	Blinder Poke
ZIO00000333	Penny Fielding
ZIO00000334	Barnaby Fisk
ZIO00000335	Prisoner
ZIO00000336	Prisoner
ZIO00000337	Raider
ZIO00000338	Raider
ZIO00000339	Raider
ZIO00000340	Raider
ZIO00000341	Raider
ZIO00000342	Raider
ZIO00000343	Raider
ZIO00000344	Raider
ZIO00000345	Vault 616 Resident
ZIO00000346	Burgess
ZIO00000347	Mayor Crawford Bent
ZIO00000348	Vault 616 Security
ZIO00000349	Dr Nice
ZIO00000350	Vault 616 Security Chief
ZIO00000351	Vault 616 Chef
ZIO00000352	Raider
ZIO00000353	Raider
ZIO00000354	Raider
ZIO00000355	Raider
ZIO00000356	Jackal
ZIO00000357	Jackal
ZIO00000358	Jackal
ZIO00000359	Jackal
ZIO00000360	Vault 616 Resident
ZIO00000361	Vault 616 Resident
ZIO00000362	Vault 616 Resident
ZIO00000363	Joseph Cope
ZIO00000364	Benz
ZIO00000365	Wellington
ZIO00000366	Mister Handy
ZIO00000367	Protectron
ZIO00000368	Mister Handy
ZIO00000369	Turret
ZIO00000370	Mister Gutsy
ZIO00000371	Sentry Bot
ZIO00000372	Mark VI Turret
ZIO00000373	Protectron
ZIO00000374	Spore Carrier
ZIO00000375	Riverlurk King
ZIO00000376	Riverlurk
ZIO00000377	Pondlurk
ZIO00000378	Trixie Boo Boo
ZIO00000379	Vicious Sewer Rat
ZIO00000380	Sentry Bot
ZIO00000381	Spore Plant
ZIO00000382	Riverlurk Alpha
ZIO00000383	Brass Tack
ZIO00000384	Flap Jack
ZIO00000385	Woolly Back
ZIO00000386	Baxter
ZIO00000387	Sentry Bot
ZIO00000388	Protectron
ZIO00000389	Robobrain
ZIO00000390	Protectron
ZIO00000391	Turret
ZIO00000392	Twelfth Night
ZIO00000393	NSC 24:7
ZIO00000394	Payload
ZIO00000395	Protectron
ZIO00000396	Neville
ZIO00000397	Dixie The Troll
ZIO00000398	Dr Fent
ZIO00000399	Gate Key
ZIO00000400	Rita's Cafe Cave Key
ZIO00000401	Blu Rays House Key
ZIO00000402	Rita's Cafe Sheriff's Key
ZIO00000403	Blinders Master Key
ZIO00000404	Train Stop Bar Key
ZIO00000405	School House Key
ZIO00000406	Bill Pancake's Key
ZIO00000407	John Howie's Key
ZIO00000408	Medical Centre Key
ZIO00000409	Quarry Machine Shop Key
ZIO00000410	Old Gas Station Key
ZIO00000411	Bishop's Diner Key
ZIO00000412	Burgess's Key
ZIO00000413	Blue Key Card
ZIO00000414	Red Key Card
ZIO00000415	Clean Key
ZIO00000416	Rusty Key
ZIO00000417	Billy's Tunnel Key
ZIO00000418	Hunting Shack Key
ZIO00000419	Fly Traps House Key
ZIO00000420	Vault 616 Master Key
ZIO00000421	Security Office Key
ZIO00000422	Myers House Key
ZIO00000423	Fava Beans
ZIO00000424	A Nice Chianti
ZIO00000425	GREETING
ZIO00000426	Hello, Can I help you with something?
ZIO00000427	You're not one of my regulars, what do want?
ZIO00000428	I'm really busy now sorry
ZIO00000429	How's it going
ZIO00000430	What do you want
ZIO00000431	Goot
ZIO00000432	Yah ah tahg
ZIO00000433	Hoi
ZIO00000434	This is Railway property, under health & Safety regulations you require a valid Work permit to proceed
ZIO00000435	Failure to produce a valid Work permit may result in arrest, prosecution and under current emergency guidelines and or execution
ZIO00000436	Remember, Work Safe
ZIO00000437	Go away
ZIO00000438	Not now smoothskin
ZIO00000439	Keep walking
ZIO00000440	Who the hell are you?
ZIO00000441	What do you want now smoothskin?
ZIO00000442	Sorry, I'm busy right now
ZIO00000443	Hi, what do you want?
ZIO00000444	Welcome to Rita's cafe, feel free to relax and look around
ZIO00000445	Break any of our law's and we'll kill you. You have a nice day now.
ZIO00000446	I have to get back to work, catch me in the hotel
ZIO00000447	Did you like our burglar alarm? Smarts don't it?
ZIO00000448	So, what do we have here?
ZIO00000449	So your back, what is it?
ZIO00000450	Hey there, are you looking to buy or sell?
ZIO00000451	How you do'in
ZIO00000452	What can I do for you?
ZIO00000453	Hi
ZIO00000454	Whistles...
ZIO00000455	Hums...
ZIO00000456	Hey there, if you want to buy something from my shop you will have to wait until it opens
ZIO00000457	Hi there
ZIO00000458	Hey stranger
ZIO00000459	Hey there, need anything?
ZIO00000460	What can I do for you?
ZIO00000461	Hey there, need anything?
ZIO00000462	Here to do business?
ZIO00000463	You looking to buy some supplies?
ZIO00000464	Need to talk about something?
ZIO00000465	Sorry, got work to take care of
ZIO00000466	What the fuck do you want, Huh?
ZIO00000467	Hi Stranger, I'm Blu Ray and welcome to Blu Ray's trading. What can I sell you?
ZIO00000468	Welcome back, how can I help?
ZIO00000469	Howdy, interested in a refreshing beverage or a tasty snack?
ZIO00000470	Welcome back friend, how can I help you
ZIO00000471	Hey as long as you behave I'll deal with you, OK?
ZIO00000472	Oh, its you
ZIO00000473	Vacate the premises, now
ZIO00000474	You look like you just crawled out of the desert
ZIO00000475	Oh great, just who I wanted to see
ZIO00000476	What do you want?
ZIO00000477	What the fuck are you looking at?
ZIO00000478	Hey there, need anything?
ZIO00000479	Feeling thirsty? I can take care of that
ZIO00000480	You lost?
ZIO00000481	Drop Dead
ZIO00000482	Don't talk to me
ZIO00000483	Excuse me
ZIO00000484	Attack
ZIO00000485	Remember, Your Safety is our priority
ZIO00000486	Hit
ZIO00000487	Avoid the worst. Put safety first
ZIO00000488	AttackResponse
ZIO00000489	Remember, Your Safety is our priority
ZIO00000490	KnockedBack
ZIO00000491	Be alert! Accidents hurt
ZIO00000492	Can you do anything with this old pump action shotgun?
ZIO00000493	Sure, I can turn it into a semi-automatic if you have the cash. 1000 caps
ZIO00000494	<Barter 65>
ZIO00000495	Well, since its you, 500 then
ZIO00000496	Gimme a break, I'll give you 500, nothing more
ZIO00000497	Excellent, here you go
ZIO00000498	OK, you got a deal
ZIO00000499	Poke it tin can and get out of my way [Fight]
ZIO00000500	Please stand by to be arrested and or executed
ZIO00000501	Remember, Your Safety is our priority
ZIO00000502	Are you serious? no trains have run here for over two hundred of years
ZIO00000503	This is due to signal failure in Las Vegas. We apologies for the inconvenience
ZIO00000504	Sure, here's one
ZIO00000505	Thank you for your co-operation
ZIO00000506	Lead the way, safety today
ZIO00000507	I'm not working, I'm lost, I'll just go back the way I came, bye!
ZIO00000508	Think smart before you start
ZIO00000509	Apology accepted, can I go now?
ZIO00000510	Failure to produce a valid Work permit may result in arrest, prosecution and under current emergency guidelines and or execution
ZIO00000511	Remember, Safety always
ZIO00000512	Whatever
ZIO00000513	Safety rules are your best tools
ZIO00000514	I'm just passing through, you too?
ZIO00000515	Yeah I am, what of it?
ZIO00000516	Alright
ZIO00000517	I'm Local law enforcement, I've been asked to check out the area
ZIO00000518	I don't believe you
ZIO00000519	Do you know if the roads are dangerous at all?
ZIO00000520	Sure
ZIO00000521	What sort of Work permit are we talking about here?
ZIO00000522	A valid work permit consist off the following:
ZIO00000523	A Personal Track Safety Card and work site induction
ZIO00000524	A Work Package Plan, Task Briefing sheet and a Safe System of Work
ZIO00000525	And a work pack containing Hazard Directory, Sectional Appendix and Signaling Plan
ZIO00000526	Did you not hear? The world and your precious railway were wiped out
ZIO00000527	I said there are no trains, no railways, nothing!
ZIO00000528	Be a safety hero, score an accident zero
ZIO00000529	Listen, there are no railways, no permits, no rules. Its all been destroyed
ZIO00000530	Avoid the worst. Put safety first
ZIO00000531	Don't you get it? Its all gone!
ZIO00000532	Be alert! Accidents hurt
ZIO00000533	You must have a fuse loose metal nose,  how about I just dig a hole and bury you
ZIO00000534	You will also require a buried services sign off sheet and a permit to dig
ZIO00000535	So where is your work permit? and is it in date?
ZIO00000536	-!??($%)*@#~
ZIO00000537	I tried talking to Blu Ray, he wouldn't tell me shit unless I bought something
ZIO00000538	I'm not surprised, he is a stubborn greedy bastard
ZIO00000539	What do you want to know?
ZIO00000540	I see, well spare me the details
ZIO00000541	Play in traffic
ZIO00000542	Yeah, I know
ZIO00000543	Thought maybe I should check them out
ZIO00000544	Then you are dumber than you look smoothskin
ZIO00000545	Is there anything around here worth looking at?
ZIO00000546	No
ZIO00000547	Are there many raider gangs around this area?
ZIO00000548	I suppose
ZIO00000549	So why are you here then?
ZIO00000550	You know what, forget it
ZIO00000551	Just checking everything is OK, what your business?
ZIO00000552	Uh Uh, Back off and leave me alone
ZIO00000553	I need to make sure there is no trouble here, that clear?
ZIO00000554	Eat shit and die, that clear enough for you?
ZIO00000555	It's either me or the wasteland pal
ZIO00000556	I think I'll take my chances with the wasteland
ZIO00000557	You know what, forget it
ZIO00000558	Listen you scabby fuck, decomposing is a serious offence here so you had better start cooperating
ZIO00000559	I'll kill you for that
ZIO00000560	Yeah go on, scram
ZIO00000561	You're a real piece of work
ZIO00000562	This is a health and safety spot check. Please show your work permit and it had better be in date
ZIO00000563	-!??($%)*@#~
ZIO00000564	No where, just looking around
ZIO00000565	Stay out of trouble we have enough problems here as it is
ZIO00000566	[Fight] Just fuck off out of my way dick splash
ZIO00000567	Through that gate, is there some sort of tax involved here?
ZIO00000568	Yeah, I hope you're looking to do some business with me, I think it could be, mutually beneficial
ZIO00000569	What are we talking? would 100 cover it?
ZIO00000570	Yep, caps it is
ZIO00000571	There you go, here's your caps...
ZIO00000572	Pleasure doing business with you
ZIO00000573	You cheap bastard, like all Mojave people
ZIO00000574	Well you are shit out of luck, I'm not paying
ZIO00000575	Now you start talking real clear and I mean fucking crystal clear because I'm about to loose my patience
ZIO00000576	Move along waster, consider yourself lucky
ZIO00000577	ZkbDoddsTalk36
ZIO00000578	<Speech 65>
ZIO00000579	You are on the wrong side of this fence to to stop me going anywhere soldier boy
ZIO00000580	[FAILED] Heh Heh, nice try
ZIO00000581	Where am I going? Just back off, you don't want to mess with me
ZIO00000582	You've been warned
ZIO00000583	[NCR] Relax trooper we are on the same side, how you doing?
ZIO00000584	This is the worst detail in the Mojave
ZIO00000585	You got to piss some one off to pull guard duty out here
ZIO00000586	So what's the other side of that gate?
ZIO00000587	Well, that's the way I'm going
ZIO00000588	Hey, its your life
ZIO00000589	[Terrifying Presence] Where ever I want, now make me happy and say 'over my dead body'
ZIO00000590	Makes no difference to me
ZIO00000591	What happened?
ZIO00000592	Told you, stuck your nose into where is doesn't belong and you got zapped by my burglar alarm. Now what did I tell you when you first arrived?
ZIO00000593	Oh, If only it was that easy
ZIO00000594	From inside a cage? Ever heard the phrase; situational awareness? You need to work on that
ZIO00000595	OK, I screwed up. Can we work a deal here?
ZIO00000596	Maybe we can, you do seem to be a pretty determine character and you have managed to find our 'Ground House' mystery tunnel
ZIO00000597	I think your options are limited here
ZIO00000598	There is a place, a field above the waterfall. We use to keep Lurks there. Mean critters but they taste good.
ZIO00000599	But there was a problem, there are these weird poisonous plants. They have always been around but they were becoming a problem. Killing hatchlings.
ZIO00000600	Non of us saw that one coming. Granted we made the assumption they were what's left of the raiders, although they did seem slightly more intelligent
ZIO00000601	More intelligent?
ZIO00000602	The deal is this; you go up there kill all of these creatures and the plants and then we will see about cutting you in on our mystery tunnel
ZIO00000603	It's Done. Lillypad field is cleared of those things.
ZIO00000604	Good, you've proved yourself. So the deal is this, if you get into our little vault you can walk out with whatever you can carry, the rest is ours.
ZIO00000605	So what's with all the junk by the way?
ZIO00000606	I'm a scientist, these are my instruments....Stop giggling
ZIO00000607	OK, I'm done
ZIO00000608	Whatever
ZIO00000609	I'm looking for a place to crash, is this a hotel?
ZIO00000610	Nearest you're gonna get to it in these parts
ZIO00000611	Prices are on the board, read them. If you can't read take a guess. You want a one bed cage or a two? Or just a bed?
ZIO00000612	A cage? is a room too much to ask for?
ZIO00000613	Yeah it is. So is on suite facilities, room service and pleasant after dinner conversation. So what it's to be?
ZIO00000614	I'll get back to you.
ZIO00000615	Whatever
ZIO00000616	I'll take the one bed cage
ZIO00000617	Ok, Cage E. It's down there, fifth cage
ZIO00000618	I'll need the two bed cage
ZIO00000619	Sure, Cage B, down there second on the right
ZIO00000620	I just need a bed
ZIO00000621	Go right down the end, cage H. Take any one free
ZIO00000622	Do you trade?
ZIO00000623	Not really, I'm more wholesale. Bill up on the road is your best bet for clothing and weapons, or John for parts, junk and general repairs
ZIO00000624	Can I ask you some questions?
ZIO00000625	Knock yourself out, but I don't guarantee an answer
ZIO00000626	Do you get any other groups up this way?
ZIO00000627	Groups of what?
ZIO00000628	How come this place is here?
ZIO00000629	Can't think of a better place for it
ZIO00000630	Ever come across a vault around these parts?
ZIO00000631	No
ZIO00000632	No
ZIO00000633	How far is Zion from here?
ZIO00000634	About two or three days walk. Keep going north, just watch out for the wildlife.
ZIO00000635	Get any NCR around here?
ZIO00000636	Rarely and those are generally deserters, lost or most likely both
ZIO00000637	Ever come across Caesars Legion?
ZIO00000638	Hmm, Legion, vicious, wear skirts and don't make any sense if you talk to them. Sounds like a lot of the women I've known. None here though
ZIO00000639	Have you heard of Mr House up this far north?
ZIO00000640	Of course we have, everyone knows about Vegas and the strip
ZIO00000641	As for House I heard he is actually a pre-war computer. Probably spends all day in that tower of his de-fragmenting himself
ZIO00000642	Ever come across Boomers?
ZIO00000643	Thankfully no. Someone who married their own sister should never have artillery. Or children. Or anything else for that matter.
ZIO00000644	Seen any Brotherhood of Steel in these parts?
ZIO00000645	Haven't seen them around for a long time. Probably disappeared down a hole, best place for them if you ask me
ZIO00000646	Are there any Followers of the Apocalypse around here?
ZIO00000647	Yeah, up on the road in the big wooden shack, or medical center as some call it. Louise is good, just a bit frosty.
ZIO00000648	Who runs this place?
ZIO00000649	If you're looking for someone to shoot at, there is the Mayor or the Sheriff or both if you have had a bad day.
ZIO00000650	Where does this tunnel go?
ZIO00000651	No where, it's collapsed further on down. No treasure, no zombies, no where and nothing
ZIO00000652	So if this is Rita's Cafe, where is Rita?
ZIO00000653	Down the hall, fourth on the right
ZIO00000654	Are you serious?
ZIO00000655	How have you got this far being that stupid?
ZIO00000656	You haven't asked me anything, don't you want to know what's happening down south?
ZIO00000657	That's all people talk about around here. Anyway, I don't need to, see that box that makes noise behind me? It's called a radio
ZIO00000658	Unlike you it has the added advantage of having an off switch
ZIO00000659	Screw You! [Attack]
ZIO00000660	...
ZIO00000661	What the hell is wrong with your voice? and why are you so small?
ZIO00000662	I'm not small, I'm compact and there is nothing is wrong with my voice. Now are you prepared to die?
ZIO00000663	Not sure, you're not wearing a label
ZIO00000664	Welcome to the Quarry, we don't see many humans alive around here, not that you will be much longer.
ZIO00000665	No, seriously, you have to be having a laugh, literally, is that helium in that mask?
ZIO00000666	Yes, as a matter of fact. Its a medical condition, I suffer from helium deficiency and I would thank you not to mention it.
ZIO00000667	There is no such thing as helium deficiency, and that shit is dangerous
ZIO00000668	For humans perhaps, but I am a mutant and the conversion process...had some hiccups.
ZIO00000669	That's not a hiccup, its a full blown fuck up. So you are a failed FEV subject?
ZIO00000670	I don't like the word failed, it has such negative connotations.
ZIO00000671	Well you sure as shit wasn't a success
ZIO00000672	Look, I'm about to kill you so can we cut out the small talk? Any last words?
ZIO00000673	Well aren't you the vindictive one. Let me guess, one munchkin joke too many?
ZIO00000674	Yes, that and they are planning to get rid of me. It seems they don't think I'm projecting the right kind of image for a Super Mutant.
ZIO00000675	No, I think you need to be put out of your misery [Attack]
ZIO00000676	Finally
ZIO00000677	Yeah, What do you call a green Nightkin?
ZIO00000678	What? I've no idea..
ZIO00000679	A munchkin! Get it?
ZIO00000680	Are you deliberate trying to antagonise me?
ZIO00000681	It's not deliberate, I just can't help myself. Now say you are going to rip my arms off.
ZIO00000682	Now you want me to threaten you?
ZIO00000683	Sure, I've never been threatened by a munchkin before, this is priceless.
ZIO00000684	Listen, I'm trying to intimidate and kill you and its not easy with my disadvantages
ZIO00000685	So will you please throw me a frigin bone here and at least try to look worried.
ZIO00000686	Sorry about that, will it help if I stop laughing?
ZIO00000687	Yes, that would help
ZIO00000688	Do we fight now?
ZIO00000689	I can't be bothered now. I've lost the moment and am too disillusioned.
ZIO00000690	So you have gone from killing me to depressing me, that's a hell of a jump for one conversation.
ZIO00000691	Listen, you don't seemed to be fazed by Mutants, would you be interested in some work at all?
ZIO00000692	Got it, find bad guys, kill bad guys, get money. Any chance of a song before I go?
ZIO00000693	I am consoled by the knowledge they will probably kill you first.
ZIO00000694	You are offering me work? Have you not noticed I've already fragged a most of your buddies
ZIO00000695	Really? They were not really my friends and they also seemed to find my 'condition' amusing. So..fuck em.
