VFreeformFreesideVFSRalphTopic013_00115CCC#INFO:NAM1#4702ec87a827a15c3119ca6b42ca28b7,"[SUCCEEDED] Hah! I like your style, kid, but the best I can do is meet you halfway. 375 caps, and we can call it a deal.",[成功] 哈，我喜欢你的风格，孩子，但我可没法降太多。375个瓶盖，咱们就成交。.
VFreeformFreesideVFSRalphTopic013_00115CCD#INFO:NAM1#79d50725c79d20f0a60a505f2d90659a,"[FAILED] Heh, who are you shitting?",[失败] 呵，你开什么玩笑？ ?
VFreeformFreesideVFSRalphTopic013_00115CCD#INFO:NAM1#fb26aa016831d8325a9336500a71922b,"I appreciate your brass, but 500 is the price. Take it or leave it.",我欣赏你的胆量，但500块钱是一口价。不要拉倒。
VFreeformFreesideVFSRalphTopic013_01003BC0#INFO:NAM1#4702ec87a827a15c3119ca6b42ca28b7,"[SUCCEEDED] Hah! I like your style, kid, but the best I can do is meet you halfway. 375 caps, and we can call it a deal.",[成功] 哈，我喜欢你的风格，孩子，但我可没法降太多。375个瓶盖，咱们就成交。.
VFreeformFreesideVFSRalphTopic013_01003BC1#INFO:NAM1#79d50725c79d20f0a60a505f2d90659a,"[FAILED] Heh, who are you shitting?",[失败] 呵，你开什么玩笑？ ?
VFreeformFreesideVFSRalphTopic013_01003BC1#INFO:NAM1#fb26aa016831d8325a9336500a71922b,"I appreciate your brass, but 500 is the price. Take it or leave it.",我欣赏你的胆量，但500块钱是一口价。不要拉倒。
VFreeformFreesideVFSRalphTopic008_00115CC0#DIAL:FULL#69c28edeb0e772f394ab540308b719e9,<Speech>,<口才>
VFreeformFreesideVFSRalphTopic008_00115CCE#INFO:NAM1#e3e6442ff271c2ac90c29f01f0cb7c94,"[SUCCEEDED] All right. Yeah, I've got a little side business going, but what I'm about to share with you does not leave this room, eh?",[成功] 好吧，我的确有做一些特殊买卖，但我接下来说的话，我不希望其他人知道，懂吗？
VFreeformFreesideVFSRalphTopic008_00115CCE#INFO:NAM1#e064ecf2c5348910f9dd4186ab5b0b0b,"Over the years, I've gradually perfected my craft to the point of perfection. No one can distinguish between my work and the real thing.",几年来，我一直在改进工艺。没人能分辨出我做的东西和真品之间有什么区别。
VFreeformFreesideVFSRalphTopic008_00115CCE#INFO:NAM1#18ebb0c76d5764d77c017bbf74a8cb00,"What I'm referring to is passports. If you've got the caps, I can whip up a Strip passport which will fool even the most well-trained eye.",我指的是通行证。如果你有瓶盖的话，我可以帮你造一张长街的通行证，绝对能骗过任何专家的眼睛。
VFreeformFreesideVFSRalphTopic008_00115CCE#INFO:RNAM#a77d79605f1f6739528beddf0b51b8f4,A resourceful fellow such as yourself must have something on the side.,像你这样八面玲珑的人，一定有些别的门路吧。
VFreeformFreesideVFSRalphTopic008_0011F50B#INFO:NAM1#ac3ad5cd813650437767ef2478207540,"[FAILED] Wow, you're a real wordsmith there, bub. Sorry, talk to the leaders of Freeside if you want the deal.",[失败] 哇，你还真是挺胆大的啊，朋友。抱歉，如果你要做这桩买卖，得先去找自由城的老大谈。
VFreeformFreesideVFSRalphTopic008_0011F50B#INFO:RNAM#320e075af948433f9e96f5c7262bd280,Let me in on the action!,让我也掺一脚吧！
VFreeformFreesideVFSRalphTopic008_01003BC4#INFO:NAM1#e3e6442ff271c2ac90c29f01f0cb7c94,"[SUCCEEDED] All right. Yeah, I've got a little side business going, but what I'm about to share with you does not leave this room, eh?",[成功] 好吧，我的确有做一些特殊买卖，但我接下来说的话，我不希望其他人知道，懂吗？
VFreeformFreesideVFSRalphTopic008_01003BC4#INFO:NAM1#e064ecf2c5348910f9dd4186ab5b0b0b,"Over the years, I've gradually perfected my craft to the point of perfection. No one can distinguish between my work and the real thing.",几年来，我一直在改进工艺。没人能分辨出我做的东西和真品之间有什么区别。
VFreeformFreesideVFSRalphTopic008_01003BC4#INFO:NAM1#18ebb0c76d5764d77c017bbf74a8cb00,"What I'm referring to is passports. If you've got the caps, I can whip up a Strip passport which will fool even the most well-trained eye.",我指的是通行证。如果你有瓶盖的话，我可以帮你造一张长街的通行证，绝对能骗过任何专家的眼睛。
VFreeformFreesideVFSRalphTopic008_01003BC4#INFO:RNAM#a77d79605f1f6739528beddf0b51b8f4,A resourceful fellow such as yourself must have something on the side.,像你这样八面玲珑的人，一定有些别的门路吧。
VFreeformFreesideVFSRalphTopic008_01003BC5#INFO:NAM1#ac3ad5cd813650437767ef2478207540,"[FAILED] Wow, you're a real wordsmith there, bub. Sorry, talk to the leaders of Freeside if you want the deal.",[失败] 哇，你还真是挺胆大的啊，朋友。抱歉，如果你要做这桩买卖，得先去找自由城的老大谈。
VFreeformFreesideVFSRalphTopic008_01003BC5#INFO:RNAM#320e075af948433f9e96f5c7262bd280,Let me in on the action!,让我也掺一脚吧！
VFreeformFreesideVFSSecuritronGreeterTopic004_0011974E#DIAL:FULL#e55d7a185904efee9dbd4b5fccf0d0ae,What do I need to do to get in?,我需要什么才能进去？
VFreeformFreesideVFSSecuritronGreeterTopic004_00119780#INFO:NAM1#faf11e8346a9ab4046729a38d1e5f09e,"If you are unable to meet the minimum balance requirement, an official passport is an acceptable alternative.",如果你无法满足最低资产要求，也可以向我们出示由官方派发的通行证。
VFreeformFreesideVFSSecuritronGreeterTopic002_00119750#DIAL:FULL#bf8ef2fcb2a0481ae0046a0339bd5dae,[Passport] I've got a passport.,[通行证]我有通行证。
VFreeformFreesideVFSSecuritronGreeterTopic002_00119782#INFO:NAM1#784914b0a2e7bac2c81f5e1227bcb2c3,"Thank you, sir. You may proceed.",谢谢，先生。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic002_00119782#INFO:RNAM#e1ef42bd2bdc1ae57bb3da167630a743,[Counterfeit] I've got a passport.,[伪造证件] 我有通行证。
VFreeformFreesideVFSSecuritronGreeterTopic002_00119783#INFO:NAM1#c393d1ba030ca022cd15126eb7f6bba0,"Thank you, madam. You may proceed.",谢谢，女士。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic002_00119783#INFO:RNAM#e1ef42bd2bdc1ae57bb3da167630a743,[Counterfeit] I've got a passport.,[伪造证件] 我有通行证。
VFreeformFreesideVFSSecuritronGreeterTopic002_001585FD#INFO:NAM1#784914b0a2e7bac2c81f5e1227bcb2c3,"Thank you, sir. You may proceed.",谢谢，先生。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic002_001585FE#INFO:NAM1#c393d1ba030ca022cd15126eb7f6bba0,"Thank you, madam. You may proceed.",谢谢，女士。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic001_00119751#DIAL:FULL#d4902c1cf231f5f22b8b3966aaf15137,"I'll submit to the credit check. <2,000 caps required.>",我愿意提供保证金。<需要2000瓶盖 。>
VFreeformFreesideVFSSecuritronGreeterTopic001_0011977D#INFO:NAM1#784914b0a2e7bac2c81f5e1227bcb2c3,"Thank you, sir. You may proceed.",谢谢，先生。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic001_0011977E#INFO:NAM1#c393d1ba030ca022cd15126eb7f6bba0,"Thank you, madam. You may proceed.",谢谢，女士。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic001_0011977F#INFO:NAM1#cfd28f0eec61f3a1865ae510fe24f02d,"I'm sorry, but your balance does not meet the minimum balance.",抱歉，你的资产数量无法满足最低要求。
VFreeformFreesideVFSSecuritronGreeterTopic006_01000ADD#DIAL:FULL#25575d3c80ff9a5a02217eeaf8e8e07e,"I want to buy a passport. <2,000 caps required.>",我想买张通行证<需要2000瓶盖 。>
VFreeformFreesideVFSSecuritronGreeterTopic006_01000ADF#INFO:NAM1#784914b0a2e7bac2c81f5e1227bcb2c3,"Thank you, sir. You may proceed.",谢谢，先生。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic006_01000AE0#INFO:NAM1#c393d1ba030ca022cd15126eb7f6bba0,"Thank you, madam. You may proceed.",谢谢，女士。你可以通过了。
VFreeformFreesideVFSSecuritronGreeterTopic006_01000AE1#INFO:NAM1#a0216891db0d38f8e6a31d2aafff9f5d,Please return when you have the sufficient caps or a passport.,请在你拥有足够瓶盖或通行证时回来
VFreeformFreesideVFSSecuritronGreeterTopic007_01000AE2#DIAL:FULL#1dee84433f01809d4cae70c37d6e186a,Goodbye.,再见。
VFreeformFreesideVFSSecuritronGreeterTopic007_01000AE3#INFO:NAM1#5689a1221a1b5468129a90268f305118,Move along.,走吧。
VMQHouseFail_00165AC2#QUST:FULL#6e046dd67747d953474568d96d25cdf2,The House Has Gone Bust!,庄家爆点咯！
VMQHouseFail_00165AC2#QUST:NNAM#31903463665d48fa65f9e60a4645bfc2,Mr. House is dead. His grand dreams for New Vegas will never be realized.,豪斯先生已经死了。他关于新维加斯的美梦再也无法实现了。
VMQHouseFail_00165AC2#QUST:NNAM#3ef80a885e82270189524137946aeafc,You have irrevocably disconnected Mr. House from the Lucky 38's mainframe computers.,你已经让豪斯先生和幸运38的主机断开链接，没法反悔了。
VMQHouse1_00147885#QUST:FULL#ae724edbb14f23495817c197ad02eb91,"The House Always Wins, I",庄家多得利I
VMQHouse1_00147885#QUST:CNAM#d6fb8a5b8cc84ed16078986314795768,Failure.,失败。
VMQHouse1_00147885#QUST:NNAM#7f2f7d6ebafed0a3f0b7ddb7fda8e939,Talk to Mr. House at the Lucky 38.,到幸运38与豪斯先生交谈。
VMQHouse1_00147885#QUST:NNAM#05038f8cb51fb7790583585ea03d1b6a,Bring the Platinum Chip to Mr. House.,将白金芯片带给豪斯先生。
VMQHouse1_00147885#QUST:NNAM#09dcdaf07eeca158a6b6ea7ac5e54e5f,Recover the Platinum Chip at the Fort.,从城堡取回白金芯片。
VMQHouse1_00147885#QUST:NNAM#5f3d784b6bae9ad28f4995939e345a38,Deliver the Platinum Chip to Mr. House.,将白金芯片给豪斯先生。
VMQHouse1_00147885#QUST:NNAM#e13f6bd3c61cf839ecff4a20e4fe51dc,Go to the basement of the Lucky 38.,前往幸运38的地下室。
VMQHouse1_00147885#QUST:NNAM#96af9a1edcf1fa9bbb8d8a9ddbc4028e,Observe as Mr. House upgrades Securitrons.,见证豪斯先生升级安保系统。
VMQHouse1_00147885#QUST:NNAM#cab0cf6e0925f79e927e81a61662db0b,Return to Mr. House.,回到豪斯先生处。
VMQHouse1_00147885#QUST:NNAM#158f71903aac4ee7c4d811c99d0d38a2,(Optional) Talk to Mr. House again if you want to work for him.,(可选)如果你还愿意为豪斯先生效命，就和他谈谈。
VMQHouse2_00147886#QUST:FULL#6efa555410e97d8dcf26b10d7537532d,"The House Always Wins, II",庄家多得利II
VMQHouse2_00147886#QUST:NNAM#cbc840782e0f2f45b2883ff687895ac9,Use the Platinum Chip to open the secret bunker at Fortification Hill.,使用白金芯片打开堡垒山下的秘密基地。
VMQHouse2_00147886#QUST:NNAM#25fa2bb541fca80ba2a7367d27421078,Enter the secret bunker.,进入秘密地下工厂。
VMQHouse2_00147886#QUST:NNAM#98c13521c44a4ffe78f7c08b7aacece4,Upgrade Mr. House's secret Securitron army.,升级豪斯先生的安保部队。
VMQHouse2_00147886#QUST:NNAM#0ae8216457818c100e96c1a2a163084d,Report back to Mr. House for further instructions.,回去报告豪斯先生，获得更多任务的情报。
VMQHouse2_00147886#QUST:NNAM#5d0c517a4c486ff9f767c2dc4f321755,(Optional) Change your mind and upgrade Mr. House's secret Securitron army.,(可选)转变想法，给豪斯先生的秘密安保部队安装升级程序。
VMQYesMan01_00157321#QUST:FULL#d09c47a656cb00fe23b467fa6561f2b9,Wild Card: Change in Management,百搭牌：换人坐庄
VMQYesMan01_00157321#QUST:CNAM#046f6ec0faa5acb676a1c217ff67b4fd,"Quest complete. Yes Man installed at Lucky 38, in charge of upgraded Securitrons on Strip.",任务完成。好好先生在幸运38安置了下来，并控制了长街的安保部队。
VMQYesMan01_00157321#QUST:NNAM#c45f79a10bdca6e5ae9b11678b1957b7,Kill or Disable Mr. House.,杀死豪斯先生，或者让他瘫痪。
VMQYesMan01_00157321#QUST:NNAM#cc6fd1f13f43f38b9e84bd1da0f66692,Install Yes Man's A.I. in the Lucky 38's mainframe.,在幸运38的主机中安装好好先生的人工智能。
VMQYesMan01_00157321#QUST:NNAM#305175d47d0edfc0c6adb251a97cca26,Meet Yes Man at the Lucky 38.,在幸运38和好好先生碰面。
VMQYesMan01_00157321#QUST:NNAM#e62cee96fcf489d34762444c39b72b92,Recover the Platinum Chip from Benny at the Fort.,从城堡取回白金芯片。
VMQYesMan01_00157321#QUST:NNAM#50b114c5369474b62c29afdaae9848e7,Recover the Platinum Chip from Benny.,从本尼那里取回白金芯片。
VMQYesMan01_00157321#QUST:NNAM#30c92609fbe1d7985e828f8f20abc452,Deliver the Platinum Chip to Mr. House so he can upgrade his defensive systems.,将白金芯片交给豪斯先生，让他升级防御系统。
VMQYesMan01_00157321#QUST:NNAM#3e7440676a24174665efc3223de10702,Go the basement of the Lucky 38.,前往幸运38的地下室。
VMQYesMan01_00157321#QUST:NNAM#394ba75d86946d28e2654a555d62bddb,Observe upgrading of Securitrons.,见证安保系统升级。
VMQYesMan01_00157321#QUST:NNAM#4d49f18f73e47ea63f5c57d559024aed,Return to Yes Man.,回到好好先生处。
VMQYesMan01_00157321#QUST:NNAM#1a8e9ead769fe755294e3f16855f8710,Obtain a Lucky 38 VIP Keycard.,获得幸运38的VIP卡。
Lucky38ElevatorMessageVictor_00157263#MESG:DESC#c073896b08d89ac66fe0214d59149f37,"Where to, Pardner?",要去哪儿，搭档？
Lucky38ElevatorMessageVictor_00157263#MESG:FULL#4336a0b7f4116847633a15de4db7a128,Choose A Floor,选择楼层
Lucky38ElevatorMessageVictor_00157263#MESG:ITXT#c6c3f84c4bd8a2298b0814fe3741b9bf,Stay Here,留在这里
Lucky38ElevatorMessageVictor_00157263#MESG:ITXT#105bcc0c0cdb494a5ecbdb6a41530df7,Penthouse,屋顶套间
Lucky38ElevatorMessageVictor_00157263#MESG:ITXT#6ebd6ef8689a0e972c9a144876b1ecb0,Cocktail Lounge,鸡尾酒厅
Lucky38ElevatorMessageVictor_00157263#MESG:ITXT#e3f4840e3663cfd06eb34e1ff942f361,Presidential Suite,总统套房
Lucky38ElevatorMessageVictor_00157263#MESG:ITXT#8b361d0f4341235a750cdd6de99f6598,Casino,赌场
Lucky38ElevatorMessageVictor_00157263#MESG:ITXT#55bea1a10edacf7b913eea87e676998b,Basement,地下室
Lucky38ElevatorMessage_00116A54#MESG:DESC#02882f0d8fab1fcc686f7fe828f8888c,What floor would you like to go to?,你想去哪层楼？
Lucky38ElevatorMessage_00116A54#MESG:FULL#4336a0b7f4116847633a15de4db7a128,Choose A Floor,选择楼层
Lucky38ElevatorMessage_00116A54#MESG:ITXT#c6c3f84c4bd8a2298b0814fe3741b9bf,Stay Here,留在这里
Lucky38ElevatorMessage_00116A54#MESG:ITXT#105bcc0c0cdb494a5ecbdb6a41530df7,Penthouse,屋顶套间
Lucky38ElevatorMessage_00116A54#MESG:ITXT#6ebd6ef8689a0e972c9a144876b1ecb0,Cocktail Lounge,鸡尾酒厅
Lucky38ElevatorMessage_00116A54#MESG:ITXT#e3f4840e3663cfd06eb34e1ff942f361,Presidential Suite,总统套房
Lucky38ElevatorMessage_00116A54#MESG:ITXT#8b361d0f4341235a750cdd6de99f6598,Casino,赌场
Lucky38ElevatorMessage_00116A54#MESG:ITXT#55bea1a10edacf7b913eea87e676998b,Basement,地下室
