0003899C	The Capital Wasteland
0002DEB3	Ronald Laren's Home
0601516F	L.O.B. Enterprises Archives
0601D6A3	Bridge Tower
0604AEC3	Museum of Technology Atrium
06051E7B	SatCom Array NN-03d-C
06003A2D	Children of Atom
0604AE05	Red Racer Tricycle Factory 03
06061F8D	Radiation King
0606C019	Memorial Maintenance Room
06024D78	Big Town, Red's Clinic
0607523C	Sewer Waystation
060236DA	Hall of Columns
0602ABA6	Big Town, Common House
0602B952	Our Lady of Hope Hospital 2nd Lvl
06042F26	Power Substation
06017F4C	Police HQ - Ground Floor
06018460	Waterfront Sewage
06018528	Vault 106 Entrance
0601A274	Mama Dolce's Food Distribution
0602E0D0	Guard House
0602F264	Slave House
060B5F08	Gibson House
060C90E4	The Raid Shack
06018532	Living Quarters
0601A288	Tenleytown/Friendship Station
0601DEB0	Memorial Sub-Basement
06020F8E	Spelunkers Restaurant
06024512	Vault 101 Entrance
0602F8C2	Shalebridge Hill
060406AE	Canterbury Tunnels
0605B530	Warren
06035506	Bathrooms
06050ED2	Radio Tower Complex
0002DEB4	Sierra Petrovita's Home
06003A2E	Megaton Clinic
06024D6E	The Dashwood Suite
0602D6EE	Evergreen Mills Foundry
0602DC02	Garden Shed
06033E0E	La Maison Beauregard Lobby
06017F39	Springvale School Lower Level
0601BC8D	County Sewer Mainline
0601D5F1	Schenzy Residence
06024D79	Big Town, Town Hall
06017E17	Flooded Metro
06017F43	Our Lady of Hope Hospital
0601851F	Museum of History Lower Halls
060236DB	Capitol Building West Entrance
0602ABA7	Big Town, Clubhouse
06044953	Yao Guai Cave
06017F4D	Statesman Hotel Restaurant
06018461	Meresti Service Tunnel
06018529	Vault 106 Living Quarters
060207A1	Citadel - B Ring
06017F57	Depot Training Wing
06018533	Vault 108 - Cloning Lab
06034A53	Vault 106 Living Quarters
06052A67	Power Substation
0606EC67	Child Slave House
06017F61	Robot Repair Center
0601DEB1	Sift Pump
06084305	SatCom Array NN-03d-A
060CA995	Musty Cavern
0601BA03	L.O.B. Enterprises
06020F8F	Lamplight Restrooms
06024513	Bethesda Offices West
0602B52F	Abandoned House
060406AF	AntAgonizer's Lair
0606F6A3	Sealed Cistern
060CAFDF	Gold Ribbon Grocers
0606F199	Scrapyard Office
0601D6A5	The Muddy Rudder Bar
0602DEB5	Agatha's House
06003A2F	The Brass Lantern
06017F2F	Vault-Tec Administration
0602107F	Rivet City Market
06024D6F	Tenpenny WellnessCenter
0602DC03	The Smith's House Basement
06017F3A	Springvale Elementary School
0601D5F2	West Residence
06024D7A	The Wilson's House
0602EE06	Hannibal's Home
0602F69E	Hubris Comics Utility Tunnels
06056EA6	Grocer
06017E18	Sunken Chambers
06017F44	Offices
06018520	Jefferson Memorial Rotunda
06017F4E	Statesman Hotel Mid Level
0601852A	Living Quarters
0601A276	Hubris Comics Publishing
060207A2	Citadel - A Ring
06099E9A	Vault 101 Sub-Level
06018534	Smith Casey's Garage
0601A280	Franklin Metro Utility
0601B478	Penn. Ave/The Mall Metro
06034A54	Vault 106 Living Quarters
0602D0E2	Personnel Offices
06020F90	Murder Pass
060617FC	Metro Access & Generator
06064BF0	Satellite Facility
060AB546	Dominic and Machete's House
060BC4C2	Arlington/Falls Church Metro
060C25A2	Abandoned Shack
0602DEB6	Brandice's House
06003A30	Mister Burke's House
06017F30	Vault-Tec Corporate Offices
0602DC04	Old Man Harris' House
06016DA7	Jury St. Tunnels
06017F3B	Roosevelt Arts and Athletics Hall
0601BC8F	DCTA Tunnel 014-B Potomac
0601D5F3	Evan King's House
06024D7B	The Smith's House
0602EE07	Caleb's Home
0602F69F	Hubris Comics Printing
060526C7	Sewer
060548C3	Shop
0607C25B	NiftyThrifty
06017E19	Damp Cave
06017F45	Storage And Mixing Vats
06018521	Jefferson Museum and Gift Shop
0601BC99	Dukov's Place
06022AC1	Office Building
06017F4F	The Statesman Hotel
06018463	Deathclaw Sanctuary
0601852B	Vault 92
06019FBB	Upper Deck
0604363B	Fort Bannister Bunker
06099E9B	Vault 101 Lower Level
06003B85	Archival Secure Wing East
06017F59	Arlington Library Media Archive
0601A281	Arlington Utility
060705CD	Grandma Sparkles' Shack
060170EF	Tenpenny Guard House
06017F63	Offices and Cafeteria
0602AFAF	The Ninth Circle
0603D443	Fairfax Metro Station
0601FEC5	Lucky's
06020F91	Lamplight Caverns
06051245	Stairwell
06082DF9	Satellite Facility
060534AF	Wheaton Armory
060BC4C3	Penn. Ave/Seward Sq. Metro
060C25A3	Abandoned Shack
060BB019	Hotel
06003A27	Men's Restroom
060228AF	National Guard Armory
0602DEB7	Wilks' House
060401BB	Potomac Steamworks
060C568B	SatCom Array NN-03d-C
060CC067	Arlington House
06003A31	Lucy West's House
06017F31	Vault-Tec Guest Relations
06023601	Sealed Cistern
06024D71	Eulogy's Pad
060C83E5	Shelter
06016DA8	Jury St. Station
06017F3C	Maintenence and Evacuation Tunnel
0601D5F4	Ewer Residence
0601EEF4	Tenpenny Dummy Cell
0602EE08	Storeroom
0606F9F8	Depot Offices
06003B72	Archival Strongroom
06017F46	Factory Floor
06018522	Archives Sub-Basement
0601BC9A	Tepid Sewer
060B78CA	Zane House
06017F50	Virulent Underchambers
06018464	Raider Outpost
0601852C	Vault 112
0601A278	L.O.B. Enterprises East Wing
0604363C	Talon Company Camp
06017F5A	Arlington Library Children's Wing
06018536	Vault 106 Science Labs
06022D92	Office Building
0605AA8A	Abandoned Home
06098736	Grain Silo
060B9BA2	Benson House
06017F64	RobCo Factory Floor
0601A28C	Metro Central
060244A8	Simpson Residence
0602AFB0	Carol's Place
0602D0E4	Launch Control Bunker
0603D444	Fort Independence Lower Level
06067488	Broken Bow
06020F92	Souvenir Shop
0604DD8A	Auto Shop
060508E6	Anchorage Memorial Facility
0605D5FA	FFE vendor chests
0602DCB0	Drainage Chamber
060C25A4	Abandoned Shack
06033372	Townhome
0606530E	Grocer
06003A28	Women's Restroom
0601BA88	Abandoned Shack
0601FC8C	Drainage Chamber
06029034	Evergreen Mills Bazaar
060C568C	SatCom Array NN-03d-B
06003A32	Nathan and Manya's House
06024D72	Slaver Barracks
0605559E	Derelict Power Plant
06074EB2	Museum of History Entrance
06017F3D	Roosevelt Academy
0602EE09	Simone's Home
0604E1A5	Power Substation
0607CEDD	Museum of Technology West Wing
06017F47	Memorial Service Entrance
06018523	The National Archives
0601A26F	Galaxy News Radio
06036F5F	Ernest "Uncle" Roe's House
0604550F	The Great Chamber
06076DA3	Utility
06017F51	Forsaken Dunwich Ruins
0601852D	Vault 108 - Entrance
0601A279	GNR Studios
0604363D	Power Station
06099E9D	Vault 101 Atrium/Upper Level
06004357	Common House
060170E7	Tenpenny Tower - Empty Suite
06017F5B	Arlington Public Library Lobby
06018537	Reactor Chamber
0601A283	Anacostia Crossing Station
0603CADB	Outpost
0605AA8B	Abandoned Home
0601A28D	Dry Sewer
060244A9	Dithers Residence
0602D0E5	Bomb Storage
0603D445	Fort Independence
06015157	Citadel - Laboratory
06020F93	Womens Restroom
0604DD8B	Factory
060C25A5	Abandoned Shack
060035D3	Metro Junction
0602D743	Power Substation
060572D7	Office
0606A8FF	Taft Tunnels
06003A29	Lucas Simms' House
0602798D	Bunker
060B8AA5	Gillian House
000151E3	Empty House
06003A33	Billy Creel's House
06016D9F	Marigold Station
06017F33	Tenpenny Suites
0606FD0F	Sunken Sewer
00031E12	Holding pen for freeform encounters
06000A74	Megaton
06015145	The Citadel Courtyard
06018DE6	Chevy Chase
0601A25D	Arlington National Cemetery
0601A25E	Falls Church
0601A260	Mason District
0601A263	Georgetown
0601A264	Seward Square
0601A265	L'Enfant Plaza
0601A266	The Mall
0601A267	Pennsylvania Avenue
0601A269	Vernon Square
0601A26A	Takoma Park
0601A26C	Dupont Circle
0601E37F	Chevy Chase
060244A7	Tranquility Lane
060271C0	The Washington Monument
06029AAA	Statesman Hotel Roof
0602F222	Paradise Falls
06043EA6	National Guard Depot
0604C4D1	Mama Dolce's Loading Yard
0604D49B	The Grove
0607EA1F	Wasteland
060A0C2B	Oasis
060C617E	The Washington Monument
