GID99999990	Energy Rifle
GID00030591	COPYRIGHT 2075-2077 ROBCO INDUSTRIES
GID00030592	Wild Child
GID00030594	You feel lucky. You win
GID00030596	Steal
GID00030597	Your left leg is now crippled.
GID00030598	Move It
GID00030599	For your overwhelmingly monstrous behavior, you have become vilified by the community.
GID00030600	May
GID00030601	You cannot fast travel from this location.
GID00030602	Forehead small/large
GID00030603	AMMO
GID00030604	Open
GID00030605	You no longer have Sleep Deprivation sickness
GID00030606	Apparel
GID00030607	Dark Hero
GID00030608	You can't Quickload while the game is paused.
GID00030609	Quest updated
GID00030610	Requires Key
GID00030613	In order to use the downloaded content associated with this profile, you will need to restart.
GID00030614	Do you want to set your marker?
GID00030615	Race
GID00030616	You cannot fast travel during combat!
GID00030617	Kill Cam Mode
GID00030619	Object Effect
GID00030620	saves used.
GID00030621	Save On Wait
GID00030622	Eye sockets dark/light
GID00030623	You are suffering from [%] withdrawal.
GID00030624	Misc
GID00030626	Lock
GID00030627	Your radiation level has increased
GID00030628	Maintain
GID00030629	CHOOSE UP TO [%] TRAITS (OR NONE)
GID00030630	Ammo
GID00030631	[DANGER]
GID00030632	Armor Class
GID00030633	Your dehydration level has increased.
GID00030634	Reloading the most recent save game
GID00030636	The storage device you selected is no longer available. Load canceled.
GID00030638	Reset your control mappings to their default settings?
GID00030640	up to level [%]
GID00030641	remaining
GID00030642	sleep
GID00030643	Flushed
GID00030644	Medium
GID00030645	Folks have come to accept you for your helpful nature.
GID00030646	[%] is fleeing.
GID00030648	Light/Dark
GID00030649	[%] signal found.
GID00030650	Losses to Date:
GID00030651	Cheeks Light/Dark
GID00030652	Unpredictable
GID00030653	You can't Quicksave while the game is paused.
GID00030654	Double Down
GID00030655	Circle Light/Dark
GID00030656	Goatee Light/Dark
GID00030657	skill increased
GID00030659	Skill of [%]
GID00030660	You no longer have radiation sickness
GID00030663	Moustache
GID00030664	Mouth(Lips)
GID00030665	Restore
GID00030666	Blush Light/Red
GID00030667	General(Skin)
GID00030668	You have a basic understanding of this skill.
GID00030669	Bruised/Bright
GID00030670	Open
GID00030671	the Right Stick Left
GID00030672	Ready/Reload
GID00030673	Dark/Light
GID00030674	Inventory
GID00030675	Transact
GID00030676	<Missing Name>
GID00030677	[%] was unequipped
GID00030678	Increase
GID00030679	Aimed
GID00030680	Hardcore Mode
GID00030681	[EMPTY]
GID00030682	push
GID00030683	Vibration
GID00030684	You must purchase chips before you can play this game.
GID00030685	skill decreased
GID00030686	Drifter
GID00030687	Press the new control for this action
GID00030688	Renegade
GID00030689	Eyeshadow light/dark
GID00030690	Renowned for your extensive support and goodwill, you are idolized by the community.
GID00030691	Seeker
GID00030692	Eyelids
GID00030693	equipped.
GID00030694	Wanderer
GID00030695	Sit
GID00030696	You feel unlucky. You lose
GID00030697	Naso labial lines light/dark
GID00030698	ASSIGN 1 SKILL POINT
GID00030699	Citizen
GID00030700	Dn-Left
GID00030701	Poison
GID00030702	Adventurer
GID00030703	What would you like to do?
GID00030704	(Unknown Effect)
GID00030705	Save failed.
GID00030706	You do not have enough room to drop this object.
GID00030707	Repair All ([%])
GID00030708	Vagabond of the Wastes
GID00030709	You must have at least 30 cards to play Caravan.
GID00030710	-Server 5-
GID00030711	Mercenary
GID00030712	Automatic
GID00030713	Directional Button
GID00030715	You cannot hotkey broken items.
GID00030716	Desert Scavenger
GID00030717	Object LOD Fade
GID00030718	Nose bridge short/long
GID00030719	she
GID00030721	Drop
GID00030722	Corrupt
GID00030723	Mouth drawn/pursed
GID00030724	BUY
GID00030725	You must exit and restart Fallout: New Vegas for changes in this setting to take effect.
GID00030726	female
GID00030727	Emperor's Birthday
GID00030729	Heal
GID00030730	Xbox 360 Controller
GID00030733	You have too many followers.
GID00030734	Constant Effect
GID00030735	Are you sure you want to delete this save game?
GID00030736	You cannot remove Quest Items from your Inventory.
GID00030737	Image File
GID00030739	LEVEL UP
GID00030740	Note Added: [%]
GID00030741	Bald
GID00030742	You can not eat quest items.
GID00030743	[%] REPAIR SKILL NEEDED
GID00030744	Nose short/long
GID00030745	Mouth
GID00030746	Quantity
GID00030747	Create
GID00030748	Old Life Festival
GID00030749	Very Easy
GID00030750	Vol +
GID00030751	Loading...
GID00030752	Next Challenge Type
GID00030753	CHOOSE [%] PERKS
GID00030754	Navigate
GID00030756	Mutant Master
GID00030757	Do you just want to serve your time?
GID00030758	Damage Challenges
GID00030759	Completed Quests
GID00030761	Made at ...
GID00030762	OFF
GID00030764	Target
GID00030765	Thick/Thin
GID00030766	Age
GID00030767	DT
GID00030768	Start new game?
GID00030769	You cannot sleep while trespassing.
GID00030770	Very Thin/Thick
GID00030772	the Left Stick Down
GID00030773	How many?
GID00030774	Light/Dark (Lower)
GID00030775	Nose
GID00030776	CURRENT OBJECTIVE
GID00030778	Your
GID00030779	The storage device you selected is no longer available. You will need to select a new device the next time you save. Until then, Autosave is disabled.
GID00030780	Use Ranged
GID00030781	Light/Dark (Outer)
GID00030782	Nose sellion down/up
GID00030784	Dark/Light (Upper)
GID00030785	No, keep playing.
GID00030786	You are out of lockpicks.
GID00030788	Pale/Red
GID00030789	Weapons
GID00030790	Requires
GID00030791	Mid Year Celebration
GID00030792	Neutral
GID00030794	Eyeliner Lt./Dark
GID00030795	An active mine has already been placed on this enemy.
GID00030796	Shadow Light/Dark
GID00030797	[%] is calmed and cannot respond.
GID00030799	pull
GID00030801	Dk Brown/Lt Blue
GID00030802	VAL
GID00030803	High
GID00030804	Whites Dim/Bright
GID00030805	Difficulty
GID00030806	Hot Key
GID00030808	New Content Available
GID00030809	Liked
GID00030811	Observer
GID00030812	Vegas Councillor
GID00030814	Forward
GID00030816	You cannot drop an equipped item until you complete your current action.
GID00030817	Nose down/up
GID00030818	Local Map
GID00030819	Keeper
GID00030822	2nd Dozen
GID00030825	AMBER
GID00030826	Wg
GID00030827	Sort
GID00030828	Second Planting
GID00030829	Mojave Myth
GID00030831	Dn-Rt
GID00030832	Body Part
GID00030833	Courier
GID00030835	Pinnacle of Survival
GID00030836	SECURITY RESET...
GID00030837	No.
GID00030838	Vegas Myth
GID00030839	Strider of the Wastes
GID00030840	Travel
GID00030841	Beholder
GID00030843	Payout
GID00030845	Wasteland Watcher
GID00030846	Nose nostril tilt down/up
GID00030847	Jaw
GID00030848	Super-Human
GID00030850	PLEASE STAND BY
GID00030851	OPTIONAL TRAITS: [%]/[%] Selected
GID00030852	Mouse
GID00030853	Red
GID00030854	Age
GID00030855	ATTRIBUTES: [%]/[%] Points Assigned
GID00030856	Mysticism
GID00030857	Thursday
GID00030858	Other Challenges
GID00030859	[%] can't carry any more.
GID00030860	Lips flushed/pale
GID00030861	Mouth-Chin distance short/long
GID00030862	Eyes down/up
GID00030864	Target DR
GID00030865	You find nothing of use.
GID00030866	Gun CND
GID00030867	Jester's Day
GID00030868	Auto Attempt
GID00030869	You've lost Karma!
GID00030870	Dud removed.
GID00030871	Target DT
GID00030872	[%] has already caught you.
GID00030873	Your weapon has broken.
GID00030874	Switch Limbs
GID00030875	Hair Color
GID00030876	Touch
GID00030877	Absorb
GID00030879	Vilified
GID00030880	MODS
GID00030881	February
GID00030883	Your right arm is now crippled.
GID00030884	Unknown Location
GID00030885	No saved games.
GID00030886	Controls
GID00030887	Beard goatee light/dark
GID00030888	Place Marker
GID00030889	Pickpocket
GID00030890	Chips:
GID00030891	3rd Dozen
GID00030892	Close
GID00030893	Eyebrows dark/light
GID00030894	You have not found this location yet.
GID00030895	Always Run
GID00030896	Your settings could not be saved. Your Gamer Profile is not available. Please check your storage devices.
GID00030897	Dark Red/Lt. Blue
GID00030898	Random
GID00030899	Self
GID00030900	CRIPPLED
GID00030901	Dark Blue/Lt. Red
GID00030902	Illusion
GID00030904	Sneering Punk
GID00030905	Launcher
GID00030906	X-Sensitivity
GID00030907	HUD Opacity
GID00030908	You cannot wait in the air.
GID00030909	Naso Labial Lines
GID00030910	the Left Stick Down
GID00030911	Nares Small/Large
GID00030912	Friday
GID00030913	Turn off 360 Controller in the Controls section of the Settings menu to switch back to Keyboard/Mouse.
GID00030914	LMB
GID00030916	Grass Fade
GID00030917	Shade
GID00030918	Are you sure you want to be a [%]?
GID00030919	Blue Tint
GID00030920	Eyelids light/dark
GID00030922	Are you sure you want to be an [%]?
GID00030923	Exit
GID00030924	Yellow Tint
GID00030925	gold
GID00030926	Cancel
GID00030927	Restoration
GID00030928	Quests Completed
GID00030929	<NOT BOUND>
GID00030930	You cannot wait when enemies are nearby.
GID00030931	Face brow/nose/chin ratio
GID00030932	Locations Discovered
GID00030933	You cannot change weapons while attacking.
GID00030934	PM
GID00030935	Magic
GID00030936	People Killed
GID00030937	You have zero chance to hit.
GID00030939	Eyeliner
GID00030940	Entry denied
GID00030941	Yes
GID00030942	Creatures Killed
GID00030943	the Left Stick Right
GID00030944	Down
GID00030945	Looking for content. Please wait.
GID00030946	Cards in Deck:
GID00030947	Locks Picked
GID00030948	Average
GID00030949	Effect has already been added. Edit the effect instead.
GID00030950	Eyebrows very thin/thick
GID00030952	Computers Hacked
GID00030953	Renegade of the Wastes
GID00030954	Nose region concave/convex
GID00030955	Hot Key
GID00030956	You've lost Karma!
GID00030957	Stimpaks Taken
GID00030958	Soldier of Fortune
GID00030959	Shot
GID00030960	Strike
GID00030961	Do you want to poison your next shot with the [%]?
GID00030962	The croupier is taking a minute to check the wheel for bias as an anti-cheating measure.
GID00030963	EXPLOSIVE
GID00030964	Witches' Festival
GID00030966	Rad-X Taken
GID00030967	Profiteer
GID00030968	SLP
GID00030969	You cannot wait while taking health damage.
GID00030970	Cancel Recipe?
GID00030971	RadAway Taken
GID00030972	Egocentric
GID00030973	Keyboard
GID00030974	Auto Match
GID00030975	Uppercut
GID00030976	You've left a poor impression on the community and may be shunned as a result.
GID00030977	Chems Taken
GID00030978	Loner
GID00030979	Cross
GID00030980	Disease
GID00030981	Hero for Hire
GID00030982	Decrease
GID00030983	Medium
GID00030985	August
GID00030986	Model of Apathy
GID00030987	VATS
GID00030988	You Lose!
GID00030989	This machine appears to be taking a minute to reset itself as an anti-cheating measure.
GID00030990	Companion Commands
GID00030991	Keyring
GID00030992	Person of Refinement
GID00030993	Pause
GID00030994	Beard cheeks light/dark
GID00030995	Moneygrubber
GID00030996	None of the master files used in this save game are loaded. Returning to game.
GID00030997	Red
GID00030998	Cheeks round/gaunt
GID00030999	Gray Stranger
GID00031000	Beard light/dark
GID00031001	Winter
GID00031002	Be Passive
GID00031003	Current Quests
GID00031004	View Downloadable Content
GID00031005	Odd
GID00031006	Race
GID00031007	NO RACE
GID00031008	Broken items cannot be equipped until they have been repaired.
GID00031009	Specularity Fade
GID00031010	Ranks
GID00031011	This door leads nowhere.
GID00031012	Your chest is now damaged.
GID00031013	You cannot fast travel while overencumbered.
GID00031014	Chin shallow/deep
GID00031015	WHITE
GID00031016	Attack
GID00031017	D-pad Up
GID00031019	Feed
GID00031020	2 to 1
GID00031021	NO USABLE SPARE PARTS
GID00031022	Object Fade
GID00031023	Your Sleep Deprivation level has increased
GID00031024	Current Ante:
GID00031026	Change Item Selection
GID00031027	You kill Super Mutants -- A lot.
GID00031028	Gold
GID00031029	New Life Festival
GID00031034	<NOT BOUND>
GID00031036	The save game is no longer available. Returning to game.
GID00031037	Press any valid slot machine button to continue.
GID00031038	Rosewood
GID00031039	Apply
GID00031040	Black
GID00031041	Quest added
GID00031042	Destruction
GID00031044	You lose
GID00031045	Chestnut
GID00031046	October
GID00031047	the up button
GID00031048	Steel
GID00031049	Eyebrows thick/thin
GID00031050	September
GID00031051	Change View
GID00031052	Activate
GID00031053	Champagne
GID00031054	Delete this game?
GID00031055	Display
GID00031056	CHOOSE ITEM TO REPAIR WITH
GID00031057	Harvest's End
GID00031058	Times Addicted
GID00031059	Main Menu
GID00031060	WELCOME TO LEVEL [%]
GID00031062	Please wait
GID00031063	Mines Disarmed
GID00031065	<NOT BOUND>
GID00031066	does not have any money to place a bet.
GID00031067	while system
GID00031068	Continue Running Executable?
GID00031069	Speech Successes
GID00031070	Strafe Right
GID00031072	New Game
GID00031074	You cannot sleep while being irradiated.
GID00031075	WG
GID00031076	is accessed.
GID00031077	Pockets Picked
GID00031078	Bobby Pins
GID00031079	Pants Exploded
GID00031080	Start a New Game?
GID00031081	Navigate
GID00031082	Locked
GID00031083	Shadow Fade
GID00031084	Master
GID00031085	Customize
GID00031086	Books Read
GID00031087	True Mortal
GID00031088	Punch
GID00031089	Search
GID00031090	Keep Distance
GID00031091	Low
GID00031092	Beard circle light/dark
GID00031094	Health From Stimpaks
GID00031096	Level
GID00031097	CHOOSE [%] PERK
GID00031098	People don't know enough about you to form an opinion.
GID00031099	January
GID00031100	Weapons Created
GID00031101	Ball
GID00031102	Health From Food
GID00031103	Action Mapping
GID00031104	You must close your current game to change resolutions.
GID00031105	Water Consumed
GID00031106	Right
GID00031107	The Autosave content is damaged. Do you want to overwrite it?
GID00031108	High/Low
GID00031109	Y-Sensitivity
GID00031110	Up/Down (inner)
GID00031111	[NO SAVES FOUND]
GID00031112	Up/Down (outer)
GID00031113	Low/High
GID00031114	Reset
GID00031115	New Save
GID00031116	Limbs
GID00031117	Shallow/Pronounced
GID00031118	Do you want to move your marker or remove it?
GID00031119	Thin/Wide
GID00031120	Infamy Reduced
GID00031121	Win/Loss:
GID00031122	Split
GID00031123	Concave/Convex
GID00031124	Round/Gaunt
GID00031125	General(Face)
GID00031126	Your attack has no effect.
GID00031127	ft
GID00031128	Forward/Backward
GID00031129	Eyebrows outer light/dark
GID00031130	Radio
GID00031131	Shunned
GID00031132	Switch Weapon
GID00031133	RECIPES
GID00031134	Lockout in
GID00031135	Unable to remove the worn item.
GID00031136	progress.
GID00031137	Block
GID00031138	TERMINAL LOCKED
GID00031139	This save relies on content that is no longer present. Some objects may no longer be available. Continue Loading?
GID00031140	PLEASE CONTACT AN ADMINISTRATOR
GID00031141	Your Skill level is too low
GID00031142	Hair
GID00031143	Show Active Quest Notes
GID00031144	DAM
GID00031145	the Right Stick Up
GID00031146	Audio File
GID00031147	Bolt
GID00031148	Actor Effect
GID00031149	Biggest Ante Pot Won:
GID00031150	Credits
GID00031151	NewG
GID00031152	Previous
GID00031153	Small
GID00031154	Melee - One Hand
GID00031155	Total Bet:
GID00031157	Switch Hands
GID00031158	STATS
GID00031159	Fog
GID00031160	Sun's Rest
GID00031162	Are you sure you want to overwrite this save game?
GID00031163	Place Bet
GID00031164	You cannot unequip this item.
GID00031165	COMPLETED:[%]
GID00031166	Quest FAILED
GID00031167	Ability
GID00031168	Crosshair
GID00031169	Folks still think you're some kind of hero, but you sure can be nasty sometimes.
GID00031170	Mouth lips puckered/retracted
GID00031171	Completed Quest Detail
GID00031172	Mutant Menace
GID00031173	Grenade
GID00031174	D-pad Left
GID00031175	the down button
GID00031176	The dealer is taking a minute to swap out the decks as an anti-cheating measure.
GID00031177	Med skill
GID00031178	Item Fade
GID00031179	Lips
GID00031181	Sandman Kills
GID00031182	Cost: [%] caps
GID00031184	Nose shades
GID00031185	Paralyzing Punches
GID00031187	[%] is being drained
GID00031188	Area
GID00031189	Deal
GID00031190	Robots Disabled
GID00031191	Brow Ridge high/low
GID00031192	You cannot sleep in an owned bed.
GID00031194	Your wild, seemingly capricious behavior leaves people scratching their heads in confusion and avoiding close contact.
GID00031195	[%] Infamy Gained!
GID00031196	Times Slept
GID00031197	The item does not have enough charge.
GID00031198	Do you want to poison the
GID00031199	Conjuration
GID00031200	Corpses Eaten
GID00031201	Mysterious Stranger Visits
GID00031202	Decrease Bet
GID00031203	Forehead tilt forward/back
GID00031204	Doctor Bags Used
GID00031205	Eat
GID00031206	You can't fast travel while jumping or falling.
GID00031207	New content has been added. You will need to restart to use this content. All unsaved progress will be lost.
GID00031208	Face round/gaunt
GID00031209	Challenges Completed
GID00031210	Strafe Left
GID00031211	Nose sellion shallow/deep
GID00031212	Miss Fortunate Occurrences
GID00031213	Tree LOD Fade
GID00031214	Dialog Subtitles
GID00031215	Player View
GID00031216	Load
GID00031217	Broad/Recessed
GID00031218	Mouth happy/sad
GID00031219	Disintegrations
GID00031220	You cannot repair items while in combat.
GID00031222	Retracted/Jutting
GID00031223	Length
GID00031224	Now that folks know you're bad, most people outright hate you.
GID00031228	Device
GID00031229	Repair Services
GID00031230	Shallow/Deep
GID00031232	You've been caught pickpocketing.
GID00031233	Quickloading...
GID00031234	Small/Large
GID00031235	Tall/Short
GID00031236	Attack
GID00031237	Wide/Thin
GID00031238	Next
GID00031239	Wednesday
GID00031240	Spin
GID00031241	Down/Up
GID00031242	Quest completed
GID00031243	You have signed out of your profile and will now be returned to the title screen.
GID00031244	Are you sure you want to load this game? All unsaved progress will be lost.
GID00031245	Choose
GID00031246	Black
GID00031247	Lockpick Skill
GID00031248	Tilt in/out
GID00031250	Tone
GID00031251	Target
GID00031253	Some of your downloadable content is corrupt and could not be loaded.
GID00031254	Back Up
GID00031255	Together/Apart
GID00031256	Enter a name for the [%]
GID00031257	NAME
GID00031258	you are trying to create.
GID00031259	Selected storage device has insufficient[CRLF]space to save progress. Autosave will[CRLF]be disabled. Continue Loading?
GID00031260	Effects
GID00031261	General
GID00031262	Leave It
GID00031263	Discard Card
GID00031264	Show All Notes
GID00031265	Magic School
GID00031266	Autosaving...
GID00031267	Nose nostrils small/large
GID00031268	Save
GID00031269	You cannot hotkey that item.
GID00031270	REPAIR
GID00031271	Nose flat/pointed
GID00031272	Aid
GID00031276	Spring
GID00031277	Children cannot use that.
GID00031278	X damage!
GID00031279	Tag [%] Skill
GID00031281	got away with stealing
GID00031282	Race Description
GID00031283	Your Hunger level has decreased
GID00031285	You have not signed in to a Gamer Profile. You will need to sign in to a Gamer Profile and then select a storage device before you can save. Until then, Autosave is disabled.
GID00031286	You cannot equip this item right now.
GID00031287	Mouth protruding/retracted
GID00031288	Lipstick dark red/light blue
GID00031289	Cheeks
GID00031291	You cannot proceed in that direction. Please turn back.
GID00031292	Earnings:
GID00031295	You have become addicted to [%].
GID00031297	You cannot wait in this location.
GID00031298	Stop Audio
GID00031299	Crippled
GID00031301	Challenge Progress
GID00031302	Have Limbs Crippled
GID00031303	Gameplay
GID00031304	pt
GID00031305	Speech Failures
GID00031306	[NEW SAVE]
GID00031307	Items Crafted
GID00031308	Wheel
GID00031309	Mouse Sensitivity
GID00031310	Jaw-Neck slope high/low
GID00031311	Chin forward/backward
GID00031312	You can only cast Powers once per day
GID00031313	Weapon Modifications
GID00031314	Brew
GID00031316	Items Repaired
GID00031317	Skills
GID00031318	character
GID00031320	Total Things Killed
GID00031321	You cannot place items in a container while pickpocketing.
GID00031322	You cannot read a book during combat!
GID00031324	Even
GID00031325	General Subtitles
GID00031326	AP
GID00031327	You are currently Silenced
GID00031328	Dismembered Limbs
GID00031329	HUD Color
GID00031330	Caravan Games Won
GID00031331	Play Caravan
GID00031332	Hair Style
GID00031334	Mouth underbite/overbite
GID00031336	Jaw retracted/jutting
GID00031337	[SUCCESS]
GID00031338	Caravan Games Lost
GID00031339	Expert
GID00031340	Directional Button Left/Right
GID00031341	You have not discovered this location yet.
GID00031342	You don't have enough ammo.
GID00031343	Brow-Nose-Chin
GID00031344	Barter Amount Traded
GID00031345	Directional Button Up/Down
GID00031347	Ammo Swap
GID00031348	You must exit and restart Fallout: New Vegas for the new resolution to take effect.
GID00031349	Quit
GID00031350	Forehead-Nose
GID00031351	STR
GID00031352	Ride
GID00031354	If you quit now, you will forfeit the money wagered. Are you sure you wish to forfeit this match?
GID00031355	Heavy/Light
GID00031356	Lesser Power
GID00031357	Repair Skill
GID00031358	You do not have funds to play Caravan.
GID00031359	Mouse1
GID00031360	The selected storage device does not have sufficient space available. Please select another storage device or delete some of your existing saved content.
GID00031361	MAX
GID00031362	Exact match!
GID00031363	SELL
GID00031364	Med-X
GID00031365	Tilt Forward/Back
GID00031366	Nares small/large
GID00031369	Talk
GID00031370	Rifle
GID00031371	Enter Code
GID00031372	Chin
GID00031373	Accepted
GID00031374	Stand
GID00031376	Kill Challenges
GID00031377	Toggle Weapon Drawn
GID00031379	[%] Fame Gained!
GID00031380	the Right Stick Left / Right
GID00031381	Net Total:
GID00031383	the Right Stick Up / Down
GID00031384	Select
GID00031385	Place Card
GID00031386	Face heavy/light
GID00031388	H20
GID00031389	effect resisted
GID00031390	Ante Pot:
GID00031391	Lock Level
GID00031392	Mod
GID00031393	Done
GID00031395	the Left Stick Left / Right
GID00031396	the Left Stick Left
GID00031397	Grab
GID00031398	Load this game?
GID00031399	Apparel
GID00031402	the Left Stick Up / Down
GID00031403	Add
GID00031404	Face forehead/sellion/nose ratio
GID00031405	You've gained Karma!
GID00031406	pts
GID00031408	April
GID00031409	Your right leg is now crippled.
GID00031413	Use Melee
GID00031414	Exit Game
GID00031415	This object is already in use by someone else.
GID00031416	HP
GID00031417	No
GID00031419	Make Active Quest
GID00031420	Tuesday
GID00031421	Condition
GID00031422	Make these your default settings?
GID00031423	Your nuetralization of Super Mutants is legendary and provides a bonus to attacks against them.
GID00031424	the Left Stick Up
GID00031425	Known Effects
GID00031426	Effects
GID00031427	Roulette Games Played
GID00031428	Melee - Hand to Hand
GID00031429	Total Funds:
GID00031430	You cannot sleep while taking health damage.
GID00031431	[%] TRAIT LEFT
GID00031432	Junk
GID00031433	Summer
GID00031434	Monday
GID00031435	Blackjack Games Played
GID00031436	Open Inventory
GID00031437	Eyelids pale/red
GID00031438	Show Location
GID00031439	Slots Games Played
GID00031440	What would you like to do with this innocent townsperson?
GID00031441	Range
GID00031442	There is no storage device selected. Settings will not be saved.
GID00031443	Very Good
GID00031444	Eyebrows lower light/dark
GID00031445	Skin
GID00031446	Mine
GID00031447	Jump
GID00031448	Time Remaining:
GID00031449	Unlocked with [%].
GID00031450	Chin pronounced/recessed
GID00031451	START
GID00031452	Unlabeled
GID00031453	Energy Pistol
GID00031454	Pip-Boy
GID00031455	Remove Bet
GID00031456	[FAILED]
GID00031457	You don't have any bobbypins.
GID00031458	Equip
GID00031459	Skill Requirement
GID00031460	Master
GID00031461	You are unable to wait here. An alarm is sounding with your name on it.
GID00031462	Brow
GID00031463	Wortcraft
GID00031464	the Right Stick Down
GID00031465	Current Bet:
GID00031466	Slope High/Low
GID00031467	Gender
GID00031469	Heavy
GID00031470	A [%] skill of [%] is required to hack this terminal.
GID00031473	Your radiation level has decreased
GID00031474	Eyes small/large
GID00031476	VDSG Plate
GID00031477	This object is activated from somewhere else.
GID00031478	Your reputation as a good-natured friend of the community manages to outshine your dark side.
GID00031480	Novice
GID00031481	That button cannot be remapped
GID00031482	Radio
GID00031483	Drawn/Pursed
GID00031484	Happy/Sad
GID00031485	Your dehydration level has decreased.
GID00031486	Custom
GID00031487	First Planting
GID00031488	You have reached your training limit for your current level.
GID00031489	You cannot wait while under water.
GID00031491	Deflated/Inflated
GID00031492	Shape
GID00031493	the Right Stick Left / Right
GID00031494	Joystick
GID00031495	Good
GID00031496	View Distance
GID00031497	None
GID00031498	Large/Small
GID00031499	Stealth
GID00031501	the Right Stick Up / Down
GID00031502	Puckered/Retracted
GID00031503	Use
GID00031504	Rads
GID00031505	Strike
GID00031506	North Wind's Prayer
GID00031507	Accept
GID00031508	Payout List
GID00031509	Convex/Concave
GID00031510	This save game relies on downloadable content that is no longer available. Some objects may be no longer available. Continue loading?
GID00031511	Tilt Up/Down
GID00031512	Bleached
GID00031513	male
GID00031514	Pistol
GID00031515	Opened the container with a key.
GID00031516	Power armor training is required to equip this item.
GID00031517	FOD
GID00031518	General
GID00031519	Face
GID00031520	Brown
GID00031521	South Wind's Prayer
GID00031522	the Left Stick Left / Right
GID00031523	You cannot wait while trespassing.
GID00031524	Chocolate
GID00031525	[DETECTED]
GID00031526	Accept
GID00031527	the Left Stick Up / Down
GID00031528	You cannot fast travel when enemies are nearby.
GID00031529	No valid save game found.
GID00031530	Platinum
GID00031531	Forehead
GID00031532	Eyes
GID00031533	Cornsilk
GID00031534	Misc
GID00031535	Active Quest
GID00031536	Drop
GID00031537	Level Progress
GID00031538	AUTO
GID00031539	Suede
GID00031540	Hair
GID00031541	You cannot change weapons while attacking.
GID00031542	Button
GID00031543	Pecan
GID00031544	Reload
GID00031545	Auburn
GID00031546	the right button
GID00031547	hour
GID00031548	Ginger
GID00031549	Unequip
GID00031550	Name
GID00031552	Ok
GID00031553	Hotkey 1
GID00031554	Load this game?
GID00031555	Save On Rest
GID00031556	Honey
GID00031557	the Left Stick Left
GID00031558	Grifter
GID00031559	Hotkey 3
GID00031561	You cannot fast travel while guards are pursuing you.
GID00031562	Continue
GID00031564	The creature is calmed and cannot respond.
GID00031566	Outlaw
GID00031567	Hotkey 4
GID00031568	Opportunist
