SEV00000001	斗篷
SEV00000195	邮差
SEV00000196	亚当·维加
SEV00000197	雇佣枪手
SEV00000198	泰勒医生
SEV00000199	天启追随者守卫
SEV00000200	病人
SEV00000201	山姆
SEV00000202	雄性死亡爪首领
SEV00000203	狗
SEV00000204	彼得
SEV00000205	午餐肉
SEV00000206	狗
SEV00000207	午餐肉
SEV00000208	午餐肉
SEV00000209	护卫犬
SEV00000210	狗
SEV00000211	小强
SEV00000212	鼹鼠
SEV00000213	午餐肉
SEV00000214	啄狗蝇
SEV00000215	狗围栏钥匙
SEV00000216	福勒的钥匙
SEV00000217	山姆的钥匙
SEV00000218	博丁的钥匙
SEV00000219	阿姆菲尔德的奴隶围栏钥匙
SEV00000220	熏制辐射蟑螂
SEV00000253	怎么？
SEV00000254	欢迎来到新诊所！虽然有点不顺利，但我们已经给西区带来了很大的改变。
SEV00000255	我对你感激不尽。祝福你...也祝福山姆。他并不完美，但他在这里留下了美好的遗产。
SEV00000256	如果我能在任何方面帮助你，请告诉我。
SEV00000257	怎么？
SEV00000258	...
SEV00000259	你有什么癖好，宝贝？3P？屁屁？你喜欢舌头插屁眼吗？如果你有瓶盖，我什么都愿意做，甜心。
SEV00000260	如果你改变主意了，我就在这里。
SEV00000261	他们派你来的，不是吗？从天而降，偷走婆罗门牛！我看到他们了！骑在独角兽上的耶稣，我看见他们了！
SEV00000262	嗯？
SEV00000263	<唱歌>
SEV00000264	我怎么也忘不掉！
SEV00000265	他们在看着！
SEV00000266	[那孩子正在把刀磨得锋利无比，他慢慢磨完后才抬头看你。]
SEV00000267	你他妈想干什么？
SEV00000268	什么？
SEV00000269	嗨，朋友们。你是来帮忙发放食物的吗？这群小鬼里，有几个真的很饿...就是不顾一切想要吃一口。
SEV00000270	能帮你什么忙吗？
SEV00000271	没想到还能再见到你们这帮混蛋。等等...是你干的吗？是马尔文...你知道吗？[他做了一个割喉的动作]
SEV00000272	噢，我能从你的眼睛里看出来。他死得比我继父还惨，下地狱吧，马尔文。我能为你做些什么？药？烟？刀？
SEV00000273	嗯？
SEV00000274	谢谢你救了那些孩子。
SEV00000275	请替我保护好帕特里克。
SEV00000276	你只是另一个满嘴谎话的肮脏的家伙。
SEV00000277	...
SEV00000278	怎么？
SEV00000279	这是什么？
SEV00000280	结束了，我不确定我对此有何感想。我已经有一段时间没有肾上腺素那样飙升了...自从我服役后就没有了。
SEV00000281	也许...也许杰西卡能好好休息一下。如果她的灵魂还在附近，我怀疑她还在诅咒博丁的尸体。真是个好女人。
SEV00000282	我只是...我知道他是咎由自取...但现在一切都结束了...这样做对吗？值得吗？
SEV00000283	我还是不要在这里逗留了。把货拿过来，我们分了，然后我们就可以分道扬镳了。
SEV00000284	你最好劝劝李，否则他会送命的。
SEV00000285	完成了。我知道我和李有分歧，但我从没想过让他这样离开。他是站着死去的。
SEV00000286	但我不太确定这是怎么回事，奇怪的感觉。我不会称之为平静，不，只是...释放。好像我终于可以休息了。
SEV00000287	没有你，这一切都不可能完成。我不知道在前哨该怎么看你，但你确实为我挺身而出了。
SEV00000288	我不擅长演讲，所以最后我要说谢谢，是时候把这些帽子带回银泉了。当然，减去你的那份。
SEV00000289	可恶，李，我们没得选择。即使发生了那样的事...我不希望他死，太遗憾了。
SEV00000290	谢谢你支持我，你也可以选择李的。但他从来不喜欢分享，你的选择很明智。
SEV00000291	没有你，这一切都不可能完成。我不知道在前哨该怎么看你，但你确实为我挺身而出了。
SEV00000292	我不擅长演讲，所以最后我要说谢谢，是时候把这些帽子带回银泉了。当然，减去你的那份。
SEV00000293	不骗你，我打赌我得和他在瓶盖的事上较量一番。说话从来不是我的强项，很高兴你来了。
SEV00000294	也许李可以在那里找到一些平静，你也一样。如果你真的想定居下来，我会远离银泉，也许去戈利亚德。
SEV00000295	我奶奶总是喜欢引用《圣经》。她告诉我：“但愿公正好像潮水滚流，公义好像河水长流。”
SEV00000296	无论你走到哪里...无论你做什么...成为承载正义的河流。浮起被压迫的人...淹没压迫者。
SEV00000297	嗯？
SEV00000298	不是时候。
SEV00000299	我得说这一切都进行得很顺利。它具备成为一首伟大的乡村歌曲的所有条件。
SEV00000300	但首先是金钱方面的细节。我知道我们讨论过分瓶盖，那是...我的搪塞。
SEV00000301	我不是那种优柔寡断的人，我也不喜欢妥协。要么全有，要么全无，这就是我在皮肤融化后学到的。
SEV00000302	安息吧，沃克。奇怪的是这些事情是怎么发生的。枪战，廉价的小说和报纸把它们描绘成某种精心设计的舞蹈。
SEV00000303	俗话说得好：“三思而后行。”这就是沃克想要的，真的。硝烟，灰尘，还有很多死去的坏人。
SEV00000304	我？我想享受退休生活。说到这里，是时候把瓶盖分掉，各走各的路了。五五分成？
SEV00000305	求你了，你不能让他这么做。
SEV00000306	别他妈过来！听到了吗？离远点！
SEV00000307	嗯？
SEV00000308	算了。我先走了。
SEV00000309	保重。
SEV00000310	拜。
SEV00000311	走吧！趁你还能跑的时候赶紧跑！他们要来抓我们了！
SEV00000312	如果你看到艾尔...跑得越快越好！
SEV00000313	眼镜！戴上眼镜！
SEV00000314	无论你做什么，都不要去湖边！
SEV00000315	艾尔，亚利桑那见！
SEV00000316	随便。
SEV00000317	回头见。
SEV00000318	那好吧。
SEV00000319	保重。
SEV00000320	开始的时候别挡我的路。
SEV00000321	随便。
SEV00000322	原来如此。有个哔哔小子，你可以导航。
SEV00000323	[他脸上带着怀疑的表情打量着你]
SEV00000324	你杀过人吗？
SEV00000325	我是来找工作的。
SEV00000326	重新考虑？
SEV00000327	我想再讨论一下工作的事。
SEV00000328	请允许我自我介绍。帕特里克·李，改过自新的强盗、杀人犯、好色之徒、全能恶棍，随时为您效劳！
SEV00000329	我半自愿地参与了这场血腥的行动。我想这对我们俩来说都是一个算账的问题，我要钱，沃克要血。
SEV00000330	先说清楚...如果你几周前告诉我，我会和沃克一起工作...我会认为你疯了。生活很奇怪。
SEV00000331	你是谁？
SEV00000332	沃克给了我一个选择，和他一起赚钱...或者接一颗子弹。比起铅中毒，我更喜欢瓶盖。
SEV00000333	半自愿参与？
SEV00000334	我很惭愧地承认，我并非一直是个循规蹈矩的纳税公民。是的，我屈服于诱惑和邪恶。
SEV00000335	这是年轻人的愚蠢行为...好吧，青年食尸鬼。我加入博丁那帮恶棍的行列只是为了短期的利益和世俗的快乐。
SEV00000336	哦，还有美味。暴力的享受，暴力的结局，我喜欢...呃，我是说...我羞于承认这一点。
SEV00000337	一切都很好，直到我宣布我打算...退休。那些卑鄙的恶棍几乎把我打死，还没收了我的份额。
SEV00000338	所以...过了一段时间，我准备动身去找这些人，要回我的工资。沃克先找到了我，所以我们就在这里，持久的伙伴关系。
SEV00000339	你为什么？
SEV00000340	再一次，年轻时的愚蠢行为...我是...被关在银泉监狱一段时间。被强制监禁，非常强力。
SEV00000341	那个顽固的混蛋一路跟踪我到威尔斯谷，所以我们才从西南方向过来。我承认，他是个有决心的人。
SEV00000342	沃克怎么认识你的？
SEV00000343	他不是我的朋友。他是...一个商业伙伴，一个非常临时的商业伙伴。
SEV00000344	你的朋友是谁？
SEV00000345	坊间传言说博丁来自东部，在大盆地跟一些真正的坏人混在一起。
SEV00000346	你想知道细节，去问李。他跟着他们混了一会儿。
SEV00000347	你能跟我说说我们要找的这个团伙吗？
SEV00000348	我在特拉基长大，在里诺西边的山上。冷，很多雪，美丽，但无情。
SEV00000349	年轻时就参军逃跑了，当了几年步兵，又干了几年游骑兵。在银泉遇到了一个女孩，决定安定下来。
SEV00000350	在那里工作了一段时间。事后看来，生活还不错，但现在一切都没了。没必要纠结于此。
SEV00000351	你原来是哪里人？
SEV00000352	我失败了，事情就是这样。
SEV00000353	我们一起工作有一段时间了，我想知道在银泉发生了什么。
SEV00000354	一个恨我入骨的女儿...汉娜。我们小时候我让杰西卡怀孕了，她就写了这么多，在接下来的几年里一直在服役。
SEV00000355	我从一开始就是个糟糕的父亲。怀念她服役时的童年，宣誓就任治安官后，大部分时间都在晚上工作。
SEV00000356	汉娜是一个意志坚强的女孩，在我们的多次争吵中，她从不拐弯抹角。十六岁的时候，她和一个乡下傻小子私奔了。
SEV00000357	杰西卡和她保持着联系。上次我听说她生了一个男孩，还有一个即将出生。他们住在戈利亚德附近，过得很好。
SEV00000358	你还有其他家人吗？
SEV00000359	我是个顾家的男人，信不信由你。在我和追随者们一起学习的时候过着平静而宁静的生活。在我的表皮不幸之前。
SEV00000360	历史是我的爱好，还有各种各样的信件。我的妻子是一位学者...非常有智慧，我们全心全意地爱着彼此。
SEV00000361	天启追随者派我去考古发掘。我不小心接触到了致命的辐射...这本该是致命剂量的辐射。
SEV00000362	在这种情况下，我回到了我亲爱的妻子身边。她很快就和我离婚了，改嫁给了一位同事。后来，我把他们俩都推下了井。
SEV00000363	在你成为亡命之徒之前你是做什么的？
SEV00000364	世界各地...格兰德河以西的世界。我最喜欢的就是看平原，然而，军团坚守规则。
SEV00000365	我的大部分旅行和艰辛都仅限于大盆地。这是一个荒凉的地方，遍布着陌生的城镇和小王国。
SEV00000366	很多都从属于80号公路帮。对于不幸的少女和无知的商队商人来说，它们无疑是危险的。我两者都不是，这也是我留在帮派的原因。
SEV00000367	是的，他们往往是没有受过教育的野蛮人，但也有...更正一下，是新石器时代意义上的相互尊重。
SEV00000368	我担心博丁团伙的情况发生了变化，所以我才来追捕他们。是的，将会有清算。
SEV00000369	你去过哪些地方？
SEV00000370	有趣的...杀人？如果是的话，那是绝对的。我发现，与杀手交谈总是更有吸引力。
SEV00000371	相互尊重。丰富多彩的轶事，潜在的暴力威胁。噢，太刺激了。
SEV00000372	有埃尔雷诺，圆滑...冷酷...就像爬行动物，但显然被什么困扰着。赢得了极大的尊重，西班牙语很棒，很少见。
SEV00000373	哦，我在旧墨西哥旅行的时候见过变种人阿瑞斯，非常有魅力。很明显，他精通神话。
SEV00000374	这并不总是令人愉快的。以鲛鲨为例，我看见他在部下面前挖出一个俘虏的心脏吃了，整个过程都在笑。一个恶魔。
SEV00000375	哦，还有其他人，还有很多。倒是有一个...嗯...也许这个话题改天再谈吧。
SEV00000376	在旅行中遇到有趣的人了吗？
SEV00000377	啊，可以。博丁这个畜生，卑劣的博丁，一个冷血，舌头分叉的野兽。没有更高的智慧，只有低级的狡猾。
SEV00000378	枪法娴熟，别犯错。一个和沃克以及其他著名的废土枪手齐名的神射手。
SEV00000379	但最后...就是个暴徒。进化的倒退，制造了血肉，如果你愿意，可以称之为“复古人类”。
SEV00000380	对了，他还擅长使用刀和钝器，所有穴居人的工具。他打动物，他打人，他甚至还打石头。
SEV00000381	他和某个部落民结过婚，毫无疑问的野蛮人。在她去天上的大汗屋之前从她那里得到了几个孩子。
SEV00000382	你能跟我说说博丁吗？
SEV00000383	还有？当然有。他是个丑陋的标本，脸上长着哺乳动物的胡子。这完全令人反感。
SEV00000384	总是穿着一件独特的罩衫，据说是过去某个时候从一个沙漠游骑兵那里弄来的。关于这件事是怎么发生的有很多谣言。
SEV00000385	据说在统一条约签订之前，游骑兵中最老的一个家伙盯上了博丁。名字叫...麦考尔，就是这个。
SEV00000386	麦考尔追踪到了80号公路帮的地盘。太深入了，被博丁和一群80号公路帮的人偷袭了。但他还是激烈的打了一架。
SEV00000387	博丁走路的样子很滑稽，他是个穴居人。有传言说他的大腿里有一颗麦考尔的子弹。
SEV00000388	还有什么关于博丁的事吗？
SEV00000389	一点小钱，不，那也不是。你放心，我不会为了百分之五而经历这些的。就这点而言，你也不应该。
SEV00000390	沃克说你会分到被追回资产的一部分。介意我问一下多少钱吗？
SEV00000391	啊，拉尔奇。垃圾桶和老鼠之王，就是他，臭气熏天的野兽，他造就了那群杰出的亡命之徒，豺狼帮。
SEV00000392	他连最基本的卫生都不肯做，完全无法忍受。即使是在我们都发臭的灌木丛里...他的恶臭也能透出来。
SEV00000393	你让我接近豺狼帮...我估计我能追踪到他的气味。是的，我敢肯定，前进吧，勇敢的英雄！我们跟随你的脚步。
SEV00000394	你能告诉我第一个目标是什么吗？
SEV00000395	特里·克林顿，枪迷。一个军火商和走私者，据说甚至武装了北方的一些80号公路帮的人。有敏锐的商业头脑。
SEV00000396	他对化学药品也有敏锐的嗅觉。真的很遗憾，本来可以在私营部门做点有成效的事。嗯，我也想，但那太无聊了。
SEV00000397	克林顿有个不正常的兄弟在监狱里。说过要和他汇合，等我们完成银行的任务，就去抢劫商队。
SEV00000398	我想如果我们追踪商队的路线，应该能找到他们的线索...或者他们可能在等着伏击我们。命运有时是残酷的。
SEV00000399	沃克说我们在找一个叫克林顿的人。
SEV00000400	非凡的神枪手！一个拿着步枪的莫扎特，除去他的粪便癖。哦，这跟你有关系，沃克。
SEV00000401	“舔我的屁股！”别紧张，我只是在引用莫扎特的作品！我跑题了。哦，菲利普斯，是啊，他有一种超乎常人的痴迷。
SEV00000402	死亡爪。猎杀它们，收集战利品，这人一年到头都在为它而活。所以...你知道什么地方有很多野兽出没吗？
SEV00000403	关于杰德·菲利普斯你知道些什么？
SEV00000404	啊，是的。NCR军队的伟大英雄！无可争议的偷来的勇气的主人。他是转世的亚历山大...嗯，据他说。
SEV00000405	梅森所谓的功绩包括以一己之力将整个军团斥候部队开膛破肚...大腿上还插着长矛！
SEV00000406	巧的是...多亏了我和里诺的一个行政职员的联系，我才查到了他的真实记录。他的服役记录...平平无奇。
SEV00000407	他到部队后不久就被行政开除，多次因弄虚作假受到非司法处罚。
SEV00000408	根据一种说法...他靠吃香烟和用自己的尿液漱口来装病。他还喜欢疯狂药。
SEV00000409	他经常兼职做深红商队的警卫，我们要做的就是把他引出来。我相信你会想出办法的。
SEV00000410	沃克说我们在找一个叫梅森的人。
SEV00000411	哦，这太好了。变态之王！很容易找到。任何地方都有大量的游手好闲者、诈骗者和其他异类。他都会在那里。
SEV00000412	或者更准确地说，我们应该去找他的走狗，马尔文。这句话真的很拗口，走狗马尔文。总之，他是关键。
SEV00000413	虽然我不是建议你沉溺于这种不检点的行为，但我相信你知道这种害虫的聚集地。领路！
SEV00000414	福勒？
SEV00000415	最宽泛意义上的“家伙”...变种人。不只是变种人，还是夜行族，所以是最...特别的变种人。
SEV00000416	这个有点矛盾。我们有些交情，因为我们都是这群人中的怪胎。
SEV00000417	更何况他对艺术史的研究出乎意料地深入，对鲁本斯非常着迷。他一定很喜欢鲁本斯的画，这里不做评判。
SEV00000418	他只是有点偏执狂，这让他成为了夜行族的社交达人。我打赌他在山上的小镇里。
SEV00000419	关键是要把他引出来。我的建议是？假扮成艺术品经销商。让他相信你有鲁本斯的画，就说...《两个沙特尔》。
SEV00000420	沃克提到一个叫山姆的家伙。
SEV00000421	是啊...关于他。离这里有点距离，不会是一个人，他的棚户区里有一群枪手、掠夺者和其他垃圾。
SEV00000422	这些农村的近亲繁殖的家伙似乎总是聚集在最糟糕的山间小屋。我猜他的家族也不例外。
SEV00000423	箭头峡谷，就是那个地方，他打算把自己打造成从这里到郊狼泉的另一个小军阀。我敢打赌，他打算突袭93号公路。
SEV00000424	我知道，呃...大致区域，我想我们能毫不费力的找到。在北部通道与我们汇合，开始我们的远征。
SEV00000425	我们终于来到了博丁。
SEV00000426	克林顿，那个走私贩。李会告诉你的。
SEV00000427	下一个是谁？
SEV00000428	可能是他们。看来罪犯垄断了这里的偷猎，所以...好机会。
SEV00000429	我们在后面埋伏好，看看能不能等他们出来。这些团体倾向于攻击相同的地方，只要他们能逃脱惩罚。
SEV00000430	如果我们耐心等待，我们应该能抓住他们。比另一种选择要好。
SEV00000431	你怎么看这个？
SEV00000432	现在我们抓紧时间等待吧。
SEV00000433	<等待伏击>这似乎是个好地方。
SEV00000434	杰德·菲利普斯，神枪手。李很了解他。
SEV00000435	下一个是谁？
SEV00000436	梅森，那个雇佣兵。我没记错的话，不是李的好朋友。
SEV00000437	下一个是谁？
SEV00000438	福勒，这群家伙里最虚伪的。期待这次。
SEV00000439	下一个是谁？
SEV00000440	我们的通行证没戏了，我们需要一个孩子来令人信服的扮演俘虏...这可不容易...等等。
SEV00000441	我打赌那个叫罗纳尔多的孩子能做到。他可能会收我们一大笔钱，但他很有胆量，值得一试。
SEV00000442	我们知道福勒在哪里，关键是如何通过入口。
SEV00000443	山姆，保险箱窃贼。在你和李谈话之前，一定要把罗纳尔多送回家，我们把他牵扯进来已经够糟糕的了。还有...谢谢你！
SEV00000444	只剩下两个了。下一个是谁？
SEV00000445	他是个小偷和杀人犯，他会继续偷窃和杀人，直到有人干掉他。他永远不会改变，不管他怎么粉饰。
SEV00000446	到目前为止，我们都是靠自己。我会让他死得痛快点，这算是慷慨了。
SEV00000447	他投降了。我们为什么不给他一个改过自新的机会呢？
SEV00000448	嗯，不过还得费点劲。长途跋涉，最后可能还得打场大仗。李可以告诉你细节。
SEV00000449	那就这样吧，最后一个人。
SEV00000450	走一走不会伤到任何人，我们出发吧。
SEV00000451	准备好旅行了吗？
SEV00000452	你可以。我是来追捕抢劫银泉银行的人的，我需要一个熟悉这个地区的向导。
SEV00000453	薪酬是追回的银行资产的5%。还有其他...沿途被没收的财产也是你的。
SEV00000454	我曾经杀过所有会走路或爬行的东西。
SEV00000455	你杀过人吗？确切的说，特别是那些同时想杀你的人。
SEV00000456	所以我再问一遍，你杀过人吗？
SEV00000457	你是什么意思？
SEV00000458	你可以。我是来追捕抢劫银泉银行的人的，我需要一个熟悉这个地区的向导。
SEV00000459	薪酬是追回的银行资产的5%。还有其他...沿途被没收的财产也是你的。
SEV00000460	是的。
SEV00000461	这可能不适合你。如果这有什么保证的话，我追捕的所有人都是罪有应得。但是...如果你有疑虑...良心不安...那就不行。
SEV00000462	所以让我再问一遍，你杀过人吗？
SEV00000463	我尽量避免杀人。
SEV00000464	我要追捕并杀死在银泉抢劫银行的人。你不必加入，只需要一个稳定的向导。
SEV00000465	话虽如此...我们可能会陷入困境，而你会被迫自卫。我也不想有人对我说教。
SEV00000466	薪酬是追回的银行资产的5%。还有其他...沿途被没收的财产也是你的。
SEV00000467	你说的是哪种类型的杀人？
SEV00000468	我曾经是，现在不会了。
SEV00000469	你是什么法律吗？
SEV00000470	我不想跟你谈这个。别管了。
SEV00000471	怎么，你是什么治安官吗？
SEV00000472	是的...我不想谈这个
SEV00000473	这似乎是私人恩怨。
SEV00000474	你和李会得到一份劳务费...然后我会把剩下的拿回银行。 然后...然后就结束了。
SEV00000475	你打算如何处理收回的资产？
SEV00000476	严格来说，不合法。我们不是法院的特工，也不是宣誓就职的警官，你们的工作之一就是引诱我们的目标远离监管视线。
SEV00000477	这些人都是亡命之徒，都是杀人凶手。如果你还在为这件事的合法性发愁，你应该退出。
SEV00000478	这合法吗？
SEV00000479	银泉不属于NCR，没有官方悬赏机构。最终...是的，不过我等不到竞争的时候了。
SEV00000480	我能从这些人身上收赏金吗？
SEV00000481	不。
SEV00000482	你就不担心法律上的后果吗？
SEV00000483	第一个人是拉尔奇，这人渣带着豺狼帮来到这里。详情跟李谈，我在你身后。
SEV00000484	我加入。让我们开始吧。
SEV00000485	不要拖太久。如果他们能胜任，我会雇其它人。
SEV00000486	我需要时间考虑一下。
SEV00000487	这种情况发生的可能性很小。你看到那些乡巴佬穿过这鬼地方了吗？如果他们能走直线而不被绊倒，那就太幸运了。
SEV00000488	哈利路亚，万福玛利亚，让正义的杀戮开始吧！我很高兴能离开这个布满灰尘的括约肌。带路，警长！
SEV00000489	好了，让我们看看我们在做什么。
SEV00000490	<嗅探>
SEV00000491	我...嗯，我有发现。无可救药的三角区潮湿...还有满是屎的皮革。对，就是他！
SEV00000492	<嗅探>
SEV00000493	唔，腐肉中夹杂着口臭的味道...而且不是我的。越来越近了。
SEV00000494	<嗅探>
SEV00000495	哦，他...好吧，我还是去操我自己吧。
SEV00000496	似乎有点苛刻，干脆让他洗个澡算了。
SEV00000497	“人死了才叫快乐。”希腊人是这么说的。好吧，这家伙可真是喜气洋洋啊。
SEV00000498	我们就这么伏击他们？不打算先跟他说点冷血的吗？这才是复仇的意义！
SEV00000499	看，他会数数。
SEV00000500	那么一只好好的鼹鼠在做什么呢...噢，我操。
SEV00000501	我相信博丁也会对银泉说同样的话。往好的方面想吧，你买一送一！
SEV00000502	“噢，玫瑰，你病了。”
SEV00000503	不管我是什么人...不管我做过什么事...我不会伤害孩子。
SEV00000504	沃克，他说的有道理。我大概知道去箭头峡谷的路，我不知道...我知道。带着山姆可能会有用。
SEV00000505	该死的流浪汉和他们的悲情故事，整个故事很可能就是一场闹剧。空中马车？一个叫艾尔的杀人狂？废土神话罢了。
SEV00000506	也许他去散步了。我觉得散步能让人精神振奋，前提是你不在，沃克。
SEV00000507	结果很好。拿上博丁的钥匙，拿上赃物。我就在这儿。
SEV00000508	“举止造就人品。”这真是个惊喜，我还以为又是一只不识字的野兽呢...你给我留下了深刻的印象。
SEV00000509	<和他握手>我是&PCName;，见到你很高兴。
SEV00000510	我也是。我希望我们的合作对大家都有利。
SEV00000511	很高兴认识你。
SEV00000512	喔，这就是你的角色吗。我想起了莎士比亚说过：“我们的眼睛...有时就像我们的判断一样，是盲目的。”
SEV00000513	你玩你的，我玩我的。也许我们俩都能活着回来，还能更富有一点。
SEV00000514	别跟我这么亲密，小老弟。我能看穿你的鬼话。
SEV00000515	留下买路财！要瓶盖还是要命，入侵者！
SEV00000516	你好，拉尔奇。
SEV00000517	沃克？李？什么...你在这里干什么？
SEV00000518	你知道我们来这里的原因，年轻人。平静下来，做好准备。
SEV00000519	哇，哇，哇！我只是把风的，明白吗？我有债务，只是需要一点钱来重新振作！是博丁，全是博丁干的！
SEV00000520	拜托，他们甚至不让我和他们一起工作！问李，他会告诉你的！我只是个把风的，从没伤害过任何人！
SEV00000521	他没说谎，沃克。而且...他很可怜，不如我们拿走他的瓶盖，清洗干净，然后去找真正的亡命之徒？
SEV00000522	不行，为了杰西卡。
SEV00000523	一个。
SEV00000524	他们来了。等他们全部进入我们的视线，然后用能造成最大伤亡的武器开火。
SEV00000525	我会在地狱里对他说的，现在闭嘴。
SEV00000526	两个。
SEV00000527	可恶，这不是我想要的。我没得选。
SEV00000528	我们会在院子外面。尽量不要在里面制造事端...除非他先动手。
SEV00000529	我想先问问他，看看能不能从他身上找到什么有用的信息。
SEV00000530	五个。下地狱吧，渣滓。
SEV00000531	老规矩。我们在城外等你，别在里面惹麻烦。
SEV00000532	有点不对劲。我们刚刚清理了峡谷，他还没出现。去行政大楼看看，看他是不是溜出去了。
SEV00000533	快去里面看看，看他有没有留下什么笔记。我们会监视街道。
SEV00000534	搞定了。拿上钥匙，去保险柜拿现金。我就在外面...有些事我必须做。
SEV00000535	这会很无聊的，伺机伏击埋伏者。真希望我带了一本书，《丧钟为谁而鸣》才是最合适的。
SEV00000536	沃克...我可以叫你我的小兔子吗？
SEV00000537	你敢这么叫我，我就一枪崩了你的膝盖。
SEV00000538	(西语)总有一天...我会杀了你的。愚蠢的乡巴佬。
SEV00000539	你说什么？
