MUX00000001	Oxygen
MUX00000088	Wallhack
MUX00000089	NPC Tagging Method
MUX00000090	3D Sneak
MUX00000091	KF Y Position
MUX00000092	Floating Combat Info
MUX00000093	Reload Reminder
MUX00000094	Floating Damage
MUX00000095	Targeting
MUX00000096	KF Justify
MUX00000097	Reload Threshold
MUX00000098	No Ammo Indicator
MUX00000099	KF X Position
MUX00000100	Toggles Floating Damage. Floating Damage will display damage dealt by the player before fading out of view.
MUX00000101	Toggles Reload Reminder. Reload Reminder will display Low Ammo / No Ammo on screen as players dispense their ammunition.
MUX00000102	Toggles Scavenger. Scavenger will display markers above high quality loot as the player approaches its location.
MUX00000103	Toggles Targeting. Targeting is a feature used by the player to tag enemies when viewing them through a scope. Tagged enemies will remain highlighed untill killed, or the player moves a certain distance away.
MUX00000104	Toggles 3D Sneak. 3D Sneak will display an icon above NPCs when they have detected the player.
MUX00000105	Adds combat information texts to floating damage numbers (such as: crippled, headshot, kill, critical...).
MUX00000106	Toggles no ammo indicator.
MUX00000107	Sets ammo clip capacity percentage at which reload warning is displayed. Set to 0 to Disable.
MUX00000108	Sets ammo capacity percentage in inventory at which low ammo warning is displayed. Set to 0 to Disable.
MUX00000109	Sets maximum display distance for the Scavenger add-on. Higher numbers will have a noticeable impact on performance and increase the odds of markers appearing through walls.
MUX00000110	Choose condition under which NPCs will be tagged.
MUX00000111	Maximum range for NPC tagging.
MUX00000112	Plays a sound when you tag an NPC. (Does not work for NPCs tagged by a player weapon hit.)
MUX00000113	Applies a shader to tagged actors behind cover. (The shader might look a little rough, I'm not a professional at this.)
MUX00000114	Define the Floating Marker Distance. This Markers aint suited for distance beyond 2000.
MUX00000115	Toggle Kill Feed
MUX00000116	Choose the sound that will play when the kill feed is shown.
MUX00000117	By default, the FPS version of the kill feed is left aligned.
MUX00000118	Define the X Position on the Screen for the Kill Feed
MUX00000122	Display Quest Objective whenever you hoover over a Marker.
