BI000001	Minor Rad Poison.
BI000060	With the Nuclear Anomaly perk, whenever your Health is reduced to 20 or less, you will erupt into a devastating nuclear explosion. Note that any allies in the vicinity will also suffer the effects of the blast!
BI000061	Devil's Highway
BI000062	When you choose the Devil's Highway perk, your Karma is instantly set to Very Evil.
BI000063	Karmic Rebalance
BI000064	When you choose the Karmic Rebalance perk, your Karma is instantly set to Neutral.
BI000065	Escalator to Heaven
BI000066	When you choose the Escalator to Heaven perk, your Karma is instantly set to Very Good.
BI000067	Quantum Chemist
BI000068	You have unlocked the secret to creating Nuka-Cola Quantum. With this perk, every ten Nuka-Colas in your inventory can be crafted into a Nuka-Cola Quantum.
BI000069	Staunch Defender
BI000070	With the Staunch Defender Perk, you gain +5 DT while standing still in combat.
BI000071	Swing For The Fences
BI000072	Knock em right outta the park! Your attack speed with two handed melee weapons is increased by 8%, and you do an additional 7 points of damage while using any baseball bat.
BI000073	Gray Matters
BI000074	Protect what's important.  With the Gray Matters perk you'll receive 25% less damage when hit in the head.
BI000075	Xenotech Expert
BI000076	Your familiarity with alien technology gives you better control over their weapons, increasing their damage output by 10%.
BI000077	Barter Town
BI000078	Your business prowess gives you discounts wherever you shop.
BI000079	Over-Compensation
BI000080	Fawkes' love for heavy weapons is infectious. With Fawkes in your party, weapon strength requirements are 1 point lower for you.
BI000081	Second Skin
BI000082	Star Paladin Cross is a seasoned veteran of power armor use and can show you a thing or two about how to use it at it's maximum potential. While Star Paladin Cross is in your party, you have +1 Endurance and +20 carry weight when you are wearing power armor.
BI000083	Tunnel Snakes Rule
BI000084	Butch is a gang member at heart, and gangs have to have multiple members wearing the same colors. While Butch is in your party, you both gain +5% damage if you are both using the same weapon, and +5% DR if he is using the same armor as you, with an extra +5% if they are Tunnel Snake outfits.
BI000085	Get Lucky
BI000086	Eulogy was right about her. When you've had a hard day on the road and are ready to call it a night, she will make sure you wake up *very* well rested. With Clover in your party, the Well Rested bonus will grant you an additional 15% XP and +1 Luck!
BI000087	The Contract
BI000088	Charon's tenacity and his unwavering loyalty to the holder of his contract are remarkable. You've learned something from his tenacity: For each 10% health you are below maximum, you gain 1 DT.
BI000089	Tunnel Snakes Rule
BI000090	Butch is a gang member at heart, and gangs have to have multiple members wearing the same colors. While Butch is in your party, you both gain +5% damage if you are both using the same weapon, and +5% DR if he is using the same armor as you, with an extra +5% if they are Tunnel Snake outfits.
