TIH00000001	Chess Bobblehead
TIH00000216	PLAYER THROW GRENADE
TIH00000217	...
TIH00000218	PLAYER FIRE WEAPON
TIH00000219	That's not a cap gun, fucknuts. Watch it.
TIH00000220	What is your major malfunction?
TIH00000221	PLAYER LAY MINE
TIH00000222	This is going to end well.
TIH00000223	Don't fuck around with that thing.
TIH00000224	PLAYER IN IRON SITES
TIH00000225	Keep it up and I'll take that piece from you, stick it up your ass, and pull the trigger till it goes click.
TIH00000226	It's because of assholes like you that the world was nuked in the first place.
TIH00000227	You just try it.
TIH00000228	Attack
TIH00000229	...
TIH00000230	Die, motherfucker!
TIH00000231	Eat shit and die.
TIH00000232	Suck on this!
TIH00000233	
TIH00000234	You're gonna bleed.
TIH00000235	I'm gonna crack your fucking skull!
TIH00000236	I'll bury you!
TIH00000237	Hold still, you dumb cooze!
TIH00000238	Stand still, cocksucker!
TIH00000239	Take this, motherfucker!
TIH00000240	Take this, scum!
TIH00000241	Give... me... the... key!
TIH00000242	You're gonna fucking die!
TIH00000243	I'm gonna fucking kill you!
TIH00000244	Hit
TIH00000245	...
TIH00000246	 Argh!
TIH00000247	
TIH00000248	Flee
TIH00000249	Retreat, motherfucker!
TIH00000250	Fuck this!
TIH00000251	Steal
TIH00000252	No way, you little klepto.
TIH00000253	AcceptYield
TIH00000254	Fine, but you need to start acting like a professional.
TIH00000255	Assault
TIH00000256	You are about to fuck yourself.
TIH00000257	My friend, you are entering a world of pain.
TIH00000258	You're done.
TIH00000259	Murder
TIH00000260	What are you, some sick maniac?
TIH00000261	That was not cool. Not cool at all.
TIH00000262	MurderNoCrime
TIH00000263	Fuck 'em.
TIH00000264	Oh, well.
TIH00000265	Nicely done.
TIH00000266	FireExplosive
TIH00000267	Frag out!
TIH00000268	AvoidThreat
TIH00000269	Fuck me!
TIH00000270	StartCombat
TIH00000271	Kill 'em all.
TIH00000272	Cocksucker.
TIH00000273	Death
TIH00000274	...
TIH00000275	...
TIH00000276	
TIH00000277	AlertToCombat
TIH00000278	Contact!
TIH00000279	Assholes!
TIH00000280	NormalToAlert
TIH00000281	Head on a swivel...
TIH00000282	We are not alone.
TIH00000283	CombatToNormal
TIH00000284	Clear.
TIH00000285	All hostiles down.
TIH00000286	CombatToLost
TIH00000287	Shit, I lost 'em.
TIH00000288	LostToNormal
TIH00000289	Fuck it.
TIH00000290	Shit, they're gone.
TIH00000291	LostToCombat
TIH00000292	Somebody couldn't stay hidden...
TIH00000293	Eyes on target.
TIH00000294	AlertIdle
TIH00000295	Stay frosty.
TIH00000296	LostIdle
TIH00000297	Not a goddamn thing.
TIH00000298	BarterExit
TIH00000299	...
TIH00000300	ObserveCombat
TIH00000301	I got fifty on the big one.
TIH00000302	DeathResponse
TIH00000303	Fuck, man down!
TIH00000304	We're dropping like flies!
TIH00000305	Dammit to hell!
TIH00000306	Here's your money.
TIH00000307	All right, just hold steady. Want a shot of whiskey to calm your nerves? Mind if I have one? Heh heh, little doctor humor there.
TIH00000308	Okay, fix me. Here's 75 caps.
TIH00000309	Wait here.
TIH00000310	Sure thing.
TIH00000311	Smoke break!
TIH00000312	Let's trade equipment.
TIH00000313	Don't even think about touching my rifle.
TIH00000314	Ok, but I'm not your fucking dress-up doll.
TIH00000315	Of course. Make the merc carry all your shit.
TIH00000316	Enough about tactics.
TIH00000317	Ok.
TIH00000318	Keep your distance. Try to flank them.
TIH00000319	Listen to you, laying down strategery. I'm on it.
TIH00000320	All right, you're good. Let's get out of here.
TIH00000321	I'm right behind you.
TIH00000322	Your distance is good. Let's talk about something else.
TIH00000323	Very well.
TIH00000324	Stay close to me.
TIH00000325	Roger that.
TIH00000326	Let's talk about how close you're following me.
TIH00000327	Fine. How do you want to do this?
TIH00000328	I want you to use ranged weapons.
TIH00000329	Now you're talking. One shot, one kill, motherfucker.
TIH00000330	Switch to a melee weapon.
TIH00000331	Every heard the adage "Don't bring a knife to a gunfight"?
TIH00000332	Let's talk about something else.
TIH00000333	What else?
TIH00000334	That's all. Let's get going.
TIH00000335	Good to go.
TIH00000336	I want you to change your combat style.
TIH00000337	How so?
TIH00000338	Let's talk about your tactics.
TIH00000339	I'm all ears.
TIH00000340	Let's get going.
TIH00000341	Alright, take point.
TIH00000342	It's time for us to part ways.
TIH00000343	Are you sure?
TIH00000344	I think we should travel together.
TIH00000345	I'm locked and loaded. Lead on.
TIH00000346	StartCombatResponse
TIH00000347	I'll cover you.
TIH00000348	I'm on it.
TIH00000349	On second thought, stick with me for a little longer.
TIH00000350	Ok, then let's get moving.
TIH00000351	Yes, I'm sure.
TIH00000352	Alright, I'll be in Westside if you need me.
TIH00000353	FollowersAcknowledgeMyOrder
TIH00000354	Roger that.
TIH00000355	I want you not to attack enemies unless I've already engaged them.
TIH00000356	What, you're laying down rules of engagement? This isn't a peace-keeping mission.
TIH00000357	I want you to attack enemies the moment you see them.
TIH00000358	No problem.
TIH00000359	HealthQuarter
TIH00000360	Fuck, I'm on my way out.
TIH00000361	Shit, I don't know if I can stay on my feet.
TIH00000362	Jesus, this is it.
TIH00000363	HealthHalf
TIH00000364	Got a spare Stimpak?
TIH00000365	
TIH00000366	ArmorIneffective
TIH00000367	This armor is dogshit.
TIH00000368	WeaponIneffective
TIH00000369	I need an upgrade.
TIH00000370	...
TIH00000371	This piece of shit is finished.
TIH00000372	NoAmmo
TIH00000373	I'm running on empty here!
TIH00000374	You got a spare magazine?
TIH00000375	UsedDoctorBag
TIH00000376	Oh, hell yes.
TIH00000377	Crippled
TIH00000378	Goddamn it, I'm falling apart.
TIH00000379	Medic!
TIH00000380	Regenerating
TIH00000381	God, that feels better than sex.
TIH00000382	I'm good to go.
TIH00000383	Poison
TIH00000384	Fuck, I... can't see straight.
TIH00000385	Shit, I need anti-venom... something.
TIH00000386	I'm getting... woozy.
TIH00000387	I need a snakebite kit, fast.
TIH00000388	FollowersOverburdened
TIH00000389	There's no fucking way I am humping more of your shit.
TIH00000390	PLAYERENTERSIRONSIGHTS
TIH00000391	FollowersStealthing
TIH00000392	Speaking from experience, this stealth shit is overrated.
TIH00000393	This shit is gonna give me a charlie horse.
TIH00000394	Yes, waddling around like jackasses, this is gonna help.
TIH00000395	Damn, this squatting chafes my balls. Fuck my life.
TIH00000396	aaInheritance01SellersIntroGreeting
TIH00000397	You, you there! Are you here for the delivery job? Come closer, please.
TIH00000398	aaInheritance01SellersGreeting02
TIH00000399	Yes, I recognize you.
TIH00000400	A regular courier would suffice, but you... well, this is fortuitous.
TIH00000401	You're a person of many parts, aren't you? I heard you cheated death... left quite a mark around here.
TIH00000402	Nothing like being dug out of a shallow grave to give you perspective, eh?
TIH00000403	How do you know about that?
TIH00000404	All this time, everything you've done, your choices, the people you've killed... you can't control that story.
TIH00000405	You may not realize it, but you're becoming the stuff of legend, whether you like it or not.
TIH00000406	If not for my infirm condition, I'd be apt to hear your take on things. But time, I'm afraid, is of the essence.
TIH00000407	You have made your choices, seen the consequences. I did much the same, long ago, in another life. I am still paying for those choices.
TIH00000408	Couriers have a special role, one of trust. I hope you will maintain that fidelity, as this delivery... it's... I can't put this off any longer.
TIH00000409	I want you to deliver a package to a man in Westside. His name is Bradley.
TIH00000410	In exchange, I will pay you five hundred caps, all up front. Consider a gesture of good will and trust.
TIH00000411	Is the proposal satisfactory?
TIH00000412	No offense, but I'd like to discuss the delivery job.
TIH00000413	That's well enough, no offense taken. I know you're a person of gravity, so I will cleave to the matter at hand.
TIH00000414	I want you to deliver a package to a man in Westside. His name is Bradley.
TIH00000415	In exchange, I will pay you five hundred caps, all up front. I know your reputation.
TIH00000416	Is the proposal satisfactory?
TIH00000417	Stow it, pops. You want something delivered, start talking turkey.
TIH00000418	What a world I'm leaving behind... a haven for brutes, savages, and the uncouth. It certainly fits you.
TIH00000419	Whatever your temperament, I know your reputation as a courier. Thus, I will get to my offer.
TIH00000420	I want you to deliver a package to a man in Westside. His name is Bradley.
TIH00000421	In exchange, I will pay you five hundred caps, all up front. Consider it a gesture of good will and trust.
TIH00000422	Is the proposal satisfactory?
TIH00000423	I'll do it.
TIH00000424	As I expected, you are perfect for the job.
TIH00000425	Deliver this letter and key to Bradley, a mercenary under the employ of the Westside Militia.
TIH00000426	Once the letter is delivered, you are free of any responsibility to me. However, if you elect to assist Bradley, I will be in your debt.
TIH00000427	I hope this will be an end to things... a just settlement. Good luck, courier. I would like to be alone now.
TIH00000428	I'm not interested.
TIH00000429	I hope you will reconsider. Please return if you change your mind.
TIH00000430	aaInheritance01SellersBarter
TIH00000431	The opportunistic avarice of the wasteland never ceases to surprise me. Very well. This is all I have.
TIH00000432	Deliver this letter and key to Bradley, a mercenary under the employ of the Westside Militia.
TIH00000433	Once the letter is delivered, you are free of any responsibility to me. However, if you elect to assist Bradley, I will be in your debt.
TIH00000434	I hope this will be an end to things... a just settlement. Good luck, courier. I would like to be alone now.
TIH00000435	I suspect there is more to this package than meets the eye. Make it 1,000 and we have a deal.
TIH00000436	You're trying to squeeze water from a dry sponge, courier. I have nothing left to give.
TIH00000437	Five hundred caps - nothing more, nothing less. Do you accept?
TIH00000438	Since that incident in Goodsprings my rates have gone up. Make it 1,500 and we're good.
TIH00000439	aaInheritance01BradleyIntro01
TIH00000440	I've got a delivery for you.
TIH00000441	What? Are you sure it's for me?
TIH00000442	Alright, give me a second... hold on. Thought I heard something...
TIH00000443	aaInheritance01BradleyIntroDeliveryAsshole
TIH00000444	Service with a smile, huh? I'm on watch right now. I don't have time for this shit.
TIH00000445	Look, don't get your panties in a wad. Let me finish this shift and I'll sign for the package.
TIH00000446	Just... wait, I thought I heard something...
TIH00000447	Listen, jagoff - I just hauled this letter across the desert for you. How about some gratitude?
TIH00000448	aaInheritance01BradleyPostFiendAttackWestside
TIH00000449	Goddamn, I haven't seen that many raiders since I guarded a caravan passing through 80's territory.
TIH00000450	You're a courier, right? After that little fracas, color me impressed. You moved like a merc. Glad you were here.
TIH00000451	Since we've got a little breathing room, I'd like to check out that package.
TIH00000452	A sealed letter. Let's see what it says...
TIH00000453	aaInheritance01BradleyReadLetter
TIH00000454	Dear Bradley, my name is Joe Sellers. I'm almost certain you've never heard of me. No shit.
TIH00000455	Consider this my last will and testament. Your father, Joe Sellers.
TIH00000456	I understand if you wish to dispose of this note and erase any notion of connection to me. You would be more than justified.
TIH00000457	It's been so long since these measures were put in place - I have no idea what you'll find there, aside from the next key.
TIH00000458	Enclosed with this letter is a key, the first of three required to open the vault. The next key is in Linus Caverns, in the Mesquite Mountains.
TIH00000459	However, I believe your profession has given you the skills and necessary fortitude to see this through.
TIH00000460	Make no mistake: this is not a simple salvage. You must walk a dangerous path to collect the means to access the vault.
TIH00000461	There is nothing I can offer to make up for the pain I inflicted on you and your mother. But I still owe you this birthright. It is all I have left.
TIH00000462	There is a vault in the Mojave that contains enough wealth to let you start anew. You could leave the hazards of the frontier behind you.
TIH00000463	I know you have subsisted as a soldier of fortune for some time. I never wanted that life for you.  Better than your life, cocksucker.
TIH00000464	If you hate me or only wish to ignore me, I only beg you accept my parting gift. Consider it my feeble attempt to reckon for your abandonment.
TIH00000465	As a result, I cut all ties with your mother. She went to Reno, and I wandered. I've no doubt you harbor resentment for my actions.  Fuck you.
TIH00000466	Not long after I met your mother, there was a war, and I was on the losing side. Mere association with me could be mistaken for complicity.
TIH00000467	It was not for a lack of feeling or to shirk responsibility.  Bull-fucking-shit.  On the contrary, I became an exile to ensure your safety.
TIH00000468	I will get to the point: I am your father. I separated with your mother not long after you were born. The reasons for my decision are complicated.
TIH00000469	I made choices long ago that impacted you more than you may know. I often question my decisions, how things turned out.
TIH00000470	When I wrote this letter, I was unsure if I'd summon the nerve to send it. Ok.
TIH00000471	aaInheritance01BradleyPostLetter
TIH00000472	No bullshit - is this some kind of con? Come clean or I'll buttstroke your fucking skull!
TIH00000473	aaInheritance01BradleyPostLetterDontKnowPolite
TIH00000474	Excuse my skepticism, but what the fuck am I supposed to make of this? Some old coot writes me, says I inherited his stash.
TIH00000475	Even if it's a con, it's shit. He expects me to go digging through fuck knows what kind of shitholes to get some keys? Fuck that noise.
TIH00000476	I just deliver the goods. I'm not privy to what's inside.
TIH00000477	Back off, asshole. I'm just the courier.
TIH00000478	Excuse my skepticism, but what the fuck am I supposed to make of this? Some old coot writes me, says I can grab a legendary stash.
TIH00000479	Even if it's a con, it's shit. He expects me to go digging through fuck knows what kind of shitholes to get some keys? Fuck that noise.
TIH00000480	I do my job and you want to get fresh? Fuck you and your daddy issues.
TIH00000481	Careful - "Shoot the messenger" can take on a literal quality.
TIH00000482	I just wanted to be sure you're not pulling one on me. Sorry I got you all hot and bothered.
TIH00000483	What the fuck am I supposed to make of this letter, anyway? Some old coot writes me, says I can have his legendary stash.
TIH00000484	Even if it's a con, it's shit. He expects me to go digging through fuck knows what kind of shitholes to get some keys? Fuck that noise.
TIH00000485	aaInheritance01BradleyLetterCouldBeTrue
TIH00000486	Still, I have no way of knowing if he's just another asshole.
TIH00000487	If he's what I think he is... ex-Enclave... that could be worth my time. Those old bastards still have munitions dumps scattered around.
TIH00000488	A lot of that pre-war tech sells for a mean price out here. Fucking Van Graffs gouge the shit out of everyone. It would be fun to undercut them.
TIH00000489	I'm not opposed to investigating this, and I'd be willing to split some of the goods if you help out. Seems you know how to handle yourself.
TIH00000490	Only thing is that I'm under contract to Westside, and as you just saw, there's something of a Fiend problem.
TIH00000491	I don't know where they get the manpower, but Fiends keep coming out of the woodwork to attack Westside.
TIH00000492	Even though badass bounty hunters killed some of their ringleaders, it seems someone else is stepping in to stir them into a frenzy.
TIH00000493	Rumor has it some strung-out witch doctor has the Fiends on a drug-fueled holy war against Westside. Really, I couldn't make this up.
TIH00000494	It seems he's holed up in the old Hofmann mine just west of here. If you can take him out, the Fiend attacks should taper off.
TIH00000495	If the Fiends are neutralized, I should be clear of my duties here, at least long enough to track down that vault.
TIH00000496	I have to stand watch, but I'll throw in some caps if you take care of this for me. Afterwards we can strike off together. Deal?
TIH00000497	Sellers didn't strike me as a liar or huckster. This letter could be the real deal.
TIH00000498	aaInheritance01BradleyLetterIwillTakeIt
TIH00000499	No, no, no. I know better than that. I don't have any illusions of some Sierra Madre treasure buried in the desert, but there could be something.
TIH00000500	If he's what I think he is... ex-Enclave... that could be worth my time. Those old bastards still have munitions dumps scattered around.
TIH00000501	A lot of that pre-war tech sells for a mean price out here. Fucking Van Graffs gouge the shit out of everyone. It would be fun to undercut them.
TIH00000502	I'm not opposed to investigating this, and I'd be willing to split some of the goods if you help out. Seems you know how to handle yourself.
TIH00000503	Only thing is that I'm under contract to Westside, and as you just saw, there's something of a Fiend problem.
TIH00000504	I don't know where they get the manpower, but Fiends keep coming out of the woodwork to attack Westside.
TIH00000505	Even though badass bounty hunters killed some of their ringleaders, it seems someone else is stepping in to stir them into a frenzy.
TIH00000506	Rumor has it some strung-out witch doctor has the Fiends on a drug-fueled holy war against Westside. Really, I couldn't make this up.
TIH00000507	It seems he's holed up in the old Hofmann mine just west of here. If you can take him out, the Fiend attacks should taper off.
TIH00000508	If the Fiends are neutralized, I should be clear of my duties here, at least long enough to track down that vault.
TIH00000509	I have to stand watch, but I'll throw in some caps if you take care of this for me. Afterwards we can strike off together. Deal?
TIH00000510	If you're not interested, I'd be happy to take that key off your hands.
TIH00000511	aaInheritance01BradleyLetterMeetFather
TIH00000512	Let's get something real clear: I don't have a father. Let's say, however unlikely it may be, that this old fuck knocked up my mom back in '41.
TIH00000513	Blowing your wad and walking away doesn't make you a father. This cocksucker has some nerve if he thinks he can just pay me off.
TIH00000514	Him and this Long John Silver bullshit, giving me a fucking treasure map to fuckall... to hell with that... to hell with him.
TIH00000515	This man could very well be your father. Don't you want to at least look into it?
TIH00000516	aaInheritance01BradleyAttackFiendsYes
TIH00000517	Good. Here's a few things I was holding on to. They should help you clear those fuckers out. Just check back with me when it's done.
TIH00000518	I'll do it.
TIH00000519	I don't think so.
TIH00000520	That's a shame. If you change your mind, I'll be here.
TIH00000521	I took care of Shulgin.
TIH00000522	I wasn't sure if you were serious when you took that on. There's no questioning your commitment now.
TIH00000523	That should dampen the Fiends' spirits for a while, so I'm free to travel. Are you ready to go?
TIH00000524	aaInheritance01BradleyTravel01Yes
TIH00000525	Ok, let's put that Pip-Boy to good use. Here are the coordinates for the vault.
TIH00000526	But before we head out there, I want to see this old man for myself.
TIH00000527	If he is who he claims to be, I at least want to look him in the eyes, see what sort of man he is.
TIH00000528	Chalk it up to dumb curiosity. Let's get going.
TIH00000529	Sure, let's get going.
TIH00000530	I'm not ready to go.
TIH00000531	Very well. I'll be here when you get your shit together.
TIH00000532	I was thinking of going after that stash.
TIH00000533	Look, I don't want to waste your time or mine. Are you sure about this?
TIH00000534	aaBradleyCompanionHeavyArmor
TIH00000535	Fuck my life, this shit is heavy.
TIH00000536	aaBradleyDadsDeadComment01
TIH00000537	Alright, let's see if... fuck me.
TIH00000538	Jesus, he's dead. Here I was, ready to spit in his eye, and he... hold on, that's blood... small caliber headshot, very clean, professional.
TIH00000539	Somebody was after him... why would they go to the trouble when he was on his deathbed?
TIH00000540	aaBradleyDadsDeadStartConvoPlayer
TIH00000541	What the hell have you gotten me into here? Did he say anything else about that stash?
TIH00000542	Did he mention other interested parties? What the fuck is going on here?
TIH00000543	I just agreed to deliver a package. He didn't mention anything else.
TIH00000544	Nothing at all? Really? Shit, I'm at a loss. This is not amateur work, I can tell you that much. I just wanted a payoff, not this mess.
TIH00000545	I say we walk out of here and forget about this entire thing. It isn't worth the trouble.
TIH00000546	I don't know shit about shit. I'm as much in the dark as you are.
TIH00000547	So you keep saying. This was not a robbery or some random murder, it was an expert execution. Believe me, I can distinguish the handiwork.
TIH00000548	I say we walk out of here and forget about this entire thing. It isn't worth the trouble.
TIH00000549	If he really was ex-Enclave, maybe it was a bounty hunter. They seem to be everywhere these days.
TIH00000550	Most bounty hunters are sloppy and stupid. To the untrained eye that would fit, but I'm telling you it was a precision shot made by a professional.
TIH00000551	I say we walk out of here and forget about this entire thing. It isn't worth the trouble.
TIH00000552	I got the impression you didn't like this guy. I figured you'd be happy.
TIH00000553	Listen, it's the principle of it, not to mention that we may be caught up in a real shitstorm now.
TIH00000554	I say we walk out of here and forget about this entire thing. It isn't worth the trouble.
TIH00000555	There's no telling what could turn up. I say we keep going.
TIH00000556	For the record, I think this is a mistake.
TIH00000557	But a deal is a deal, and I can't stomach the idea of you claiming that loot without me.
TIH00000558	I want to tool up before we do anything else. Let's head back to Westside and then we'll set off for the bunker.
TIH00000559	I agree, this wasn't part of the bargain. Let's go home.
TIH00000560	You said it. Let's head back to Westside. I'll settle up with you there.
TIH00000561	aaInheritance01HawkinsIntro
TIH00000562	Well, this is an auspicious occasion.
TIH00000563	I thought I was looking for a generic messenger, not the Courier. Quite a reputation you've developed in the Mojave.
TIH00000564	Who are you?
TIH00000565	Well, that's circumstantial. For the purposes of our business, you can call me Hawkins.
TIH00000566	What do you want?
TIH00000567	The late Mr. Sellers had a certain key in his possession that was given to you.
TIH00000568	Apparently Mr. Sellers neglected to inform you of his contractual obligation to my employer.
TIH00000569	The aforementioned key was to be passed to my employer upon Sellers' death. You could call it life insurance.
TIH00000570	Unfortunately, Mr. Sellers elected to break the contract, as he employed you to deliver the key to Mr. Bradley. This is a problem.
TIH00000571	I will not mince words, Courier. I know full well your reputation, your abilities. But I require that key.
TIH00000572	<Remain silent>
TIH00000573	I know that silence can reinforce the frontier mystique, but I can assure you, it's not impressive in the least.
TIH00000574	aaInheritance01HawkinsFuckOff
TIH00000575	Ah, the bravado of the wastes.
TIH00000576	I forget sometimes, lose touch. In the spirit of mutual bellicosity, permit me to retort in kind.
TIH00000577	Give me Sellers' key, or I'll cut your throat, and execute every person you've every cared about. Fair enough?
TIH00000578	Whatever you're selling, I'm not buying. Fuck off.
TIH00000579	aaInheritance01HawkinsKeySpeech
TIH00000580	I, I knew it when they told me it was the Courier, it was my death sentence. I don't deserve to die like this!
TIH00000581	Thank you, Courier. I am leaving this life behind me.
TIH00000582	How many have faced me and perished? Walk away and keep your life.
TIH00000583	You, you think I can't be charmed out of this? Do you know what my employer would do to me if I even hesitated?
TIH00000584	He would kill me... and my entire family!
TIH00000585	You don't have to do this, Hawkins.
TIH00000586	aaInheritance01HawkinsKeyNotGivingIt
