CTC00000001	Name your Faction:
CTC00000064	Yes Man and the Securitron Army
CTC00000065	You'll need to secure control over the Lucky 38 for Yesman, upgraded the Securitron Army, and activated the Securitron army located under the Fort before you can claim this Vault for Yesman.
CTC00000066	Mojave Brotherhood
CTC00000067	the Mojave Brotherhood
CTC00000068	You cannot claim this Bunker until you are [%]Liked[%] by the Mojave Brotherhood and they have also come out of hiding.
CTC00000069	Reilly's Regulators are not in a position to claim this vault.
CTC00000070	Mariposa Super Mutants
CTC00000071	===== Overseer's Terminal =====
CTC00000072	Greetings Overseer, [CRLF] [%]
CTC00000073	[CRLF][CRLF]Date: [%]
CTC00000074	Capital Wasteland Patrols
CTC00000075	Rename Locations
CTC00000076	Reconnaissance
CTC00000077	Purchase a Squad Board for the Vault[CRLF](800 caps)
CTC00000078	== Capital Wasteland Investments ==
CTC00000079	[CRLF]Capital Wasteland Investments: [%]
CTC00000080	[CRLF][CRLF]No New Investments Avaliable[CRLF]
CTC00000081	= Andale =
CTC00000082	"	It would seem the quiet town of Andale was not as wholesome as it appeared. With the cannibals taken care of, [%] can move into the town."
CTC00000083	[CRLF][CRLF]According to your report of the settlement, Andale is simply a quiet town trying to make do. To keep the residents safe, [%] will send a small squad to Andale.
CTC00000084	[CRLF][CRLF]The squad will keep an eye on the roads only. Whatever the residents of Andale do in their own homes is their own business.
CTC00000085	Rename the Town
CTC00000086	Andale is now under the control of [%].
CTC00000087	[CRLF][CRLF](You do not have enough caps to invest in this location!)
CTC00000088	= Arefu =
CTC00000089	"	The small settlement of Arefu may be willing to cooperate with [%] now that their [%]vampire[%] problem has been resolved."
CTC00000090	Arefu is now under the control of [%].
CTC00000091	= Big Town =
CTC00000092	 No longer threatened by Super Mutants, Big Town can now be developed by [%] and a barracks and a trading post can be established in the abandoned buildings.
CTC00000093	Big Town is now under the control of [%].
CTC00000094	= Abandoned Car Fort =
CTC00000095	"	Providing a nice overlook a top the highway bridge, the Car Fort could be a valuable outpost for [%]."
CTC00000096	Rename the Fort
CTC00000097	= Charnel House =
CTC00000098	"	The raiders have been evicted and now the house is open for new tenants. The fields have been neglected by the raiders, but [%] can work on rebuilding the farm."
CTC00000099	Rename the House
CTC00000100	= Canterbury Commons =
CTC00000101	"	Now that Canterbury Commons [%]unique[%] problem has been taken care of, more caravans are starting to return to the settlement, and Canterbury Commons is quickly becoming a valuable center of trade."
CTC00000102	"[CRLF][CRLF]	To secure control of the settlement, [%] should establish a barracks in the old fire station as well as help reconstruct some of the delipidated buildings in the town. The town's residents will be given proper housing."
CTC00000103	[CRLF][CRLF]Along with rebuilding the town, we will fund the establishment of Pony Express Dropboxes at major settlements across the wasteland with Canterbury Commons at the center of this new shipping system.
CTC00000104	Legion Blacksmith
CTC00000105	Legion Forge
CTC00000106	Canterbury Smithy
CTC00000107	Healer
CTC00000108	Canterbury Commons is now under the control of [%].
CTC00000109	= Chaste Acres Dairy Farm =
CTC00000110	 With the raiders evicted, the land at the ruined farm could be put to good use growing crops.
CTC00000111	= Fort Bannister =
CTC00000112	"	After hard fought battle, Talon Company has been pushed out of Fort Bannister by [%]."
CTC00000113	[CRLF][CRLF]Even with their Commander dead, the ruthless mercs will most likely continue to plague the wasteland for some time, but they are unlikely to ever recover from the loss of their headquarters.
CTC00000114	[CRLF][CRLF]Fort Bannister can now be rebuilt as a supply depot to support our operations in the Capital Wasteland.
CTC00000115	= Fort Independence =
CTC00000116	"	It's time to reinforce Fort Indepedence and turn it into a proper headquarters for the Outcast!"
CTC00000117	"	With Casdin dead and his band traitors shattered, the Brotherhood can restore control over Fort Indepedence. The Outcast left the Fort in a mess so we will have a lot of cleaning up to do."
CTC00000118	"	Thanks to your good relations with the Outcast, you can be the bridge that brings peace between Casdin and Lyons."
CTC00000119	Casdin and his gang of [%]Outcasts[%] claim to be Brotherhood traditionalists and keepers of Maxson's oath to safeguard technology.[CRLF][CRLF]We shoud be able to ally them without issue.
CTC00000120	"	With Casdin dead and his gang of Outcasts shattered, [%] can take over Fort Indepedence. The Outcast left the Fort in a mess so we will have a lot of cleaning up to do."
CTC00000121	 Despite how bizzare an alliance between the Outcasts and [%] may seem, your good relations with Protector Casdin make such an unlikely allience possible.
CTC00000122	= Friendship Heights =
CTC00000123	"	Friendship Heights is strategically important in controlling traffic in the DC Metro Tunnels. It would be worthwhile for [%] to establish a checkpoint at the metro stop."
CTC00000124	Rename the Metro Stop
CTC00000125	= Girdershade =
CTC00000126	"	Girdershade might be small and insignificant, but those are no reasons not to place it under the control of [%]."
CTC00000127	Girdershade is now under the control of [%].
CTC00000128	= Grisly Diner =
CTC00000129	"	With the raider gang driven from the diner, the location would serve well as an outpost and road checkpoint for [%]."
CTC00000130	Rename the Diner
CTC00000131	= Lincoln Memorial =
CTC00000132	"	With the slavers defeated, Lincoln Memorial has the possibility to become a burgenoning settlement for escaped slaves seeking to start a new life."
CTC00000133	"[CRLF][CRLF]	Because of your help, the abolitionist might be interested in partnering with [%], and we can send a detachment of soldiers to help guard the Memorial."
CTC00000134	"	Now that the situation regarding the slavers and abolitionist has come to an end, the Lincoln Memorial is up grabs."
CTC00000135	"[CRLF][CRLF]	In a hotly contested place like the Mall, [%] should sweep in and secure the memorial ruins before anyone else does."
CTC00000136	Rename the Memorial
CTC00000137	= Megaton =
CTC00000138	"	With Megaton's bomb diffused, more settlers have begun to arrive and the small settlement has a limitless opportunity for growth. Because of your help with the bomb's diffusal, Megaton might be willing to open their gates to [%]."
CTC00000139	"	[CRLF][CRLF]With the unsavory individual known as Burke no longer living in Megaton, we can convert his home into an Outpost for [%]."
CTC00000140	Megaton Outpost
CTC00000141	The Bomb and the Children of Atom
CTC00000142	With Megaton now under the control of [%] that leaves the question of what to do with the now diffused bomb and the local cult that worship it, the Church of the Children of Atom.
CTC00000143	[CRLF][CRLF]Common sense would say the bomb should be removed from Megaton and work should begin on cleaning up the radiation surronding the bomb. But with the Church standing opposed to that idea, it would mean removing the cult as well, by force if necessary.
CTC00000144	[CRLF][CRLF]Then again, we could simply leave the Church and the bomb alone. After all, the congregation aren't hurting anyone and the bomb the is now nothing more than a harmless landmark of the town.
CTC00000145	[CRLF][CRLF]The choice is up to you.
CTC00000146	Remove the Bomb and the Children of Atom
CTC00000147	The bomb has been safely removed from Megaton and the Church and its followers have been pushed out of the settlement.[CRLF][CRLF]Megaton is now under the control of [%].
CTC00000148	Leave the Bomb and Church Alone
CTC00000149	You have decided that the bomb can stay and the Church can continue their worship.[CRLF][CRLF]Megaton is now under the control of [%].
CTC00000150	= SatCom Array NW-05a =
CTC00000151	The Satellite Facility should be secured by [%] to prevent any other mad scientists from occupying it.
CTC00000152	= MDPL Mass Relay Station =
CTC00000153	"	With the raiders pushed out, [%] can move in to secure the power station."
CTC00000154	= Montgomery County Reservoir =
CTC00000155	 Now that the water plant is operational again, [%] can move in and secure the reservoir.
CTC00000156	[CRLF][CRLF]The nearby farm will also be rebuilt.
CTC00000157	Rename the Reservoir
CTC00000158	= Tenpenny Tower =
CTC00000159	 After a scare with ghouls, Tenpenny Tower is looking for protection. Obviously, [%] will offer to keep the Tower's residents safe.
CTC00000160	Tenpenny Tower is now under the control of [%].
CTC00000161	= Washington Monument =
CTC00000162	 Now that the satellite dish has been repaired, the Brotherhood should move to reinforce the Monument.
CTC00000163	 Because of your help with repairing the satellite dish, [%] can take over management of the Washington Monument from Lyon's men.
CTC00000164	Rename the Monument
CTC00000165	= Wheaton Armory =
CTC00000166	"	The raiders have been pushed from the armory. Whatever weapons left behind are ours for the taking."
CTC00000167	== Investments ==
CTC00000168	[CRLF]Total Investments: [%]
CTC00000169	[CRLF][CRLF]No New Investments Avaliable[CRLF]
CTC00000170	Capital Wasteland Investments
CTC00000171	= Deploy Patrol =
CTC00000172	Please confirm the deployment of the patrol.
CTC00000173	[CRLF]Starting Location: [%]
CTC00000174	[CRLF]Mid Location: [%]
CTC00000175	[CRLF]End Location: [%]
CTC00000176	A squad will now patrol: [%] <-> [%] <-> [%].
CTC00000177	Cancel Patrol
CTC00000178	= Patrol End Point =
CTC00000179	Choose an end location for the patrol.
CTC00000180	== Capital Wasteland Patrols ==
CTC00000181	You can establish patrols that will travel between the outposts you have invested in.
CTC00000182	[CRLF]Choose three locations (a start point, a mid point, and end point), and the patrol will travel back and forth between them.
CTC00000183	[CRLF]These patrols can only be established in the Capital Wasteland.
CTC00000184	[CRLF]It cost 1,000 caps to establish a patrol.
CTC00000185	[CRLF]You can create an additional patrol when you have reached 10 investments, and then finally one more patrol when you have 15 investments.
CTC00000186	[CRLF][CRLF]= Active Patrols =
CTC00000187	[CRLF]Alpha Patrol:
CTC00000188	[CRLF][CRLF]Bravo Patrol:
CTC00000189	[CRLF][CRLF]Charlie Patrol:
CTC00000190	[CRLF][CRLF]= No Active Patrols =
CTC00000191	Establish New Patrol
CTC00000192	You do not have enough caps to establish a patrol.
CTC00000193	Choose New Route for Alpha Patrol
CTC00000194	Choose New Route for Bravo Patrol
CTC00000195	Choose New Route for Charlie Patrol
CTC00000196	= Patrol Mid Point =
CTC00000197	Choose a second location for the patrol.
CTC00000198	= Patrol Starting Point =
CTC00000199	Choose a starting location for the patrol.
CTC00000200	This menu lists all of the locations that can be taken over by [%].[CRLF][CRLF]You can spend [%] caps to unlock additional intel about what steps you need to take before you can invest in a location.
CTC00000201	 The location will also be marked on your map.
CTC00000202	[CRLF][CRLF]Locations you have already invested in will not be included on this list.
CTC00000203	Fort Independence is in need of serious repairs.[CRLF][CRLF]Using the Overseer's Terminal, you can allocate funds to reconstruct the Fort and turn it into a propoer headquarters for the Outcasts.
CTC00000204	The Outcasts and the Brotherhood have been at each others throats for years. You could attempt to reunite the two factions by earning the trust of Protector Casdin, or you could simply put down the traitor and his band of misfits.[CRLF][CRLF]Either way, the Brotherhood's banner will fly over Fort Independence once more!
CTC00000205	[CRLF](Gather Intel)
CTC00000206	You don't have enough caps![CRLF][CRLF]100 caps are required to gather intel!
CTC00000207	Renaming Menu
CTC00000208	Use this menu to rename locations that you have invested in.
CTC00000209	Assign New Vault Number
CTC00000210	Rename this Location
CTC00000211	Cook
CTC00000212	Purchase Food and Drink
CTC00000213	Resupply Crate: Fast Travel
CTC00000214	Using supplies in the Resupply Crate, you can fast travel to any location you have invested in.
CTC00000215	Select a Flag
CTC00000216	Wild Card
CTC00000217	Columbia
CTC00000218	On Patrol Traveling to [%]
CTC00000219	Close Menu
CTC00000220	[%] Home
CTC00000221	[%] Home's Basement
CTC00000222	[%] Main
CTC00000223	[%] Bunker
CTC00000224	[%] Quarters
CTC00000225	[%] Lower Level
CTC00000226	[%] Barracks
CTC00000227	Please wait for the resupply crate to be refilled.
CTC00000228	Columbia Research Institute
CTC00000229	The Reconnaissance Map in the Computer Room can now be used to gather intel about possible locations that [%] can take over.[CRLF][CRLF]You can also access this intel using the one of the Overseer Terminals.
CTC00000230	Computer Room
CTC00000231	Would you like to pay [%] caps to unlock the Computer Room? It contains the Reconnaissance Map which can be used to scout possible locations for take over.
CTC00000232	There is no power going to the Vault door. Without any power, the Vault door will stay sealed shut.[CRLF][CRLF]Since you can't use the main entrance, you will need to find another way into the Vault.
CTC00000233	Please wait . . .
CTC00000234	Invalid Clearance!
CTC00000235	This room can be unlocked once the Vault's lockdown is lifted.
CTC00000236	Filter Room Unlocked![CRLF]Vault Water Purified!
CTC00000237	Would you like to pay [%] caps to unlock the Filter Room?
CTC00000238	The Vault is currently in lockdown. Only the Overseer can lift the lockdown.
CTC00000239	Power has been restored to the vault!
CTC00000240	Power cannot be restored until the Vault's Generators are switched on.
CTC00000241	Power Systems Normal.
CTC00000242	This door is not powered.
CTC00000243	It appears this vent could provide access into and out of the Vault.
CTC00000244	Open Vent
