AAD00100001	问好
AAD00100067	等等...你是从外面来的，对吧？来自文明的土地？哇哦...约书亚一定对此很感兴趣。
AAD00100068	你好！我之前在南部通道那儿看见你了。你...你该知道当你跑掉时那里还有很多白腿部落的人，对吧？
AAD00100069	你好。我是罗撒香·盖西迪。
AAD00100070	关于查理驻站有什么消息吗？
AAD00100071	你好啊，朋友！再次看到你真是太好了。老板正在楼上等你呢，快上去吧！
AAD00100072	死吧，NCR渣滓！
AAD00100073	谢谢你的建议。你让我看得更清楚了。
AAD00100074	这不就是那个拼尽全力跟伟大的凯撒作对的邮差吗！
AAD00100075	这不就是那个拼尽全力跟伟大的凯撒作对的邮差吗！
AAD00100076	军团已经掌控了纳尔逊，荒淫之人！这里就是你的葬身之处。兄弟们，进攻！
AAD00100077	该死，我不是让你杀了他，只要给我找些证据来就可以了！
AAD00100078	对不起，朋友，你跟NCR作对太多次了，他们要取你的项上人头……而我们就是替他们办事的。
AAD00100079	无关私人恩怨，只是公事公办而已，希望你理解。那么，咱们动手吧。
AAD00100080	我们本应该热烈欢迎你第一次光临锡安，但可惜的是，白腿部落抢先了一步。
AAD00100081	白腿部落似乎是近一段时间内我们唯一的访客，我也没想到还会有人从莫哈维来这个地方找我们。
AAD00100082	而你还是个邮差。不是我期待的那个人，但我想他也不会带着一整支商队来的。
AAD00100083	我不知道你和商队里其他成员关系怎么样，但我还是要对你表示同情。
AAD00100084	我为每一位来到锡安的善良平民祈祷他们一切平安，即使他们是异教徒我也不会区别对待。但我们不能指望上帝做所有的工作。
AAD00100085	你来了，很好。我实在是不想再等你，也不想再等以利亚了。很惊讶吗？没错…我和你一样，也来到了这里。.
AAD00100086	你来了，很好…… <咳嗽>呃……发出声音都难受，我会说得快一些，免得待会又哑了。.
AAD00100087	哎呀，这不是那位老喜欢折腾和使唤我的大人物吗？
AAD00100088	你满脸都是悲伤而疑惑的表情，感觉我也没法让你喜笑颜开。
AAD00100089	能听清我说话吗…？该死的收发器……我得把项圈和塔上的扩音器连起来…好了…行了。
AAD00100090	我听说你已经料理了轰鸣恶煞。我本可以自己解决的。
AAD00100091	谢谢你在3号避难所帮了我。要是没有你，我肯定出不来。
AAD00100092	你有什么事？我还有活要干。
AAD00100093	我已经准备好去干掉轰鸣恶煞了，就等你一句话。
AAD00100094	你他妈到底怎么进来的？还有你他妈到底是谁？
AAD00100095	你在这里干什么，士兵？ 我没有呼叫增援啊。
AAD00100096	虽然瑞克死了，但我还是很高兴能获得自由！
AAD00100097	你到底要不要放了我啊？
AAD00100098	你他妈的在这里干什么？
AAD00100099	老兄，你迷路了吧。轰鸣恶煞在这迷宫的另一边。
AAD00100100	抱歉，我现在没时间聊天。我得回牧场去了。
AAD00100101	傻逼大角羊又在一整夜制造噪音了。.
AAD00100102	我喜欢这地方。凉爽怡人。
AAD00100103	咱们最好小心点。莉莉又开始念叨她的孙子孙女了。
AAD00100104	有时候我真的很怀念在主教军队里的日子。.
AAD00100105	他们不给我们水，没法种庄稼。
AAD00100106	你好。有什么我能帮忙的？
AAD00100107	你来得正巧，刚好跟你道个别。我和其他几个人正准备收拾铺盖卷回加利福尼亚了。
AAD00100108	用水额度问题依然没解决，NCR看来短期内也不打算采取什么措施了。
AAD00100109	我走之前你还有什么想说的？
AAD00100110	太亮了。为什么那里总是那么亮？
AAD00100111	你听说了吗？凯撒的刺客刺杀了金博尔总统——这下肯定要爆发战争了。
AAD00100112	发现失踪难民的线索了吗？
AAD00100113	很高兴见到你——还有什么事要我帮忙的吗?
AAD00100114	又回来了？我能为你做些什么？
AAD00100115	你回来了。改变主意想要帮忙了吗？
AAD00100116	第一侦查营是顶级精锐。他们只买我们这里生产的狙击枪。
AAD00100117	那个眼球机器人看起来已经饱经沧桑了。
AAD00100118	这世上居然还有友好的夜行族。你看看那家伙。
AAD00100119	我从没见过这样的狗。都是谁想出来要造这种玩意的？
AAD00100120	你见过那些反器材步枪能把死亡爪打成什么样吗？
AAD00100121	枪支走私者的武器供不应求，错过了可就没有了。
AAD00100122	哎呀，哎呀，看来我们把这些恶心的变种怪物都杀光了。我要启程返回加州了。.
AAD00100123	NCR在这地方惹出来的乱子实在太多了，我再继续待下去怕是有生命危险。
AAD00100124	你会掌握击倒的窍门的。我刚开始学的时候也是一样乱七八糟。
AAD00100125	有什么新鲜事吗？
AAD00100126	有什么发现吗？
AAD00100127	幸好那些火箭没有一头栽进诺瓦克。
AAD00100128	我不记得有通知说有人要调到这个哨站来。
AAD00100129	这里是军事驻地，你确定你没走错地方？
AAD00100130	我能帮你什么？
AAD00100131	听说有些小混混想要暗杀NCR的总统？有种，宝贝。太有种了。
AAD00100132	别往本尼先生身边凑。.
AAD00100133	在老板身旁的时候老实点，懂了？
AAD00100134	我会盯着你的，别动歪脑筋。
AAD00100135	把手放在我能看见的地方。
AAD00100136	我还以为本尼是个光明磊落的人——想不到他居然一直在密谋造反。
AAD00100137	你听说没，有个疯子杀了NCR的总统！有种啊，宝贝。太有种了。
AAD00100138	宝贝儿，现在就算你倒贴钱给我，我也不会离开长街。外面的军团多得就跟狗身上的跳蚤一样，而且他们也不是什么等闲之辈。
AAD00100139	豪斯把我们卖给NCR了？谁能想到他居然是叛徒？
AAD00100140	没和大汗帮发生冲突吧？最近他们比以前更嚣张了。
AAD00100141	对平民来说，这个地区可不太平。小心别被大汗帮给撞见。
AAD00100142	玩家在纳尔逊消灭了军团
AAD00100143	玩家在飘零希望消灭了NCR
AAD00100144	玩家消灭了双方势力
AAD00100145	第一侦察营转移到了飘零希望
AAD00100146	游骑兵查理驻站
AAD00100147	巨石城的大汗帮被NCR杀了
AAD00100148	玩家杀了巨石城的大汗帮
AAD00100149	大汗帮活着逃跑了
AAD00100150	普瑞姆被新的治安官领导
AAD00100151	普瑞姆接受了NCR的统治
AAD00100152	军团的狗被杀
AAD00100153	黑甲游骑兵到来的谣言
AAD00100154	黑甲游骑兵抵达
AAD00100155	军团老兵抵达
AAD00100156	玩家在长街引起了轰动
AAD00100157	游戏到达了中期
AAD00100158	游戏到达了后期
AAD00100159	胡佛水坝之战可用
AAD00100160	玩家赢得了胡佛水坝之战
AAD00100161	玩家帮助NCR赢得了胡佛水坝之战
AAD00100162	玩家帮助凯撒军团赢得了胡佛水坝之战
AAD00100163	玩家帮助豪斯先生赢得了胡佛水坝之战
AAD00100164	玩家赢得了胡佛水坝之战，利用安保机器人让维加斯独立了
AAD00100165	玩家攻击了九重天赌场。
AAD00100166	玩家在九重天杀死了本尼。
AAD00100167	玩家吓得本尼逃往长街。
AAD00100168	玩家中了本尼的埋伏，但是活了下来。
AAD00100169	玩家识破了骗局。
AAD00100170	玩家进入了幸运38。
AAD00100171	长街的安保机器人升级了。
AAD00100172	豪斯先生的导管被拔了。
AAD00100173	豪斯先生被杀死了。
AAD00100174	玩家拥有凯撒的徽记。
AAD00100175	凯撒痊愈了。
AAD00100176	人们知道玩家杀了凯撒。
AAD00100177	凯撒死在手术台上了。
AAD00100178	凯撒被上尉杀死了。
AAD00100179	玩家升级了安保机器人军队。
AAD00100180	玩家摧毁了安保机器人军队。
AAD00100181	麦卡伦的列车被毁，长街3天都不会有NCR士兵
AAD00100182	麦卡伦的列车被毁，NCR士兵再次开始出现
AAD00100183	玩家从麦卡伦释放了西拉斯
AAD00100184	玩家救下了金博尔总统
AAD00100185	玩家没能杀死金博尔总统
AAD00100186	玩家杀了金博尔总统
AAD00100187	金博尔总统被刺（玩家不是嫌疑犯）
AAD00100188	军士长汉隆死了，叛国罪行未败露
AAD00100189	军士长汉隆死了，叛国罪行败露
AAD00100190	轰鸣恶煞被杀
AAD00100191	恶魔帮大佬被杀
AAD00100192	军团进攻了苦泉营地
AAD00100193	大汗帮加入了军团
AAD00100194	大汗帮和NCR签订了协议
AAD00100195	大汗帮离开了莫哈维
AAD00100196	大汗帮被消灭了
AAD00100197	猫王帮被消灭了 (可能是NCR所为)
AAD00100198	猫王帮与NCR消除了分歧
AAD00100199	据我所知，你并不是我们的人。你想要干什么？
AAD00100200	你想加入猫王帮？
AAD00100201	据说军团的首领死了。太糟了，我还指望有人能收拾这里的NCR呢。
AAD00100202	你听见豪斯先生是怎么"认输"的没有？维加斯就要加入NCR了。自由城离那一天也不远了。
AAD00100203	棒极了，本以为NCR的爪子不会再伸长，谁知一转眼普瑞姆就加入了共和国。
AAD00100204	嘿，这不是猫王的狗吗？
AAD00100205	你好呀，雷克斯，你还好吗？
AAD00100206	我看见你雇的天启追随者医生了。明智之举，自由城人就该帮自由城人...
AAD00100207	你那个朋友是NCR的吗？他看着就像NCR的。
AAD00100208	噫呀，牛仔姑娘！介意我和你的美女朋友聊两句吗？
AAD00100209	呵。这机器人挺不错呀。你是天启追随者的人？
AAD00100210	哇哦，你身边居然跟了一个这么高大的变种人。算了，只要它别惹麻烦就没问题。
AAD00100211	人类与尸鬼和睦相处，这场面真温馨。我们这儿的多数人对他们可是避之不及呢。
AAD00100212	你马子还挺可爱的，可惜不是我中意的类型。我不喜欢太精明的姑娘。
AAD00100213	活见鬼了！你是那个在清泉镇吃了本尼枪子的邮差。你不是应该死了吗？
AAD00100214	我现在真的没心情和别人说话。
AAD00100215	你和大汗帮谈得怎么样了？
AAD00100216	大汗帮的人可以走了，就按商量好的条件。
AAD00100217	感谢你把我的两个人都救了出来。
AAD00100218	很遗憾你没能把两个人质都救出来，但有时候现实就是这样。谢谢你的帮助。
AAD00100219	很遗憾你没能把人质救出来，但有时候现实就是这样。谢谢你的帮助。
AAD00100220	我现在真的没空和你闲聊。
AAD00100221	道斯说他放了个人进来。你最好能给我个理由，不然我就宰了你，再把尸体扔出去。
AAD00100222	你就是科布提起过的那个人。也许你会愿意帮助我们脱离险境。
AAD00100223	我一直在想，既然你对我们好，我们也应该对你好。
AAD00100224	我们这附近的炸药和炸药管够。只要你说话，我们每隔几天就能送一些给你。
AAD00100225	嗨，有人让我给你带个话，虽然你不能算是朋友，但我们一直记着你帮了我们。
AAD00100226	看来咱们应该暂时休战。只要你别太靠近我们的营地，我们可以让你安全通过。
AAD00100227	当然，如果你表现出敌意，那就别怪我们动手了。
AAD00100228	没什么和你说的。
AAD00100229	你他妈到这来干什么？好市民不该在这里出现。
AAD00100230	你该回上面去。
AAD00100231	你好！欢迎来到深红商队公司。有什么能为你效劳的吗？
AAD00100232	希望你不是打算要去长街。.
AAD00100233	嗯……我见过形形色色的人，不过你倒是个异类。你从哪里来，陌生人?
AAD00100234	又是你？滚出去，滑皮肤。
AAD00100235	我……我都干了什么！？妈妈……
AAD00100236	NCR，跟小偷没什么区别。他们什么时候才能不再偷我们的护甲？ ?
AAD00100237	凯撒兵败身死，我已经好久没见过有人能像你今天这样……立下卓越的战功。
AAD00100238	听听那些军团渣滓们仓皇逃回老家时的哀嚎吧……对我来说简直就像天籁。
AAD00100239	说到这个，城堡上的那场烟火秀到底是他妈怎么回事，难道连上帝都被你招来显灵了？漂亮，太他妈漂亮了。
AAD00100240	要是能给我一百个像你这样的士兵，把你们全派到东部去，岂不是能把他们翻个底朝天。
AAD00100241	估计老天爷嫌我的烦心事还不够多，最近我们有一间设施遭到入侵，电力也被截流了。
AAD00100242	你看到长街那座该死的塔了么，就是灯火通明的那座？你肯定看到了。谁都看得到。
AAD00100243	我们的电就是被送到那儿去了，我一定会查出来是谁干的好事。你有什么要报告的？
AAD00100244	你搞清楚黑手党到底在打什么主意了吗？
AAD00100245	一位维加斯的特使，但你依然勇敢地投身战场。这样看来，你与城里那帮懦夫截然不同。
AAD00100246	站在我跟前的这位又是何人……你身上虽然没有狗熊的标志，可你却也做好了与我们决一死战的准备。
AAD00100247	这他娘又唱的哪出。我有种不详的预感，这帮家伙肯定不是来和我们搞联欢的。
AAD00100248	我就知道，黄鼠狼给鸡拜年。下次，见到送信的就直接打死。
AAD00100249	虽然我也认为那些夜行族是烫手的山芋，不过把实验型设备给他们总比杀了他们强。
AAD00100250	通过实验我获得了大量的有效数据，我感觉自己就快要成功了。
AAD00100251	我早就知道这样的简单实验难以在短时间内帮助我们找出有效的治疗手段。但如果莉莉能继续穿着原型机的话…
AAD00100252	你好。欢迎来到西区合作社。我是克莱顿·埃迪尼。如果你有什么不清楚的，尽管问我。
AAD00100253	欢迎回来。需要点什么？
AAD00100254	呃……嗨。
AAD00100255	库克离开了避难所，这真是个好消息，我们不会被他全害死了。.
AAD00100256	库克会把我们全害死。
AAD00100257	莱姆打算找NCR自首，软骨头的废物。
AAD00100258	虽然没听说过炸药帮里还有女的，不过悬赏就是悬赏。NCR不管男女都会照付。
AAD00100259	你好啊！请原谅我的热情。本来我是不习惯见到这么多生面孔的，但我觉得你人不错。
AAD00100260	自从离开家园之后，我就一直在适应地面的生活。
AAD00100261	又见面了，外乡人。
AAD00100262	那些外乡人为什么要自相残杀？为什么他们把我们当机器对待？早知道我们就应该待在安全又平静的避难所里。
AAD00100263	你好，外乡人。
AAD00100264	能和你结识真是太好了。
AAD00100265	很抱歉，我……不是本地的。
AAD00100266	霍洛维茨是我们的领头。
AAD00100267	是你救了我们！谢谢你。
AAD00100268	我听到你跟霍洛维茨说的话了，你为我们做了这么多，真不知道怎么谢谢你。
AAD00100269	希望地面上的每个人都能像你这样。
AAD00100270	我们都欠你一份情。谢谢你，外乡人。
AAD00100271	我想回我们的避难所去。
AAD00100272	地上的世界太可怕了。
AAD00100273	你们为什么要这样对待我们？
AAD00100274	我们要回家了。希望我们的军队也能一起回去。这片土地没救了。
AAD00100275	在这种又热又缺水的地方种庄稼已经够糟了，现在我们在新维加斯以东的农田又受了辐射污染。
AAD00100276	我们受够了。要我说，就让这鬼地方的人去自生自灭吧。
AAD00100277	我有点忙，你有什么事？
AAD00100278	如果你想找克罗克大使，他不在。他已经被革职回家了。
AAD00100279	我想上级可能对他在部分事务上的做法有些不满。可惜了，他人还挺不错的。
AAD00100280	别在长街惹是非，士兵。
AAD00100281	你就是大闹九重天的那个家伙吧？
AAD00100282	你肯定是跟豪斯签了什么特别协议，不然你闯了那么大的祸，怎么可能安然无恙。
AAD00100283	妈的，你是来调查铁路被炸毁的事的吗？这他妈到底是怎么回事？
AAD00100284	还好我一直在长街，这里很安全。
AAD00100285	别惹麻烦，先生。你有什么事？
AAD00100286	别错过《寂寞流浪汉》，王牌剧场正在上演！
AAD00100287	歌声惆怅寂寥，所有异性观众听了都会为和你同房而互不相让——我敢打包票！
AAD00100288	想跟着节拍摇摆吗？别错过《布鲁斯·艾萨克》，王牌剧场正在上演！
AAD00100289	NCR能涌现出你这样的英雄，真是太好了。我能为你做些什么，朋友？
AAD00100290	我敢打赌，能带着武器在长街转悠，那感觉肯定很棒。
AAD00100291	该死的豪斯先生禁止NCR的军事人员携带任何武器进入长街。呃，除了帕帕斯队长。
AAD00100292	豪斯先生还是不信任NCR。给你个建议：那些电子保安可不是摆设，千万别干傻事。
AAD00100293	你是第一次来长街吗？
AAD00100294	你好。需要什么？
AAD00100295	你想要什么？
AAD00100296	别跟我说话，菜鸟！
AAD00100297	他们都死了。那个家伙肯定在身上绑了炸药，一下把这里全炸开了花。
AAD00100298	祝贺你，菜鸟。你帮我省了不少事。我还是要感谢你的。
AAD00100299	我刚还在和格罗利亚说你的表现呢。第一天就吃了不少苦头啊？
AAD00100300	真是百闻不如一见啊，罗撒香·盖西迪。凋谢的罗撒香·盖西迪。我本以为会在商队的尸体堆里见到你，但……
AAD00100301	深红商队和范·格拉夫家族不必再担心你了，莫哈维是我们的，今天就是你的死期。
AAD00100302	啊，真是巧了，我们刚才还聊到你了。
AAD00100303	迄今为止我妹妹对你的印象都不错，但我却相反。我觉得你缺少一种为我们家族工作所需要的品质。
AAD00100304	不过你很走运，我打算给你一个机会来证明自己。你怎么说？想不想赚点正经钱？
AAD00100305	哎呀，看来你还是走到这一步了。她长得挺俊的，不是么？可惜了……
AAD00100306	深红商队和范·格拉夫家族不必再担心你了，莫哈维是我们的，今天就是你的死期。
AAD00100307	我不理解，这台机器能本该治好凯撒的。是你干的——你手上沾满了他的血。
AAD00100308	作为一名外人，能够得到凯撒的接见，真是莫大的荣幸啊。
AAD00100309	你已经证明了你是军团真正的朋友。莫哈维有座安全屋是专为我们的特工准备的，这是钥匙。
AAD00100310	你可以在那里放心休息，存放多余的装备。另外，阿提卡斯，我们的一位老兵，每隔几天就会去那里一趟。
AAD00100311	他去的时候，你可以在他那里获取执行隐秘行动所需要的物资。
AAD00100312	你的那只机械狗，是从哪搞来的？
AAD00100313	终于有个女人证明自己的价值了。凯撒敢把自己的性命交到你手里，也真是胆大。
AAD00100314	伟大的凯撒始终注视着你。他感谢你一直以来尽忠职守，因而决定将他的徽记赐予你作为赠礼。
AAD00100315	我的主人想请你去他在堡垒山的营地一叙。他的徽记将确保你在我们的领地内畅通无阻。
AAD00100316	伟大的凯撒一直在注视着你。他很赞赏你所取得的成就，因而决定将他的徽记赐予你作为赠礼。
AAD00100317	你对军团犯下的所有罪行都将在此被宽恕。凯撒的仁慈只会展现一次。
AAD00100318	我的主人想请你去他在堡垒山的营地一叙。他的徽记将确保你在我们的领地内畅通无阻。
AAD00100319	你可以走了。
AAD00100320	咱们动身吧，还有一场胜利在等着我们呢。
AAD00100321	要是我知道莫雷诺会做这种事，肯定会提醒你的。事情闹到这一步真的很抱歉。
AAD00100322	不知道帮助军团是不是正确的选择。不过我会服从命令的。
AAD00100323	别抬头——附近可能有狙击手。
AAD00100324	我们会盯着你的……陌生人！
AAD00100325	别去挑逗笼子里的那些野兽。
AAD00100326	遵守荆棘街的规矩。
AAD00100327	别喂那些动物。
AAD00100328	你在别处是绝对找不到荆棘街这样的地方的。
AAD00100329	记住：别破坏规矩。否则我们就要你的命。
AAD00100330	是来观战的，还是来找血手露西的？
AAD00100331	好好欣赏表演，别给我们开枪的理由，好吗？
AAD00100332	请注意, NCR总统亚伦·金博尔在胡佛水坝遭暴徒袭击后不幸身亡。
AAD00100333	长街各家鸡尾酒沙龙皆可供诸位伤心人共寄哀思。
AAD00100334	感谢你救出了副警长。虽然也没什么好谢的。
AAD00100335	感谢你救出了副警长比格尔。有他总比没有强。也许吧。
AAD00100336	听说你正在帮普瑞姆物色新警长。真是非常感谢你的好意。
AAD00100337	你会给普瑞姆找个新执法官？我只能说眼见才为实。
AAD00100338	感谢你让NCR来管理城镇，陌生人。普瑞姆的情况终于开始好转了。
AAD00100339	托你的福，现在无论我想干点什么事，都会有一堆士兵盯着我，而我还得为这个特权缴税！
AAD00100340	你带回来的这个新警长迈尔斯是个刚正不阿的执法官。普瑞姆的情况开始好转了，陌生人。
AAD00100341	谢谢你说服迈尔斯来给我们担任警长。这么久以来，我第一次有了安全感。
AAD00100342	你回来了。需要医疗服务吗？
AAD00100343	如果你要买东西，杂货店的切特能帮上你。
AAD00100344	希望你不会因为杀了乔·科布而给清泉镇带来麻烦。
AAD00100345	他的朋友可能会来找他，依我之见，他们可不会在乎这儿的人与他的死究竟有没有关系。
AAD00100346	好吧，反正木已成舟。那么，呃，你想要点什么？
AAD00100347	现在不做生意！有枪战！ !
AAD00100348	谢谢你！
AAD00100349	我们好好教训了他们一顿。
AAD00100350	报仇的感觉真好。
AAD00100351	这些混蛋活该。
AAD00100352	这一刻终于来了。军团剩下的人最好都小心点。
AAD00100353	只有几小时睡眠时间，还要保持清醒放哨，太难受了。我真的希望我们有时间休息。
AAD00100354	我的天！你听说凯撒已经死了吗？也许我们现在有翻身的机会了。
AAD00100355	军团正在折磨纳尔逊被俘的士兵。我宁愿战死也不想被俘。
AAD00100356	真不知道该怎么在这里和胡佛水坝挡住军团，我们人手真的不够。
AAD00100357	听说列兵斯通在偷医疗用品时被抓了个正着。我一直都很讨厌那家伙。
AAD00100358	好消息是没有一枚火箭在诺瓦克坠毁。
AAD00100359	布恩怎么把游骑兵安迪给杀了。
AAD00100360	麦克布莱德家的人总觉得有什么神秘生物在袭击他们家的双头牛。肯定是镇上的人干的。
AAD00100361	你离开以后周边都还算太平。恶魔帮都被吓跑了。我猜他们得有一段时间不敢露面了。
AAD00100362	我再没有其他悬赏任务可以给你了。自从你上次向我报告之后，一切都很太平。我就喜欢这样。
AAD00100363	我听说你干掉了球杆尼法。虽然我的手下很想亲自给他来一枪……不过我们还是很高兴他已经死了。
AAD00100364	你弄、弄死了恶魔帮的杂碎？操，就是这样！也该、该是时候了！
AAD00100365	操、操了。我一下都没打中尼法那个混、混、混蛋。
AAD00100366	就是这样，恶魔帮的杂碎们！这才是真正的复仇！第一侦察营，万岁！
AAD00100367	真是白跑一趟。我还以为能给那个杂碎来一枪呢。
AAD00100368	我已经去见过宇佐木了，情况好些了。其实我也不爱老发脾气，你懂吗？此外，呃，我以后再也不会对营地里的女性下手了。
AAD00100369	嗯，当然不是绝对。.
AAD00100370	三两下就把那个恶魔帮的杂碎干掉了。干得漂亮。
AAD00100371	真希望是我一枪崩了那个恶魔帮的杂碎……
AAD00100372	我以前从来没失去过长官。这真让人不舒服。
AAD00100373	封锁解除了！巡逻队又要出发啦！你知道这意味着什么吗？我终于可以真刀真枪地干一场啦！
AAD00100374	不知道在外面都会碰到些什么？掠夺者？辐射蝎？还是死亡爪？噢，我都等不及啦。对了，你有什么事？
AAD00100375	嘿，原来哈丁是仰仗你才当上长老的啊？干得好。现在只要封锁一解除，我就有机会来一次实战了！
AAD00100376	不知道在外面都会碰到些什么？掠夺者？辐射蝎？还是死亡爪？噢，我都等不及啦。对了，什么事？
AAD00100377	嗯？
AAD00100378	听好了。我负责这里的安保工作，有个外来者在附近晃来晃去的我可高兴不起来。
AAD00100379	不过既然你是和维罗尼卡一起来的，我可以对你稍微网开一面。管好你自己，这样大家都轻松，明白吗？
AAD00100380	噢，还有，长老想和你谈谈。他在二层。你下楼梯后右转就到。
AAD00100381	如果你有什么需要找我的，我的办公室就在这儿。说找拉莫斯就行。
AAD00100382	你的出现……只能说非常地不寻常。
AAD00100383	外来者甚至都不可能知道我们的地堡在这儿，更别说来去自如了。
AAD00100384	显然你让麦克纳马拉长老印象深刻啊。他肯定是觉得你会派上大用场。
AAD00100385	嘘。我好像听见门口有动静。
AAD00100386	炸药帮的杂碎！快投降！否则格杀勿论！
AAD00100387	你以为靠偷袭就能干得了我吗，炸药帮的贱狗？
AAD00100388	真不敢相信哈丁现在居然成了长老。但至少解除封锁以后我的货源更广了。那么，你想买点什么？
AAD00100389	你好，你肯定就是那个大家都在谈论的外来者吧。我是琳达·舒勒。如果你需要医护，可以随时来找我。
AAD00100390	嘿，陌生人！你去哪了，嗯？我想你了！
AAD00100391	哎呀！这不是我们的避难所探险家么！欢迎回来。
AAD00100392	哎呀！这不是我们的避难所探险家么！欢迎回来。
AAD00100393	你在这干什么？！我不想再见到你！走开，走开……快走开，行不行？！
AAD00100394	守规矩，别让我把你轰出去。
AAD00100395	哇哦……我还真没见过有谁能进入幸运38的。
AAD00100396	不用理我。我就路过。
AAD00100397	我打赌你进入幸运38的事很快就会传开。
AAD00100398	我的哥们都说从来没有人进过幸运38。
AAD00100399	嘿，性感美人，等会来九重天吧。我很想听听你的故事。
AAD00100400	我们没什么好谈的。
AAD00100401	嗨呀，瞧啊！原来你不是炸药帮的人。我建议你平时在镇上还是不要穿着这身衣服了，你可能会莫名挨枪子的。
AAD00100402	我想你不是来这儿救我的吧？
AAD00100403	这是什么？
AAD00100404	如果对于我是否应该离开还有什么疑问，我想这就是我的答案。
AAD00100405	看吧？相当过瘾，对吧？你只要做过第一次就会想做第二次。
