DLC20000001	问好
DLC20000059	天气不错。
DLC20000060	你好。
DLC20000061	嗨！
DLC20000062	是时候了吗？所有的人都安全抵达了吗？我们必须出发了！
DLC20000063	呃……很抱歉，礼数可能不周，但你是怎么来的？你来自莫哈维？
DLC20000064	请帮我个忙，去跟约书亚谈谈，好吗？
DLC20000065	死马部落已经把你的商队遭到袭击的事情告诉我了。尽管一个来自陌生人的同情可能算不了什么，但我觉得多少还是需要表示一下。我为你感到抱歉。
DLC20000066	悲恸部落也会缅怀你的朋友们。他们会缅怀任何人，也包括白腿部落。他们的灵魂很敏感，容易受到伤害。如果用一个词来形容的话，那就是既天真又纯洁。
DLC20000067	不论发生了什么，我希望我和约书亚能尽快帮你离开这里。但真诚地讲，我们也需要你的帮助。
DLC20000068	我很高兴你一直跟我们在一起。我能帮你做什么？
DLC20000069	你好，外来者。
DLC20000070	你好。
DLC20000071	我认识你。怎么了？
DLC20000072	聪明的人知道什么时候该闭嘴。你最好放聪明点。
DLC20000073	这么个小东西，不是吗？但能力又如此巨大。如此珍贵。
DLC20000074	数十年间，我雇人在西边一个叫“阳光谷”的地方的废墟中寻找这个小小的遗物。不过那都是过去了。
DLC20000075	2077年10月22日，芯片在那里印制出来。它应该在次日被送到在“幸运38”赌场的我手中。
DLC20000076	但是核弹先掉了下来。简而言之，东西从来没送到。
DLC20000077	玩家扔手雷
DLC20000078	扔雷啦！
DLC20000079	注意手雷！
DLC20000080	守雷！
DLC20000081	炸蛋！
DLC20000082	尼玛死！
DLC20000083	巴布！
DLC20000084	科林多！
DLC20000085	格纳胡！
DLC20000086	德哈瑞都！
DLC20000087	别磕枪！
DLC20000088	小心。这些土著可不认识这些玩意。
DLC20000089	注意。别把这玩意丢得满锡安都是。
DLC20000090	啊德塔嘿，巴布，呀？
DLC20000091	啊比和呢弗加德利该！嘿嘿！
DLC20000092	科寇萨丝提那？
DLC20000093	破科塔图碰哇丝提？
DLC20000094	你不是第一个来试的。
DLC20000095	一击必中，没有第二次机会。
DLC20000096	别拿舞气纸着我！
DLC20000097	苏百塔，萨斯。
DLC20000098	弄赛格特步达啊嘿基嘎尼啊密尔。
DLC20000099	请拔炸样。
DLC20000100	卖闹厄拉胡啊卡图。
DLC20000101	巴结卡拉胡。
DLC20000102	攻击
DLC20000103	够不够？
DLC20000104	来吧！
DLC20000105	你喜欢这样？
DLC20000106	接招！
DLC20000107	死吧！
DLC20000108	去见上帝吧！
DLC20000109	啊捏呀喂乌求！
DLC20000110	受史！
DLC20000111	你史定了！
DLC20000112	那啊十尼维特迪尔！
DLC20000113	斯泰尔布!
DLC20000114	格兰布尼卡密尔达哈？！
DLC20000115	啊磕一！
DLC20000116	}土闹丝提！
DLC20000117	维卡木耳那！
DLC20000118	这货归我了！
DLC20000119	耶！
DLC20000120	我应付得来！
DLC20000121	看到你了！
DLC20000122	哈！
DLC20000123	点击
DLC20000124	喝啊！
DLC20000125	呃！
DLC20000126	哦！
DLC20000127	啊！
DLC20000128	噢！
DLC20000129	靠！
DLC20000130	我被打了！
DLC20000131	<咕哝声>
DLC20000132	<咕哝声>
DLC20000133	<咕哝声>
DLC20000134	<咕哝声>
DLC20000135	<咕哝声>
DLC20000136	<咕哝声>
DLC20000137	呃！
DLC20000138	呃！
DLC20000139	呃！
DLC20000140	呃！
DLC20000141	呃！
DLC20000142	呃！
DLC20000143	逃跑
DLC20000144	我要离开这儿！
DLC20000145	完了！
DLC20000146	救命啊！
DLC20000147	闹玛塔那米！
DLC20000148	米闹卡德莫威尔那！
DLC20000149	米闹卡德阿克！
DLC20000150	太可怕了！
DLC20000151	我们完了！
DLC20000152	他们太强了！
DLC20000153	快不行了！
DLC20000154	我们赢不了！
DLC20000155	偷窃
DLC20000156	这不是你的东西！
DLC20000157	你不能就这么拿走了！
DLC20000158	小偷！
DLC20000159	我们本来很宽容，可你简直就是在挑战我们的底线！
DLC20000160	看看你都干了什么。
DLC20000161	不！斯太楞塔巴马呃。
DLC20000162	贝哈哦尼克特！
DLC20000163	坡尼多拉瓦特巴！
DLC20000164	卡图！碰哇德虐吾！
DLC20000165	哇德沙佛土巴也戈啊拉瓦特巴。
DLC20000166	呃……你不说我怎么知道你想要？你说了我肯定给你。
DLC20000167	这……这难道是某种我没见过的文明礼仪？
DLC20000168	偷窃这种行为，难道在你来的地方一点也不可耻吗？
DLC20000169	你真的那么需要钱吗？
DLC20000170	最好别再试了。
DLC20000171	这点小计俩也就在莫哈维可以胡闹，但这来纯粹是送死。
DLC20000172	麦库。
DLC20000173	拉。
DLC20000174	帕兹帕塔搜巴。
DLC20000175	突击
DLC20000176	我操？！
DLC20000177	怎么回事？
DLC20000178	你个胆小鬼！
DLC20000179	<低声咆哮>
DLC20000180	准备受死！
DLC20000181	为神摸？别！
DLC20000182	啊！
DLC20000183	啊玉德米！
DLC20000184	哇沟普米！
DLC20000185	哇阿塔寇米！
DLC20000186	杀人犯
DLC20000187	不！
DLC20000188	凶手！
DLC20000189	你都干了些什么啊？
DLC20000190	够了！
DLC20000191	<愤怒>
DLC20000192	恶魔！
DLC20000193	给比特啊！
DLC20000194	亲爹！
DLC20000195	卡图玛塔那伍德！
DLC20000196	阿斯科！
DLC20000197	诺阿！阿斯科诺阿！
DLC20000198	哇！真有必要吗？
DLC20000199	你脑子坏了吗？
DLC20000200	你这是中什么邪了？
DLC20000201	你是不是头脑发热？我有些药膏……可以帮你治一下。
DLC20000202	
DLC20000203	
DLC20000204	
DLC20000205	
DLC20000206	咳啊！
DLC20000207	呀戈！
DLC20000208	呃啊啊啊啊！
DLC20000209	呼呼呼哈！
DLC20000210	
DLC20000211	
DLC20000212	
DLC20000213	
DLC20000214	<紧张地咕哝>
DLC20000215	<紧张地咕哝>
DLC20000216	<紧张地咕哝>
DLC20000217	<紧张地咕哝>
DLC20000218	呃！
DLC20000219	呃！
DLC20000220	呃！
DLC20000221	死得真冤。
DLC20000222	本可以避免的。
DLC20000223	达唔巴。
DLC20000224	哦哇！
DLC20000225	坡维代撒佛土巴……
DLC20000226	挖诺拜诺坡卡图斯。
DLC20000227	哇木耳呐耶维卡多哇卡德。
DLC20000228	提醒我别让你发疯。
DLC20000229	这肯定要发生的，对吧？
DLC20000230	我不喜欢你处理问题的方式。
DLC20000231	真是遗憾。
DLC20000232	趴下！
DLC20000233	来了！
DLC20000234	趴下！
DLC20000235	趴下！
DLC20000236	截招！
DLC20000237	难烧蛋！
DLC20000238	}纳斯特迪斯！
DLC20000239	扣巴布！
DLC20000240	因非尔诺阿克！
DLC20000241	涂诺格纳后！
DLC20000242	闪开！
DLC20000243	要爆了！
DLC20000244	手雷！
DLC20000245	注意！
DLC20000246	我操！
DLC20000247	注意！
DLC20000248	隐蔽！
DLC20000249	小心！
DLC20000250	拜塔！
DLC20000251	操！
DLC20000252	晒死！
DLC20000253	呃哈！
DLC20000254	崔大路！
DLC20000255	卡图米拉那！
DLC20000256	小心！
DLC20000257	抬头！
DLC20000258	注意！
DLC20000259	危险！
DLC20000260	alarmed！
DLC20000261	战斗开始
DLC20000262	在这儿！
DLC20000263	就是这样！
DLC20000264	够了！
DLC20000265	前进！
DLC20000266	要迪亚普！
DLC20000267	贝卡迪姆斯！
DLC20000268	尼昆帕！
DLC20000269	尼阿图特！
DLC20000270	贾斯该！
DLC20000271	啊塔杰杰！
DLC20000272	维卡敦姆！
DLC20000273	哇！咱们走！
DLC20000274	来吧！
DLC20000275	你逼我的！
DLC20000276	我一定会战斗到死！
DLC20000277	死亡
DLC20000278	啊！
DLC20000279	呃！
DLC20000280	呃啊~~~！
DLC20000281	啊！
DLC20000282	啊！
DLC20000283	啊！
DLC20000284	你自己心里清楚我找到你的后果！
DLC20000285	继续前进。
DLC20000286	你最好从这里离开.
DLC20000287	卡图诺卡得阿克。
DLC20000288	姆巴，撒嘎色。
DLC20000289	我看到你了。
DLC20000290	抓住他们！
DLC20000291	找到他们了！
DLC20000292	他们在这！
DLC20000293	他们在这！
DLC20000294	现在，你完蛋了。
DLC20000295	你准备受死吧。
DLC20000296	你的路到此为止了。
DLC20000297	搜哈！
DLC20000298	式分德德！
DLC20000299	{"Come here!")哈够！
DLC20000300	搜哈！
DLC20000301	式分德德！
DLC20000302	{"Come here!")哈够！
DLC20000303	啊耶卡图！
DLC20000304	米萨拉洛艾斯提！
DLC20000305	浩拉杜！
DLC20000306	那是什么？
DLC20000307	啊玛尼卢克。
DLC20000308	啊赫尔苏宁。
DLC20000309	哈该？
DLC20000310	嘘！你听到什么了吗？
DLC20000311	我想我看见……
DLC20000312	睁大眼睛。
DLC20000313	耳朵放尖点。
DLC20000314	啊？
DLC20000315	什么？
DLC20000316	嗯。
DLC20000317	易迪特哦特瓦斯。
DLC20000318	瓦斯？
DLC20000319	尼式呃。
DLC20000320	嗯？
DLC20000321	哇奥格斯页？
DLC20000322	可易思提那？
DLC20000323	我猜其实没什么。
DLC20000324	有点太紧张了。
DLC20000325	什么也没。
DLC20000326	这会儿安全了。
DLC20000327	别介意。我错了。
DLC20000328	估计走了。
DLC20000329	唔。没什么。
DLC20000330	额，我还是睡觉吧。
DLC20000331	嗯，尼该赫尼姆。
DLC20000332	该还外。
DLC20000333	嗯。
DLC20000334	嗯，尼克斯。
DLC20000335	给刚。
DLC20000336	嗯。
DLC20000337	米苏呢拿？
DLC20000338	哇那那，米苏朋够。
DLC20000339	斯粗出那那，米苏朋够。
DLC20000340	呸。终于结束了。
DLC20000341	干得好。
DLC20000342	在一个好上司下头干活整天就是这些啊。
DLC20000343	搞定。
DLC20000344	白卡古德，夫人！
DLC20000345	啊桑海提达！
DLC20000346	萨南德杰布！
DLC20000347	古特克尔，啊伊斯。
DLC20000348	式扎呢后他！
DLC20000349	古特纳尼斯。
DLC20000350	斯，科瑞都！
DLC20000351	寇巴呃。哇佛突吧米诺玛塔那卡图。
DLC20000352	斯，米摩加可塔图。
DLC20000353	好吧，没事了现在。
DLC20000354	他们根本就没机会。
DLC20000355	真是一团乱。
DLC20000356	我们走吧，我不想再呆在这了。
DLC20000357	你去哪了？
DLC20000358	快躲起来。
DLC20000359	跑啊，看你在石头里怎么躲。
DLC20000360	躲？我会找到你的。
DLC20000361	哇呦够？
DLC20000362	该嗨外！
DLC20000363	艾多那斯何！
DLC20000364	页那德洛式！
DLC20000365	古斯特发尔式伍德！
DLC20000366	发尔弗里克！
DLC20000367	啊东帕塔嗖巴？
DLC20000368	卡图威呃路赤！
DLC20000369	寇巴呃！德哈科林多！
DLC20000370	嘿！他们去哪了？
DLC20000371	不见了！
DLC20000372	我找不到他们！
DLC20000373	他们在哪？
DLC20000374	我猜她走了。
DLC20000375	我猜他走了。
DLC20000376	看起来他们走了。
DLC20000377	只是个时间问题。
DLC20000378	快没时间了。
DLC20000379	尽快躲起来。
DLC20000380	呃诺。
DLC20000381	阿诺斯该黑尼姆。
DLC20000382	啊门特卡路克。
DLC20000383	哟易拆。
DLC20000384	啥信尼克。
DLC20000385	信啊发尔提格组克。
DLC20000386	巴斯特沃。乌斯帕斯。
DLC20000387	米佩迪罗阿达斯。
DLC20000388	哇啊天都？乌斯帕撒。
DLC20000389	他们已经走了。吓死我们了。
DLC20000390	我想他们不会回来了。
DLC20000391	他们走了。或许我们不必杀死他们了。
DLC20000392	我想我们的敌人已经跑了。
DLC20000393	你在这！
DLC20000394	快结束吧！
DLC20000395	审判你！
DLC20000396	时候到了。
DLC20000397	尼克若，哟！
DLC20000398	塔诺！
DLC20000399	德呀哟，麦库！
DLC20000400	诺，尼看你如！
DLC20000401	达易特！
DLC20000402	尼啊图特！
DLC20000403	迪斯库布卡图！
DLC20000404	阿克页维！
DLC20000405	伊斯瓦啊德拉卡图！
DLC20000406	看到你了！
DLC20000407	你能跑得出我的手心？
DLC20000408	看到你了！
DLC20000409	我找到他们了！
DLC20000410	谁在那？
DLC20000411	嗯……
DLC20000412	我还没放弃呢。
DLC20000413	保持警惕。
DLC20000414	我还在找你呢，别担心。
DLC20000415	谁？
DLC20000416	别以为藏起来了我就找不到你。
DLC20000417	躲得了一时，躲不了一世。
DLC20000418	啊丝提别尼克因。
DLC20000419	哈嘎乃哟？
DLC20000420	啊哟嘿丝提？
DLC20000421	信祖克塔提……
DLC20000422	沃你啊？
DLC20000423	尼阿赫尔？
DLC20000424	克伊斯提那？
DLC20000425	米伊斯出阿格那？
DLC20000426	克瑞多伊斯提那？
DLC20000427	我一定会找到你的。
DLC20000428	我还是可以闻到你的。
DLC20000429	放弃了？聪明。
DLC20000430	走了。没关系。我会找到你。
DLC20000431	啊那那嘎哟。
DLC20000432	麦比哟该海哇？
DLC20000433	哈嘎奈哟？
DLC20000434	伊斯特啊。
DLC20000435	达特尼啊葛顾。
DLC20000436	沃尼啊？
DLC20000437	卡图诺维德米！
DLC20000438	米欧尔福卡图！
DLC20000439	米瓦啊迪斯柯布卡图。
DLC20000440	还在找，但什么也没找到。
DLC20000441	还是什么都没有。
DLC20000442	你看见他们了吗？
DLC20000443	他们在哪？
DLC20000444	伊斯提诺路赤米拉！
DLC20000445	米诺卡德帕图易思提。
DLC20000446	你好。我的名字叫杰·马斯特森，我是“欢乐小径”商队公司的老板。
DLC20000447	如果你正在听这条广播，我可以告诉你，我们向你提出一份工作邀请。“欢乐小径”商队正在组织一次前往犹他的远征，我们将沿着15号国道前进，现在正在征集人手。
DLC20000448	我们正在寻找商队守卫、登山老手，以及向导。如果你有任何一方面的才能，请及时和我们联系，我们需要你这样的人才。
DLC20000449	如果你有哔哔小子，那再好不过了。
DLC20000450	相反，如果你只是个涉世未深的毛头小子或街头混混，那就找个墙角自己撞上去吧。
DLC20000451	如果你的进取心能让我们满意，那么我们将给予你丰富的报酬和奖励。好了，如果你感兴趣的话，请到北部通道来找我。祝你好运。
DLC20000452	他们杀了他！
DLC20000453	他们杀了她！
DLC20000454	注意！
DLC20000455	我们干掉他们了！
DLC20000456	从旁边包抄他们！
DLC20000457	自掘坟墓！
DLC20000458	不能让他白白死掉。
DLC20000459	哟穆德麦海及！
DLC20000460	不！奈特哟！
DLC20000461	如特奈特，啊伊斯。
DLC20000462	不！尼克尼！
DLC20000463	诺阿！优穆尔那！
DLC20000464	伍德玛塔那米斯！
DLC20000465	约书亚可不喜欢这样……
DLC20000466	嘿！我还不想死啊！
DLC20000467	暴力通常都是这样的结局……
DLC20000468	我希望我能有机会救你。
DLC20000469	在这等着。
DLC20000470	当然，好的。在后面待着可不是我的作风。
DLC20000471	如你所愿。我会等你的，但请别让我等太久。
DLC20000472	抱歉，本不该这样的。
DLC20000473	我们交易装备吧。
DLC20000474	好，来交易吧。
DLC20000475	如果我有什么东西能给你帮助，请随便拿。我希望你也这么对我。
DLC20000476	不用谢。
DLC20000477	战术讨论得已经足够了。
DLC20000478	我该怎么做？
DLC20000479	我会尽我所能满足你的要求。
DLC20000480	还有什么要说的？
DLC20000481	和他们保持距离。不妨从侧面攻击他们。
DLC20000482	当然……你会给我留一些白灰标记，是吧？
DLC20000483	我会给你留出充足的空间。
DLC20000484	请便。
DLC20000485	很好，让我们离开这儿吧。
DLC20000486	你带路，我跟着。
DLC20000487	好，走吧。
DLC20000488	我跟你后面。
DLC20000489	你的距离不错。让我们谈谈其他事。
DLC20000490	我需要怎么做？
DLC20000491	你还想谈什么吗？
DLC20000492	还有什么吗？
DLC20000493	离我近一点。
DLC20000494	好极了，距离太远的话小心把我丢了。
DLC20000495	我尽量跟在你身边。
DLC20000496	我就在你旁边。
DLC20000497	贴紧我。
DLC20000498	让我们来谈谈你干嘛跟我跟得这么紧。
DLC20000499	告诉我该去什么地方就行。
DLC20000500	你要我跟你多远？
DLC20000501	随你喜欢，我无所谓。
DLC20000502	我希望你用远程攻击武器。
DLC20000503	不管怎么说，保持距离不会太坏。
DLC20000504	这有点浪费我的能力，不过我还是会照你说的做。
DLC20000505	好的。
DLC20000506	改用近身武器。
DLC20000507	近战？好吧，希望他们没枪。
DLC20000508	我想他们一定会好好享受我的铁拳的。
DLC20000509	好的。你怎么说我怎么做。
DLC20000510	让我们谈点别的。
DLC20000511	我该做什么？
DLC20000512	这样的战术就可以了。我们来谈点别的吧。
DLC20000513	你在想什么呢？
DLC20000514	这样的战术就可以了。我们来谈点别的吧。
DLC20000515	还有什么吗？
DLC20000516	这样的战术就可以了。我们来谈点别的吧。
DLC20000517	就这样。我们走吧。
DLC20000518	你带路，我跟着。
DLC20000519	我会跟着你的。
DLC20000520	好的。
DLC20000521	我想让你改变战斗方式。
DLC20000522	变成什么方式？
DLC20000523	那我以什么方式战斗？
DLC20000524	哦？
DLC20000525	我们谈谈你的战术吧。
DLC20000526	战术？你知道这我可不是特别擅长。
DLC20000527	战斗不是我的强项，但我非常渴望学习。
DLC20000528	你可以教我什么吗？
DLC20000529	我们走吧。
DLC20000530	我就跟在你身后。
DLC20000531	好的，我会跟紧的。
DLC20000532	现在该分开了。
DLC20000533	你确定？没有向导的话你会很容易迷路的。
DLC20000534	回到你们的营地那里去。
DLC20000535	丹尼尔希望我跟着你。你确定？
DLC20000536	回到你们的营地那里去。
DLC20000537	哈哈哈，我可不这么想。
DLC20000538	我们应该一起旅行。
DLC20000539	约书亚说我该跟你一起。我们走吧！
DLC20000540	我希望你能跟我一起旅行。
DLC20000541	我很高兴能做你的向导。我们走吧。
DLC20000542	我希望你能跟我一起旅行。
DLC20000543	道路就在不远的前方。我们抓紧时间吧。
DLC20000544	上帝保佑！
DLC20000545	主啊，请保佑我！
DLC20000546	为了上帝与自由！
DLC20000547	德呀哟，恶魔！
DLC20000548	维斯跑！
DLC20000549	尼库帕米！
DLC20000550	摩米维德路赤！
DLC20000551	梅斯路赤阿赫拉！
DLC20000552	米德瑞特卡图！
DLC20000553	史泰比，亲爹！
DLC20000554	苏尔特也！
DLC20000555	达啊黑密尔！
DLC20000556	来吧！
DLC20000557	这个人是我的！
DLC20000558	我帮你。
DLC20000559	我们走！
DLC20000560	为了悲恸部落！
DLC20000561	呀！
DLC20000562	我考虑了一下，你还是留下来吧。
DLC20000563	很高兴听到你这么说。我可不想一个人回到约书亚那里去。
DLC20000564	好的。丹尼尔的决定很聪明。你也不赖，至少还知道尊重他们。
DLC20000565	好极了，因为我本来就没打算走。
DLC20000566	是的，我很肯定。
DLC20000567	好。不过我恐怕约书亚会不高兴的。
DLC20000568	如果你这么希望，那好，我尊重你的想法。我会在悲恸部落等你回来的。
DLC20000569	我哪儿也不去。赶快把你那个鬼想法从脑子里赶出去。
DLC20000570	知道了。
DLC20000571	如你所愿。
DLC20000572	好的，当然。
DLC20000573	除非我已经和敌人交火，否则不要发动攻击。
DLC20000574	现在你越来越像个猎手了！我很欣赏你的计划。
DLC20000575	听起来不错。你先挑目标好了。
DLC20000576	你什么意思？
DLC20000577	我要你在看到敌人那一刻就攻击他们。
DLC20000578	你的口气听起来就像以前的约书亚。好的，明白。
DLC20000579	还有更好的选择吗？唉，总感觉不是很舒服。
DLC20000580	这正是我所喜欢的方式。
DLC20000581	我们在贝比龙河畔坐下，当回想起锡安时，我们哭了。
DLC20000582	记住，大人，安东之子在杰瑞萨姆之日曾说过，“毁灭吧，毁灭吧，连那根基一同毁灭吧！”
DLC20000583	贝比龙之女，被摧毁得一干二净。他应当为曾服侍过我们而欢愉。
DLC20000584	他应当为那反抗岩石的小生物儿欢愉。
DLC20000585	你知道这是什么意思吗？
DLC20000586	如果我倒下了……请告诉约书亚……我尽力了。
DLC20000587	看来我要拥抱无尽的黑暗了……
DLC20000588	对不起……我让你失望了……
DLC20000589	如果我死了，任何药物都不再起作用了……请帮助我！
DLC20000590	我的孩子，我不会抛下你们的！
DLC20000591	如果我倒下了……请拯救悲恸部落……
DLC20000592	请给我点帮助！
DLC20000593	这样下去我支撑不了多久！
DLC20000594	我可以用点备用品吗？治疗针或其他什么的？
DLC20000595	我的伤口正在恶化！
DLC20000596	再这样下去我坚持不了多久了！
DLC20000597	我需要医疗粉！
DLC20000598	唤醒
DLC20000599	虽然我醒了，但一点儿也不开心。
DLC20000600	我的头好疼。至少我还活着。
DLC20000601	一场大战之后现在感觉浑身无力。
DLC20000602	嘿，看，我还活着！
DLC20000603	好的，好的，我起来了。下一步怎么办？
DLC20000604	他们砍我就像切菜！
DLC20000605	这护甲没用了！
DLC20000606	我已经保护不了我自己了！
DLC20000607	我需要更强悍的护甲！
DLC20000608	我已经没法战斗了！
DLC20000609	你确定这个武器还能用？
DLC20000610	我的攻击毫无效果！
DLC20000611	拳头打在他们身上就跟弹了一根羽毛似的！
DLC20000612	赶快给我点新武器！
DLC20000613	没子弹了！
DLC20000614	我没弹药了！
DLC20000615	我没子弹了！
DLC20000616	我需要弹药！
DLC20000617	我的枪要空了！
DLC20000618	那儿……好了，感觉好点了。
DLC20000619	这药太有效了！
DLC20000620	效果比我预期的还好！
DLC20000621	要是这玩意再多点我一定会分享给我的部落的。
DLC20000622	残废
DLC20000623	啊！我需要治疗！
DLC20000624	赶快来帮帮我！
DLC20000625	我恐怕快不行了……
DLC20000626	好疼啊！我需要帮助！
DLC20000627	正在恢复
DLC20000628	完好如初了！
DLC20000629	一切正常！
DLC20000630	估计还能再撑一会了。
DLC20000631	感觉好多了。
DLC20000632	我已经没事了。
DLC20000633	中毒
DLC20000634	感觉好像中毒了！
DLC20000635	我有些不舒服……
DLC20000636	我中毒了！
DLC20000637	快帮我把毒吸出来！
DLC20000638	我得弄点辐射蝎毒囊或者夜枭血来以毒攻毒。
DLC20000639	对你来说我就是头老牛，是不是？快走吧。
DLC20000640	我们还是慢慢地走比较好。
DLC20000641	我们就像阴影下的幽灵。
DLC20000642	我们就像洒在寂静水面上的月光。
DLC20000643	是的。
DLC20000644	我需要考虑一下。
DLC20000645	即使我们仁慈的主也有存疑的时候。仔细考虑一下，听听你内心的想法，然后快速采取行动。我们剩下的时间不多了。
DLC20000646	别担心。我认为离开锡安是现在最好的选择。
DLC20000647	也许是吧。希望如此。但跟你实话实说，万一我们在撤离的路上出了什么差错，受难的族人可能会比加入约书亚作战的计划要死得更多。
DLC20000648	不过即使心里清楚后果，我也要冒这个风险。有你和约书亚的帮助，即使我们遭到攻击，我们也有余力保护好悲恸部落并顺利撤离。
DLC20000649	我们将在夜晚出发，分成小组行动，直穿山谷。运气好的话，白腿部落直到第二天早上才会知道到底发生了什么事。
DLC20000650	但如果白腿部落立即意识到事态的进展……约书亚和我就需要你的帮助了。不过别担心，我向你保证他们绝对没那么聪明。
DLC20000651	一旦计划顺利，我就会给你所有可以帮助你回到莫哈维的东西，但是在此之前，我们身后的派因溪隧道必须完全坍塌。
DLC20000652	这是唯一可以延缓白腿部落追击我们的方法。好了，祝你好运，愿上帝与你同在。
DLC20000653	我认为约书亚说得没错。我们应该和白腿部落开战。
DLC20000654	不，为什么？为什么？难道你没看到悲恸部落完全没必要为了获得和平就对白腿部落展开残杀吗？
DLC20000655	约书亚想要的不仅仅只是发起进攻。他还想要大规模杀戮。除了你和死马部落外他还需要更多人参与到他的计划中。
DLC20000656	悲恸部落不能参与到其中来。你和约书亚没有权利强迫他们参与。请仔细掂量一下我对你说的这些吧。
DLC20000657	我检查了山谷的每一处地点，找到了你要的大阶梯地图。
