AAD00100001	GREETING
AAD00100210	Whoa. That's a whole lotta mutant you got with you there. Still, long as it doesn't cause trouble it's all good.
AAD00100211	Nice to see a human palling around with a ghoul. I see a lot of people around here avoid them.
AAD00100212	Your girl's kinda cute, but not my type at all. I don't go for smart chicks.
AAD00100213	What the hell? You're that courier Benny wasted back in Goodsprings. You're supposed to be dead.
AAD00100214	I'm getting real tired of talking.
AAD00100215	How are the negotiations with the Great Khans going?
AAD00100216	The Great Khans can go, just as we agreed.
AAD00100217	Thanks for getting both of my people out of there.
AAD00100218	I'm sorry that you couldn't get both hostages out alive, but that's how it goes sometimes. Thanks for your help.
AAD00100219	I'm sorry you couldn't get either hostage out alive, but that's how it goes sometimes. Thanks for your help.
AAD00100220	I really don't have time to chatter right now.
AAD00100221	Dawes said he let somebody in. So, you going to give me a reason not to kill you and throw your body back outside?
AAD00100222	You're the one Cobb mentioned. Maybe you feel like helping us out around here.
AAD00100223	I've been thinking that since you've been good to us, we can be good to you.
AAD00100224	We've got plenty of spare powder and dynamite around. Say the word and we can give you some of it every couple days.
AAD00100225	Hey, I've been sent to tell you that, while you're not exactly a friend, we know you've helped us out some all the same.
AAD00100226	We figure some kind of truce is in order. As long as you don't come too close to any of our camps, we'll let you pass without trying to kill you.
AAD00100227	Of course, the truce is off once we know you're an enemy.
AAD00100228	Got nothing else to say to you.
AAD00100229	What the hell are you doing here? Civilians shouldn't be here.
AAD00100230	You should go topside.
AAD00100231	Hello there! Welcome to the Crimson Caravan Company. How can I help you today?
AAD00100232	I hope you're not planning on visiting the Strip.
AAD00100233	Humph... I see a lot of folks come and go, but none fit your type. Where you come from, stranger?
AAD00100234	You again? Get outta here, smoothface.
AAD00100235	What... what have I done!? Mother...
AAD00100236	NCR, no better than common thieves. Where do they get off stealing our armor?
AAD00100237	Caesar on the cross, been a long time since I've seen the kind of work you've laid down today... a damn long time.
AAD00100238	And the screams of those Legion bastards as they kicked dirt running East... like a choir of angels to my ears.
AAD00100239	Speaking of - that crazy lightshow over the Fort, what the fuck was that, some kind of thumb of God you called down? Amazing, fucking amazing.
AAD00100240	Could use a hundred of you, just scatter you over the East like jacks, give those plumed fucks the what-for.
AAD00100241	As if I didn't have enough to worry about, one of our facilities was recently broken into and its power diverted.
AAD00100242	Have you seen that damned tower in the Strip, all aglow? Of course you've seen it. Everyone's seen it.
AAD00100243	That was our power that did that, and I will find out who did it. Did you have something to report?
AAD00100244	Have you discovered what the Omertas are up to?
AAD00100245	An envoy of Vegas, yet you carry yourself for battle. If so, you cannot *truly* be of that city of cowards.
AAD00100246	And who are you to come before me... you don't bear the mark of the Bear, yet you are ready for battle.
AAD00100247	What is this Brahmin shit? I'm not getting the feeling we're all about to sing kumbaya here.
AAD00100248	Should have known, Greeks and gifts. That, and next time, shoot the messenger.
AAD00100249	I think those Nightkin are going to cause a lot of trouble, but I guess giving them the specs was better than killing them.
AAD00100250	I did get a lot of useful data from the experiment, and I'm much closer to a cure than I was before.
AAD00100251	It's occurred to me that this brief test might not yield a cure any time soon. However, if Lily were to continue to wear the prototype...
AAD00100252	Hi there. Welcome to the Westside Co-op. I'm Clayton Etienne. Let me know if you have any questions.
AAD00100253	Welcome back. How can I help you?
AAD00100254	Uh... hi.
AAD00100255	Cooke left the vault, good thing too, he was going to get us all killed.
AAD00100256	Cooke is going to get us all killed.
AAD00100257	Lem wants to run back to the NCR and turn himself in, spineless bastard.
AAD00100258	Hadn't heard there were women Powder Gangers, but a bounty's a bounty. The NCR will probably pay up either way.
AAD00100259	Greetings! Pardon my enthusiasm. I'm not accustomed to meeting so many new people, but I find you fascinating.
AAD00100260	I've tried to learn as much as possible about the surface world since our community left our home.
AAD00100261	Hello again, outlander.
AAD00100262	Why are the outlanders killing each other? Why do they treat us like machines? I wish we had remained in the safety, and sanity, of our Vault.
AAD00100263	Hello, outlander.
AAD00100264	It's good making your acquaintance.
AAD00100265	Excuse me, I'm... not from around here.
AAD00100266	Horowitz is our leader.
AAD00100267	You're the one who saved us! Thank you.
AAD00100268	I heard you talking to Horowitz, and can't thank you enough for what you've done for us.
AAD00100269	I hope everyone on the surface is like you.
AAD00100270	We're in your debt. Thank you, outlander.
AAD00100271	I wish we were back at our Vault.
AAD00100272	The surface world is a cruel place.
AAD00100273	Why are you people treating us like this?
AAD00100274	We're heading back home. I hope our troops do the same. This land can't be saved.
AAD00100275	Trying to grow crops in this heat, with so little water, is bad enough, but now we've got radiation seeping into the farmlands east of New Vegas.
AAD00100276	We're done. Let the people of this hell-hole deal with their problems, I say.
AAD00100277	I'm kind of busy, what do you want?
AAD00100278	If you're looking for Ambassador Crocker, he's not here. He was removed from office and sent home.
AAD00100279	I guess they disagreed with how he handled some of the events out here. It's unfortunate. He was a good man.
AAD00100280	Keep your nose clean on the Strip, soldier.
AAD00100281	Aren't you the guy that was shooting up The Tops?
AAD00100282	Guess you must have some special deal with House to be able to do that and not get in trouble.
AAD00100283	Holy shit, did you hear about the Monorail being destroyed? How the fuck did that happen?
AAD00100284	I'm just glad to be safe over here on the Strip.
AAD00100285	I don't want any trouble, mister. What do you want?
AAD00100286	Don't miss The Lonesome Drifter, LIVE at the Aces Theater!
AAD00100287	Songs so sad and lonesome, audience members of the opposite sex will be fighting over who gets to go back to your room with you - guaranteed!
AAD00100288	Ready to tap your toes and snap your fingers? Don't miss Bruce Isaac, LIVE at the Ace Theater!
AAD00100289	It's good to see such an outstanding citizen of the NCR. What can I do for you, my friend?
AAD00100290	I bet it feels real nice to be carrying those weapons around on the Strip.
AAD00100291	That damn Mr. House has forbid any NCR military personnel from carrying any sort of firearms on the Strip. Well, except for Captain Pappas.
AAD00100292	Mr. House still doesn't trust the NCR. A word of advice, the Securitrons won't put up with any funny stuff out there, so don't do anything stupid.
AAD00100293	This your first time on the Strip?
AAD00100294	Hello. Did you need something?
AAD00100295	What do you want?
AAD00100296	Don't talk to me, rookie!
AAD00100297	They're all dead. Guy must've had some kind of explosive on him, set off all the ordnance in this place at once.
AAD00100298	Congratulations, rookie. You just cost me my job. Don't think I don't appreciate it.
AAD00100299	I was just telling Gloria about your performance. Hell of a first day, huh?
AAD00100300	As I live and breathe, Rose of Sharon Cassidy. The late Rose of Sharon Cassidy. Was hoping you were on that caravan I massacred, but...
AAD00100301	Crimson Caravan and Van Graffs won't need to worry about you anymore, Mojave's ours, and we're shutting you down for good.
AAD00100302	Ah, just the person I was looking for. Your name came up in a discussion we had recently.
AAD00100303	My sister is very impressed with you so far, but I'm not. I don't think you have what it takes to work for this family.
AAD00100304	Luckily for you, I'm going to give you the chance to prove me wrong. What do you say? Want to make some real money?
AAD00100305	Well, looks like you came through after all. She's not half bad looking, is she? It's almost a shame...
AAD00100306	Crimson Caravan and Van Graffs won't need to worry about you anymore, Mojave's ours, we're shutting you down for good.
AAD00100307	I don't understand - the machine was supposed to cure Caesar. You did this - his blood is on your hands.
AAD00100308	It is a great honor for anyone outside the Legion to get an audience with Caesar.
AAD00100309	You've proven yourself to be a true friend of the Legion. We have a safehouse available to our agents in the Mojave - here's the key.
AAD00100310	It's an excellent place to rest and store extra equipment. In addition, one of our veterans, Atticus, visits the house every few days.
AAD00100311	While he's there, you can acquire items useful for stealthy operations against our enemies from him.
AAD00100312	The mechanical dog you have with you - where did you get it?
AAD00100313	A woman actually proved useful for once. Caesar was bold to put his life in your hands.
AAD00100314	The eyes of the mighty Caesar are upon you. He appreciates your service, and bestows upon you the exceptional gift of his Mark.
AAD00100315	My Lord requires your presence at his camp, at Fortification Hill. His Mark will guarantee your safe-conduct through our lands.
AAD00100316	The eyes of the mighty Caesar are upon you. He admires your accomplishments, and bestows upon you the exceptional gift of his Mark.
AAD00100317	Any crimes you may have perpetrated against the Legion are hereby forgiven. Caesar will not extend this mercy a second time.
AAD00100318	My Lord requires your presence at his camp, at Fortification Hill. His Mark will guarantee your safe-conduct through our lands.
AAD00100319	You may go.
AAD00100320	Let's get going, we have a battle to win.
AAD00100321	If I had any idea Moreno was capable of doing something like that, I'd have warned you. I'm sorry it played out like this.
AAD00100322	I'm not sure helping the Legion is the right idea. But, I'm going along with it.
AAD00100323	Keep your head down - could be snipers around.
AAD00100324	We're watching you... stranger!
AAD00100325	Don't fuck with the caged beasts.
AAD00100326	Follow the rules of The Thorn.
AAD00100327	Don't feed the creatures.
AAD00100328	Nowhere else will you find something like The Thorn.
AAD00100329	Take advice. Don't break the rules. And we won't kill you.
AAD00100330	Come to see the fights, or Red Lucy?
AAD00100331	Enjoy the show, and don't give us a reason to shoot you, okay?
AAD00100332	Be advised, NCR President Aaron Kimball was struck down in a cowardly attack at Hoover Dam.
AAD00100333	The Strip offers many fine cocktail lounges where grieving persons may drown their sorrows.
AAD00100334	Thanks for freeing the deputy. A bit, anyway.
AAD00100335	Thanks for freeing Deputy Beagle. He's better than nothing. Maybe.
AAD00100336	I hear you're going to help find Primm a new sheriff. Mighty kind of you to take an interest.
AAD00100337	So you're the one's going to bring the law back to Primm? I'll believe it when I see it.
AAD00100338	Thanks for bringing the NCR to town, stranger. Things're finally looking up for Primm.
AAD00100339	Thanks to you I got a mess of soldiers watching every move I make, plus I got to pay taxes for the privilege!
AAD00100340	This new Sheriff Meyers you brought to us is a lawman through and through. Primm's looking up, stranger.
AAD00100341	Thanks for convincing Meyers to come sheriff for us. First time I feel safe in a long time.
AAD00100342	You're back. Do you need medical attention?
AAD00100343	If you're looking for supplies, Chet over at the general store can help you out.
AAD00100344	I hope you didn't just bring a heap of trouble down on Goodsprings by killing Joe Cobb like that.
AAD00100345	His friends might come looking for him, and I don't think they're going to care who was involved in his death or not.
AAD00100346	Well, what's done is done. So, uh, what can I do for you?
AAD00100347	Can't do business now! There's a gunfight!
AAD00100348	Thank you!
AAD00100349	We showed them a thing or two.
AAD00100350	A little payback feels real good.
AAD00100351	These bastards got what they deserved.
AAD00100352	This has been a long time coming. The rest of the Legion better watch out.
AAD00100353	It's hard to stay awake on watch with only a few hours of sleep. I wish we actually had some time to rest around here.
AAD00100354	Holy shit! Did you hear that Caesar is dead? Maybe we actually have a fighting chance now.
AAD00100355	The Legion is torturing captive troopers in Nelson. I'd rather die fighting than be captured.
AAD00100356	I don't know how we're going to hold off the Legion here and at Hoover Dam, we just don't have the manpower.
AAD00100357	I heard Private Stone was caught stealing medical supplies. I always hated that guy.
AAD00100358	Good thing none of those rockets crashed into Novac.
AAD00100359	Hell of a thing for Boone to kill Ranger Andy like that.
AAD00100360	The McBrides think some mysterious creature is shooting up their Brahmin. Gotta be somebody in town doing it.
AAD00100361	Perimeter's been quiet since you left. The Fiends are running scared. I doubt they'll give us any more trouble, not for a long while.
AAD00100362	I haven't got any more bounties for you. It's been quiet and calm since you last reported in. Just how I like it.
AAD00100363	I heard you killed Driver Nephi. My team would've liked to get a shot at him... but we're still glad he's dead.
AAD00100364	K-killing some Fiends? Shit, yeah! It's about t-t-time!
AAD00100365	Shit. I didn't even get a shot at that Nephi b-b-bastard before he went down.
AAD00100366	Right here, Fiends! This is what payback looks like! First Recon, hooah!
AAD00100367	What a pointless trip. Here I thought I'd get a shot at that junkie bastard.
AAD00100368	I've been seeing Usanagi, and things are better. I'm not so angry all the time, you know? And, uh, I'm not trying to jump every woman in camp.
AAD00100369	Well, not all the time, anyway.
AAD00100370	Took some skills to bring down that Fiend. You done good.
AAD00100371	Wish I'd gotten a bullet in that Fiend...
AAD00100372	Never lost a CO before. It doesn't feel right.
AAD00100373	The lockdown is lifted! The patrols are going to start up again! Do you know what this means? I'll actually be able to get into a real fight!
AAD00100374	I wonder what it'll be against? Raiders? Radscorpions? Deathclaws? Oh, I can't wait. So what's up?
AAD00100375	Hey, so Hardin becoming Elder was because of you, huh? Good job. Now that the lockdown is lifted, I may get a chance to get into a real fight!
AAD00100376	I wonder what it'll be against? Raiders? Radscorpions? Deathclaws? Oh, I can't wait. So what's up?
AAD00100377	Yeah?
AAD00100378	Listen up. I'm in charge of security around here, and I can't say I'm too happy about having an outsider waltzing around.
AAD00100379	But since you came in with Veronica, I'm inclined to cut you a little slack. Just behave yourself and we won't have any problems, okay?
AAD00100380	Oh, and the Elder's going to want to talk to you. He's on the second level. Just take a right once you get down there.
AAD00100381	My office is right here in case you need anything. Just ask for Ramos.
AAD00100382	Your presence here... Let's just say it's highly irregular.
AAD00100383	Outsiders aren't even allowed to know that our bunker's here, let alone come and go freely.
AAD00100384	You impressed Elder McNamara, obviously. He must believe that you'd be very useful.
AAD00100385	Shhh. I thought I heard something up by the entrance.
AAD00100386	Powder Ganger scum! Hands up or die!
AAD00100387	Thought you'd sneak up on me, you filthy Powder Ganger?
AAD00100388	At least with the lockdown lifted I'll be able to resupply my store more often. So what are you here for?
AAD00100389	Hello, you must be the outsider everyone's talking about. I'm Linda Schuler. If you ever need medical attention, this is the place to come.
AAD00100390	Hey, stranger! Where ya been, uh? I missed you!
AAD00100391	Well, well! If it isn't the Vault explorer himself! Welcome back.
AAD00100392	Well, well! If it isn't the Vault explorer herself! Welcome back.
AAD00100393	What are you doing here!? I don't want to be near you ever again! Leave, leave... just leave, okay!?
AAD00100394	Behave, and don't give me a reason to kick you out.
AAD00100395	Wow... I've never seen anyone go into the Lucky 38 before.
AAD00100396	Don't mind me. I was just passing by.
AAD00100397	I bet everyone's going to hear about you going into the 38.
AAD00100398	My pals said nobody has ever been inside the Lucky 38.
AAD00100399	Hey, sexy, come by the Tops later. I'd love to hear your story.
AAD00100400	We've got nothing left to talk about.
AAD00100401	Well look at that! You aren't a Powder Ganger after all. I'd suggest against wearing that outfit around the townsfolk. You may get shot by accident.
AAD00100402	I don't suppose you came here to rescue me?
AAD00100403	What is it?
AAD00100404	Well, if there was any question on whether I should leave, I guess there's my answer.
AAD00100405	Pretty addictive, right? You do it once, it just makes you want to do it more.
AAD00100406	You can't help but notice that the Brotherhood barely exist to these people out here. We're like an urban myth. No real presence on the Outside.
AAD00100407	We just don't adapt like we should. Used to be that all you needed to get your way was a suit of power armor and a laser rifle.
AAD00100408	Now... people are armed and organized. They're not afraid. But we still stick to our old approach, because it's all we know.
AAD00100409	Wow, Mr. House is looking for you, huh? What do you think he wants? Bowling partner?
AAD00100410	Caesar may be dead, but I think the toga is here to stay. You simply can't buy better thigh accentuation.
AAD00100411	You mustn't ask why we wear our masks. We are forbidden to speak of it.
AAD00100412	If Mr. House is going to lower his standards, we'll just have to raise ours!
AAD00100413	Caesar may have deemed you worthy to bear his mark, but your reputation preceeds you.
AAD00100414	Your presence will be tolerated, but you are not welcome here. Lucullus awaits you on the docks.
AAD00100415	Do not make Caesar wait! Lucullus awaits you on the dock.
AAD00100416	A Profligate bearing the Mark of Caesar? What is the world coming to?
AAD00100417	Cursor Lucullus is waiting for you with the barge at the docks. He will take you to The Fort to speak with Caesar.
AAD00100418	Get moving, Profligate! Do not make Caesar wait!
AAD00100419	You're the one Lucullus said would come? You'll find him waiting for you, down at the docks.
AAD00100420	What are you doing standing around, whelp? {KAI-zar)Caesar awaits!
AAD00100421	You're the one Lucullus said would come. You'll find him waiting for you, down at the docks.
AAD00100422	Caesar does not like to be kept waiting. I would find Cursor Lucullus quickly and travel to The Fort, if I were you.
AAD00100423	He should still be waiting at the docks.
AAD00100424	Ave. Have you come to sell or trade for captures?
AAD00100425	NCR Trooper, reporting for duty!
AAD00100426	Trooper, ready to fight!
AAD00100427	You called for a Trooper?
AAD00100428	You called for an extra gun?
AAD00100429	I got your call and came running.
AAD00100430	Guns and gear - at your service.
AAD00100431	Someone said you needed backup? I'm it.
AAD00100432	You called for backup?
AAD00100433	Where's the fight, sir?
AAD00100434	For the Republic!
AAD00100435	Ranger at the ready!
