STE00000001	内联纯函数
STE00000176	在显示升级菜单前自动保存
STE00000177	最小自动保存间隔
STE00000178	防止每间隔少于这个时间（秒）进行自动保存 - 影响普通和定时自动保存
STE00000179	增量保存槽切换间隔
STE00000180	只有在上次保存后过了这个时间（秒），才会增加增量保存槽；例如，设置为60秒，同一槽位在0-60秒内保存的所有内容将彼此覆盖 - 超过这个时间后，会使用新的槽位。
STE00000181	战斗中禁用自动保存
STE00000182	在战斗中禁用定时自动保存（[危险]），战斗结束后0-8秒内会进行保存。
STE00000183	神模式中禁用自动保存
STE00000184	启用神模式时禁用定时自动保存。
STE00000185	禁用脚本保存
STE00000186	阻止脚本通过SaveGame、ForceSave、AutoSave和SystemSave命令保存游戏 - 不影响普通自动保存，如进入细胞或使用设置菜单进行保存。
STE00000187	添加暂停菜单快速保存按钮
STE00000188	将暂停菜单的“继续”按钮替换为创建增量保存的按钮。
STE00000189	禁用Alt+Tab暂停
STE00000190	阻止游戏在Alt+Tab时显示暂停菜单，建议与OneTweak的“后台活动”选项配合使用，以便在Alt+Tab时保持游戏运行。
STE00000191	瞄准时跳跃
STE00000192	允许在瞄准或格挡时跳跃。
STE00000193	空中快速旅行
STE00000194	允许在空中快速移动。
STE00000195	无经验值弹窗
STE00000196	停止经验值弹出和相关声音。
STE00000197	击杀
STE00000198	禁用经验值提示
STE00000199	禁用击杀时的经验值弹窗
STE00000200	探索地点
STE00000201	禁用探索地点时的经验值弹窗
STE00000202	奖励经验值命令
STE00000203	禁用使用奖励经验值命令时的经验值弹窗。
STE00000204	对话挑战
STE00000205	禁用成功完成对话检查时的经验值弹窗。
STE00000206	黑客攻击
STE00000207	禁用黑客攻击终端时的经验值弹窗。
STE00000208	开锁
STE00000209	禁用成功开锁时的经验值弹窗。
STE00000210	拆卸地雷
STE00000211	禁用成功拆卸地雷时的经验值弹窗。
STE00000212	更佳自动行走
STE00000213	向左或向右移动不会取消自动行走（使用Q键）。
STE00000214	允许向后自动行走
STE00000215	更佳自动行走
STE00000216	允许在向后移动时开始自动行走，从而实现向后自动行走（作弊功能）
STE00000217	作弊开锁菜单
STE00000218	在所有开锁菜单上显示调试开锁菜单（作弊功能）
STE00000219	作弊
STE00000220	Alt+Tab时不会显示 Pip-Boy
STE00000221	按住Alt键时，不会显示 Pip-Boy
STE00000222	取消“演员已昏迷”提示
STE00000223	停止显示“演员已昏迷”的消息
STE00000224	手动重新装填
STE00000225	阻止玩家在弹匣空时自动装填。
STE00000226	自动重新装填的弹匣容量阈值
STE00000227	如果武器的弹匣容量小于这个值，当弹药剩余为0时，会自动重新装填。
STE00000228	捡起弹药时不自动装填
STE00000229	捡起弹药且武器空仓时，不会自动装填。
STE00000230	空弹匣时不显示射击动画
STE00000231	如果弹匣空，不会播放射击动画。
STE00000232	自动武器播放空弹匣声音
STE00000233	当自动武器的弹匣空了时播放空弹匣声音。
STE00000234	仅适用于自动武器
STE00000235	仅手动重新装填自动武器。半自动武器会继续自动装填。
STE00000236	空仓开火时自动装填
STE00000237	尝试空弹匣开火时自动装填
STE00000238	NPC对话换行暂停
STE00000239	对话时需要点击切换到下一行，以便阅读内容。
STE00000240	WASD菜单控制
STE00000241	允许在菜单中使用WASD键，空格键确认操作 - 如果与菜单绑定键冲突，将无法使用。推荐配合VUI+和'WASD兼容'选项使用。
STE00000242	菜单
STE00000243	旧版WASD菜单
STE00000244	WASD菜单
STE00000245	即使与原版键绑定冲突，也让WASD按钮始终作为箭头键操作。
STE00000246	始终启用WASD
STE00000247	忽略WASD+E XML菜单快捷键，始终允许WASD移动键。
STE00000248	重复WASD键
STE00000249	按住WASD键会重复动作，就像箭头键一样。
STE00000250	空格键不关闭容器
STE00000251	阻止空格键关闭容器。
STE00000252	始终显示库存选择
STE00000253	阻止使用键盘输入激活项目时库存选择消失。
STE00000254	容器默认位于右侧
STE00000255	打开容器菜单时，选择默认位于右侧。
STE00000256	按Shift键调整地图缩放速度。
STE00000257	按住Shift键调整缩放速度。
STE00000258	按Shift键调整容器箭头键的移动速度。
STE00000259	按住Shift键调整容器中箭头键的滚动速度。
STE00000260	Shift键调整鼠标滚轮
STE00000261	按住Shift键，所有菜单的鼠标滚轮滚动速度增加4倍。
STE00000262	地图菜单WASD
STE00000263	按住Alt键，WASD可以移动地图菜单，上下滚动放大/缩小。
STE00000264	地图菜单WASD使准星位于中央。
STE00000265	使用地图菜单WASD将选择准星重置到屏幕中心。
STE00000266	用"E"键选择
STE00000267	让"E"键在菜单中像空格键一样工作。
STE00000268	Tab键返回到物品栏
STE00000269	让Tab键在武器mod和维修菜单中返回到物品栏，而不是关闭PipBoy。
STE00000270	列表滚动环绕
STE00000271	在容器顶部/底部时，向上/下按会跳转到底部/顶部。
STE00000272	自动高亮主菜单继续按钮
STE00000273	在主菜单中自动高亮显示'继续'选项。
STE00000274	隐藏敌人在罗盘上
STE00000275	从罗盘上隐藏敌人的标记。
STE00000276	显示正在开火的敌人
STE00000277	罗盘
STE00000278	在罗盘上显示正在开火的敌人（即进行攻击动画的敌人）
STE00000279	装备破损物品
STE00000280	允许装备破损物品（以便使用武器修复套件或服装技能加成进行修复）。
STE00000281	VATS忽略同伴
STE00000282	阻止VATS对准同伴。
STE00000283	仅战斗模式
STE00000284	VATS忽略同伴
STE00000285	在非战斗状态下允许VATS目标锁定同伴
STE00000286	开锁后不显示容器
STE00000287	使用开锁工具或钥匙打开时，阻止自动显示容器菜单。
STE00000288	更换电池时保持PipBoy屏幕常亮
STE00000289	进入室外区域时，PipBoy屏幕不会自动熄灭
STE00000290	如果是白天则关闭屏幕
STE00000291	PipBoy屏幕切换时关闭
STE00000292	仅在日出至日落期间进入室外时关闭PipBoy屏幕。
STE00000293	开锁时使用鼠标
STE00000294	允许在开锁时使用左键旋转（除默认的WASD外）。
STE00000295	取消黑客尝试延迟
STE00000296	移除黑客尝试之间的延迟（等同于将游戏设置iHackingRetryMilliseconds设为0）。
STE00000297	负重状态下跳跃
STE00000298	允许在负重状态下跳跃。
STE00000299	取消赌场最高下注
STE00000300	移除赌场的最大下注限制，超出1500的金额将以500为单位增加（默认为100）。
STE00000301	快速保存菜单关闭
STE00000302	移除使用暂停菜单保存时的硬编码3秒关闭延迟。
STE00000303	取消任务失败提示
STE00000304	停止在任务失败时显示“任务失败”。
STE00000305	仅在开始时显示
STE00000306	取消任务失败
STE00000307	显示“任务失败”，但仅当任务已开始时。
STE00000308	取消“地点发现”提示
STE00000309	停止显示“地点发现”
STE00000310	取消获得弹壳
STE00000311	停止射击时获得玩家弹壳
STE00000312	更快的黑客过渡
STE00000313	黑客成功后减少2.5秒的延迟。
STE00000314	保留轮盘赌下注金额
STE00000315	玩轮盘赌后不要将下注金额重置为1。
STE00000316	控制台数字小键盘支持
STE00000317	为控制台添加对数字小键盘按钮/*-+., enter和0-9的支持。
STE00000318	允许在动画播放时激活
STE00000319	允许在开火、装填、跳跃、落地等动作中激活 - 这意味着你可以在一边开始装填，打开门，然后在另一边完成装填。
STE00000320	未访问室内指示器
STE00000321	在指向未访问室内区域（如“酒馆门 * ”）的门的激活提示后添加一个星号。
STE00000322	为未命名的未访问单元格命名
STE00000323	未访问单元格指示器
STE00000324	对未访问的单元格隐藏名称，例如“通往...的门”
STE00000325	显示重生的单元格
STE00000326	在通往已重生单元格的门的激活提示后添加一个加号。
STE00000327	显示已访问的单元格
STE00000328	在已访问的单元格上显示星号，而不是未访问的
STE00000329	跳过玩家死亡视角热键
STE00000330	添加一个热键（左Alt或控制器上的Back）以立即结束玩家死亡视角。
STE00000331	描述性标记添加消息
STE00000332	在“标记添加”弹出框中添加标记位置名称。
STE00000333	VATS忽略不可见目标
STE00000334	在VATS中禁止针对不可见敌人进行瞄准。
STE00000335	移除下载按钮
STE00000336	从主菜单中移除无用的下载按钮。
STE00000337	隐藏未标记地图位置
STE00000338	只有在地图上被标记时，才在指南针上显示未访问的位置。
STE00000339	指南针NPC高度指示器
STE00000340	Data/Textures/Interface/HUD/glow_ hud_ tick_ mark_ above.dds 和 '/glow_ hud_ tick_ mark_ below.dds'）。
STE00000341	高度阈值
STE00000342	指南针高度指示器
STE00000343	在使用自定义图标前，NPC与玩家之间的距离。
STE00000344	指南针任务高度指示器
STE00000345	使用自定义图标显示任务标记是高于还是低于玩家。
STE00000346	基于与玩家距离的指南针NPC透明度
STE00000347	根据与玩家的距离渐隐指南针NPC标记，使用游戏设置fSneakMaxDistance和fSneakExteriorDistanceMult。
STE00000348	基于位置距离的指南针透明度
STE00000349	根据与玩家的距离渐隐指南针位置标记。
STE00000350	禁用指南针边缘淡化效果。
STE00000351	禁用指南针右边缘图标上的透明度效果。
STE00000352	技能满级时隐藏技能书。
STE00000353	如果技能等级已是满级，阻止消耗书籍。
STE00000354	取消最小同伴地图距离
STE00000355	移除世界地图上显示同伴的最小距离。
STE00000356	地图显示昏迷的同伴
STE00000357	地图上以红色显示昏迷的同伴。
STE00000358	自定义指南针上的同伴颜色。
STE00000359	定制指南针上同伴的色彩。
STE00000360	RGB颜色
STE00000361	uRGB
STE00000362	同伴小地图颜色
STE00000363	颜色的十六进制红/绿/蓝值。
STE00000364	禁用显示任务位置
STE00000365	禁用任务菜单上“显示位置”按钮的功能。
STE00000366	阻止快速旅行
STE00000367	禁用快速旅行。
STE00000368	记住别针生命值
STE00000369	在锁之间记住别针生命值（保存后生效）。
STE00000370	装备武器时不减移动速度
STE00000371	持有武器时移除移动速度惩罚。
STE00000372	移除武器伤害缓冲
STE00000373	移除75%以上状态的武器提供的伤害缓冲
STE00000374	瞄准时保持准星
STE00000375	使用非瞄准镜武器时，瞄准时保持准星在屏幕上
STE00000376	重复跳跃
STE00000377	持续按下跳跃键可连续跳跃。
STE00000378	移除潜行标签
STE00000379	移除UI上的“[HIDDEN]”等标签。
STE00000380	Tab 关闭终端
STE00000381	添加热键Tab来关闭终端。
STE00000382	Tab 返回开始菜单
STE00000383	添加热键Tab返回开始/暂停菜单。
STE00000384	继续游戏热键
STE00000385	为模组开发时，添加一个调试热键，从加载/开始菜单继续游戏（因为如果你过早按下热键，使用JIP的MenuMode 4的模组将无法运行）。
STE00000386	-1000,
STE00000387	升级菜单滚轮支持
STE00000388	为升级菜单中的-+技能添加滚轮操作支持。
STE00000389	PipBoy上不显示L/R/T
STE00000390	连接控制器时，使用不带L/R/T标记的PipBoy纹理。
STE00000391	敌人上不显示红十字准星
STE00000392	阻止敌人准星变为红色
STE00000393	允许在摄像机晃动时打开PipBoy
STE00000394	允许在屏幕晃动时打开PipBoy（会重置屏幕晃动）
STE00000395	左右移动取消
STE00000396	按住左右移动键不再移动玩家（原版会向左移动）。
STE00000397	修复增强型摄像机地面下陷bug
STE00000398	为增强型摄像机mod中的一种bug提供解决方案，即玩家在第一人称和第三人称之间切换时会沉入地面。
STE00000399	按住Shift键时在潜行时说话
STE00000400	潜行时，按住Shift键会与NPC交谈，而不是偷窃。
STE00000401	强力攻击消耗行动点
STE00000402	执行蓄力徒手攻击会增加行动点消耗。
STE00000403	基础行动点消耗
STE00000404	蓄力攻击
STE00000405	使用的基础行动点数。
STE00000406	武器重量行动点倍率
STE00000407	当前武器每增加一点重量，额外消耗的动作点数。
STE00000408	50
STE00000409	最大行动点消耗
STE00000410	蓄力攻击的最大行动点消耗
STE00000411	400
STE00000412	物品栏掉落快捷键
STE00000413	为 PipBoy 菜单中当前选中的物品添加一个快捷键 'Q' 用于掉落。
STE00000414	立即继续按钮
STE00000415	在主菜单中选择继续游戏时，跳过“从上次保存的游戏继续？”提示。
STE00000416	自定义狙击瞄准速度
STE00000417	设置瞄准镜武器的瞄准速度。
STE00000418	视野变化速率
STE00000419	瞄准镜放大
STE00000420	瞄准镜武器的放大速度，原版为0.25，设置为0则立即放大。 
STE00000421	5
STE00000422	同样速率缩放出去
STE00000423	让此设置也影响缩放出去。
STE00000424	基于距离的 quest 标记可见性
STE00000425	隐藏超出设定距离的 quest 标记。
STE00000426	最大外部距离
STE00000427	Quest 标记
STE00000428	从显示 quest 标记的最大外部距离。
STE00000429	最大内部距离
STE00000430	从显示 quest 标记的最大内部距离。
STE00000431	快速使用
STE00000432	按住 Shift 键会装备/使用交叉准心物品。右键点击非防具物品会装备它。这对于不用打开 PipBoy 就吃喝或消耗物品很有用。
STE00000433	实时快速使用
STE00000434	游戏过程中按住 Shift 键会装备/使用交叉准心物品。
STE00000435	右键在容器中装备
STE00000436	在容器中右键点击装备栏的物品会装备该物品（不包括防具）。
STE00000437	F 在容器中使用
STE00000438	为在容器中使用选定的物品（不包括防具）添加快捷键 'F'。
STE00000439	书籍操作
STE00000440	允许书籍快速使用。
STE00000441	笔记操作
STE00000442	快速使用笔记时显示书籍菜单（需要“书籍菜单恢复”纹理和XML）。
STE00000443	显示物品属性
STE00000444	按住 Shift 显示物品属性，如DPS、伤害、防御和抗性。
STE00000445	阅读笔记时显示“重新阅读”
STE00000446	已读笔记提示上显示“重新阅读”
STE00000447	减少对话/开始点击延迟
STE00000448	缩短对话选项的点击延迟（500ms -> 250ms）在进行对话时。
STE00000449	隐藏未知NPC名称
STE00000450	隐藏未与玩家交谈的NPC名称提示
STE00000451	显示死亡NPC的名称
STE00000452	NPC名称
STE00000453	若NPC死亡，则显示名称
STE00000454	调整所有经验值
STE00000455	调整所有获得的经验值
STE00000456	经验值倍率
STE00000457	减少经验值
STE00000458	应用于获得经验值的倍率，结果四舍五入
STE00000459	防止四舍五入
STE00000460	不要对获得的经验值进行向上取整，将小数部分存储在存档中，每次获得经验值时累加。
STE00000461	 vat出口密钥
STE00000462	为结束VATS击杀视角添加Tab和右键快捷键。
STE00000463	立即结束
STE00000464	VATS退出键
STE00000465	立即结束VATS回放，而不是等待当前动作结束。
STE00000466	完成目标时不设置任务
STE00000467	在没有激活任务的情况下，完成目标时不设置当前任务。
STE00000468	禁止黑客菜单退出
STE00000469	尝试后不允许退出黑客菜单
STE00000470	尝试退出失败
STE00000471	终端退出
STE00000472	尝试后锁定终端，无法退出
STE00000473	自动旋转槽位热键
STE00000474	按住W键会持续旋转老虎机。
STE00000475	英国键盘布局
STE00000476	在控制台和其他菜单中使用英国键盘布局。
STE00000477	移除任务目标附加文本
STE00000478	隐藏主UI中添加目标的文本。
STE00000479	隐藏已完成目标
STE00000480	添加任务
STE00000481	隐藏任务完成目标文本。
STE00000482	即使有钥匙也能开锁
STE00000483	按住Shift键即使有钥匙也能开锁/终端。
STE00000484	按Shift键使用钥匙
STE00000485	使用钥匙开锁
STE00000486	让Shift键允许使用钥匙开锁/终端。
STE00000487	记住控制台历史
STE00000488	从ConsoleHistory.txt中存储/恢复控制台历史。
STE00000489	最大大小
STE00000490	控制台
STE00000491	存储的最大命令数（默认为200）。
STE00000492	控制台历史忽略重复
STE00000493	防止连续的重复命令被添加到控制台的输入历史列表中。
STE00000494	杀戮摄像中不播放任务声音
STE00000495	阻止在播放电影式杀戮摄像时播放“任务添加”声音。
STE00000496	不允许拾取玩家物品
STE00000497	禁止按Z键拾取玩家物品
STE00000498	自动跳过主菜单介绍幻灯片
STE00000499	加载完成后自动跳过主菜单视频
STE00000500	第一人称 VATS 模式
STE00000501	强制 VATS 射击视角以第一人称播放。
STE00000502	允许不安全快速旅行
STE00000503	允许从室内快速旅行（请务必小心，不要走出脚本区域）。
STE00000504	显示受限区域警告
STE00000505	不安全快速旅行
STE00000506	从受限区域旅行时显示警告
STE00000507	移除着陆动画
STE00000508	停止播放着陆动画
STE00000509	按住蹲下键进行潜行
STE00000510	使潜行变为可持握状态，而非切换。
STE00000511	快速旅行消耗特殊核子饮料
STE00000512	使快速旅行消耗1瓶量子、石英或胜利核子可乐。
STE00000513	所需物品提示
STE00000514	快速旅行消耗物品
STE00000515	尝试快速旅行但缺少所需物品时显示的提示信息。
STE00000516	移除物品提示
STE00000517	快速旅行时移除物品时显示的提示信息。
STE00000518	物品编辑器ID
STE00000519	用于从物品或表单列表中移除物品（需要JohnnyGuitar NVSE），而非核子可乐。
STE00000520	禁用出售物品
STE00000521	移除在交易菜单中出售物品的能力。
STE00000522	使用自定义交易价格倍率
STE00000523	为每种物品类型设置自定义买入/卖出倍率（在 perk 修正之前应用）。
STE00000524	恒定净化水价格
STE00000525	交易价格
STE00000526	不调整净化水的价格。
STE00000527	盔甲出售倍率
STE00000528	武器出售倍率
STE00000529	辅助出售倍率
STE00000530	弹药出售倍率
STE00000531	杂项出售倍率
STE00000532	武器模块出售倍率
STE00000533	盔甲买入倍率
STE00000534	武器买入倍率
STE00000535	辅助买入倍率
STE00000536	弹药买入倍率
STE00000537	杂项买入倍率
STE00000538	武器模块买入倍率
STE00000539	对话编号快捷键
STE00000540	为选择对话选项添加0-9的快捷键（推荐与 VUI+ 同时使用）。
STE00000541	对话主题显示
STE00000542	对话快捷键
STE00000543	在对话中为话题显示列表编号。
STE00000544	Tab键选择上一个选项
STE00000545	添加Tab键快捷方式，选择上一个选项。
STE00000546	禁用击中贴图
STE00000547	受伤时禁用径向模糊（可选地只在神模式下）
STE00000548	仅在神模式下禁用
STE00000549	击中贴图
STE00000550	终端瞬间显示快捷键
STE00000551	添加shift键和右键鼠标快捷键，可以立即显示当前终端文本，左键用于加速子菜单的显示。
STE00000552	键盘交换Y和Z键
STE00000553	交换Y和Z键。
STE00000554	满弹匣重新装填会切换弹药类型。
STE00000555	满弹匣重新装填会切换弹药类型。
STE00000556	改进的飞行视角。
STE00000557	增加自动移动功能，通过跳跃和蹲伏上下飞行，按Z和C键旋转，滚动操作改变飞行速度。
STE00000558	瞄准速度倍增器
STE00000559	飞行视角
STE00000560	瞄准时的速度倍增
STE00000561	奔跑速度倍增器
STE00000562	奔跑时的速度倍增
STE00000563	滚动速度倍增器
STE00000564	鼠标滚轮对飞行速度的影响倍增器。
STE00000565	旋转速度倍增器。
STE00000566	旋转速度倍增器。
STE00000567	平滑相机快捷键。
STE00000568	增加一个快捷键“重新装填”，启用平滑/电影级相机效果。
STE00000569	NPC丢弃腰间武器
STE00000570	即使武器未出鞘，敌人死亡时也会掉落武器。
STE00000571	阻止非空弹夹装填
STE00000572	如果武器弹夹未清空，将阻止装填。
STE00000573	仅限能量武器
STE00000574	禁用非空弹夹装填
STE00000575	仅对能量武器阻止装填
STE00000576	排除循环装填武器
STE00000577	允许循环装填（一次一发子弹）的武器装填
STE00000578	隐藏手榴弹指示器
STE00000579	从HUD中移除手榴弹指示器
STE00000580	无重量穿着动力装甲
STE00000581	调整装备动力装甲的重量
STE00000582	无重量头盔需要胸甲
STE00000583	只有当装备胸甲时，动力装甲头盔才变为无重量。
STE00000584	需要动力装甲训练
STE00000585	只有当玩家/队友拥有动力装甲训练技能时，才使动力装甲变为无重量。
STE00000586	重量倍率
STE00000587	应用于穿着装甲的重量倍数。
STE00000588	按Shift截图隐藏菜单
STE00000589	截图时按Shift键会隐藏菜单。
STE00000590	快速旅行附近有敌人
STE00000591	允许在附近有敌人时快速旅行。
STE00000592	负重状态下快速旅行
STE00000593	允许像“长途跋涉” perk那样，在负重状态下快速旅行。
STE00000594	神模式下无击倒效果
STE00000595	在神模式下，禁用被击倒效果，可能破坏脚本序列。
STE00000596	双击重新装填键切换弹药类型。
STE00000597	双击重新装填键会切换弹药类型。
STE00000598	允许多次快速切换
STE00000599	双击重新装填交换弹药类型
STE00000600	多次按重新装填键会持续换弹药类型。
STE00000601	换弹药时间
STE00000602	在换弹药类型时，必须在Reload键上按住的毫秒数。
STE00000603	强制开锁不破坏锁
STE00000604	开锁失败时，会破坏别针而不是锁。
STE00000605	强制失败重置别针健康
STE00000606	开锁失败时重置当前别针健康。
STE00000607	没有别针无法开锁
STE00000608	当玩家没有别针时，阻止开锁菜单打开。
STE00000609	别针断裂提示信息
STE00000610	别针断裂时显示的角落提示信息。
STE00000611	自定义控制器摇杆死区
STE00000612	为控制器摇杆设置自定义死区，以便更精细的移动和瞄准。默认值0完全移除死区。建议与bMoreResponsiveControllerAiming配合使用。
STE00000613	死区
STE00000614	控制器死区
STE00000615	死区值（0到32767之间）。
STE00000616	32767
STE00000617	加快控制器视角旋转速度
STE00000618	当保持视角时，增加控制器旋转速度，灵敏度减半。
STE00000619	对话中隐藏光标
STE00000620	在对话菜单中隐藏光标
STE00000621	仅当NPC说话时
STE00000622	对话隐藏鼠标
STE00000623	仅在NPC说话时隐藏光标
STE00000624	加快主菜单加载速度
STE00000625	跳过等待《辐射新维加斯》logo完全透明的过程
STE00000626	跳过主菜单滑动加载等待
STE00000627	跳过等待当前加载屏幕淡出的0-3秒
STE00000628	VATS换档忽略友军目标
STE00000629	在VATS模式下，按住Shift键时会忽略友好的NPC
STE00000630	改为忽略敌人
STE00000631	VATS
