TIH00000001	恰斯摇头娃娃
TIH00000129	军团掌旗官
TIH00000130	百夫长
TIH00000131	奴隶
TIH00000132	奴隶
TIH00000133	NCR资深游骑兵
TIH00000134	NCR游骑兵
TIH00000135	NCR突击兵
TIH00000136	游骑兵鲁宾
TIH00000137	百夫长
TIH00000138	山姆.迪克森
TIH00000139	丹.哈理斯
TIH00000140	军团老兵
TIH00000141	豺狼帮首领
TIH00000142	NCR突击兵
TIH00000143	病人
TIH00000144	恶魔帮
TIH00000145	前恶魔帮成员
TIH00000146	西区市民
TIH00000147	问好
TIH00000148	<信使慌忙地给你递来一张皱巴巴的信封>
TIH00000149	是的？
TIH00000150	...
TIH00000151	...
TIH00000152	我听说年轻人在驻地打了一仗。那么博蒙特怎么说？
TIH00000153	你需要什么？
TIH00000154	...
TIH00000155	我能为你做什么？
TIH00000156	额...我需要修理一下。
TIH00000157	你需要什么？
TIH00000158	...
TIH00000159	这是什么？
TIH00000160	嗯？
TIH00000161	这是什么？
TIH00000162	嗯？
TIH00000163	我有东西要给你。
TIH00000164	
TIH00000165	是的？
TIH00000166	...
TIH00000167	很高兴见到你！你觉得这地方怎么样？我们已经为超过一打的小孩找到了家。
TIH00000168	是的？
TIH00000169	
TIH00000170	
TIH00000171	
TIH00000172	打扰一下，我有一个来自西区的包裹。
TIH00000173	...
TIH00000174	感谢你的到来。我们无法自行处理我们的处境。
TIH00000175	自从你将辛迪加踢出了城镇，恶魔帮似乎即将用尽他们的武器和药品。
TIH00000176	通常来说他们就像一群愚蠢的狗，当他们满足于毒品的时候，将会很容易吓跑或杀死。
TIH00000177	但是现在...他们发狂了。为了得到瓶盖来购买药品，他们变得越来越疯狂。而大汗帮会很高兴地坐收渔翁之利。
TIH00000178	几天之前他们一队人伏击了巴基一家。他们一家是好人。所有人都知道他们。现在只有他们的儿子还活着。
TIH00000179	该死的恶魔帮绑票了他。他们声称要么拿50,000瓶盖要么那孩子就得死。你自己看看这封信吧。
TIH00000180	他们特别提到了你，还说了关于供应黄金的事，我不知道该怎么办了。
TIH00000181	我只知道他们只想跟你谈判。他们在西边入口的一个废弃的房子里。
TIH00000182	...
TIH00000183	他妈的站在那里！不要轻举妄动，狗屎！
TIH00000184	你是哪个发财的邮差，是吗？好的，我知道你会来。你交出瓶盖，然后我们让那小男孩活。
TIH00000185	我对你无话可说。
TIH00000186	<这个小孩默默的看着你；显然他因为最近的囚禁受到了精神创伤>
TIH00000187	你好，邮差。我给“邮差”送信，这很讽刺，不是吗？
TIH00000188	打扰一下，我有一个紧急信件要给你。给，就是这封信。
TIH00000189	这是什么？
TIH00000190	你不重新考虑一下我的报价吗？
TIH00000191	请带走包裹，别管我。
TIH00000192	你看，我在值班。如果你有什么话要说，请赶快。
TIH00000193	屏住呼吸然后杀死几个恶魔帮崽子！
TIH00000194	来吧，开始吧！
TIH00000195	该死的，从我开始护卫商队穿过80号公路以来，我从未见过这么多的袭击者。
TIH00000196	你是个邮差，对不对？在刚才的小打小闹之后，你让我刮目相看。你走路像个雇佣兵。很高兴你在这里。
TIH00000197	现在我们获得了一些喘息的空间，我想要看看包裹。
TIH00000198	你不再考虑一下这份交易码？
TIH00000199	我必须站岗放哨。我们谈谈你什么时候留意一下恶魔帮。
TIH00000200	啊，勇敢的探险家！我只想说，能跟你一起冒险是一件愉快的事。
TIH00000201	你有好些死里逃生的经历...还发现了一些我们都不知道的地方，这些真的是值得称赞的。
TIH00000202	...
TIH00000203	...
TIH00000204	嗯？
TIH00000205	你知道的，我不确定我是否真的能碰见你。总的来说，我猜这是侥幸，你懂的。
TIH00000206	大多数人都称我为托尼...好的,切斯先生。我知道你是个“邮差”之类的。你的真实姓名是什么，朋友？
TIH00000207	...
TIH00000208	...
TIH00000209	别急，邮差。这里没有伏兵。如果你想坐，你可以找个地方坐着，我们有很多事情要谈。
TIH00000210	我好奇是什么风把你吹来了。我听过很多关于你的故事...请原谅我的困惑。我很少见到一个传说中的人物。
TIH00000211	保利，你需要把烟给灭了。
TIH00000212	操！我操，是你！
TIH00000213	什么？
TIH00000214	
TIH00000215	这是什么？
TIH00000216	玩家扔手雷
TIH00000217	...
TIH00000218	
TIH00000219	那不是玩具手枪，混蛋。当心。
TIH00000220	你的主要疾病是什么？
TIH00000221	
TIH00000222	这结束了。
TIH00000223	别瞎摆弄那东西。
TIH00000224	
TIH00000225	继续吧，而我会撕下你身体的一部分，塞进你的屁眼里，然后扣动扳机。
TIH00000226	这是因为有像你这样的混蛋，世界才会被核打击。
TIH00000227	你就试试看。
TIH00000228	攻击
TIH00000229	...
TIH00000230	死吧，混账东西！
TIH00000231	吃屎去吧，死吧。
TIH00000232	尝尝这个！
TIH00000233	
TIH00000234	你会流血的。
TIH00000235	我他妈的要打碎你的头骨！
TIH00000236	我将为你收尸！
TIH00000237	别动，你这混蛋！
TIH00000238	别动，混蛋！
TIH00000239	尝尝这个，混蛋！
TIH00000240	尝尝这个，渣滓！
TIH00000241	给...我...钥...匙！
TIH00000242	你他妈的该死！
TIH00000243	我他妈要杀死你！
TIH00000244	
TIH00000245	
TIH00000246	 啊！
TIH00000247	
TIH00000248	逃跑
TIH00000249	撤退，混蛋！
TIH00000250	妈的！
TIH00000251	偷窃
TIH00000252	没门，你这小毛贼。
TIH00000253	
TIH00000254	好的，但是你要像个专业人士一样行动。
TIH00000255	突击
TIH00000256	你真是混蛋。
TIH00000257	我的朋友，你来到了一个痛苦的世界。
TIH00000258	你完蛋啦。
TIH00000259	杀人犯
TIH00000260	你是有病的疯子吗？
TIH00000261	这不好，一点都不酷。
TIH00000262	
TIH00000263	他妈的。
TIH00000264	噢，好吧。
TIH00000265	干的漂亮。
TIH00000266	
TIH00000267	要爆炸啦！
TIH00000268	
TIH00000269	我操！
TIH00000270	战斗开始
TIH00000271	杀光他们。
TIH00000272	混蛋。
TIH00000273	死亡
TIH00000274	
TIH00000275	
TIH00000276	
TIH00000277	
TIH00000278	敌人！
TIH00000279	混蛋！
TIH00000280	
TIH00000281	看看四周...
TIH00000282	
TIH00000283	
TIH00000284	清干净了。
TIH00000285	所有的敌人都倒下了。
TIH00000286	
TIH00000287	呸，我失去了他们。
TIH00000288	
TIH00000289	操。
TIH00000290	狗屎，他们走了。
TIH00000291	
TIH00000292	有人不能保持隐蔽了...
TIH00000293	盯着目标.
TIH00000294	
TIH00000295	保持冷静.
TIH00000296	
TIH00000297	不是糟糕的事情。
TIH00000298	
TIH00000299	...
TIH00000300	
TIH00000301	我从那个大人物身上得了50。
TIH00000302	
TIH00000303	操，有人挂了！
TIH00000304	我们倒下了一大片！
TIH00000305	该死的！
TIH00000306	这是你的钱。
TIH00000307	好的，坐稳。要不要先来点威士忌压压惊？介不介意我也来一口？呵呵，咱们医生这行的小笑话。
TIH00000308	好的，治好我。这是75瓶盖。
TIH00000309	在这等着。
TIH00000310	当然。
TIH00000311	掐灭烟头！
TIH00000312	我们交易装备吧。
TIH00000313	不要打我的枪的主意。
TIH00000314	好的，但我他妈的不是你的洋娃娃。
TIH00000315	当然。让雇佣兵带着你所有不要的东西。
TIH00000316	不说战术了。
TIH00000317	好。
TIH00000318	和他们保持距离。不妨从侧面攻击他们。
TIH00000319	听你的，趴下来 这是策略，我会照做的。
TIH00000320	好的，就这样。我们走吧。
TIH00000321	我就在你身后。
TIH00000322	你的距离不错。让我们谈谈其他事。
TIH00000323	那好吧。
TIH00000324	紧跟着我。
TIH00000325	收到。
TIH00000326	我们来讨论下你我之间的距离。
TIH00000327	好的。你想怎么做？
TIH00000328	我希望你使用远距攻击武器。
TIH00000329	你说的对。一次瞄准，一次杀敌，他妈的。
TIH00000330	切换到近战武器。
TIH00000331	有人听过“不要在一场枪战中带着小刀”这个谚语吗？
TIH00000332	让我们谈点别的。
TIH00000333	还有什么？
TIH00000334	就这样。我们走吧。
TIH00000335	好的，走吧。
TIH00000336	我希望你改变你的战斗风格。
TIH00000337	怎么做到的？
TIH00000338	我们谈谈你的战术吧。
TIH00000339	我听着呢。
TIH00000340	我们走。
TIH00000341	好吧，带路。
TIH00000342	我们该分道扬镳了。
TIH00000343	你确定？
TIH00000344	我觉得我们应该同行。
TIH00000345	我准备好了。带路吧。
TIH00000346	
TIH00000347	我掩护你。
TIH00000348	我这就去。
TIH00000349	我想了一下，还是留在我身边吧。
TIH00000350	好的，让我们行动吧。
TIH00000351	是的，我确定。
TIH00000352	好吧，如果你需要我，我会在西区等着。
TIH00000353	
TIH00000354	收到。
TIH00000355	如果我没有动手，你也不要擅自攻击敌人。
TIH00000356	什么，你制定了交战规则？这不是维和任务。
TIH00000357	我要你看到敌人就马上攻击他们。
TIH00000358	不客气。
TIH00000359	
TIH00000360	操, 我快死了。
TIH00000361	狗屎, 我不知道我是否能站起来。
TIH00000362	耶稣，就这样了。
TIH00000363	
TIH00000364	有多余的治疗针吗？
TIH00000365	
TIH00000366	
TIH00000367	这护甲真次。
TIH00000368	
TIH00000369	我需要一次换装。
TIH00000370	...
TIH00000371	这狗屎完蛋了。
TIH00000372	
TIH00000373	我的弹药快要耗尽了。
TIH00000374	有多余的弹药吗？
TIH00000375	
TIH00000376	哦，该死的好极了。
TIH00000377	残废
TIH00000378	该死的，我伤残了。
TIH00000379	医生！
TIH00000380	治愈中
TIH00000381	天呐，这比做爱还爽。
TIH00000382	我准备好了。.
TIH00000383	中毒
TIH00000384	操，我...看不清了。
TIH00000385	狗屎， 我需要抗毒素...之类的东西。
TIH00000386	我觉得…恶心。
TIH00000387	我需要蛇毒血清，快点。
TIH00000388	
TIH00000389	我没办法背更多你的狗屎东西了。
TIH00000390	
TIH00000391	
TIH00000392	依我来看，这么个操蛋的潜行显然被高估了价值。
TIH00000393	这狗屎玩意儿让我抽筋了。
TIH00000394	是的，像一头公驴那样行走，这需要帮助。
TIH00000395	该死的，这种蹲姿擦伤了我的蛋。我了个草。
TIH00000396	
TIH00000397	你，就是你！你是来交货的吗？请跟紧我。
TIH00000398	
TIH00000399	是的，我认出了你。
TIH00000400	一个普通的邮差就足够了，但是你...好吧，这是个意外。
TIH00000401	你是普通人，不是吗？我听说死里逃生...你在这里很有名气。
TIH00000402	一点也不想被人从坟墓里挖出来的，嗯哼？
TIH00000403	你是怎么知道的？
TIH00000404	一直以来，你所做的每一件事，每一个选择和每一个你杀死的人...你都控制不了它们的流传。
TIH00000405	你可能没有意识到，你成了传说中的人物，不管你喜欢与否。
TIH00000406	如果不是我虚弱的身体，我很乐意与你唠叨一下。但是节省时间恐怕更重要一点。
TIH00000407	你做出了很多你的选择，见证了后果。在很久之前另一种生活中，我也做了很多类似的。我为我那些选择付出了代价。
TIH00000408	邮差是一个受信任的角色。我希望你在这次运送中尽职尽责...这是...我不能再延误这个包裹了。
TIH00000409	我想让你给西区的某个人送一个包裹。他叫做布拉德利。
TIH00000410	考虑到一个善意和信任的表示，我将支付500个瓶盖作为预付。
TIH00000411	这个提议你满意吗？
TIH00000412	无意冒犯，但我想商量一下运送工作。
TIH00000413	打扰一下，请勿见怪。我知道你是个重量级的人物，所以我想托付手头上的事儿。
TIH00000414	我想让你给西区的某个人送一个包裹。他叫做布拉德利。
TIH00000415	作为交换，我将支付500瓶盖作为预付。我了解你的名气。
TIH00000416	这个提议你满意吗？
TIH00000417	别说废话了。你想要运送一些东西，直说吧。
TIH00000418	这是什么世道啊...一个对野蛮人，野兽和土人来说的天堂。这显然适用于你。
TIH00000419	无论你的性格怎样，我都了解到你是一个有名气的邮差。因此，我想委托你一件事。
TIH00000420	我想让你给西区的某个人送一个包裹。他叫做布拉德利。
TIH00000421	考虑到一个善意和信任的表示，我将支付500个瓶盖作为预付。
TIH00000422	这个提议你满意吗？
TIH00000423	我做。
TIH00000424	如我所料，你十分适合这份工作。
TIH00000425	将这个信封和钥匙交给布拉德利，他现在是西区民兵。
TIH00000426	一旦信送到了，你就不用向我负责了。而且，如果你帮助布拉德利的话，我还会给你额外的酬劳。
TIH00000427	我希望这将是一个结束...一个了结。祝你好运，邮差。我现在想单独呆一会了。
TIH00000428	我没兴趣。
TIH00000429	我希望你重新考虑下。如果你改变了主意请回到这里。
TIH00000430	
TIH00000431	废土上贪婪的机会主义者从来不会使我感到惊讶。很好。只是我拥有的全部。
TIH00000432	将这个信封和钥匙交给布拉德利，他现在是西区民兵。
TIH00000433	一旦信送到了，你就不用向我负责了。而且，如果你帮助布拉德利的话，我还会给你额外的酬劳。
TIH00000434	我希望这将是一个结束...一个了结。祝你好运，邮差。我现在想单独呆一会了。
TIH00000435	我怀疑有很多双眼睛盯着这个包裹。拿走这1,000瓶盖达成我们的交易吧。
TIH00000436	你这是想从一个干燥的海绵中挤出水，邮差。我已经没有东西可以给你了。
TIH00000437	500个瓶盖 - 不多不少。你接受吗？
TIH00000438	由于清泉镇的发生的事件，我的房租有所增长。拿走这1,500个瓶盖达成我们的协议。
TIH00000439	
TIH00000440	我有个货物要交付给你。
TIH00000441	什么？你确定这是给我的吗？
TIH00000442	好吧，给我一点时间...等一等。我听到了一些声音...
TIH00000443	
TIH00000444	微笑的服务，呵？我立马就看。我没太多时间浪费在这狗屎上。
TIH00000445	看吧，不要把这卷成一团塞进你的内裤里。让我搞定这团狗屎然后我会签收那个包裹。
TIH00000446	实在是...等等，我认为我听到一些声音。
TIH00000447	听着，欢呼吧 - 我穿过沙漠只为将这封信交给你。你不感谢一下？
TIH00000448	
TIH00000449	该死的，从我开始护卫商队穿过80号公路以来，我从未见过这么多的袭击者。
TIH00000450	你是个邮差，对不对？在刚才的小打小闹之后，你让我刮目相看。你走路像个雇佣兵。很高兴你在这里。
TIH00000451	现在我们获得了一些喘息的空间，我想要看看包裹。
TIH00000452	一个密封的信。让我们看看上面说了什么...
TIH00000453	
TIH00000454	亲爱的布拉德利,我的名字叫做乔·塞拉斯。我肯定你从未听说过我。真是废话。
TIH00000455	考虑一下我的这份遗嘱。你的父亲，乔·塞拉斯。
TIH00000456	我明白如果可以，你会销毁这分笔记并擦去任何有关于我的联系。这对你来说是合情合理的。
TIH00000457	在这些行为落实到位之前已经过了很长时间了 - 我不知道没有下一把钥匙的话，你能不能发现那里。
TIH00000458	钥匙附在信里，这是打开避难所的所需的三把钥匙之一。下一把钥匙在梅斯基特山脉的莱纳斯洞穴。
TIH00000459	不管怎样，我相信你的职业给了你顺利达成目的的技能和必要的勇气。
TIH00000460	别搞错了：这不是一个简单的遗产。你必须冒着危险想办法进入那个避难所。
TIH00000461	没有什么可以弥补我对你和你母亲的伤害。但是我还欠你一份与生俱来的权利。这是我所能付出的所有。
TIH00000462	那是一个处于莫哈维之中的避难所，那里藏有的财富足够让你重新开始。在此之后你就可以离开危险的前线了。
TIH00000463	我知道你为维持生计曾当过一段时间的雇佣兵。我从未想让你过那样的生活。 总比你的生活好，老混蛋。
TIH00000464	即使你恨我或者只是希望无视我，我也只是请求你接受我离别的礼物。考虑一下我为抛弃你所做的无力补偿吧。
TIH00000465	因此，我断了与你母亲的所有联系。她离婚，而我流浪。我毫不怀疑你对我心怀怨恨。
TIH00000466	在我遇见你的母亲不久之后，就爆发了一场战争，而我是失败的一方。仅仅是因为我被误认为是同谋。
TIH00000467	这不是缺乏感情或是逃避责任。 他妈的。 恰恰相反，我逃离是为了确保你的安全。
TIH00000468	言归正传吧：我是你的父亲。我跟你母亲分开后没多久你就出生了。我做出决定的原因是复杂的。
TIH00000469	我很久之前做出的决定对你的冲击超出你的想象。我常常质疑我的决定，如果我没有那样做，事情的结果会怎样。
TIH00000470	当我写下这封信的时候，我不确定我是否能鼓起勇气将它发出去。好吧。.
TIH00000471	
TIH00000472	胡说八道 - 这是一种耍人的把戏吗？要么坦白交待要么我将会拧开你那该死的头盖骨！
TIH00000473	
TIH00000474	原谅我的疑惑，但是他妈的我该怎么设法接受这个？某些老傻瓜写信给我，跟我说我继承了他的宝藏。
TIH00000475	虽然这是个骗局，该死的。但是他指望我去挖什么钥匙，鬼才知道那是什么狗屎？真他吗的扯谈。
TIH00000476	我只是负责运送货物。我毫不知情。
TIH00000477	滚开，蠢蛋。我只是个邮差。
TIH00000478	原谅我的疑惑，但是他妈的我该怎么设法接受这个？某些老傻瓜写信给我，跟我说我可以得到传说中的宝藏。
TIH00000479	虽然这是个骗局，该死的。但是他指望我去挖什么钥匙，鬼才知道那是什么狗屎？真他吗的扯谈。
TIH00000480	我只是做了我的工作而你如此无礼？去你的，这是你父亲的问题。
TIH00000481	长点心吧 - “射杀信使”会承担报纸的压力的。
TIH00000482	我只是想确定你不是在跟我开玩笑。抱歉，我让你如此暴躁不安。
TIH00000483	总之他妈的我该怎么设法接受这封信？某些老傻瓜写信给我，跟我说我可以得继承他的宝藏。
TIH00000484	虽然这是个骗局，该死的。但是他指望我去挖什么钥匙，鬼才知道那是什么狗屎？真他吗的扯谈。
TIH00000485	
TIH00000486	不过，我不知道他是否是另外的混蛋。
TIH00000487	如果他是我想的那样....前英克雷...那还是值得花费我的时间。那些老混蛋还有些军火藏在附近。
TIH00000488	许多战前科技在这里能卖出一个合理的价钱。该死的范格里夫家族将每个人都拔了一层皮。削弱他们将会很有趣。
TIH00000489	我不反对调查这件事。并且如果你帮忙的话我会分给你一部分物品。看起来你知道如何自行处理。
TIH00000490	现在唯一的麻烦是，我现在有西区的合约在身，而且你看到了，这里有恶魔帮的问题。
TIH00000491	我不知道他们哪里来的人力，但是恶魔帮突然冒出许多人袭击西区。
TIH00000492	尽管到处惹是生非的赏金猎人杀了他们的一些头目，但是看起来有其他人介入让他们陷入疯狂。
TIH00000493	据说一些毒瘾发作的巫医挑起恶魔帮发动毒品圣战来反对西区。实际上，这不是我编造的。
TIH00000494	他似乎躲在这西边的就霍夫曼矿洞中。如果你能做掉他，恶魔帮的进攻应该会减少。
TIH00000495	如果恶魔帮正常了，我将会辞职一段时间，至少足够我们找到那个避难所。
TIH00000496	我不得不旁观，不过如果你按我说的照做我会付给你一些瓶盖。事后就结账，怎么样？
TIH00000497	塞拉斯不会骗我。这封信是真的。
TIH00000498	
TIH00000499	不，不，不。我不至于蠢到那种程度。我对埋葬在沙漠中的马德雷山脉的财富没有任何想法，不过这个应该是真的。
TIH00000500	如果他是我想的那样....前英克雷...那还是值得花费我的时间。那些老混蛋还有些军火藏在附近。
TIH00000501	许多战前科技在这里能卖出一个合理的价钱。该死的范格里夫家族将每个人都拔了一层皮。削弱他们将会很有趣。
TIH00000502	我不反对调查这件事。并且如果你帮忙的话我会分给你一部分物品。看起来你知道如何自行处理。
TIH00000503	现在唯一的麻烦是，我现在有西区的合约在身，而且你看到了，这里有恶魔帮的问题。
TIH00000504	我不知道他们哪里来的人力，但是恶魔帮突然冒出许多人袭击西区。
TIH00000505	尽管到处惹是生非的赏金猎人杀了他们的一些头目，但是看起来有其他人介入让他们陷入疯狂。
TIH00000506	据说一些毒瘾发作的巫医挑起恶魔帮发动毒品圣战来反对西区。实际上，这不是我编造的。
TIH00000507	他似乎躲在这西边的就霍夫曼矿洞中。如果你能做掉他，恶魔帮的进攻应该会减少。
TIH00000508	如果恶魔帮正常了，我将会辞职一段时间，至少足够我们找到那个避难所。
TIH00000509	我不得不旁观，不过如果你按我说的照做我会付给你一些瓶盖。事后就结账，怎么样？
TIH00000510	如果你不感兴趣，我会很乐意从你手中拿着那把钥匙。
TIH00000511	
TIH00000512	让我们搞清楚一件事：我没有父亲。让我们假设一个事实，这个混蛋在41岁的时候把我母亲的肚子搞大。
TIH00000513	但是自吹和逃避不能使你成为一个父亲。如果这个混蛋认为他可以补偿我，那他确实是有些神经病。
TIH00000514	他和他的“海盗寻宝记”，给了我一个该死的藏宝图....见鬼去吧...让他见鬼去吧。
TIH00000515	这个人很可能是你父亲。难道你不想调查一下吗？
TIH00000516	
TIH00000517	好的。这是我保留的一些东西。它们应该能帮你将那些混蛋清出去。当事情办完了跟我核实一下。
TIH00000518	我做。
TIH00000519	我不那么想。
TIH00000520	这是个耻辱。如果你改变你的想法，我会将留下。
TIH00000521	我“关照”了一下舒尔金。
TIH00000522	我不确定在你承诺的时候是否是认真的。 现在你的承诺无需置疑了。
TIH00000523	那应该能暂时抑制恶魔帮的活力，所以我能自由的旅行。你准备走了吗？
TIH00000524	
TIH00000525	好的，让我们好好利用下哔哔小子吧。这里是避难所的坐标。
TIH00000526	但是在我们去那里之前，我想去亲自去看看这个老人。
TIH00000527	如果他是他声称的那样，我至少看他一眼，看看他到底是个什么样的人。
TIH00000528	这显然是愚蠢的好奇心。我们走吧。
TIH00000529	当然，我们走吧。
TIH00000530	我不准备走了。
TIH00000531	非常好。当你跟你的狗屎在一起的时候我会呆在这里。
TIH00000532	我在想怎么寻找那个藏身处。
TIH00000533	看吧，我不想浪费你和我的时间。你确定这样吗？
TIH00000534	
TIH00000535	我操，这狗屎真重。
TIH00000536	
TIH00000537	好吧，让我们看看是否...我操。
TIH00000538	耶稣啊，他死了。我来这里，准备下朝他眼睛里吐口水，而他...等一等，这是血...小口径枪械爆头，非常利索，非常专业。
TIH00000539	有人找到了他...为什么他们会在他临终的时候找他的麻烦？
TIH00000540	
TIH00000541	他妈的你怎么把我带到了这里？他有说过任何关于宝藏的事情吗。
TIH00000542	他有提及过其他有关的团体吗？这他妈的到底怎么回事？
TIH00000543	我只是同意运送包裹。他没有提到其他事情。
TIH00000544	什么都没有？你确定？狗屎，我很困惑。这不是一次业余活动，我敢肯定。我只是想要回报，而不是这种混乱的事情。
TIH00000545	我想说我们离开这里然后忘了这全部的事情吧。这不值得我们陷入麻烦。
TIH00000546	我不知道这些狗屎东西。我像你一样全然不知。
TIH00000547	所以你说个不停。这不是一个盗窃或者某些偶然的谋杀，这是专业的技巧。相信我，我可以辨别这种手法。
TIH00000548	我想说我们离开这里然后忘了这全部的事情吧。这不值得我们陷入麻烦。
TIH00000549	如果他真的是个前英克雷，也许这会是赏金猎人干的。他们这些天无处不在。
TIH00000550	大多数赏金猎人显得愚蠢而又草率。在未经训练的人的眼中这或许成立，但是我要告诉你这是一个专业人士的精确一击。
TIH00000551	我想说我们离开这里然后忘了这全部的事情吧。这不值得我们陷入麻烦。
TIH00000552	我记得你不喜欢这家伙。我以为你会很高兴。
TIH00000553	听着，这是原则问题，更不用说现在我们或许卷入一场真正屎尿横流的暴风雨当中。
TIH00000554	我想说我们离开这里然后忘了这全部的事情吧。这不值得我们陷入麻烦。
TIH00000555	目前还不知道会发生什么。我觉得我们要继续前进。
TIH00000556	郑重声明，我认为这是个错误。
TIH00000557	不过一言为定，而且我不能忍受你收获战利品的时候没有我的份。
TIH00000558	在我们做任何事之前我想要准备一下。让我们回西区一趟然后出发去地堡。
TIH00000559	我同意，这不是协议的一部分。我们回家吧。
TIH00000560	如你所说。我们回西区吧。我会在那里跟你结算报酬。
TIH00000561	
TIH00000562	好吧，这是个好日子。
TIH00000563	我以为我会发现是个普通的信使，而不是“邮差”。你在莫哈维可是相当有名气啊。
TIH00000564	你是谁？
TIH00000565	好吧，这不重要。为了我们的事业，你可以称我为霍金斯。
TIH00000566	你想要怎样？
TIH00000567	已故的塞拉斯先生将他财产中的某个钥匙给了你。
TIH00000568	显然塞拉斯先生忘了告诉你，他与我的老板有协议在身。
TIH00000569	刚才说到的钥匙应该在塞拉斯死后传到我的老板那里。你可以称之为人身保险。
TIH00000570	不幸的是，塞拉斯先生决定违背合同，而他雇用你将钥匙给给布拉德利先生。这是个问题。
TIH00000571	直截了当的说吧，邮差。我完全了解你的名气和能力。但是我需要那把钥匙。
TIH00000572	<保持沉默>
TIH00000573	我知道沉默可以加强神秘感，但是我可以保证，这一点都让人感到印象深刻。
TIH00000574	
TIH00000575	啊，虚张声势的废物。
TIH00000576	我有时会忘记提到。本着好斗的精神，允许我以同样的方式回敬你。
TIH00000577	要么给我塞拉斯的钥匙，要么我会割断你的喉咙，并杀死你所关心的每一人。怎么样？
TIH00000578	无论你葫芦里卖什么药，我他妈的都不会买。
TIH00000579	
TIH00000580	我，当他们告诉我那是邮差的时候我就知道，这是我的死亡判决。我不应该那样的死去！
TIH00000581	谢谢你，邮差。我将要离开这种生活。
TIH00000582	有多少人面对着我而死去？离开并过你自己的生活吧。
