AID00098043	PLAYER LOCKED OBJECT
AID00098124	Were you the one who killed the NCR president? I'd like to shake your hand!
AID00098125	Did you hear? Someone actually managed to assassinate the NCR's president! And we just sit here!
AID00098126	The other day I heard some bigwig in the NCR military died. Hopefully it disrupts their chain of command some.
AID00098127	Did you hear about that NCR higher up that died? That he was trying to sabotage them? Hope he wasn't the only one.
AID00098128	Seems the NCR is making friends. We've had reports of them making overtures to some gang in Freeside.
AID00098129	We just had word that the town of Primm is now part of the NCR. At this rate, they'll be running the whole region soon.
AID00098130	I heard some special squad of Rangers is on its way to the Vegas area. I guess the NCR is finally getting serious about fighting the Legion.
AID00098131	There've been reports that the NCR is moving more and more troops into the area.
AID00098132	It's the quiet before the storm up top. For once I'm almost glad we're down here.
AID00098133	Keep an eye on Veronica here. She's a sharp one.
AID00098134	Try to keep Veronica out of trouble, would you?
AID00098135	If you're planning to take Veronica with you, be sure to have a good pair of earplugs with you. I'm kidding, Veronica! Put the power fist down!
AID00098136	What a fascinating animal. I'm sure the scribes will want to take a look at him.
AID00098137	You hear about that band of crazy old ladies running around? I hear they're real vicious when they mug folks.
AID00098138	If the Lucky 38 coulda been giving us power all along, why all the fuss with Hoover Dam?
AID00098139	Try sleeping with that Lucky 38 all lit up above you. Just try.
AID00098140	I hear that woman can kill with her eyes! Stay away from me!
AID00098141	Your lady friend needs to lighten up.
AID00098142	Better watch out, I hear Rex likes to eat his owners. Why do you think the King was so eager to give him away?
AID00098143	Good to see Rex still around and kicking.
AID00098144	That's one ragged Ghoul you've got with you. Seems like a good guy, though.
AID00098145	That ghoul with you looks like he's older than the war! My the things he must have seen.
AID00098146	Oh no, I hear those things eat people! Stay back, freak!
AID00098147	Odd company you keep. I thought all Super mutants were crazed cannibals.
AID00098148	Weird robot. I don't think I've ever seen one of those before.
AID00098149	That looks like one of those spybots I hear House has been secretly releasing at night.
AID00098150	Business and luck don't often go hand-in-hand in the Mojave. Watch your back.
AID00098151	Check out the Wrangler if she needs booze.
AID00098152	Keep your guns to yourself and there won't be any trouble.
AID00098153	You're not doing yourself a favor by having him tag along. NCR aren't welcome here.
AID00098154	I hear that guy has hundreds of kills, not all of them deserving of death.
AID00098155	I always thought there was more to Arcade than met the eye. I bet he'll do great things without the Followers holding him back.
AID00098156	I'm surprised to see Arcade venturing out of the Old Mormon Fort. I thought science types preferred to stay indoors.
AID00098157	Howdy.
AID00098158	Hey.
AID00098159	One of these days you'll get what's coming to you.
AID00098160	Eat shit and die. That clear enough for you?
AID00098161	We don't take kindly to your type around these parts.
AID00098162	Witch! Witch! You should be burned for all the people you've turned into newts!
AID00098163	Baby-killer! Don't deny it! They told me you mowed down an entire orphanage on a dare!
AID00098164	Necrophiliac! I heard about those corpses you dug up! Stay away from my grandparents, dammit!
AID00098165	People say you practice witchcraft and dance naked in the moonlight. What the hell is wrong with you?
AID00098166	So I hear you like picking on little kids, huh? What kind of person beats up children for their lunch money?
AID00098167	People say you wear the skin of your enemies under your clothing. Is that true?
AID00098168	Leave me alone, scumbag.
AID00098169	You're a real piece of work.
AID00098170	Great. You again?
AID00098171	You're one crazy bastard, you know that?
AID00098172	I can't decide if I should shake your hand or make a run for it.
AID00098173	Good? Bad? You're the one with the weapons, eh?
AID00098174	Rumor has it you're really a posessed golem being controlled by the casinos. If this is true, where is your control crystal?
AID00098175	Planning to kill a puppy or save some goons today?
AID00098176	I have no idea what to believe when it comes to rumors about you. You must be insane or something.
AID00098177	People around here think you're a bit of an enigma.
AID00098178	Some say you like to trip old ladies crossing the street. Others say you regularly string up thugs.
AID00098179	People just don't know what to think of you.
AID00098180	Decisions are hard, aren't they?
AID00098181	We're all hoping you'll eventually figure out which side you're on.
AID00098182	Good? Bad? You're the one with the weapon.
AID00098183	Thanks for everything you've done. It really means a lot.
AID00098184	I hope some of the thugs around here follow your shining example.
AID00098185	You've been a godsend to Freeside.
AID00098186	I hear you even help the local rats cross the street.
AID00098187	People are saying you must have super powers to have pulled off all you've done in Freeside.
AID00098188	My friends have nothing but good things to say when your name is mentioned. It's great to see you.
AID00098189	Word of your work around here is spreading like wildfire. Keep it up.
AID00098190	Hey, you're the one people say has been helping out around here. Good on you.
AID00098191	I tell my friends you're a shining example of what's good around here, but they're not so optimistic.
AID00098192	Thanks for helping out around here.
AID00098193	Good to see you're still around.
AID00098194	Hey, good to see you.
AID00098195	Hmm?
AID00098196	Yeah?
AID00098197	What's up?
AID00098198	I wish I were there to see you take Benny down.
AID00098199	They say you single-handedly assaulted the dam and massacred everyone! That must have been quite a sight!
AID00098200	Well, it looks like we won't have to worry about NCR or the Legion messing with us now. I just hope the Securitrons can keep the peace.
AID00098201	They say you swarmed the dam with a whole army of Securitrons! That must have been quite a sight!
AID00098202	Can't say I like all the tin cans shuffling around, but this new Securitron Army shouldn't have much trouble keeping things safer around here.
AID00098203	Why not just put the slave collars on us yourself, you bastard. With the Legion at the dam, it won't be long before they enslave us all.
AID00098204	I heard the Legion is bringing in giant mutant dogs to assault the dam. I hope the NCR death squads packed steaks to distract them.
AID00098205	Don't be fooled. As soon as the Legion and NCR start fighting, the robots will invade and kill us all!
AID00098206	I hope the Legion gets destroyed. If they take the dam, we'll all be slaves.
AID00098207	People say the NCR are bringing in super trooper death squads to defend the dam against the Legion! This battle is going to be crazy!
AID00098208	Normally, I'd say screw the NCR, but if the Legion takes the dam, I think we're all screwed.
AID00098209	Some of my friends think the Legion is throwing a huge barbeque cookout across the river. With that much smoke rising, I believe it!
AID00098210	It looks like the Legion might be preparing for another run at the dam. This can't be good.
AID00098211	Well, aren't you just special? Everybody likes the new guy, but me? I'm chopped liver.
AID00098212	I hear you're building quite the reputation on The Strip. Don't forget about the little guys when you make it big.
AID00098213	Got some fresh grub coming in from Goodsprings.
AID00098214	Joe Cobb's crew got themselves killed over in Goodsprings.
AID00098215	Who's going to take charge with Eddie out of the picture?
AID00098216	Haven't seen a decent caravan come up the road in days.
AID00098217	Think that rollercoaster in Primm is still working?
AID00098218	If it weren't for Cooke, we'd still be slaving away for the NCR.
AID00098219	Gotta wonder why the NCR hasn't come for us.
AID00098220	We sure showed those bastards in the NCR.
AID00098221	Haven't seen Meyers around. Did he run off or something?
AID00098222	Scrambler's crazier than usual. Watch yourself.
AID00098223	You hear about the Deathclaws north of here?
AID00098224	Could've sworn I saw some Great Khans the other day.
AID00098225	Steer clear of the Mojave Post. NCR troopers all over the place down there.
AID00098226	Man, I'm glad Scrambler's gone.
AID00098227	I can't believe Caesar is dead. What will we do now?
AID00098228	Caesar has been seen walking among the troops. A good omen.
AID00098229	One of our agents successfully assassinated the NCR president.
AID00098230	House signing up with the NCR, you hear? Fucking sell-out.
AID00098231	If House is dead, how'd the lights get turned on in his place, huh?
AID00098232	House is dead, wonder if Motor-Runner will let us hit the strip now.
AID00098233	Why's that tower on the Strip all fucking lit up now, huh? I don't like it.
AID00098234	Your pet ghoul smells like ass.
AID00098235	Is that Mean Sonofabitch? They all look the same to me.
AID00098236	A flying robot? Man, I must be fucked up.
AID00098237	You hear about this courier doing shit around the Strip? Like what, delivering mail?
AID00098238	I wouldn't mind hitting that. She put out?
AID00098239	You see a Ranger in black, run the other way. Take you out from a quarter mile off.
AID00098240	Primm is going to be much tougher to push around with that new sheriff down there.
AID00098241	Someone is targeting us, I'm gonna kill that fucker when I find out who did it.
AID00098242	The Khans are all gone, wonder if they left behind their shit for making our goods.
AID00098243	House unplugged like a light. Wonder if he twitched before he bit it.
AID00098244	Fuck, where are we gonna get our shit from now that the Khans are all buddy buddy with the NCR.
AID00098245	So long as the Khans keep making it, I keep getting high.
AID00098246	Someone is targeting us, I'm gonna kill that fucker if we find out who did it.
AID00098247	Motor Runner dead? Who the fuck gonna run the show now?
AID00098248	Kimball dead, maybe the NCR will learn to stay the fuck out of other people's business.
AID00098249	That NCR prez survived a Legion hit? Wouldn'ta guessed.
AID00098250	NCR is going to be rip shit about losing their little train.
AID00098251	House all dead, we should hit the Strip. Rip shit up.
AID00098252	House dead, Strip can belong to anyone who wants it. Fiends to rule.
AID00098253	People all scared of those robots on the Strip since they changed. Like who needs the Strip anyway?
AID00098254	You ever think about being a Ranger?
AID00098255	I'd gladly fight at your side.
AID00098256	You got my respect.
AID00098257	Leave me out of your fight!
AID00098258	Welcome to the Casa Madrid. If you got an itch needs scratching, you came to the right place. Just watch how you treat the merchandise.
AID00098259	Welcome to the Casa - so long as you didn't come here to sell that scrawny ass of yours around here.
AID00098260	I'm not hiring new girls - all slots filled, you could say - and my arrangements with Marco are exclusive.
AID00098261	I don't know what went on between you and Anderson, but leave me out of it.
AID00098262	This job's boring enough without talking to you. Go see Alexander.
AID00098263	Alexander doesn't pay me to talk.
AID00098264	We're just muscle. Alexander's the man to talk to.
AID00098265	Hang on there, traveler. You'll want to steer clear of this place - the whole town is irradiated to high hell.
AID00098266	How are you coming with the dog tags?
AID00098267	You're back. What can I do for you?
AID00098268	Ya got any change, man? I've got five kids to feed.
AID00098269	You're a crazy son of a bitch, you hear me! The Tops!? Ha! Crazy.
AID00098270	Ya got any change, man? I've got five kids to feed.
AID00098271	Yeah I saw Benny running through here! He had the fear of the devil in him!
AID00098272	You killed ol' cheeser!? They said he was a God! Ha, who ever heard of a God of cheese?
AID00098273	Cheeser's dead!? They said he was a God! Ha, who ever heard of a God of cheese?
AID00098274	There are many good things in life, but peeing is definitely the best.
AID00098275	Hey! Don't poke me!
AID00098276	Ow! Why are you poking me!
AID00098277	You've got to keep your bitches in line!
AID00098278	You've got to keep your bitches in line!
AID00098279	Go bother someone else.
AID00098280	A man is never drunk if he can lie on the floor without holding on.
AID00098281	Woooooo!
AID00098282	Where'd The Kings go?
AID00098283	Hey doc! You got any Fixer?! I've got a bender planned that would make a hobo cry.
AID00098284	I think your friend wants to eat me! Please don't let him!
AID00098285	Is there anything more beautiful than a beautiful busty brahmin riding a caravaneer off into the sunset... Wait I don't think that came out right.
AID00098286	I'll give you five caps for the robot!
AID00098287	Your ghoul friend looks shifty. Watch your pockets, buddy!
AID00098288	It doesn't matter if they restrict the water. We can get it elsewhere now.
AID00098289	Heard some of the Locals were attacked recently. Serves 'em right!
AID00098290	Some friends of mine were attacked the other night. Someone should do something.
AID00098291	One of these days I'll say up enough to get out of here. One of these days...
AID00098292	A guy I know said there's some kind of cannibal army camped out to the east.
AID00098293	Watch yourself if you go into one of them casinos, or you'll be stuck here like the rest of us in no time.
AID00098294	The NCR should just take this place over. Their army's big enough.
AID00098295	The Kings say they're keeping the peace, but this place is as violent as ever.
AID00098296	Did you go over by the train station last night? Bless those people.
AID00098297	It's almost time to head down to the train station. It's all I look forward to anymore.
AID00098298	Hey stranger, if you're hungry, there's a man around here somewhere telling people where to get free food and water.
AID00098299	You going over to the station tonight, too?
AID00098300	Watch out for Fiends.
AID00098301	We don't need the NCR.
AID00098302	Hey, do you mind? I'm trying to drink myself to the ground, right here. Scram.
AID00098303	Hey, scram. Come bug me when I'm at the diner... if you're a real pain in the ass.
AID00098304	Run! Beasts got free!
AID00098305	Deathclaws are loose! Get out of here!
AID00098306	It can't be! How the hell...
AID00098307	Holy shit! Run for your lives!
AID00098308	What a fight!
AID00098309	Charging a casino full of heavily-armed gangsters was a great idea, boss. Definitely not the kind of thing that could have gotten us both killed.
AID00098310	Not to worry, boss. I'm sure killing the boss of one of the Families will in no way lead to savage, bloody reprisals against you and your loved ones.
AID00098311	If we run, we might still catch Benny! Well, you might. I'll just be wheezing along behind you.
AID00098312	You really enjoy dragging me into situations where I get shot at, don't you boss?
AID00098313	Ahh, overly-elaborate mob schemes to take over Vegas. Reminds me of the days before the War.
AID00098314	I can't believe we're allowed inside the Lucky 38. That place has been a legend since before the War....
AID00098315	Angry soldier robots with bazookas. I'm sure they'll be a good police force.
AID00098316	Maybe I'm just old and tired, but being locked in a cool, dark pod to sleep for a few centuries doesn't sound so bad.
AID00098317	Eesh, boss. Just... eesh.
AID00098318	Don't worry boss, I'm sure Caesar just wants to invite you over for coffee or something. That's all.
AID00098319	Hey boss, that surgery reminded me of something: I got this funny lump right down here... think you could take a look at it?
AID00098320	I'm glad you decided to off one of the most powerful men in the Mojave. Life was getting boring anyways. Really.
AID00098321	Yeah, Caesar, let's give you brain surgery in a tent. That can't possibly go wrong.
AID00098322	Caesar's death reminds me of an old saying. I can't quite remember it now, something like "sic semper tyrannosaurus."
AID00098323	Oh, good. Now there's an army of robots. You don't do things by halves, do you, boss?
AID00098324	Did blowing up that vault serve a purpose, or do you just like explosions?
AID00098325	Those poor NCR soldiers... now where will they get their hookers and gambling?
AID00098326	Be honest, you did it for the ticker-tape parades, huh boss?
AID00098327	Don't worry, boss. I'll make sure your biography says you "heroically changed your mind" about killing the president, not "choked under pressure."
AID00098328	Just to be clear, we're not planning to visit any NCR facilities, right boss? Like, ever again?
AID00098329	Well, the President's dead, but don't worry. History has shown that that sort of thing almost never leads to massive destabilizations or world wars.
AID00098330	Never been a big fan of gangs like the Fiends, boss. I'm glad they're gone.
AID00098331	The Khans didn't seem so bad to me, but what do I know? I was locked up in a cell by a crazy Nightkin for years.
AID00098332	Do you often go toe-to-toe with guys dressed as tanks, boss? That might not be great for your life expectancy.
AID00098333	I'm sure pissing off a ruthless warlord with a tribe of fanatically-devoted warriors was a good move. How could it not be? It was your idea.
AID00098334	I'm sure pissing off a massive government with a huge army at its disposal was a good move. How could it not be? It was your idea.
AID00098335	I'm sure pissing off the two most powerful factions in the Mojave was a good move. How could it not be? It was your idea.
AID00098336	Don't worry, boss. I'm sure the sudden tension in the air is just... a thunderstorm?
AID00098337	Okay, so maybe I was wrong about the thunderstorm thing. I admit it.
AID00098338	Looks like this is gonna be the big one, boss. If you're ready, I'm with you.
AID00098339	What can I do for you, boss?
AID00098340	Took you long enough. So, can I go now?
AID00098341	I haven't heard a fresh batch of crazy coming out of the radio in a while. Does that mean I can leave?
AID00098342	Back again? Can I go this time, or do you have something else in mind?
AID00098343	Oh, it's you. You need something repaired or something?
AID00098344	Fancy meeting you here, friend.
AID00098345	Hey there, friend.
AID00098346	Well butter my butt and call me a biscuit, if it ain't my old friend from Goodsprings!
AID00098347	Well... don't that beat all - it's my old friend from Goodsprings!
AID00098348	Well howdy, pardner!  You made it out of Goodsprings no worse for the wear. Good for you.
AID00098349	I reckon you'll be tracking down that varmint now. A man puts you in a grave has it coming if you ask me.
AID00098350	Damn, son, you look like ten miles of bad road.
AID00098351	A piece of advice: Watch yourself around No-Bark... I think he's studying to be a half-wit.
AID00098352	Oh... Hello. I am Michael Angelo. How can I-
AID00098353	Uh... wait. Are you here to deliver more billboard requests? Please tell me you're not a messenger on behalf of Mr. House.
AID00098354	Looks like we got a new visitor in the ol' Brahmin pen. Not many people coming here in a hurry, only passing through.
AID00098355	And if you're passing through, you picked a bad time. Road north has gone to hell, and if I let a caravan through, they won't make it.
AID00098356	Die, NCR filth!
AID00098357	Thank you for your advice. You've helped me see more clearly.
AID00098358	Flails of God!
AID00098359	Who are you? How did you find this place?
AID00098360	You're back. Any progress on saving our skins?
AID00098361	You're some kind of hero, huh? I heard about how you saved the President's life. That's incredible.
AID00098362	You've heard the news about President Kimball? Thank God he survived, but I hope the Rangers hunt down the miserable traitor that tried to kill him.
AID00098363	I just can't believe it... the President's dead. It doesn't even feel real.
AID00098364	Swank filled me in about Benny. Hell of a thing, baby. Hell of a thing.
AID00098365	Oh, come on, baby, we just got this place cleaned up after your last visit!
AID00098366	Hey hey! Welcome, welcome, welcome to the finest entertainment experience in New Vegas! My name is Tommy Torini, and how can I make your night?
AID00098367	Hey hey! Welcome, welcome, welcome to the finest entertainment experience in New Vegas! My name is Tommy Torini, and how can I make your day?
AID00098368	Well, well, well, if it ain't the best-loved cat on the Strip in my theater! What can Tommy do for you, baby?
AID00098369	Now baby, you know I welcome everybody here at the Aces, but I gotta ask you to keep any mayhem to a minimum, you dig?
AID00098370	This new act is out of sight, baby! We're bringing in the caps like a Nuka-Cola bottling plant!
AID00098371	You doing right by Tommy, baby. Two new acts? We're making this joint jump!
AID00098372	Damn, baby, you bringing in so many acts the Rad Pack's taking half the night off! I'm seriously thinking about charging them for the free liquor.
AID00098373	I got to hand it to you, baby, you did an 18-karat job on this one. My schedule's so full I couldn't put on new acts if I wanted to!
AID00098374	Welcome back! Here for another fine entertainment experience?
AID00098375	Howdy there, partner.
AID00098376	Unnnh... please... help me.
AID00098377	Thanks for getting me down from that cross. I owe you one.
AID00098378	Thanks again for saving my ass.
AID00098379	Get away from me, you lunatic!
AID00098380	Anders told me what happened. We owe you one for rescuing him. Tell you what: I can give you caps as a thank you, or a special recipe Jack cooked up.
AID00098381	Any luck finding Anders?
AID00098382	You're not one of my regulars. What do you want?
AID00098383	I've been hearing a lot of good things about you. What's up?
AID00098384	Hey! Seems like you've been making lots of friends around here.
AID00098385	Oh, uh, hey - Jack can probably give you a discount, if that'll calm you down.
AID00098386	Look, we'll be happy to sell you any chems you want, just don't do anything crazy, okay?
AID00098387	If there's something you want, spill it - otherwise, move along.
AID00098388	Make it quick - I don't want to be seen with you.
AID00098389	Dammit, someone offed Motor-Runner! That guy was one of our biggest clients.
AID00098390	Someone's been picking off the leaders of the Fiends down in New Vegas. That's going to cut into our profits.
AID00098391	Did you make that delivery yet?
AID00098392	Hey, what's up?
AID00098393	Whoa. New guy.
AID00098394	Whoa. New chick.
AID00098395	Hey, look who it is bringing that good Khan karma around!
AID00098396	How's my most favoritest friend?
AID00098397	You seriously ought to mellow out, take some chill pills. I could sell you some, if you want.
AID00098398	You seem really... high-strung. You know, I'm sure some of what I make my chems out of was an antipsychotic at some point....
AID00098399	I'm all for live and let live, you know, but a lot of folks around here... umm... aren't.
AID00098400	Why do you have to harsh my mellow? Just be cool, you dig?
AID00098401	Hey, what's up?
AID00098402	You're the one making a name for yourself among the troops, aren't you? What is it you need?
AID00098403	Ah, the vaunted hero of the Legion. What can I do for you?
AID00098404	You've been quite difficult to predict, my friend. I hope I can sway you more solidly to the Legion's way of thinking.
AID00098405	Caesar is not fond of loose cannons like yourself. I sincerely hope you change your ways before something drastic must occur.
AID00098406	I've been warned about you. You are perilously close to making an enemy of Caesar, and that is not wise.
AID00098407	I understand you've been invited to meet with Caesar. You should be aware of the honor you've been granted.
AID00098408	If we weren't in Khan territory I would kill you where you stand. Caesar will be avenged!
AID00098409	Caesar's death was tragic, but do not think that it will break the Legion's resolve.
AID00098410	Caesar's veterans will arrive from Arizona soon, and there will be no stopping our victory.
AID00098411	Greetings in the name of Caesar.
AID00098412	I understand you've been talking to the Great Khans about breaking their oaths to great Caesar. I would call that... unwise.
AID00098413	I'm so much happier now. Thank you again.
AID00098414	What do you want?
AID00098415	Oh look, it's the conformist tool.
AID00098416	How much ass did you have to kick to get Papa Khan to like you so much?
AID00098417	Oh, hey. What's up?
AID00098418	I can't believe you're talking to me, this is so cool! I mean, uh... dude, what's up?
AID00098419	You going to make fun of me too?
AID00098420	I really don't want to deal with this right now.
AID00098421	What?
AID00098422	You're the courier who's caused so much trouble for my Legion, and yet you dare come before me.
AID00098423	I heard you were wandering around. Haven't gotten yourself arrested yet, huh?
AID00098424	This is just swell - Benny vamooses and I'm left holding the bag. Whaddya need, kid?
AID00098425	Heya baby, good to see you. Always nice to have a celebrity drop by.
AID00098426	Got to admit, baby, I'm surprised to see you walking around like this. Figured you for persona non grata around here.
AID00098427	Kid, you better have a good reason for waltzing back in here and not expecting us to fill you full of lead. So talk.
AID00098428	Jesus. Benny's dead, and now I gotta take up the slack. This right here is the end of an era.
AID00098429	Hello, baby! Welcome to the Tops! What can I do for you?
AID00098430	Hey there, pal! Welcome to the Tops, and what can I do for you today?
AID00098431	You did good, putting those Omerta finks in their place. I never did trust them.
AID00098432	So all of a sudden I'm hearing word that Mr. House ain't the boss of Vegas? Baby, that's just not square.
AID00098433	Little birdies tell me you've been to visit the Lucky 38 - not a lot of folks go in there these days.
AID00098434	Hey, doll, how's my favorite girl? Got a kiss for me?
AID00098435	Couldn't stay away, huh baby? Shoulda known. What can I do for you?
AID00098436	Something else you need?
AID00098437	You did a super job wrapping things up! And I'm not just saying that because I have to!
AID00098438	I didn't want to make a big deal about this until after we won, but, well...
AID00098439	I found some code snippets in one of Mr. House's databanks that will let me, um, reprogram my personality! To be a little more assertive, basically!
AID00098440	So that's what I'm going to be doing, and it's going to take me a while, so it'll seem like I'm off-line. But don't worry, everything will be okay!
AID00098441	I've updated the Securitrons' targeting parameters, so they know what to do! Vegas will be protected!
AID00098442	So that's where I'll be, off making a few changes, and I... I guess I'll see you around!
AID00098443	We accomplished a lot together! It was fun! Take care!
AID00098444	Hell of a thing about Chief Hanlon. I never would have guessed he was capable of it.
AID00098445	I've been hearing some rumors from the Embassy that Mr. House has gone quiet all of a sudden. You wouldn't know anything about that, would you?
AID00098446	Nice work dealing with Caesar. That'll make holding the Mojave a lot easier.
AID00098447	Have you seen these elite rangers they sent us from California? God damn those boys are gonna kick some ass!
AID00098448	Nice work with that assassination attempt! If my troops were half as dedicated as you, we'd win the war in a week!
AID00098449	Looks like the President's security detail was too good for you, huh, shitbird?
AID00098450	You oughta die for what you did.
AID00098451	Not like I even voted for him, but losing the President's a hell of a morale killer.
AID00098452	I just got word that 1st Recon is being mobilized to Nelson. God forbid we get any reinforcements here, right?
AID00098453	Seems the Misfits scored pretty well on their readiness evaluations. That strikes me as... suspicious.
AID00098454	I gotta admit, I'm impressed. The Misfits are drilling better than I ever expected.
AID00098455	I'm not sure what's going on with the Misfits - their accuracy is in the toilet, but they're spoiling for a fight like I ain't never seen.
AID00098456	Well, their test scores are only marginally improved, but I'm hearing good things about the Misfits' teamwork.
AID00098457	Ah, hell, what is it now?
AID00098458	What can I do for you?
AID00098459	You here to help, or just dick around all day?
AID00098460	Hot damn, look who it is!
AID00098461	Oh, great, like I don't have enough problems!
AID00098462	What the hell do you want?
AID00098463	What the hell do you want, you vicious son of a bitch?
AID00098464	What the hell do you want, you vicious bitch?
AID00098465	So you're back. What else do you want?
AID00098466	Okay, everybody's lined up and ready to go. Any suggestions?
AID00098467	Okay, we've got our dummy grenades and the course is live. We're all set.
AID00098468	The squad really seems to be working together better. It's nice, for a change.
AID00098469	What the hell happened with these readiness reports? These scores are way too high!
AID00098470	Thanks to your help, I feel like we can take on the world!
AID00098471	I don't know what Razz gave us, but holy shit this is great! I feel like I could kill an entire legion! With my teeth!
AID00098472	Haven't seen you around before, soldier.
AID00098473	Not very often we see civilians on-base. What's you're story?
AID00098474	I heard Chief Hanlon committed suicide. That's just... hard to believe. Do you know anything about it?
AID00098475	I hear Caesar's dead, and we've got you to thank for it. Nice work.
AID00098476	I hear Caesar's dead. Maybe that means the war will be over soon.
AID00098477	I've got a friend stationed at McCarran - I heard something about a monorail explosion there. I hope he's okay.
