GID00086201	RobcOS v.85
GID00086254	我真的很想去看看结果会怎样因为这会很有趣，但我需要保持距离。等他们都筋疲力尽了，我再收拾残局。
GID00086255	伯吉斯的指示
GID00086256	本内特
GID00086257	听着，你这个白痴，看看附近有没有人找到或进入过这个“地上小屋”。如果它确实存在，我已经告诉过你它可能在哪里。
GID00086258	我知道这对你来说很难，但尽量小心点。如果还有可能，请告诉我，我会亲自处理。不要进去。
GID00086259	=- 伯吉斯
GID00086260	66号避难所安全日志条目05
GID00086261	现在我是新任的安全主管了，我们可以把避难所收拾好。我从来都不喜欢上尉和他的狗屁军队，这是一个避难所科技的设施，就应该这样运行。
GID00086262	更重要的是，尼斯博士在他的研究中取得了一些真正的进展。我和他在一起很长时间了，我们可能会在一起更久。但我不确定监督理解尼斯博士试图实现的更大宏图。
GID00086263	66号避难所安全日志条目06
GID00086264	按照尼斯博士的指示，我们已经关闭了监督办公室。
GID00086265	当他看到里面的东西时，他觉得很好笑，这是我第一次看到他笑。我以为他可能想用，但他不感兴趣，所以就封起来了。反正离中庭太近了，我讨厌那些用来让树活下去的灯。
GID00086266	我一直以为监督办公室有个秘密出口?我肯定见过一个。我会看看的，但如果他从来没用过，那我想我一定是弄错了。
GID00086267	66号避难所安全日志条目07
GID00086268	我们刚刚在下水道里发现了一个孩子，他在大喊救命。他是怎么进去的?声称他发现了某种服务通道然后掉进了竖井。一定是其中一个取水竖井，我不认为它是可能的，以那种方式。更重要的是，他一直在像金丝雀一样唱歌，说他不是一个人，所以我加强了安全巡逻。我相信这个年轻人也会被证明是有用的。
GID00086269	66号避难所安全日志条目08
GID00086270	这群拾荒者比我们之前遇到过的都更有组织。他们中的一些人似乎穿着某种制服，这些就是新加州共和国吗?是我们听说过的人。
GID00086271	随着威胁的增加，我下令封锁。关闭电梯，不需要时锁上走廊。在我们采取直接行动之前，我们将看看他们如何处理外部防御。
GID00086272	我试着去找尼斯博士咨询，但他最近不太舒服。
GID00086273	66号避难所安全日志条目01
GID00086274	2086
GID00086275	第一次避难所外出已经被批准了。任务是只检查局部区域，主要是火车站。
GID00086276	监督对此感到惊讶，显然，从避难所进行勘探侦察不在避难所科技的操作程序中。但在军事上是这样的，我就是这么说的。
GID00086277	奇怪的是，这个地区似乎并没有受到战争的严重影响。我原以为这里是核废料场，但我们发现这片地区由于缺乏维护而被遗弃了。有证据表明有一些普通的抢劫，这表明仍然有人存在，我们确实在附近发现了一些奇怪的动物和植物。我想知道维加斯现在是什么情况?
GID00086278	我们没有探测到任何连贯的无线电传输，但我们在这些山区不是一个特别好的区域。
GID00086279	我们确保了火车场的安全，检查了防御系统，它们都处于良好状态，然后按照命令撤离。我个人认为我们应该更进一步，但我认为监督担心污染是可以理解的，这种已经出现的疾病不会消失。
GID00086280	66号避难所安全日志条目02
GID00086281	2091
GID00086282	是时候去避难所外面再侦察一次了。这次我们被授权进一步探索，检查山谷入口。
GID00086283	西线被山体滑坡阻断，但东线畅通无阻。不过我会走铁路，避开汽车隧道。有很多水穿过隧道衬砌，已经开始侵蚀它，尤其是在东端附近。我猜战争一定带来了一些非常恶劣的天气条件。
GID00086284	这种疾病现在已经蔓延了。奇怪的是，虽然我不是专家，但我们在这里找不到任何蛛丝马迹，但我想医生知道他在做什么。严格的净化程序正在执行。
GID00086285	66号避难所安全日志条目03
GID00086286	2096
GID00086287	该再侦察一次了。监督非常反对这些远行，而医生似乎对此保持沉默。一定是由于这种不断复发的疾病，但我坚持。我们总不能永远待在避难所里吧?根据我的计算，我们将在大约20年后离开。
GID00086288	我们一直走到锯木厂路口。重要的是，我们发现了最近经过这片区域的一大群人的痕迹，从我们发现的情况来看，他们可能来自一个避难所，但我们不能确定是哪一个。他们似乎是朝北走，不确定是朝着什么东西还是远离什么东西。又有更多的突变野生动物，甚至还有一种会吐出某种毒液的植物。
GID00086289	补充：
GID00086290	在监督和尼斯博士的命令下，进一步的侦察现已被禁止。
GID00086291	他们俩已经坚决反对了。我可以用军队的鬼话对付避难所的鬼话，但不能对付医学的鬼话。
GID00086292	66号避难所监督者日志条目01
GID00086293	2081
GID00086294	我们被封在里面已经有一段时间了，一切都很平静。我们根本没有从外面听到任何声音，甚至没有任何爆炸声。我猜避难所建得很好，不过没有任何通讯。
GID00086295	实验被推迟了，显然还有更多的背景研究要做。我们的常驻首席科学家尼斯博士正在组织细节。他独来独往，干劲十足。一位遗传学家，也是我所了解的新瘟疫治疗小组的成员之一。专门研究泛免疫病毒粒子，不管那是什么。
GID00086296	66号避难所监督者日志条目02
GID00086297	2084
GID00086298	对主题组成员的第一批测试已经开始。当我第一次听说这些避难所实验的时候，我有点吃惊，但当我了解它的时候，我非常兴奋。这是最尖端的东西。
GID00086299	当我知道我的避难所要做什么时，我有点失望。生理研究。长寿，增强耐力，诸如此类。我还偷偷地看了其他项目，心理学实验，声音，我以为我看到了一些关于木偶的东西，但我肯定是看错了。相比之下，我们的工作似乎有点乏味，但至少我是其中的一部分，或者说是监督者。我不确定我是否愿意成为那些真正卷入其中的可怜的傻瓜之一，至少在证明安全之前不会。
GID00086300	66号避难所监督者日志条目03
GID00086301	2088
GID00086302	实验进行得很顺利，我们得到了一些非常好的结果，但也有一些相当令人不安的副作用。皮肤问题，对光敏感等等。一些实验对象也表现出一些奇怪的行为模式。有些挺烦人的，我们只好克制一下。
GID00086303	尼斯医生似乎已经解决了这个问题，他一直在用某种血液制品治疗他们。动物的血液不能做到这一点，必须是人类的，但这不正是对照组的目的吗？我们只是给他们讲生化战争和过滤器有问题的故事，让他们站在一边。
GID00086304	66号避难所监督者日志条目04
GID00086305	2091
GID00086306	安全主管坚持要去避难所外侦察。它不在避难所的操作指令中但是有军事指令的相互冲突的命令。我想阻止它，因为它可能危及实验。我希望得到尼斯博士的支持，但我认为他是被他的好奇心控制了。
GID00086307	我会处理这两件事，但我需要小心主管，因为他实际上并不完全了解我们的主要指令。军人，不是避难所科技，他不适合这份工作。
GID00086308	66号避难所监督者日志条目05
GID00086309	2102
GID00086310	我真不敢相信!一群人从避难所逃走了!
GID00086311	我知道发生了一些事情，但我没有意识到有这么多人牵涉其中。怀特家，刘易斯家，邓恩家，苏珊·希克斯，大卫·伯吉斯，迈克尔·多兰，大部分是对照组，但不是全部。特拉普夫妇也去了，尽管他们刚刚开始“治疗”。
GID00086312	他们没有违反任何安全问题，因为首领，安德鲁·波克，就是其中之一!难怪我不知情，该死的叛徒。我觉得他表现得很奇怪。
GID00086313	但他们在外面坚持不了多久。商店里有过一些小偷小摸的行为，但没有什么能使他们持续很久。
GID00086314	这真的危及了实验，并引发了各种问题，我们需要他们的血液。如果我们抓到他们中的任何一个，我会亲自抽干他们。
GID00086315	66号避难所监督者日志条目06
GID00086316	2102
GID00086317	我授权一支巡逻队到外面去寻找失踪的成员，但不能走太远。他们没有找到他们，但我并不指望他们会找到。
GID00086318	从好的方面看，他们确实拉来了其他几个当地人。看起来很遗憾，没有从他们那里得到多少有用的信息，但有很多血。这将有所帮助。
GID00086319	66号避难所监督者日志条目07
GID00086320	2104
GID00086321	这里的情况越来越糟了。我们引进的一些当地“牲畜”是瘾君子，这给尼斯医生带来了各种问题。我们已经开始把它们关在围栏里“晾晒”，但这需要时间，而且不是所有的都能存活下来。
GID00086322	更重要的是，我发现有些人实际上也在吃它们。到底怎么回事?不存在食物短缺。令人惊讶的是，尼斯医生对此一点也不震惊，只是漫无目的地谈论副作用和激素，但我知道我并没有授权。他说的“已知”副作用是什么意思?
GID00086323	我会和新的安全主管谈谈，不管怎样。我不久前发现，他是博士带来的，很可能是他的手下。是真一团糟，我真的需要把这些人整理出来，重新维护我的权威。目前的情况是不行的。
GID00086324	66号避难所监督者日志条目08
GID00086325	2106
GID00086326	一切都毁了，发生了叛乱。
GID00086327	我今天和尼斯博士对质了。在谈话的过程中，我意识到他一直在接受自己的治疗，我能从他身上看到这一点。因为我没有注意到其他的病人，他们把这里弄得很黑，但是当我走近的时候...天啊，连保安都在用。尼斯说这是唯一的出路如果我们要活下来，并计划让我尽快开始!
GID00086328	不可能。我才不吃那玩意儿，它根本没被证明有效。我知道避难所外还有其他地方可以庇护我。详细资料储存在火车站场办公室，但应该被删除并转移到避难所主机，我的保险箱里有文件的访问密码。
GID00086329	至于离开这里，这里有一个紧急疏散商店和出口，我可以从这个办公室进入，我只是从没想过要使用它。
GID00086330	事情是怎么发展成这样的?
GID00086331	66号避难所监督者日志条目09
GID00086332	2106
GID00086333	我被彻底背叛了。当我检查应急商店时，我意识到波克和他的叛徒是如何计划逃跑和生存的。他们把一切都拿走了，洗劫了全部存货。他们是怎么知道的?为什么我从来没有检查过?
GID00086334	我甚至出不去了，他们把紧急出口都从外面锁上了，那些混蛋。我试着想办法穿过这个锁，但是找不到。他们已经杀死了我。
GID00086335	尼斯和他的同伙很快就能进来，他们已经把办公室里所有的主要系统功能从主机上关闭了。我可不想变成他们中的一员，他们也不会像利用其他人那样利用我，我要把所有的药都吃完，然后结束它。
GID00086336	我想让他们都见鬼去吧，但我们已经在这里了。
GID00086337	66号避难所大型机存档条目45187
GID00086338	机密，仅限政府
GID00086339	主题:斯通计划
GID00086340	功能:在核战争中安全储存地方政府的资源。
GID00086341	实现:小型仓库和银行金库，可容纳4人的安全团队。预计密封后的寿命为10年。
GID00086342	补充说明:
GID00086343	项目斯通修正案。参考邮件戴维斯/巴克
GID00086344	马丁,
GID00086345	1. 我们已经停止了斯通计划的进一步施工，削减开支，我能说什么呢?剩下的资金将被用来让我们手头的东西变得有用。
GID00086346	2. 你可以放弃进一步存货，因为只有有限的商店将被转移到这个地点。作为预防措施，他们想把所有东西都分散开，但我们将使用银行金库，因为它是功能齐全的。
GID00086347	3.安保工作现在是自动化的，因为根据心理学家的报告，安保团队有72%的几率在一年后自相残杀，93%的几率他们会偷走所有东西。这年头，你根本找不到工作人员。
GID00086348	4. 此外，请确保机器人系统终端上有密码。事实上，如果有人进入地下室，他们可能会把它们全部关掉。
GID00086349	结束
GID00086350	Inform0tion:
GID00086351	S&curity C$de: GY76-K632-00DA-DE73
GID00086352	Acc0ss c!de: D$65-%10.10s
GID00086353	Loc$3tion: 11403000"Deta %-8.0s E=%#-10.3f N=%#-10.3f
GID00086354	$311402000"Zip C%-10.0s:  E=%#-10.3f  N=%#-10.3f  L=%#-
GID00086355	- 检测到文件损坏:联系管理员 - 
GID00086356	主机文件访问代码
GID00086357	DH65-Q239Y
GID00086358	66号避难所安全主管个人日志01
GID00086359	2096
GID00086360	我需要小心我在安全办公室终端上写的东西，我知道监督可以访问它，如果他真的想要的话，包括个人终端。
GID00086361	现在已经没有人再到这一层来了，作为安全人员，我的工作就是检查这个区域。我可以在这里工作。
GID00086362	66号避难所安全日志条目04
GID00086363	2096安全日志补充
GID00086364	我环顾了教堂四周，那里的情况非常糟糕，我找到了一些碎纸片和任何能让我了解地下室外面情况的东西。我违反了规定，但我还是这么做了，我已经把其他人送回了避难所。
GID00086365	据我所知，社会已经分崩离析，这并不奇怪，但我找不到任何与瘟疫或疾病有关的资料。
GID00086366	在回避难所的路上，我遇到了一个住在旧汽车隧道上方的洞穴里的 "幸存者"。他一看到我就僵住了，我猜航天服的样子把他吓坏了。在他跑掉之前，我设法使他平静下来，并从他那里打听到了一些情况。
GID00086367	他证实另一组人也来自避难所，他很害怕避难所里的人，说我们都有病或是疯了，但其他避难所居民的症状和我们的没有关系。更重要的是，他说在他认识的人中没有发生过这样的感染。这仅仅是一个避难所的问题吗?如果是，又是怎么发生的?
GID00086368	这将导致一些非常棘手的问题。
GID00086369	66号避难所安全主管个人日志02
GID00086370	2097
GID00086371	我和我们的总工程师查理·邓恩谈过了。他很聪明，但有点好战，作为安全主管，我们经常不和。但我需要他的帮助，所以是时候把我们的分歧放在一边了，讽刺的是查理喜欢我的反抗。
GID00086372	我得弄清楚到底是怎么回事，而查理在我的帮助下，可以进入避难所系统找出真相。原来他已经知道了一些不该知道的事，包括一些我不知道的事。
GID00086373	是时候回答那些尴尬的问题了。
GID00086374	66号避难所安全主管个人日志03
GID00086375	2098
GID00086376	好吧，我想我已经知道发生了什么事。他们是怎么说的？小心你所希望的东西。
GID00086377	我终于进入了监督的终端，一遍又一遍地读着它，但还是无法相信，我们不过是该死的小白鼠。他们怎么会认为他们可以逃脱呢？但他们已经做到了，不是吗？
GID00086378	我需要专注于下一步该做什么，我能做什么，而不是我应该做什么，也就是杀死这些避难所科技无人机。我必须集中精力。
GID00086379	我不能信任我的安保团队，因为他们都属于避难所科技。我是个奇怪的人，临时从军队招来的替补。得先找出我能信任的人然后我们才能离开这里。得让人们相信我，天啊，我也参与了。
GID00086380	这在简历上不会好看。
GID00086381	丽斯笔记
GID00086382	我们的弹药又快不够了，所以我得派人去找该死的蓝光换一些。我很想扳倒那个混蛋，但他是我们唯一能弄到弹药的地方，就连安琪儿的大部分库存都是在那里买的。总之，那房子就是个该死的地堡。
GID00086383	也许我们应该等安琪儿，她会在东西上做标记，但每次我把这些木偶送到那里，它们就会四处嗅探，最后被杀。
GID00086384	说到安琪儿，我想知道她的派是从哪里来的?当然味道不错。
GID00086385	研究项目：维拉 1
GID00086386	我第一次真正尝试重塑维拉。
GID00086387	一个偶然的机会，我注意到在桥上的一个掠夺者的角色有显著的相似之处。在这一点上，我第一次考虑让维拉复活的可能性，从某种意义上说，所以我试图隔离这个人，把她带回我的实验室做进一步的测试。
GID00086388	由于正确的药物应用，最初阶段取得了成功，她很高兴自己能得到药物。然而，一旦药效开始减弱，这个人变得非常不合作和有攻击性，我被迫杀了她，这是一种挫折。尽管如此，我还是不能让她停滞不前，希望继续推进这个项目。
GID00086389	补充说明:
GID00086390	看来我的静止舱没有以最佳效率运行这个疏忽可能已经让这个项目付出了代价。我将毫不气馁地推进第二阶段和新的方法。
GID00086391	研究项目：维拉 2
GID00086392	由于我在海福德的线人，我设法从马德雷山脉获得了一些研究材料和硬件，尽管价格相当高。这可能实际上实现了维拉的全息再现，这应该更容易管理，因为我将不必开枪打死她，以确保她的合作。
GID00086393	我已经取得了很大的进步，但仍有以下几个严重的问题需要克服。
GID00086394	问题1:获得的非功能性全息投影仪只有一个小锅那么大，而我的设备在厨房里放不下。我需要采购更小的组件。
GID00086395	问题2:获得的全息投影仪允许全息图四处移动，并在一定程度上与周围环境相互作用。我的全息图只是站在那里说和做的很少，被限制在投影仪。说实话，她也有点脏。这是非常令人失望的。
GID00086396	研究项目：维拉 3
GID00086397	在海福德的一次偶遇意外地让维拉1号项目复活了。
GID00086398	这个项目再次被证明是有问题的，因为主题再次不合作，尽管最初的评估承诺相反。
GID00086399	然而，这一次我将更有耐心，以较慢的速度推进事情。为了更有条理，我将困难分开记入单独的条目中。
GID00086400	研究项目：维拉-3A
GID00086401	问题1:她不像维拉
GID00086402	对象行为分析显示总体上很少有类似维拉的属性。 我将此归因于缺乏合作，但通过管理以下项目在该主题领域取得了一些进展：
GID00086403	A.化学。这通常工作得很好，尽管主体通常开始表现得和主体2差不多，实际上停止了功能。
GID00086404	b.酒精。有时可以达到预期的效果，但也可能无法预测。
GID00086405	c.瓶盖。到目前为止，这产生了最好的结果，但在收购了马德雷山脉的产品后，我剩下的就很少了。
GID00086406	研究项目：维拉-3B
GID00086407	问题2:她看起来不像维拉
GID00086408	解决方法:穿着和戴假发。不能被认为是一个永久的解决方案，尽管它似乎是合理的工作，只要我保持她至少30米的距离。
GID00086409	研究项目：维拉-3C
GID00086410	问题3:她说话不像维拉
GID00086411	她的声音和维拉不一样，自从她戒了酒之后，她就对我自己和我的研究发表了一些看法。我相信维拉·凯斯不会宣布我是“吹山羊”。然而，我不得不承认，我不明白这句话实际上是什么意思，尽管它听起来并不积极。临时解决办法和第2个问题一样，只是把距离增加到50米，因为她可以大声喊。
GID00086412	研究项目：维拉-3D
GID00086413	问题4:她闻起来不像薇拉
GID00086414	我确信原始的维拉闻起来不像婆罗门，尽管我不能确认这一点，因为我找不到维拉·凯斯的香味信息，这一特定区域的数据令人沮丧地有限。
GID00086415	她自己提出了一个洗澡的解决方案，但我不愿听取没有科学背景的人的建议。临时解决方案与第2个问题相同。
GID00086416	研究项目：维拉-3E
GID00086417	问题5:她的名字不是维拉
GID00086418	她在海福德找我的时候，我应该多留心的。她已经在酒精的影响下了，当我问她的名字时，她说她就是我想让她成为的人。当她告诉我她叫维拉时，我应该意识到这个消息的真实性是可疑的。
GID00086419	人员
GID00086420	dkjfhsdlv(*$~@:hbs ls877863  4^^%HJBV
GID00086421	Normal.dotHG%?@:>>NCV{ 
GID00086422	GHTT5hcbf73 45957fbnvc chy799476 Vkkkkkkkkhd 
GID00086423	+Document% SummaryInformation(v ifdg09555500
GID00086424	kldfhdf }{_:&^$"Vhjdfb GR74 Ecky Ecky +++ufh
GID00086425	==_+CompObo yyyyyyy ObjectPool>>/'@@@@@
GID00086426	/'''[]'{{{753fhndsh dskjdh?324b yip >>>'@++
GID00086427	djhfg56778 ^&*(&&&4$$ ＃＃<<<<kjyhtC
GID00086428	安全
GID00086429	========================
GID00086430	|用户日志:
GID00086431	| >>管理员(RobcoID 2621-K)
GID00086432	========================
GID00086433	所有系统正常运行
GID00086434	>进入封锁状态
GID00086435	炮塔系统启动
GID00086436	>机器人防御单位启动
GID00086437	>致命武力授权
GID00086438	>祝你有愉快的一天:)
GID00086439	>/
GID00086440	商店
GID00086441	存储数据库现在脱机。
GID00086442	=- 商店现在对所有人员关闭
GID00086443	=- 对现有库存进行分类并重新装载
GID00086444	=- 所有物品现在需要通过外部来源请求
GID00086445	=- 所有申请均须经高级管理层批准
GID00086446	=- 管理层不得批准任何未经批准的请求
GID00086447	=- 批准须在请求前签署
GID00086448	补充说明:
GID00086449	>>
GID00086450	>>嘿，你这个吝啬的混蛋！ 我看到它照常营业...
GID00086451	>>
GID00086452	睡莲叶田
GID00086453	这个地方叫睡莲叶田，你可以通过瀑布后面的一个洞穴到达，入口就在格蕾塔的巴士后面，你的小装置上有标记，我已经给了你钥匙。
GID00086454	我估计有20个掠夺者/行走植物或者随便你怎么叫它们，还有10个那种吐口水的植物。他们可能很难找到，但他们找到你应该没有任何问题。如果你被困住了，就到处跑，你就会看到它们的，都杀了再来找我。
GID00086455	在田野的南端有一间旧的狩猎小屋，钥匙在门旁边的罐子里。为了表示诚意，你可以使用它，随便吃里面的东西。
GID00086456	=- 布林德
GID00086457	笔记
GID00086458	祝我生日快乐！今天176岁了！爸爸妈妈会感到自豪的。
GID00086459	模糊的密码
GID00086460	28-94-CDX-UI-09
GID00086461	该死的，我不知道这是什么密码。是爷爷的，他也不知道这是干什么用的。
GID00086462	但他说他是从他爷爷那里得到的，不知什么原因，这似乎让他很开心。老伙计可能已经老了，我应该扔掉他。
GID00086463	命令
GID00086464	57465890 凯利·M上尉
GID00086465	凯利，我想跟你说清楚这次任务的重点。
GID00086466	我为此冒了很大的风险，在不被注意的情况下获得资源是件很痛苦的事，所以好好利用吧。买你必须买的东西和人，但记住国库不是无底洞，尽可能保持低调。就指挥官而言，这只是另一次侦察任务，他们不需要知道有什么不同。离那些游骑兵远点，那些家伙没有商业头脑。
GID00086467	1. 确认一下这个避难所科技的信息是否属实，我不想再浪费时间去追另一个鬼故事了。
GID00086468	2. 如果你找到它的时候，它已经被烧毁和洗劫一空，那就搜查它，但不要浪费任何时间在不必要的事情上。只要我们能负担我们的开支，那就够了。
GID00086469	3.如果它仍然是密封的，想办法进去，看看里面是否有人。我知道这可能不容易，但你过去表现出了天赋，我相信你不会让我失望的。
GID00086470	4. 如果它是空的，列出设施的状况以及哪些设施值得出售和保留。如果这个地方还能用，可能值得卖给出价最高的人，我有个联系人可以处理细节问题。
GID00086471	5. 如果它有人居住，那就派任何你雇佣的人渣来清理这个地方。我不想被任何想要救济的避难所居民困扰。一旦完成，执行上述指令。
GID00086472	6. 一旦局势最终确定，清除所有被雇佣的垃圾，付钱给那些执行任务的部队。我会帮他们整理退伍文件的，一定要让他们守口如瓶。
GID00086473	如果我们做对了，运气好的话，就不需要可怜的NCR养老金了。别误会，我们的支持者不喜欢搞砸，这对选民来说很糟糕。
GID00086474	=- 上校 F
GID00086475	凯利上尉 - 记录01
GID00086476	当我们最初的侦察队，或者它的残部，返回并报告该地区有另一群人时，我很担心。他们似乎也在找避难所，而且很有组织。我以为这个避难所是保密的?
GID00086477	幸存者证实了火车场的存在，但仅此而已。有时候我觉得跟这些白痴在一起是在浪费时间。幸运的是，我们的其他消息来源更可靠。
GID00086478	凯利上尉 - 记录02
GID00086479	到目前为止，进展不错。和雇佣来的佣兵打交道从来都不是件容易的事，尤其是这种毒蛇帮人渣，但对于这种任务来说，这是必要的。一旦达到目的，通常也很容易处理。
GID00086480	我们已经到达了一个类似于定居点的地方，叫做海福德。除了我们的联系人用他最后的信息换取了报酬，这里没什么其他信息。我很好奇他是怎么得到的，但他守口如瓶。这也是我们付他薪水的原因之一。反正我也受不了食尸鬼。
GID00086481	前面的路被掠夺者封锁了，他们的位置很好，但我们有资源对付他们，这将是一次很好的演习，看看我们能把这支破烂不堪的队伍训练成什么样。
GID00086482	凯利上尉 - 记录03
GID00086483	我们已经找到了火车场，派出了另一支侦察队。我们在通过掠夺者和随机狙击手的路上损失的人员比我预期的要多。最后一个特别讨厌，但现在我们可以继续处理手头的事情了。
GID00086484	凯利上尉 - 记录04
GID00086485	我把这个洞穴建筑群作为我们的总部，因为它很适合我们的目的，而且我们不是第一个使用它的人，这里已经有很多我们可以回收的材料。
GID00086486	我已经推迟了进入火车站场的时间，因为我们的侦察显示附近有很多军用隧道和防御设施，应该是机器人。无论如何，当我试图管理这项行动时，我不希望任何该死的机器人从墙里跳出来。
GID00086487	凯利上尉 - 记录05
GID00086488	我们没有发现与我们的侦察队发生冲突的另一群人的踪迹，除了一些倾倒在这个洞穴里的垃圾，看来这些垃圾是他们留下的。也有一些日记记录，但它没有告诉我任何我不知道的事，很遗憾。
GID00086489	从好的方面来说，因为避难所的防御我们已经失去了一些毒蛇帮，所以预测是对的，因为它表明，避难所仍然是完整的。
GID00086490	凯利上尉 - 记录06
GID00086491	看来教堂的狙击手回来了。他在我们进来的路上造成了一些伤亡，我们清理了这片区域后又让我们溜走了，但现在看来他回来了，那个顽强的混蛋。
GID00086492	我没有杀他的时间，因为我们现在没有资源，我想集中精力找到避难所，时间紧迫。再说了，鉴于我们在来这里的路上伤亡惨重，招募他也许值得一试。我正需要这样一个人。
GID00086493	凯利上尉 - 记录07
GID00086494	奇怪的是，我们有几个人失踪了。他们很可能是某种防御系统的受害者，但我们找不到尸体。虽然他们只是些毒蛇帮，所以这不是大问题，但我们的供给确实有限。
GID00086495	追踪日志1/43：杰克 - 第0天
GID00086496	它叫锡安人。
GID00086497	一个战前的国家公园，不管是什么，到处都是淡水，到处都是你能吃的东西，只有一些愚蠢的部落住在那里。当我们带着能量武器出现时，他们可能会认为我们是神。这才是我们要的。
GID00086498	就是如此，只有一些商队知道这个地方，他们几乎不让别人知道路线。问题是要翻山越岭，那是条很崎岖的路他们要花他妈好几年才能到那。但还有另一种方法。我们有一张战前的地图，上面有道路。
GID00086499	当然也有不利的一面。这条路蜿蜒穿过一堆峡谷，是砍伐丛林的主要区域，更不用说山体滑坡，毒虫和其他东西了。但现在我们有足够的人手来完成任务，尤其是在我们上次取得胜利后，我们有了火力。
