ZIO00000001	针孔
ZIO00000274	毒蛇帮枪手
ZIO00000275	毒蛇帮枪手
ZIO00000276	毒蛇帮枪手
ZIO00000277	毒蛇帮枪手
ZIO00000278	毒蛇帮枪手
ZIO00000279	莫莉主教
ZIO00000280	玫瑰主教
ZIO00000281	黛西主教
ZIO00000282	比尔·班戟
ZIO00000283	贾尔斯·舍伍德
ZIO00000284	格蕾塔·卡尔
ZIO00000285	斯柏德
ZIO00000286	66号避难所居民
ZIO00000287	66号避难所居民
ZIO00000288	66号避难所居民
ZIO00000289	66号避难所居民
ZIO00000290	蓝光
ZIO00000291	凯伦·梅耶斯
ZIO00000292	毒蛇帮枪手
ZIO00000293	毒蛇帮枪手
ZIO00000294	毒蛇帮枪手
ZIO00000295	66号避难所居民
ZIO00000296	66号避难所居民
ZIO00000297	66号避难所居民
ZIO00000298	66号避难所居民
ZIO00000299	66号避难所保安
ZIO00000300	66号避难所居民
ZIO00000301	66号避难所保安
ZIO00000302	66号避难所保安
ZIO00000303	66号避难所保安
ZIO00000304	66号避难所居民
ZIO00000305	66号避难所保安
ZIO00000306	66号避难所保安
ZIO00000307	66号避难所保安
ZIO00000308	66号避难所保安
ZIO00000309	66号避难所居民
ZIO00000310	66号避难所保安
ZIO00000311	66号避难所居民
ZIO00000312	66号避难所居民
ZIO00000313	66号避难所保安
ZIO00000314	66号避难所科学家
ZIO00000315	66号避难所科学家
ZIO00000316	白腿部落风暴鼓手
ZIO00000317	白腿部落痛苦制造者
ZIO00000318	白腿部落光明使者
ZIO00000319	白腿部落碎骨者
ZIO00000320	66号避难所保安
ZIO00000321	66号避难所保安
ZIO00000322	66号避难所居民
ZIO00000323	66号避难所居民
ZIO00000324	66号避难所居民
ZIO00000325	66号避难所保安
ZIO00000326	淘金客
ZIO00000327	毒蛇帮枪手
ZIO00000328	斯宾塞·布莱克
ZIO00000329	继续前行
ZIO00000330	文森特·弗罗比舍
ZIO00000331	废土客
ZIO00000332	布林德·波克
ZIO00000333	彭妮·菲尔丁
ZIO00000334	巴纳比·菲斯克
ZIO00000335	俘虏
ZIO00000336	俘虏
ZIO00000337	掠夺者
ZIO00000338	掠夺者
ZIO00000339	掠夺者
ZIO00000340	掠夺者
ZIO00000341	掠夺者
ZIO00000342	掠夺者
ZIO00000343	掠夺者
ZIO00000344	掠夺者
ZIO00000345	66号避难所居民
ZIO00000346	伯吉斯
ZIO00000347	克劳福德·本特镇长
ZIO00000348	66号避难所保安
ZIO00000349	尼斯博士
ZIO00000350	66号避难所安全主管
ZIO00000351	66号避难所厨师
ZIO00000352	掠夺者
ZIO00000353	掠夺者
ZIO00000354	掠夺者
ZIO00000355	掠夺者
ZIO00000356	豺狼帮
ZIO00000357	豺狼帮
ZIO00000358	豺狼帮
ZIO00000359	豺狼帮
ZIO00000360	66号避难所居民
ZIO00000361	66号避难所居民
ZIO00000362	66号避难所居民
ZIO00000363	约瑟夫·科普
ZIO00000364	本茨
ZIO00000365	惠灵顿
ZIO00000366	巧手先生
ZIO00000367	保护者
ZIO00000368	巧手先生
ZIO00000369	炮塔
ZIO00000370	狂风先生
ZIO00000371	哨兵机器人
ZIO00000372	马克 VI型炮塔
ZIO00000373	保护者
ZIO00000374	孢子携带者
ZIO00000375	河沼蟹王
ZIO00000376	河沼蟹
ZIO00000377	塘沼蟹
ZIO00000378	崔克西·嘘嘘
ZIO00000379	邪恶的下水道老鼠
ZIO00000380	哨兵机器人
ZIO00000381	孢子植物
ZIO00000382	阿尔法河沼蟹
ZIO00000383	黄铜平头钉
ZIO00000384	烙饼
ZIO00000385	羊毛背
ZIO00000386	巴克斯特
ZIO00000387	哨兵机器人
ZIO00000388	保护者
ZIO00000389	机器脑
ZIO00000390	保护者
ZIO00000391	炮塔
ZIO00000392	主显节
ZIO00000393	NSC 24:7
ZIO00000394	有效负荷
ZIO00000395	保护者
ZIO00000396	内维尔
ZIO00000397	巨魔迪克西
ZIO00000398	芬特医生
ZIO00000399	大门钥匙
ZIO00000400	丽塔咖啡洞穴钥匙
ZIO00000401	蓝光的房子钥匙
ZIO00000402	丽塔咖啡治安官钥匙
ZIO00000403	布林德的万能钥匙
ZIO00000404	列车止动条钥匙
ZIO00000405	校舍钥匙
ZIO00000406	比尔·班戟的钥匙
ZIO00000407	约翰·豪伊的钥匙
ZIO00000408	医疗中心钥匙
ZIO00000409	采石场车间钥匙
ZIO00000410	老加油站钥匙
ZIO00000411	主教餐厅钥匙
ZIO00000412	伯吉斯的钥匙
ZIO00000413	蓝色钥匙卡
ZIO00000414	红色钥匙卡
ZIO00000415	干净的钥匙
ZIO00000416	生锈的钥匙
ZIO00000417	比利的隧道钥匙
ZIO00000418	猎人小屋钥匙
ZIO00000419	捕蝇草屋钥匙
ZIO00000420	66号避难所万能钥匙
ZIO00000421	保安处钥匙
ZIO00000422	迈尔斯房子钥匙
ZIO00000423	蚕豆
ZIO00000424	不错的基安蒂酒
ZIO00000425	问好
ZIO00000426	您好，有什么可以帮您的吗？
ZIO00000427	你不是我的常客，你想要什么？
ZIO00000428	我现在真的很忙，对不起。
ZIO00000429	情况如何？
ZIO00000430	你想要什么？
ZIO00000431	好的。
ZIO00000432	你好。
ZIO00000433	嚯！
ZIO00000434	这是铁路资产，根据健康和安全条例你需要一个有效的工作许可证才能继续。
ZIO00000435	未能出示有效的工作许可证可能会导致逮捕、起诉，并根据现行的应急指南和/或执行。
ZIO00000436	请记住，安全工作。
ZIO00000437	走开。
ZIO00000438	现在不行，滑皮。
ZIO00000439	继续走。
ZIO00000440	你到底是谁？
ZIO00000441	你现在想要什么，滑皮？
ZIO00000442	对不起，我现在很忙。
ZIO00000443	嗨，你想要什么？
ZIO00000444	欢迎光临丽塔咖啡馆，请尽情放松，随便看看。
ZIO00000445	违反我们的任何法律，我们都会杀了你。祝你今天过得愉快。
ZIO00000446	我得回去工作了，在旅馆找我吧。
ZIO00000447	你喜欢我们的防盗报警器吗？是不是很聪明？
ZIO00000448	那么，我们这里有什么？
ZIO00000449	所以你回来了，什么事？
ZIO00000450	嘿，你想买还是卖东西？
ZIO00000451	最近怎么样啊。
ZIO00000452	我能帮你做什么吗？
ZIO00000453	嗨~
ZIO00000454	吹口哨...
ZIO00000455	哼...
ZIO00000456	嘿，如果你想从我的商店买东西，你必须等到它开门。
ZIO00000457	嘿，你好！
ZIO00000458	嘿，陌生人！
ZIO00000459	嘿你好，需要什么吗？
ZIO00000460	我能帮你做什么吗？
ZIO00000461	嘿你好，需要什么吗？
ZIO00000462	来这里做生意？
ZIO00000463	你想买些物资吗？
ZIO00000464	有什么要说的吗？
ZIO00000465	对不起，我有工作要做。
ZIO00000466	你他妈想要什么，哈？
ZIO00000467	嗨，陌生人，我是蓝光，欢迎来到蓝光的买卖。我能卖给你什么？
ZIO00000468	欢迎回来，我能帮上什么忙吗？
ZIO00000469	你好，想喝点提神的饮料或吃点美味的小吃吗？
ZIO00000470	欢迎回来朋友，我能为你做些什么？
ZIO00000471	嘿，只要你表现好，我就会和你打交道，OK？
ZIO00000472	哦，是你。
ZIO00000473	撤离这里，马上！
ZIO00000474	你看起来像刚从沙漠里爬出来。
ZIO00000475	噢，太好了，正是我想见到的人。
ZIO00000476	你想要什么？
ZIO00000477	你他妈在看什么？
ZIO00000478	嘿你好，需要什么吗？
ZIO00000479	口渴了吗？ 我可以解决这个问题。
ZIO00000480	你输了？
ZIO00000481	去死吧！
ZIO00000482	别和我说话。
ZIO00000483	不好意思。
ZIO00000484	攻击
ZIO00000485	请记住，你的安全是我们的首要任务。
ZIO00000486	Hit
ZIO00000487	避免最坏的情况，把安全放在第一位。
ZIO00000488	AttackResponse
ZIO00000489	请记住，你的安全是我们的首要任务。
ZIO00000490	KnockedBack
ZIO00000491	保持警惕！事故会造成损失！
ZIO00000492	你能用这把老式泵动霰弹枪做什么吗？
ZIO00000493	当然，如果你有现金的话，我可以把它变成半自动的。1000瓶盖。
ZIO00000494	<交易 65>
ZIO00000495	好吧，既然是你，那就500吧。
ZIO00000496	放过我吧，我给你五百，只有这些了。
ZIO00000497	好极了，给你。
ZIO00000498	好吧，一言为定。
ZIO00000499	捅破它的锡罐，别挡我的路。[打架]
ZIO00000500	请准备好接受逮捕和/或处决。
ZIO00000501	请记住，你的安全是我们的首要任务。
ZIO00000502	你是认真的？这里已经两百多年没有火车了。
ZIO00000503	这是由于拉斯维加斯的信号故障。给您带来不便，我们深表歉意。
ZIO00000504	当然，这里有一个。
ZIO00000505	感谢你的合作。
ZIO00000506	领路，今日安全。
ZIO00000507	我不工作了，我迷路了。我还是原路返回吧，再见！
ZIO00000508	三思而后行。
ZIO00000509	接受道歉，我可以走了吗？
ZIO00000510	未能出示有效的工作许可证可能会导致逮捕、起诉，并根据现行的应急指南和/或执行。
ZIO00000511	记住：安全永远是第一位的。
ZIO00000512	随你便。
ZIO00000513	安全规则是你最好的工具。
ZIO00000514	我只是路过，你也是吗？
ZIO00000515	是啊，那又怎样？
ZIO00000516	好吧。
ZIO00000517	我是当地的执法人员，我被派来检查这片区域。
ZIO00000518	我不相信你。
ZIO00000519	你知道这些路有什么危险吗？
ZIO00000520	当然。
ZIO00000521	我们在这里讨论的是什么样的工作许可？
ZIO00000522	有效的工作许可证包括以下内容:
ZIO00000523	个人轨道安全卡和工作场所的感应。
ZIO00000524	工作计划包、任务简报表和安全工作系统。
ZIO00000525	以及包含危险目录、分区附录和信号计划的工作包。
ZIO00000526	你没听到吗？整个世界和你珍贵的铁路都被毁了。
ZIO00000527	我说没有火车，没有火车，什么都没有！
ZIO00000528	做一个安全英雄，事故为零。
ZIO00000529	听着，这里没有铁路，没有许可证，没有规定。都被摧毁了。
ZIO00000530	避免最坏的情况，把安全放在第一位。
ZIO00000531	你还不明白吗？一切都消失了！
ZIO00000532	保持警惕！事故会造成损失！
ZIO00000533	你一定是有个保险丝松动的金属鼻子，要不我挖个洞把你埋了好吗？
ZIO00000534	你还需要一份埋葬服务的签字表和一份挖掘许可证。
ZIO00000535	你的工作许可证在哪里？它的日期合适吗？
ZIO00000536	-!??($%)*@#~
ZIO00000537	我试着和蓝光谈了谈，他什么都不告诉我，除非我买了东西。
ZIO00000538	我并不感到惊讶，他是一个顽固贪婪的杂种。
ZIO00000539	你想知道什么？
ZIO00000540	我明白了。好吧，别告诉我细节。
ZIO00000541	一边儿玩去。
ZIO00000542	对，我知道。
ZIO00000543	我想也许我该去看看。
ZIO00000544	那你比你光滑的皮肤看起来还要愚蠢。
ZIO00000545	这附近有什么值得看的吗？
ZIO00000546	不。
ZIO00000547	这附近有很多掠夺者吗？
ZIO00000548	我想是。
ZIO00000549	那...你为什么在这里呢？
ZIO00000550	你知道什么？忘了吧。
ZIO00000551	只是检查一下一切正常，你有什么事吗？
ZIO00000552	啊啊，离我远点，别烦我。
ZIO00000553	我得确保这里没有麻烦，明白吗？
ZIO00000554	吃屎然后去死，这对你来说够清楚了吧！？
ZIO00000555	要么是我，要么是废土，伙计。
ZIO00000556	我想我还是在废土上碰碰运气吧。
ZIO00000557	你知道什么？忘了吧。
ZIO00000558	听着，你这个结痂的混蛋，在这里腐烂是一种严重的罪行，所以你最好开始合作。
ZIO00000559	我会为此杀了你的！
ZIO00000560	是的，去吧，滚蛋。
ZIO00000561	你真是个杰作呢。
ZIO00000562	这是一次健康安全抽查，请出示你的工作许可证，最好是有效的。
ZIO00000563	-!??($%)*@#~
ZIO00000564	哪儿也不去，只是四处看看。
ZIO00000565	别惹麻烦，我们这里的问题已经够多了。
ZIO00000566	[战斗]滚开，别挡我的路。
ZIO00000567	通过那扇门，要交什么税吗？
ZIO00000568	是的，我希望你想和我做些生意，我认为这是双赢。
ZIO00000569	我们在说什么？100瓶盖够吗？？
ZIO00000570	是的，这是瓶盖。
ZIO00000571	给你，这是你的瓶盖......
ZIO00000572	很高兴和你做生意。
ZIO00000573	你这个低劣的杂种，就像所有莫哈维人一样。
ZIO00000574	你真他妈倒霉，我不会付钱的。
ZIO00000575	现在你得开始说清楚，我的意思是他妈的很清楚，因为我快要失去耐心了。
ZIO00000576	往前走吧废物，自以为幸运。
ZIO00000577	ZkbDoddsTalk36
ZIO00000578	<口才 65>
ZIO00000579	你站错边了，来阻止我去任何地方试试，士兵小子。
ZIO00000580	[失败]嘿嘿，不错的尝试。
ZIO00000581	我要去哪里？退后，你不会想惹我的。
ZIO00000582	已经警告过你了。
ZIO00000583	[NCR] 放轻松，我们站在同一边，你好吗？
ZIO00000584	这是莫哈韦地区最糟糕的细节。
ZIO00000585	你得惹怒谁才能在这里站岗？
ZIO00000586	那门的另一边是什么？
ZIO00000587	好吧，那就是我要走的路。
ZIO00000588	嘿，这是你的人生。
ZIO00000589	[可怕的存在]我想去哪里就去哪里，现在让我高兴，说“除非我死了”。
ZIO00000590	对我来说没什么区别。
ZIO00000591	发生了什么事？
ZIO00000592	说过了，你去了不该去的地方，被我的防盗报警器击中了。你刚来的时候我怎么跟你说的？
ZIO00000593	噢，要是有那么简单就好了。
ZIO00000594	从笼子里？你听过态势感知这个词吗？你需要在这方面下点功夫。
ZIO00000595	好吧，我搞砸了。我们能在这里做个交易吗？
ZIO00000596	也许我们可以，你看起来确实是一个非常坚定的人物，你已经设法找到了我们的“地上小屋”神秘隧道。
ZIO00000597	我认为你的选择有限。
ZIO00000598	瀑布上方有个地方，一片田。我们曾经在那里养过沼蟹，卑鄙的小动物，但它们味道很好。
ZIO00000599	但有一个问题，那里有一些奇怪的有毒植物。它们一直都存在，但它们正在成为一个问题，杀害孵化的幼苗。
ZIO00000600	我们没有人看到这一幕的发生。我们假设他们是剩下的掠夺者，尽管他们看起来稍微聪明一点。
ZIO00000601	更聪明？
ZIO00000602	交易是这样的：你上去杀了所有的生物和植物，然后我们再考虑把你带进我们的神秘通道。
ZIO00000603	完成了，睡莲叶田里的那些东西都被清除了。
ZIO00000604	很好，你证明了自己。我们的协议是这样的，如果你进入我们的避难所你可以带着你能携带的任何东西走出来，剩下的都是我们的。
ZIO00000605	顺便问一下，这些垃圾是怎么回事？
ZIO00000606	我是个科学家，这些是我的仪器...别笑了！
ZIO00000607	好了，我结束了。
ZIO00000608	随你便。
ZIO00000609	我想找一个地方睡觉，这是个旅馆吗？
ZIO00000610	这一带你能找到的最接近它的地方。
ZIO00000611	价格就在黑板上，自己看，如果你不识字，就猜一猜。你要一张床的还是两张床的？还是只要张床？
ZIO00000612	一个笼子？一个房间的要求太高了吗？
ZIO00000613	是的，套房设施、客房服务和愉快的晚餐后谈话也是如此。所以要什么呢？
ZIO00000614	我会再联系你的。
ZIO00000615	随你便。
ZIO00000616	我要一张床的笼子。
ZIO00000617	好的，E号笼子，在下面，第五个笼子。
ZIO00000618	我需要两张床的笼子。
ZIO00000619	当然，B号笼子，下面右边第二个。
ZIO00000620	我只需要一张床。
ZIO00000621	从那头下去，H号笼子，随便找一个。
ZIO00000622	你做生意吗？
ZIO00000623	不做，我更喜欢批发。买衣服和武器最好的选择是路上的比尔，买零件、垃圾和一般修理最好的选择则是约翰。
ZIO00000624	我能问你几个问题吗？
ZIO00000625	请便，但我不保证会有答案。
ZIO00000626	这边还有其他团体吗？
ZIO00000627	什么团体？
ZIO00000628	怎么会有这个地方呢？
ZIO00000629	想不到有比这更好的地方了。
ZIO00000630	这附近有避难所吗？
ZIO00000631	不。
ZIO00000632	不。
ZIO00000633	锡安离这里有多远？
ZIO00000634	大约走两三天。继续往北走，小心野生动物。
ZIO00000635	这附近有NCR吗？
ZIO00000636	很少。而那些人一般都是逃兵、迷路者，或者可能两者都是。
ZIO00000637	有没有遇到过凯撒军团？
ZIO00000638	嗯...军团，凶恶，穿裙子，如果你和他们说话，没有任何意义，听起来像是我认识的很多女人。不过这里没有。
ZIO00000639	你在这么北的地方听说过豪斯先生吗？
ZIO00000640	当然了，大家都知道拉斯维加斯和长街。
ZIO00000641	至于豪斯，我听说他实际上是一台战前的电脑。可能整天都在他的塔里给自己去碎片化。
ZIO00000642	你见过大炮族吗？
ZIO00000643	值得庆幸的是没有。和自己的亲妹妹结婚的人不应该有大炮，或者孩子，或者其他任何东西。
ZIO00000644	在这一带看到过钢铁兄弟会吗？
ZIO00000645	很久没见到他们了。可能消失在一个洞里了，要我说，那是最适合他们的地方。
ZIO00000646	这附近有天启追随者吗？
ZIO00000647	是啊，在路上的一个大木屋里，有人叫它医疗中心。露易丝人很好，就是有点冷淡。
ZIO00000648	谁经营这个地方？
ZIO00000649	如果你想找个人开枪，你可以找市长或警长，如果你今天过得不好，也可以两个都找。
ZIO00000650	这条隧道通往哪里？
ZIO00000651	哪儿也不是，它已经塌了。没有宝藏，没有僵尸，没有目的地，什么都没有。
ZIO00000652	那么，如果这里是丽塔咖啡馆，丽塔在哪里？
ZIO00000653	顺着走廊走，右边第四个。
ZIO00000654	你是认真的吗？
ZIO00000655	你这么蠢是怎么走到今天的？
ZIO00000656	你什么都没问我，难道你不想知道南方发生了什么吗？
ZIO00000657	这里的人都在谈论这个。总之，我不需要，看到我身后那个发出声音的盒子了吗？它叫收音机。
ZIO00000658	与你不同，它有一个额外的优点，那就是有开关。
ZIO00000659	去你的！[攻击]
ZIO00000660	...
ZIO00000661	你的声音到底是怎么了？还有，你为什么这么小？
ZIO00000662	我不小，我结构紧凑，我的声音没有问题。现在你准备好去死了吗？
ZIO00000663	不确定，你没戴标签。
ZIO00000664	欢迎来到采石场，我们在这附近看不到多少活着的人类，你也活不了多久了。
ZIO00000665	不，说真的，你一定是在笑，真的，那面具里是氦气吗？
ZIO00000666	是的，事实上，这是一种疾病，我患有氦缺乏症，我希望你不要提这事。
ZIO00000667	没有缺氦这回事，而且那玩意很危险。
ZIO00000668	对人类来说也许是，但我是个变种人，我的转化过程...有一些小插曲。
ZIO00000669	这不是小插曲，这是完全搞砸了。所以你是一个失败的FEV项目？
ZIO00000670	我不喜欢失败这个词，它的含义太负面了。
ZIO00000671	你肯定不是一个成功的例子。
ZIO00000672	听着，我马上就要杀了你，所以我们能不能别闲聊了？有遗言吗？
ZIO00000673	好吧，你不是个报复心很强的人吗？让我猜猜，一个小矮人笑话太多了？
ZIO00000674	是的，而且他们正计划除掉我，他们似乎觉得我的形象不适合超级变种人。
ZIO00000675	不，我认为需要结束你的痛苦[攻击]。
ZIO00000676	到头来...
ZIO00000677	是的，你怎么称呼一个绿色的夜行族？
ZIO00000678	什么？我不知道...
ZIO00000679	小矮人！明白了吗？
ZIO00000680	你是故意要跟我作对吗？
ZIO00000681	这不是故意的，我就是控制不住自己，现在说你要把我的胳膊扯下来。
ZIO00000682	现在你想要我威胁你！？
ZIO00000683	当然，我从来没被小矮人威胁过，这可是无价之宝。
ZIO00000684	听着，我正试图恐吓和杀死你，以我的劣势，这并不容易！你知道吗？
ZIO00000685	所以你能不能给我点面子，至少装出一副害怕的样子。
ZIO00000686	很抱歉，如果我不笑了，会好点吗？
