STE00000001	移除截图提示
STE00000164	NPC对话停顿
STE00000165	NPC说完一句对话后停顿，需要手动点击继续，留下充足阅读时间。
STE00000166	禁止手动跳过对话
STE00000167	手动点击不会跳到下一句对话。
STE00000168	罗盘上隐藏敌人
STE00000169	在罗盘上隐藏敌人标记。
STE00000170	显示正在开火的敌人
STE00000171	在罗盘上显示正在开火的敌人（播放攻击动画的敌人）。
STE00000172	装备损坏的物品
STE00000173	允许装备损坏的物品（以允许使用武器修理工具修理武器，或获取服装的技能加成）。
STE00000174	VATS中忽略同伴
STE00000175	VATS不会选取同伴为目标。
STE00000176	仅在战斗中
STE00000177	战斗外允许VATS选取同伴为目标。
STE00000178	开锁后不显示容器界面
STE00000179	撬锁或使用钥匙后不自动显示容器界面。
STE00000180	开锁后不开门
STE00000181	撬锁或使用钥匙后不自动开门。
STE00000182	Cell改变时保持哔哔小子灯光开启
STE00000183	进入外部Cell时不自动关闭哔哔小子灯光。
STE00000184	白天关灯
STE00000185	白天进入室外时自动关闭哔哔小子灯光。
STE00000186	开锁界面使用鼠标
STE00000187	在撬锁界面允许用鼠标左键进行旋转操作。
STE00000188	移除终端破解冷却
STE00000189	破解失败时可以立即再次尝试（等价于将gamesetting中的iHackingRetryMilliseconds设为0）。
STE00000190	超重时跳跃
STE00000191	允许超重时跳跃。
STE00000192	移除赌场最大赌注限制
STE00000193	移除赌场最大赌注限制，且赌注超过1500后每次可增加500（默认为100）。
STE00000194	更快的保存菜单
STE00000195	移除关闭保存菜单时硬编码的3秒延迟。
STE00000196	移除任务失败提示
STE00000197	移除任务失败提示。
STE00000198	仅显示已开始的任务
STE00000199	仅显示已经接了的任务的任务失败提示。
STE00000200	移除发现地点提示
STE00000201	移除发现地点提示。
STE00000202	移除弹壳
STE00000203	玩家不再获得弹壳。
STE00000204	更快的破解终端转场
STE00000205	成功破解后的延迟缩短2.5秒。
STE00000206	保持轮盘赌筹码
STE00000207	游玩轮盘赌后不重置筹码数量为1。
STE00000208	控制台小键盘支持
STE00000209	允许在控制台中使用小键盘。
STE00000210	允许在动画播放中互动
STE00000211	允许在开火、装弹、落地等动画播放时互动。你可以在门的一边开始装弹，在另一边完成。
STE00000212	提示未进过的室内
STE00000213	如果没进过一个室内，在加载门互动提示中加*星号，如“前往沙龙的门*”。
STE00000214	没进过的Cell不显示名字
STE00000215	没进过的Cell不显示名字，如“前往……的门”。
STE00000216	提示已刷新的Cell
STE00000217	如果一个Cell已刷新，在加载门互动提示中加+加号。
STE00000218	提示已进过的室内
STE00000219	如果已进过一个室内，在加载门互动提示中加*星号。
STE00000220	跳过玩家死亡镜头的快捷键
STE00000221	用左Alt或手柄后退键跳过玩家死亡镜头。
STE00000222	更具体的地图标记添加提示
STE00000223	在“地图标记已添加。”提示中加上地点的名字。
STE00000224	VATS忽略不可见目标
STE00000225	VATS中不能选中不可见的目标。
STE00000226	移除DLC下载按钮
STE00000227	移除主菜单中无用的DLC下载按钮。
STE00000228	隐藏无地图标记的地点
STE00000229	只显示没去过且已在地图上标记的地点。
STE00000230	罗盘任务指示显示高度
STE00000231	用一个自定义图标显示任务目标的高度是高于还是低于玩家位置。
STE00000232	罗盘上根据距离设置NPC标记透明度
STE00000233	根据NPC和玩家的距离设置罗盘上标记的透明度，调用gamesetting中的fSneakMaxDistance和fSneakExteriorDistanceMult。
STE00000234	罗盘上根据距离设置地点标记透明度
STE00000235	根据地点和玩家的距离设置罗盘上标记的透明度。
STE00000236	移除罗盘边缘淡出
STE00000237	移除罗盘右边缘图标的透明效果。
STE00000238	技能达到最大值时禁用技能书
STE00000239	技能达到100后禁用技能书。
STE00000240	移除地图显示同伴的最小距离
STE00000241	移除同伴显示在世界地图上所需的最小距离。
STE00000242	地图显示失去意识的同伴
STE00000243	用红色在地图上显示失去意识的同伴。
STE00000244	自定义罗盘上的同伴颜色
STE00000245	自定义罗盘上的同伴颜色。
STE00000246	RGB颜色
STE00000247	16进制数表示的红绿蓝颜色值。
STE00000248	禁用显示任务地点
STE00000249	禁用任务菜单中的显示任务地点功能。
STE00000250	禁止快速旅行
STE00000251	禁止快速旅行。
STE00000252	记住发夹耐久度
STE00000253	在多次开锁之间继承同一根发夹的耐久度。
STE00000254	移除装备武器的移速惩罚
STE00000255	移除手持武器时的移速惩罚。
STE00000256	移除武器伤害加成
STE00000257	移除武器耐久在75%以上时的伤害加成。
STE00000258	瞄准时保留准星
STE00000259	使用无瞄准镜武器瞄准时保留准星。
STE00000260	重复跳跃
STE00000261	按住跳跃键以重复跳跃。
STE00000262	移除潜行标志
STE00000263	从HUD上移除[隐藏]等标志。
STE00000264	用Tab退出终端
STE00000265	用Tab退出终端。
STE00000266	开始菜单中按Tab返回
STE00000267	在开始/暂停菜单中按Tab返回。
STE00000268	继续游戏快捷键
STE00000269	在读档/开始菜单中按快捷键继续游戏，该选项仅用于mod开发！（如果你按得太早，利用JIP NVSE在MenuMode 4模式下运行的脚本会来不及运行完毕）
STE00000270	升级界面支持鼠标滚轮
STE00000271	升级界面分配技能点时可以使用鼠标滚轮+、-。
STE00000272	哔哔小子上不显示LTRT
STE00000273	连接手柄时不在哔哔小子上显示LT、RT。
STE00000274	准星移到敌人身上时不变红
STE00000275	准星移到敌人身上时不变红。
STE00000276	镜头振动时允许打开哔哔小子
STE00000277	镜头振动时允许打开哔哔小子（会重置屏幕振动）。
STE00000278	左右移动抵消
STE00000279	同时按住左右移动时玩家不动（原版中会向左移动）。
STE00000280	修复增强相机mod的陷入地面bug
STE00000281	迂回修复使用增强相机mod时，玩家从第一人称切到第三人称会陷入地面的bug。
STE00000282	潜行时按Shift对话
STE00000283	潜行时按住Shift进入NPC对话，而不是扒窃界面。
STE00000284	强力击消耗行动点数
STE00000285	徒手蓄力攻击消耗行动点数。
STE00000286	基础行动点数消耗
STE00000287	基础行动点数消耗。
STE00000288	武器重量乘数
STE00000289	每点武器重量引入的额外消耗。
STE00000290	最大行动点数消耗。
STE00000291	蓄力攻击的最大行动点数消耗。
STE00000292	行动点数不足时禁用蓄力攻击
STE00000293	行动点数不足时只进行普通攻击。
STE00000294	库存丢弃快捷键
STE00000295	按Q丢弃哔哔小子中选中的物品。
STE00000296	立即继续游戏快捷键
STE00000297	在主菜单按快捷键立即继续游戏，跳过“是否继续最近的存档？”提示。
STE00000298	自定义狙击放大速率
STE00000299	设置狙击镜放大效果生效的快慢。
STE00000300	FOV变化率
STE00000301	使用狙击镜时FOV变化的速率，原版为0.25，设为0则瞬间放大。
STE00000302	退出放大时使用同一速率
STE00000303	让该设定也影响退出放大效果。
STE00000304	基于距离设置任务标记是否可见
STE00000305	隐藏超过一定距离的任务标记。
STE00000306	最大室外距离
STE00000307	显示任务标记的最大室外距离。
STE00000308	最大室内距离
STE00000309	显示任务标记的最大室内距离。
STE00000310	快速使用物品
STE00000311	按住shift会立即装备/使用准星对准的物品。右键点击非护甲物品会装备该物品。可以在不打开哔哔小子的情况下吃食物等。
STE00000312	实时快速使用物品
STE00000313	在游戏进行时按住shift立即装备/使用准星对准的物品。
STE00000314	容器界面右键点击装备物品
STE00000315	容器界面右键点击装备物品（除了护甲）。
STE00000316	容器界面按F使用物品
STE00000317	容器界面按F使用物品（除了护甲）。
STE00000318	包括书籍
STE00000319	允许快速使用书籍。
STE00000320	包括笔记
STE00000321	快速使用笔记时显示读书菜单（需要Book Menu Restored的材质和XML文件）。
STE00000322	显示物品属性
STE00000323	按住shift时显示物品属性，如秒伤、伤害、免伤、减伤。
STE00000324	已读过的笔记显示“重读”
STE00000325	已读过的笔记显示“重读”。
STE00000326	手柄瞄准时生效
STE00000327	用手柄瞄准时快速使用物品。
STE00000328	减少对话选项延迟
STE00000329	对话时能选择选项之前的延迟减半（500毫秒->250毫秒）。
STE00000330	隐藏未知NPC的名字
STE00000331	未交谈过的NPC隐藏名字。
STE00000332	显示死亡NPC的名字
STE00000333	如果NPC已死，显示名字。
STE00000334	经验值全局缩放
STE00000335	缩放所有获得的经验值。
STE00000336	经验值乘数
STE00000337	经验值的全局缩放乘数，结果会向上取整。
STE00000338	禁止取整
STE00000339	经验值的小数部分暂时保存，加到之后获得的经验值上。
STE00000340	退出VATS快捷键
STE00000341	用Tab和右键点击结束VATS击杀镜头。
STE00000342	立即结束
STE00000343	立即结束当前的VATS流程，而不是等待当前动作完成。
STE00000344	完成任务目标时不设置追踪任务
STE00000345	如果当前没有追踪任务，完成某任务的目标时，不自动将其设为追踪任务。
STE00000346	禁止退出破解终端
STE00000347	如果已经进行了尝试，禁止退出破解菜单。
STE00000348	提前退出视为失败
STE00000349	如果已经进行了尝试，退出破解菜单视为破解失败。
STE00000350	自动老虎机快捷键
STE00000351	按住W以持续使用老虎机。
STE00000352	英国键盘布局
STE00000353	在控制台和其它菜单中使用英国键盘布局。
STE00000354	移除任务已添加提示
STE00000355	从HUD中移除“任务已添加”提示。
STE00000356	移除完成任务目标提示
STE00000357	移除完成任务目标提示。
STE00000358	有钥匙也撬锁
STE00000359	已有钥匙/密码时，按住shift进入撬锁/破解界面。
STE00000360	按住shift使用钥匙
STE00000361	按住shift使用钥匙/密码。
STE00000362	控制台历史记录
STE00000363	在ConsoleHistory.txt中保存并读取控制台历史记录。
STE00000364	最大记录数量
STE00000365	最多记录多少条指令（默认200）。
STE00000366	历史记录中忽略重复
STE00000367	连续的重复指令会被忽略。
STE00000368	击杀镜头中禁用任务音效
STE00000369	电影式击杀镜头播放时，禁用“任务已添加”的音效。
STE00000370	禁止抓取有主物品
STE00000371	禁止使用抓取键（Z）抓取有主的物品。
STE00000372	自动跳过主菜单载入幻灯片
STE00000373	一旦实际加载完成，自动跳过主菜单视频。
STE00000374	第一人称VATS
STE00000375	强制VATS攻击动画在第一人称播放。
STE00000376	允许不安全的快速旅行
STE00000377	允许从室内快速旅行（谨慎使用以免破坏脚本演出！）。
STE00000378	显示限制区域警告
STE00000379	从限制快速旅行的区域进行快速旅行时，显示警告。
STE00000380	移除落地动画
STE00000381	移除落地动画。
STE00000382	按住下蹲潜行
STE00000383	按住下蹲键才能潜行，而不是按一次开关潜行状态。
STE00000384	快速旅行需要特殊核子可乐
STE00000385	快速旅行需要消耗1瓶特殊核子可乐：量子、石英、胜利。
STE00000386	物品需求提示
STE00000387	没有快速旅行需要的物品时，显示提示。
STE00000388	物品移除提示
STE00000389	快速旅行时提示一个所需物品已移除。
STE00000390	物品Editor ID
STE00000391	使用核子可乐之外的物品进行快速旅行，输入物品的Editor ID（需要JohnnyGuitar NVSE）。
STE00000392	禁止出售物品
STE00000393	在交易界面禁止出售物品。
STE00000394	使用自定义物价乘数
STE00000395	为每一类物品设定买/卖价格乘数（在特长的乘数之前生效）。
STE00000396	固定纯净水价格
STE00000397	不要缩放纯净水的价格。
STE00000398	护甲出售乘数
STE00000399	武器出售乘数
STE00000400	辅助品出售乘数
STE00000401	弹药出售乘数
STE00000402	杂项出售乘数
STE00000403	武器配件出售乘数
STE00000404	护甲购买乘数
STE00000405	武器购买乘数
STE00000406	辅助品购买乘数
STE00000407	弹药购买乘数
STE00000408	杂项购买乘数
STE00000409	武器配件购买乘数
STE00000410	对话数字快捷键
STE00000411	使用0-9数字键选择对话选项（推荐配合VUI+使用）。
STE00000412	在对话话题中显示
STE00000413	在对话话题中显示数字序号。
STE00000414	用Tab选择最后一个选项
STE00000415	用Tab选择最后一个选项。
STE00000416	禁用受击着色器
STE00000417	禁用受伤时的径向模糊效果（可以仅在无敌模式中禁用）。
STE00000418	仅在无敌模式（tgm）中禁用
STE00000419	终端文本瞬间显示快捷键
STE00000420	用shift和鼠标右键瞬间显示当前终端的文本，用鼠标左键加速显示终端子菜单。
STE00000421	交换键盘Y/Z键的功能
STE00000422	交换键盘Y/Z键的功能。
STE00000423	弹匣满时换弹切换弹药种类
STE00000424	弹匣满时换弹切换弹药种类。
STE00000425	更好的飞行镜头
STE00000426	在跳跃和下蹲时加入自动上下飞行的镜头，按Z和C旋转镜头，鼠标滚轮改变飞行速率。
STE00000427	瞄准时的速率乘数
STE00000428	按下瞄准时的速率乘数。
STE00000429	奔跑时的速率乘数
STE00000430	按下奔跑时的速率乘数。
STE00000431	鼠标滚轮速率乘数
STE00000432	鼠标滚轮对飞行速率的影响乘数。
STE00000433	旋转速率乘数
STE00000434	旋转速率乘数。
STE00000435	平滑镜头快捷键
STE00000436	按装弹键开启平滑/电影式镜头。
STE00000437	NPC掉落收起的武器
STE00000438	允许NPC死亡时掉出收起的武器。
STE00000439	弹匣未空时禁止换弹
STE00000440	弹匣未空时禁止换弹。
STE00000441	仅能量武器
STE00000442	仅禁止能量武器在弹匣未空时换弹。
STE00000443	排除循环装填武器
STE00000444	允许循环装填武器提前换弹。
STE00000445	隐藏手雷指示器
STE00000446	从HUD中移除手雷指示器。
STE00000447	穿着的动力甲不计入负重
STE00000448	缩放已装备的动力甲的重量。
STE00000449	头盔无负重需要穿着身甲
STE00000450	只有穿着身甲的时候动力甲头盔才不计入负重。
STE00000451	需要动力甲训练
STE00000452	只有拥有动力甲训练特长的玩家/同伴才能让穿着的动力甲不计入负重。
STE00000453	重量乘数
STE00000454	穿着的动力甲的重量乘数。
STE00000455	Shift截图隐藏菜单
STE00000456	按住shift截图时隐藏菜单。
STE00000457	敌人在附近时快速旅行
STE00000458	允许敌人在附近时快速旅行。
STE00000459	超重时快速旅行
STE00000460	允许超重时快速旅行，和长途运输特长效果相同。
STE00000461	无敌模式下不被击倒
STE00000462	无敌模式下玩家不可被击倒，可能破坏脚本演出！
STE00000463	双击换弹键切换弹药种类
STE00000464	双击换弹键切换弹药种类。
STE00000465	允许快速多次切换
STE00000466	多按几次换弹键会继续切换其它弹药种类。
STE00000467	弹药切换时间
STE00000468	设置多少毫秒内连续按换弹键才会切换弹药种类。
STE00000469	强行开锁不会弄坏锁
STE00000470	强行开锁失败只会弄坏发夹，不会弄坏锁。
STE00000471	强行开锁失败重置发夹耐久度
STE00000472	强行开锁失败重置发夹耐久度。
STE00000473	无发夹时不能开锁
STE00000474	玩家没有发夹时不会进入开锁界面。
STE00000475	发夹损坏提示
STE00000476	发夹损坏时角落提示。
STE00000477	自定义手柄死区
STE00000478	自定义手柄摇杆死区，以获得更精细的移动与瞄准控制。默认值0将完全移除死区。[CRLF]推荐与配合bMoreResponsiveControllerAiming设置。
STE00000479	死区
STE00000480	死区数值（在0和32767之间）。
STE00000481	更快的手柄视角旋转
STE00000482	按住切换视角键进入观景相机时，将手柄旋转速率提升至灵敏度的一半。
STE00000483	对话中隐藏鼠标
STE00000484	对话菜单中隐藏鼠标。
STE00000485	仅当NPC说话时
STE00000486	仅当NPC说话时隐藏鼠标。
STE00000487	按shift在VATS中隐藏友好目标
STE00000488	按住shift在VATS中隐藏友好目标。
STE00000489	隐藏敌对目标
STE00000490	反向设置。按住shift会显示友好目标。
STE00000491	禁用近距离爆炸画面特效
STE00000492	禁用附近发生爆炸时的径向模糊效果。
STE00000493	修改技能点获取
STE00000494	修改升级时获取的技能点。公式为：基础iSkillPointBase+向上取整(智力*fPointsPerInt)。
STE00000495	基础获取
STE00000496	智力加成之前获取的技能点数。
STE00000497	每点智力获取
STE00000498	每点智力额外获取的技能点数。
STE00000499	幸运不影响赌博
STE00000500	移除幸运对赌博的影响，实际效果为按幸运5进入赌博菜单。
STE00000501	幸运技能
STE00000502	赌博中实际使用的幸运数值：[CRLF]- 5点以上获得优势[CRLF]- 5点以下获得惩罚[CRLF]- 5点无影响
STE00000503	移除药物效果消失画面特效
STE00000504	移除药物效果消失画面特效。
STE00000505	调整瞄准镜放大率
STE00000506	允许鼠标滚轮改变瞄准镜的放大率。
STE00000507	放大率
STE00000508	武器瞄准放大率。
STE00000509	shift缩放放大
STE00000510	按住shift时放大率改变的乘数。
STE00000511	切换武器时重置放大率
STE00000512	切换武器时重置当前放大率。
STE00000513	允许无瞄准镜武器放大
STE00000514	平滑放大
STE00000515	让放大率平滑地改变。
STE00000516	手柄支持
STE00000517	瞄准时禁用方向键快捷键，上/下方向键用于缩放。
STE00000518	仅用于望远镜
STE00000519	仅用于没有投射物的武器（如望远镜）。
STE00000520	瞄准镜重置时间
STE00000521	当一定时间（毫秒）内未使用瞄准镜时，重置放大率，设为0时不重置。
STE00000522	最小FOV
STE00000523	瞄准镜的最小FOV（最大放大）。
STE00000524	最大FOV
STE00000525	瞄准镜的最小FOV（最小放大）。
STE00000526	最小FOV乘数
STE00000527	作用于武器FOV的最小乘数（最大放大）。
STE00000528	最大FOV乘数
STE00000529	作用于武器FOV的最大乘数（最小放大）。
STE00000530	放大快捷键
STE00000531	放大快捷键（也可使用鼠标滚轮）。
STE00000532	缩小快捷键
STE00000533	缩小快捷键（也可使用鼠标滚轮）。
STE00000534	弹出菜单时不移动鼠标
STE00000535	弹出菜单时不自动将鼠标移到屏幕中间。
STE00000536	开关瞄准镜夜视
STE00000537	用有夜视效果的武器瞄准时，按iTogglePipboyLight（开关哔哔小子灯光）键关闭夜视。
STE00000538	默认关闭
STE00000539	默认关闭武器夜视，仅按键时开启。
STE00000540	允许白天使用
STE00000541	允许白天使用夜视
STE00000542	开启的音效
STE00000543	开启夜视时播放的音效。
STE00000544	关闭的音效
STE00000545	关闭夜视时播放的音效。
STE00000546	瞄准镜内屏息
STE00000547	按shift在瞄准镜内屏息，消耗行动点数减少摇晃。
STE00000548	行动点数消耗
STE00000549	每个时间间隔消耗的行动点数。
STE00000550	行动点数消耗间隔
STE00000551	每隔多少毫秒消耗一次行动点数。
STE00000552	摇晃乘数
STE00000553	屏息时的摇晃乘数。
STE00000554	武器力量需求
STE00000555	满足武器力量需求时才能屏息。
STE00000556	武器技能需求
STE00000557	满足武器技能需求时才能屏息。
STE00000558	屏息键
STE00000559	屏息按键的代码（DirectX scan code）。
STE00000560	用互动键屏息
STE00000561	按住互动键屏息。
STE00000562	动力甲缩放摔落伤害
STE00000563	穿着动力甲会缩放摔落伤害。
STE00000564	摔落伤害乘数
STE00000565	摔落伤害乘数。
STE00000566	仅应用于玩家
STE00000567	敏捷缩放移速
STE00000568	多于或少于5点的每点敏捷会基于fAgilityMovementSpeedMult加快或减慢移速。公式为：移速乘数=正常移速乘数*(1+(敏捷-5)*fAgilityMovementSpeedMult)。
STE00000569	敏捷移速乘数
STE00000570	多于或少于5点的每点敏捷会通过敏捷移速乘数加快或减慢移速。
STE00000571	影响NPC
STE00000572	是否缩放NPC移速。
STE00000573	影响玩家
STE00000574	是否缩放玩家移速。
STE00000575	禁用武器放大
STE00000576	没有瞄准镜的武器瞄准时不会放大。
STE00000577	排除没有铁瞄的武器
STE00000578	只禁用没有铁瞄的武器的放大
STE00000579	禁用武器收起时的放大
STE00000580	武器收起时按瞄准不会放大。
STE00000581	容器分类名称不大写
STE00000582	容器分类名称不大写（其中AMMO原文就是大写的，需要在gamesetting中修改，而Aid等原文不是大写）。
STE00000583	自动脱掉损坏的护甲
STE00000584	护甲损坏时自动脱掉。
STE00000585	护甲损坏提示
STE00000586	护甲损坏时显示角落提示。
STE00000587	武器需求很重要
STE00000588	未达到力量或技能需求时禁止装备武器。
STE00000589	忽略力量需求
STE00000590	忽略所有武器的力量需求。
STE00000591	忽略非重型武器的力量需求
STE00000592	忽略不属于“双手发射器”或“双手持重武器”的武器的力量需求。
STE00000593	忽略技能需求
STE00000594	忽略所有武器的技能需求。
STE00000595	忽略投掷物
STE00000596	忽略手雷、地雷和投掷武器的需求。
STE00000597	力量和技能需求提示
STE00000598	力量需求提示
STE00000599	技能需求提示
STE00000600	未下蹲时触发偷袭
STE00000601	允许站立时触发偷袭。
STE00000602	隐藏加载界面提示
STE00000603	移除加载界面的提示。
STE00000604	禁用同伴击杀镜头
STE00000605	击杀镜头不会被同伴的击杀触发。
STE00000606	读档后暂停游戏
STE00000607	读档完成后自动暂停游戏。
STE00000608	移除室内雾
STE00000609	移除非放置的室内雾。推荐配合Simple Interior Lighting Overhaul模组使用。
STE00000610	最小距离
STE00000611	移除雾的距离——太近可能在部分洞穴内产生画面bug。
STE00000612	增强破解终端
STE00000613	增强破解终端小游戏的各个方面。
STE00000614	避免误点
STE00000615	点击单字符不消耗尝试次数，如点击“/”无事发生。
STE00000616	尝试次数已满时移除无效词
STE00000617	当尝试次数已满时，不再补充，而是移除一个无效词。
STE00000618	避免重复猜测
STE00000619	避免重复猜同一个词。
STE00000620	不打印特殊输入
STE00000621	不打印“无效词移除”和“尝试次数已补充”，以占用更少的屏幕空间。
STE00000622	不移除已猜过的无效词
STE00000623	不移除已猜过的无效词（除非它们是仅剩无效词）。
STE00000624	猜测结果打印在一行内
STE00000625	猜测结果打印在一行内，不打印“输入否决”。如HORIZON (1/7)。
STE00000626	滚动超出范围
STE00000627	滚动到屏幕边缘时回到另一边（手柄或WASD）。
STE00000628	将已猜词标记为无效
STE00000629	把不正确的猜测词标为……
STE00000630	将已猜词标记为无效——保留匹配的字母
STE00000631	标记为无效时保留匹配正确的字母，例如A.S..ING。
STE00000632	补充尝试次数奖励
STE00000633	补充尝试次数时获得额外次数奖励，而不仅是补满到最大值（原版4次）。
STE00000634	显示需要的钥匙名称
STE00000635	在需要钥匙的地方显示钥匙名称。注意：有些钥匙的名称就只是“钥匙”。参见https://fallout.wiki/wiki/Fallout:_New_Vegas_keys。
STE00000636	瞄准时的HUD可见性
STE00000637	瞄准时是否显示HUD元素，如生命值、行动点数。
STE00000638	可见性
