STE00000001	No Screenshot Taken Popup
STE00000267	Adds a hotkey Tab to go back in the start/pause menu.
STE00000268	Continue Game Hotkey
STE00000269	Adds a debug hotkey to continue the game from the loading/start menu for mod development ONLY (since if you press the hotkey too early, mods that utilize JIP's MenuMode 4 will not get a chance to run).
STE00000270	Level Up Scroll Wheel Support
STE00000271	Adds scroll-wheel support for the -+ skills in the level up menu.
STE00000272	No LTRT On Pip-Boy
STE00000273	Use the Pip-Boy texture without LT and RT painted on when a controller is connected.
STE00000274	No Red Crosshair On Enemies
STE00000275	Stops the cross-hair turning red on enemies.
STE00000276	Allow Open Pip-Boy During Camera Shake
STE00000277	Allows opening of the Pip-Boy when the screen is shaking (will reset the screen shake).
STE00000278	Left/Right Movement Cancel Out
STE00000279	Makes holding left and right movement keys not move the player (vanilla would move the player left).
STE00000280	Fix Enhanced Camera Ground Sink Bug
STE00000281	Provides a workaround for a bug in the Enhanced Camera mod where the player would sink into the ground when changing from first to third person.
STE00000282	Talk While Sneaking If Shift Is Held
STE00000283	While sneaking, holding shift will talk to an NPC instead of pickpocketing them.
STE00000284	Power Attacks Cost AP
STE00000285	Adds an Action Points penalty for performing charged unarmed attacks.
STE00000286	Base AP cost
STE00000287	Base number of action points used.
STE00000288	Weapon weight AP mult
STE00000289	Extra action points per point of weight for the current weapon.
STE00000290	Max AP cost
STE00000291	Max AP cost for a charged attack.
STE00000292	Prevent power attacks without enough AP
STE00000293	Perform normal attacks when holding attack without enough AP.
STE00000294	Inventory Drop Item Hotkey
STE00000295	Adds a hot-key 'Q' to drop the currently selected item from the Pip-Boy menu.
STE00000296	Instant Continue Button
STE00000297	Skip the 'Continue from your last saved game?' prompt when clicking continue game in the main menu.
STE00000298	Custom Sniper Zoom Rate
STE00000299	Set how quickly scoped weapons zoom.
STE00000300	FOV change rate
STE00000301	Rate at which scoped weapons will zoom in, vanilla is 0.25, setting to 0 zooms instantly.
STE00000302	Same rate to zoom out
STE00000303	Make the setting also affect zooming out.
STE00000304	Distance Based Quest Marker Visibilty
STE00000305	Hide quest markers beyond a set distance.
STE00000306	Maximum exterior distance
STE00000307	Maximum exterior distance from which to show quest markers.
STE00000308	Maximum interior distance
STE00000309	Maximum interior distance from which to show quest markers.
STE00000310	Quick Use
STE00000311	Holding shift will equip/use the cross-hair item. Right clicking on a non-armor item will equip it. Useful for eating/drinking/consuming items without opening the Pip-Boy.
STE00000312	Realtime quick use
STE00000313	Holding shift will equip/use the cross-hair item during gameplay.
STE00000314	Right click to equip in containers
STE00000315	Right clicking an inventory item while in a container will equip the item (excludes armor).
STE00000316	F to use in containers
STE00000317	Adds a hotkey 'F' to use the selected item in a container (excludes armor).
STE00000318	Work on books
STE00000319	Allows quick use on books.
STE00000320	Work on notes
STE00000321	Show the Book Menu when quick-using notes (requires textures and XML from Book Menu Restored).
STE00000322	Show item stats
STE00000323	Show item stats e.g. DPS, DAM, DT and DR while shift is held.
STE00000324	Show "Re-read" for read notes
STE00000325	Show 'Re-read' on the prompt for notes that have already been read.
STE00000326	While aiming on controller
STE00000327	Quick use when activating while aiming when using a controller.
STE00000328	Decreased Dialogue/Start Click Delay
STE00000329	Halves the delay before you can click on a dialogue option when having a conversation (500ms->250ms).
STE00000330	Hide Unknown NPC Names
STE00000331	Hide NPC names on the prompt if they haven't spoken to the player.
STE00000332	Show names on dead NPCs
STE00000333	Show the name if the NPC is dead.
STE00000334	Scale All XP
STE00000335	Scale all earned XP.
STE00000336	XP multiplier
STE00000337	Multiplier applied to earned XP, the result is rounded up.
STE00000338	Prevent Rounding
STE00000339	Don't ceil earned XP, store the fractional component in the cosave and add it whenever XP is earned.
STE00000340	Vats Exit Key
STE00000341	Adds hotkeys Tab and Right Click to end the VATS killcam.
STE00000342	Instant end
STE00000343	Instantly end VATS playback rather than waiting for the current action to end.
STE00000344	Don't Set Quest When Completing Objectives
STE00000345	Don't set the current quest when completing objectives without having a quest active.
STE00000346	No Exit Hacking
STE00000347	Don't allow exiting the hacking menu if an attempt has been made.
STE00000348	Fail on early exit
STE00000349	Lock out of the terminal if exiting after making an attempt.
STE00000350	Slots Auto Spin Hotkey
STE00000351	Holding W will continually spin the slot machine.
STE00000352	UK Keyboard Layout
STE00000353	Use the UK Keyboard layout for console and other menus.
STE00000354	Remove Quest Objective Added Text
STE00000355	Hides the text for added objectives from the main HUD.
STE00000356	Hide completed objectives
STE00000357	Hides the quest completed objective text.
STE00000358	Pick Locks Even With Key
STE00000359	Holding shift allows picking a lock/terminal even if you have the key/password.
STE00000360	Hold shift to use key
STE00000361	Make holding shift allow using the key to the lock/terminal.
STE00000362	Remember Console History
STE00000363	Stores/restores console history from ConsoleHistory.txt.
STE00000364	Maximum size
STE00000365	Max number of commands to store (default is 200).
STE00000366	Console History Ignores Duplicates
STE00000367	Prevents consecutive duplicate commands being added to the console's input history list.
STE00000368	No Quest Sound In Killcams
STE00000369	Stops the 'Quest Added' sound playing whenever a cinematic killcam is shown.
STE00000370	No Grab Owned Items
STE00000371	Disallows grabbing (Z key) of owned items.
STE00000372	Auto-Skip Main Menu Intro Slides
STE00000373	Automatically skips the main menu video once loading is finished.
STE00000374	First Person VATS
STE00000375	Forces VATS firing camera to play in first person.
STE00000376	Allow Unsafe Fast Travel
STE00000377	Allows fast-traveling from indoors (you must be careful not to travel out of scripted areas).
STE00000378	Show restricted area warning
STE00000379	Show a warning when travelling from restricted areas.
STE00000380	Remove Landing Anim
STE00000381	Stops the landing animation playing.
STE00000382	Hold Crouch To Sneak
STE00000383	Makes sneaking holdable rather than toggle-able.
STE00000384	Fast Travel Costs Special Nuka Bottles
STE00000385	Makes fast travel cost 1 Nuka-Cola Quantum, Quartz or Victory.
STE00000386	Item Required Message
STE00000387	Message shown when trying to fast travel without the required items.
STE00000388	Item Removed Message
STE00000389	Message shown when an item is removed upon fast travel.
STE00000390	Item Editor ID
STE00000391	Editor ID of the item or formlist (requires JohnnyGuitar NVSE) to remove an item from instead of nuka cola.
STE00000392	Disable Selling Items
STE00000393	Removes the ability to sell items in the barter menu.
STE00000394	Use Custom Barter Price Multipliers
STE00000395	Set custom buy/sell multipliers for each item type (applied before perk modifiers).
STE00000396	Constant purified water price
STE00000397	Do not scale price of purified water.
STE00000398	Armor sell mult
STE00000399	Weapon sell mult
STE00000400	Aid sell mult
STE00000401	Ammo sell mult
STE00000402	Misc sell mult
STE00000403	Weapon Mod sell mult
STE00000404	Armor buy mult
STE00000405	Weapon buy mult
STE00000406	Aid buy mult
STE00000407	Ammo buy mult
STE00000408	Misc buy mult
STE00000409	Weapon Mod buy mult
STE00000410	Dialogue Number Hotkeys
STE00000411	Adds hot-keys 0-9 to select dialogue options (recommended use with VUI+).
STE00000412	Display in dialogue topic
STE00000413	Display list numbers for topics in dialogue.
STE00000414	Tab chooses last option
STE00000415	Add hotkey 'Tab' to choose the last option.
STE00000416	Disable Hit Shader
STE00000417	Disables the radial blur when damaged (optionally only when in god-mode).
STE00000418	Only disable in godmode
STE00000419	Terminal Instant Display Hotkey
STE00000420	Adds hot-keys shift and right mouse button to instantly display the current terminal text, and left mouse to speed up display of submenus.
STE00000421	Keyboard Swap Y/Z Keys
STE00000422	Swap the Y and Z keys.
STE00000423	Reloading With Full Clip Switches Ammo Type
STE00000424	Reloading with a full clip switches ammo type.
STE00000425	Better Flycam
STE00000426	Adds AutoMove, flying up and down using Jump and Crouch, rotating pressing Z and C, and scrolling changes flight speed.
STE00000427	Aim speed multiplier
STE00000428	Speed multiplier while Aim is pressed.
STE00000429	Run speed multiplier
STE00000430	Speed multiplier while run is pressed.
STE00000431	Scroll speed multiplier
STE00000432	Multiplier for how much the mouse scroll-wheel influences fly speed.
STE00000433	Rotation speed multiplier
STE00000434	Multiplier for rotation speed.
STE00000435	Smooth camera hotkey
STE00000436	Adds a hotkey 'Reload' to enable a smooth/cinematic camera.
STE00000437	NPCs Drop Holstered Weapons
STE00000438	Allow enemies to drop weapons on death even if they are not out.
STE00000439	Prevent Reloading With Non-Empty Clip
STE00000440	Prevents reloading if the weapon's clip is not empty.
STE00000441	Energy Weapons Only
STE00000442	Only prevent reloading for energy weapons.
STE00000443	Exclude Looping Reload Weapons
STE00000444	Allow reloading weapons if they use a looping (bullet at a time) reload.
STE00000445	Hide Grenade Indicator
STE00000446	Removes the grenade indicator from the HUD.
STE00000447	Weightless Worn Power Armor
STE00000448	Scale the weight of equipped power armor.
STE00000449	Require torso armor for weightless helmet
STE00000450	Make power armor helmets only weightless if torso power armor is also equipped.
STE00000451	Require Power Armor Training
STE00000452	Only make power armor weightless for the player/teammates if they have the Power Armor Training perk.
STE00000453	Weight Mult
STE00000454	Multiplier applied to worn armor weight.
STE00000455	Shift Screenshot Hides Menus
STE00000456	Holding shift when taking a screen-shot hides the menus.
STE00000457	Fast Travel With Enemies Nearby
STE00000458	Allows fast travel while enemies are nearby.
STE00000459	Fast Travel While Overencumbered
STE00000460	Allow fast travel when over-encumbered, as the Long Haul perk does.
STE00000461	No Knockdown In Godmode
STE00000462	Disables the player being knocked down when in god-mode, may break scripted sequences.
STE00000463	Double Tap Reload To Change Ammo Type
STE00000464	Double tapping the reload key will change ammo types.
STE00000465	Allow multiple quick changes
STE00000466	Pressing Reload additional times will keep swapping the ammo type.
STE00000467	Ammo swap time
STE00000468	Time in milliseconds that the Reload key must be pressed within to swap ammo types.
STE00000469	Force Lockpick No Break Lock
STE00000470	Failing a lock-pick force attempt breaks a bobby pin instead of the lock.
STE00000471	Force fail resets pin health
STE00000472	Reset the current bobby pin health when failing to force a lock.
STE00000473	No lockpicking without bobby pins
STE00000474	Prevents the LockPick Menu opening when the player has no bobby pins.
STE00000475	Bobby Pin Break Message
STE00000476	Corner message shown when the bobby pin breaks.
STE00000477	Custom Controller Deadzones
STE00000478	Set a custom dead-zones for controller thumb-sticks, allowing finer movement and aiming. Default value 0 removes the deadzone entirely.[CRLF]Recommend pairing with bMoreResponsiveControllerAiming.
STE00000479	Deadzone
STE00000480	Deadzone value (between 0 and 32767).
STE00000481	Faster Controller POV Rotate
STE00000482	Increases the controller rotation speed for the vanity camera (when Change View is held) to half of sensitivity.
STE00000483	Hide Cursor In Dialogue
STE00000484	Hide cursor while in Dialogue menus.
STE00000485	Only when NPC speaks
STE00000486	Only hide the cursor while the NPC is talking.
STE00000487	VATS Shift Ignores Friendly Targets
STE00000488	Holding shift ignores friendly NPCs when entering VATS.
STE00000489	Ignore enemies instead
STE00000490	Inverts mod behavior so holding shift SHOWS friendly NPCs.
STE00000491	Disable Explosion In Face IMOD
STE00000492	Disables the radial blur when an explosion occurs nearby.
STE00000493	Modify Skill Points Earned
STE00000494	Modifies skill points earned on level-up. The formula is : iSkillPointBase + ceil(Intelligence * fPointsPerInt).
STE00000495	Skill Point Base
STE00000496	Base skill points before Intelligence bonus is added.
STE00000497	Points Per Intelligence
STE00000498	Skill points earned per point of intelligence.
STE00000499	Luck Doesn't Affect Gambling
STE00000500	Removes the luck skill's effect on gambling by initializing the Gambling Menus with a luck of 5.
STE00000501	Luck Skill
STE00000502	Value to use for luck:[CRLF]- above 5 gives an advantage[CRLF]- below 5 gives a disadvantage[CRLF]- 5 removes luck's effect on gambling
STE00000503	Remove Chem Worn Off IMOD
STE00000504	Removes the chem worn off screen effect.
STE00000505	Adjustable Scope Zoom
STE00000506	Allows scroll-wheel to zoom while using a scope.
STE00000507	Zoom Rate
STE00000508	Rate at which weapons are zoomed.
STE00000509	Shift Zoom Scale
STE00000510	Multiplier applied to zoom rate while shift is held.
STE00000511	Reset Zoom On Weapon Change
STE00000512	Resets the current zoom when changing weapons.
STE00000513	Allow Zooming Non-Scoped Weapons
STE00000514	Smooth Scroll Zoom
STE00000515	Apply smoothing to the change in zoom.
STE00000516	Controller Support
STE00000517	Prevent DPAD hotkeys while aiming and use DPAD Up/Down for zooming.
STE00000518	Binoculars Only
STE00000519	Only allow zooming on weapons with no projectile (e.g. binoculars).
STE00000520	Scope Reset Time MS
STE00000521	Resets the current zoom if unscoped for this long, set to 0 to disable.
STE00000522	Min FOV
STE00000523	Minimum scope FOV (max zoom).
STE00000524	Max FOV
STE00000525	Maximum scope FOV (minimum zoom).
STE00000526	Min FOV Multiplier
STE00000527	Minimum multiplier applied to weapon FOV (max-zoom).
STE00000528	Max FOV Multiplier
STE00000529	Maximum multiplier applied to weapon FOV (min-zoom).
STE00000530	Zoom In Key
STE00000531	Key to zoom in (can also use scrollwheel).
STE00000532	Zoom Out Key
STE00000533	Key to zoom out (can also use scrollwheel).
STE00000534	Popup Menus Don't Move Cursor
STE00000535	Prevents pop-up menus from moving the mouse to the center of the screen.
STE00000536	Toggle Scope Night Vision
STE00000537	Pressing the iTogglePipboyLight key while aiming with a night vision weapon toggles off the night vision effect.
STE00000538	Disable By Default
STE00000539	Disables night vision for weapons until the toggle key has been pressed.
STE00000540	Allow During Daytime
STE00000541	Allow night vision during daytime.
STE00000542	Toggle On Sound
STE00000543	Sound to play when enabling night vision.
STE00000544	Toggle Off Sound
STE00000545	Sound to play when disabling night vision.
STE00000546	Scope Hold Breath
STE00000547	Holding shift decreases scope wobble at the cost of Action Points.
STE00000548	AP Drain
STE00000549	AP cost per interval.
STE00000550	AP Drain Interval
STE00000551	Interval length in milliseconds (lose AP every X milliseconds).
STE00000552	Wobble Multiplier
STE00000553	Wobble multiplier while breath is held.
STE00000554	Require Weapon Strength
STE00000555	Only allow holding breath if you have the required weapon strength.
STE00000556	Require Weapon Skill
STE00000557	Only allow holding breath if you have the required weapon skill.
STE00000558	Hold Breath Key
STE00000559	Scancode of keyboard key to hold breath.
STE00000560	Activate Holds Breath
STE00000561	Hold breath while the Activate bind is held.
STE00000562	Power Armor Scales Fall Damage
STE00000563	Wearing power armor scales fall damage.
STE00000564	Fall Damage Multiplier
STE00000565	Fall damage multiplier.
STE00000566	Player Only
STE00000567	Agility Scales Movement Speed
STE00000568	Agility is scaled by fAgilityMovementSpeedMult for every point above or below 5, the latter slowing down the player. The formula is: speedMult = normalSpeedMult * (1 + (agility - 5) * fAgilityMovementSpeedMult).
STE00000569	Agility Movement Speed Multiplier
STE00000570	Additional movement multiplier per agility point above 5. Agility below 5 is scaled down.
STE00000571	Affect NPCs
STE00000572	Scale NPC movement speeds.
STE00000573	Affect Player
STE00000574	Scale player movement speeds.
STE00000575	Disable Weapon Zoom
STE00000576	Disables zooming when aiming with non-scoped weapons.
STE00000577	Exclude Non-Sighted Weapons
STE00000578	Only disable the zoom for weapons that have ironsights.
STE00000579	Disable Holstered Weapon FOV Zoom
STE00000580	Disables zooming when aiming with a weapon holstered.
STE00000581	No Capitalise Container Categories
STE00000582	Stops the container category titles being capitalized (you will need to change the AMMO title game-setting since it's capitalized in the actual setting, unlike Aid, Weapons and Armor).
STE00000583	Automatically Unequip Broken Armor
STE00000584	Automatically unequip armor when it breaks.
STE00000585	Armor Break Message
STE00000586	UI corner message shown when armor breaks.
STE00000587	Weapon Requirements Matter
STE00000588	Don't allow equipping of weapons without the required strength and skill.
STE00000589	Ignore Strength Requirement
STE00000590	Ignore strength requirement for all weapons.
STE00000591	Ignore Non-Heavy Strength Requirement
STE00000592	Ignore strength requirement for weapons that aren't of type 'Two Hand Launcher' or Two Hand Handle'.
STE00000593	Ignore Skill Requirement
STE00000594	Ignore skill requirement for all weapons.
STE00000595	Ignore Throwables
STE00000596	Ignore requirements for grenades, mines and throwable weapons.
STE00000597	Strength and Skill Required Message
STE00000598	Strength Required Message
STE00000599	Skill Required Message
STE00000600	Sneak Attack Without Crouching
STE00000601	Allow sneak attacks while standing.
STE00000602	Hide Loading Screen Tips
STE00000603	Removes the tips from loading screens.
STE00000604	Disable Companion Killcam
STE00000605	Prevents the killcam being activated by companion kills.
STE00000606	Pause Game After Loading A Save
STE00000607	Automatically pause the game when loading a save.
STE00000608	Remove Interior Fog
STE00000609	Removes non-static fog from interiors. Recommend using with Simple Interior Lighting Overhaul.
